context: Yay! Yay! response:	You seem to be enjoying yourself, Sakura-chan.
context: It seems like he has been in here for quite some time.\Eh?\Here.\My shift is over.\Shall I show you around?\Will you?\That's heavy.\Really? response:	Kinomoto,
context: Eh?\Here.\My shift is over.\Shall I show you around?\Will you?\That's heavy.\Really?\Kinomoto, response:	Are you sure you aren't a robot or something?
context: Here.\My shift is over.\Shall I show you around?\Will you?\That's heavy.\Really?\Kinomoto,\Are you sure you aren't a robot or something? response:	You're too strong.
context: My shift is over.\Shall I show you around?\Will you?\That's heavy.\Really?\Kinomoto,\Are you sure you aren't a robot or something?\You're too strong. response:	You guys'
context: Shall I show you around?\Will you?\That's heavy.\Really?\Kinomoto,\Are you sure you aren't a robot or something?\You're too strong.\You guys' response:	Kinomoto-kun really is great.
context: Will you?\That's heavy.\Really?\Kinomoto,\Are you sure you aren't a robot or something?\You're too strong.\You guys'\Kinomoto-kun really is great. response:	At first I thought he seemed a bit scary,
context: That's heavy.\Really?\Kinomoto,\Are you sure you aren't a robot or something?\You're too strong.\You guys'\Kinomoto-kun really is great.\At first I thought he seemed a bit scary, response:	but he is pretty nice.
context: Really?\Kinomoto,\Are you sure you aren't a robot or something?\You're too strong.\You guys'\Kinomoto-kun really is great.\At first I thought he seemed a bit scary,\but he is pretty nice. response:	He has good looks.
context: Kinomoto,\Are you sure you aren't a robot or something?\You're too strong.\You guys'\Kinomoto-kun really is great.\At first I thought he seemed a bit scary,\but he is pretty nice.\He has good looks. response:	He is the ace of the soccer team.
context: Are you sure you aren't a robot or something?\You're too strong.\You guys'\Kinomoto-kun really is great.\At first I thought he seemed a bit scary,\but he is pretty nice.\He has good looks.\He is the ace of the soccer team. response:	He is also good at cooking and sewing.
context: You're too strong.\You guys'\Kinomoto-kun really is great.\At first I thought he seemed a bit scary,\but he is pretty nice.\He has good looks.\He is the ace of the soccer team.\He is also good at cooking and sewing. response:	Don't you think so too, Youko?
context: You guys'\Kinomoto-kun really is great.\At first I thought he seemed a bit scary,\but he is pretty nice.\He has good looks.\He is the ace of the soccer team.\He is also good at cooking and sewing.\Don't you think so too, Youko? response:	Eh?
context: Kinomoto-kun really is great.\At first I thought he seemed a bit scary,\but he is pretty nice.\He has good looks.\He is the ace of the soccer team.\He is also good at cooking and sewing.\Don't you think so too, Youko?\Eh? response:	Why do you ask me?
context: At first I thought he seemed a bit scary,\but he is pretty nice.\He has good looks.\He is the ace of the soccer team.\He is also good at cooking and sewing.\Don't you think so too, Youko?\Eh?\Why do you ask me? response:	After all you are cute
context: but he is pretty nice.\He has good looks.\He is the ace of the soccer team.\He is also good at cooking and sewing.\Don't you think so too, Youko?\Eh?\Why do you ask me?\After all you are cute response:	and have a nice personality.
context: He has good looks.\He is the ace of the soccer team.\He is also good at cooking and sewing.\Don't you think so too, Youko?\Eh?\Why do you ask me?\After all you are cute\and have a nice personality. response:	Yeah, yeah.
context: He is the ace of the soccer team.\He is also good at cooking and sewing.\Don't you think so too, Youko?\Eh?\Why do you ask me?\After all you are cute\and have a nice personality.\Yeah, yeah. response:	You are the president of the drama club, and are good at taking care of people.
context: He is also good at cooking and sewing.\Don't you think so too, Youko?\Eh?\Why do you ask me?\After all you are cute\and have a nice personality.\Yeah, yeah.\You are the president of the drama club, and are good at taking care of people. response:	Wouldn't you do well with Kinomoto-kun?
context: Don't you think so too, Youko?\Eh?\Why do you ask me?\After all you are cute\and have a nice personality.\Yeah, yeah.\You are the president of the drama club, and are good at taking care of people.\Wouldn't you do well with Kinomoto-kun? response:	Geeze,
context: Eh?\Why do you ask me?\After all you are cute\and have a nice personality.\Yeah, yeah.\You are the president of the drama club, and are good at taking care of people.\Wouldn't you do well with Kinomoto-kun?\Geeze, response:	that has nothing to do with it.
context: Why do you ask me?\After all you are cute\and have a nice personality.\Yeah, yeah.\You are the president of the drama club, and are good at taking care of people.\Wouldn't you do well with Kinomoto-kun?\Geeze,\that has nothing to do with it. response:	I guess Youko really does like Kinomoto-kun.
context: After all you are cute\and have a nice personality.\Yeah, yeah.\You are the president of the drama club, and are good at taking care of people.\Wouldn't you do well with Kinomoto-kun?\Geeze,\that has nothing to do with it.\I guess Youko really does like Kinomoto-kun. response:	Yeah,
context: and have a nice personality.\Yeah, yeah.\You are the president of the drama club, and are good at taking care of people.\Wouldn't you do well with Kinomoto-kun?\Geeze,\that has nothing to do with it.\I guess Youko really does like Kinomoto-kun.\Yeah, response:	but there is a rumor all the girls that have approached Kinomoto-kun
context: Yeah, yeah.\You are the president of the drama club, and are good at taking care of people.\Wouldn't you do well with Kinomoto-kun?\Geeze,\that has nothing to do with it.\I guess Youko really does like Kinomoto-kun.\Yeah,\but there is a rumor all the girls that have approached Kinomoto-kun response:	were rejected.
context: You are the president of the drama club, and are good at taking care of people.\Wouldn't you do well with Kinomoto-kun?\Geeze,\that has nothing to do with it.\I guess Youko really does like Kinomoto-kun.\Yeah,\but there is a rumor all the girls that have approached Kinomoto-kun\were rejected. response:	That Kinomoto-kun and Tsukishiro-kun
context: Wouldn't you do well with Kinomoto-kun?\Geeze,\that has nothing to do with it.\I guess Youko really does like Kinomoto-kun.\Yeah,\but there is a rumor all the girls that have approached Kinomoto-kun\were rejected.\That Kinomoto-kun and Tsukishiro-kun response:	don't have girlfriends
context: Geeze,\that has nothing to do with it.\I guess Youko really does like Kinomoto-kun.\Yeah,\but there is a rumor all the girls that have approached Kinomoto-kun\were rejected.\That Kinomoto-kun and Tsukishiro-kun\don't have girlfriends response:	is one of the seven mysteries
context: that has nothing to do with it.\I guess Youko really does like Kinomoto-kun.\Yeah,\but there is a rumor all the girls that have approached Kinomoto-kun\were rejected.\That Kinomoto-kun and Tsukishiro-kun\don't have girlfriends\is one of the seven mysteries response:	of our school.
context: I guess Youko really does like Kinomoto-kun.\Yeah,\but there is a rumor all the girls that have approached Kinomoto-kun\were rejected.\That Kinomoto-kun and Tsukishiro-kun\don't have girlfriends\is one of the seven mysteries\of our school. response:	How cute.
context: Yeah,\but there is a rumor all the girls that have approached Kinomoto-kun\were rejected.\That Kinomoto-kun and Tsukishiro-kun\don't have girlfriends\is one of the seven mysteries\of our school.\How cute. response:	You like such childish things?
context: but there is a rumor all the girls that have approached Kinomoto-kun\were rejected.\That Kinomoto-kun and Tsukishiro-kun\don't have girlfriends\is one of the seven mysteries\of our school.\How cute.\You like such childish things? response:	But it's cute.
context: were rejected.\That Kinomoto-kun and Tsukishiro-kun\don't have girlfriends\is one of the seven mysteries\of our school.\How cute.\You like such childish things?\But it's cute. response:	You can have it
context: That Kinomoto-kun and Tsukishiro-kun\don't have girlfriends\is one of the seven mysteries\of our school.\How cute.\You like such childish things?\But it's cute.\You can have it response:	if you pass through five
context: don't have girlfriends\is one of the seven mysteries\of our school.\How cute.\You like such childish things?\But it's cute.\You can have it\if you pass through five response:	of our regulars
context: is one of the seven mysteries\of our school.\How cute.\You like such childish things?\But it's cute.\You can have it\if you pass through five\of our regulars response:	and score.
context: of our school.\How cute.\You like such childish things?\But it's cute.\You can have it\if you pass through five\of our regulars\and score. response:	Eh?
context: How cute.\You like such childish things?\But it's cute.\You can have it\if you pass through five\of our regulars\and score.\Eh? response:	A hundred yen per attempt.
context: You like such childish things?\But it's cute.\You can have it\if you pass through five\of our regulars\and score.\Eh?\A hundred yen per attempt. response:	Here.
context: But it's cute.\You can have it\if you pass through five\of our regulars\and score.\Eh?\A hundred yen per attempt.\Here. response:	You are going to do it?
context: You can have it\if you pass through five\of our regulars\and score.\Eh?\A hundred yen per attempt.\Here.\You are going to do it? response:	Yeah.
context: if you pass through five\of our regulars\and score.\Eh?\A hundred yen per attempt.\Here.\You are going to do it?\Yeah. response:	Wait just a bit.
context: of our regulars\and score.\Eh?\A hundred yen per attempt.\Here.\You are going to do it?\Yeah.\Wait just a bit. response:	Yes.
context: and score.\Eh?\A hundred yen per attempt.\Here.\You are going to do it?\Yeah.\Wait just a bit.\Yes. response:	Go in!
context: Eh?\A hundred yen per attempt.\Here.\You are going to do it?\Yeah.\Wait just a bit.\Yes.\Go in! response:	Oh! Huh!
context: A hundred yen per attempt.\Here.\You are going to do it?\Yeah.\Wait just a bit.\Yes.\Go in!\Oh! Huh! response:	Eh?
context: Here.\You are going to do it?\Yeah.\Wait just a bit.\Yes.\Go in!\Oh! Huh!\Eh? response:	Hey
context: You are going to do it?\Yeah.\Wait just a bit.\Yes.\Go in!\Oh! Huh!\Eh?\Hey response:	There is no way our club members can win against Tsukishiro-kun.
context: Yeah.\Wait just a bit.\Yes.\Go in!\Oh! Huh!\Eh?\Hey\There is no way our club members can win against Tsukishiro-kun. response:	That's not true.
context: Wait just a bit.\Yes.\Go in!\Oh! Huh!\Eh?\Hey\There is no way our club members can win against Tsukishiro-kun.\That's not true. response:	Here.
context: Yes.\Go in!\Oh! Huh!\Eh?\Hey\There is no way our club members can win against Tsukishiro-kun.\That's not true.\Here. response:	Thank you.
context: Go in!\Oh! Huh!\Eh?\Hey\There is no way our club members can win against Tsukishiro-kun.\That's not true.\Here.\Thank you. response:	You're going again?
context: Oh! Huh!\Eh?\Hey\There is no way our club members can win against Tsukishiro-kun.\That's not true.\Here.\Thank you.\You're going again? response:	I need two more stuffed animals.
context: Eh?\Hey\There is no way our club members can win against Tsukishiro-kun.\That's not true.\Here.\Thank you.\You're going again?\I need two more stuffed animals. response:	Tsukishiro!
context: Hey\There is no way our club members can win against Tsukishiro-kun.\That's not true.\Here.\Thank you.\You're going again?\I need two more stuffed animals.\Tsukishiro! response:	Join our team.
context: There is no way our club members can win against Tsukishiro-kun.\That's not true.\Here.\Thank you.\You're going again?\I need two more stuffed animals.\Tsukishiro!\Join our team. response:	I'll think about it.
context: That's not true.\Here.\Thank you.\You're going again?\I need two more stuffed animals.\Tsukishiro!\Join our team.\I'll think about it. response:	It's just about time.
context: Here.\Thank you.\You're going again?\I need two more stuffed animals.\Tsukishiro!\Join our team.\I'll think about it.\It's just about time. response:	Time for what?
context: Thank you.\You're going again?\I need two more stuffed animals.\Tsukishiro!\Join our team.\I'll think about it.\It's just about time.\Time for what? response:	Time for play
context: You're going again?\I need two more stuffed animals.\Tsukishiro!\Join our team.\I'll think about it.\It's just about time.\Time for what?\Time for play response:	Our class play.
context: I need two more stuffed animals.\Tsukishiro!\Join our team.\I'll think about it.\It's just about time.\Time for what?\Time for play\Our class play. response:	We're doing it in the gym.
context: Tsukishiro!\Join our team.\I'll think about it.\It's just about time.\Time for what?\Time for play\Our class play.\We're doing it in the gym. response:	Is my brother in it?
context: Join our team.\I'll think about it.\It's just about time.\Time for what?\Time for play\Our class play.\We're doing it in the gym.\Is my brother in it? response:	Yeah.
context: I'll think about it.\It's just about time.\Time for what?\Time for play\Our class play.\We're doing it in the gym.\Is my brother in it?\Yeah. response:	I wonder what role it is.
context: It's just about time.\Time for what?\Time for play\Our class play.\We're doing it in the gym.\Is my brother in it?\Yeah.\I wonder what role it is. response:	Ha'
context: Time for what?\Time for play\Our class play.\We're doing it in the gym.\Is my brother in it?\Yeah.\I wonder what role it is.\Ha' response:	Look forward to seeing it.
context: Time for play\Our class play.\We're doing it in the gym.\Is my brother in it?\Yeah.\I wonder what role it is.\Ha'\Look forward to seeing it. response:	Umm'
context: Our class play.\We're doing it in the gym.\Is my brother in it?\Yeah.\I wonder what role it is.\Ha'\Look forward to seeing it.\Umm' response:	Excuse me!
context: We're doing it in the gym.\Is my brother in it?\Yeah.\I wonder what role it is.\Ha'\Look forward to seeing it.\Umm'\Excuse me! response:	Eh
context: Is my brother in it?\Yeah.\I wonder what role it is.\Ha'\Look forward to seeing it.\Umm'\Excuse me!\Eh response:	Are you in it?
context: Yeah.\I wonder what role it is.\Ha'\Look forward to seeing it.\Umm'\Excuse me!\Eh\Are you in it? response:	Me?
context: I wonder what role it is.\Ha'\Look forward to seeing it.\Umm'\Excuse me!\Eh\Are you in it?\Me? response:	Yes.
context: Ha'\Look forward to seeing it.\Umm'\Excuse me!\Eh\Are you in it?\Me?\Yes. response:	Woo'
context: Look forward to seeing it.\Umm'\Excuse me!\Eh\Are you in it?\Me?\Yes.\Woo' response:	What is your part?
context: Umm'\Excuse me!\Eh\Are you in it?\Me?\Yes.\Woo'\What is your part? response:	Canned mackerel.
context: Excuse me!\Eh\Are you in it?\Me?\Yes.\Woo'\What is your part?\Canned mackerel. response:	Eh!
context: Eh\Are you in it?\Me?\Yes.\Woo'\What is your part?\Canned mackerel.\Eh! response:	Mackerel?
context: Are you in it?\Me?\Yes.\Woo'\What is your part?\Canned mackerel.\Eh!\Mackerel? response:	Canned?
context: Me?\Yes.\Woo'\What is your part?\Canned mackerel.\Eh!\Mackerel?\Canned? response:	Yep.
context: Yes.\Woo'\What is your part?\Canned mackerel.\Eh!\Mackerel?\Canned?\Yep. response:	Seems like a pretty delicious role.
context: Woo'\What is your part?\Canned mackerel.\Eh!\Mackerel?\Canned?\Yep.\Seems like a pretty delicious role. response:	You're right,
context: What is your part?\Canned mackerel.\Eh!\Mackerel?\Canned?\Yep.\Seems like a pretty delicious role.\You're right, response:	canned mackerel is delicious.
context: Canned mackerel.\Eh!\Mackerel?\Canned?\Yep.\Seems like a pretty delicious role.\You're right,\canned mackerel is delicious. response:	Next is the play Cinderella by 2nd year D class.
context: Eh!\Mackerel?\Canned?\Yep.\Seems like a pretty delicious role.\You're right,\canned mackerel is delicious.\Next is the play Cinderella by 2nd year D class. response:	Class D
context: Mackerel?\Canned?\Yep.\Seems like a pretty delicious role.\You're right,\canned mackerel is delicious.\Next is the play Cinderella by 2nd year D class.\Class D response:	is your brother's right?
context: Canned?\Yep.\Seems like a pretty delicious role.\You're right,\canned mackerel is delicious.\Next is the play Cinderella by 2nd year D class.\Class D\is your brother's right? response:	Why would there be canned mackerel
context: Yep.\Seems like a pretty delicious role.\You're right,\canned mackerel is delicious.\Next is the play Cinderella by 2nd year D class.\Class D\is your brother's right?\Why would there be canned mackerel response:	in Cinderella?
context: Seems like a pretty delicious role.\You're right,\canned mackerel is delicious.\Next is the play Cinderella by 2nd year D class.\Class D\is your brother's right?\Why would there be canned mackerel\in Cinderella? response:	Sob. Sob.
context: You're right,\canned mackerel is delicious.\Next is the play Cinderella by 2nd year D class.\Class D\is your brother's right?\Why would there be canned mackerel\in Cinderella?\Sob. Sob. response:	Long ago,
context: canned mackerel is delicious.\Next is the play Cinderella by 2nd year D class.\Class D\is your brother's right?\Why would there be canned mackerel\in Cinderella?\Sob. Sob.\Long ago, response:	in a land far away
context: Next is the play Cinderella by 2nd year D class.\Class D\is your brother's right?\Why would there be canned mackerel\in Cinderella?\Sob. Sob.\Long ago,\in a land far away response:	there was a beautiful and lovable girl
context: Class D\is your brother's right?\Why would there be canned mackerel\in Cinderella?\Sob. Sob.\Long ago,\in a land far away\there was a beautiful and lovable girl response:	named Cinderella.
context: is your brother's right?\Why would there be canned mackerel\in Cinderella?\Sob. Sob.\Long ago,\in a land far away\there was a beautiful and lovable girl\named Cinderella. response:	Sob'
context: Why would there be canned mackerel\in Cinderella?\Sob. Sob.\Long ago,\in a land far away\there was a beautiful and lovable girl\named Cinderella.\Sob' response:	This voice.
context: in Cinderella?\Sob. Sob.\Long ago,\in a land far away\there was a beautiful and lovable girl\named Cinderella.\Sob'\This voice. response:	Cinderella was bullied by her mother and sisters
context: Sob. Sob.\Long ago,\in a land far away\there was a beautiful and lovable girl\named Cinderella.\Sob'\This voice.\Cinderella was bullied by her mother and sisters response:	every day,
context: Long ago,\in a land far away\there was a beautiful and lovable girl\named Cinderella.\Sob'\This voice.\Cinderella was bullied by her mother and sisters\every day, response:	but was still a good girl who worked very hard.
context: in a land far away\there was a beautiful and lovable girl\named Cinderella.\Sob'\This voice.\Cinderella was bullied by her mother and sisters\every day,\but was still a good girl who worked very hard. response:	Bro' Brother
context: there was a beautiful and lovable girl\named Cinderella.\Sob'\This voice.\Cinderella was bullied by her mother and sisters\every day,\but was still a good girl who worked very hard.\Bro' Brother response:	He's'
context: named Cinderella.\Sob'\This voice.\Cinderella was bullied by her mother and sisters\every day,\but was still a good girl who worked very hard.\Bro' Brother\He's' response:	Big brother?
context: Sob'\This voice.\Cinderella was bullied by her mother and sisters\every day,\but was still a good girl who worked very hard.\Bro' Brother\He's'\Big brother? response:	Your brother seems very popular.
context: This voice.\Cinderella was bullied by her mother and sisters\every day,\but was still a good girl who worked very hard.\Bro' Brother\He's'\Big brother?\Your brother seems very popular. response:	Are you cleaning well?
context: Cinderella was bullied by her mother and sisters\every day,\but was still a good girl who worked very hard.\Bro' Brother\He's'\Big brother?\Your brother seems very popular.\Are you cleaning well? response:	It is dirty over here,
context: every day,\but was still a good girl who worked very hard.\Bro' Brother\He's'\Big brother?\Your brother seems very popular.\Are you cleaning well?\It is dirty over here, response:	useless girl.
context: but was still a good girl who worked very hard.\Bro' Brother\He's'\Big brother?\Your brother seems very popular.\Are you cleaning well?\It is dirty over here,\useless girl. response:	Useless!
context: Bro' Brother\He's'\Big brother?\Your brother seems very popular.\Are you cleaning well?\It is dirty over here,\useless girl.\Useless! response:	Hey, the miso soup this morning
