context: It's the same as that day... response:	Yano's heart is about to open up to me...
context: Why can't things go well between\the liar, you, and the crybaby, me?\You don't notice my styled hair\or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me. response:	I want to accept your hot feelings
context: the liar, you, and the crybaby, me?\You don't notice my styled hair\or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me.\I want to accept your hot feelings response:	and be taken by you forever.
context: You don't notice my styled hair\or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me.\I want to accept your hot feelings\and be taken by you forever. response:	Despite your uncute, tearful face and your shortness, I still love you.
context: or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me.\I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you. response:	Episode 19 ...
context: Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me.\I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 19 ... response:	What? You made up with Yano?!
context: Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me.\I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 19 ...\What? You made up with Yano?! response:	Are you really sure about this?
context: I love this destiny\between only you and only me.\I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 19 ...\What? You made up with Yano?!\Are you really sure about this? response:	Yeah.
context: between only you and only me.\I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 19 ...\What? You made up with Yano?!\Are you really sure about this?\Yeah. response:	When you say yeah like that... did you really think this over?
context: I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 19 ...\What? You made up with Yano?!\Are you really sure about this?\Yeah.\When you say yeah like that... did you really think this over? response:	Sure you're not just getting caught in the flow of things?
context: and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 19 ...\What? You made up with Yano?!\Are you really sure about this?\Yeah.\When you say yeah like that... did you really think this over?\Sure you're not just getting caught in the flow of things? response:	Well, I just couldn't leave him alone anymore.
context: Despite your uncute, tearful face and your shortness, I still love you.\Episode 19 ...\What? You made up with Yano?!\Are you really sure about this?\Yeah.\When you say yeah like that... did you really think this over?\Sure you're not just getting caught in the flow of things?\Well, I just couldn't leave him alone anymore. response:	See? You really did just get caught in the flow again.
context: Episode 19 ...\What? You made up with Yano?!\Are you really sure about this?\Yeah.\When you say yeah like that... did you really think this over?\Sure you're not just getting caught in the flow of things?\Well, I just couldn't leave him alone anymore.\See? You really did just get caught in the flow again. response:	Maybe...
context: What? You made up with Yano?!\Are you really sure about this?\Yeah.\When you say yeah like that... did you really think this over?\Sure you're not just getting caught in the flow of things?\Well, I just couldn't leave him alone anymore.\See? You really did just get caught in the flow again.\Maybe... response:	Maybe? Really...
context: Are you really sure about this?\Yeah.\When you say yeah like that... did you really think this over?\Sure you're not just getting caught in the flow of things?\Well, I just couldn't leave him alone anymore.\See? You really did just get caught in the flow again.\Maybe...\Maybe? Really... response:	But...
context: Yeah.\When you say yeah like that... did you really think this over?\Sure you're not just getting caught in the flow of things?\Well, I just couldn't leave him alone anymore.\See? You really did just get caught in the flow again.\Maybe...\Maybe? Really...\But... response:	Now that I've decided to start over, I'm going to see it through.
context: When you say yeah like that... did you really think this over?\Sure you're not just getting caught in the flow of things?\Well, I just couldn't leave him alone anymore.\See? You really did just get caught in the flow again.\Maybe...\Maybe? Really...\But...\Now that I've decided to start over, I'm going to see it through. response:	Well... if you're that determined, we'll still cheer you on.
context: Sure you're not just getting caught in the flow of things?\Well, I just couldn't leave him alone anymore.\See? You really did just get caught in the flow again.\Maybe...\Maybe? Really...\But...\Now that I've decided to start over, I'm going to see it through.\Well... if you're that determined, we'll still cheer you on. response:	Whoa, what's up with that?
context: Well, I just couldn't leave him alone anymore.\See? You really did just get caught in the flow again.\Maybe...\Maybe? Really...\But...\Now that I've decided to start over, I'm going to see it through.\Well... if you're that determined, we'll still cheer you on.\Whoa, what's up with that? response:	Did those two hook up again?
context: See? You really did just get caught in the flow again.\Maybe...\Maybe? Really...\But...\Now that I've decided to start over, I'm going to see it through.\Well... if you're that determined, we'll still cheer you on.\Whoa, what's up with that?\Did those two hook up again? response:	Not bad!
context: Maybe...\Maybe? Really...\But...\Now that I've decided to start over, I'm going to see it through.\Well... if you're that determined, we'll still cheer you on.\Whoa, what's up with that?\Did those two hook up again?\Not bad! response:	Hey, any of you guys free tomorrow?
context: Maybe? Really...\But...\Now that I've decided to start over, I'm going to see it through.\Well... if you're that determined, we'll still cheer you on.\Whoa, what's up with that?\Did those two hook up again?\Not bad!\Hey, any of you guys free tomorrow? response:	What's up?
context: But...\Now that I've decided to start over, I'm going to see it through.\Well... if you're that determined, we'll still cheer you on.\Whoa, what's up with that?\Did those two hook up again?\Not bad!\Hey, any of you guys free tomorrow?\What's up? response:	I'm holding a hook-up party.
context: Now that I've decided to start over, I'm going to see it through.\Well... if you're that determined, we'll still cheer you on.\Whoa, what's up with that?\Did those two hook up again?\Not bad!\Hey, any of you guys free tomorrow?\What's up?\I'm holding a hook-up party. response:	With who?
context: Well... if you're that determined, we'll still cheer you on.\Whoa, what's up with that?\Did those two hook up again?\Not bad!\Hey, any of you guys free tomorrow?\What's up?\I'm holding a hook-up party.\With who? response:	Some fresh new girls.
context: Whoa, what's up with that?\Did those two hook up again?\Not bad!\Hey, any of you guys free tomorrow?\What's up?\I'm holding a hook-up party.\With who?\Some fresh new girls. response:	I just can't get enough guys to come. Anyone wanna go?
context: Did those two hook up again?\Not bad!\Hey, any of you guys free tomorrow?\What's up?\I'm holding a hook-up party.\With who?\Some fresh new girls.\I just can't get enough guys to come. Anyone wanna go? response:	What about you, Take?
context: Not bad!\Hey, any of you guys free tomorrow?\What's up?\I'm holding a hook-up party.\With who?\Some fresh new girls.\I just can't get enough guys to come. Anyone wanna go?\What about you, Take? response:	Ah, don't bother asking him.
context: Hey, any of you guys free tomorrow?\What's up?\I'm holding a hook-up party.\With who?\Some fresh new girls.\I just can't get enough guys to come. Anyone wanna go?\What about you, Take?\Ah, don't bother asking him. response:	His type never goes to hook-up parties.
context: What's up?\I'm holding a hook-up party.\With who?\Some fresh new girls.\I just can't get enough guys to come. Anyone wanna go?\What about you, Take?\Ah, don't bother asking him.\His type never goes to hook-up parties. response:	I'll go.
context: I'm holding a hook-up party.\With who?\Some fresh new girls.\I just can't get enough guys to come. Anyone wanna go?\What about you, Take?\Ah, don't bother asking him.\His type never goes to hook-up parties.\I'll go. response:	What?! Really?!
context: With who?\Some fresh new girls.\I just can't get enough guys to come. Anyone wanna go?\What about you, Take?\Ah, don't bother asking him.\His type never goes to hook-up parties.\I'll go.\What?! Really?! response:	Really.
context: Some fresh new girls.\I just can't get enough guys to come. Anyone wanna go?\What about you, Take?\Ah, don't bother asking him.\His type never goes to hook-up parties.\I'll go.\What?! Really?!\Really. response:	What's gotten into you...?
context: I just can't get enough guys to come. Anyone wanna go?\What about you, Take?\Ah, don't bother asking him.\His type never goes to hook-up parties.\I'll go.\What?! Really?!\Really.\What's gotten into you...? response:	Wanna meet at the usual place tomorrow?
context: What about you, Take?\Ah, don't bother asking him.\His type never goes to hook-up parties.\I'll go.\What?! Really?!\Really.\What's gotten into you...?\Wanna meet at the usual place tomorrow? response:	Yeah. I'll call you when I leave.
context: Ah, don't bother asking him.\His type never goes to hook-up parties.\I'll go.\What?! Really?!\Really.\What's gotten into you...?\Wanna meet at the usual place tomorrow?\Yeah. I'll call you when I leave. response:	Okay.
context: His type never goes to hook-up parties.\I'll go.\What?! Really?!\Really.\What's gotten into you...?\Wanna meet at the usual place tomorrow?\Yeah. I'll call you when I leave.\Okay. response:	As if nothing had happened...
context: I'll go.\What?! Really?!\Really.\What's gotten into you...?\Wanna meet at the usual place tomorrow?\Yeah. I'll call you when I leave.\Okay.\As if nothing had happened... response:	Yano's going to come over for the first time in a while.
context: What?! Really?!\Really.\What's gotten into you...?\Wanna meet at the usual place tomorrow?\Yeah. I'll call you when I leave.\Okay.\As if nothing had happened...\Yano's going to come over for the first time in a while. response:	I think I'll get Mom pick to up some cake.
context: Really.\What's gotten into you...?\Wanna meet at the usual place tomorrow?\Yeah. I'll call you when I leave.\Okay.\As if nothing had happened...\Yano's going to come over for the first time in a while.\I think I'll get Mom pick to up some cake. response:	The same old peaceful days...
context: What's gotten into you...?\Wanna meet at the usual place tomorrow?\Yeah. I'll call you when I leave.\Okay.\As if nothing had happened...\Yano's going to come over for the first time in a while.\I think I'll get Mom pick to up some cake.\The same old peaceful days... response:	But I want to believe that those days will become something incredibly irreplaceable.
context: Wanna meet at the usual place tomorrow?\Yeah. I'll call you when I leave.\Okay.\As if nothing had happened...\Yano's going to come over for the first time in a while.\I think I'll get Mom pick to up some cake.\The same old peaceful days...\But I want to believe that those days will become something incredibly irreplaceable. response:	What is it?
context: Yeah. I'll call you when I leave.\Okay.\As if nothing had happened...\Yano's going to come over for the first time in a while.\I think I'll get Mom pick to up some cake.\The same old peaceful days...\But I want to believe that those days will become something incredibly irreplaceable.\What is it? response:	Are you heading out?
context: Okay.\As if nothing had happened...\Yano's going to come over for the first time in a while.\I think I'll get Mom pick to up some cake.\The same old peaceful days...\But I want to believe that those days will become something incredibly irreplaceable.\What is it?\Are you heading out? response:	Yeah.
context: As if nothing had happened...\Yano's going to come over for the first time in a while.\I think I'll get Mom pick to up some cake.\The same old peaceful days...\But I want to believe that those days will become something incredibly irreplaceable.\What is it?\Are you heading out?\Yeah. response:	What time will you be back?
context: Yano's going to come over for the first time in a while.\I think I'll get Mom pick to up some cake.\The same old peaceful days...\But I want to believe that those days will become something incredibly irreplaceable.\What is it?\Are you heading out?\Yeah.\What time will you be back? response:	Late. Did something happen?
context: I think I'll get Mom pick to up some cake.\The same old peaceful days...\But I want to believe that those days will become something incredibly irreplaceable.\What is it?\Are you heading out?\Yeah.\What time will you be back?\Late. Did something happen? response:	Ah, no... it can wait for another time.
context: The same old peaceful days...\But I want to believe that those days will become something incredibly irreplaceable.\What is it?\Are you heading out?\Yeah.\What time will you be back?\Late. Did something happen?\Ah, no... it can wait for another time. response:	Have a nice time.
context: But I want to believe that those days will become something incredibly irreplaceable.\What is it?\Are you heading out?\Yeah.\What time will you be back?\Late. Did something happen?\Ah, no... it can wait for another time.\Have a nice time. response:	Going... somewhere?
context: What is it?\Are you heading out?\Yeah.\What time will you be back?\Late. Did something happen?\Ah, no... it can wait for another time.\Have a nice time.\Going... somewhere? response:	Um... yeah, just heading out for a bit.
context: Are you heading out?\Yeah.\What time will you be back?\Late. Did something happen?\Ah, no... it can wait for another time.\Have a nice time.\Going... somewhere?\Um... yeah, just heading out for a bit. response:	You?
context: Yeah.\What time will you be back?\Late. Did something happen?\Ah, no... it can wait for another time.\Have a nice time.\Going... somewhere?\Um... yeah, just heading out for a bit.\You? response:	I'm heading for a bit, too.
context: What time will you be back?\Late. Did something happen?\Ah, no... it can wait for another time.\Have a nice time.\Going... somewhere?\Um... yeah, just heading out for a bit.\You?\I'm heading for a bit, too. response:	Don't sit next to me!
context: Late. Did something happen?\Ah, no... it can wait for another time.\Have a nice time.\Going... somewhere?\Um... yeah, just heading out for a bit.\You?\I'm heading for a bit, too.\Don't sit next to me! response:	They probably already have the wrong idea since we got on the bus together!
context: Ah, no... it can wait for another time.\Have a nice time.\Going... somewhere?\Um... yeah, just heading out for a bit.\You?\I'm heading for a bit, too.\Don't sit next to me!\They probably already have the wrong idea since we got on the bus together! response:	Then stand up!
context: Have a nice time.\Going... somewhere?\Um... yeah, just heading out for a bit.\You?\I'm heading for a bit, too.\Don't sit next to me!\They probably already have the wrong idea since we got on the bus together!\Then stand up! response:	You sure know how to make things awkward.
context: Going... somewhere?\Um... yeah, just heading out for a bit.\You?\I'm heading for a bit, too.\Don't sit next to me!\They probably already have the wrong idea since we got on the bus together!\Then stand up!\You sure know how to make things awkward. response:	I could say the same to you.
context: Um... yeah, just heading out for a bit.\You?\I'm heading for a bit, too.\Don't sit next to me!\They probably already have the wrong idea since we got on the bus together!\Then stand up!\You sure know how to make things awkward.\I could say the same to you. response:	Everything went well between you and Takahashi, didn't it?
context: You?\I'm heading for a bit, too.\Don't sit next to me!\They probably already have the wrong idea since we got on the bus together!\Then stand up!\You sure know how to make things awkward.\I could say the same to you.\Everything went well between you and Takahashi, didn't it? response:	You're going on a date today, aren't you?
context: I'm heading for a bit, too.\Don't sit next to me!\They probably already have the wrong idea since we got on the bus together!\Then stand up!\You sure know how to make things awkward.\I could say the same to you.\Everything went well between you and Takahashi, didn't it?\You're going on a date today, aren't you? response:	Why can't you even tell me that much?
context: Don't sit next to me!\They probably already have the wrong idea since we got on the bus together!\Then stand up!\You sure know how to make things awkward.\I could say the same to you.\Everything went well between you and Takahashi, didn't it?\You're going on a date today, aren't you?\Why can't you even tell me that much? response:	Are you trying to keep your guard up?
context: They probably already have the wrong idea since we got on the bus together!\Then stand up!\You sure know how to make things awkward.\I could say the same to you.\Everything went well between you and Takahashi, didn't it?\You're going on a date today, aren't you?\Why can't you even tell me that much?\Are you trying to keep your guard up? response:	Not really...
context: Then stand up!\You sure know how to make things awkward.\I could say the same to you.\Everything went well between you and Takahashi, didn't it?\You're going on a date today, aren't you?\Why can't you even tell me that much?\Are you trying to keep your guard up?\Not really... response:	You've been like this since middle school.
context: You sure know how to make things awkward.\I could say the same to you.\Everything went well between you and Takahashi, didn't it?\You're going on a date today, aren't you?\Why can't you even tell me that much?\Are you trying to keep your guard up?\Not really...\You've been like this since middle school. response:	And don't give me the whole apology routine, either.
context: I could say the same to you.\Everything went well between you and Takahashi, didn't it?\You're going on a date today, aren't you?\Why can't you even tell me that much?\Are you trying to keep your guard up?\Not really...\You've been like this since middle school.\And don't give me the whole apology routine, either. response:	It'll only piss me off more.
context: Everything went well between you and Takahashi, didn't it?\You're going on a date today, aren't you?\Why can't you even tell me that much?\Are you trying to keep your guard up?\Not really...\You've been like this since middle school.\And don't give me the whole apology routine, either.\It'll only piss me off more. response:	This time...
context: You're going on a date today, aren't you?\Why can't you even tell me that much?\Are you trying to keep your guard up?\Not really...\You've been like this since middle school.\And don't give me the whole apology routine, either.\It'll only piss me off more.\This time... response:	You went and told me I'd regret it, declared war, and put me though hell.
context: Why can't you even tell me that much?\Are you trying to keep your guard up?\Not really...\You've been like this since middle school.\And don't give me the whole apology routine, either.\It'll only piss me off more.\This time...\You went and told me I'd regret it, declared war, and put me though hell. response:	That's why I tied you up and tore apart any chance I saw you having.
context: Are you trying to keep your guard up?\Not really...\You've been like this since middle school.\And don't give me the whole apology routine, either.\It'll only piss me off more.\This time...\You went and told me I'd regret it, declared war, and put me though hell.\That's why I tied you up and tore apart any chance I saw you having. response:	I was desperate.
context: Not really...\You've been like this since middle school.\And don't give me the whole apology routine, either.\It'll only piss me off more.\This time...\You went and told me I'd regret it, declared war, and put me though hell.\That's why I tied you up and tore apart any chance I saw you having.\I was desperate. response:	But you're just gonna bench yourself in the middle of the game?
context: You've been like this since middle school.\And don't give me the whole apology routine, either.\It'll only piss me off more.\This time...\You went and told me I'd regret it, declared war, and put me though hell.\That's why I tied you up and tore apart any chance I saw you having.\I was desperate.\But you're just gonna bench yourself in the middle of the game? response:	Fight to the bitter end!
context: And don't give me the whole apology routine, either.\It'll only piss me off more.\This time...\You went and told me I'd regret it, declared war, and put me though hell.\That's why I tied you up and tore apart any chance I saw you having.\I was desperate.\But you're just gonna bench yourself in the middle of the game?\Fight to the bitter end! response:	Why do I have to be the one telling you this?
context: It'll only piss me off more.\This time...\You went and told me I'd regret it, declared war, and put me though hell.\That's why I tied you up and tore apart any chance I saw you having.\I was desperate.\But you're just gonna bench yourself in the middle of the game?\Fight to the bitter end!\Why do I have to be the one telling you this? response:	It's retarded.
context: This time...\You went and told me I'd regret it, declared war, and put me though hell.\That's why I tied you up and tore apart any chance I saw you having.\I was desperate.\But you're just gonna bench yourself in the middle of the game?\Fight to the bitter end!\Why do I have to be the one telling you this?\It's retarded. response:	And just so you know, I'm not watching out for you or anything, hear me?
context: You went and told me I'd regret it, declared war, and put me though hell.\That's why I tied you up and tore apart any chance I saw you having.\I was desperate.\But you're just gonna bench yourself in the middle of the game?\Fight to the bitter end!\Why do I have to be the one telling you this?\It's retarded.\And just so you know, I'm not watching out for you or anything, hear me? response:	City Bus
context: That's why I tied you up and tore apart any chance I saw you having.\I was desperate.\But you're just gonna bench yourself in the middle of the game?\Fight to the bitter end!\Why do I have to be the one telling you this?\It's retarded.\And just so you know, I'm not watching out for you or anything, hear me?\City Bus response:	Huh?
context: I was desperate.\But you're just gonna bench yourself in the middle of the game?\Fight to the bitter end!\Why do I have to be the one telling you this?\It's retarded.\And just so you know, I'm not watching out for you or anything, hear me?\City Bus\Huh? response:	Takeuchi-kun!
context: But you're just gonna bench yourself in the middle of the game?\Fight to the bitter end!\Why do I have to be the one telling you this?\It's retarded.\And just so you know, I'm not watching out for you or anything, hear me?\City Bus\Huh?\Takeuchi-kun! response:	City Bus
context: Fight to the bitter end!\Why do I have to be the one telling you this?\It's retarded.\And just so you know, I'm not watching out for you or anything, hear me?\City Bus\Huh?\Takeuchi-kun!\City Bus response:	This is a surprise! What are you doing here?
context: Why do I have to be the one telling you this?\It's retarded.\And just so you know, I'm not watching out for you or anything, hear me?\City Bus\Huh?\Takeuchi-kun!\City Bus\This is a surprise! What are you doing here? response:	Ah, um... I'm just changing buses here.
context: It's retarded.\And just so you know, I'm not watching out for you or anything, hear me?\City Bus\Huh?\Takeuchi-kun!\City Bus\This is a surprise! What are you doing here?\Ah, um... I'm just changing buses here. response:	Oh? Where are you headed?
context: And just so you know, I'm not watching out for you or anything, hear me?\City Bus\Huh?\Takeuchi-kun!\City Bus\This is a surprise! What are you doing here?\Ah, um... I'm just changing buses here.\Oh? Where are you headed? response:	Nowhere special...
context: City Bus\Huh?\Takeuchi-kun!\City Bus\This is a surprise! What are you doing here?\Ah, um... I'm just changing buses here.\Oh? Where are you headed?\Nowhere special... response:	Sign: Hook-up party
context: Huh?\Takeuchi-kun!\City Bus\This is a surprise! What are you doing here?\Ah, um... I'm just changing buses here.\Oh? Where are you headed?\Nowhere special...\Sign: Hook-up party response:	Out to a hook-up party.
context: Takeuchi-kun!\City Bus\This is a surprise! What are you doing here?\Ah, um... I'm just changing buses here.\Oh? Where are you headed?\Nowhere special...\Sign: Hook-up party\Out to a hook-up party. response:	You're going to a hook-up party, aren't you?
context: City Bus\This is a surprise! What are you doing here?\Ah, um... I'm just changing buses here.\Oh? Where are you headed?\Nowhere special...\Sign: Hook-up party\Out to a hook-up party.\You're going to a hook-up party, aren't you? response:	Sign: Hook-up party
context: This is a surprise! What are you doing here?\Ah, um... I'm just changing buses here.\Oh? Where are you headed?\Nowhere special...\Sign: Hook-up party\Out to a hook-up party.\You're going to a hook-up party, aren't you?\Sign: Hook-up party response:	Sign: Hook-up party
context: Ah, um... I'm just changing buses here.\Oh? Where are you headed?\Nowhere special...\Sign: Hook-up party\Out to a hook-up party.\You're going to a hook-up party, aren't you?\Sign: Hook-up party\Sign: Hook-up party response:	You know, a hook-up party.
context: Oh? Where are you headed?\Nowhere special...\Sign: Hook-up party\Out to a hook-up party.\You're going to a hook-up party, aren't you?\Sign: Hook-up party\Sign: Hook-up party\You know, a hook-up party. response:	Shall we get going, Takahashi?
context: Nowhere special...\Sign: Hook-up party\Out to a hook-up party.\You're going to a hook-up party, aren't you?\Sign: Hook-up party\Sign: Hook-up party\You know, a hook-up party.\Shall we get going, Takahashi? response:	After all, Takeuchi's busy getting to his hook-up party.
context: Sign: Hook-up party\Out to a hook-up party.\You're going to a hook-up party, aren't you?\Sign: Hook-up party\Sign: Hook-up party\You know, a hook-up party.\Shall we get going, Takahashi?\After all, Takeuchi's busy getting to his hook-up party. response:	Sign: Hook-up party
context: Out to a hook-up party.\You're going to a hook-up party, aren't you?\Sign: Hook-up party\Sign: Hook-up party\You know, a hook-up party.\Shall we get going, Takahashi?\After all, Takeuchi's busy getting to his hook-up party.\Sign: Hook-up party response:	You knew...?
context: You're going to a hook-up party, aren't you?\Sign: Hook-up party\Sign: Hook-up party\You know, a hook-up party.\Shall we get going, Takahashi?\After all, Takeuchi's busy getting to his hook-up party.\Sign: Hook-up party\You knew...? response:	Information travels fast.
context: Sign: Hook-up party\Sign: Hook-up party\You know, a hook-up party.\Shall we get going, Takahashi?\After all, Takeuchi's busy getting to his hook-up party.\Sign: Hook-up party\You knew...?\Information travels fast. response:	As promised, neither of us are watching out for each other, right?
context: Sign: Hook-up party\You know, a hook-up party.\Shall we get going, Takahashi?\After all, Takeuchi's busy getting to his hook-up party.\Sign: Hook-up party\You knew...?\Information travels fast.\As promised, neither of us are watching out for each other, right? response:	Sign: Hook-up party
context: You know, a hook-up party.\Shall we get going, Takahashi?\After all, Takeuchi's busy getting to his hook-up party.\Sign: Hook-up party\You knew...?\Information travels fast.\As promised, neither of us are watching out for each other, right?\Sign: Hook-up party response:	Good luck with that hook-up party.
context: Shall we get going, Takahashi?\After all, Takeuchi's busy getting to his hook-up party.\Sign: Hook-up party\You knew...?\Information travels fast.\As promised, neither of us are watching out for each other, right?\Sign: Hook-up party\Good luck with that hook-up party. response:	Thanks...
