context: Let's go to the beach sometime. response:	The sound of
context: I don't hate you guys.\All I can hear\is your voice.\I keep seeing you, too.\Touko, Yana-chan is here.\Yana-chan?\Yeah? So what's the event?\Fifty-meter freestyle. response:	I just hit 32 seconds the other day.
context: All I can hear\is your voice.\I keep seeing you, too.\Touko, Yana-chan is here.\Yana-chan?\Yeah? So what's the event?\Fifty-meter freestyle.\I just hit 32 seconds the other day. response:	My goal is 31 seconds flat.
context: is your voice.\I keep seeing you, too.\Touko, Yana-chan is here.\Yana-chan?\Yeah? So what's the event?\Fifty-meter freestyle.\I just hit 32 seconds the other day.\My goal is 31 seconds flat. response:	You're really going for it, Hina-chan!
context: I keep seeing you, too.\Touko, Yana-chan is here.\Yana-chan?\Yeah? So what's the event?\Fifty-meter freestyle.\I just hit 32 seconds the other day.\My goal is 31 seconds flat.\You're really going for it, Hina-chan! response:	You're working toward your
context: Touko, Yana-chan is here.\Yana-chan?\Yeah? So what's the event?\Fifty-meter freestyle.\I just hit 32 seconds the other day.\My goal is 31 seconds flat.\You're really going for it, Hina-chan!\You're working toward your response:	dream job as a model, too, right?
context: Yana-chan?\Yeah? So what's the event?\Fifty-meter freestyle.\I just hit 32 seconds the other day.\My goal is 31 seconds flat.\You're really going for it, Hina-chan!\You're working toward your\dream job as a model, too, right? response:	I've secretly been rooting for you.
context: Yeah? So what's the event?\Fifty-meter freestyle.\I just hit 32 seconds the other day.\My goal is 31 seconds flat.\You're really going for it, Hina-chan!\You're working toward your\dream job as a model, too, right?\I've secretly been rooting for you. response:	You sure do have a nice body.
context: Fifty-meter freestyle.\I just hit 32 seconds the other day.\My goal is 31 seconds flat.\You're really going for it, Hina-chan!\You're working toward your\dream job as a model, too, right?\I've secretly been rooting for you.\You sure do have a nice body. response:	I'm jealous.
context: I just hit 32 seconds the other day.\My goal is 31 seconds flat.\You're really going for it, Hina-chan!\You're working toward your\dream job as a model, too, right?\I've secretly been rooting for you.\You sure do have a nice body.\I'm jealous. response:	Thanks.
context: My goal is 31 seconds flat.\You're really going for it, Hina-chan!\You're working toward your\dream job as a model, too, right?\I've secretly been rooting for you.\You sure do have a nice body.\I'm jealous.\Thanks. response:	Let's go shopping for clothes sometime.
context: You're really going for it, Hina-chan!\You're working toward your\dream job as a model, too, right?\I've secretly been rooting for you.\You sure do have a nice body.\I'm jealous.\Thanks.\Let's go shopping for clothes sometime. response:	I'll help you choose.
context: You're working toward your\dream job as a model, too, right?\I've secretly been rooting for you.\You sure do have a nice body.\I'm jealous.\Thanks.\Let's go shopping for clothes sometime.\I'll help you choose. response:	Really? You would? Yes, please!
context: dream job as a model, too, right?\I've secretly been rooting for you.\You sure do have a nice body.\I'm jealous.\Thanks.\Let's go shopping for clothes sometime.\I'll help you choose.\Really? You would? Yes, please! response:	Touko.
context: I've secretly been rooting for you.\You sure do have a nice body.\I'm jealous.\Thanks.\Let's go shopping for clothes sometime.\I'll help you choose.\Really? You would? Yes, please!\Touko. response:	Sorry for just showing up.
context: You sure do have a nice body.\I'm jealous.\Thanks.\Let's go shopping for clothes sometime.\I'll help you choose.\Really? You would? Yes, please!\Touko.\Sorry for just showing up. response:	Let's talk outside.
context: I'm jealous.\Thanks.\Let's go shopping for clothes sometime.\I'll help you choose.\Really? You would? Yes, please!\Touko.\Sorry for just showing up.\Let's talk outside. response:	See you soon, Hina-chan.
context: Thanks.\Let's go shopping for clothes sometime.\I'll help you choose.\Really? You would? Yes, please!\Touko.\Sorry for just showing up.\Let's talk outside.\See you soon, Hina-chan. response:	Okay.
context: Let's go shopping for clothes sometime.\I'll help you choose.\Really? You would? Yes, please!\Touko.\Sorry for just showing up.\Let's talk outside.\See you soon, Hina-chan.\Okay. response:	About Yuki-kun the other day...
context: I'll help you choose.\Really? You would? Yes, please!\Touko.\Sorry for just showing up.\Let's talk outside.\See you soon, Hina-chan.\Okay.\About Yuki-kun the other day... response:	That slap of yours...
context: Really? You would? Yes, please!\Touko.\Sorry for just showing up.\Let's talk outside.\See you soon, Hina-chan.\Okay.\About Yuki-kun the other day...\That slap of yours... response:	It's okay. I didn't like what Kakeru-kun did either.
context: Touko.\Sorry for just showing up.\Let's talk outside.\See you soon, Hina-chan.\Okay.\About Yuki-kun the other day...\That slap of yours...\It's okay. I didn't like what Kakeru-kun did either. response:	Kakeru-kun, huh?
context: Sorry for just showing up.\Let's talk outside.\See you soon, Hina-chan.\Okay.\About Yuki-kun the other day...\That slap of yours...\It's okay. I didn't like what Kakeru-kun did either.\Kakeru-kun, huh? response:	What?
context: Let's talk outside.\See you soon, Hina-chan.\Okay.\About Yuki-kun the other day...\That slap of yours...\It's okay. I didn't like what Kakeru-kun did either.\Kakeru-kun, huh?\What? response:	Whatever. You make yourself so obvious.
context: See you soon, Hina-chan.\Okay.\About Yuki-kun the other day...\That slap of yours...\It's okay. I didn't like what Kakeru-kun did either.\Kakeru-kun, huh?\What?\Whatever. You make yourself so obvious. response:	I do?
context: Okay.\About Yuki-kun the other day...\That slap of yours...\It's okay. I didn't like what Kakeru-kun did either.\Kakeru-kun, huh?\What?\Whatever. You make yourself so obvious.\I do? response:	Yeah.
context: About Yuki-kun the other day...\That slap of yours...\It's okay. I didn't like what Kakeru-kun did either.\Kakeru-kun, huh?\What?\Whatever. You make yourself so obvious.\I do?\Yeah. response:	Yuki's so stupid.
context: That slap of yours...\It's okay. I didn't like what Kakeru-kun did either.\Kakeru-kun, huh?\What?\Whatever. You make yourself so obvious.\I do?\Yeah.\Yuki's so stupid. response:	Can't he tell he doesn't stand a chance?
context: It's okay. I didn't like what Kakeru-kun did either.\Kakeru-kun, huh?\What?\Whatever. You make yourself so obvious.\I do?\Yeah.\Yuki's so stupid.\Can't he tell he doesn't stand a chance? response:	Did you hear Sachi is staying at the hospital today?
context: Kakeru-kun, huh?\What?\Whatever. You make yourself so obvious.\I do?\Yeah.\Yuki's so stupid.\Can't he tell he doesn't stand a chance?\Did you hear Sachi is staying at the hospital today? response:	Yeah, for tests.
context: What?\Whatever. You make yourself so obvious.\I do?\Yeah.\Yuki's so stupid.\Can't he tell he doesn't stand a chance?\Did you hear Sachi is staying at the hospital today?\Yeah, for tests. response:	Nothing to worry about then, I guess.
context: Whatever. You make yourself so obvious.\I do?\Yeah.\Yuki's so stupid.\Can't he tell he doesn't stand a chance?\Did you hear Sachi is staying at the hospital today?\Yeah, for tests.\Nothing to worry about then, I guess. response:	We should hold back on the visits, so we don't get in the way.
context: I do?\Yeah.\Yuki's so stupid.\Can't he tell he doesn't stand a chance?\Did you hear Sachi is staying at the hospital today?\Yeah, for tests.\Nothing to worry about then, I guess.\We should hold back on the visits, so we don't get in the way. response:	Yeah,
context: Yeah.\Yuki's so stupid.\Can't he tell he doesn't stand a chance?\Did you hear Sachi is staying at the hospital today?\Yeah, for tests.\Nothing to worry about then, I guess.\We should hold back on the visits, so we don't get in the way.\Yeah, response:	let's not get in the way of their secret dates.
context: Yuki's so stupid.\Can't he tell he doesn't stand a chance?\Did you hear Sachi is staying at the hospital today?\Yeah, for tests.\Nothing to worry about then, I guess.\We should hold back on the visits, so we don't get in the way.\Yeah,\let's not get in the way of their secret dates. response:	Sacchan's fine. It looks like she's doing well.
context: Can't he tell he doesn't stand a chance?\Did you hear Sachi is staying at the hospital today?\Yeah, for tests.\Nothing to worry about then, I guess.\We should hold back on the visits, so we don't get in the way.\Yeah,\let's not get in the way of their secret dates.\Sacchan's fine. It looks like she's doing well. response:	Huh?
context: Did you hear Sachi is staying at the hospital today?\Yeah, for tests.\Nothing to worry about then, I guess.\We should hold back on the visits, so we don't get in the way.\Yeah,\let's not get in the way of their secret dates.\Sacchan's fine. It looks like she's doing well.\Huh? response:	Oh, no, I think she'd be happy if we visited.
context: Yeah, for tests.\Nothing to worry about then, I guess.\We should hold back on the visits, so we don't get in the way.\Yeah,\let's not get in the way of their secret dates.\Sacchan's fine. It looks like she's doing well.\Huh?\Oh, no, I think she'd be happy if we visited. response:	Yeah, it's me.
context: Nothing to worry about then, I guess.\We should hold back on the visits, so we don't get in the way.\Yeah,\let's not get in the way of their secret dates.\Sacchan's fine. It looks like she's doing well.\Huh?\Oh, no, I think she'd be happy if we visited.\Yeah, it's me. response:	Sure.
context: We should hold back on the visits, so we don't get in the way.\Yeah,\let's not get in the way of their secret dates.\Sacchan's fine. It looks like she's doing well.\Huh?\Oh, no, I think she'd be happy if we visited.\Yeah, it's me.\Sure. response:	See you later.
context: Yeah,\let's not get in the way of their secret dates.\Sacchan's fine. It looks like she's doing well.\Huh?\Oh, no, I think she'd be happy if we visited.\Yeah, it's me.\Sure.\See you later. response:	Everyone's so scattered lately.
context: let's not get in the way of their secret dates.\Sacchan's fine. It looks like she's doing well.\Huh?\Oh, no, I think she'd be happy if we visited.\Yeah, it's me.\Sure.\See you later.\Everyone's so scattered lately. response:	It's been a bit weird, ever since that David showed up.
context: Sacchan's fine. It looks like she's doing well.\Huh?\Oh, no, I think she'd be happy if we visited.\Yeah, it's me.\Sure.\See you later.\Everyone's so scattered lately.\It's been a bit weird, ever since that David showed up. response:	Ready.
context: Huh?\Oh, no, I think she'd be happy if we visited.\Yeah, it's me.\Sure.\See you later.\Everyone's so scattered lately.\It's been a bit weird, ever since that David showed up.\Ready. response:	Here's your cola.
context: Oh, no, I think she'd be happy if we visited.\Yeah, it's me.\Sure.\See you later.\Everyone's so scattered lately.\It's been a bit weird, ever since that David showed up.\Ready.\Here's your cola. response:	Visiting hours at the hospital
context: Yeah, it's me.\Sure.\See you later.\Everyone's so scattered lately.\It's been a bit weird, ever since that David showed up.\Ready.\Here's your cola.\Visiting hours at the hospital response:	end so early.
context: Sure.\See you later.\Everyone's so scattered lately.\It's been a bit weird, ever since that David showed up.\Ready.\Here's your cola.\Visiting hours at the hospital\end so early. response:	I wish they'd let us stay till 10 PM at least.
context: See you later.\Everyone's so scattered lately.\It's been a bit weird, ever since that David showed up.\Ready.\Here's your cola.\Visiting hours at the hospital\end so early.\I wish they'd let us stay till 10 PM at least. response:	Your pianist hands are so strong.
context: Everyone's so scattered lately.\It's been a bit weird, ever since that David showed up.\Ready.\Here's your cola.\Visiting hours at the hospital\end so early.\I wish they'd let us stay till 10 PM at least.\Your pianist hands are so strong. response:	Here comes a crescendo!
context: It's been a bit weird, ever since that David showed up.\Ready.\Here's your cola.\Visiting hours at the hospital\end so early.\I wish they'd let us stay till 10 PM at least.\Your pianist hands are so strong.\Here comes a crescendo! response:	Ow, ow, ow!
context: Ready.\Here's your cola.\Visiting hours at the hospital\end so early.\I wish they'd let us stay till 10 PM at least.\Your pianist hands are so strong.\Here comes a crescendo!\Ow, ow, ow! response:	Fortissimo!
context: Here's your cola.\Visiting hours at the hospital\end so early.\I wish they'd let us stay till 10 PM at least.\Your pianist hands are so strong.\Here comes a crescendo!\Ow, ow, ow!\Fortissimo! response:	Ow!
context: Visiting hours at the hospital\end so early.\I wish they'd let us stay till 10 PM at least.\Your pianist hands are so strong.\Here comes a crescendo!\Ow, ow, ow!\Fortissimo!\Ow! response:	I'll be going now, too.
context: end so early.\I wish they'd let us stay till 10 PM at least.\Your pianist hands are so strong.\Here comes a crescendo!\Ow, ow, ow!\Fortissimo!\Ow!\I'll be going now, too. response:	Call me if there's anything you need.
context: I wish they'd let us stay till 10 PM at least.\Your pianist hands are so strong.\Here comes a crescendo!\Ow, ow, ow!\Fortissimo!\Ow!\I'll be going now, too.\Call me if there's anything you need. response:	Okay.
context: Your pianist hands are so strong.\Here comes a crescendo!\Ow, ow, ow!\Fortissimo!\Ow!\I'll be going now, too.\Call me if there's anything you need.\Okay. response:	Oh?
context: Here comes a crescendo!\Ow, ow, ow!\Fortissimo!\Ow!\I'll be going now, too.\Call me if there's anything you need.\Okay.\Oh? response:	Come in.
context: Ow, ow, ow!\Fortissimo!\Ow!\I'll be going now, too.\Call me if there's anything you need.\Okay.\Oh?\Come in. response:	Oh...
context: Fortissimo!\Ow!\I'll be going now, too.\Call me if there's anything you need.\Okay.\Oh?\Come in.\Oh... response:	Your friend?
context: Ow!\I'll be going now, too.\Call me if there's anything you need.\Okay.\Oh?\Come in.\Oh...\Your friend? response:	My boyfriend, Hiro-kun.
context: I'll be going now, too.\Call me if there's anything you need.\Okay.\Oh?\Come in.\Oh...\Your friend?\My boyfriend, Hiro-kun. response:	Oh?
context: Call me if there's anything you need.\Okay.\Oh?\Come in.\Oh...\Your friend?\My boyfriend, Hiro-kun.\Oh? response:	Nice to meet you.
context: Okay.\Oh?\Come in.\Oh...\Your friend?\My boyfriend, Hiro-kun.\Oh?\Nice to meet you. response:	I'm Sachi's mother.
context: Oh?\Come in.\Oh...\Your friend?\My boyfriend, Hiro-kun.\Oh?\Nice to meet you.\I'm Sachi's mother. response:	I'm Sacchan's b-b-boyfriend,
context: Come in.\Oh...\Your friend?\My boyfriend, Hiro-kun.\Oh?\Nice to meet you.\I'm Sachi's mother.\I'm Sacchan's b-b-boyfriend, response:	Hiro Shirosaki.
context: Oh...\Your friend?\My boyfriend, Hiro-kun.\Oh?\Nice to meet you.\I'm Sachi's mother.\I'm Sacchan's b-b-boyfriend,\Hiro Shirosaki. response:	My grandpa made these cookies.
context: Your friend?\My boyfriend, Hiro-kun.\Oh?\Nice to meet you.\I'm Sachi's mother.\I'm Sacchan's b-b-boyfriend,\Hiro Shirosaki.\My grandpa made these cookies. response:	Thanks.
context: My boyfriend, Hiro-kun.\Oh?\Nice to meet you.\I'm Sachi's mother.\I'm Sacchan's b-b-boyfriend,\Hiro Shirosaki.\My grandpa made these cookies.\Thanks. response:	Hey.
context: Oh?\Nice to meet you.\I'm Sachi's mother.\I'm Sacchan's b-b-boyfriend,\Hiro Shirosaki.\My grandpa made these cookies.\Thanks.\Hey. response:	I didn't know there was a swallow's nest here.
context: Nice to meet you.\I'm Sachi's mother.\I'm Sacchan's b-b-boyfriend,\Hiro Shirosaki.\My grandpa made these cookies.\Thanks.\Hey.\I didn't know there was a swallow's nest here. response:	Hey, hatchlings.
context: I'm Sachi's mother.\I'm Sacchan's b-b-boyfriend,\Hiro Shirosaki.\My grandpa made these cookies.\Thanks.\Hey.\I didn't know there was a swallow's nest here.\Hey, hatchlings. response:	Looks like it.
context: I'm Sacchan's b-b-boyfriend,\Hiro Shirosaki.\My grandpa made these cookies.\Thanks.\Hey.\I didn't know there was a swallow's nest here.\Hey, hatchlings.\Looks like it. response:	I know there are at least two.
context: Hiro Shirosaki.\My grandpa made these cookies.\Thanks.\Hey.\I didn't know there was a swallow's nest here.\Hey, hatchlings.\Looks like it.\I know there are at least two. response:	You know, I've lived here all this time,
context: My grandpa made these cookies.\Thanks.\Hey.\I didn't know there was a swallow's nest here.\Hey, hatchlings.\Looks like it.\I know there are at least two.\You know, I've lived here all this time, response:	but you seem to know so much more about this place.
context: Thanks.\Hey.\I didn't know there was a swallow's nest here.\Hey, hatchlings.\Looks like it.\I know there are at least two.\You know, I've lived here all this time,\but you seem to know so much more about this place. response:	That makes me a little unhappy.
context: Hey.\I didn't know there was a swallow's nest here.\Hey, hatchlings.\Looks like it.\I know there are at least two.\You know, I've lived here all this time,\but you seem to know so much more about this place.\That makes me a little unhappy. response:	Knowing a few small things about this city
context: I didn't know there was a swallow's nest here.\Hey, hatchlings.\Looks like it.\I know there are at least two.\You know, I've lived here all this time,\but you seem to know so much more about this place.\That makes me a little unhappy.\Knowing a few small things about this city response:	doesn't compare to you having lived here.
context: Hey, hatchlings.\Looks like it.\I know there are at least two.\You know, I've lived here all this time,\but you seem to know so much more about this place.\That makes me a little unhappy.\Knowing a few small things about this city\doesn't compare to you having lived here. response:	Huh? That's not true.
context: Looks like it.\I know there are at least two.\You know, I've lived here all this time,\but you seem to know so much more about this place.\That makes me a little unhappy.\Knowing a few small things about this city\doesn't compare to you having lived here.\Huh? That's not true. response:	You're amazing, Kakeru-kun.
context: I know there are at least two.\You know, I've lived here all this time,\but you seem to know so much more about this place.\That makes me a little unhappy.\Knowing a few small things about this city\doesn't compare to you having lived here.\Huh? That's not true.\You're amazing, Kakeru-kun. response:	I made a fool of myself.
context: You know, I've lived here all this time,\but you seem to know so much more about this place.\That makes me a little unhappy.\Knowing a few small things about this city\doesn't compare to you having lived here.\Huh? That's not true.\You're amazing, Kakeru-kun.\I made a fool of myself. response:	That's not true.
context: but you seem to know so much more about this place.\That makes me a little unhappy.\Knowing a few small things about this city\doesn't compare to you having lived here.\Huh? That's not true.\You're amazing, Kakeru-kun.\I made a fool of myself.\That's not true. response:	Yana-chan came over today.
context: That makes me a little unhappy.\Knowing a few small things about this city\doesn't compare to you having lived here.\Huh? That's not true.\You're amazing, Kakeru-kun.\I made a fool of myself.\That's not true.\Yana-chan came over today. response:	We talked about yesterday.
context: Knowing a few small things about this city\doesn't compare to you having lived here.\Huh? That's not true.\You're amazing, Kakeru-kun.\I made a fool of myself.\That's not true.\Yana-chan came over today.\We talked about yesterday. response:	You certainly are friends.
context: doesn't compare to you having lived here.\Huh? That's not true.\You're amazing, Kakeru-kun.\I made a fool of myself.\That's not true.\Yana-chan came over today.\We talked about yesterday.\You certainly are friends. response:	Um, what are we,
context: Huh? That's not true.\You're amazing, Kakeru-kun.\I made a fool of myself.\That's not true.\Yana-chan came over today.\We talked about yesterday.\You certainly are friends.\Um, what are we, response:	you and I?
context: You're amazing, Kakeru-kun.\I made a fool of myself.\That's not true.\Yana-chan came over today.\We talked about yesterday.\You certainly are friends.\Um, what are we,\you and I? response:	Sorry.
context: I made a fool of myself.\That's not true.\Yana-chan came over today.\We talked about yesterday.\You certainly are friends.\Um, what are we,\you and I?\Sorry. response:	Now I can't look at you.
context: That's not true.\Yana-chan came over today.\We talked about yesterday.\You certainly are friends.\Um, what are we,\you and I?\Sorry.\Now I can't look at you. response:	Have we become more than
context: Yana-chan came over today.\We talked about yesterday.\You certainly are friends.\Um, what are we,\you and I?\Sorry.\Now I can't look at you.\Have we become more than response:	just two people who share a weird ability?
context: We talked about yesterday.\You certainly are friends.\Um, what are we,\you and I?\Sorry.\Now I can't look at you.\Have we become more than\just two people who share a weird ability? response:	Look out!
context: You certainly are friends.\Um, what are we,\you and I?\Sorry.\Now I can't look at you.\Have we become more than\just two people who share a weird ability?\Look out! response:	I saw you falling.
context: Um, what are we,\you and I?\Sorry.\Now I can't look at you.\Have we become more than\just two people who share a weird ability?\Look out!\I saw you falling. response:	You'll be okay as long as we stay like this, right?
context: you and I?\Sorry.\Now I can't look at you.\Have we become more than\just two people who share a weird ability?\Look out!\I saw you falling.\You'll be okay as long as we stay like this, right? response:	The future can't be changed.
context: Sorry.\Now I can't look at you.\Have we become more than\just two people who share a weird ability?\Look out!\I saw you falling.\You'll be okay as long as we stay like this, right?\The future can't be changed. response:	Let's go to the beach.
context: Now I can't look at you.\Have we become more than\just two people who share a weird ability?\Look out!\I saw you falling.\You'll be okay as long as we stay like this, right?\The future can't be changed.\Let's go to the beach. response:	It's safer.
context: Have we become more than\just two people who share a weird ability?\Look out!\I saw you falling.\You'll be okay as long as we stay like this, right?\The future can't be changed.\Let's go to the beach.\It's safer. response:	The beach tomorrow. For sure.
context: just two people who share a weird ability?\Look out!\I saw you falling.\You'll be okay as long as we stay like this, right?\The future can't be changed.\Let's go to the beach.\It's safer.\The beach tomorrow. For sure. response:	What are you looking at?
context: Look out!\I saw you falling.\You'll be okay as long as we stay like this, right?\The future can't be changed.\Let's go to the beach.\It's safer.\The beach tomorrow. For sure.\What are you looking at? response:	Here he comes.
context: I saw you falling.\You'll be okay as long as we stay like this, right?\The future can't be changed.\Let's go to the beach.\It's safer.\The beach tomorrow. For sure.\What are you looking at?\Here he comes. response:	Oh?
context: You'll be okay as long as we stay like this, right?\The future can't be changed.\Let's go to the beach.\It's safer.\The beach tomorrow. For sure.\What are you looking at?\Here he comes.\Oh? response:	There he is, right on time.
context: The future can't be changed.\Let's go to the beach.\It's safer.\The beach tomorrow. For sure.\What are you looking at?\Here he comes.\Oh?\There he is, right on time. response:	He's coming, the 5:30 guy.
context: Let's go to the beach.\It's safer.\The beach tomorrow. For sure.\What are you looking at?\Here he comes.\Oh?\There he is, right on time.\He's coming, the 5:30 guy. response:	He's so amazing.
context: It's safer.\The beach tomorrow. For sure.\What are you looking at?\Here he comes.\Oh?\There he is, right on time.\He's coming, the 5:30 guy.\He's so amazing. response:	That's my sister's friend.
context: The beach tomorrow. For sure.\What are you looking at?\Here he comes.\Oh?\There he is, right on time.\He's coming, the 5:30 guy.\He's so amazing.\That's my sister's friend. response:	Really?
context: What are you looking at?\Here he comes.\Oh?\There he is, right on time.\He's coming, the 5:30 guy.\He's so amazing.\That's my sister's friend.\Really? response:	You know him? Have you talked to him?
context: Here he comes.\Oh?\There he is, right on time.\He's coming, the 5:30 guy.\He's so amazing.\That's my sister's friend.\Really?\You know him? Have you talked to him? response:	I haven't.
context: Oh?\There he is, right on time.\He's coming, the 5:30 guy.\He's so amazing.\That's my sister's friend.\Really?\You know him? Have you talked to him?\I haven't. response:	Really? That's a shame.
context: There he is, right on time.\He's coming, the 5:30 guy.\He's so amazing.\That's my sister's friend.\Really?\You know him? Have you talked to him?\I haven't.\Really? That's a shame. response:	He's just so hot.
context: He's coming, the 5:30 guy.\He's so amazing.\That's my sister's friend.\Really?\You know him? Have you talked to him?\I haven't.\Really? That's a shame.\He's just so hot. response:	I know.
context: He's so amazing.\That's my sister's friend.\Really?\You know him? Have you talked to him?\I haven't.\Really? That's a shame.\He's just so hot.\I know. response:	But I heard he's kind of in a mess.
context: That's my sister's friend.\Really?\You know him? Have you talked to him?\I haven't.\Really? That's a shame.\He's just so hot.\I know.\But I heard he's kind of in a mess. response:	What's wrong?
context: Really?\You know him? Have you talked to him?\I haven't.\Really? That's a shame.\He's just so hot.\I know.\But I heard he's kind of in a mess.\What's wrong? response:	Hey there.
context: You know him? Have you talked to him?\I haven't.\Really? That's a shame.\He's just so hot.\I know.\But I heard he's kind of in a mess.\What's wrong?\Hey there. response:	Coach.
context: I haven't.\Really? That's a shame.\He's just so hot.\I know.\But I heard he's kind of in a mess.\What's wrong?\Hey there.\Coach. response:	You've been training, huh?
context: Really? That's a shame.\He's just so hot.\I know.\But I heard he's kind of in a mess.\What's wrong?\Hey there.\Coach.\You've been training, huh? response:	Your record at the track meetI'm impressed.
context: He's just so hot.\I know.\But I heard he's kind of in a mess.\What's wrong?\Hey there.\Coach.\You've been training, huh?\Your record at the track meetI'm impressed. response:	It was so bad.
context: I know.\But I heard he's kind of in a mess.\What's wrong?\Hey there.\Coach.\You've been training, huh?\Your record at the track meetI'm impressed.\It was so bad. response:	No, it wasn't.
context: But I heard he's kind of in a mess.\What's wrong?\Hey there.\Coach.\You've been training, huh?\Your record at the track meetI'm impressed.\It was so bad.\No, it wasn't. response:	Call me if you want to talk about anything.
context: What's wrong?\Hey there.\Coach.\You've been training, huh?\Your record at the track meetI'm impressed.\It was so bad.\No, it wasn't.\Call me if you want to talk about anything. response:	Oh, I have summer camp for a week starting the day after tomorrow.
context: Hey there.\Coach.\You've been training, huh?\Your record at the track meetI'm impressed.\It was so bad.\No, it wasn't.\Call me if you want to talk about anything.\Oh, I have summer camp for a week starting the day after tomorrow. response:	I'd prefer if you could call me before or after that.
context: Coach.\You've been training, huh?\Your record at the track meetI'm impressed.\It was so bad.\No, it wasn't.\Call me if you want to talk about anything.\Oh, I have summer camp for a week starting the day after tomorrow.\I'd prefer if you could call me before or after that. response:	Working hard first thing in the morning, huh, Onee-san?
context: You've been training, huh?\Your record at the track meetI'm impressed.\It was so bad.\No, it wasn't.\Call me if you want to talk about anything.\Oh, I have summer camp for a week starting the day after tomorrow.\I'd prefer if you could call me before or after that.\Working hard first thing in the morning, huh, Onee-san? response:	You're keeping up well with your club work, too.
