context: Haru, stop! response:	Final Episode
context: I'm a fish.\I'll jump into the ocean and lure him to some ocean far, far away.\Then no one will be in danger.\I won't let you wither.\Don't do it!\What will you do if you become part of his horde?\I won't let you wither.\But it's the only option left. response:	I won't let you wither.
context: I'll jump into the ocean and lure him to some ocean far, far away.\Then no one will be in danger.\I won't let you wither.\Don't do it!\What will you do if you become part of his horde?\I won't let you wither.\But it's the only option left.\I won't let you wither. response:	I have to go. We can't catch him.
context: Then no one will be in danger.\I won't let you wither.\Don't do it!\What will you do if you become part of his horde?\I won't let you wither.\But it's the only option left.\I won't let you wither.\I have to go. We can't catch him. response:	I won't let you wither.
context: I won't let you wither.\Don't do it!\What will you do if you become part of his horde?\I won't let you wither.\But it's the only option left.\I won't let you wither.\I have to go. We can't catch him.\I won't let you wither. response:	I won't let you wither.
context: Don't do it!\What will you do if you become part of his horde?\I won't let you wither.\But it's the only option left.\I won't let you wither.\I have to go. We can't catch him.\I won't let you wither.\I won't let you wither. response:	It's the only way.
context: What will you do if you become part of his horde?\I won't let you wither.\But it's the only option left.\I won't let you wither.\I have to go. We can't catch him.\I won't let you wither.\I won't let you wither.\It's the only way. response:	They're getting closer.
context: I won't let you wither.\But it's the only option left.\I won't let you wither.\I have to go. We can't catch him.\I won't let you wither.\I won't let you wither.\It's the only way.\They're getting closer. response:	It's okay.
context: But it's the only option left.\I won't let you wither.\I have to go. We can't catch him.\I won't let you wither.\I won't let you wither.\It's the only way.\They're getting closer.\It's okay. response:	Yuki and the others will do something.
context: I won't let you wither.\I have to go. We can't catch him.\I won't let you wither.\I won't let you wither.\It's the only way.\They're getting closer.\It's okay.\Yuki and the others will do something. response:	Right, Misaki-san?
context: I have to go. We can't catch him.\I won't let you wither.\I won't let you wither.\It's the only way.\They're getting closer.\It's okay.\Yuki and the others will do something.\Right, Misaki-san? response:	Driver, I'm getting off!
context: I won't let you wither.\I won't let you wither.\It's the only way.\They're getting closer.\It's okay.\Yuki and the others will do something.\Right, Misaki-san?\Driver, I'm getting off! response:	What?
context: I won't let you wither.\It's the only way.\They're getting closer.\It's okay.\Yuki and the others will do something.\Right, Misaki-san?\Driver, I'm getting off!\What? response:	Ayumi-chan, grab onto my shoulder.
context: It's the only way.\They're getting closer.\It's okay.\Yuki and the others will do something.\Right, Misaki-san?\Driver, I'm getting off!\What?\Ayumi-chan, grab onto my shoulder. response:	Yes!
context: They're getting closer.\It's okay.\Yuki and the others will do something.\Right, Misaki-san?\Driver, I'm getting off!\What?\Ayumi-chan, grab onto my shoulder.\Yes! response:	Ow! Ow!
context: It's okay.\Yuki and the others will do something.\Right, Misaki-san?\Driver, I'm getting off!\What?\Ayumi-chan, grab onto my shoulder.\Yes!\Ow! Ow! response:	Hurry. If we fall, it's over.
context: Yuki and the others will do something.\Right, Misaki-san?\Driver, I'm getting off!\What?\Ayumi-chan, grab onto my shoulder.\Yes!\Ow! Ow!\Hurry. If we fall, it's over. response:	Watch out!
context: Right, Misaki-san?\Driver, I'm getting off!\What?\Ayumi-chan, grab onto my shoulder.\Yes!\Ow! Ow!\Hurry. If we fall, it's over.\Watch out! response:	We can't rely on stop lights anymore.
context: Driver, I'm getting off!\What?\Ayumi-chan, grab onto my shoulder.\Yes!\Ow! Ow!\Hurry. If we fall, it's over.\Watch out!\We can't rely on stop lights anymore. response:	This is Enoshima!
context: What?\Ayumi-chan, grab onto my shoulder.\Yes!\Ow! Ow!\Hurry. If we fall, it's over.\Watch out!\We can't rely on stop lights anymore.\This is Enoshima! response:	Where is the military strike?
context: Ayumi-chan, grab onto my shoulder.\Yes!\Ow! Ow!\Hurry. If we fall, it's over.\Watch out!\We can't rely on stop lights anymore.\This is Enoshima!\Where is the military strike? response:	Wait a little longer.
context: Yes!\Ow! Ow!\Hurry. If we fall, it's over.\Watch out!\We can't rely on stop lights anymore.\This is Enoshima!\Where is the military strike?\Wait a little longer. response:	We can't afford to do that.
context: Ow! Ow!\Hurry. If we fall, it's over.\Watch out!\We can't rely on stop lights anymore.\This is Enoshima!\Where is the military strike?\Wait a little longer.\We can't afford to do that. response:	We've instructed the entire Kanagawa area to evacuate.
context: Hurry. If we fall, it's over.\Watch out!\We can't rely on stop lights anymore.\This is Enoshima!\Where is the military strike?\Wait a little longer.\We can't afford to do that.\We've instructed the entire Kanagawa area to evacuate. response:	The affected area has expanded to include Yokosuka.
context: Watch out!\We can't rely on stop lights anymore.\This is Enoshima!\Where is the military strike?\Wait a little longer.\We can't afford to do that.\We've instructed the entire Kanagawa area to evacuate.\The affected area has expanded to include Yokosuka. response:	But some of our men are still on those ships.
context: We can't rely on stop lights anymore.\This is Enoshima!\Where is the military strike?\Wait a little longer.\We can't afford to do that.\We've instructed the entire Kanagawa area to evacuate.\The affected area has expanded to include Yokosuka.\But some of our men are still on those ships. response:	My own underling, Yamada, is on that fishing boat!
context: This is Enoshima!\Where is the military strike?\Wait a little longer.\We can't afford to do that.\We've instructed the entire Kanagawa area to evacuate.\The affected area has expanded to include Yokosuka.\But some of our men are still on those ships.\My own underling, Yamada, is on that fishing boat! response:	We cannot help some sacrifices.
context: Where is the military strike?\Wait a little longer.\We can't afford to do that.\We've instructed the entire Kanagawa area to evacuate.\The affected area has expanded to include Yokosuka.\But some of our men are still on those ships.\My own underling, Yamada, is on that fishing boat!\We cannot help some sacrifices. response:	If this becomes an international incident,
context: Wait a little longer.\We can't afford to do that.\We've instructed the entire Kanagawa area to evacuate.\The affected area has expanded to include Yokosuka.\But some of our men are still on those ships.\My own underling, Yamada, is on that fishing boat!\We cannot help some sacrifices.\If this becomes an international incident, response:	will you take responsibility for it?
context: We can't afford to do that.\We've instructed the entire Kanagawa area to evacuate.\The affected area has expanded to include Yokosuka.\But some of our men are still on those ships.\My own underling, Yamada, is on that fishing boat!\We cannot help some sacrifices.\If this becomes an international incident,\will you take responsibility for it? response:	We've sent four members from the council to Japan.
context: We've instructed the entire Kanagawa area to evacuate.\The affected area has expanded to include Yokosuka.\But some of our men are still on those ships.\My own underling, Yamada, is on that fishing boat!\We cannot help some sacrifices.\If this becomes an international incident,\will you take responsibility for it?\We've sent four members from the council to Japan. response:	If you cannot make the decision, they will make it for you.
context: The affected area has expanded to include Yokosuka.\But some of our men are still on those ships.\My own underling, Yamada, is on that fishing boat!\We cannot help some sacrifices.\If this becomes an international incident,\will you take responsibility for it?\We've sent four members from the council to Japan.\If you cannot make the decision, they will make it for you. response:	I understand.
context: But some of our men are still on those ships.\My own underling, Yamada, is on that fishing boat!\We cannot help some sacrifices.\If this becomes an international incident,\will you take responsibility for it?\We've sent four members from the council to Japan.\If you cannot make the decision, they will make it for you.\I understand. response:	However, allow me to say this.
context: My own underling, Yamada, is on that fishing boat!\We cannot help some sacrifices.\If this becomes an international incident,\will you take responsibility for it?\We've sent four members from the council to Japan.\If you cannot make the decision, they will make it for you.\I understand.\However, allow me to say this. response:	Protecting the lives of my men is part of my job!
context: We cannot help some sacrifices.\If this becomes an international incident,\will you take responsibility for it?\We've sent four members from the council to Japan.\If you cannot make the decision, they will make it for you.\I understand.\However, allow me to say this.\Protecting the lives of my men is part of my job! response:	You have three minutes.
context: If this becomes an international incident,\will you take responsibility for it?\We've sent four members from the council to Japan.\If you cannot make the decision, they will make it for you.\I understand.\However, allow me to say this.\Protecting the lives of my men is part of my job!\You have three minutes. response:	We cannot wait any longer than that.
context: will you take responsibility for it?\We've sent four members from the council to Japan.\If you cannot make the decision, they will make it for you.\I understand.\However, allow me to say this.\Protecting the lives of my men is part of my job!\You have three minutes.\We cannot wait any longer than that. response:	Look at that.
context: We've sent four members from the council to Japan.\If you cannot make the decision, they will make it for you.\I understand.\However, allow me to say this.\Protecting the lives of my men is part of my job!\You have three minutes.\We cannot wait any longer than that.\Look at that. response:	Seriously?
context: If you cannot make the decision, they will make it for you.\I understand.\However, allow me to say this.\Protecting the lives of my men is part of my job!\You have three minutes.\We cannot wait any longer than that.\Look at that.\Seriously? response:	That doesn't look good.
context: I understand.\However, allow me to say this.\Protecting the lives of my men is part of my job!\You have three minutes.\We cannot wait any longer than that.\Look at that.\Seriously?\That doesn't look good. response:	What's going to happen?
context: However, allow me to say this.\Protecting the lives of my men is part of my job!\You have three minutes.\We cannot wait any longer than that.\Look at that.\Seriously?\That doesn't look good.\What's going to happen? response:	Who are they?
context: Protecting the lives of my men is part of my job!\You have three minutes.\We cannot wait any longer than that.\Look at that.\Seriously?\That doesn't look good.\What's going to happen?\Who are they? response:	What are they thinking, fishing at a time like this?
context: You have three minutes.\We cannot wait any longer than that.\Look at that.\Seriously?\That doesn't look good.\What's going to happen?\Who are they?\What are they thinking, fishing at a time like this? response:	Everyone...
context: We cannot wait any longer than that.\Look at that.\Seriously?\That doesn't look good.\What's going to happen?\Who are they?\What are they thinking, fishing at a time like this?\Everyone... response:	I'm sorry.
context: Look at that.\Seriously?\That doesn't look good.\What's going to happen?\Who are they?\What are they thinking, fishing at a time like this?\Everyone...\I'm sorry. response:	I won't let you wither.
context: Seriously?\That doesn't look good.\What's going to happen?\Who are they?\What are they thinking, fishing at a time like this?\Everyone...\I'm sorry.\I won't let you wither. response:	I'm sorry for putting you all in danger.
context: That doesn't look good.\What's going to happen?\Who are they?\What are they thinking, fishing at a time like this?\Everyone...\I'm sorry.\I won't let you wither.\I'm sorry for putting you all in danger. response:	I'm really sorry.
context: What's going to happen?\Who are they?\What are they thinking, fishing at a time like this?\Everyone...\I'm sorry.\I won't let you wither.\I'm sorry for putting you all in danger.\I'm really sorry. response:	I won't let you wither.
context: Who are they?\What are they thinking, fishing at a time like this?\Everyone...\I'm sorry.\I won't let you wither.\I'm sorry for putting you all in danger.\I'm really sorry.\I won't let you wither. response:	I won't let you wither!
context: What are they thinking, fishing at a time like this?\Everyone...\I'm sorry.\I won't let you wither.\I'm sorry for putting you all in danger.\I'm really sorry.\I won't let you wither.\I won't let you wither! response:	Today's Events
context: Everyone...\I'm sorry.\I won't let you wither.\I'm sorry for putting you all in danger.\I'm really sorry.\I won't let you wither.\I won't let you wither!\Today's Events response:	Today's Events
context: I'm sorry.\I won't let you wither.\I'm sorry for putting you all in danger.\I'm really sorry.\I won't let you wither.\I won't let you wither!\Today's Events\Today's Events response:	Companion.
context: I won't let you wither.\I'm sorry for putting you all in danger.\I'm really sorry.\I won't let you wither.\I won't let you wither!\Today's Events\Today's Events\Companion. response:	Next, use your imagination.
context: I'm sorry for putting you all in danger.\I'm really sorry.\I won't let you wither.\I won't let you wither!\Today's Events\Today's Events\Companion.\Next, use your imagination. response:	Imagination?
context: I'm really sorry.\I won't let you wither.\I won't let you wither!\Today's Events\Today's Events\Companion.\Next, use your imagination.\Imagination? response:	Feel it.
context: I won't let you wither.\I won't let you wither!\Today's Events\Today's Events\Companion.\Next, use your imagination.\Imagination?\Feel it. response:	Haino, haino, haino.
context: I won't let you wither!\Today's Events\Today's Events\Companion.\Next, use your imagination.\Imagination?\Feel it.\Haino, haino, haino. response:	Fishing's something you have to think about for yourself.
context: Today's Events\Today's Events\Companion.\Next, use your imagination.\Imagination?\Feel it.\Haino, haino, haino.\Fishing's something you have to think about for yourself. response:	Yoisho, yoishona.
context: Today's Events\Companion.\Next, use your imagination.\Imagination?\Feel it.\Haino, haino, haino.\Fishing's something you have to think about for yourself.\Yoisho, yoishona. response:	If you make this thing act,
context: Companion.\Next, use your imagination.\Imagination?\Feel it.\Haino, haino, haino.\Fishing's something you have to think about for yourself.\Yoisho, yoishona.\If you make this thing act, response:	it'll seem even closer to the real thing.
context: Next, use your imagination.\Imagination?\Feel it.\Haino, haino, haino.\Fishing's something you have to think about for yourself.\Yoisho, yoishona.\If you make this thing act,\it'll seem even closer to the real thing. response:	You should be able to think of something.
context: Imagination?\Feel it.\Haino, haino, haino.\Fishing's something you have to think about for yourself.\Yoisho, yoishona.\If you make this thing act,\it'll seem even closer to the real thing.\You should be able to think of something. response:	Goddess.
context: Feel it.\Haino, haino, haino.\Fishing's something you have to think about for yourself.\Yoisho, yoishona.\If you make this thing act,\it'll seem even closer to the real thing.\You should be able to think of something.\Goddess. response:	I'm a fish.
context: Haino, haino, haino.\Fishing's something you have to think about for yourself.\Yoisho, yoishona.\If you make this thing act,\it'll seem even closer to the real thing.\You should be able to think of something.\Goddess.\I'm a fish. response:	I won't let you wither.
context: Fishing's something you have to think about for yourself.\Yoisho, yoishona.\If you make this thing act,\it'll seem even closer to the real thing.\You should be able to think of something.\Goddess.\I'm a fish.\I won't let you wither. response:	I won't let you wither.
context: Yoisho, yoishona.\If you make this thing act,\it'll seem even closer to the real thing.\You should be able to think of something.\Goddess.\I'm a fish.\I won't let you wither.\I won't let you wither. response:	I won't let you wither!
context: If you make this thing act,\it'll seem even closer to the real thing.\You should be able to think of something.\Goddess.\I'm a fish.\I won't let you wither.\I won't let you wither.\I won't let you wither! response:	Hey...
context: it'll seem even closer to the real thing.\You should be able to think of something.\Goddess.\I'm a fish.\I won't let you wither.\I won't let you wither.\I won't let you wither!\Hey... response:	What are you doing?
context: You should be able to think of something.\Goddess.\I'm a fish.\I won't let you wither.\I won't let you wither.\I won't let you wither!\Hey...\What are you doing? response:	The goddess!
context: Goddess.\I'm a fish.\I won't let you wither.\I won't let you wither.\I won't let you wither!\Hey...\What are you doing?\The goddess! response:	She worked together with her companion to fish up the dragon.
context: I'm a fish.\I won't let you wither.\I won't let you wither.\I won't let you wither!\Hey...\What are you doing?\The goddess!\She worked together with her companion to fish up the dragon. response:	Yuki?
context: I won't let you wither.\I won't let you wither.\I won't let you wither!\Hey...\What are you doing?\The goddess!\She worked together with her companion to fish up the dragon.\Yuki? response:	Haru, you and Koko knew nothing about fishing, right?
context: I won't let you wither.\I won't let you wither!\Hey...\What are you doing?\The goddess!\She worked together with her companion to fish up the dragon.\Yuki?\Haru, you and Koko knew nothing about fishing, right? response:	Yeah.
context: I won't let you wither!\Hey...\What are you doing?\The goddess!\She worked together with her companion to fish up the dragon.\Yuki?\Haru, you and Koko knew nothing about fishing, right?\Yeah. response:	Haru, do you know how
context: Hey...\What are you doing?\The goddess!\She worked together with her companion to fish up the dragon.\Yuki?\Haru, you and Koko knew nothing about fishing, right?\Yeah.\Haru, do you know how response:	the goddess fished up the dragon all those years ago?
context: What are you doing?\The goddess!\She worked together with her companion to fish up the dragon.\Yuki?\Haru, you and Koko knew nothing about fishing, right?\Yeah.\Haru, do you know how\the goddess fished up the dragon all those years ago? response:	No.
context: The goddess!\She worked together with her companion to fish up the dragon.\Yuki?\Haru, you and Koko knew nothing about fishing, right?\Yeah.\Haru, do you know how\the goddess fished up the dragon all those years ago?\No. response:	I don't know.
context: She worked together with her companion to fish up the dragon.\Yuki?\Haru, you and Koko knew nothing about fishing, right?\Yeah.\Haru, do you know how\the goddess fished up the dragon all those years ago?\No.\I don't know. response:	Why did you come here?
context: Yuki?\Haru, you and Koko knew nothing about fishing, right?\Yeah.\Haru, do you know how\the goddess fished up the dragon all those years ago?\No.\I don't know.\Why did you come here? response:	Why did you come here with Koko?
context: Haru, you and Koko knew nothing about fishing, right?\Yeah.\Haru, do you know how\the goddess fished up the dragon all those years ago?\No.\I don't know.\Why did you come here?\Why did you come here with Koko? response:	Because that's how it was in the past, I guess?
context: Yeah.\Haru, do you know how\the goddess fished up the dragon all those years ago?\No.\I don't know.\Why did you come here?\Why did you come here with Koko?\Because that's how it was in the past, I guess? response:	They needed two goddesses.
context: Haru, do you know how\the goddess fished up the dragon all those years ago?\No.\I don't know.\Why did you come here?\Why did you come here with Koko?\Because that's how it was in the past, I guess?\They needed two goddesses. response:	One protected the fisherman from the dragon.
context: the goddess fished up the dragon all those years ago?\No.\I don't know.\Why did you come here?\Why did you come here with Koko?\Because that's how it was in the past, I guess?\They needed two goddesses.\One protected the fisherman from the dragon. response:	So, what was the other goddess doing?
context: No.\I don't know.\Why did you come here?\Why did you come here with Koko?\Because that's how it was in the past, I guess?\They needed two goddesses.\One protected the fisherman from the dragon.\So, what was the other goddess doing? response:	Haru.
context: I don't know.\Why did you come here?\Why did you come here with Koko?\Because that's how it was in the past, I guess?\They needed two goddesses.\One protected the fisherman from the dragon.\So, what was the other goddess doing?\Haru. response:	You're the lure.
context: Why did you come here?\Why did you come here with Koko?\Because that's how it was in the past, I guess?\They needed two goddesses.\One protected the fisherman from the dragon.\So, what was the other goddess doing?\Haru.\You're the lure. response:	You're the legendary lure!
context: Why did you come here with Koko?\Because that's how it was in the past, I guess?\They needed two goddesses.\One protected the fisherman from the dragon.\So, what was the other goddess doing?\Haru.\You're the lure.\You're the legendary lure! response:	The entire area from Enoshima to Kanagawa
context: Because that's how it was in the past, I guess?\They needed two goddesses.\One protected the fisherman from the dragon.\So, what was the other goddess doing?\Haru.\You're the lure.\You're the legendary lure!\The entire area from Enoshima to Kanagawa response:	has entered a panicked situation in which people
context: They needed two goddesses.\One protected the fisherman from the dragon.\So, what was the other goddess doing?\Haru.\You're the lure.\You're the legendary lure!\The entire area from Enoshima to Kanagawa\has entered a panicked situation in which people response:	burst into dance one after another.
context: One protected the fisherman from the dragon.\So, what was the other goddess doing?\Haru.\You're the lure.\You're the legendary lure!\The entire area from Enoshima to Kanagawa\has entered a panicked situation in which people\burst into dance one after another. response:	According to Alien Investigation Organization Duck,
context: So, what was the other goddess doing?\Haru.\You're the lure.\You're the legendary lure!\The entire area from Enoshima to Kanagawa\has entered a panicked situation in which people\burst into dance one after another.\According to Alien Investigation Organization Duck, response:	the situation created by the unknown life form is called
context: Haru.\You're the lure.\You're the legendary lure!\The entire area from Enoshima to Kanagawa\has entered a panicked situation in which people\burst into dance one after another.\According to Alien Investigation Organization Duck,\the situation created by the unknown life form is called response:	the Bermuda Syndrome...
context: You're the lure.\You're the legendary lure!\The entire area from Enoshima to Kanagawa\has entered a panicked situation in which people\burst into dance one after another.\According to Alien Investigation Organization Duck,\the situation created by the unknown life form is called\the Bermuda Syndrome... response:	and is responsible for the incidents of disappearing ships
context: You're the legendary lure!\The entire area from Enoshima to Kanagawa\has entered a panicked situation in which people\burst into dance one after another.\According to Alien Investigation Organization Duck,\the situation created by the unknown life form is called\the Bermuda Syndrome...\and is responsible for the incidents of disappearing ships response:	and memory loss all over the world of the last few years.
context: The entire area from Enoshima to Kanagawa\has entered a panicked situation in which people\burst into dance one after another.\According to Alien Investigation Organization Duck,\the situation created by the unknown life form is called\the Bermuda Syndrome...\and is responsible for the incidents of disappearing ships\and memory loss all over the world of the last few years. response:	The present incident of individuals suddenly bursting into dance
context: has entered a panicked situation in which people\burst into dance one after another.\According to Alien Investigation Organization Duck,\the situation created by the unknown life form is called\the Bermuda Syndrome...\and is responsible for the incidents of disappearing ships\and memory loss all over the world of the last few years.\The present incident of individuals suddenly bursting into dance response:	is also a product of Bermuda Syndrome.
context: burst into dance one after another.\According to Alien Investigation Organization Duck,\the situation created by the unknown life form is called\the Bermuda Syndrome...\and is responsible for the incidents of disappearing ships\and memory loss all over the world of the last few years.\The present incident of individuals suddenly bursting into dance\is also a product of Bermuda Syndrome. response:	Grandpa!
context: According to Alien Investigation Organization Duck,\the situation created by the unknown life form is called\the Bermuda Syndrome...\and is responsible for the incidents of disappearing ships\and memory loss all over the world of the last few years.\The present incident of individuals suddenly bursting into dance\is also a product of Bermuda Syndrome.\Grandpa! response:	However, without any effective way to combat
context: the situation created by the unknown life form is called\the Bermuda Syndrome...\and is responsible for the incidents of disappearing ships\and memory loss all over the world of the last few years.\The present incident of individuals suddenly bursting into dance\is also a product of Bermuda Syndrome.\Grandpa!\However, without any effective way to combat response:	the unidentified life form, the hopeless situation continues.
context: the Bermuda Syndrome...\and is responsible for the incidents of disappearing ships\and memory loss all over the world of the last few years.\The present incident of individuals suddenly bursting into dance\is also a product of Bermuda Syndrome.\Grandpa!\However, without any effective way to combat\the unidentified life form, the hopeless situation continues. response:	Grandpa!
context: and is responsible for the incidents of disappearing ships\and memory loss all over the world of the last few years.\The present incident of individuals suddenly bursting into dance\is also a product of Bermuda Syndrome.\Grandpa!\However, without any effective way to combat\the unidentified life form, the hopeless situation continues.\Grandpa! response:	Haino, haino, haino.
context: and memory loss all over the world of the last few years.\The present incident of individuals suddenly bursting into dance\is also a product of Bermuda Syndrome.\Grandpa!\However, without any effective way to combat\the unidentified life form, the hopeless situation continues.\Grandpa!\Haino, haino, haino. response:	Yoisho, yoishona.
context: The present incident of individuals suddenly bursting into dance\is also a product of Bermuda Syndrome.\Grandpa!\However, without any effective way to combat\the unidentified life form, the hopeless situation continues.\Grandpa!\Haino, haino, haino.\Yoisho, yoishona. response:	Haino, haino, haino.
context: is also a product of Bermuda Syndrome.\Grandpa!\However, without any effective way to combat\the unidentified life form, the hopeless situation continues.\Grandpa!\Haino, haino, haino.\Yoisho, yoishona.\Haino, haino, haino. response:	Tapioca!
context: Grandpa!\However, without any effective way to combat\the unidentified life form, the hopeless situation continues.\Grandpa!\Haino, haino, haino.\Yoisho, yoishona.\Haino, haino, haino.\Tapioca! response:	I'm the lure?
context: However, without any effective way to combat\the unidentified life form, the hopeless situation continues.\Grandpa!\Haino, haino, haino.\Yoisho, yoishona.\Haino, haino, haino.\Tapioca!\I'm the lure? response:	Me?
context: the unidentified life form, the hopeless situation continues.\Grandpa!\Haino, haino, haino.\Yoisho, yoishona.\Haino, haino, haino.\Tapioca!\I'm the lure?\Me? response:	Yuki, Natsuki.
context: Grandpa!\Haino, haino, haino.\Yoisho, yoishona.\Haino, haino, haino.\Tapioca!\I'm the lure?\Me?\Yuki, Natsuki. response:	Yamada, you have to leave the area.
context: Haino, haino, haino.\Yoisho, yoishona.\Haino, haino, haino.\Tapioca!\I'm the lure?\Me?\Yuki, Natsuki.\Yamada, you have to leave the area. response:	We're going to fire missiles.
context: Yoisho, yoishona.\Haino, haino, haino.\Tapioca!\I'm the lure?\Me?\Yuki, Natsuki.\Yamada, you have to leave the area.\We're going to fire missiles. response:	Just wait a little longer.
context: Haino, haino, haino.\Tapioca!\I'm the lure?\Me?\Yuki, Natsuki.\Yamada, you have to leave the area.\We're going to fire missiles.\Just wait a little longer. response:	We can't!
context: Tapioca!\I'm the lure?\Me?\Yuki, Natsuki.\Yamada, you have to leave the area.\We're going to fire missiles.\Just wait a little longer.\We can't! response:	We still have one last measure to try!
context: I'm the lure?\Me?\Yuki, Natsuki.\Yamada, you have to leave the area.\We're going to fire missiles.\Just wait a little longer.\We can't!\We still have one last measure to try! response:	Haru, leave it to us.
context: Me?\Yuki, Natsuki.\Yamada, you have to leave the area.\We're going to fire missiles.\Just wait a little longer.\We can't!\We still have one last measure to try!\Haru, leave it to us. response:	Don't ever say you'll go by yourself again.
context: Yuki, Natsuki.\Yamada, you have to leave the area.\We're going to fire missiles.\Just wait a little longer.\We can't!\We still have one last measure to try!\Haru, leave it to us.\Don't ever say you'll go by yourself again. response:	So tight...
context: Yamada, you have to leave the area.\We're going to fire missiles.\Just wait a little longer.\We can't!\We still have one last measure to try!\Haru, leave it to us.\Don't ever say you'll go by yourself again.\So tight... response:	Okay, Haru.
context: We're going to fire missiles.\Just wait a little longer.\We can't!\We still have one last measure to try!\Haru, leave it to us.\Don't ever say you'll go by yourself again.\So tight...\Okay, Haru. response:	We won't let this line break.
context: Just wait a little longer.\We can't!\We still have one last measure to try!\Haru, leave it to us.\Don't ever say you'll go by yourself again.\So tight...\Okay, Haru.\We won't let this line break. response:	As long as it doesn't, you'll be able to come back.
context: We can't!\We still have one last measure to try!\Haru, leave it to us.\Don't ever say you'll go by yourself again.\So tight...\Okay, Haru.\We won't let this line break.\As long as it doesn't, you'll be able to come back. response:	Yeah, okay.
context: We still have one last measure to try!\Haru, leave it to us.\Don't ever say you'll go by yourself again.\So tight...\Okay, Haru.\We won't let this line break.\As long as it doesn't, you'll be able to come back.\Yeah, okay. response:	We'll be sending you deep, so you'll need a lip.
context: Haru, leave it to us.\Don't ever say you'll go by yourself again.\So tight...\Okay, Haru.\We won't let this line break.\As long as it doesn't, you'll be able to come back.\Yeah, okay.\We'll be sending you deep, so you'll need a lip. response:	And a hook.
context: Don't ever say you'll go by yourself again.\So tight...\Okay, Haru.\We won't let this line break.\As long as it doesn't, you'll be able to come back.\Yeah, okay.\We'll be sending you deep, so you'll need a lip.\And a hook. response:	What?
