context: Wh-What... What have you done? response:	King! Foolish king!
context: I believe that you are the only one who can lead your people now!\Do you not agree?\Queen...\Make your choice.\I'm glad to see you standing, my brave, honorable queen!\And you righteous warriors\who overcame the enemy's mind control to obey your queen!\You are the only ones who can end the oppression of this mad king! response:	Is this...
context: Do you not agree?\Queen...\Make your choice.\I'm glad to see you standing, my brave, honorable queen!\And you righteous warriors\who overcame the enemy's mind control to obey your queen!\You are the only ones who can end the oppression of this mad king!\Is this... response:	A revolt.
context: Queen...\Make your choice.\I'm glad to see you standing, my brave, honorable queen!\And you righteous warriors\who overcame the enemy's mind control to obey your queen!\You are the only ones who can end the oppression of this mad king!\Is this...\A revolt. response:	The appearance of a third force...
context: Make your choice.\I'm glad to see you standing, my brave, honorable queen!\And you righteous warriors\who overcame the enemy's mind control to obey your queen!\You are the only ones who can end the oppression of this mad king!\Is this...\A revolt.\The appearance of a third force... response:	Then that was Sora's goal?
context: I'm glad to see you standing, my brave, honorable queen!\And you righteous warriors\who overcame the enemy's mind control to obey your queen!\You are the only ones who can end the oppression of this mad king!\Is this...\A revolt.\The appearance of a third force...\Then that was Sora's goal? response:	I told you.
context: And you righteous warriors\who overcame the enemy's mind control to obey your queen!\You are the only ones who can end the oppression of this mad king!\Is this...\A revolt.\The appearance of a third force...\Then that was Sora's goal?\I told you. response:	I'll win without fighting.
context: who overcame the enemy's mind control to obey your queen!\You are the only ones who can end the oppression of this mad king!\Is this...\A revolt.\The appearance of a third force...\Then that was Sora's goal?\I told you.\I'll win without fighting. response:	Grandmaster
context: You are the only ones who can end the oppression of this mad king!\Is this...\A revolt.\The appearance of a third force...\Then that was Sora's goal?\I told you.\I'll win without fighting.\Grandmaster response:	Win without fighting?
context: Is this...\A revolt.\The appearance of a third force...\Then that was Sora's goal?\I told you.\I'll win without fighting.\Grandmaster\Win without fighting? response:	Yes, that's right.
context: A revolt.\The appearance of a third force...\Then that was Sora's goal?\I told you.\I'll win without fighting.\Grandmaster\Win without fighting?\Yes, that's right. response:	If they don't have the wisdom to do that,
context: The appearance of a third force...\Then that was Sora's goal?\I told you.\I'll win without fighting.\Grandmaster\Win without fighting?\Yes, that's right.\If they don't have the wisdom to do that, response:	I don't think they'll be able to save Elkia from its current predicament, Stephanie.
context: Then that was Sora's goal?\I told you.\I'll win without fighting.\Grandmaster\Win without fighting?\Yes, that's right.\If they don't have the wisdom to do that,\I don't think they'll be able to save Elkia from its current predicament, Stephanie. response:	But...
context: I told you.\I'll win without fighting.\Grandmaster\Win without fighting?\Yes, that's right.\If they don't have the wisdom to do that,\I don't think they'll be able to save Elkia from its current predicament, Stephanie.\But... response:	We Imanity are the weakest race in Disboard.
context: I'll win without fighting.\Grandmaster\Win without fighting?\Yes, that's right.\If they don't have the wisdom to do that,\I don't think they'll be able to save Elkia from its current predicament, Stephanie.\But...\We Imanity are the weakest race in Disboard. response:	But that's why we come up with our own ways to face the strong.
context: Grandmaster\Win without fighting?\Yes, that's right.\If they don't have the wisdom to do that,\I don't think they'll be able to save Elkia from its current predicament, Stephanie.\But...\We Imanity are the weakest race in Disboard.\But that's why we come up with our own ways to face the strong. response:	We become wise.
context: Win without fighting?\Yes, that's right.\If they don't have the wisdom to do that,\I don't think they'll be able to save Elkia from its current predicament, Stephanie.\But...\We Imanity are the weakest race in Disboard.\But that's why we come up with our own ways to face the strong.\We become wise. response:	That's what your grandpa thinks.
context: Yes, that's right.\If they don't have the wisdom to do that,\I don't think they'll be able to save Elkia from its current predicament, Stephanie.\But...\We Imanity are the weakest race in Disboard.\But that's why we come up with our own ways to face the strong.\We become wise.\That's what your grandpa thinks. response:	Grandfather...
context: If they don't have the wisdom to do that,\I don't think they'll be able to save Elkia from its current predicament, Stephanie.\But...\We Imanity are the weakest race in Disboard.\But that's why we come up with our own ways to face the strong.\We become wise.\That's what your grandpa thinks.\Grandfather... response:	There must be someone out there with that wisdom.
context: I don't think they'll be able to save Elkia from its current predicament, Stephanie.\But...\We Imanity are the weakest race in Disboard.\But that's why we come up with our own ways to face the strong.\We become wise.\That's what your grandpa thinks.\Grandfather...\There must be someone out there with that wisdom. response:	Someone who knows that strength because they are weaker than anyone.
context: But...\We Imanity are the weakest race in Disboard.\But that's why we come up with our own ways to face the strong.\We become wise.\That's what your grandpa thinks.\Grandfather...\There must be someone out there with that wisdom.\Someone who knows that strength because they are weaker than anyone. response:	That's...
context: We Imanity are the weakest race in Disboard.\But that's why we come up with our own ways to face the strong.\We become wise.\That's what your grandpa thinks.\Grandfather...\There must be someone out there with that wisdom.\Someone who knows that strength because they are weaker than anyone.\That's... response:	We do not seek blood!
context: But that's why we come up with our own ways to face the strong.\We become wise.\That's what your grandpa thinks.\Grandfather...\There must be someone out there with that wisdom.\Someone who knows that strength because they are weaker than anyone.\That's...\We do not seek blood! response:	We seek what everyone seeks: peace!
context: We become wise.\That's what your grandpa thinks.\Grandfather...\There must be someone out there with that wisdom.\Someone who knows that strength because they are weaker than anyone.\That's...\We do not seek blood!\We seek what everyone seeks: peace! response:	All forces, assist the red queen's troops.
context: That's what your grandpa thinks.\Grandfather...\There must be someone out there with that wisdom.\Someone who knows that strength because they are weaker than anyone.\That's...\We do not seek blood!\We seek what everyone seeks: peace!\All forces, assist the red queen's troops. response:	Surround them.
context: Grandfather...\There must be someone out there with that wisdom.\Someone who knows that strength because they are weaker than anyone.\That's...\We do not seek blood!\We seek what everyone seeks: peace!\All forces, assist the red queen's troops.\Surround them. response:	Don't let anyone die.
context: There must be someone out there with that wisdom.\Someone who knows that strength because they are weaker than anyone.\That's...\We do not seek blood!\We seek what everyone seeks: peace!\All forces, assist the red queen's troops.\Surround them.\Don't let anyone die. response:	You traitors!
context: Someone who knows that strength because they are weaker than anyone.\That's...\We do not seek blood!\We seek what everyone seeks: peace!\All forces, assist the red queen's troops.\Surround them.\Don't let anyone die.\You traitors! response:	The red pieces are protecting them.
context: That's...\We do not seek blood!\We seek what everyone seeks: peace!\All forces, assist the red queen's troops.\Surround them.\Don't let anyone die.\You traitors!\The red pieces are protecting them. response:	Yes.
context: We do not seek blood!\We seek what everyone seeks: peace!\All forces, assist the red queen's troops.\Surround them.\Don't let anyone die.\You traitors!\The red pieces are protecting them.\Yes. response:	It won't be easy for them
context: We seek what everyone seeks: peace!\All forces, assist the red queen's troops.\Surround them.\Don't let anyone die.\You traitors!\The red pieces are protecting them.\Yes.\It won't be easy for them response:	to kill their former comrades.
context: All forces, assist the red queen's troops.\Surround them.\Don't let anyone die.\You traitors!\The red pieces are protecting them.\Yes.\It won't be easy for them\to kill their former comrades. response:	They beat my elf magic?
context: Surround them.\Don't let anyone die.\You traitors!\The red pieces are protecting them.\Yes.\It won't be easy for them\to kill their former comrades.\They beat my elf magic? response:	What race is helping them?
context: Don't let anyone die.\You traitors!\The red pieces are protecting them.\Yes.\It won't be easy for them\to kill their former comrades.\They beat my elf magic?\What race is helping them? response:	If I let someone like that take over this country...
context: You traitors!\The red pieces are protecting them.\Yes.\It won't be easy for them\to kill their former comrades.\They beat my elf magic?\What race is helping them?\If I let someone like that take over this country... response:	Hey, mad king.
context: The red pieces are protecting them.\Yes.\It won't be easy for them\to kill their former comrades.\They beat my elf magic?\What race is helping them?\If I let someone like that take over this country...\Hey, mad king. response:	Did you know?
context: Yes.\It won't be easy for them\to kill their former comrades.\They beat my elf magic?\What race is helping them?\If I let someone like that take over this country...\Hey, mad king.\Did you know? response:	It's possible to end a real war before the king is killed.
context: It won't be easy for them\to kill their former comrades.\They beat my elf magic?\What race is helping them?\If I let someone like that take over this country...\Hey, mad king.\Did you know?\It's possible to end a real war before the king is killed. response:	You don't have any way to win.
context: to kill their former comrades.\They beat my elf magic?\What race is helping them?\If I let someone like that take over this country...\Hey, mad king.\Did you know?\It's possible to end a real war before the king is killed.\You don't have any way to win. response:	Surrender.
context: They beat my elf magic?\What race is helping them?\If I let someone like that take over this country...\Hey, mad king.\Did you know?\It's possible to end a real war before the king is killed.\You don't have any way to win.\Surrender. response:	This
context: What race is helping them?\If I let someone like that take over this country...\Hey, mad king.\Did you know?\It's possible to end a real war before the king is killed.\You don't have any way to win.\Surrender.\This response:	is how you win without fighting?
context: If I let someone like that take over this country...\Hey, mad king.\Did you know?\It's possible to end a real war before the king is killed.\You don't have any way to win.\Surrender.\This\is how you win without fighting? response:	Sora!
context: Hey, mad king.\Did you know?\It's possible to end a real war before the king is killed.\You don't have any way to win.\Surrender.\This\is how you win without fighting?\Sora! response:	Surrender?
context: Did you know?\It's possible to end a real war before the king is killed.\You don't have any way to win.\Surrender.\This\is how you win without fighting?\Sora!\Surrender? response:	I won't let you have this country.
context: It's possible to end a real war before the king is killed.\You don't have any way to win.\Surrender.\This\is how you win without fighting?\Sora!\Surrender?\I won't let you have this country. response:	Our country...
context: You don't have any way to win.\Surrender.\This\is how you win without fighting?\Sora!\Surrender?\I won't let you have this country.\Our country... response:	belongs to us!
context: Surrender.\This\is how you win without fighting?\Sora!\Surrender?\I won't let you have this country.\Our country...\belongs to us! response:	All forces!
context: This\is how you win without fighting?\Sora!\Surrender?\I won't let you have this country.\Our country...\belongs to us!\All forces! response:	Sacrifice your lives to slay the enemy king!
context: is how you win without fighting?\Sora!\Surrender?\I won't let you have this country.\Our country...\belongs to us!\All forces!\Sacrifice your lives to slay the enemy king! response:	Kill all the traitors and march forward!
context: Sora!\Surrender?\I won't let you have this country.\Our country...\belongs to us!\All forces!\Sacrifice your lives to slay the enemy king!\Kill all the traitors and march forward! response:	Brother...
context: Surrender?\I won't let you have this country.\Our country...\belongs to us!\All forces!\Sacrifice your lives to slay the enemy king!\Kill all the traitors and march forward!\Brother... response:	This is what happens when you back a weakened enemy
context: I won't let you have this country.\Our country...\belongs to us!\All forces!\Sacrifice your lives to slay the enemy king!\Kill all the traitors and march forward!\Brother...\This is what happens when you back a weakened enemy response:	too far into a corner.
context: Our country...\belongs to us!\All forces!\Sacrifice your lives to slay the enemy king!\Kill all the traitors and march forward!\Brother...\This is what happens when you back a weakened enemy\too far into a corner. response:	Yeah, I know.
context: belongs to us!\All forces!\Sacrifice your lives to slay the enemy king!\Kill all the traitors and march forward!\Brother...\This is what happens when you back a weakened enemy\too far into a corner.\Yeah, I know. response:	It's not working.
context: All forces!\Sacrifice your lives to slay the enemy king!\Kill all the traitors and march forward!\Brother...\This is what happens when you back a weakened enemy\too far into a corner.\Yeah, I know.\It's not working. response:	There's no way to win without fighting...
context: Sacrifice your lives to slay the enemy king!\Kill all the traitors and march forward!\Brother...\This is what happens when you back a weakened enemy\too far into a corner.\Yeah, I know.\It's not working.\There's no way to win without fighting... response:	That's why I did it.
context: Kill all the traitors and march forward!\Brother...\This is what happens when you back a weakened enemy\too far into a corner.\Yeah, I know.\It's not working.\There's no way to win without fighting...\That's why I did it. response:	Brother.
context: Brother...\This is what happens when you back a weakened enemy\too far into a corner.\Yeah, I know.\It's not working.\There's no way to win without fighting...\That's why I did it.\Brother. response:	Oppression. Rule by fear. Dictatorships.
context: This is what happens when you back a weakened enemy\too far into a corner.\Yeah, I know.\It's not working.\There's no way to win without fighting...\That's why I did it.\Brother.\Oppression. Rule by fear. Dictatorships. response:	It's a strange thing.
context: too far into a corner.\Yeah, I know.\It's not working.\There's no way to win without fighting...\That's why I did it.\Brother.\Oppression. Rule by fear. Dictatorships.\It's a strange thing. response:	Throughout history, for some reason,
context: Yeah, I know.\It's not working.\There's no way to win without fighting...\That's why I did it.\Brother.\Oppression. Rule by fear. Dictatorships.\It's a strange thing.\Throughout history, for some reason, response:	Assassination by someone who isn't even part of a combat unit.
context: It's not working.\There's no way to win without fighting...\That's why I did it.\Brother.\Oppression. Rule by fear. Dictatorships.\It's a strange thing.\Throughout history, for some reason,\Assassination by someone who isn't even part of a combat unit. response:	Sorry.
context: There's no way to win without fighting...\That's why I did it.\Brother.\Oppression. Rule by fear. Dictatorships.\It's a strange thing.\Throughout history, for some reason,\Assassination by someone who isn't even part of a combat unit.\Sorry. response:	Our world isn't as nice a place as yours.
context: That's why I did it.\Brother.\Oppression. Rule by fear. Dictatorships.\It's a strange thing.\Throughout history, for some reason,\Assassination by someone who isn't even part of a combat unit.\Sorry.\Our world isn't as nice a place as yours. response:	When it comes to war and killing,
context: Brother.\Oppression. Rule by fear. Dictatorships.\It's a strange thing.\Throughout history, for some reason,\Assassination by someone who isn't even part of a combat unit.\Sorry.\Our world isn't as nice a place as yours.\When it comes to war and killing, response:	we have far more expertise than you do.
context: Oppression. Rule by fear. Dictatorships.\It's a strange thing.\Throughout history, for some reason,\Assassination by someone who isn't even part of a combat unit.\Sorry.\Our world isn't as nice a place as yours.\When it comes to war and killing,\we have far more expertise than you do. response:	Th-The winner of this battle is Blank!
context: It's a strange thing.\Throughout history, for some reason,\Assassination by someone who isn't even part of a combat unit.\Sorry.\Our world isn't as nice a place as yours.\When it comes to war and killing,\we have far more expertise than you do.\Th-The winner of this battle is Blank! response:	Your grandpa believes someone like that will appear.
context: Throughout history, for some reason,\Assassination by someone who isn't even part of a combat unit.\Sorry.\Our world isn't as nice a place as yours.\When it comes to war and killing,\we have far more expertise than you do.\Th-The winner of this battle is Blank!\Your grandpa believes someone like that will appear. response:	Someone who knows strength because they are weaker than anyone.
context: Assassination by someone who isn't even part of a combat unit.\Sorry.\Our world isn't as nice a place as yours.\When it comes to war and killing,\we have far more expertise than you do.\Th-The winner of this battle is Blank!\Your grandpa believes someone like that will appear.\Someone who knows strength because they are weaker than anyone. response:	Someone who can face true strength because they are weaker than anyone.
context: Sorry.\Our world isn't as nice a place as yours.\When it comes to war and killing,\we have far more expertise than you do.\Th-The winner of this battle is Blank!\Your grandpa believes someone like that will appear.\Someone who knows strength because they are weaker than anyone.\Someone who can face true strength because they are weaker than anyone. response:	They will be the hope,
context: Our world isn't as nice a place as yours.\When it comes to war and killing,\we have far more expertise than you do.\Th-The winner of this battle is Blank!\Your grandpa believes someone like that will appear.\Someone who knows strength because they are weaker than anyone.\Someone who can face true strength because they are weaker than anyone.\They will be the hope, response:	and the potential, of Imanity.
context: When it comes to war and killing,\we have far more expertise than you do.\Th-The winner of this battle is Blank!\Your grandpa believes someone like that will appear.\Someone who knows strength because they are weaker than anyone.\Someone who can face true strength because they are weaker than anyone.\They will be the hope,\and the potential, of Imanity. response:	Potential?
context: we have far more expertise than you do.\Th-The winner of this battle is Blank!\Your grandpa believes someone like that will appear.\Someone who knows strength because they are weaker than anyone.\Someone who can face true strength because they are weaker than anyone.\They will be the hope,\and the potential, of Imanity.\Potential? response:	That dress suits you well, Stephanie.
context: Th-The winner of this battle is Blank!\Your grandpa believes someone like that will appear.\Someone who knows strength because they are weaker than anyone.\Someone who can face true strength because they are weaker than anyone.\They will be the hope,\and the potential, of Imanity.\Potential?\That dress suits you well, Stephanie. response:	This'll do, right?
context: Your grandpa believes someone like that will appear.\Someone who knows strength because they are weaker than anyone.\Someone who can face true strength because they are weaker than anyone.\They will be the hope,\and the potential, of Imanity.\Potential?\That dress suits you well, Stephanie.\This'll do, right? response:	This is what your grandfather believed in.
context: Someone who knows strength because they are weaker than anyone.\Someone who can face true strength because they are weaker than anyone.\They will be the hope,\and the potential, of Imanity.\Potential?\That dress suits you well, Stephanie.\This'll do, right?\This is what your grandfather believed in. response:	Sora...
context: Someone who can face true strength because they are weaker than anyone.\They will be the hope,\and the potential, of Imanity.\Potential?\That dress suits you well, Stephanie.\This'll do, right?\This is what your grandfather believed in.\Sora... response:	Your grandfather was right to believe in Imanity.
context: They will be the hope,\and the potential, of Imanity.\Potential?\That dress suits you well, Stephanie.\This'll do, right?\This is what your grandfather believed in.\Sora...\Your grandfather was right to believe in Imanity. response:	Now no one will call him a fool.
context: and the potential, of Imanity.\Potential?\That dress suits you well, Stephanie.\This'll do, right?\This is what your grandfather believed in.\Sora...\Your grandfather was right to believe in Imanity.\Now no one will call him a fool. response:	Right?
context: Potential?\That dress suits you well, Stephanie.\This'll do, right?\This is what your grandfather believed in.\Sora...\Your grandfather was right to believe in Imanity.\Now no one will call him a fool.\Right? response:	Yeah!
context: That dress suits you well, Stephanie.\This'll do, right?\This is what your grandfather believed in.\Sora...\Your grandfather was right to believe in Imanity.\Now no one will call him a fool.\Right?\Yeah! response:	Thank you!
context: This'll do, right?\This is what your grandfather believed in.\Sora...\Your grandfather was right to believe in Imanity.\Now no one will call him a fool.\Right?\Yeah!\Thank you! response:	I'm truly grateful, Sora... Shiro...
context: This is what your grandfather believed in.\Sora...\Your grandfather was right to believe in Imanity.\Now no one will call him a fool.\Right?\Yeah!\Thank you!\I'm truly grateful, Sora... Shiro... response:	There, there.
context: Sora...\Your grandfather was right to believe in Imanity.\Now no one will call him a fool.\Right?\Yeah!\Thank you!\I'm truly grateful, Sora... Shiro...\There, there. response:	What kind of trick did you use?
context: Your grandfather was right to believe in Imanity.\Now no one will call him a fool.\Right?\Yeah!\Thank you!\I'm truly grateful, Sora... Shiro...\There, there.\What kind of trick did you use? response:	Trick?
context: Now no one will call him a fool.\Right?\Yeah!\Thank you!\I'm truly grateful, Sora... Shiro...\There, there.\What kind of trick did you use?\Trick? response:	You're not going to tell me that Imanity beat elf magic unaided, are you?
context: Right?\Yeah!\Thank you!\I'm truly grateful, Sora... Shiro...\There, there.\What kind of trick did you use?\Trick?\You're not going to tell me that Imanity beat elf magic unaided, are you? response:	Sure I am. It's the truth.
context: Yeah!\Thank you!\I'm truly grateful, Sora... Shiro...\There, there.\What kind of trick did you use?\Trick?\You're not going to tell me that Imanity beat elf magic unaided, are you?\Sure I am. It's the truth. response:	Is that a problem?
context: Thank you!\I'm truly grateful, Sora... Shiro...\There, there.\What kind of trick did you use?\Trick?\You're not going to tell me that Imanity beat elf magic unaided, are you?\Sure I am. It's the truth.\Is that a problem? response:	Honestly, I didn't think the idea of getting the elves
context: I'm truly grateful, Sora... Shiro...\There, there.\What kind of trick did you use?\Trick?\You're not going to tell me that Imanity beat elf magic unaided, are you?\Sure I am. It's the truth.\Is that a problem?\Honestly, I didn't think the idea of getting the elves response:	to help Imanity was a bad one.
context: There, there.\What kind of trick did you use?\Trick?\You're not going to tell me that Imanity beat elf magic unaided, are you?\Sure I am. It's the truth.\Is that a problem?\Honestly, I didn't think the idea of getting the elves\to help Imanity was a bad one. response:	Then...
context: What kind of trick did you use?\Trick?\You're not going to tell me that Imanity beat elf magic unaided, are you?\Sure I am. It's the truth.\Is that a problem?\Honestly, I didn't think the idea of getting the elves\to help Imanity was a bad one.\Then... response:	But I don't like the way you think.
context: Trick?\You're not going to tell me that Imanity beat elf magic unaided, are you?\Sure I am. It's the truth.\Is that a problem?\Honestly, I didn't think the idea of getting the elves\to help Imanity was a bad one.\Then...\But I don't like the way you think. response:	Doesn't the idea that we can't survive without the elves' protection
context: You're not going to tell me that Imanity beat elf magic unaided, are you?\Sure I am. It's the truth.\Is that a problem?\Honestly, I didn't think the idea of getting the elves\to help Imanity was a bad one.\Then...\But I don't like the way you think.\Doesn't the idea that we can't survive without the elves' protection response:	seem a bit self-deprecating to you?
context: Sure I am. It's the truth.\Is that a problem?\Honestly, I didn't think the idea of getting the elves\to help Imanity was a bad one.\Then...\But I don't like the way you think.\Doesn't the idea that we can't survive without the elves' protection\seem a bit self-deprecating to you? response:	But...
context: Is that a problem?\Honestly, I didn't think the idea of getting the elves\to help Imanity was a bad one.\Then...\But I don't like the way you think.\Doesn't the idea that we can't survive without the elves' protection\seem a bit self-deprecating to you?\But... response:	Imanity have their own way of doing things.
context: Honestly, I didn't think the idea of getting the elves\to help Imanity was a bad one.\Then...\But I don't like the way you think.\Doesn't the idea that we can't survive without the elves' protection\seem a bit self-deprecating to you?\But...\Imanity have their own way of doing things. response:	Just like how we were able to win because
context: to help Imanity was a bad one.\Then...\But I don't like the way you think.\Doesn't the idea that we can't survive without the elves' protection\seem a bit self-deprecating to you?\But...\Imanity have their own way of doing things.\Just like how we were able to win because response:	you were convinced to the very end that we were enemy spies.
context: Then...\But I don't like the way you think.\Doesn't the idea that we can't survive without the elves' protection\seem a bit self-deprecating to you?\But...\Imanity have their own way of doing things.\Just like how we were able to win because\you were convinced to the very end that we were enemy spies. response:	That can't be.
context: But I don't like the way you think.\Doesn't the idea that we can't survive without the elves' protection\seem a bit self-deprecating to you?\But...\Imanity have their own way of doing things.\Just like how we were able to win because\you were convinced to the very end that we were enemy spies.\That can't be. response:	There's no way a mere human can defeat magic!
context: Doesn't the idea that we can't survive without the elves' protection\seem a bit self-deprecating to you?\But...\Imanity have their own way of doing things.\Just like how we were able to win because\you were convinced to the very end that we were enemy spies.\That can't be.\There's no way a mere human can defeat magic! response:	If that's what you think, that's fine.
context: seem a bit self-deprecating to you?\But...\Imanity have their own way of doing things.\Just like how we were able to win because\you were convinced to the very end that we were enemy spies.\That can't be.\There's no way a mere human can defeat magic!\If that's what you think, that's fine. response:	That just means that's your limit.
context: But...\Imanity have their own way of doing things.\Just like how we were able to win because\you were convinced to the very end that we were enemy spies.\That can't be.\There's no way a mere human can defeat magic!\If that's what you think, that's fine.\That just means that's your limit. response:	Whether we're up against elves or gods,
context: Imanity have their own way of doing things.\Just like how we were able to win because\you were convinced to the very end that we were enemy spies.\That can't be.\There's no way a mere human can defeat magic!\If that's what you think, that's fine.\That just means that's your limit.\Whether we're up against elves or gods, response:	Blank never loses.
context: Just like how we were able to win because\you were convinced to the very end that we were enemy spies.\That can't be.\There's no way a mere human can defeat magic!\If that's what you think, that's fine.\That just means that's your limit.\Whether we're up against elves or gods,\Blank never loses. response:	Don't underestimate humanity.
context: you were convinced to the very end that we were enemy spies.\That can't be.\There's no way a mere human can defeat magic!\If that's what you think, that's fine.\That just means that's your limit.\Whether we're up against elves or gods,\Blank never loses.\Don't underestimate humanity. response:	What?!
context: That can't be.\There's no way a mere human can defeat magic!\If that's what you think, that's fine.\That just means that's your limit.\Whether we're up against elves or gods,\Blank never loses.\Don't underestimate humanity.\What?! response:	Do you have any idea how much
context: There's no way a mere human can defeat magic!\If that's what you think, that's fine.\That just means that's your limit.\Whether we're up against elves or gods,\Blank never loses.\Don't underestimate humanity.\What?!\Do you have any idea how much response:	t-trouble I went through to get the elves to help me?
context: If that's what you think, that's fine.\That just means that's your limit.\Whether we're up against elves or gods,\Blank never loses.\Don't underestimate humanity.\What?!\Do you have any idea how much\t-trouble I went through to get the elves to help me? response:	Wait... L-Look...
context: That just means that's your limit.\Whether we're up against elves or gods,\Blank never loses.\Don't underestimate humanity.\What?!\Do you have any idea how much\t-trouble I went through to get the elves to help me?\Wait... L-Look... response:	I didn't underestimate anyone! I was serious!
context: Whether we're up against elves or gods,\Blank never loses.\Don't underestimate humanity.\What?!\Do you have any idea how much\t-trouble I went through to get the elves to help me?\Wait... L-Look...\I didn't underestimate anyone! I was serious! response:	Brother, you made a girl cry.
context: Blank never loses.\Don't underestimate humanity.\What?!\Do you have any idea how much\t-trouble I went through to get the elves to help me?\Wait... L-Look...\I didn't underestimate anyone! I was serious!\Brother, you made a girl cry. response:	I was serious...
context: Don't underestimate humanity.\What?!\Do you have any idea how much\t-trouble I went through to get the elves to help me?\Wait... L-Look...\I didn't underestimate anyone! I was serious!\Brother, you made a girl cry.\I was serious... response:	It's my fault?
context: What?!\Do you have any idea how much\t-trouble I went through to get the elves to help me?\Wait... L-Look...\I didn't underestimate anyone! I was serious!\Brother, you made a girl cry.\I was serious...\It's my fault? response:	I wasn't underestimating anyone...
context: Do you have any idea how much\t-trouble I went through to get the elves to help me?\Wait... L-Look...\I didn't underestimate anyone! I was serious!\Brother, you made a girl cry.\I was serious...\It's my fault?\I wasn't underestimating anyone... response:	Even though you don't have a girlfriend. Even though you're a virgin.
context: t-trouble I went through to get the elves to help me?\Wait... L-Look...\I didn't underestimate anyone! I was serious!\Brother, you made a girl cry.\I was serious...\It's my fault?\I wasn't underestimating anyone...\Even though you don't have a girlfriend. Even though you're a virgin. response:	I'll never accept this!
context: Wait... L-Look...\I didn't underestimate anyone! I was serious!\Brother, you made a girl cry.\I was serious...\It's my fault?\I wasn't underestimating anyone...\Even though you don't have a girlfriend. Even though you're a virgin.\I'll never accept this! response:	I'll expose your secret!
context: I didn't underestimate anyone! I was serious!\Brother, you made a girl cry.\I was serious...\It's my fault?\I wasn't underestimating anyone...\Even though you don't have a girlfriend. Even though you're a virgin.\I'll never accept this!\I'll expose your secret! response:	Now, this man, Sora, has won all his games in the tournament.
context: Brother, you made a girl cry.\I was serious...\It's my fault?\I wasn't underestimating anyone...\Even though you don't have a girlfriend. Even though you're a virgin.\I'll never accept this!\I'll expose your secret!\Now, this man, Sora, has won all his games in the tournament. response:	Is there no one left to challenge him?
