context: It's another peaceful day, Fi. response:	The Little Prince and the Legendary Hero
context: Just keep an eye on them and make sure things don't get too crazy.\Okay, Gaul-sama.\And so...\First we eat!\A favorite of Galettian warriors...\Enjoy the lunch menu of the Sea Dragon Tavern!\It's fresh fish from the sea.\It's a popular spot for fishermen to go, too. response:	Yup!
context: Okay, Gaul-sama.\And so...\First we eat!\A favorite of Galettian warriors...\Enjoy the lunch menu of the Sea Dragon Tavern!\It's fresh fish from the sea.\It's a popular spot for fishermen to go, too.\Yup! response:	Here you are, special hero-brand soup.
context: And so...\First we eat!\A favorite of Galettian warriors...\Enjoy the lunch menu of the Sea Dragon Tavern!\It's fresh fish from the sea.\It's a popular spot for fishermen to go, too.\Yup!\Here you are, special hero-brand soup. response:	And this is a popular menu item from Earth
context: First we eat!\A favorite of Galettian warriors...\Enjoy the lunch menu of the Sea Dragon Tavern!\It's fresh fish from the sea.\It's a popular spot for fishermen to go, too.\Yup!\Here you are, special hero-brand soup.\And this is a popular menu item from Earth response:	that Nanami taught us how to make.
context: A favorite of Galettian warriors...\Enjoy the lunch menu of the Sea Dragon Tavern!\It's fresh fish from the sea.\It's a popular spot for fishermen to go, too.\Yup!\Here you are, special hero-brand soup.\And this is a popular menu item from Earth\that Nanami taught us how to make. response:	It's based off of bouillabaisse,
context: Enjoy the lunch menu of the Sea Dragon Tavern!\It's fresh fish from the sea.\It's a popular spot for fishermen to go, too.\Yup!\Here you are, special hero-brand soup.\And this is a popular menu item from Earth\that Nanami taught us how to make.\It's based off of bouillabaisse, response:	a popular dish from Earth.
context: It's fresh fish from the sea.\It's a popular spot for fishermen to go, too.\Yup!\Here you are, special hero-brand soup.\And this is a popular menu item from Earth\that Nanami taught us how to make.\It's based off of bouillabaisse,\a popular dish from Earth. response:	Worldwide!
context: It's a popular spot for fishermen to go, too.\Yup!\Here you are, special hero-brand soup.\And this is a popular menu item from Earth\that Nanami taught us how to make.\It's based off of bouillabaisse,\a popular dish from Earth.\Worldwide! response:	Come on, let's eat before it gets cold.
context: Yup!\Here you are, special hero-brand soup.\And this is a popular menu item from Earth\that Nanami taught us how to make.\It's based off of bouillabaisse,\a popular dish from Earth.\Worldwide!\Come on, let's eat before it gets cold. response:	Let's eat!
context: Here you are, special hero-brand soup.\And this is a popular menu item from Earth\that Nanami taught us how to make.\It's based off of bouillabaisse,\a popular dish from Earth.\Worldwide!\Come on, let's eat before it gets cold.\Let's eat! response:	Boys need to eat a lot and grow up big and strong.
context: And this is a popular menu item from Earth\that Nanami taught us how to make.\It's based off of bouillabaisse,\a popular dish from Earth.\Worldwide!\Come on, let's eat before it gets cold.\Let's eat!\Boys need to eat a lot and grow up big and strong. response:	That's right.
context: that Nanami taught us how to make.\It's based off of bouillabaisse,\a popular dish from Earth.\Worldwide!\Come on, let's eat before it gets cold.\Let's eat!\Boys need to eat a lot and grow up big and strong.\That's right. response:	Yeah.
context: It's based off of bouillabaisse,\a popular dish from Earth.\Worldwide!\Come on, let's eat before it gets cold.\Let's eat!\Boys need to eat a lot and grow up big and strong.\That's right.\Yeah. response:	It's hot, so be careful.
context: a popular dish from Earth.\Worldwide!\Come on, let's eat before it gets cold.\Let's eat!\Boys need to eat a lot and grow up big and strong.\That's right.\Yeah.\It's hot, so be careful. response:	Thank you.
context: Worldwide!\Come on, let's eat before it gets cold.\Let's eat!\Boys need to eat a lot and grow up big and strong.\That's right.\Yeah.\It's hot, so be careful.\Thank you. response:	It's good!
context: Come on, let's eat before it gets cold.\Let's eat!\Boys need to eat a lot and grow up big and strong.\That's right.\Yeah.\It's hot, so be careful.\Thank you.\It's good! response:	Isn't it?
context: Let's eat!\Boys need to eat a lot and grow up big and strong.\That's right.\Yeah.\It's hot, so be careful.\Thank you.\It's good!\Isn't it? response:	And this is Vannette City.
context: Boys need to eat a lot and grow up big and strong.\That's right.\Yeah.\It's hot, so be careful.\Thank you.\It's good!\Isn't it?\And this is Vannette City. response:	I bought the presents
context: That's right.\Yeah.\It's hot, so be careful.\Thank you.\It's good!\Isn't it?\And this is Vannette City.\I bought the presents response:	I gave you here.
context: Yeah.\It's hot, so be careful.\Thank you.\It's good!\Isn't it?\And this is Vannette City.\I bought the presents\I gave you here. response:	I see.
context: It's hot, so be careful.\Thank you.\It's good!\Isn't it?\And this is Vannette City.\I bought the presents\I gave you here.\I see. response:	And if you head into a back alley...
context: Thank you.\It's good!\Isn't it?\And this is Vannette City.\I bought the presents\I gave you here.\I see.\And if you head into a back alley... response:	Some places sell things
context: It's good!\Isn't it?\And this is Vannette City.\I bought the presents\I gave you here.\I see.\And if you head into a back alley...\Some places sell things response:	a little cheaper and less fancy.
context: Isn't it?\And this is Vannette City.\I bought the presents\I gave you here.\I see.\And if you head into a back alley...\Some places sell things\a little cheaper and less fancy. response:	Amazing!
context: And this is Vannette City.\I bought the presents\I gave you here.\I see.\And if you head into a back alley...\Some places sell things\a little cheaper and less fancy.\Amazing! response:	The place seems so alive.
context: I bought the presents\I gave you here.\I see.\And if you head into a back alley...\Some places sell things\a little cheaper and less fancy.\Amazing!\The place seems so alive. response:	Oh my, it's Nanami-chan and the Genoise girls.
context: I gave you here.\I see.\And if you head into a back alley...\Some places sell things\a little cheaper and less fancy.\Amazing!\The place seems so alive.\Oh my, it's Nanami-chan and the Genoise girls. response:	Want to see what I've got? I got some good dried fish today.
context: I see.\And if you head into a back alley...\Some places sell things\a little cheaper and less fancy.\Amazing!\The place seems so alive.\Oh my, it's Nanami-chan and the Genoise girls.\Want to see what I've got? I got some good dried fish today. response:	That's great.
context: And if you head into a back alley...\Some places sell things\a little cheaper and less fancy.\Amazing!\The place seems so alive.\Oh my, it's Nanami-chan and the Genoise girls.\Want to see what I've got? I got some good dried fish today.\That's great. response:	We're showing Vert's relative around now,
context: Some places sell things\a little cheaper and less fancy.\Amazing!\The place seems so alive.\Oh my, it's Nanami-chan and the Genoise girls.\Want to see what I've got? I got some good dried fish today.\That's great.\We're showing Vert's relative around now, response:	so we'll come by later.
context: a little cheaper and less fancy.\Amazing!\The place seems so alive.\Oh my, it's Nanami-chan and the Genoise girls.\Want to see what I've got? I got some good dried fish today.\That's great.\We're showing Vert's relative around now,\so we'll come by later. response:	Okay!
context: Amazing!\The place seems so alive.\Oh my, it's Nanami-chan and the Genoise girls.\Want to see what I've got? I got some good dried fish today.\That's great.\We're showing Vert's relative around now,\so we'll come by later.\Okay! response:	I hope your cute relative enjoys his stay.
context: The place seems so alive.\Oh my, it's Nanami-chan and the Genoise girls.\Want to see what I've got? I got some good dried fish today.\That's great.\We're showing Vert's relative around now,\so we'll come by later.\Okay!\I hope your cute relative enjoys his stay. response:	Y-Yes!
context: Oh my, it's Nanami-chan and the Genoise girls.\Want to see what I've got? I got some good dried fish today.\That's great.\We're showing Vert's relative around now,\so we'll come by later.\Okay!\I hope your cute relative enjoys his stay.\Y-Yes! response:	And this is where the knights work.
context: Want to see what I've got? I got some good dried fish today.\That's great.\We're showing Vert's relative around now,\so we'll come by later.\Okay!\I hope your cute relative enjoys his stay.\Y-Yes!\And this is where the knights work. response:	Um... is it okay for someone from another country to be here?
context: That's great.\We're showing Vert's relative around now,\so we'll come by later.\Okay!\I hope your cute relative enjoys his stay.\Y-Yes!\And this is where the knights work.\Um... is it okay for someone from another country to be here? response:	It's fine. We're with you.
context: We're showing Vert's relative around now,\so we'll come by later.\Okay!\I hope your cute relative enjoys his stay.\Y-Yes!\And this is where the knights work.\Um... is it okay for someone from another country to be here?\It's fine. We're with you. response:	And Shinku and the others have already come here.
context: so we'll come by later.\Okay!\I hope your cute relative enjoys his stay.\Y-Yes!\And this is where the knights work.\Um... is it okay for someone from another country to be here?\It's fine. We're with you.\And Shinku and the others have already come here. response:	Both Halver and Galette have meeting rooms like this, right?
context: Okay!\I hope your cute relative enjoys his stay.\Y-Yes!\And this is where the knights work.\Um... is it okay for someone from another country to be here?\It's fine. We're with you.\And Shinku and the others have already come here.\Both Halver and Galette have meeting rooms like this, right? response:	Yes. We discuss the war games or hold meetings on national policy,
context: I hope your cute relative enjoys his stay.\Y-Yes!\And this is where the knights work.\Um... is it okay for someone from another country to be here?\It's fine. We're with you.\And Shinku and the others have already come here.\Both Halver and Galette have meeting rooms like this, right?\Yes. We discuss the war games or hold meetings on national policy, response:	and make announcements.
context: Y-Yes!\And this is where the knights work.\Um... is it okay for someone from another country to be here?\It's fine. We're with you.\And Shinku and the others have already come here.\Both Halver and Galette have meeting rooms like this, right?\Yes. We discuss the war games or hold meetings on national policy,\and make announcements. response:	Leo-sama and Gaul come here all the time.
context: And this is where the knights work.\Um... is it okay for someone from another country to be here?\It's fine. We're with you.\And Shinku and the others have already come here.\Both Halver and Galette have meeting rooms like this, right?\Yes. We discuss the war games or hold meetings on national policy,\and make announcements.\Leo-sama and Gaul come here all the time. response:	Jaune, too, lately.
context: Um... is it okay for someone from another country to be here?\It's fine. We're with you.\And Shinku and the others have already come here.\Both Halver and Galette have meeting rooms like this, right?\Yes. We discuss the war games or hold meetings on national policy,\and make announcements.\Leo-sama and Gaul come here all the time.\Jaune, too, lately. response:	I've been working hard.
context: It's fine. We're with you.\And Shinku and the others have already come here.\Both Halver and Galette have meeting rooms like this, right?\Yes. We discuss the war games or hold meetings on national policy,\and make announcements.\Leo-sama and Gaul come here all the time.\Jaune, too, lately.\I've been working hard. response:	I've heard you're going to be the next general, Jaune.
context: And Shinku and the others have already come here.\Both Halver and Galette have meeting rooms like this, right?\Yes. We discuss the war games or hold meetings on national policy,\and make announcements.\Leo-sama and Gaul come here all the time.\Jaune, too, lately.\I've been working hard.\I've heard you're going to be the next general, Jaune. response:	We don't know yet.
context: Both Halver and Galette have meeting rooms like this, right?\Yes. We discuss the war games or hold meetings on national policy,\and make announcements.\Leo-sama and Gaul come here all the time.\Jaune, too, lately.\I've been working hard.\I've heard you're going to be the next general, Jaune.\We don't know yet. response:	But if I can help Galette,
context: Yes. We discuss the war games or hold meetings on national policy,\and make announcements.\Leo-sama and Gaul come here all the time.\Jaune, too, lately.\I've been working hard.\I've heard you're going to be the next general, Jaune.\We don't know yet.\But if I can help Galette, response:	that would make me really happy.
context: and make announcements.\Leo-sama and Gaul come here all the time.\Jaune, too, lately.\I've been working hard.\I've heard you're going to be the next general, Jaune.\We don't know yet.\But if I can help Galette,\that would make me really happy. response:	I know how you feel!
context: Leo-sama and Gaul come here all the time.\Jaune, too, lately.\I've been working hard.\I've heard you're going to be the next general, Jaune.\We don't know yet.\But if I can help Galette,\that would make me really happy.\I know how you feel! response:	Company 2, fire!
context: Jaune, too, lately.\I've been working hard.\I've heard you're going to be the next general, Jaune.\We don't know yet.\But if I can help Galette,\that would make me really happy.\I know how you feel!\Company 2, fire! response:	Fire!
context: I've been working hard.\I've heard you're going to be the next general, Jaune.\We don't know yet.\But if I can help Galette,\that would make me really happy.\I know how you feel!\Company 2, fire!\Fire! response:	They seem really fierce.
context: I've heard you're going to be the next general, Jaune.\We don't know yet.\But if I can help Galette,\that would make me really happy.\I know how you feel!\Company 2, fire!\Fire!\They seem really fierce. response:	It's pretty serious for a training exercise, isn't it?
context: We don't know yet.\But if I can help Galette,\that would make me really happy.\I know how you feel!\Company 2, fire!\Fire!\They seem really fierce.\It's pretty serious for a training exercise, isn't it? response:	That's the army that Gaul-sama is leading.
context: But if I can help Galette,\that would make me really happy.\I know how you feel!\Company 2, fire!\Fire!\They seem really fierce.\It's pretty serious for a training exercise, isn't it?\That's the army that Gaul-sama is leading. response:	The people from Biscotti are participating today, too.
context: that would make me really happy.\I know how you feel!\Company 2, fire!\Fire!\They seem really fierce.\It's pretty serious for a training exercise, isn't it?\That's the army that Gaul-sama is leading.\The people from Biscotti are participating today, too. response:	Shinku and Eclair-chan are at the front.
context: I know how you feel!\Company 2, fire!\Fire!\They seem really fierce.\It's pretty serious for a training exercise, isn't it?\That's the army that Gaul-sama is leading.\The people from Biscotti are participating today, too.\Shinku and Eclair-chan are at the front. response:	And that's the army General Godwin is leading.
context: Company 2, fire!\Fire!\They seem really fierce.\It's pretty serious for a training exercise, isn't it?\That's the army that Gaul-sama is leading.\The people from Biscotti are participating today, too.\Shinku and Eclair-chan are at the front.\And that's the army General Godwin is leading. response:	So where's the old man?
context: Fire!\They seem really fierce.\It's pretty serious for a training exercise, isn't it?\That's the army that Gaul-sama is leading.\The people from Biscotti are participating today, too.\Shinku and Eclair-chan are at the front.\And that's the army General Godwin is leading.\So where's the old man? response:	Over there!
context: They seem really fierce.\It's pretty serious for a training exercise, isn't it?\That's the army that Gaul-sama is leading.\The people from Biscotti are participating today, too.\Shinku and Eclair-chan are at the front.\And that's the army General Godwin is leading.\So where's the old man?\Over there! response:	Old man!
context: It's pretty serious for a training exercise, isn't it?\That's the army that Gaul-sama is leading.\The people from Biscotti are participating today, too.\Shinku and Eclair-chan are at the front.\And that's the army General Godwin is leading.\So where's the old man?\Over there!\Old man! response:	Hey, old man.
context: That's the army that Gaul-sama is leading.\The people from Biscotti are participating today, too.\Shinku and Eclair-chan are at the front.\And that's the army General Godwin is leading.\So where's the old man?\Over there!\Old man!\Hey, old man. response:	What brings the four of you here?
context: The people from Biscotti are participating today, too.\Shinku and Eclair-chan are at the front.\And that's the army General Godwin is leading.\So where's the old man?\Over there!\Old man!\Hey, old man.\What brings the four of you here? response:	And who's that kid?
context: Shinku and Eclair-chan are at the front.\And that's the army General Godwin is leading.\So where's the old man?\Over there!\Old man!\Hey, old man.\What brings the four of you here?\And who's that kid? response:	You didn't see the marriage games?
context: And that's the army General Godwin is leading.\So where's the old man?\Over there!\Old man!\Hey, old man.\What brings the four of you here?\And who's that kid?\You didn't see the marriage games? response:	I got back late from an expedition last night, and I've been here all day.
context: So where's the old man?\Over there!\Old man!\Hey, old man.\What brings the four of you here?\And who's that kid?\You didn't see the marriage games?\I got back late from an expedition last night, and I've been here all day. response:	You haven't seen today's news?
context: Over there!\Old man!\Hey, old man.\What brings the four of you here?\And who's that kid?\You didn't see the marriage games?\I got back late from an expedition last night, and I've been here all day.\You haven't seen today's news? response:	The marriage games were another big success,
context: Old man!\Hey, old man.\What brings the four of you here?\And who's that kid?\You didn't see the marriage games?\I got back late from an expedition last night, and I've been here all day.\You haven't seen today's news?\The marriage games were another big success, response:	but nobody won. Was there anything else?
context: Hey, old man.\What brings the four of you here?\And who's that kid?\You didn't see the marriage games?\I got back late from an expedition last night, and I've been here all day.\You haven't seen today's news?\The marriage games were another big success,\but nobody won. Was there anything else? response:	There was one other bit of news.
context: What brings the four of you here?\And who's that kid?\You didn't see the marriage games?\I got back late from an expedition last night, and I've been here all day.\You haven't seen today's news?\The marriage games were another big success,\but nobody won. Was there anything else?\There was one other bit of news. response:	One other bit of news?
context: And who's that kid?\You didn't see the marriage games?\I got back late from an expedition last night, and I've been here all day.\You haven't seen today's news?\The marriage games were another big success,\but nobody won. Was there anything else?\There was one other bit of news.\One other bit of news? response:	Oh, I heard that one of the losers was
context: You didn't see the marriage games?\I got back late from an expedition last night, and I've been here all day.\You haven't seen today's news?\The marriage games were another big success,\but nobody won. Was there anything else?\There was one other bit of news.\One other bit of news?\Oh, I heard that one of the losers was response:	a young man who fought very hard.
context: I got back late from an expedition last night, and I've been here all day.\You haven't seen today's news?\The marriage games were another big success,\but nobody won. Was there anything else?\There was one other bit of news.\One other bit of news?\Oh, I heard that one of the losers was\a young man who fought very hard. response:	He must be pretty tough
context: You haven't seen today's news?\The marriage games were another big success,\but nobody won. Was there anything else?\There was one other bit of news.\One other bit of news?\Oh, I heard that one of the losers was\a young man who fought very hard.\He must be pretty tough response:	to stand up to Lady Leo.
context: The marriage games were another big success,\but nobody won. Was there anything else?\There was one other bit of news.\One other bit of news?\Oh, I heard that one of the losers was\a young man who fought very hard.\He must be pretty tough\to stand up to Lady Leo. response:	I'd like to see him.
context: but nobody won. Was there anything else?\There was one other bit of news.\One other bit of news?\Oh, I heard that one of the losers was\a young man who fought very hard.\He must be pretty tough\to stand up to Lady Leo.\I'd like to see him. response:	Okay, here's your chance.
context: There was one other bit of news.\One other bit of news?\Oh, I heard that one of the losers was\a young man who fought very hard.\He must be pretty tough\to stand up to Lady Leo.\I'd like to see him.\Okay, here's your chance. response:	Huh?
context: One other bit of news?\Oh, I heard that one of the losers was\a young man who fought very hard.\He must be pretty tough\to stand up to Lady Leo.\I'd like to see him.\Okay, here's your chance.\Huh? response:	Hello, General.
context: Oh, I heard that one of the losers was\a young man who fought very hard.\He must be pretty tough\to stand up to Lady Leo.\I'd like to see him.\Okay, here's your chance.\Huh?\Hello, General. response:	I'm Leaf Lang du Sha Halver,
context: a young man who fought very hard.\He must be pretty tough\to stand up to Lady Leo.\I'd like to see him.\Okay, here's your chance.\Huh?\Hello, General.\I'm Leaf Lang du Sha Halver, response:	from the kingdom of Halver!
context: He must be pretty tough\to stand up to Lady Leo.\I'd like to see him.\Okay, here's your chance.\Huh?\Hello, General.\I'm Leaf Lang du Sha Halver,\from the kingdom of Halver! response:	He's the warrior who almost beat Lady Leo.
context: to stand up to Lady Leo.\I'd like to see him.\Okay, here's your chance.\Huh?\Hello, General.\I'm Leaf Lang du Sha Halver,\from the kingdom of Halver!\He's the warrior who almost beat Lady Leo. response:	He's a relative of mine and a prince of Halver.
context: I'd like to see him.\Okay, here's your chance.\Huh?\Hello, General.\I'm Leaf Lang du Sha Halver,\from the kingdom of Halver!\He's the warrior who almost beat Lady Leo.\He's a relative of mine and a prince of Halver. response:	Oh, I'm sorry.
context: Okay, here's your chance.\Huh?\Hello, General.\I'm Leaf Lang du Sha Halver,\from the kingdom of Halver!\He's the warrior who almost beat Lady Leo.\He's a relative of mine and a prince of Halver.\Oh, I'm sorry. response:	Even if I didn't know, that was very rude of me.
context: Huh?\Hello, General.\I'm Leaf Lang du Sha Halver,\from the kingdom of Halver!\He's the warrior who almost beat Lady Leo.\He's a relative of mine and a prince of Halver.\Oh, I'm sorry.\Even if I didn't know, that was very rude of me. response:	Please don't worry.
context: Hello, General.\I'm Leaf Lang du Sha Halver,\from the kingdom of Halver!\He's the warrior who almost beat Lady Leo.\He's a relative of mine and a prince of Halver.\Oh, I'm sorry.\Even if I didn't know, that was very rude of me.\Please don't worry. response:	I'm being shown around the country.
context: I'm Leaf Lang du Sha Halver,\from the kingdom of Halver!\He's the warrior who almost beat Lady Leo.\He's a relative of mine and a prince of Halver.\Oh, I'm sorry.\Even if I didn't know, that was very rude of me.\Please don't worry.\I'm being shown around the country. response:	I'm not here on official business.
context: from the kingdom of Halver!\He's the warrior who almost beat Lady Leo.\He's a relative of mine and a prince of Halver.\Oh, I'm sorry.\Even if I didn't know, that was very rude of me.\Please don't worry.\I'm being shown around the country.\I'm not here on official business. response:	I see.
context: He's the warrior who almost beat Lady Leo.\He's a relative of mine and a prince of Halver.\Oh, I'm sorry.\Even if I didn't know, that was very rude of me.\Please don't worry.\I'm being shown around the country.\I'm not here on official business.\I see. response:	You're so stiff, old man.
context: He's a relative of mine and a prince of Halver.\Oh, I'm sorry.\Even if I didn't know, that was very rude of me.\Please don't worry.\I'm being shown around the country.\I'm not here on official business.\I see.\You're so stiff, old man. response:	I hope you can be friends.
