context: Ah, I'm sorry. Ow... response:	A-are you all right?
context: Eh? Then you really don't cook at all by yourself?\I was thinking of buying one someday.\You have a frying pan, right?\Yeah.\Then...\What on earth am I doing?\Until a moment ago I was so depressed,\but now I'm all happy... response:	What did I leave the house for?
context: I was thinking of buying one someday.\You have a frying pan, right?\Yeah.\Then...\What on earth am I doing?\Until a moment ago I was so depressed,\but now I'm all happy...\What did I leave the house for? response:	What was the past month for?
context: You have a frying pan, right?\Yeah.\Then...\What on earth am I doing?\Until a moment ago I was so depressed,\but now I'm all happy...\What did I leave the house for?\What was the past month for? response:	H-hi! Long time no see, Nanoka-chan.
context: Yeah.\Then...\What on earth am I doing?\Until a moment ago I was so depressed,\but now I'm all happy...\What did I leave the house for?\What was the past month for?\H-hi! Long time no see, Nanoka-chan. response:	H-hello.
context: Then...\What on earth am I doing?\Until a moment ago I was so depressed,\but now I'm all happy...\What did I leave the house for?\What was the past month for?\H-hi! Long time no see, Nanoka-chan.\H-hello. response:	Where's Koshiro?
context: What on earth am I doing?\Until a moment ago I was so depressed,\but now I'm all happy...\What did I leave the house for?\What was the past month for?\H-hi! Long time no see, Nanoka-chan.\H-hello.\Where's Koshiro? response:	He's out shopping right now.
context: Until a moment ago I was so depressed,\but now I'm all happy...\What did I leave the house for?\What was the past month for?\H-hi! Long time no see, Nanoka-chan.\H-hello.\Where's Koshiro?\He's out shopping right now. response:	I see.
context: but now I'm all happy...\What did I leave the house for?\What was the past month for?\H-hi! Long time no see, Nanoka-chan.\H-hello.\Where's Koshiro?\He's out shopping right now.\I see. response:	Umm... Is there something you need?
context: What did I leave the house for?\What was the past month for?\H-hi! Long time no see, Nanoka-chan.\H-hello.\Where's Koshiro?\He's out shopping right now.\I see.\Umm... Is there something you need? response:	Oh yeah, I left my pass here, when I slept over the other day.
context: What was the past month for?\H-hi! Long time no see, Nanoka-chan.\H-hello.\Where's Koshiro?\He's out shopping right now.\I see.\Umm... Is there something you need?\Oh yeah, I left my pass here, when I slept over the other day. response:	Oh, don't mind me. I know where it is.
context: H-hi! Long time no see, Nanoka-chan.\H-hello.\Where's Koshiro?\He's out shopping right now.\I see.\Umm... Is there something you need?\Oh yeah, I left my pass here, when I slept over the other day.\Oh, don't mind me. I know where it is. response:	Are you going out with him?
context: H-hello.\Where's Koshiro?\He's out shopping right now.\I see.\Umm... Is there something you need?\Oh yeah, I left my pass here, when I slept over the other day.\Oh, don't mind me. I know where it is.\Are you going out with him? response:	Are you... going out with my brother?
context: Where's Koshiro?\He's out shopping right now.\I see.\Umm... Is there something you need?\Oh yeah, I left my pass here, when I slept over the other day.\Oh, don't mind me. I know where it is.\Are you going out with him?\Are you... going out with my brother? response:	That's right. You didn't know?
context: He's out shopping right now.\I see.\Umm... Is there something you need?\Oh yeah, I left my pass here, when I slept over the other day.\Oh, don't mind me. I know where it is.\Are you going out with him?\Are you... going out with my brother?\That's right. You didn't know? response:	I guess he doesn't tell you about these things.
context: I see.\Umm... Is there something you need?\Oh yeah, I left my pass here, when I slept over the other day.\Oh, don't mind me. I know where it is.\Are you going out with him?\Are you... going out with my brother?\That's right. You didn't know?\I guess he doesn't tell you about these things. response:	Is there something wrong with that?
context: Umm... Is there something you need?\Oh yeah, I left my pass here, when I slept over the other day.\Oh, don't mind me. I know where it is.\Are you going out with him?\Are you... going out with my brother?\That's right. You didn't know?\I guess he doesn't tell you about these things.\Is there something wrong with that? response:	Sorry.
context: Oh yeah, I left my pass here, when I slept over the other day.\Oh, don't mind me. I know where it is.\Are you going out with him?\Are you... going out with my brother?\That's right. You didn't know?\I guess he doesn't tell you about these things.\Is there something wrong with that?\Sorry. response:	Kazuyoshi! You shouldn't stare at people like that!
context: Oh, don't mind me. I know where it is.\Are you going out with him?\Are you... going out with my brother?\That's right. You didn't know?\I guess he doesn't tell you about these things.\Is there something wrong with that?\Sorry.\Kazuyoshi! You shouldn't stare at people like that! response:	I've fallen off...
context: Are you going out with him?\Are you... going out with my brother?\That's right. You didn't know?\I guess he doesn't tell you about these things.\Is there something wrong with that?\Sorry.\Kazuyoshi! You shouldn't stare at people like that!\I've fallen off... response:	I've totally fallen off...
context: Are you... going out with my brother?\That's right. You didn't know?\I guess he doesn't tell you about these things.\Is there something wrong with that?\Sorry.\Kazuyoshi! You shouldn't stare at people like that!\I've fallen off...\I've totally fallen off... response:	What did Koshiro go to buy?
context: That's right. You didn't know?\I guess he doesn't tell you about these things.\Is there something wrong with that?\Sorry.\Kazuyoshi! You shouldn't stare at people like that!\I've fallen off...\I've totally fallen off...\What did Koshiro go to buy? response:	Ingredients for dinner.
context: I guess he doesn't tell you about these things.\Is there something wrong with that?\Sorry.\Kazuyoshi! You shouldn't stare at people like that!\I've fallen off...\I've totally fallen off...\What did Koshiro go to buy?\Ingredients for dinner. response:	Oh, are you going to make it, Nanoka-chan?
context: Is there something wrong with that?\Sorry.\Kazuyoshi! You shouldn't stare at people like that!\I've fallen off...\I've totally fallen off...\What did Koshiro go to buy?\Ingredients for dinner.\Oh, are you going to make it, Nanoka-chan? response:	Yes.
context: Sorry.\Kazuyoshi! You shouldn't stare at people like that!\I've fallen off...\I've totally fallen off...\What did Koshiro go to buy?\Ingredients for dinner.\Oh, are you going to make it, Nanoka-chan?\Yes. response:	I might stay for dinner too then.
context: Kazuyoshi! You shouldn't stare at people like that!\I've fallen off...\I've totally fallen off...\What did Koshiro go to buy?\Ingredients for dinner.\Oh, are you going to make it, Nanoka-chan?\Yes.\I might stay for dinner too then. response:	Why is that?
context: I've fallen off...\I've totally fallen off...\What did Koshiro go to buy?\Ingredients for dinner.\Oh, are you going to make it, Nanoka-chan?\Yes.\I might stay for dinner too then.\Why is that? response:	Koshiro only offers me things he has on hand, so at least sometime...
context: I've totally fallen off...\What did Koshiro go to buy?\Ingredients for dinner.\Oh, are you going to make it, Nanoka-chan?\Yes.\I might stay for dinner too then.\Why is that?\Koshiro only offers me things he has on hand, so at least sometime... response:	Found it.
context: What did Koshiro go to buy?\Ingredients for dinner.\Oh, are you going to make it, Nanoka-chan?\Yes.\I might stay for dinner too then.\Why is that?\Koshiro only offers me things he has on hand, so at least sometime...\Found it. response:	What's the meaning of this?
context: Ingredients for dinner.\Oh, are you going to make it, Nanoka-chan?\Yes.\I might stay for dinner too then.\Why is that?\Koshiro only offers me things he has on hand, so at least sometime...\Found it.\What's the meaning of this? response:	Please go home.
context: Oh, are you going to make it, Nanoka-chan?\Yes.\I might stay for dinner too then.\Why is that?\Koshiro only offers me things he has on hand, so at least sometime...\Found it.\What's the meaning of this?\Please go home. response:	Eh?
context: Yes.\I might stay for dinner too then.\Why is that?\Koshiro only offers me things he has on hand, so at least sometime...\Found it.\What's the meaning of this?\Please go home.\Eh? response:	Please go home!
context: I might stay for dinner too then.\Why is that?\Koshiro only offers me things he has on hand, so at least sometime...\Found it.\What's the meaning of this?\Please go home.\Eh?\Please go home! response:	Why?
context: Why is that?\Koshiro only offers me things he has on hand, so at least sometime...\Found it.\What's the meaning of this?\Please go home.\Eh?\Please go home!\Why? response:	Because you're in the way.
context: Koshiro only offers me things he has on hand, so at least sometime...\Found it.\What's the meaning of this?\Please go home.\Eh?\Please go home!\Why?\Because you're in the way. response:	In the way?
context: Found it.\What's the meaning of this?\Please go home.\Eh?\Please go home!\Why?\Because you're in the way.\In the way? response:	I want to spend today with just my brother...
context: What's the meaning of this?\Please go home.\Eh?\Please go home!\Why?\Because you're in the way.\In the way?\I want to spend today with just my brother... response:	You know what?
context: Please go home.\Eh?\Please go home!\Why?\Because you're in the way.\In the way?\I want to spend today with just my brother...\You know what? response:	How is it that I'm taking this from you,
context: Eh?\Please go home!\Why?\Because you're in the way.\In the way?\I want to spend today with just my brother...\You know what?\How is it that I'm taking this from you, response:	who is only his younger sister?
context: Please go home!\Why?\Because you're in the way.\In the way?\I want to spend today with just my brother...\You know what?\How is it that I'm taking this from you,\who is only his younger sister? response:	I won't lose.
context: Why?\Because you're in the way.\In the way?\I want to spend today with just my brother...\You know what?\How is it that I'm taking this from you,\who is only his younger sister?\I won't lose. response:	I won't lose to anyone over my feelings towards my brother!
context: Because you're in the way.\In the way?\I want to spend today with just my brother...\You know what?\How is it that I'm taking this from you,\who is only his younger sister?\I won't lose.\I won't lose to anyone over my feelings towards my brother! response:	Siblings can't fall in love with each other.
context: In the way?\I want to spend today with just my brother...\You know what?\How is it that I'm taking this from you,\who is only his younger sister?\I won't lose.\I won't lose to anyone over my feelings towards my brother!\Siblings can't fall in love with each other. response:	They can't even get married!
context: I want to spend today with just my brother...\You know what?\How is it that I'm taking this from you,\who is only his younger sister?\I won't lose.\I won't lose to anyone over my feelings towards my brother!\Siblings can't fall in love with each other.\They can't even get married! response:	Do you understand that?
context: You know what?\How is it that I'm taking this from you,\who is only his younger sister?\I won't lose.\I won't lose to anyone over my feelings towards my brother!\Siblings can't fall in love with each other.\They can't even get married!\Do you understand that? response:	Your feelings are just temporary.
context: How is it that I'm taking this from you,\who is only his younger sister?\I won't lose.\I won't lose to anyone over my feelings towards my brother!\Siblings can't fall in love with each other.\They can't even get married!\Do you understand that?\Your feelings are just temporary. response:	You're not able to see straight because there's too much blood rushing to your head.
context: who is only his younger sister?\I won't lose.\I won't lose to anyone over my feelings towards my brother!\Siblings can't fall in love with each other.\They can't even get married!\Do you understand that?\Your feelings are just temporary.\You're not able to see straight because there's too much blood rushing to your head. response:	You're probably only able to see your brother who is right in front of you.
context: I won't lose.\I won't lose to anyone over my feelings towards my brother!\Siblings can't fall in love with each other.\They can't even get married!\Do you understand that?\Your feelings are just temporary.\You're not able to see straight because there's too much blood rushing to your head.\You're probably only able to see your brother who is right in front of you. response:	But, I don't think such things will last very long.
context: I won't lose to anyone over my feelings towards my brother!\Siblings can't fall in love with each other.\They can't even get married!\Do you understand that?\Your feelings are just temporary.\You're not able to see straight because there's too much blood rushing to your head.\You're probably only able to see your brother who is right in front of you.\But, I don't think such things will last very long. response:	Isn't it painful? It'll hurt when your feelings disappear.
context: Siblings can't fall in love with each other.\They can't even get married!\Do you understand that?\Your feelings are just temporary.\You're not able to see straight because there's too much blood rushing to your head.\You're probably only able to see your brother who is right in front of you.\But, I don't think such things will last very long.\Isn't it painful? It'll hurt when your feelings disappear. response:	He's your big brother!
context: They can't even get married!\Do you understand that?\Your feelings are just temporary.\You're not able to see straight because there's too much blood rushing to your head.\You're probably only able to see your brother who is right in front of you.\But, I don't think such things will last very long.\Isn't it painful? It'll hurt when your feelings disappear.\He's your big brother! response:	I'll think about him for the rest of my life.
context: Do you understand that?\Your feelings are just temporary.\You're not able to see straight because there's too much blood rushing to your head.\You're probably only able to see your brother who is right in front of you.\But, I don't think such things will last very long.\Isn't it painful? It'll hurt when your feelings disappear.\He's your big brother!\I'll think about him for the rest of my life. response:	There is such a love, where you can think that.
context: Your feelings are just temporary.\You're not able to see straight because there's too much blood rushing to your head.\You're probably only able to see your brother who is right in front of you.\But, I don't think such things will last very long.\Isn't it painful? It'll hurt when your feelings disappear.\He's your big brother!\I'll think about him for the rest of my life.\There is such a love, where you can think that. response:	The rest of your life?
context: You're not able to see straight because there's too much blood rushing to your head.\You're probably only able to see your brother who is right in front of you.\But, I don't think such things will last very long.\Isn't it painful? It'll hurt when your feelings disappear.\He's your big brother!\I'll think about him for the rest of my life.\There is such a love, where you can think that.\The rest of your life? response:	So naive! Naive! The rest of your life, you say?
context: You're probably only able to see your brother who is right in front of you.\But, I don't think such things will last very long.\Isn't it painful? It'll hurt when your feelings disappear.\He's your big brother!\I'll think about him for the rest of my life.\There is such a love, where you can think that.\The rest of your life?\So naive! Naive! The rest of your life, you say? response:	You can say it so easily. That's why you're called a child.
context: But, I don't think such things will last very long.\Isn't it painful? It'll hurt when your feelings disappear.\He's your big brother!\I'll think about him for the rest of my life.\There is such a love, where you can think that.\The rest of your life?\So naive! Naive! The rest of your life, you say?\You can say it so easily. That's why you're called a child. response:	Old woman.
context: Isn't it painful? It'll hurt when your feelings disappear.\He's your big brother!\I'll think about him for the rest of my life.\There is such a love, where you can think that.\The rest of your life?\So naive! Naive! The rest of your life, you say?\You can say it so easily. That's why you're called a child.\Old woman. response:	What do you think everyone else will say?
context: He's your big brother!\I'll think about him for the rest of my life.\There is such a love, where you can think that.\The rest of your life?\So naive! Naive! The rest of your life, you say?\You can say it so easily. That's why you're called a child.\Old woman.\What do you think everyone else will say? response:	That won't matter.
context: I'll think about him for the rest of my life.\There is such a love, where you can think that.\The rest of your life?\So naive! Naive! The rest of your life, you say?\You can say it so easily. That's why you're called a child.\Old woman.\What do you think everyone else will say?\That won't matter. response:	It will matter.
context: There is such a love, where you can think that.\The rest of your life?\So naive! Naive! The rest of your life, you say?\You can say it so easily. That's why you're called a child.\Old woman.\What do you think everyone else will say?\That won't matter.\It will matter. response:	Please go home!
context: The rest of your life?\So naive! Naive! The rest of your life, you say?\You can say it so easily. That's why you're called a child.\Old woman.\What do you think everyone else will say?\That won't matter.\It will matter.\Please go home! response:	You...
context: So naive! Naive! The rest of your life, you say?\You can say it so easily. That's why you're called a child.\Old woman.\What do you think everyone else will say?\That won't matter.\It will matter.\Please go home!\You... response:	Go home!
context: You can say it so easily. That's why you're called a child.\Old woman.\What do you think everyone else will say?\That won't matter.\It will matter.\Please go home!\You...\Go home! response:	Your parents will be saddened.
context: Old woman.\What do you think everyone else will say?\That won't matter.\It will matter.\Please go home!\You...\Go home!\Your parents will be saddened. response:	What a horrible face.
context: What do you think everyone else will say?\That won't matter.\It will matter.\Please go home!\You...\Go home!\Your parents will be saddened.\What a horrible face. response:	What horrible clothes.
context: That won't matter.\It will matter.\Please go home!\You...\Go home!\Your parents will be saddened.\What a horrible face.\What horrible clothes. response:	I visit, worried about you and you're out shopping happily.
context: It will matter.\Please go home!\You...\Go home!\Your parents will be saddened.\What a horrible face.\What horrible clothes.\I visit, worried about you and you're out shopping happily. response:	What the hell are you doing?
context: Please go home!\You...\Go home!\Your parents will be saddened.\What a horrible face.\What horrible clothes.\I visit, worried about you and you're out shopping happily.\What the hell are you doing? response:	Why did you let her into your aparment?
context: You...\Go home!\Your parents will be saddened.\What a horrible face.\What horrible clothes.\I visit, worried about you and you're out shopping happily.\What the hell are you doing?\Why did you let her into your aparment? response:	You saw her?
context: Go home!\Your parents will be saddened.\What a horrible face.\What horrible clothes.\I visit, worried about you and you're out shopping happily.\What the hell are you doing?\Why did you let her into your aparment?\You saw her? response:	I did.
context: Your parents will be saddened.\What a horrible face.\What horrible clothes.\I visit, worried about you and you're out shopping happily.\What the hell are you doing?\Why did you let her into your aparment?\You saw her?\I did. response:	I tried to make her leave by telling her we were going out,
context: What a horrible face.\What horrible clothes.\I visit, worried about you and you're out shopping happily.\What the hell are you doing?\Why did you let her into your aparment?\You saw her?\I did.\I tried to make her leave by telling her we were going out, response:	but she chased me out instead.
context: What horrible clothes.\I visit, worried about you and you're out shopping happily.\What the hell are you doing?\Why did you let her into your aparment?\You saw her?\I did.\I tried to make her leave by telling her we were going out,\but she chased me out instead. response:	What were you thinking of doing after this?
context: I visit, worried about you and you're out shopping happily.\What the hell are you doing?\Why did you let her into your aparment?\You saw her?\I did.\I tried to make her leave by telling her we were going out,\but she chased me out instead.\What were you thinking of doing after this? response:	Why didn't you push her away?
context: What the hell are you doing?\Why did you let her into your aparment?\You saw her?\I did.\I tried to make her leave by telling her we were going out,\but she chased me out instead.\What were you thinking of doing after this?\Why didn't you push her away? response:	What are you going to do now that you've got her hopes up?
