context: Yeah... response:	I think it was a bright, clear day, just like today.
context: I'm going to become an adventurer.\But I looked so weak that no familia would accept me.\Get lost, kid!\We won't feed you!\You could do the cleaning, I guess.\You'd better have your own money.\Please, let me into your familia!\Come back when you get stronger. response:	Hello, young man.
context: But I looked so weak that no familia would accept me.\Get lost, kid!\We won't feed you!\You could do the cleaning, I guess.\You'd better have your own money.\Please, let me into your familia!\Come back when you get stronger.\Hello, young man. response:	Are you looking for a familia?
context: Get lost, kid!\We won't feed you!\You could do the cleaning, I guess.\You'd better have your own money.\Please, let me into your familia!\Come back when you get stronger.\Hello, young man.\Are you looking for a familia? response:	There was a goddess...
context: We won't feed you!\You could do the cleaning, I guess.\You'd better have your own money.\Please, let me into your familia!\Come back when you get stronger.\Hello, young man.\Are you looking for a familia?\There was a goddess... response:	My goddess.
context: You could do the cleaning, I guess.\You'd better have your own money.\Please, let me into your familia!\Come back when you get stronger.\Hello, young man.\Are you looking for a familia?\There was a goddess...\My goddess. response:	I'll buy you some time.
context: You'd better have your own money.\Please, let me into your familia!\Come back when you get stronger.\Hello, young man.\Are you looking for a familia?\There was a goddess...\My goddess.\I'll buy you some time. response:	You should run away.
context: Please, let me into your familia!\Come back when you get stronger.\Hello, young man.\Are you looking for a familia?\There was a goddess...\My goddess.\I'll buy you some time.\You should run away. response:	What are you saying, Bell-kun?
context: Come back when you get stronger.\Hello, young man.\Are you looking for a familia?\There was a goddess...\My goddess.\I'll buy you some time.\You should run away.\What are you saying, Bell-kun? response:	Open this door, now!
context: Hello, young man.\Are you looking for a familia?\There was a goddess...\My goddess.\I'll buy you some time.\You should run away.\What are you saying, Bell-kun?\Open this door, now! response:	Goddess...
context: Are you looking for a familia?\There was a goddess...\My goddess.\I'll buy you some time.\You should run away.\What are you saying, Bell-kun?\Open this door, now!\Goddess... response:	I don't want to lose any more family.
context: There was a goddess...\My goddess.\I'll buy you some time.\You should run away.\What are you saying, Bell-kun?\Open this door, now!\Goddess...\I don't want to lose any more family. response:	Bell-kun!
context: My goddess.\I'll buy you some time.\You should run away.\What are you saying, Bell-kun?\Open this door, now!\Goddess...\I don't want to lose any more family.\Bell-kun! response:	Bell-kun!
context: I'll buy you some time.\You should run away.\What are you saying, Bell-kun?\Open this door, now!\Goddess...\I don't want to lose any more family.\Bell-kun!\Bell-kun! response:	Is It Wrong to Try to Pick Up Girls in a Dungeon?
context: You should run away.\What are you saying, Bell-kun?\Open this door, now!\Goddess...\I don't want to lose any more family.\Bell-kun!\Bell-kun!\Is It Wrong to Try to Pick Up Girls in a Dungeon? response:	Hestia Knife The Blade of a God
context: What are you saying, Bell-kun?\Open this door, now!\Goddess...\I don't want to lose any more family.\Bell-kun!\Bell-kun!\Is It Wrong to Try to Pick Up Girls in a Dungeon?\Hestia Knife The Blade of a God response:	Some monsters escaped?
context: Open this door, now!\Goddess...\I don't want to lose any more family.\Bell-kun!\Bell-kun!\Is It Wrong to Try to Pick Up Girls in a Dungeon?\Hestia Knife The Blade of a God\Some monsters escaped? response:	What about the guards?
context: Goddess...\I don't want to lose any more family.\Bell-kun!\Bell-kun!\Is It Wrong to Try to Pick Up Girls in a Dungeon?\Hestia Knife The Blade of a God\Some monsters escaped?\What about the guards? response:	They all looked like they had their souls sucked out somehow.
context: I don't want to lose any more family.\Bell-kun!\Bell-kun!\Is It Wrong to Try to Pick Up Girls in a Dungeon?\Hestia Knife The Blade of a God\Some monsters escaped?\What about the guards?\They all looked like they had their souls sucked out somehow. response:	We think someone from the outside is responsible, but...
context: Bell-kun!\Bell-kun!\Is It Wrong to Try to Pick Up Girls in a Dungeon?\Hestia Knife The Blade of a God\Some monsters escaped?\What about the guards?\They all looked like they had their souls sucked out somehow.\We think someone from the outside is responsible, but... response:	We can worry about that later!
context: Bell-kun!\Is It Wrong to Try to Pick Up Girls in a Dungeon?\Hestia Knife The Blade of a God\Some monsters escaped?\What about the guards?\They all looked like they had their souls sucked out somehow.\We think someone from the outside is responsible, but...\We can worry about that later! response:	How many monsters escaped?
context: Is It Wrong to Try to Pick Up Girls in a Dungeon?\Hestia Knife The Blade of a God\Some monsters escaped?\What about the guards?\They all looked like they had their souls sucked out somehow.\We think someone from the outside is responsible, but...\We can worry about that later!\How many monsters escaped? response:	Nine!
context: Hestia Knife The Blade of a God\Some monsters escaped?\What about the guards?\They all looked like they had their souls sucked out somehow.\We think someone from the outside is responsible, but...\We can worry about that later!\How many monsters escaped?\Nine! response:	Our familia's strike force went into action immediately.
context: Some monsters escaped?\What about the guards?\They all looked like they had their souls sucked out somehow.\We think someone from the outside is responsible, but...\We can worry about that later!\How many monsters escaped?\Nine!\Our familia's strike force went into action immediately. response:	We can't deal with it quickly enough by ourselves.
context: What about the guards?\They all looked like they had their souls sucked out somehow.\We think someone from the outside is responsible, but...\We can worry about that later!\How many monsters escaped?\Nine!\Our familia's strike force went into action immediately.\We can't deal with it quickly enough by ourselves. response:	We'll work with the other familia.
context: They all looked like they had their souls sucked out somehow.\We think someone from the outside is responsible, but...\We can worry about that later!\How many monsters escaped?\Nine!\Our familia's strike force went into action immediately.\We can't deal with it quickly enough by ourselves.\We'll work with the other familia. response:	Ask the other gods here for help!
context: We think someone from the outside is responsible, but...\We can worry about that later!\How many monsters escaped?\Nine!\Our familia's strike force went into action immediately.\We can't deal with it quickly enough by ourselves.\We'll work with the other familia.\Ask the other gods here for help! response:	Wait!
context: We can worry about that later!\How many monsters escaped?\Nine!\Our familia's strike force went into action immediately.\We can't deal with it quickly enough by ourselves.\We'll work with the other familia.\Ask the other gods here for help!\Wait! response:	It was we, the Ganesha Familia, who let those monsters escape!
context: How many monsters escaped?\Nine!\Our familia's strike force went into action immediately.\We can't deal with it quickly enough by ourselves.\We'll work with the other familia.\Ask the other gods here for help!\Wait!\It was we, the Ganesha Familia, who let those monsters escape! response:	If we have to rely on other familia for help, we'll be humiliated!
context: Nine!\Our familia's strike force went into action immediately.\We can't deal with it quickly enough by ourselves.\We'll work with the other familia.\Ask the other gods here for help!\Wait!\It was we, the Ganesha Familia, who let those monsters escape!\If we have to rely on other familia for help, we'll be humiliated! response:	I am Ganesha, the lord of the masses!
context: Our familia's strike force went into action immediately.\We can't deal with it quickly enough by ourselves.\We'll work with the other familia.\Ask the other gods here for help!\Wait!\It was we, the Ganesha Familia, who let those monsters escape!\If we have to rely on other familia for help, we'll be humiliated!\I am Ganesha, the lord of the masses! response:	Our greatest happiness is seeing our children smile!
context: We can't deal with it quickly enough by ourselves.\We'll work with the other familia.\Ask the other gods here for help!\Wait!\It was we, the Ganesha Familia, who let those monsters escape!\If we have to rely on other familia for help, we'll be humiliated!\I am Ganesha, the lord of the masses!\Our greatest happiness is seeing our children smile! response:	Forget your desire for position and honor!
context: We'll work with the other familia.\Ask the other gods here for help!\Wait!\It was we, the Ganesha Familia, who let those monsters escape!\If we have to rely on other familia for help, we'll be humiliated!\I am Ganesha, the lord of the masses!\Our greatest happiness is seeing our children smile!\Forget your desire for position and honor! response:	Our highest priority is the safety of the people!
context: Ask the other gods here for help!\Wait!\It was we, the Ganesha Familia, who let those monsters escape!\If we have to rely on other familia for help, we'll be humiliated!\I am Ganesha, the lord of the masses!\Our greatest happiness is seeing our children smile!\Forget your desire for position and honor!\Our highest priority is the safety of the people! response:	We're terribly sorry!
context: Wait!\It was we, the Ganesha Familia, who let those monsters escape!\If we have to rely on other familia for help, we'll be humiliated!\I am Ganesha, the lord of the masses!\Our greatest happiness is seeing our children smile!\Forget your desire for position and honor!\Our highest priority is the safety of the people!\We're terribly sorry! response:	To avoid confusion, we're going to let the festival continue.
context: It was we, the Ganesha Familia, who let those monsters escape!\If we have to rely on other familia for help, we'll be humiliated!\I am Ganesha, the lord of the masses!\Our greatest happiness is seeing our children smile!\Forget your desire for position and honor!\Our highest priority is the safety of the people!\We're terribly sorry!\To avoid confusion, we're going to let the festival continue. response:	Don't let this problem get any bigger.
context: If we have to rely on other familia for help, we'll be humiliated!\I am Ganesha, the lord of the masses!\Our greatest happiness is seeing our children smile!\Forget your desire for position and honor!\Our highest priority is the safety of the people!\We're terribly sorry!\To avoid confusion, we're going to let the festival continue.\Don't let this problem get any bigger. response:	Go!
context: I am Ganesha, the lord of the masses!\Our greatest happiness is seeing our children smile!\Forget your desire for position and honor!\Our highest priority is the safety of the people!\We're terribly sorry!\To avoid confusion, we're going to let the festival continue.\Don't let this problem get any bigger.\Go! response:	Yes, sir!
context: Our greatest happiness is seeing our children smile!\Forget your desire for position and honor!\Our highest priority is the safety of the people!\We're terribly sorry!\To avoid confusion, we're going to let the festival continue.\Don't let this problem get any bigger.\Go!\Yes, sir! response:	What are they after?
context: Forget your desire for position and honor!\Our highest priority is the safety of the people!\We're terribly sorry!\To avoid confusion, we're going to let the festival continue.\Don't let this problem get any bigger.\Go!\Yes, sir!\What are they after? response:	A diversion? Confusion?
context: Our highest priority is the safety of the people!\We're terribly sorry!\To avoid confusion, we're going to let the festival continue.\Don't let this problem get any bigger.\Go!\Yes, sir!\What are they after?\A diversion? Confusion? response:	Or perhaps...
context: We're terribly sorry!\To avoid confusion, we're going to let the festival continue.\Don't let this problem get any bigger.\Go!\Yes, sir!\What are they after?\A diversion? Confusion?\Or perhaps... response:	Goddess...
context: To avoid confusion, we're going to let the festival continue.\Don't let this problem get any bigger.\Go!\Yes, sir!\What are they after?\A diversion? Confusion?\Or perhaps...\Goddess... response:	Okay, Hestia.
context: Don't let this problem get any bigger.\Go!\Yes, sir!\What are they after?\A diversion? Confusion?\Or perhaps...\Goddess...\Okay, Hestia. response:	Listen carefully.
context: Go!\Yes, sir!\What are they after?\A diversion? Confusion?\Or perhaps...\Goddess...\Okay, Hestia.\Listen carefully. response:	The hieroglyphs you carved into that knife gave it a status of its own.
context: Yes, sir!\What are they after?\A diversion? Confusion?\Or perhaps...\Goddess...\Okay, Hestia.\Listen carefully.\The hieroglyphs you carved into that knife gave it a status of its own. response:	That weapon is alive.
context: What are they after?\A diversion? Confusion?\Or perhaps...\Goddess...\Okay, Hestia.\Listen carefully.\The hieroglyphs you carved into that knife gave it a status of its own.\That weapon is alive. response:	Alive?
context: A diversion? Confusion?\Or perhaps...\Goddess...\Okay, Hestia.\Listen carefully.\The hieroglyphs you carved into that knife gave it a status of its own.\That weapon is alive.\Alive? response:	When it comes into the hands of your child, Bell Cranel,
context: Or perhaps...\Goddess...\Okay, Hestia.\Listen carefully.\The hieroglyphs you carved into that knife gave it a status of its own.\That weapon is alive.\Alive?\When it comes into the hands of your child, Bell Cranel, response:	it will come alive for the first time, and it will grow as he does.
context: Goddess...\Okay, Hestia.\Listen carefully.\The hieroglyphs you carved into that knife gave it a status of its own.\That weapon is alive.\Alive?\When it comes into the hands of your child, Bell Cranel,\it will come alive for the first time, and it will grow as he does. response:	Bell-kun!
context: Okay, Hestia.\Listen carefully.\The hieroglyphs you carved into that knife gave it a status of its own.\That weapon is alive.\Alive?\When it comes into the hands of your child, Bell Cranel,\it will come alive for the first time, and it will grow as he does.\Bell-kun! response:	Thank you!
context: Listen carefully.\The hieroglyphs you carved into that knife gave it a status of its own.\That weapon is alive.\Alive?\When it comes into the hands of your child, Bell Cranel,\it will come alive for the first time, and it will grow as he does.\Bell-kun!\Thank you! response:	Is that true?
context: The hieroglyphs you carved into that knife gave it a status of its own.\That weapon is alive.\Alive?\When it comes into the hands of your child, Bell Cranel,\it will come alive for the first time, and it will grow as he does.\Bell-kun!\Thank you!\Is that true? response:	Yeah!
context: That weapon is alive.\Alive?\When it comes into the hands of your child, Bell Cranel,\it will come alive for the first time, and it will grow as he does.\Bell-kun!\Thank you!\Is that true?\Yeah! response:	Somebody from the Ganesha Familia was saying that
context: Alive?\When it comes into the hands of your child, Bell Cranel,\it will come alive for the first time, and it will grow as he does.\Bell-kun!\Thank you!\Is that true?\Yeah!\Somebody from the Ganesha Familia was saying that response:	monsters escaped at the west gate!
context: When it comes into the hands of your child, Bell Cranel,\it will come alive for the first time, and it will grow as he does.\Bell-kun!\Thank you!\Is that true?\Yeah!\Somebody from the Ganesha Familia was saying that\monsters escaped at the west gate! response:	You're too loud!
context: it will come alive for the first time, and it will grow as he does.\Bell-kun!\Thank you!\Is that true?\Yeah!\Somebody from the Ganesha Familia was saying that\monsters escaped at the west gate!\You're too loud! response:	What if you cause a panic?
context: Bell-kun!\Thank you!\Is that true?\Yeah!\Somebody from the Ganesha Familia was saying that\monsters escaped at the west gate!\You're too loud!\What if you cause a panic? response:	I-I'm sorry.
context: Thank you!\Is that true?\Yeah!\Somebody from the Ganesha Familia was saying that\monsters escaped at the west gate!\You're too loud!\What if you cause a panic?\I-I'm sorry. response:	Anyway, they said if there are any adventurers nearby,
context: Is that true?\Yeah!\Somebody from the Ganesha Familia was saying that\monsters escaped at the west gate!\You're too loud!\What if you cause a panic?\I-I'm sorry.\Anyway, they said if there are any adventurers nearby, response:	ask them for help, no matter what familia they're from.
context: Yeah!\Somebody from the Ganesha Familia was saying that\monsters escaped at the west gate!\You're too loud!\What if you cause a panic?\I-I'm sorry.\Anyway, they said if there are any adventurers nearby,\ask them for help, no matter what familia they're from. response:	But the odds of any being around are...
context: Somebody from the Ganesha Familia was saying that\monsters escaped at the west gate!\You're too loud!\What if you cause a panic?\I-I'm sorry.\Anyway, they said if there are any adventurers nearby,\ask them for help, no matter what familia they're from.\But the odds of any being around are... response:	What, you guys got a way to make some money?
context: monsters escaped at the west gate!\You're too loud!\What if you cause a panic?\I-I'm sorry.\Anyway, they said if there are any adventurers nearby,\ask them for help, no matter what familia they're from.\But the odds of any being around are...\What, you guys got a way to make some money? response:	Did something happen?
context: You're too loud!\What if you cause a panic?\I-I'm sorry.\Anyway, they said if there are any adventurers nearby,\ask them for help, no matter what familia they're from.\But the odds of any being around are...\What, you guys got a way to make some money?\Did something happen? response:	The Sword Princess?
context: What if you cause a panic?\I-I'm sorry.\Anyway, they said if there are any adventurers nearby,\ask them for help, no matter what familia they're from.\But the odds of any being around are...\What, you guys got a way to make some money?\Did something happen?\The Sword Princess? response:	Aiz Wallenstein?
context: I-I'm sorry.\Anyway, they said if there are any adventurers nearby,\ask them for help, no matter what familia they're from.\But the odds of any being around are...\What, you guys got a way to make some money?\Did something happen?\The Sword Princess?\Aiz Wallenstein? response:	I wonder if the goddess got away okay.
context: Anyway, they said if there are any adventurers nearby,\ask them for help, no matter what familia they're from.\But the odds of any being around are...\What, you guys got a way to make some money?\Did something happen?\The Sword Princess?\Aiz Wallenstein?\I wonder if the goddess got away okay. response:	And Aiz-san isn't coming this time, is she?
context: ask them for help, no matter what familia they're from.\But the odds of any being around are...\What, you guys got a way to make some money?\Did something happen?\The Sword Princess?\Aiz Wallenstein?\I wonder if the goddess got away okay.\And Aiz-san isn't coming this time, is she? response:	I wanted to see her...
context: But the odds of any being around are...\What, you guys got a way to make some money?\Did something happen?\The Sword Princess?\Aiz Wallenstein?\I wonder if the goddess got away okay.\And Aiz-san isn't coming this time, is she?\I wanted to see her... response:	But maybe I'm lucky
context: What, you guys got a way to make some money?\Did something happen?\The Sword Princess?\Aiz Wallenstein?\I wonder if the goddess got away okay.\And Aiz-san isn't coming this time, is she?\I wanted to see her...\But maybe I'm lucky response:	she won't see me like this again.
context: Did something happen?\The Sword Princess?\Aiz Wallenstein?\I wonder if the goddess got away okay.\And Aiz-san isn't coming this time, is she?\I wanted to see her...\But maybe I'm lucky\she won't see me like this again. response:	Way to go!
context: The Sword Princess?\Aiz Wallenstein?\I wonder if the goddess got away okay.\And Aiz-san isn't coming this time, is she?\I wanted to see her...\But maybe I'm lucky\she won't see me like this again.\Way to go! response:	That's our Aiz-tan!
context: Aiz Wallenstein?\I wonder if the goddess got away okay.\And Aiz-san isn't coming this time, is she?\I wanted to see her...\But maybe I'm lucky\she won't see me like this again.\Way to go!\That's our Aiz-tan! response:	How many monsters are left?
context: I wonder if the goddess got away okay.\And Aiz-san isn't coming this time, is she?\I wanted to see her...\But maybe I'm lucky\she won't see me like this again.\Way to go!\That's our Aiz-tan!\How many monsters are left? response:	Aww, you don't have to be so shy!
context: And Aiz-san isn't coming this time, is she?\I wanted to see her...\But maybe I'm lucky\she won't see me like this again.\Way to go!\That's our Aiz-tan!\How many monsters are left?\Aww, you don't have to be so shy! response:	We've asked other adventurers for help,
context: I wanted to see her...\But maybe I'm lucky\she won't see me like this again.\Way to go!\That's our Aiz-tan!\How many monsters are left?\Aww, you don't have to be so shy!\We've asked other adventurers for help, response:	but there are probably three or four more...
context: But maybe I'm lucky\she won't see me like this again.\Way to go!\That's our Aiz-tan!\How many monsters are left?\Aww, you don't have to be so shy!\We've asked other adventurers for help,\but there are probably three or four more... response:	Wait!
context: she won't see me like this again.\Way to go!\That's our Aiz-tan!\How many monsters are left?\Aww, you don't have to be so shy!\We've asked other adventurers for help,\but there are probably three or four more...\Wait! response:	The Sword Princess really is amazing, isn't she?
context: Way to go!\That's our Aiz-tan!\How many monsters are left?\Aww, you don't have to be so shy!\We've asked other adventurers for help,\but there are probably three or four more...\Wait!\The Sword Princess really is amazing, isn't she? response:	Yeah, I can kind of see why Bell-kun admires her so much.
context: That's our Aiz-tan!\How many monsters are left?\Aww, you don't have to be so shy!\We've asked other adventurers for help,\but there are probably three or four more...\Wait!\The Sword Princess really is amazing, isn't she?\Yeah, I can kind of see why Bell-kun admires her so much. response:	He's not caught up in all this, is he?
context: How many monsters are left?\Aww, you don't have to be so shy!\We've asked other adventurers for help,\but there are probably three or four more...\Wait!\The Sword Princess really is amazing, isn't she?\Yeah, I can kind of see why Bell-kun admires her so much.\He's not caught up in all this, is he? response:	Farewell, Goddess...
context: Aww, you don't have to be so shy!\We've asked other adventurers for help,\but there are probably three or four more...\Wait!\The Sword Princess really is amazing, isn't she?\Yeah, I can kind of see why Bell-kun admires her so much.\He's not caught up in all this, is he?\Farewell, Goddess... response:	Bell-kun!
context: We've asked other adventurers for help,\but there are probably three or four more...\Wait!\The Sword Princess really is amazing, isn't she?\Yeah, I can kind of see why Bell-kun admires her so much.\He's not caught up in all this, is he?\Farewell, Goddess...\Bell-kun! response:	No...
context: but there are probably three or four more...\Wait!\The Sword Princess really is amazing, isn't she?\Yeah, I can kind of see why Bell-kun admires her so much.\He's not caught up in all this, is he?\Farewell, Goddess...\Bell-kun!\No... response:	Why?
context: Wait!\The Sword Princess really is amazing, isn't she?\Yeah, I can kind of see why Bell-kun admires her so much.\He's not caught up in all this, is he?\Farewell, Goddess...\Bell-kun!\No...\Why? response:	Why did you come back?
context: The Sword Princess really is amazing, isn't she?\Yeah, I can kind of see why Bell-kun admires her so much.\He's not caught up in all this, is he?\Farewell, Goddess...\Bell-kun!\No...\Why?\Why did you come back? response:	Goddess!
context: Yeah, I can kind of see why Bell-kun admires her so much.\He's not caught up in all this, is he?\Farewell, Goddess...\Bell-kun!\No...\Why?\Why did you come back?\Goddess! response:	Goddess! Are you okay?
context: He's not caught up in all this, is he?\Farewell, Goddess...\Bell-kun!\No...\Why?\Why did you come back?\Goddess!\Goddess! Are you okay? response:	Yeah, I think so.
context: Farewell, Goddess...\Bell-kun!\No...\Why?\Why did you come back?\Goddess!\Goddess! Are you okay?\Yeah, I think so. response:	What are you doing here?
context: Bell-kun!\No...\Why?\Why did you come back?\Goddess!\Goddess! Are you okay?\Yeah, I think so.\What are you doing here? response:	I asked you to run away!
context: No...\Why?\Why did you come back?\Goddess!\Goddess! Are you okay?\Yeah, I think so.\What are you doing here?\I asked you to run away! response:	Why?
context: Why?\Why did you come back?\Goddess!\Goddess! Are you okay?\Yeah, I think so.\What are you doing here?\I asked you to run away!\Why? response:	You really are hopeless, aren't you?
context: Why did you come back?\Goddess!\Goddess! Are you okay?\Yeah, I think so.\What are you doing here?\I asked you to run away!\Why?\You really are hopeless, aren't you? response:	There's no way I'd run and leave you behind.
context: Goddess!\Goddess! Are you okay?\Yeah, I think so.\What are you doing here?\I asked you to run away!\Why?\You really are hopeless, aren't you?\There's no way I'd run and leave you behind. response:	You want to protect me, you say?
context: Goddess! Are you okay?\Yeah, I think so.\What are you doing here?\I asked you to run away!\Why?\You really are hopeless, aren't you?\There's no way I'd run and leave you behind.\You want to protect me, you say? response:	Then I'll say the exact same thing to you.
context: Yeah, I think so.\What are you doing here?\I asked you to run away!\Why?\You really are hopeless, aren't you?\There's no way I'd run and leave you behind.\You want to protect me, you say?\Then I'll say the exact same thing to you. response:	And you promised me, right?
context: What are you doing here?\I asked you to run away!\Why?\You really are hopeless, aren't you?\There's no way I'd run and leave you behind.\You want to protect me, you say?\Then I'll say the exact same thing to you.\And you promised me, right? response:	Please...
context: I asked you to run away!\Why?\You really are hopeless, aren't you?\There's no way I'd run and leave you behind.\You want to protect me, you say?\Then I'll say the exact same thing to you.\And you promised me, right?\Please... response:	Don't leave me alone.
context: Why?\You really are hopeless, aren't you?\There's no way I'd run and leave you behind.\You want to protect me, you say?\Then I'll say the exact same thing to you.\And you promised me, right?\Please...\Don't leave me alone. response:	But...
context: You really are hopeless, aren't you?\There's no way I'd run and leave you behind.\You want to protect me, you say?\Then I'll say the exact same thing to you.\And you promised me, right?\Please...\Don't leave me alone.\But... response:	But at this rate we're both going to...
context: There's no way I'd run and leave you behind.\You want to protect me, you say?\Then I'll say the exact same thing to you.\And you promised me, right?\Please...\Don't leave me alone.\But...\But at this rate we're both going to... response:	It's too early to give up, Bell-kun!
context: You want to protect me, you say?\Then I'll say the exact same thing to you.\And you promised me, right?\Please...\Don't leave me alone.\But...\But at this rate we're both going to...\It's too early to give up, Bell-kun! response:	It's too early to give up, Bell-kun!
context: Then I'll say the exact same thing to you.\And you promised me, right?\Please...\Don't leave me alone.\But...\But at this rate we're both going to...\It's too early to give up, Bell-kun!\It's too early to give up, Bell-kun! response:	Excuse me, Goddess!
context: And you promised me, right?\Please...\Don't leave me alone.\But...\But at this rate we're both going to...\It's too early to give up, Bell-kun!\It's too early to give up, Bell-kun!\Excuse me, Goddess! response:	I'm sorry, Bell-kun!
context: Please...\Don't leave me alone.\But...\But at this rate we're both going to...\It's too early to give up, Bell-kun!\It's too early to give up, Bell-kun!\Excuse me, Goddess!\I'm sorry, Bell-kun! response:	Despite everything that's going on, I'm incredibly happy!
context: Don't leave me alone.\But...\But at this rate we're both going to...\It's too early to give up, Bell-kun!\It's too early to give up, Bell-kun!\Excuse me, Goddess!\I'm sorry, Bell-kun!\Despite everything that's going on, I'm incredibly happy! response:	What are you talking about, Goddess?
context: But...\But at this rate we're both going to...\It's too early to give up, Bell-kun!\It's too early to give up, Bell-kun!\Excuse me, Goddess!\I'm sorry, Bell-kun!\Despite everything that's going on, I'm incredibly happy!\What are you talking about, Goddess? response:	Maybe...
context: But at this rate we're both going to...\It's too early to give up, Bell-kun!\It's too early to give up, Bell-kun!\Excuse me, Goddess!\I'm sorry, Bell-kun!\Despite everything that's going on, I'm incredibly happy!\What are you talking about, Goddess?\Maybe... response:	He's after you, Goddess.
context: It's too early to give up, Bell-kun!\It's too early to give up, Bell-kun!\Excuse me, Goddess!\I'm sorry, Bell-kun!\Despite everything that's going on, I'm incredibly happy!\What are you talking about, Goddess?\Maybe...\He's after you, Goddess. response:	It's only a matter of time until he finds us.
context: It's too early to give up, Bell-kun!\Excuse me, Goddess!\I'm sorry, Bell-kun!\Despite everything that's going on, I'm incredibly happy!\What are you talking about, Goddess?\Maybe...\He's after you, Goddess.\It's only a matter of time until he finds us. response:	Then let's change our plan.
context: Excuse me, Goddess!\I'm sorry, Bell-kun!\Despite everything that's going on, I'm incredibly happy!\What are you talking about, Goddess?\Maybe...\He's after you, Goddess.\It's only a matter of time until he finds us.\Then let's change our plan. response:	Instead, Bell-kun, you'll defeat that monster!
context: I'm sorry, Bell-kun!\Despite everything that's going on, I'm incredibly happy!\What are you talking about, Goddess?\Maybe...\He's after you, Goddess.\It's only a matter of time until he finds us.\Then let's change our plan.\Instead, Bell-kun, you'll defeat that monster! response:	I'll update your status right here.
context: Despite everything that's going on, I'm incredibly happy!\What are you talking about, Goddess?\Maybe...\He's after you, Goddess.\It's only a matter of time until he finds us.\Then let's change our plan.\Instead, Bell-kun, you'll defeat that monster!\I'll update your status right here. response:	Hit that monster with everything you've got!
context: What are you talking about, Goddess?\Maybe...\He's after you, Goddess.\It's only a matter of time until he finds us.\Then let's change our plan.\Instead, Bell-kun, you'll defeat that monster!\I'll update your status right here.\Hit that monster with everything you've got! response:	It's impossible.
context: Maybe...\He's after you, Goddess.\It's only a matter of time until he finds us.\Then let's change our plan.\Instead, Bell-kun, you'll defeat that monster!\I'll update your status right here.\Hit that monster with everything you've got!\It's impossible. response:	Even if I'm a little stronger,
context: He's after you, Goddess.\It's only a matter of time until he finds us.\Then let's change our plan.\Instead, Bell-kun, you'll defeat that monster!\I'll update your status right here.\Hit that monster with everything you've got!\It's impossible.\Even if I'm a little stronger, response:	my attacks aren't enough to kill that monster.
