context: I don't want you to hate me. response:	There you go, saying things like that.
context: Cafeteria staff?\Wow! Cafeteria stuff? Cool!\It looks like you'll be doing various things this year.\I want to make a cute cafeteria in the middle of the tour course as a rest area.\And I want to make it an environment where even the middle school students can blend in.\I know the preparation for it will be hard work, but could you guys help out?\I need assistance.\Of course! response:	We'll ask other girls, too.
context: Wow! Cafeteria stuff? Cool!\It looks like you'll be doing various things this year.\I want to make a cute cafeteria in the middle of the tour course as a rest area.\And I want to make it an environment where even the middle school students can blend in.\I know the preparation for it will be hard work, but could you guys help out?\I need assistance.\Of course!\We'll ask other girls, too. response:	Thank you.
context: It looks like you'll be doing various things this year.\I want to make a cute cafeteria in the middle of the tour course as a rest area.\And I want to make it an environment where even the middle school students can blend in.\I know the preparation for it will be hard work, but could you guys help out?\I need assistance.\Of course!\We'll ask other girls, too.\Thank you. response:	I can't wait to see the junior high students come.
context: I want to make a cute cafeteria in the middle of the tour course as a rest area.\And I want to make it an environment where even the middle school students can blend in.\I know the preparation for it will be hard work, but could you guys help out?\I need assistance.\Of course!\We'll ask other girls, too.\Thank you.\I can't wait to see the junior high students come. response:	How should we decorate?
context: And I want to make it an environment where even the middle school students can blend in.\I know the preparation for it will be hard work, but could you guys help out?\I need assistance.\Of course!\We'll ask other girls, too.\Thank you.\I can't wait to see the junior high students come.\How should we decorate? response:	We need to consider the budget, too.
context: I know the preparation for it will be hard work, but could you guys help out?\I need assistance.\Of course!\We'll ask other girls, too.\Thank you.\I can't wait to see the junior high students come.\How should we decorate?\We need to consider the budget, too. response:	And, I'm sure you'll need someone to do the heavy work, and can't expect much help from the guys,
context: I need assistance.\Of course!\We'll ask other girls, too.\Thank you.\I can't wait to see the junior high students come.\How should we decorate?\We need to consider the budget, too.\And, I'm sure you'll need someone to do the heavy work, and can't expect much help from the guys, response:	So use him.
context: Of course!\We'll ask other girls, too.\Thank you.\I can't wait to see the junior high students come.\How should we decorate?\We need to consider the budget, too.\And, I'm sure you'll need someone to do the heavy work, and can't expect much help from the guys,\So use him. response:	He's Kanou Soutarou-kun, a freshman.
context: We'll ask other girls, too.\Thank you.\I can't wait to see the junior high students come.\How should we decorate?\We need to consider the budget, too.\And, I'm sure you'll need someone to do the heavy work, and can't expect much help from the guys,\So use him.\He's Kanou Soutarou-kun, a freshman. response:	Due to a certain reason, he's the student council's assistant.
context: Thank you.\I can't wait to see the junior high students come.\How should we decorate?\We need to consider the budget, too.\And, I'm sure you'll need someone to do the heavy work, and can't expect much help from the guys,\So use him.\He's Kanou Soutarou-kun, a freshman.\Due to a certain reason, he's the student council's assistant. response:	Oh. Hi, Kanou-kun.
context: I can't wait to see the junior high students come.\How should we decorate?\We need to consider the budget, too.\And, I'm sure you'll need someone to do the heavy work, and can't expect much help from the guys,\So use him.\He's Kanou Soutarou-kun, a freshman.\Due to a certain reason, he's the student council's assistant.\Oh. Hi, Kanou-kun. response:	You always have a hood on, don't you?
context: How should we decorate?\We need to consider the budget, too.\And, I'm sure you'll need someone to do the heavy work, and can't expect much help from the guys,\So use him.\He's Kanou Soutarou-kun, a freshman.\Due to a certain reason, he's the student council's assistant.\Oh. Hi, Kanou-kun.\You always have a hood on, don't you? response:	So you were a freshman.
context: We need to consider the budget, too.\And, I'm sure you'll need someone to do the heavy work, and can't expect much help from the guys,\So use him.\He's Kanou Soutarou-kun, a freshman.\Due to a certain reason, he's the student council's assistant.\Oh. Hi, Kanou-kun.\You always have a hood on, don't you?\So you were a freshman. response:	Nice to meet you, Kanou-kun.
context: And, I'm sure you'll need someone to do the heavy work, and can't expect much help from the guys,\So use him.\He's Kanou Soutarou-kun, a freshman.\Due to a certain reason, he's the student council's assistant.\Oh. Hi, Kanou-kun.\You always have a hood on, don't you?\So you were a freshman.\Nice to meet you, Kanou-kun. response:	Nice to meet you!
context: So use him.\He's Kanou Soutarou-kun, a freshman.\Due to a certain reason, he's the student council's assistant.\Oh. Hi, Kanou-kun.\You always have a hood on, don't you?\So you were a freshman.\Nice to meet you, Kanou-kun.\Nice to meet you! response:	Nice to meet you.
context: He's Kanou Soutarou-kun, a freshman.\Due to a certain reason, he's the student council's assistant.\Oh. Hi, Kanou-kun.\You always have a hood on, don't you?\So you were a freshman.\Nice to meet you, Kanou-kun.\Nice to meet you!\Nice to meet you. response:	Okay, so let's go gather people up.
context: Due to a certain reason, he's the student council's assistant.\Oh. Hi, Kanou-kun.\You always have a hood on, don't you?\So you were a freshman.\Nice to meet you, Kanou-kun.\Nice to meet you!\Nice to meet you.\Okay, so let's go gather people up. response:	So what do we do? Where do we start from?
context: Oh. Hi, Kanou-kun.\You always have a hood on, don't you?\So you were a freshman.\Nice to meet you, Kanou-kun.\Nice to meet you!\Nice to meet you.\Okay, so let's go gather people up.\So what do we do? Where do we start from? response:	How about we make a hot pot?
context: You always have a hood on, don't you?\So you were a freshman.\Nice to meet you, Kanou-kun.\Nice to meet you!\Nice to meet you.\Okay, so let's go gather people up.\So what do we do? Where do we start from?\How about we make a hot pot? response:	Kanou-kun. I don't really understand the situation,
context: So you were a freshman.\Nice to meet you, Kanou-kun.\Nice to meet you!\Nice to meet you.\Okay, so let's go gather people up.\So what do we do? Where do we start from?\How about we make a hot pot?\Kanou-kun. I don't really understand the situation, response:	but if you help out as part of the cafeteria staff, Prez says she'll forgive you.
context: Nice to meet you, Kanou-kun.\Nice to meet you!\Nice to meet you.\Okay, so let's go gather people up.\So what do we do? Where do we start from?\How about we make a hot pot?\Kanou-kun. I don't really understand the situation,\but if you help out as part of the cafeteria staff, Prez says she'll forgive you. response:	Oh, by the way, I'm Yukimura, the vice president.
context: Nice to meet you!\Nice to meet you.\Okay, so let's go gather people up.\So what do we do? Where do we start from?\How about we make a hot pot?\Kanou-kun. I don't really understand the situation,\but if you help out as part of the cafeteria staff, Prez says she'll forgive you.\Oh, by the way, I'm Yukimura, the vice president. response:	Wait, Kanou-kun!
context: Nice to meet you.\Okay, so let's go gather people up.\So what do we do? Where do we start from?\How about we make a hot pot?\Kanou-kun. I don't really understand the situation,\but if you help out as part of the cafeteria staff, Prez says she'll forgive you.\Oh, by the way, I'm Yukimura, the vice president.\Wait, Kanou-kun! response:	Kanou-kun...
context: Okay, so let's go gather people up.\So what do we do? Where do we start from?\How about we make a hot pot?\Kanou-kun. I don't really understand the situation,\but if you help out as part of the cafeteria staff, Prez says she'll forgive you.\Oh, by the way, I'm Yukimura, the vice president.\Wait, Kanou-kun!\Kanou-kun... response:	Kanou-kun, can you help carry these boxes?
context: So what do we do? Where do we start from?\How about we make a hot pot?\Kanou-kun. I don't really understand the situation,\but if you help out as part of the cafeteria staff, Prez says she'll forgive you.\Oh, by the way, I'm Yukimura, the vice president.\Wait, Kanou-kun!\Kanou-kun...\Kanou-kun, can you help carry these boxes? response:	Prez, if we do that, we'll have a problem here.
context: How about we make a hot pot?\Kanou-kun. I don't really understand the situation,\but if you help out as part of the cafeteria staff, Prez says she'll forgive you.\Oh, by the way, I'm Yukimura, the vice president.\Wait, Kanou-kun!\Kanou-kun...\Kanou-kun, can you help carry these boxes?\Prez, if we do that, we'll have a problem here. response:	Then let's move that to the chemistry lab.
context: Kanou-kun. I don't really understand the situation,\but if you help out as part of the cafeteria staff, Prez says she'll forgive you.\Oh, by the way, I'm Yukimura, the vice president.\Wait, Kanou-kun!\Kanou-kun...\Kanou-kun, can you help carry these boxes?\Prez, if we do that, we'll have a problem here.\Then let's move that to the chemistry lab. response:	She shouldn't be in the cafeteria now.
context: but if you help out as part of the cafeteria staff, Prez says she'll forgive you.\Oh, by the way, I'm Yukimura, the vice president.\Wait, Kanou-kun!\Kanou-kun...\Kanou-kun, can you help carry these boxes?\Prez, if we do that, we'll have a problem here.\Then let's move that to the chemistry lab.\She shouldn't be in the cafeteria now. response:	I'll hypnotize to-
context: Oh, by the way, I'm Yukimura, the vice president.\Wait, Kanou-kun!\Kanou-kun...\Kanou-kun, can you help carry these boxes?\Prez, if we do that, we'll have a problem here.\Then let's move that to the chemistry lab.\She shouldn't be in the cafeteria now.\I'll hypnotize to- response:	How many Prez's are there?
context: Wait, Kanou-kun!\Kanou-kun...\Kanou-kun, can you help carry these boxes?\Prez, if we do that, we'll have a problem here.\Then let's move that to the chemistry lab.\She shouldn't be in the cafeteria now.\I'll hypnotize to-\How many Prez's are there? response:	Does she go through mitosis?
context: Kanou-kun...\Kanou-kun, can you help carry these boxes?\Prez, if we do that, we'll have a problem here.\Then let's move that to the chemistry lab.\She shouldn't be in the cafeteria now.\I'll hypnotize to-\How many Prez's are there?\Does she go through mitosis? response:	There's only one of her.
context: Kanou-kun, can you help carry these boxes?\Prez, if we do that, we'll have a problem here.\Then let's move that to the chemistry lab.\She shouldn't be in the cafeteria now.\I'll hypnotize to-\How many Prez's are there?\Does she go through mitosis?\There's only one of her. response:	I think.
context: Prez, if we do that, we'll have a problem here.\Then let's move that to the chemistry lab.\She shouldn't be in the cafeteria now.\I'll hypnotize to-\How many Prez's are there?\Does she go through mitosis?\There's only one of her.\I think. response:	What is this?
context: Then let's move that to the chemistry lab.\She shouldn't be in the cafeteria now.\I'll hypnotize to-\How many Prez's are there?\Does she go through mitosis?\There's only one of her.\I think.\What is this? response:	I've noticed something strange while looking at Kanou.
context: She shouldn't be in the cafeteria now.\I'll hypnotize to-\How many Prez's are there?\Does she go through mitosis?\There's only one of her.\I think.\What is this?\I've noticed something strange while looking at Kanou. response:	He is avoiding the girls, but he doesn't see them as enemies.
context: I'll hypnotize to-\How many Prez's are there?\Does she go through mitosis?\There's only one of her.\I think.\What is this?\I've noticed something strange while looking at Kanou.\He is avoiding the girls, but he doesn't see them as enemies. response:	It doesn't look like he's allergic to girls.
context: How many Prez's are there?\Does she go through mitosis?\There's only one of her.\I think.\What is this?\I've noticed something strange while looking at Kanou.\He is avoiding the girls, but he doesn't see them as enemies.\It doesn't look like he's allergic to girls. response:	You think we can do something about that wall?
context: Does she go through mitosis?\There's only one of her.\I think.\What is this?\I've noticed something strange while looking at Kanou.\He is avoiding the girls, but he doesn't see them as enemies.\It doesn't look like he's allergic to girls.\You think we can do something about that wall? response:	Yeah...
context: There's only one of her.\I think.\What is this?\I've noticed something strange while looking at Kanou.\He is avoiding the girls, but he doesn't see them as enemies.\It doesn't look like he's allergic to girls.\You think we can do something about that wall?\Yeah... response:	I'm sorry. I tripped over the chair.
context: I think.\What is this?\I've noticed something strange while looking at Kanou.\He is avoiding the girls, but he doesn't see them as enemies.\It doesn't look like he's allergic to girls.\You think we can do something about that wall?\Yeah...\I'm sorry. I tripped over the chair. response:	Thanks.
context: What is this?\I've noticed something strange while looking at Kanou.\He is avoiding the girls, but he doesn't see them as enemies.\It doesn't look like he's allergic to girls.\You think we can do something about that wall?\Yeah...\I'm sorry. I tripped over the chair.\Thanks. response:	Misa-chan's off work today, too?
context: I've noticed something strange while looking at Kanou.\He is avoiding the girls, but he doesn't see them as enemies.\It doesn't look like he's allergic to girls.\You think we can do something about that wall?\Yeah...\I'm sorry. I tripped over the chair.\Thanks.\Misa-chan's off work today, too? response:	You fool. We come to the store regardless of whether Misa-chan is here or not.
context: He is avoiding the girls, but he doesn't see them as enemies.\It doesn't look like he's allergic to girls.\You think we can do something about that wall?\Yeah...\I'm sorry. I tripped over the chair.\Thanks.\Misa-chan's off work today, too?\You fool. We come to the store regardless of whether Misa-chan is here or not. response:	That's what true love is.
context: It doesn't look like he's allergic to girls.\You think we can do something about that wall?\Yeah...\I'm sorry. I tripped over the chair.\Thanks.\Misa-chan's off work today, too?\You fool. We come to the store regardless of whether Misa-chan is here or not.\That's what true love is. response:	Yeah,
context: You think we can do something about that wall?\Yeah...\I'm sorry. I tripped over the chair.\Thanks.\Misa-chan's off work today, too?\You fool. We come to the store regardless of whether Misa-chan is here or not.\That's what true love is.\Yeah, response:	I guess Usui is here, too.
context: Yeah...\I'm sorry. I tripped over the chair.\Thanks.\Misa-chan's off work today, too?\You fool. We come to the store regardless of whether Misa-chan is here or not.\That's what true love is.\Yeah,\I guess Usui is here, too. response:	Sis, it's the curcuma tea and chestnut jelly I won in the mail as a prize.
context: I'm sorry. I tripped over the chair.\Thanks.\Misa-chan's off work today, too?\You fool. We come to the store regardless of whether Misa-chan is here or not.\That's what true love is.\Yeah,\I guess Usui is here, too.\Sis, it's the curcuma tea and chestnut jelly I won in the mail as a prize. response:	Thanks. Please leave it there.
context: Thanks.\Misa-chan's off work today, too?\You fool. We come to the store regardless of whether Misa-chan is here or not.\That's what true love is.\Yeah,\I guess Usui is here, too.\Sis, it's the curcuma tea and chestnut jelly I won in the mail as a prize.\Thanks. Please leave it there. response:	Are you preparing for the open house?
context: Misa-chan's off work today, too?\You fool. We come to the store regardless of whether Misa-chan is here or not.\That's what true love is.\Yeah,\I guess Usui is here, too.\Sis, it's the curcuma tea and chestnut jelly I won in the mail as a prize.\Thanks. Please leave it there.\Are you preparing for the open house? response:	Hard at work, I see.
context: You fool. We come to the store regardless of whether Misa-chan is here or not.\That's what true love is.\Yeah,\I guess Usui is here, too.\Sis, it's the curcuma tea and chestnut jelly I won in the mail as a prize.\Thanks. Please leave it there.\Are you preparing for the open house?\Hard at work, I see. response:	What sort of high school would you want to attend?
context: That's what true love is.\Yeah,\I guess Usui is here, too.\Sis, it's the curcuma tea and chestnut jelly I won in the mail as a prize.\Thanks. Please leave it there.\Are you preparing for the open house?\Hard at work, I see.\What sort of high school would you want to attend? response:	I would-
context: Yeah,\I guess Usui is here, too.\Sis, it's the curcuma tea and chestnut jelly I won in the mail as a prize.\Thanks. Please leave it there.\Are you preparing for the open house?\Hard at work, I see.\What sort of high school would you want to attend?\I would- response:	Nothing like,'a school with mail in prize club'.
context: I guess Usui is here, too.\Sis, it's the curcuma tea and chestnut jelly I won in the mail as a prize.\Thanks. Please leave it there.\Are you preparing for the open house?\Hard at work, I see.\What sort of high school would you want to attend?\I would-\Nothing like,'a school with mail in prize club'. response:	Stuff other than that.
context: Sis, it's the curcuma tea and chestnut jelly I won in the mail as a prize.\Thanks. Please leave it there.\Are you preparing for the open house?\Hard at work, I see.\What sort of high school would you want to attend?\I would-\Nothing like,'a school with mail in prize club'.\Stuff other than that. response:	Stuff other than that...
context: Thanks. Please leave it there.\Are you preparing for the open house?\Hard at work, I see.\What sort of high school would you want to attend?\I would-\Nothing like,'a school with mail in prize club'.\Stuff other than that.\Stuff other than that... response:	What is it? What is it?
context: Are you preparing for the open house?\Hard at work, I see.\What sort of high school would you want to attend?\I would-\Nothing like,'a school with mail in prize club'.\Stuff other than that.\Stuff other than that...\What is it? What is it? response:	What is it? What is it?
context: Hard at work, I see.\What sort of high school would you want to attend?\I would-\Nothing like,'a school with mail in prize club'.\Stuff other than that.\Stuff other than that...\What is it? What is it?\What is it? What is it? response:	What is it? What is it?
context: What sort of high school would you want to attend?\I would-\Nothing like,'a school with mail in prize club'.\Stuff other than that.\Stuff other than that...\What is it? What is it?\What is it? What is it?\What is it? What is it? response:	What is it? What is it?
context: I would-\Nothing like,'a school with mail in prize club'.\Stuff other than that.\Stuff other than that...\What is it? What is it?\What is it? What is it?\What is it? What is it?\What is it? What is it? response:	Stuff other than that...
context: Nothing like,'a school with mail in prize club'.\Stuff other than that.\Stuff other than that...\What is it? What is it?\What is it? What is it?\What is it? What is it?\What is it? What is it?\Stuff other than that... response:	Has a mail in present club.
context: Stuff other than that.\Stuff other than that...\What is it? What is it?\What is it? What is it?\What is it? What is it?\What is it? What is it?\Stuff other than that...\Has a mail in present club. response:	In other words, that's all you care about.
context: Stuff other than that...\What is it? What is it?\What is it? What is it?\What is it? What is it?\What is it? What is it?\Stuff other than that...\Has a mail in present club.\In other words, that's all you care about. response:	Kanou-kun, a little to the right.
context: What is it? What is it?\What is it? What is it?\What is it? What is it?\What is it? What is it?\Stuff other than that...\Has a mail in present club.\In other words, that's all you care about.\Kanou-kun, a little to the right. response:	It's a little crooked.
context: What is it? What is it?\What is it? What is it?\What is it? What is it?\Stuff other than that...\Has a mail in present club.\In other words, that's all you care about.\Kanou-kun, a little to the right.\It's a little crooked. response:	Looks like you're hard at work, Kanou.
context: What is it? What is it?\What is it? What is it?\Stuff other than that...\Has a mail in present club.\In other words, that's all you care about.\Kanou-kun, a little to the right.\It's a little crooked.\Looks like you're hard at work, Kanou. response:	It's finally tomorrow.
context: What is it? What is it?\Stuff other than that...\Has a mail in present club.\In other words, that's all you care about.\Kanou-kun, a little to the right.\It's a little crooked.\Looks like you're hard at work, Kanou.\It's finally tomorrow. response:	Misaki-san.
context: Stuff other than that...\Has a mail in present club.\In other words, that's all you care about.\Kanou-kun, a little to the right.\It's a little crooked.\Looks like you're hard at work, Kanou.\It's finally tomorrow.\Misaki-san. response:	Would you take a look at this?
context: Has a mail in present club.\In other words, that's all you care about.\Kanou-kun, a little to the right.\It's a little crooked.\Looks like you're hard at work, Kanou.\It's finally tomorrow.\Misaki-san.\Would you take a look at this? response:	We'd like to use this as the costume.
context: In other words, that's all you care about.\Kanou-kun, a little to the right.\It's a little crooked.\Looks like you're hard at work, Kanou.\It's finally tomorrow.\Misaki-san.\Would you take a look at this?\We'd like to use this as the costume. response:	Surprised?
context: Kanou-kun, a little to the right.\It's a little crooked.\Looks like you're hard at work, Kanou.\It's finally tomorrow.\Misaki-san.\Would you take a look at this?\We'd like to use this as the costume.\Surprised? response:	We went through a lot getting them.
