context: He's inside... that. response:	He's inside... that.
context: No matter how many techniques I use,\This woman has no openings.\What should I do?\From the beginning, Medusa hasn't been trying to finish this battle.\She's only been trying to earn more time.\I should have known from the beginning, right?\If I get troublesome thoughts, there's no way anyone can win.\Stein, did you blank out? response:	You don't look too sure of yourself right now...
context: This woman has no openings.\What should I do?\From the beginning, Medusa hasn't been trying to finish this battle.\She's only been trying to earn more time.\I should have known from the beginning, right?\If I get troublesome thoughts, there's no way anyone can win.\Stein, did you blank out?\You don't look too sure of yourself right now... response:	I can't feel that dangerous feeling you used to give others with just one glance.
context: What should I do?\From the beginning, Medusa hasn't been trying to finish this battle.\She's only been trying to earn more time.\I should have known from the beginning, right?\If I get troublesome thoughts, there's no way anyone can win.\Stein, did you blank out?\You don't look too sure of yourself right now...\I can't feel that dangerous feeling you used to give others with just one glance. response:	Keep quiet.
context: From the beginning, Medusa hasn't been trying to finish this battle.\She's only been trying to earn more time.\I should have known from the beginning, right?\If I get troublesome thoughts, there's no way anyone can win.\Stein, did you blank out?\You don't look too sure of yourself right now...\I can't feel that dangerous feeling you used to give others with just one glance.\Keep quiet. response:	I'm trying to get that feeling back.
context: She's only been trying to earn more time.\I should have known from the beginning, right?\If I get troublesome thoughts, there's no way anyone can win.\Stein, did you blank out?\You don't look too sure of yourself right now...\I can't feel that dangerous feeling you used to give others with just one glance.\Keep quiet.\I'm trying to get that feeling back. response:	In my current state, I pay too much attention to my surroundings.
context: I should have known from the beginning, right?\If I get troublesome thoughts, there's no way anyone can win.\Stein, did you blank out?\You don't look too sure of yourself right now...\I can't feel that dangerous feeling you used to give others with just one glance.\Keep quiet.\I'm trying to get that feeling back.\In my current state, I pay too much attention to my surroundings. response:	Erase everything that's irrelevant...
context: If I get troublesome thoughts, there's no way anyone can win.\Stein, did you blank out?\You don't look too sure of yourself right now...\I can't feel that dangerous feeling you used to give others with just one glance.\Keep quiet.\I'm trying to get that feeling back.\In my current state, I pay too much attention to my surroundings.\Erase everything that's irrelevant... response:	What controls me is curiosity.
context: Stein, did you blank out?\You don't look too sure of yourself right now...\I can't feel that dangerous feeling you used to give others with just one glance.\Keep quiet.\I'm trying to get that feeling back.\In my current state, I pay too much attention to my surroundings.\Erase everything that's irrelevant...\What controls me is curiosity. response:	More importantly, what's of interest straight ahead?
context: You don't look too sure of yourself right now...\I can't feel that dangerous feeling you used to give others with just one glance.\Keep quiet.\I'm trying to get that feeling back.\In my current state, I pay too much attention to my surroundings.\Erase everything that's irrelevant...\What controls me is curiosity.\More importantly, what's of interest straight ahead? response:	I have to identify it...
context: I can't feel that dangerous feeling you used to give others with just one glance.\Keep quiet.\I'm trying to get that feeling back.\In my current state, I pay too much attention to my surroundings.\Erase everything that's irrelevant...\What controls me is curiosity.\More importantly, what's of interest straight ahead?\I have to identify it... response:	The tension in his body is lowering.
context: Keep quiet.\I'm trying to get that feeling back.\In my current state, I pay too much attention to my surroundings.\Erase everything that's irrelevant...\What controls me is curiosity.\More importantly, what's of interest straight ahead?\I have to identify it...\The tension in his body is lowering. response:	Shibusen's strongest Technician...
context: I'm trying to get that feeling back.\In my current state, I pay too much attention to my surroundings.\Erase everything that's irrelevant...\What controls me is curiosity.\More importantly, what's of interest straight ahead?\I have to identify it...\The tension in his body is lowering.\Shibusen's strongest Technician... response:	It was very simple to understand him...
context: In my current state, I pay too much attention to my surroundings.\Erase everything that's irrelevant...\What controls me is curiosity.\More importantly, what's of interest straight ahead?\I have to identify it...\The tension in his body is lowering.\Shibusen's strongest Technician...\It was very simple to understand him... response:	What do I want to do, you say?
context: Erase everything that's irrelevant...\What controls me is curiosity.\More importantly, what's of interest straight ahead?\I have to identify it...\The tension in his body is lowering.\Shibusen's strongest Technician...\It was very simple to understand him...\What do I want to do, you say? response:	That's obvious, isn't it?
context: What controls me is curiosity.\More importantly, what's of interest straight ahead?\I have to identify it...\The tension in his body is lowering.\Shibusen's strongest Technician...\It was very simple to understand him...\What do I want to do, you say?\That's obvious, isn't it? response:	He's just a sadistic hedonist.
context: More importantly, what's of interest straight ahead?\I have to identify it...\The tension in his body is lowering.\Shibusen's strongest Technician...\It was very simple to understand him...\What do I want to do, you say?\That's obvious, isn't it?\He's just a sadistic hedonist. response:	I want to dissect you!
context: I have to identify it...\The tension in his body is lowering.\Shibusen's strongest Technician...\It was very simple to understand him...\What do I want to do, you say?\That's obvious, isn't it?\He's just a sadistic hedonist.\I want to dissect you! response:	Dead or Alive!
context: The tension in his body is lowering.\Shibusen's strongest Technician...\It was very simple to understand him...\What do I want to do, you say?\That's obvious, isn't it?\He's just a sadistic hedonist.\I want to dissect you!\Dead or Alive! response:	The Gap Between Resurrection and Hallucination?
context: Shibusen's strongest Technician...\It was very simple to understand him...\What do I want to do, you say?\That's obvious, isn't it?\He's just a sadistic hedonist.\I want to dissect you!\Dead or Alive!\The Gap Between Resurrection and Hallucination? response:	What a cute boy...
context: It was very simple to understand him...\What do I want to do, you say?\That's obvious, isn't it?\He's just a sadistic hedonist.\I want to dissect you!\Dead or Alive!\The Gap Between Resurrection and Hallucination?\What a cute boy... response:	I want to bully you.
context: What do I want to do, you say?\That's obvious, isn't it?\He's just a sadistic hedonist.\I want to dissect you!\Dead or Alive!\The Gap Between Resurrection and Hallucination?\What a cute boy...\I want to bully you. response:	That's right...
context: That's obvious, isn't it?\He's just a sadistic hedonist.\I want to dissect you!\Dead or Alive!\The Gap Between Resurrection and Hallucination?\What a cute boy...\I want to bully you.\That's right... response:	Restraining this crazed idiot used to be my duty.
context: He's just a sadistic hedonist.\I want to dissect you!\Dead or Alive!\The Gap Between Resurrection and Hallucination?\What a cute boy...\I want to bully you.\That's right...\Restraining this crazed idiot used to be my duty. response:	Please, stop already...
context: I want to dissect you!\Dead or Alive!\The Gap Between Resurrection and Hallucination?\What a cute boy...\I want to bully you.\That's right...\Restraining this crazed idiot used to be my duty.\Please, stop already... response:	You're all messed up.
context: Dead or Alive!\The Gap Between Resurrection and Hallucination?\What a cute boy...\I want to bully you.\That's right...\Restraining this crazed idiot used to be my duty.\Please, stop already...\You're all messed up. response:	Now, now, what should I do?
context: The Gap Between Resurrection and Hallucination?\What a cute boy...\I want to bully you.\That's right...\Restraining this crazed idiot used to be my duty.\Please, stop already...\You're all messed up.\Now, now, what should I do? response:	Cut you? Gouge you?
context: What a cute boy...\I want to bully you.\That's right...\Restraining this crazed idiot used to be my duty.\Please, stop already...\You're all messed up.\Now, now, what should I do?\Cut you? Gouge you? response:	Cut you? Gouge you?
context: I want to bully you.\That's right...\Restraining this crazed idiot used to be my duty.\Please, stop already...\You're all messed up.\Now, now, what should I do?\Cut you? Gouge you?\Cut you? Gouge you? response:	Drag something out of you?
context: That's right...\Restraining this crazed idiot used to be my duty.\Please, stop already...\You're all messed up.\Now, now, what should I do?\Cut you? Gouge you?\Cut you? Gouge you?\Drag something out of you? response:	Alright.
context: Restraining this crazed idiot used to be my duty.\Please, stop already...\You're all messed up.\Now, now, what should I do?\Cut you? Gouge you?\Cut you? Gouge you?\Drag something out of you?\Alright. response:	For now... Let's go with euthanasia!
context: Please, stop already...\You're all messed up.\Now, now, what should I do?\Cut you? Gouge you?\Cut you? Gouge you?\Drag something out of you?\Alright.\For now... Let's go with euthanasia! response:	For now... Let's go with euthanasia!
context: You're all messed up.\Now, now, what should I do?\Cut you? Gouge you?\Cut you? Gouge you?\Drag something out of you?\Alright.\For now... Let's go with euthanasia!\For now... Let's go with euthanasia! response:	Stop!
context: Now, now, what should I do?\Cut you? Gouge you?\Cut you? Gouge you?\Drag something out of you?\Alright.\For now... Let's go with euthanasia!\For now... Let's go with euthanasia!\Stop! response:	Just leave it at that...
context: Cut you? Gouge you?\Cut you? Gouge you?\Drag something out of you?\Alright.\For now... Let's go with euthanasia!\For now... Let's go with euthanasia!\Stop!\Just leave it at that... response:	Spirit, keep quiet!
context: Cut you? Gouge you?\Drag something out of you?\Alright.\For now... Let's go with euthanasia!\For now... Let's go with euthanasia!\Stop!\Just leave it at that...\Spirit, keep quiet! response:	I will do what I want.
context: Drag something out of you?\Alright.\For now... Let's go with euthanasia!\For now... Let's go with euthanasia!\Stop!\Just leave it at that...\Spirit, keep quiet!\I will do what I want. response:	My orders,
context: Alright.\For now... Let's go with euthanasia!\For now... Let's go with euthanasia!\Stop!\Just leave it at that...\Spirit, keep quiet!\I will do what I want.\My orders, response:	What do you want to do?
context: For now... Let's go with euthanasia!\For now... Let's go with euthanasia!\Stop!\Just leave it at that...\Spirit, keep quiet!\I will do what I want.\My orders,\What do you want to do? response:	Did you think you could do whatever you wanted if you entered Shibusen?
context: For now... Let's go with euthanasia!\Stop!\Just leave it at that...\Spirit, keep quiet!\I will do what I want.\My orders,\What do you want to do?\Did you think you could do whatever you wanted if you entered Shibusen? response:	So I was born in a world without God, huh?
context: Stop!\Just leave it at that...\Spirit, keep quiet!\I will do what I want.\My orders,\What do you want to do?\Did you think you could do whatever you wanted if you entered Shibusen?\So I was born in a world without God, huh? response:	Oi, are you serious?
context: Just leave it at that...\Spirit, keep quiet!\I will do what I want.\My orders,\What do you want to do?\Did you think you could do whatever you wanted if you entered Shibusen?\So I was born in a world without God, huh?\Oi, are you serious? response:	Oi, are you serious?
context: Spirit, keep quiet!\I will do what I want.\My orders,\What do you want to do?\Did you think you could do whatever you wanted if you entered Shibusen?\So I was born in a world without God, huh?\Oi, are you serious?\Oi, are you serious? response:	No way...
context: I will do what I want.\My orders,\What do you want to do?\Did you think you could do whatever you wanted if you entered Shibusen?\So I was born in a world without God, huh?\Oi, are you serious?\Oi, are you serious?\No way... response:	A world like that is rotten.
context: My orders,\What do you want to do?\Did you think you could do whatever you wanted if you entered Shibusen?\So I was born in a world without God, huh?\Oi, are you serious?\Oi, are you serious?\No way...\A world like that is rotten. response:	I'll say it again...
context: What do you want to do?\Did you think you could do whatever you wanted if you entered Shibusen?\So I was born in a world without God, huh?\Oi, are you serious?\Oi, are you serious?\No way...\A world like that is rotten.\I'll say it again... response:	Come with me.
context: Did you think you could do whatever you wanted if you entered Shibusen?\So I was born in a world without God, huh?\Oi, are you serious?\Oi, are you serious?\No way...\A world like that is rotten.\I'll say it again...\Come with me. response:	Whether you're asleep or awake, nothing will change.
context: So I was born in a world without God, huh?\Oi, are you serious?\Oi, are you serious?\No way...\A world like that is rotten.\I'll say it again...\Come with me.\Whether you're asleep or awake, nothing will change. response:	This revolving world doesn't suit you.
context: Oi, are you serious?\Oi, are you serious?\No way...\A world like that is rotten.\I'll say it again...\Come with me.\Whether you're asleep or awake, nothing will change.\This revolving world doesn't suit you. response:	With the Kishin's power, which surpasses human intellect, let's change this boring world...
context: Oi, are you serious?\No way...\A world like that is rotten.\I'll say it again...\Come with me.\Whether you're asleep or awake, nothing will change.\This revolving world doesn't suit you.\With the Kishin's power, which surpasses human intellect, let's change this boring world... response:	In the past, you know...
context: No way...\A world like that is rotten.\I'll say it again...\Come with me.\Whether you're asleep or awake, nothing will change.\This revolving world doesn't suit you.\With the Kishin's power, which surpasses human intellect, let's change this boring world...\In the past, you know... response:	Fearing my brutal and selfish way of thinking, some foolish doctors analyzed me.
context: A world like that is rotten.\I'll say it again...\Come with me.\Whether you're asleep or awake, nothing will change.\This revolving world doesn't suit you.\With the Kishin's power, which surpasses human intellect, let's change this boring world...\In the past, you know...\Fearing my brutal and selfish way of thinking, some foolish doctors analyzed me. response:	They looked like they'd just solved a case in a mystery novel, making those happy faces.
context: I'll say it again...\Come with me.\Whether you're asleep or awake, nothing will change.\This revolving world doesn't suit you.\With the Kishin's power, which surpasses human intellect, let's change this boring world...\In the past, you know...\Fearing my brutal and selfish way of thinking, some foolish doctors analyzed me.\They looked like they'd just solved a case in a mystery novel, making those happy faces. response:	Is there something here that wasn't here before?
context: Come with me.\Whether you're asleep or awake, nothing will change.\This revolving world doesn't suit you.\With the Kishin's power, which surpasses human intellect, let's change this boring world...\In the past, you know...\Fearing my brutal and selfish way of thinking, some foolish doctors analyzed me.\They looked like they'd just solved a case in a mystery novel, making those happy faces.\Is there something here that wasn't here before? response:	Maybe he experienced something that had a bad influence on him?
context: Whether you're asleep or awake, nothing will change.\This revolving world doesn't suit you.\With the Kishin's power, which surpasses human intellect, let's change this boring world...\In the past, you know...\Fearing my brutal and selfish way of thinking, some foolish doctors analyzed me.\They looked like they'd just solved a case in a mystery novel, making those happy faces.\Is there something here that wasn't here before?\Maybe he experienced something that had a bad influence on him? response:	In the end, they thought long and hard with their empty minds!
context: This revolving world doesn't suit you.\With the Kishin's power, which surpasses human intellect, let's change this boring world...\In the past, you know...\Fearing my brutal and selfish way of thinking, some foolish doctors analyzed me.\They looked like they'd just solved a case in a mystery novel, making those happy faces.\Is there something here that wasn't here before?\Maybe he experienced something that had a bad influence on him?\In the end, they thought long and hard with their empty minds! response:	All of it was a waste of time!
context: With the Kishin's power, which surpasses human intellect, let's change this boring world...\In the past, you know...\Fearing my brutal and selfish way of thinking, some foolish doctors analyzed me.\They looked like they'd just solved a case in a mystery novel, making those happy faces.\Is there something here that wasn't here before?\Maybe he experienced something that had a bad influence on him?\In the end, they thought long and hard with their empty minds!\All of it was a waste of time! response:	I wanted to make a mess out of them!
context: In the past, you know...\Fearing my brutal and selfish way of thinking, some foolish doctors analyzed me.\They looked like they'd just solved a case in a mystery novel, making those happy faces.\Is there something here that wasn't here before?\Maybe he experienced something that had a bad influence on him?\In the end, they thought long and hard with their empty minds!\All of it was a waste of time!\I wanted to make a mess out of them! response:	Are you trying to say that I'm like those doctors?
context: Fearing my brutal and selfish way of thinking, some foolish doctors analyzed me.\They looked like they'd just solved a case in a mystery novel, making those happy faces.\Is there something here that wasn't here before?\Maybe he experienced something that had a bad influence on him?\In the end, they thought long and hard with their empty minds!\All of it was a waste of time!\I wanted to make a mess out of them!\Are you trying to say that I'm like those doctors? response:	Back in kindergarten, when I saw my classmates play games only when the teacher said playtime, I felt like I was going to puke.
context: They looked like they'd just solved a case in a mystery novel, making those happy faces.\Is there something here that wasn't here before?\Maybe he experienced something that had a bad influence on him?\In the end, they thought long and hard with their empty minds!\All of it was a waste of time!\I wanted to make a mess out of them!\Are you trying to say that I'm like those doctors?\Back in kindergarten, when I saw my classmates play games only when the teacher said playtime, I felt like I was going to puke. response:	The look of everyone sitting at their desks, focusing on the blackboard in front of them and taking notes...
context: Is there something here that wasn't here before?\Maybe he experienced something that had a bad influence on him?\In the end, they thought long and hard with their empty minds!\All of it was a waste of time!\I wanted to make a mess out of them!\Are you trying to say that I'm like those doctors?\Back in kindergarten, when I saw my classmates play games only when the teacher said playtime, I felt like I was going to puke.\The look of everyone sitting at their desks, focusing on the blackboard in front of them and taking notes... response:	What's with that story?
context: Maybe he experienced something that had a bad influence on him?\In the end, they thought long and hard with their empty minds!\All of it was a waste of time!\I wanted to make a mess out of them!\Are you trying to say that I'm like those doctors?\Back in kindergarten, when I saw my classmates play games only when the teacher said playtime, I felt like I was going to puke.\The look of everyone sitting at their desks, focusing on the blackboard in front of them and taking notes...\What's with that story? response:	How uninteresting. Boring...
context: In the end, they thought long and hard with their empty minds!\All of it was a waste of time!\I wanted to make a mess out of them!\Are you trying to say that I'm like those doctors?\Back in kindergarten, when I saw my classmates play games only when the teacher said playtime, I felt like I was going to puke.\The look of everyone sitting at their desks, focusing on the blackboard in front of them and taking notes...\What's with that story?\How uninteresting. Boring... response:	I think I'm going to puke.
context: All of it was a waste of time!\I wanted to make a mess out of them!\Are you trying to say that I'm like those doctors?\Back in kindergarten, when I saw my classmates play games only when the teacher said playtime, I felt like I was going to puke.\The look of everyone sitting at their desks, focusing on the blackboard in front of them and taking notes...\What's with that story?\How uninteresting. Boring...\I think I'm going to puke. response:	Are you taking me lightly?
context: I wanted to make a mess out of them!\Are you trying to say that I'm like those doctors?\Back in kindergarten, when I saw my classmates play games only when the teacher said playtime, I felt like I was going to puke.\The look of everyone sitting at their desks, focusing on the blackboard in front of them and taking notes...\What's with that story?\How uninteresting. Boring...\I think I'm going to puke.\Are you taking me lightly? response:	Such dull, boring and uninteresting attacks.
context: Are you trying to say that I'm like those doctors?\Back in kindergarten, when I saw my classmates play games only when the teacher said playtime, I felt like I was going to puke.\The look of everyone sitting at their desks, focusing on the blackboard in front of them and taking notes...\What's with that story?\How uninteresting. Boring...\I think I'm going to puke.\Are you taking me lightly?\Such dull, boring and uninteresting attacks. response:	There's not much to do... I feel like I'm losing my mind.
context: Back in kindergarten, when I saw my classmates play games only when the teacher said playtime, I felt like I was going to puke.\The look of everyone sitting at their desks, focusing on the blackboard in front of them and taking notes...\What's with that story?\How uninteresting. Boring...\I think I'm going to puke.\Are you taking me lightly?\Such dull, boring and uninteresting attacks.\There's not much to do... I feel like I'm losing my mind. response:	Now, don't say that, since I'm going to respond to the invitation you made me.
context: The look of everyone sitting at their desks, focusing on the blackboard in front of them and taking notes...\What's with that story?\How uninteresting. Boring...\I think I'm going to puke.\Are you taking me lightly?\Such dull, boring and uninteresting attacks.\There's not much to do... I feel like I'm losing my mind.\Now, don't say that, since I'm going to respond to the invitation you made me. response:	As I grew up and sought power, the extent of the madness inside me increased...
context: What's with that story?\How uninteresting. Boring...\I think I'm going to puke.\Are you taking me lightly?\Such dull, boring and uninteresting attacks.\There's not much to do... I feel like I'm losing my mind.\Now, don't say that, since I'm going to respond to the invitation you made me.\As I grew up and sought power, the extent of the madness inside me increased... response:	Do you know what stopped me?
context: How uninteresting. Boring...\I think I'm going to puke.\Are you taking me lightly?\Such dull, boring and uninteresting attacks.\There's not much to do... I feel like I'm losing my mind.\Now, don't say that, since I'm going to respond to the invitation you made me.\As I grew up and sought power, the extent of the madness inside me increased...\Do you know what stopped me? response:	Fear.
context: I think I'm going to puke.\Are you taking me lightly?\Such dull, boring and uninteresting attacks.\There's not much to do... I feel like I'm losing my mind.\Now, don't say that, since I'm going to respond to the invitation you made me.\As I grew up and sought power, the extent of the madness inside me increased...\Do you know what stopped me?\Fear. response:	Yes, I was scared...
context: Are you taking me lightly?\Such dull, boring and uninteresting attacks.\There's not much to do... I feel like I'm losing my mind.\Now, don't say that, since I'm going to respond to the invitation you made me.\As I grew up and sought power, the extent of the madness inside me increased...\Do you know what stopped me?\Fear.\Yes, I was scared... response:	That's why I needed them...
context: Such dull, boring and uninteresting attacks.\There's not much to do... I feel like I'm losing my mind.\Now, don't say that, since I'm going to respond to the invitation you made me.\As I grew up and sought power, the extent of the madness inside me increased...\Do you know what stopped me?\Fear.\Yes, I was scared...\That's why I needed them... response:	Then, let's create a new world order together.
context: There's not much to do... I feel like I'm losing my mind.\Now, don't say that, since I'm going to respond to the invitation you made me.\As I grew up and sought power, the extent of the madness inside me increased...\Do you know what stopped me?\Fear.\Yes, I was scared...\That's why I needed them...\Then, let's create a new world order together. response:	That's what your personality is about, right?
context: Now, don't say that, since I'm going to respond to the invitation you made me.\As I grew up and sought power, the extent of the madness inside me increased...\Do you know what stopped me?\Fear.\Yes, I was scared...\That's why I needed them...\Then, let's create a new world order together.\That's what your personality is about, right? response:	No...
context: As I grew up and sought power, the extent of the madness inside me increased...\Do you know what stopped me?\Fear.\Yes, I was scared...\That's why I needed them...\Then, let's create a new world order together.\That's what your personality is about, right?\No... response:	Later on, my personality will become a standard.
context: Do you know what stopped me?\Fear.\Yes, I was scared...\That's why I needed them...\Then, let's create a new world order together.\That's what your personality is about, right?\No...\Later on, my personality will become a standard. response:	And even you will abide by it.
context: Fear.\Yes, I was scared...\That's why I needed them...\Then, let's create a new world order together.\That's what your personality is about, right?\No...\Later on, my personality will become a standard.\And even you will abide by it. response:	Stein!
context: Yes, I was scared...\That's why I needed them...\Then, let's create a new world order together.\That's what your personality is about, right?\No...\Later on, my personality will become a standard.\And even you will abide by it.\Stein! response:	With forceful attacks like yours, you'll only get retaliation!
context: That's why I needed them...\Then, let's create a new world order together.\That's what your personality is about, right?\No...\Later on, my personality will become a standard.\And even you will abide by it.\Stein!\With forceful attacks like yours, you'll only get retaliation! response:	Before your personality becomes a standard, what would God do if I did something immoral?
context: Then, let's create a new world order together.\That's what your personality is about, right?\No...\Later on, my personality will become a standard.\And even you will abide by it.\Stein!\With forceful attacks like yours, you'll only get retaliation!\Before your personality becomes a standard, what would God do if I did something immoral? response:	I can't follow you.
context: That's what your personality is about, right?\No...\Later on, my personality will become a standard.\And even you will abide by it.\Stein!\With forceful attacks like yours, you'll only get retaliation!\Before your personality becomes a standard, what would God do if I did something immoral?\I can't follow you. response:	It seems whatever I say will be of no use...
context: No...\Later on, my personality will become a standard.\And even you will abide by it.\Stein!\With forceful attacks like yours, you'll only get retaliation!\Before your personality becomes a standard, what would God do if I did something immoral?\I can't follow you.\It seems whatever I say will be of no use... response:	Without having to worry about morality, I want to mess you up!
context: Later on, my personality will become a standard.\And even you will abide by it.\Stein!\With forceful attacks like yours, you'll only get retaliation!\Before your personality becomes a standard, what would God do if I did something immoral?\I can't follow you.\It seems whatever I say will be of no use...\Without having to worry about morality, I want to mess you up! response:	So that's how you use your madness?
context: And even you will abide by it.\Stein!\With forceful attacks like yours, you'll only get retaliation!\Before your personality becomes a standard, what would God do if I did something immoral?\I can't follow you.\It seems whatever I say will be of no use...\Without having to worry about morality, I want to mess you up!\So that's how you use your madness? response:	What?
context: Stein!\With forceful attacks like yours, you'll only get retaliation!\Before your personality becomes a standard, what would God do if I did something immoral?\I can't follow you.\It seems whatever I say will be of no use...\Without having to worry about morality, I want to mess you up!\So that's how you use your madness?\What? response:	Soul Purge!
context: With forceful attacks like yours, you'll only get retaliation!\Before your personality becomes a standard, what would God do if I did something immoral?\I can't follow you.\It seems whatever I say will be of no use...\Without having to worry about morality, I want to mess you up!\So that's how you use your madness?\What?\Soul Purge! response:	You did it!
context: Before your personality becomes a standard, what would God do if I did something immoral?\I can't follow you.\It seems whatever I say will be of no use...\Without having to worry about morality, I want to mess you up!\So that's how you use your madness?\What?\Soul Purge!\You did it! response:	However, to make this one hit, you took excessive damage...
context: I can't follow you.\It seems whatever I say will be of no use...\Without having to worry about morality, I want to mess you up!\So that's how you use your madness?\What?\Soul Purge!\You did it!\However, to make this one hit, you took excessive damage... response:	It seems I might have overestimated you...
context: It seems whatever I say will be of no use...\Without having to worry about morality, I want to mess you up!\So that's how you use your madness?\What?\Soul Purge!\You did it!\However, to make this one hit, you took excessive damage...\It seems I might have overestimated you... response:	You rejected my invitation, but this is all you're capable of?
context: Without having to worry about morality, I want to mess you up!\So that's how you use your madness?\What?\Soul Purge!\You did it!\However, to make this one hit, you took excessive damage...\It seems I might have overestimated you...\You rejected my invitation, but this is all you're capable of? response:	This is the end... I'll take that head of yours.
context: So that's how you use your madness?\What?\Soul Purge!\You did it!\However, to make this one hit, you took excessive damage...\It seems I might have overestimated you...\You rejected my invitation, but this is all you're capable of?\This is the end... I'll take that head of yours. response:	Senpai, don't space out.
context: What?\Soul Purge!\You did it!\However, to make this one hit, you took excessive damage...\It seems I might have overestimated you...\You rejected my invitation, but this is all you're capable of?\This is the end... I'll take that head of yours.\Senpai, don't space out. response:	What? My Tail Snake stopped.
context: Soul Purge!\You did it!\However, to make this one hit, you took excessive damage...\It seems I might have overestimated you...\You rejected my invitation, but this is all you're capable of?\This is the end... I'll take that head of yours.\Senpai, don't space out.\What? My Tail Snake stopped. response:	No, my whole body, too...
context: You did it!\However, to make this one hit, you took excessive damage...\It seems I might have overestimated you...\You rejected my invitation, but this is all you're capable of?\This is the end... I'll take that head of yours.\Senpai, don't space out.\What? My Tail Snake stopped.\No, my whole body, too... response:	Soul Thread, Scattered Sewing.
context: However, to make this one hit, you took excessive damage...\It seems I might have overestimated you...\You rejected my invitation, but this is all you're capable of?\This is the end... I'll take that head of yours.\Senpai, don't space out.\What? My Tail Snake stopped.\No, my whole body, too...\Soul Thread, Scattered Sewing. response:	Soul Thread, Scattered Sewing.
context: It seems I might have overestimated you...\You rejected my invitation, but this is all you're capable of?\This is the end... I'll take that head of yours.\Senpai, don't space out.\What? My Tail Snake stopped.\No, my whole body, too...\Soul Thread, Scattered Sewing.\Soul Thread, Scattered Sewing. response:	How can this be?
context: You rejected my invitation, but this is all you're capable of?\This is the end... I'll take that head of yours.\Senpai, don't space out.\What? My Tail Snake stopped.\No, my whole body, too...\Soul Thread, Scattered Sewing.\Soul Thread, Scattered Sewing.\How can this be? response:	I'm not sewn anywhere.
context: This is the end... I'll take that head of yours.\Senpai, don't space out.\What? My Tail Snake stopped.\No, my whole body, too...\Soul Thread, Scattered Sewing.\Soul Thread, Scattered Sewing.\How can this be?\I'm not sewn anywhere. response:	Look closely.
context: Senpai, don't space out.\What? My Tail Snake stopped.\No, my whole body, too...\Soul Thread, Scattered Sewing.\Soul Thread, Scattered Sewing.\How can this be?\I'm not sewn anywhere.\Look closely. response:	The threads are stitched inside your body.
context: What? My Tail Snake stopped.\No, my whole body, too...\Soul Thread, Scattered Sewing.\Soul Thread, Scattered Sewing.\How can this be?\I'm not sewn anywhere.\Look closely.\The threads are stitched inside your body. response:	I've sealed your whole nervous system with the threads.
context: No, my whole body, too...\Soul Thread, Scattered Sewing.\Soul Thread, Scattered Sewing.\How can this be?\I'm not sewn anywhere.\Look closely.\The threads are stitched inside your body.\I've sealed your whole nervous system with the threads. response:	So what about it?
context: Soul Thread, Scattered Sewing.\Soul Thread, Scattered Sewing.\How can this be?\I'm not sewn anywhere.\Look closely.\The threads are stitched inside your body.\I've sealed your whole nervous system with the threads.\So what about it? response:	How about slaying me quickly with that scythe in your right hand?
context: Soul Thread, Scattered Sewing.\How can this be?\I'm not sewn anywhere.\Look closely.\The threads are stitched inside your body.\I've sealed your whole nervous system with the threads.\So what about it?\How about slaying me quickly with that scythe in your right hand? response:	You're short on time, right?
