context: Please use this room. response:	Understood, thank you.
context: Actually we should be happy about this.\What? Be happy?\Carol and Sister Krone. We have two more sources of information.\I see.\First, where did those two come from?\Carol is Conny's replacement.\So they're replenishing the merchandise.\Yeah, if this place is a farm, response:	they must have a site where they prepare one-year-olds for replenishment.
context: What? Be happy?\Carol and Sister Krone. We have two more sources of information.\I see.\First, where did those two come from?\Carol is Conny's replacement.\So they're replenishing the merchandise.\Yeah, if this place is a farm,\they must have a site where they prepare one-year-olds for replenishment. response:	So did all of us come from there originally?
context: Carol and Sister Krone. We have two more sources of information.\I see.\First, where did those two come from?\Carol is Conny's replacement.\So they're replenishing the merchandise.\Yeah, if this place is a farm,\they must have a site where they prepare one-year-olds for replenishment.\So did all of us come from there originally? response:	Probably. And also that Sister Krone.
context: I see.\First, where did those two come from?\Carol is Conny's replacement.\So they're replenishing the merchandise.\Yeah, if this place is a farm,\they must have a site where they prepare one-year-olds for replenishment.\So did all of us come from there originally?\Probably. And also that Sister Krone. response:	It's significant that there's another adult other than Mom.
context: First, where did those two come from?\Carol is Conny's replacement.\So they're replenishing the merchandise.\Yeah, if this place is a farm,\they must have a site where they prepare one-year-olds for replenishment.\So did all of us come from there originally?\Probably. And also that Sister Krone.\It's significant that there's another adult other than Mom. response:	There might be other farms just like here,
context: Carol is Conny's replacement.\So they're replenishing the merchandise.\Yeah, if this place is a farm,\they must have a site where they prepare one-year-olds for replenishment.\So did all of us come from there originally?\Probably. And also that Sister Krone.\It's significant that there's another adult other than Mom.\There might be other farms just like here, response:	so are the adults who obey the demons under the control of demons from birth,
context: So they're replenishing the merchandise.\Yeah, if this place is a farm,\they must have a site where they prepare one-year-olds for replenishment.\So did all of us come from there originally?\Probably. And also that Sister Krone.\It's significant that there's another adult other than Mom.\There might be other farms just like here,\so are the adults who obey the demons under the control of demons from birth, response:	or after they're captured?
context: Yeah, if this place is a farm,\they must have a site where they prepare one-year-olds for replenishment.\So did all of us come from there originally?\Probably. And also that Sister Krone.\It's significant that there's another adult other than Mom.\There might be other farms just like here,\so are the adults who obey the demons under the control of demons from birth,\or after they're captured? response:	After we escape, things will change depending on that.
context: they must have a site where they prepare one-year-olds for replenishment.\So did all of us come from there originally?\Probably. And also that Sister Krone.\It's significant that there's another adult other than Mom.\There might be other farms just like here,\so are the adults who obey the demons under the control of demons from birth,\or after they're captured?\After we escape, things will change depending on that. response:	But first, we need to figure out how to escape with everyone.
context: So did all of us come from there originally?\Probably. And also that Sister Krone.\It's significant that there's another adult other than Mom.\There might be other farms just like here,\so are the adults who obey the demons under the control of demons from birth,\or after they're captured?\After we escape, things will change depending on that.\But first, we need to figure out how to escape with everyone. response:	And the location of the tracking devices.
context: Probably. And also that Sister Krone.\It's significant that there's another adult other than Mom.\There might be other farms just like here,\so are the adults who obey the demons under the control of demons from birth,\or after they're captured?\After we escape, things will change depending on that.\But first, we need to figure out how to escape with everyone.\And the location of the tracking devices. response:	I searched all over my body, but I didn't find any traces of something implanted.
context: It's significant that there's another adult other than Mom.\There might be other farms just like here,\so are the adults who obey the demons under the control of demons from birth,\or after they're captured?\After we escape, things will change depending on that.\But first, we need to figure out how to escape with everyone.\And the location of the tracking devices.\I searched all over my body, but I didn't find any traces of something implanted. response:	And nothing in our clothes or shoes.
context: There might be other farms just like here,\so are the adults who obey the demons under the control of demons from birth,\or after they're captured?\After we escape, things will change depending on that.\But first, we need to figure out how to escape with everyone.\And the location of the tracking devices.\I searched all over my body, but I didn't find any traces of something implanted.\And nothing in our clothes or shoes. response:	Based on humankind's existing technology, it probably uses radio waves.
context: so are the adults who obey the demons under the control of demons from birth,\or after they're captured?\After we escape, things will change depending on that.\But first, we need to figure out how to escape with everyone.\And the location of the tracking devices.\I searched all over my body, but I didn't find any traces of something implanted.\And nothing in our clothes or shoes.\Based on humankind's existing technology, it probably uses radio waves. response:	But that requires batteries.
context: or after they're captured?\After we escape, things will change depending on that.\But first, we need to figure out how to escape with everyone.\And the location of the tracking devices.\I searched all over my body, but I didn't find any traces of something implanted.\And nothing in our clothes or shoes.\Based on humankind's existing technology, it probably uses radio waves.\But that requires batteries. response:	Something really small that wouldn't leave a scar, and with batteries that last over 10 years.
context: After we escape, things will change depending on that.\But first, we need to figure out how to escape with everyone.\And the location of the tracking devices.\I searched all over my body, but I didn't find any traces of something implanted.\And nothing in our clothes or shoes.\Based on humankind's existing technology, it probably uses radio waves.\But that requires batteries.\Something really small that wouldn't leave a scar, and with batteries that last over 10 years. response:	That kind of product wouldn't exist in 2015.
context: But first, we need to figure out how to escape with everyone.\And the location of the tracking devices.\I searched all over my body, but I didn't find any traces of something implanted.\And nothing in our clothes or shoes.\Based on humankind's existing technology, it probably uses radio waves.\But that requires batteries.\Something really small that wouldn't leave a scar, and with batteries that last over 10 years.\That kind of product wouldn't exist in 2015. response:	Meaning?
context: And the location of the tracking devices.\I searched all over my body, but I didn't find any traces of something implanted.\And nothing in our clothes or shoes.\Based on humankind's existing technology, it probably uses radio waves.\But that requires batteries.\Something really small that wouldn't leave a scar, and with batteries that last over 10 years.\That kind of product wouldn't exist in 2015.\Meaning? response:	Itll be difficult to predict the mechanism, find the location, and figure out how to break it.
context: I searched all over my body, but I didn't find any traces of something implanted.\And nothing in our clothes or shoes.\Based on humankind's existing technology, it probably uses radio waves.\But that requires batteries.\Something really small that wouldn't leave a scar, and with batteries that last over 10 years.\That kind of product wouldn't exist in 2015.\Meaning?\Itll be difficult to predict the mechanism, find the location, and figure out how to break it. response:	And we might as well give up if it's technology originating from the demons.
context: And nothing in our clothes or shoes.\Based on humankind's existing technology, it probably uses radio waves.\But that requires batteries.\Something really small that wouldn't leave a scar, and with batteries that last over 10 years.\That kind of product wouldn't exist in 2015.\Meaning?\Itll be difficult to predict the mechanism, find the location, and figure out how to break it.\And we might as well give up if it's technology originating from the demons. response:	True.
context: Based on humankind's existing technology, it probably uses radio waves.\But that requires batteries.\Something really small that wouldn't leave a scar, and with batteries that last over 10 years.\That kind of product wouldn't exist in 2015.\Meaning?\Itll be difficult to predict the mechanism, find the location, and figure out how to break it.\And we might as well give up if it's technology originating from the demons.\True. response:	What? So, checkmate?
context: But that requires batteries.\Something really small that wouldn't leave a scar, and with batteries that last over 10 years.\That kind of product wouldn't exist in 2015.\Meaning?\Itll be difficult to predict the mechanism, find the location, and figure out how to break it.\And we might as well give up if it's technology originating from the demons.\True.\What? So, checkmate? response:	Yup.
context: Something really small that wouldn't leave a scar, and with batteries that last over 10 years.\That kind of product wouldn't exist in 2015.\Meaning?\Itll be difficult to predict the mechanism, find the location, and figure out how to break it.\And we might as well give up if it's technology originating from the demons.\True.\What? So, checkmate?\Yup. response:	No way!
context: That kind of product wouldn't exist in 2015.\Meaning?\Itll be difficult to predict the mechanism, find the location, and figure out how to break it.\And we might as well give up if it's technology originating from the demons.\True.\What? So, checkmate?\Yup.\No way! response:	Well, even if we can't figure it out, we can guess.
context: Meaning?\Itll be difficult to predict the mechanism, find the location, and figure out how to break it.\And we might as well give up if it's technology originating from the demons.\True.\What? So, checkmate?\Yup.\No way!\Well, even if we can't figure it out, we can guess. response:	Yeah. We have to think from the enemy's point of view.
context: Itll be difficult to predict the mechanism, find the location, and figure out how to break it.\And we might as well give up if it's technology originating from the demons.\True.\What? So, checkmate?\Yup.\No way!\Well, even if we can't figure it out, we can guess.\Yeah. We have to think from the enemy's point of view. response:	Where and what kind of a device would be the most convenient to implant?
context: And we might as well give up if it's technology originating from the demons.\True.\What? So, checkmate?\Yup.\No way!\Well, even if we can't figure it out, we can guess.\Yeah. We have to think from the enemy's point of view.\Where and what kind of a device would be the most convenient to implant? response:	Carol!
context: True.\What? So, checkmate?\Yup.\No way!\Well, even if we can't figure it out, we can guess.\Yeah. We have to think from the enemy's point of view.\Where and what kind of a device would be the most convenient to implant?\Carol! response:	Since she just arrived, she might have one.
context: What? So, checkmate?\Yup.\No way!\Well, even if we can't figure it out, we can guess.\Yeah. We have to think from the enemy's point of view.\Where and what kind of a device would be the most convenient to implant?\Carol!\Since she just arrived, she might have one. response:	A mark from implanting the tracking device.
context: Yup.\No way!\Well, even if we can't figure it out, we can guess.\Yeah. We have to think from the enemy's point of view.\Where and what kind of a device would be the most convenient to implant?\Carol!\Since she just arrived, she might have one.\A mark from implanting the tracking device. response:	Thank you for an opportunity to return to this side.
context: No way!\Well, even if we can't figure it out, we can guess.\Yeah. We have to think from the enemy's point of view.\Where and what kind of a device would be the most convenient to implant?\Carol!\Since she just arrived, she might have one.\A mark from implanting the tracking device.\Thank you for an opportunity to return to this side. response:	I only made a request for one assistant.
context: Well, even if we can't figure it out, we can guess.\Yeah. We have to think from the enemy's point of view.\Where and what kind of a device would be the most convenient to implant?\Carol!\Since she just arrived, she might have one.\A mark from implanting the tracking device.\Thank you for an opportunity to return to this side.\I only made a request for one assistant. response:	It's not like I called for you specifically.
context: Yeah. We have to think from the enemy's point of view.\Where and what kind of a device would be the most convenient to implant?\Carol!\Since she just arrived, she might have one.\A mark from implanting the tracking device.\Thank you for an opportunity to return to this side.\I only made a request for one assistant.\It's not like I called for you specifically. response:	I've heard of your many achievements.
context: Where and what kind of a device would be the most convenient to implant?\Carol!\Since she just arrived, she might have one.\A mark from implanting the tracking device.\Thank you for an opportunity to return to this side.\I only made a request for one assistant.\It's not like I called for you specifically.\I've heard of your many achievements. response:	The youngest to be selected as Mom and caretaker.
context: Carol!\Since she just arrived, she might have one.\A mark from implanting the tracking device.\Thank you for an opportunity to return to this side.\I only made a request for one assistant.\It's not like I called for you specifically.\I've heard of your many achievements.\The youngest to be selected as Mom and caretaker. response:	You've raised the highest number of high-quality goods among all of the plants, ever.
context: Since she just arrived, she might have one.\A mark from implanting the tracking device.\Thank you for an opportunity to return to this side.\I only made a request for one assistant.\It's not like I called for you specifically.\I've heard of your many achievements.\The youngest to be selected as Mom and caretaker.\You've raised the highest number of high-quality goods among all of the plants, ever. response:	I am honored to work under someone I admire so much.
context: A mark from implanting the tracking device.\Thank you for an opportunity to return to this side.\I only made a request for one assistant.\It's not like I called for you specifically.\I've heard of your many achievements.\The youngest to be selected as Mom and caretaker.\You've raised the highest number of high-quality goods among all of the plants, ever.\I am honored to work under someone I admire so much. response:	Lip service isn't necessary.
context: Thank you for an opportunity to return to this side.\I only made a request for one assistant.\It's not like I called for you specifically.\I've heard of your many achievements.\The youngest to be selected as Mom and caretaker.\You've raised the highest number of high-quality goods among all of the plants, ever.\I am honored to work under someone I admire so much.\Lip service isn't necessary. response:	Let's quit the small talk, and talk about work instead.
context: I only made a request for one assistant.\It's not like I called for you specifically.\I've heard of your many achievements.\The youngest to be selected as Mom and caretaker.\You've raised the highest number of high-quality goods among all of the plants, ever.\I am honored to work under someone I admire so much.\Lip service isn't necessary.\Let's quit the small talk, and talk about work instead. response:	Here are the documents of my adorable children.
context: It's not like I called for you specifically.\I've heard of your many achievements.\The youngest to be selected as Mom and caretaker.\You've raised the highest number of high-quality goods among all of the plants, ever.\I am honored to work under someone I admire so much.\Lip service isn't necessary.\Let's quit the small talk, and talk about work instead.\Here are the documents of my adorable children. response:	Memorize all of it, right now.
context: I've heard of your many achievements.\The youngest to be selected as Mom and caretaker.\You've raised the highest number of high-quality goods among all of the plants, ever.\I am honored to work under someone I admire so much.\Lip service isn't necessary.\Let's quit the small talk, and talk about work instead.\Here are the documents of my adorable children.\Memorize all of it, right now. response:	It should be easier than getting perfect scores every morning.
context: The youngest to be selected as Mom and caretaker.\You've raised the highest number of high-quality goods among all of the plants, ever.\I am honored to work under someone I admire so much.\Lip service isn't necessary.\Let's quit the small talk, and talk about work instead.\Here are the documents of my adorable children.\Memorize all of it, right now.\It should be easier than getting perfect scores every morning. response:	By the way, what work was I called in for?
context: You've raised the highest number of high-quality goods among all of the plants, ever.\I am honored to work under someone I admire so much.\Lip service isn't necessary.\Let's quit the small talk, and talk about work instead.\Here are the documents of my adorable children.\Memorize all of it, right now.\It should be easier than getting perfect scores every morning.\By the way, what work was I called in for? response:	They found out about the secret.
context: I am honored to work under someone I admire so much.\Lip service isn't necessary.\Let's quit the small talk, and talk about work instead.\Here are the documents of my adorable children.\Memorize all of it, right now.\It should be easier than getting perfect scores every morning.\By the way, what work was I called in for?\They found out about the secret. response:	They also saw the package in the truck.
context: Lip service isn't necessary.\Let's quit the small talk, and talk about work instead.\Here are the documents of my adorable children.\Memorize all of it, right now.\It should be easier than getting perfect scores every morning.\By the way, what work was I called in for?\They found out about the secret.\They also saw the package in the truck. response:	Then, in accordance with the rules, we must find them and ship them imm
context: Let's quit the small talk, and talk about work instead.\Here are the documents of my adorable children.\Memorize all of it, right now.\It should be easier than getting perfect scores every morning.\By the way, what work was I called in for?\They found out about the secret.\They also saw the package in the truck.\Then, in accordance with the rules, we must find them and ship them imm response:	Wait.
context: Here are the documents of my adorable children.\Memorize all of it, right now.\It should be easier than getting perfect scores every morning.\By the way, what work was I called in for?\They found out about the secret.\They also saw the package in the truck.\Then, in accordance with the rules, we must find them and ship them imm\Wait. response:	It's fine. I already have an idea of who the targets are.
context: Memorize all of it, right now.\It should be easier than getting perfect scores every morning.\By the way, what work was I called in for?\They found out about the secret.\They also saw the package in the truck.\Then, in accordance with the rules, we must find them and ship them imm\Wait.\It's fine. I already have an idea of who the targets are. response:	And that's...
context: It should be easier than getting perfect scores every morning.\By the way, what work was I called in for?\They found out about the secret.\They also saw the package in the truck.\Then, in accordance with the rules, we must find them and ship them imm\Wait.\It's fine. I already have an idea of who the targets are.\And that's... response:	Two of the oldest children.
context: By the way, what work was I called in for?\They found out about the secret.\They also saw the package in the truck.\Then, in accordance with the rules, we must find them and ship them imm\Wait.\It's fine. I already have an idea of who the targets are.\And that's...\Two of the oldest children. response:	We just have to make sure they don't escape before shipment.
context: They found out about the secret.\They also saw the package in the truck.\Then, in accordance with the rules, we must find them and ship them imm\Wait.\It's fine. I already have an idea of who the targets are.\And that's...\Two of the oldest children.\We just have to make sure they don't escape before shipment. response:	My children are special.
context: They also saw the package in the truck.\Then, in accordance with the rules, we must find them and ship them imm\Wait.\It's fine. I already have an idea of who the targets are.\And that's...\Two of the oldest children.\We just have to make sure they don't escape before shipment.\My children are special. response:	And this is beneficial for the plant.
context: Then, in accordance with the rules, we must find them and ship them imm\Wait.\It's fine. I already have an idea of who the targets are.\And that's...\Two of the oldest children.\We just have to make sure they don't escape before shipment.\My children are special.\And this is beneficial for the plant. response:	So you're not reporting it?
context: Wait.\It's fine. I already have an idea of who the targets are.\And that's...\Two of the oldest children.\We just have to make sure they don't escape before shipment.\My children are special.\And this is beneficial for the plant.\So you're not reporting it? response:	No. I will take care of the targets in a proper manner.
context: It's fine. I already have an idea of who the targets are.\And that's...\Two of the oldest children.\We just have to make sure they don't escape before shipment.\My children are special.\And this is beneficial for the plant.\So you're not reporting it?\No. I will take care of the targets in a proper manner. response:	You are a guard.
context: And that's...\Two of the oldest children.\We just have to make sure they don't escape before shipment.\My children are special.\And this is beneficial for the plant.\So you're not reporting it?\No. I will take care of the targets in a proper manner.\You are a guard. response:	You don't need to think. Just watch the children.
context: Two of the oldest children.\We just have to make sure they don't escape before shipment.\My children are special.\And this is beneficial for the plant.\So you're not reporting it?\No. I will take care of the targets in a proper manner.\You are a guard.\You don't need to think. Just watch the children. response:	I am the Mom of this House.
context: We just have to make sure they don't escape before shipment.\My children are special.\And this is beneficial for the plant.\So you're not reporting it?\No. I will take care of the targets in a proper manner.\You are a guard.\You don't need to think. Just watch the children.\I am the Mom of this House. response:	And you are my assistant.
context: My children are special.\And this is beneficial for the plant.\So you're not reporting it?\No. I will take care of the targets in a proper manner.\You are a guard.\You don't need to think. Just watch the children.\I am the Mom of this House.\And you are my assistant. response:	Understand? Sister Krone.
context: And this is beneficial for the plant.\So you're not reporting it?\No. I will take care of the targets in a proper manner.\You are a guard.\You don't need to think. Just watch the children.\I am the Mom of this House.\And you are my assistant.\Understand? Sister Krone. response:	Yes, ma'am, Isabella.
context: So you're not reporting it?\No. I will take care of the targets in a proper manner.\You are a guard.\You don't need to think. Just watch the children.\I am the Mom of this House.\And you are my assistant.\Understand? Sister Krone.\Yes, ma'am, Isabella. response:	So that's how it is.
context: No. I will take care of the targets in a proper manner.\You are a guard.\You don't need to think. Just watch the children.\I am the Mom of this House.\And you are my assistant.\Understand? Sister Krone.\Yes, ma'am, Isabella.\So that's how it is. response:	I was surprised, too. To think that the amazing Isabella...
context: You are a guard.\You don't need to think. Just watch the children.\I am the Mom of this House.\And you are my assistant.\Understand? Sister Krone.\Yes, ma'am, Isabella.\So that's how it is.\I was surprised, too. To think that the amazing Isabella... response:	And she's not reporting it to the higher-ups, but trying to cover up her mistake.
context: You don't need to think. Just watch the children.\I am the Mom of this House.\And you are my assistant.\Understand? Sister Krone.\Yes, ma'am, Isabella.\So that's how it is.\I was surprised, too. To think that the amazing Isabella...\And she's not reporting it to the higher-ups, but trying to cover up her mistake. response:	However, if I help her out here, she'll owe me, and I'll one day have the Mom position!
context: I am the Mom of this House.\And you are my assistant.\Understand? Sister Krone.\Yes, ma'am, Isabella.\So that's how it is.\I was surprised, too. To think that the amazing Isabella...\And she's not reporting it to the higher-ups, but trying to cover up her mistake.\However, if I help her out here, she'll owe me, and I'll one day have the Mom position! response:	Oh my, what's wrong?
context: And you are my assistant.\Understand? Sister Krone.\Yes, ma'am, Isabella.\So that's how it is.\I was surprised, too. To think that the amazing Isabella...\And she's not reporting it to the higher-ups, but trying to cover up her mistake.\However, if I help her out here, she'll owe me, and I'll one day have the Mom position!\Oh my, what's wrong? response:	You're crying so much.
context: Understand? Sister Krone.\Yes, ma'am, Isabella.\So that's how it is.\I was surprised, too. To think that the amazing Isabella...\And she's not reporting it to the higher-ups, but trying to cover up her mistake.\However, if I help her out here, she'll owe me, and I'll one day have the Mom position!\Oh my, what's wrong?\You're crying so much. response:	Come on now, don't cry. You'd be happy too, right?
context: Yes, ma'am, Isabella.\So that's how it is.\I was surprised, too. To think that the amazing Isabella...\And she's not reporting it to the higher-ups, but trying to cover up her mistake.\However, if I help her out here, she'll owe me, and I'll one day have the Mom position!\Oh my, what's wrong?\You're crying so much.\Come on now, don't cry. You'd be happy too, right? response:	If I became a Mom?
context: So that's how it is.\I was surprised, too. To think that the amazing Isabella...\And she's not reporting it to the higher-ups, but trying to cover up her mistake.\However, if I help her out here, she'll owe me, and I'll one day have the Mom position!\Oh my, what's wrong?\You're crying so much.\Come on now, don't cry. You'd be happy too, right?\If I became a Mom? response:	If that happens, I'll get busier, but you'll support me, right?
context: I was surprised, too. To think that the amazing Isabella...\And she's not reporting it to the higher-ups, but trying to cover up her mistake.\However, if I help her out here, she'll owe me, and I'll one day have the Mom position!\Oh my, what's wrong?\You're crying so much.\Come on now, don't cry. You'd be happy too, right?\If I became a Mom?\If that happens, I'll get busier, but you'll support me, right? response:	Don't get jealous of the other children and say selfish things, okay?
context: And she's not reporting it to the higher-ups, but trying to cover up her mistake.\However, if I help her out here, she'll owe me, and I'll one day have the Mom position!\Oh my, what's wrong?\You're crying so much.\Come on now, don't cry. You'd be happy too, right?\If I became a Mom?\If that happens, I'll get busier, but you'll support me, right?\Don't get jealous of the other children and say selfish things, okay? response:	Wait a minute.
context: However, if I help her out here, she'll owe me, and I'll one day have the Mom position!\Oh my, what's wrong?\You're crying so much.\Come on now, don't cry. You'd be happy too, right?\If I became a Mom?\If that happens, I'll get busier, but you'll support me, right?\Don't get jealous of the other children and say selfish things, okay?\Wait a minute. response:	Could this be my chance?
context: Oh my, what's wrong?\You're crying so much.\Come on now, don't cry. You'd be happy too, right?\If I became a Mom?\If that happens, I'll get busier, but you'll support me, right?\Don't get jealous of the other children and say selfish things, okay?\Wait a minute.\Could this be my chance? response:	I can become a Mom!
context: You're crying so much.\Come on now, don't cry. You'd be happy too, right?\If I became a Mom?\If that happens, I'll get busier, but you'll support me, right?\Don't get jealous of the other children and say selfish things, okay?\Wait a minute.\Could this be my chance?\I can become a Mom! response:	Not one day, but now!
context: Come on now, don't cry. You'd be happy too, right?\If I became a Mom?\If that happens, I'll get busier, but you'll support me, right?\Don't get jealous of the other children and say selfish things, okay?\Wait a minute.\Could this be my chance?\I can become a Mom!\Not one day, but now! response:	If I capture the children who know the secret and report her violation, Isabella will be fired!
context: If I became a Mom?\If that happens, I'll get busier, but you'll support me, right?\Don't get jealous of the other children and say selfish things, okay?\Wait a minute.\Could this be my chance?\I can become a Mom!\Not one day, but now!\If I capture the children who know the secret and report her violation, Isabella will be fired! response:	It would be faster to pretend to obey her and then take her position away!
context: If that happens, I'll get busier, but you'll support me, right?\Don't get jealous of the other children and say selfish things, okay?\Wait a minute.\Could this be my chance?\I can become a Mom!\Not one day, but now!\If I capture the children who know the secret and report her violation, Isabella will be fired!\It would be faster to pretend to obey her and then take her position away! response:	Capture the targets!
context: Don't get jealous of the other children and say selfish things, okay?\Wait a minute.\Could this be my chance?\I can become a Mom!\Not one day, but now!\If I capture the children who know the secret and report her violation, Isabella will be fired!\It would be faster to pretend to obey her and then take her position away!\Capture the targets! response:	And then snitch!
context: Wait a minute.\Could this be my chance?\I can become a Mom!\Not one day, but now!\If I capture the children who know the secret and report her violation, Isabella will be fired!\It would be faster to pretend to obey her and then take her position away!\Capture the targets!\And then snitch! response:	Then immediately ship them out!
context: Could this be my chance?\I can become a Mom!\Not one day, but now!\If I capture the children who know the secret and report her violation, Isabella will be fired!\It would be faster to pretend to obey her and then take her position away!\Capture the targets!\And then snitch!\Then immediately ship them out! response:	Wonderful!
context: I can become a Mom!\Not one day, but now!\If I capture the children who know the secret and report her violation, Isabella will be fired!\It would be faster to pretend to obey her and then take her position away!\Capture the targets!\And then snitch!\Then immediately ship them out!\Wonderful! response:	I'll become the Mom here.
context: Not one day, but now!\If I capture the children who know the secret and report her violation, Isabella will be fired!\It would be faster to pretend to obey her and then take her position away!\Capture the targets!\And then snitch!\Then immediately ship them out!\Wonderful!\I'll become the Mom here. response:	I need to find them quickly.
context: If I capture the children who know the secret and report her violation, Isabella will be fired!\It would be faster to pretend to obey her and then take her position away!\Capture the targets!\And then snitch!\Then immediately ship them out!\Wonderful!\I'll become the Mom here.\I need to find them quickly. response:	The kids like her.
context: It would be faster to pretend to obey her and then take her position away!\Capture the targets!\And then snitch!\Then immediately ship them out!\Wonderful!\I'll become the Mom here.\I need to find them quickly.\The kids like her. response:	Yeah. How do we outmaneuver the two adults who are liked so much?
context: Capture the targets!\And then snitch!\Then immediately ship them out!\Wonderful!\I'll become the Mom here.\I need to find them quickly.\The kids like her.\Yeah. How do we outmaneuver the two adults who are liked so much? response:	Exactly.
context: And then snitch!\Then immediately ship them out!\Wonderful!\I'll become the Mom here.\I need to find them quickly.\The kids like her.\Yeah. How do we outmaneuver the two adults who are liked so much?\Exactly. response:	The biggest concern is the report to the demons.
context: Then immediately ship them out!\Wonderful!\I'll become the Mom here.\I need to find them quickly.\The kids like her.\Yeah. How do we outmaneuver the two adults who are liked so much?\Exactly.\The biggest concern is the report to the demons. response:	As soon as we escape, the monsters will come after us.
context: Wonderful!\I'll become the Mom here.\I need to find them quickly.\The kids like her.\Yeah. How do we outmaneuver the two adults who are liked so much?\Exactly.\The biggest concern is the report to the demons.\As soon as we escape, the monsters will come after us. response:	There's only one way to stop that.
context: I'll become the Mom here.\I need to find them quickly.\The kids like her.\Yeah. How do we outmaneuver the two adults who are liked so much?\Exactly.\The biggest concern is the report to the demons.\As soon as we escape, the monsters will come after us.\There's only one way to stop that. response:	Mom and Sister will have to be...
context: I need to find them quickly.\The kids like her.\Yeah. How do we outmaneuver the two adults who are liked so much?\Exactly.\The biggest concern is the report to the demons.\As soon as we escape, the monsters will come after us.\There's only one way to stop that.\Mom and Sister will have to be... response:	Norman and Ray, right?
context: The kids like her.\Yeah. How do we outmaneuver the two adults who are liked so much?\Exactly.\The biggest concern is the report to the demons.\As soon as we escape, the monsters will come after us.\There's only one way to stop that.\Mom and Sister will have to be...\Norman and Ray, right? response:	Yes.
context: Yeah. How do we outmaneuver the two adults who are liked so much?\Exactly.\The biggest concern is the report to the demons.\As soon as we escape, the monsters will come after us.\There's only one way to stop that.\Mom and Sister will have to be...\Norman and Ray, right?\Yes. response:	I heard you get perfect scores on the tests.
context: Exactly.\The biggest concern is the report to the demons.\As soon as we escape, the monsters will come after us.\There's only one way to stop that.\Mom and Sister will have to be...\Norman and Ray, right?\Yes.\I heard you get perfect scores on the tests. response:	Yes.
context: The biggest concern is the report to the demons.\As soon as we escape, the monsters will come after us.\There's only one way to stop that.\Mom and Sister will have to be...\Norman and Ray, right?\Yes.\I heard you get perfect scores on the tests.\Yes. response:	That's amazing.
context: As soon as we escape, the monsters will come after us.\There's only one way to stop that.\Mom and Sister will have to be...\Norman and Ray, right?\Yes.\I heard you get perfect scores on the tests.\Yes.\That's amazing. response:	It's nice to meet you. I hope we can get along.
context: There's only one way to stop that.\Mom and Sister will have to be...\Norman and Ray, right?\Yes.\I heard you get perfect scores on the tests.\Yes.\That's amazing.\It's nice to meet you. I hope we can get along. response:	Did she hear us?
context: Mom and Sister will have to be...\Norman and Ray, right?\Yes.\I heard you get perfect scores on the tests.\Yes.\That's amazing.\It's nice to meet you. I hope we can get along.\Did she hear us? response:	No, we're fine.
context: Norman and Ray, right?\Yes.\I heard you get perfect scores on the tests.\Yes.\That's amazing.\It's nice to meet you. I hope we can get along.\Did she hear us?\No, we're fine. response:	I don't think that sister came here just to watch us.
