context: There's no way he would like someone like me. response:	Why are you assuming you've lost?
context: Don't worry.\You look cute.\Y-You'd better be right.\Yeah, you're cute.\Bye.\Nino, I'm sorry.\H-Hey, where are you taking me?\Just come with me. response:	What's gotten into you,
context: You look cute.\Y-You'd better be right.\Yeah, you're cute.\Bye.\Nino, I'm sorry.\H-Hey, where are you taking me?\Just come with me.\What's gotten into you, response:	Miku?
context: Y-You'd better be right.\Yeah, you're cute.\Bye.\Nino, I'm sorry.\H-Hey, where are you taking me?\Just come with me.\What's gotten into you,\Miku? response:	There's something I want to talk to you about.
context: Yeah, you're cute.\Bye.\Nino, I'm sorry.\H-Hey, where are you taking me?\Just come with me.\What's gotten into you,\Miku?\There's something I want to talk to you about. response:	I want you to hear Miku out.
context: Bye.\Nino, I'm sorry.\H-Hey, where are you taking me?\Just come with me.\What's gotten into you,\Miku?\There's something I want to talk to you about.\I want you to hear Miku out. response:	So long as Futaro-kun knows that Miku likes him,
context: Nino, I'm sorry.\H-Hey, where are you taking me?\Just come with me.\What's gotten into you,\Miku?\There's something I want to talk to you about.\I want you to hear Miku out.\So long as Futaro-kun knows that Miku likes him, response:	my lie doesn't make any sense.
context: H-Hey, where are you taking me?\Just come with me.\What's gotten into you,\Miku?\There's something I want to talk to you about.\I want you to hear Miku out.\So long as Futaro-kun knows that Miku likes him,\my lie doesn't make any sense. response:	I'm going to use everything I can.
context: Just come with me.\What's gotten into you,\Miku?\There's something I want to talk to you about.\I want you to hear Miku out.\So long as Futaro-kun knows that Miku likes him,\my lie doesn't make any sense.\I'm going to use everything I can. response:	This is the only way I can do it.
context: What's gotten into you,\Miku?\There's something I want to talk to you about.\I want you to hear Miku out.\So long as Futaro-kun knows that Miku likes him,\my lie doesn't make any sense.\I'm going to use everything I can.\This is the only way I can do it. response:	It's the only way I can win.
context: Miku?\There's something I want to talk to you about.\I want you to hear Miku out.\So long as Futaro-kun knows that Miku likes him,\my lie doesn't make any sense.\I'm going to use everything I can.\This is the only way I can do it.\It's the only way I can win. response:	Sisters War: Part 2
context: There's something I want to talk to you about.\I want you to hear Miku out.\So long as Futaro-kun knows that Miku likes him,\my lie doesn't make any sense.\I'm going to use everything I can.\This is the only way I can do it.\It's the only way I can win.\Sisters War: Part 2 response:	Where are we?
context: I want you to hear Miku out.\So long as Futaro-kun knows that Miku likes him,\my lie doesn't make any sense.\I'm going to use everything I can.\This is the only way I can do it.\It's the only way I can win.\Sisters War: Part 2\Where are we? response:	You've been here before, haven't you?
context: So long as Futaro-kun knows that Miku likes him,\my lie doesn't make any sense.\I'm going to use everything I can.\This is the only way I can do it.\It's the only way I can win.\Sisters War: Part 2\Where are we?\You've been here before, haven't you? response:	Yeah.
context: my lie doesn't make any sense.\I'm going to use everything I can.\This is the only way I can do it.\It's the only way I can win.\Sisters War: Part 2\Where are we?\You've been here before, haven't you?\Yeah. response:	When I was in elementary school.
context: I'm going to use everything I can.\This is the only way I can do it.\It's the only way I can win.\Sisters War: Part 2\Where are we?\You've been here before, haven't you?\Yeah.\When I was in elementary school. response:	When you were in elementary school?
context: This is the only way I can do it.\It's the only way I can win.\Sisters War: Part 2\Where are we?\You've been here before, haven't you?\Yeah.\When I was in elementary school.\When you were in elementary school? response:	I still remember that day.
context: It's the only way I can win.\Sisters War: Part 2\Where are we?\You've been here before, haven't you?\Yeah.\When I was in elementary school.\When you were in elementary school?\I still remember that day. response:	That day, I wandered around this area with Rena, wherever she wanted to go.
context: Sisters War: Part 2\Where are we?\You've been here before, haven't you?\Yeah.\When I was in elementary school.\When you were in elementary school?\I still remember that day.\That day, I wandered around this area with Rena, wherever she wanted to go. response:	There's no way I wouldn't have enjoyed traveling with her,
context: Where are we?\You've been here before, haven't you?\Yeah.\When I was in elementary school.\When you were in elementary school?\I still remember that day.\That day, I wandered around this area with Rena, wherever she wanted to go.\There's no way I wouldn't have enjoyed traveling with her, response:	after she said she needed me.
context: You've been here before, haven't you?\Yeah.\When I was in elementary school.\When you were in elementary school?\I still remember that day.\That day, I wandered around this area with Rena, wherever she wanted to go.\There's no way I wouldn't have enjoyed traveling with her,\after she said she needed me. response:	Before I knew it, the sun set, and it was night.
context: Yeah.\When I was in elementary school.\When you were in elementary school?\I still remember that day.\That day, I wandered around this area with Rena, wherever she wanted to go.\There's no way I wouldn't have enjoyed traveling with her,\after she said she needed me.\Before I knew it, the sun set, and it was night. response:	And then what happened?
context: When I was in elementary school.\When you were in elementary school?\I still remember that day.\That day, I wandered around this area with Rena, wherever she wanted to go.\There's no way I wouldn't have enjoyed traveling with her,\after she said she needed me.\Before I knew it, the sun set, and it was night.\And then what happened? response:	My teacher from school was supposed to come pick me up.
context: When you were in elementary school?\I still remember that day.\That day, I wandered around this area with Rena, wherever she wanted to go.\There's no way I wouldn't have enjoyed traveling with her,\after she said she needed me.\Before I knew it, the sun set, and it was night.\And then what happened?\My teacher from school was supposed to come pick me up. response:	I got to wait in an empty room at the hotel Rena was staying at.
context: I still remember that day.\That day, I wandered around this area with Rena, wherever she wanted to go.\There's no way I wouldn't have enjoyed traveling with her,\after she said she needed me.\Before I knew it, the sun set, and it was night.\And then what happened?\My teacher from school was supposed to come pick me up.\I got to wait in an empty room at the hotel Rena was staying at. response:	I think we played cards.
context: That day, I wandered around this area with Rena, wherever she wanted to go.\There's no way I wouldn't have enjoyed traveling with her,\after she said she needed me.\Before I knew it, the sun set, and it was night.\And then what happened?\My teacher from school was supposed to come pick me up.\I got to wait in an empty room at the hotel Rena was staying at.\I think we played cards. response:	Now it's just a nice memory.
context: There's no way I wouldn't have enjoyed traveling with her,\after she said she needed me.\Before I knew it, the sun set, and it was night.\And then what happened?\My teacher from school was supposed to come pick me up.\I got to wait in an empty room at the hotel Rena was staying at.\I think we played cards.\Now it's just a nice memory. response:	Was she...
context: after she said she needed me.\Before I knew it, the sun set, and it was night.\And then what happened?\My teacher from school was supposed to come pick me up.\I got to wait in an empty room at the hotel Rena was staying at.\I think we played cards.\Now it's just a nice memory.\Was she... response:	Are we done?
context: Before I knew it, the sun set, and it was night.\And then what happened?\My teacher from school was supposed to come pick me up.\I got to wait in an empty room at the hotel Rena was staying at.\I think we played cards.\Now it's just a nice memory.\Was she...\Are we done? response:	I only figured I'd tell you because you might be plotting something.
context: And then what happened?\My teacher from school was supposed to come pick me up.\I got to wait in an empty room at the hotel Rena was staying at.\I think we played cards.\Now it's just a nice memory.\Was she...\Are we done?\I only figured I'd tell you because you might be plotting something. response:	But I'm tired of that.
context: My teacher from school was supposed to come pick me up.\I got to wait in an empty room at the hotel Rena was staying at.\I think we played cards.\Now it's just a nice memory.\Was she...\Are we done?\I only figured I'd tell you because you might be plotting something.\But I'm tired of that. response:	I'm done playing your little game, Miku.
context: I got to wait in an empty room at the hotel Rena was staying at.\I think we played cards.\Now it's just a nice memory.\Was she...\Are we done?\I only figured I'd tell you because you might be plotting something.\But I'm tired of that.\I'm done playing your little game, Miku. response:	No...
context: I think we played cards.\Now it's just a nice memory.\Was she...\Are we done?\I only figured I'd tell you because you might be plotting something.\But I'm tired of that.\I'm done playing your little game, Miku.\No... response:	Ichika.
context: Now it's just a nice memory.\Was she...\Are we done?\I only figured I'd tell you because you might be plotting something.\But I'm tired of that.\I'm done playing your little game, Miku.\No...\Ichika. response:	See, I knew it.
context: Was she...\Are we done?\I only figured I'd tell you because you might be plotting something.\But I'm tired of that.\I'm done playing your little game, Miku.\No...\Ichika.\See, I knew it. response:	What timing.
context: Are we done?\I only figured I'd tell you because you might be plotting something.\But I'm tired of that.\I'm done playing your little game, Miku.\No...\Ichika.\See, I knew it.\What timing. response:	It's safe to assume you were the Miku that I met in the school hallway the other day.
context: I only figured I'd tell you because you might be plotting something.\But I'm tired of that.\I'm done playing your little game, Miku.\No...\Ichika.\See, I knew it.\What timing.\It's safe to assume you were the Miku that I met in the school hallway the other day. response:	Th-That wasn't me.
context: But I'm tired of that.\I'm done playing your little game, Miku.\No...\Ichika.\See, I knew it.\What timing.\It's safe to assume you were the Miku that I met in the school hallway the other day.\Th-That wasn't me. response:	Why did you lie to me?
context: I'm done playing your little game, Miku.\No...\Ichika.\See, I knew it.\What timing.\It's safe to assume you were the Miku that I met in the school hallway the other day.\Th-That wasn't me.\Why did you lie to me? response:	You must have figured it out.
context: No...\Ichika.\See, I knew it.\What timing.\It's safe to assume you were the Miku that I met in the school hallway the other day.\Th-That wasn't me.\Why did you lie to me?\You must have figured it out. response:	That girl from six years ago was one of us.
context: Ichika.\See, I knew it.\What timing.\It's safe to assume you were the Miku that I met in the school hallway the other day.\Th-That wasn't me.\Why did you lie to me?\You must have figured it out.\That girl from six years ago was one of us. response:	Yeah.
context: See, I knew it.\What timing.\It's safe to assume you were the Miku that I met in the school hallway the other day.\Th-That wasn't me.\Why did you lie to me?\You must have figured it out.\That girl from six years ago was one of us.\Yeah. response:	It was me.
context: What timing.\It's safe to assume you were the Miku that I met in the school hallway the other day.\Th-That wasn't me.\Why did you lie to me?\You must have figured it out.\That girl from six years ago was one of us.\Yeah.\It was me. response:	That was me.
context: It's safe to assume you were the Miku that I met in the school hallway the other day.\Th-That wasn't me.\Why did you lie to me?\You must have figured it out.\That girl from six years ago was one of us.\Yeah.\It was me.\That was me. response:	Me.
context: Th-That wasn't me.\Why did you lie to me?\You must have figured it out.\That girl from six years ago was one of us.\Yeah.\It was me.\That was me.\Me. response:	We met six years ago.
context: Why did you lie to me?\You must have figured it out.\That girl from six years ago was one of us.\Yeah.\It was me.\That was me.\Me.\We met six years ago. response:	I'm not lying.
context: You must have figured it out.\That girl from six years ago was one of us.\Yeah.\It was me.\That was me.\Me.\We met six years ago.\I'm not lying. response:	Believe me.
context: That girl from six years ago was one of us.\Yeah.\It was me.\That was me.\Me.\We met six years ago.\I'm not lying.\Believe me. response:	Do you remember which good luck charm we bought together six years ago?
context: Yeah.\It was me.\That was me.\Me.\We met six years ago.\I'm not lying.\Believe me.\Do you remember which good luck charm we bought together six years ago? response:	Yeah, I still have it.
context: It was me.\That was me.\Me.\We met six years ago.\I'm not lying.\Believe me.\Do you remember which good luck charm we bought together six years ago?\Yeah, I still have it. response:	I'd never forget it.
context: That was me.\Me.\We met six years ago.\I'm not lying.\Believe me.\Do you remember which good luck charm we bought together six years ago?\Yeah, I still have it.\I'd never forget it. response:	You're lying, aren't you?
context: Me.\We met six years ago.\I'm not lying.\Believe me.\Do you remember which good luck charm we bought together six years ago?\Yeah, I still have it.\I'd never forget it.\You're lying, aren't you? response:	Sorry.
context: We met six years ago.\I'm not lying.\Believe me.\Do you remember which good luck charm we bought together six years ago?\Yeah, I still have it.\I'd never forget it.\You're lying, aren't you?\Sorry. response:	I can't trust you right now.
context: I'm not lying.\Believe me.\Do you remember which good luck charm we bought together six years ago?\Yeah, I still have it.\I'd never forget it.\You're lying, aren't you?\Sorry.\I can't trust you right now. response:	Let's go back before we catch a cold.
context: Believe me.\Do you remember which good luck charm we bought together six years ago?\Yeah, I still have it.\I'd never forget it.\You're lying, aren't you?\Sorry.\I can't trust you right now.\Let's go back before we catch a cold. response:	Man, didn't the weather forecast say it was going to be clear?
context: Do you remember which good luck charm we bought together six years ago?\Yeah, I still have it.\I'd never forget it.\You're lying, aren't you?\Sorry.\I can't trust you right now.\Let's go back before we catch a cold.\Man, didn't the weather forecast say it was going to be clear? response:	Where've you been, Uesugi-kun?
context: Yeah, I still have it.\I'd never forget it.\You're lying, aren't you?\Sorry.\I can't trust you right now.\Let's go back before we catch a cold.\Man, didn't the weather forecast say it was going to be clear?\Where've you been, Uesugi-kun? response:	Oh, you know.
context: I'd never forget it.\You're lying, aren't you?\Sorry.\I can't trust you right now.\Let's go back before we catch a cold.\Man, didn't the weather forecast say it was going to be clear?\Where've you been, Uesugi-kun?\Oh, you know. response:	You were lost, weren't you?
context: You're lying, aren't you?\Sorry.\I can't trust you right now.\Let's go back before we catch a cold.\Man, didn't the weather forecast say it was going to be clear?\Where've you been, Uesugi-kun?\Oh, you know.\You were lost, weren't you? response:	Also, what's the plan tomorrow?
context: Sorry.\I can't trust you right now.\Let's go back before we catch a cold.\Man, didn't the weather forecast say it was going to be clear?\Where've you been, Uesugi-kun?\Oh, you know.\You were lost, weren't you?\Also, what's the plan tomorrow? response:	The shower's free now.
context: I can't trust you right now.\Let's go back before we catch a cold.\Man, didn't the weather forecast say it was going to be clear?\Where've you been, Uesugi-kun?\Oh, you know.\You were lost, weren't you?\Also, what's the plan tomorrow?\The shower's free now. response:	Sorry for taking it first.
context: Let's go back before we catch a cold.\Man, didn't the weather forecast say it was going to be clear?\Where've you been, Uesugi-kun?\Oh, you know.\You were lost, weren't you?\Also, what's the plan tomorrow?\The shower's free now.\Sorry for taking it first. response:	My underwear's soaked, too.
context: Man, didn't the weather forecast say it was going to be clear?\Where've you been, Uesugi-kun?\Oh, you know.\You were lost, weren't you?\Also, what's the plan tomorrow?\The shower's free now.\Sorry for taking it first.\My underwear's soaked, too. response:	Y-You can go next, then, Yotsuba.
context: Where've you been, Uesugi-kun?\Oh, you know.\You were lost, weren't you?\Also, what's the plan tomorrow?\The shower's free now.\Sorry for taking it first.\My underwear's soaked, too.\Y-You can go next, then, Yotsuba. response:	Okay.
context: Oh, you know.\You were lost, weren't you?\Also, what's the plan tomorrow?\The shower's free now.\Sorry for taking it first.\My underwear's soaked, too.\Y-You can go next, then, Yotsuba.\Okay. response:	I'm glad I didn't go.
context: You were lost, weren't you?\Also, what's the plan tomorrow?\The shower's free now.\Sorry for taking it first.\My underwear's soaked, too.\Y-You can go next, then, Yotsuba.\Okay.\I'm glad I didn't go. response:	Wow, Itsuki-chan. You're really going all-in, huh?
context: Also, what's the plan tomorrow?\The shower's free now.\Sorry for taking it first.\My underwear's soaked, too.\Y-You can go next, then, Yotsuba.\Okay.\I'm glad I didn't go.\Wow, Itsuki-chan. You're really going all-in, huh? response:	Not gonna wear it?
context: The shower's free now.\Sorry for taking it first.\My underwear's soaked, too.\Y-You can go next, then, Yotsuba.\Okay.\I'm glad I didn't go.\Wow, Itsuki-chan. You're really going all-in, huh?\Not gonna wear it? response:	N-No, I'm not.
context: Sorry for taking it first.\My underwear's soaked, too.\Y-You can go next, then, Yotsuba.\Okay.\I'm glad I didn't go.\Wow, Itsuki-chan. You're really going all-in, huh?\Not gonna wear it?\N-No, I'm not. response:	I'm going to throw it out since it's too much for me.
context: My underwear's soaked, too.\Y-You can go next, then, Yotsuba.\Okay.\I'm glad I didn't go.\Wow, Itsuki-chan. You're really going all-in, huh?\Not gonna wear it?\N-No, I'm not.\I'm going to throw it out since it's too much for me. response:	Ichika,
context: Y-You can go next, then, Yotsuba.\Okay.\I'm glad I didn't go.\Wow, Itsuki-chan. You're really going all-in, huh?\Not gonna wear it?\N-No, I'm not.\I'm going to throw it out since it's too much for me.\Ichika, response:	don't you have something to say to Miku?
context: Okay.\I'm glad I didn't go.\Wow, Itsuki-chan. You're really going all-in, huh?\Not gonna wear it?\N-No, I'm not.\I'm going to throw it out since it's too much for me.\Ichika,\don't you have something to say to Miku? response:	Sorry, Ichika.
context: I'm glad I didn't go.\Wow, Itsuki-chan. You're really going all-in, huh?\Not gonna wear it?\N-No, I'm not.\I'm going to throw it out since it's too much for me.\Ichika,\don't you have something to say to Miku?\Sorry, Ichika. response:	I'm coming in.
context: Wow, Itsuki-chan. You're really going all-in, huh?\Not gonna wear it?\N-No, I'm not.\I'm going to throw it out since it's too much for me.\Ichika,\don't you have something to say to Miku?\Sorry, Ichika.\I'm coming in. response:	Are you all here?
context: Not gonna wear it?\N-No, I'm not.\I'm going to throw it out since it's too much for me.\Ichika,\don't you have something to say to Miku?\Sorry, Ichika.\I'm coming in.\Are you all here? response:	Message for everyone.
context: N-No, I'm not.\I'm going to throw it out since it's too much for me.\Ichika,\don't you have something to say to Miku?\Sorry, Ichika.\I'm coming in.\Are you all here?\Message for everyone. response:	We're assembling in the main hall in thirty minutes.
context: I'm going to throw it out since it's too much for me.\Ichika,\don't you have something to say to Miku?\Sorry, Ichika.\I'm coming in.\Are you all here?\Message for everyone.\We're assembling in the main hall in thirty minutes. response:	Why are you delivering this?
context: Ichika,\don't you have something to say to Miku?\Sorry, Ichika.\I'm coming in.\Are you all here?\Message for everyone.\We're assembling in the main hall in thirty minutes.\Why are you delivering this? response:	I am a class rep.
context: don't you have something to say to Miku?\Sorry, Ichika.\I'm coming in.\Are you all here?\Message for everyone.\We're assembling in the main hall in thirty minutes.\Why are you delivering this?\I am a class rep. response:	You guys...
context: Sorry, Ichika.\I'm coming in.\Are you all here?\Message for everyone.\We're assembling in the main hall in thirty minutes.\Why are you delivering this?\I am a class rep.\You guys... response:	W-Washroom!
context: I'm coming in.\Are you all here?\Message for everyone.\We're assembling in the main hall in thirty minutes.\Why are you delivering this?\I am a class rep.\You guys...\W-Washroom! response:	Are you still fighting?
context: Are you all here?\Message for everyone.\We're assembling in the main hall in thirty minutes.\Why are you delivering this?\I am a class rep.\You guys...\W-Washroom!\Are you still fighting? response:	Tell me what's going on.
context: Message for everyone.\We're assembling in the main hall in thirty minutes.\Why are you delivering this?\I am a class rep.\You guys...\W-Washroom!\Are you still fighting?\Tell me what's going on. response:	No, we're, well...
context: We're assembling in the main hall in thirty minutes.\Why are you delivering this?\I am a class rep.\You guys...\W-Washroom!\Are you still fighting?\Tell me what's going on.\No, we're, well... response:	Man, that was refreshing.
context: Why are you delivering this?\I am a class rep.\You guys...\W-Washroom!\Are you still fighting?\Tell me what's going on.\No, we're, well...\Man, that was refreshing. response:	I-It's not a big deal, right?
context: I am a class rep.\You guys...\W-Washroom!\Are you still fighting?\Tell me what's going on.\No, we're, well...\Man, that was refreshing.\I-It's not a big deal, right? response:	Yeah, this is just another day for us.
context: You guys...\W-Washroom!\Are you still fighting?\Tell me what's going on.\No, we're, well...\Man, that was refreshing.\I-It's not a big deal, right?\Yeah, this is just another day for us. response:	O-Obviously, right?
context: W-Washroom!\Are you still fighting?\Tell me what's going on.\No, we're, well...\Man, that was refreshing.\I-It's not a big deal, right?\Yeah, this is just another day for us.\O-Obviously, right? response:	All right, then.
context: Are you still fighting?\Tell me what's going on.\No, we're, well...\Man, that was refreshing.\I-It's not a big deal, right?\Yeah, this is just another day for us.\O-Obviously, right?\All right, then. response:	Anyway, thirty minutes.
