context: Burst into bloom - Red Crown! response:	Surely you don't think that's sufficient to deal with me?
context: If that's the case, I see that I made the right call in targeting him instead.\He's such a hindrance when it comes to targeting you!\Why, you...!\I know, I know!\You came here just to stop me from doing that very thing, didn't you?\In that case, why don't we strike a deal?\My condition is that you withdraw from the Phoenix Festa.\That's ridiculous. response:	All I have to do is annihilate you right here and now!
context: He's such a hindrance when it comes to targeting you!\Why, you...!\I know, I know!\You came here just to stop me from doing that very thing, didn't you?\In that case, why don't we strike a deal?\My condition is that you withdraw from the Phoenix Festa.\That's ridiculous.\All I have to do is annihilate you right here and now! response:	Is what you just said true, Silas?!
context: Why, you...!\I know, I know!\You came here just to stop me from doing that very thing, didn't you?\In that case, why don't we strike a deal?\My condition is that you withdraw from the Phoenix Festa.\That's ridiculous.\All I have to do is annihilate you right here and now!\Is what you just said true, Silas?! response:	Lester!
context: I know, I know!\You came here just to stop me from doing that very thing, didn't you?\In that case, why don't we strike a deal?\My condition is that you withdraw from the Phoenix Festa.\That's ridiculous.\All I have to do is annihilate you right here and now!\Is what you just said true, Silas?!\Lester! response:	Hey, I've been waiting for you, Lester.
context: You came here just to stop me from doing that very thing, didn't you?\In that case, why don't we strike a deal?\My condition is that you withdraw from the Phoenix Festa.\That's ridiculous.\All I have to do is annihilate you right here and now!\Is what you just said true, Silas?!\Lester!\Hey, I've been waiting for you, Lester. response:	I came rushing over when I heard that Julis had accepted my duel.
context: In that case, why don't we strike a deal?\My condition is that you withdraw from the Phoenix Festa.\That's ridiculous.\All I have to do is annihilate you right here and now!\Is what you just said true, Silas?!\Lester!\Hey, I've been waiting for you, Lester.\I came rushing over when I heard that Julis had accepted my duel. response:	So you're the one who attacked Julis?!
context: My condition is that you withdraw from the Phoenix Festa.\That's ridiculous.\All I have to do is annihilate you right here and now!\Is what you just said true, Silas?!\Lester!\Hey, I've been waiting for you, Lester.\I came rushing over when I heard that Julis had accepted my duel.\So you're the one who attacked Julis?! response:	He was hired by some academy or other,
context: That's ridiculous.\All I have to do is annihilate you right here and now!\Is what you just said true, Silas?!\Lester!\Hey, I've been waiting for you, Lester.\I came rushing over when I heard that Julis had accepted my duel.\So you're the one who attacked Julis?!\He was hired by some academy or other, response:	to attack all the frontrunners for the Phoenix Festa.
context: All I have to do is annihilate you right here and now!\Is what you just said true, Silas?!\Lester!\Hey, I've been waiting for you, Lester.\I came rushing over when I heard that Julis had accepted my duel.\So you're the one who attacked Julis?!\He was hired by some academy or other,\to attack all the frontrunners for the Phoenix Festa. response:	Didn't you know that?
context: Is what you just said true, Silas?!\Lester!\Hey, I've been waiting for you, Lester.\I came rushing over when I heard that Julis had accepted my duel.\So you're the one who attacked Julis?!\He was hired by some academy or other,\to attack all the frontrunners for the Phoenix Festa.\Didn't you know that? response:	You mean you've sold out your fellow students?
context: Lester!\Hey, I've been waiting for you, Lester.\I came rushing over when I heard that Julis had accepted my duel.\So you're the one who attacked Julis?!\He was hired by some academy or other,\to attack all the frontrunners for the Phoenix Festa.\Didn't you know that?\You mean you've sold out your fellow students? response:	Fellow students?
context: Hey, I've been waiting for you, Lester.\I came rushing over when I heard that Julis had accepted my duel.\So you're the one who attacked Julis?!\He was hired by some academy or other,\to attack all the frontrunners for the Phoenix Festa.\Didn't you know that?\You mean you've sold out your fellow students?\Fellow students? response:	You can't be serious!
context: I came rushing over when I heard that Julis had accepted my duel.\So you're the one who attacked Julis?!\He was hired by some academy or other,\to attack all the frontrunners for the Phoenix Festa.\Didn't you know that?\You mean you've sold out your fellow students?\Fellow students?\You can't be serious! response:	All of us here in Asterisk are mutual enemies.
context: So you're the one who attacked Julis?!\He was hired by some academy or other,\to attack all the frontrunners for the Phoenix Festa.\Didn't you know that?\You mean you've sold out your fellow students?\Fellow students?\You can't be serious!\All of us here in Asterisk are mutual enemies. response:	We're only here to target others, and be targeted, to fulfill our own desires, remember?
context: He was hired by some academy or other,\to attack all the frontrunners for the Phoenix Festa.\Didn't you know that?\You mean you've sold out your fellow students?\Fellow students?\You can't be serious!\All of us here in Asterisk are mutual enemies.\We're only here to target others, and be targeted, to fulfill our own desires, remember? response:	That being the case, wouldn't it be wiser to make money by taking advantage of that?
context: to attack all the frontrunners for the Phoenix Festa.\Didn't you know that?\You mean you've sold out your fellow students?\Fellow students?\You can't be serious!\All of us here in Asterisk are mutual enemies.\We're only here to target others, and be targeted, to fulfill our own desires, remember?\That being the case, wouldn't it be wiser to make money by taking advantage of that? response:	I'm gonna ask you before I kick the crap outta you.
context: Didn't you know that?\You mean you've sold out your fellow students?\Fellow students?\You can't be serious!\All of us here in Asterisk are mutual enemies.\We're only here to target others, and be targeted, to fulfill our own desires, remember?\That being the case, wouldn't it be wiser to make money by taking advantage of that?\I'm gonna ask you before I kick the crap outta you. response:	Why'd you make a point of summoning me here?
context: You mean you've sold out your fellow students?\Fellow students?\You can't be serious!\All of us here in Asterisk are mutual enemies.\We're only here to target others, and be targeted, to fulfill our own desires, remember?\That being the case, wouldn't it be wiser to make money by taking advantage of that?\I'm gonna ask you before I kick the crap outta you.\Why'd you make a point of summoning me here? response:	I'm going to have you assume the role of the man behind all those attacks.
context: Fellow students?\You can't be serious!\All of us here in Asterisk are mutual enemies.\We're only here to target others, and be targeted, to fulfill our own desires, remember?\That being the case, wouldn't it be wiser to make money by taking advantage of that?\I'm gonna ask you before I kick the crap outta you.\Why'd you make a point of summoning me here?\I'm going to have you assume the role of the man behind all those attacks. response:	You two dueled each other, and you both fell, like the best of friends.
context: You can't be serious!\All of us here in Asterisk are mutual enemies.\We're only here to target others, and be targeted, to fulfill our own desires, remember?\That being the case, wouldn't it be wiser to make money by taking advantage of that?\I'm gonna ask you before I kick the crap outta you.\Why'd you make a point of summoning me here?\I'm going to have you assume the role of the man behind all those attacks.\You two dueled each other, and you both fell, like the best of friends. response:	I'd call that a likely scenario, wouldn't you?
context: All of us here in Asterisk are mutual enemies.\We're only here to target others, and be targeted, to fulfill our own desires, remember?\That being the case, wouldn't it be wiser to make money by taking advantage of that?\I'm gonna ask you before I kick the crap outta you.\Why'd you make a point of summoning me here?\I'm going to have you assume the role of the man behind all those attacks.\You two dueled each other, and you both fell, like the best of friends.\I'd call that a likely scenario, wouldn't you? response:	You go to hell!
context: We're only here to target others, and be targeted, to fulfill our own desires, remember?\That being the case, wouldn't it be wiser to make money by taking advantage of that?\I'm gonna ask you before I kick the crap outta you.\Why'd you make a point of summoning me here?\I'm going to have you assume the role of the man behind all those attacks.\You two dueled each other, and you both fell, like the best of friends.\I'd call that a likely scenario, wouldn't you?\You go to hell! response:	What the...?
context: That being the case, wouldn't it be wiser to make money by taking advantage of that?\I'm gonna ask you before I kick the crap outta you.\Why'd you make a point of summoning me here?\I'm going to have you assume the role of the man behind all those attacks.\You two dueled each other, and you both fell, like the best of friends.\I'd call that a likely scenario, wouldn't you?\You go to hell!\What the...? response:	I get it.
context: I'm gonna ask you before I kick the crap outta you.\Why'd you make a point of summoning me here?\I'm going to have you assume the role of the man behind all those attacks.\You two dueled each other, and you both fell, like the best of friends.\I'd call that a likely scenario, wouldn't you?\You go to hell!\What the...?\I get it. response:	So those are the comrades you're so proud of?
context: Why'd you make a point of summoning me here?\I'm going to have you assume the role of the man behind all those attacks.\You two dueled each other, and you both fell, like the best of friends.\I'd call that a likely scenario, wouldn't you?\You go to hell!\What the...?\I get it.\So those are the comrades you're so proud of? response:	Please don't be absurd.
context: I'm going to have you assume the role of the man behind all those attacks.\You two dueled each other, and you both fell, like the best of friends.\I'd call that a likely scenario, wouldn't you?\You go to hell!\What the...?\I get it.\So those are the comrades you're so proud of?\Please don't be absurd. response:	These are my precious, precious little dolls!
context: You two dueled each other, and you both fell, like the best of friends.\I'd call that a likely scenario, wouldn't you?\You go to hell!\What the...?\I get it.\So those are the comrades you're so proud of?\Please don't be absurd.\These are my precious, precious little dolls! response:	Puppets?
context: I'd call that a likely scenario, wouldn't you?\You go to hell!\What the...?\I get it.\So those are the comrades you're so proud of?\Please don't be absurd.\These are my precious, precious little dolls!\Puppets? response:	I wish you wouldn't lump them in with something so crude.
context: You go to hell!\What the...?\I get it.\So those are the comrades you're so proud of?\Please don't be absurd.\These are my precious, precious little dolls!\Puppets?\I wish you wouldn't lump them in with something so crude. response:	There's absolutely nothing mechanical about them.
context: What the...?\I get it.\So those are the comrades you're so proud of?\Please don't be absurd.\These are my precious, precious little dolls!\Puppets?\I wish you wouldn't lump them in with something so crude.\There's absolutely nothing mechanical about them. response:	I see, so that's where your true talent lies, eh?
context: I get it.\So those are the comrades you're so proud of?\Please don't be absurd.\These are my precious, precious little dolls!\Puppets?\I wish you wouldn't lump them in with something so crude.\There's absolutely nothing mechanical about them.\I see, so that's where your true talent lies, eh? response:	Take that!
context: So those are the comrades you're so proud of?\Please don't be absurd.\These are my precious, precious little dolls!\Puppets?\I wish you wouldn't lump them in with something so crude.\There's absolutely nothing mechanical about them.\I see, so that's where your true talent lies, eh?\Take that! response:	Blast Nemea!
context: Please don't be absurd.\These are my precious, precious little dolls!\Puppets?\I wish you wouldn't lump them in with something so crude.\There's absolutely nothing mechanical about them.\I see, so that's where your true talent lies, eh?\Take that!\Blast Nemea! response:	Lester!
context: These are my precious, precious little dolls!\Puppets?\I wish you wouldn't lump them in with something so crude.\There's absolutely nothing mechanical about them.\I see, so that's where your true talent lies, eh?\Take that!\Blast Nemea!\Lester! response:	Whoa, please sit tight right there.
context: Puppets?\I wish you wouldn't lump them in with something so crude.\There's absolutely nothing mechanical about them.\I see, so that's where your true talent lies, eh?\Take that!\Blast Nemea!\Lester!\Whoa, please sit tight right there. response:	I've raised their heat threshold just for you.
context: I wish you wouldn't lump them in with something so crude.\There's absolutely nothing mechanical about them.\I see, so that's where your true talent lies, eh?\Take that!\Blast Nemea!\Lester!\Whoa, please sit tight right there.\I've raised their heat threshold just for you. response:	Looks like you're only capable of dirty tricks like sucker-punching.
context: There's absolutely nothing mechanical about them.\I see, so that's where your true talent lies, eh?\Take that!\Blast Nemea!\Lester!\Whoa, please sit tight right there.\I've raised their heat threshold just for you.\Looks like you're only capable of dirty tricks like sucker-punching. response:	Oh, my, you're in better shape than I thought!
context: I see, so that's where your true talent lies, eh?\Take that!\Blast Nemea!\Lester!\Whoa, please sit tight right there.\I've raised their heat threshold just for you.\Looks like you're only capable of dirty tricks like sucker-punching.\Oh, my, you're in better shape than I thought! response:	No matter how many of these wooden puppets you sic on me...
context: Take that!\Blast Nemea!\Lester!\Whoa, please sit tight right there.\I've raised their heat threshold just for you.\Looks like you're only capable of dirty tricks like sucker-punching.\Oh, my, you're in better shape than I thought!\No matter how many of these wooden puppets you sic on me... response:	No matter how many I sic on you?
context: Blast Nemea!\Lester!\Whoa, please sit tight right there.\I've raised their heat threshold just for you.\Looks like you're only capable of dirty tricks like sucker-punching.\Oh, my, you're in better shape than I thought!\No matter how many of these wooden puppets you sic on me...\No matter how many I sic on you? response:	Very well, as you wish...
context: Lester!\Whoa, please sit tight right there.\I've raised their heat threshold just for you.\Looks like you're only capable of dirty tricks like sucker-punching.\Oh, my, you're in better shape than I thought!\No matter how many of these wooden puppets you sic on me...\No matter how many I sic on you?\Very well, as you wish... response:	I'll be happy to take you on with 128 of these!
context: Whoa, please sit tight right there.\I've raised their heat threshold just for you.\Looks like you're only capable of dirty tricks like sucker-punching.\Oh, my, you're in better shape than I thought!\No matter how many of these wooden puppets you sic on me...\No matter how many I sic on you?\Very well, as you wish...\I'll be happy to take you on with 128 of these! response:	I like that look on your face! Now then... farewell.
context: I've raised their heat threshold just for you.\Looks like you're only capable of dirty tricks like sucker-punching.\Oh, my, you're in better shape than I thought!\No matter how many of these wooden puppets you sic on me...\No matter how many I sic on you?\Very well, as you wish...\I'll be happy to take you on with 128 of these!\I like that look on your face! Now then... farewell. response:	Lester!
context: Looks like you're only capable of dirty tricks like sucker-punching.\Oh, my, you're in better shape than I thought!\No matter how many of these wooden puppets you sic on me...\No matter how many I sic on you?\Very well, as you wish...\I'll be happy to take you on with 128 of these!\I like that look on your face! Now then... farewell.\Lester! response:	Stop it, Silas!
context: Oh, my, you're in better shape than I thought!\No matter how many of these wooden puppets you sic on me...\No matter how many I sic on you?\Very well, as you wish...\I'll be happy to take you on with 128 of these!\I like that look on your face! Now then... farewell.\Lester!\Stop it, Silas! response:	Burst into bloom - Antirrhinum majus!
context: No matter how many of these wooden puppets you sic on me...\No matter how many I sic on you?\Very well, as you wish...\I'll be happy to take you on with 128 of these!\I like that look on your face! Now then... farewell.\Lester!\Stop it, Silas!\Burst into bloom - Antirrhinum majus! response:	I must say, that's quite impressive.
context: No matter how many I sic on you?\Very well, as you wish...\I'll be happy to take you on with 128 of these!\I like that look on your face! Now then... farewell.\Lester!\Stop it, Silas!\Burst into bloom - Antirrhinum majus!\I must say, that's quite impressive. response:	But at the end of the day, you're still outnumbered!
context: Very well, as you wish...\I'll be happy to take you on with 128 of these!\I like that look on your face! Now then... farewell.\Lester!\Stop it, Silas!\Burst into bloom - Antirrhinum majus!\I must say, that's quite impressive.\But at the end of the day, you're still outnumbered! response:	Your skills are certainly prodigious,
context: I'll be happy to take you on with 128 of these!\I like that look on your face! Now then... farewell.\Lester!\Stop it, Silas!\Burst into bloom - Antirrhinum majus!\I must say, that's quite impressive.\But at the end of the day, you're still outnumbered!\Your skills are certainly prodigious, response:	but the way they conceal your own view as well is a real flaw.
context: I like that look on your face! Now then... farewell.\Lester!\Stop it, Silas!\Burst into bloom - Antirrhinum majus!\I must say, that's quite impressive.\But at the end of the day, you're still outnumbered!\Your skills are certainly prodigious,\but the way they conceal your own view as well is a real flaw. response:	I've discovered something myself!
context: Lester!\Stop it, Silas!\Burst into bloom - Antirrhinum majus!\I must say, that's quite impressive.\But at the end of the day, you're still outnumbered!\Your skills are certainly prodigious,\but the way they conceal your own view as well is a real flaw.\I've discovered something myself! response:	And what would that be?
context: Stop it, Silas!\Burst into bloom - Antirrhinum majus!\I must say, that's quite impressive.\But at the end of the day, you're still outnumbered!\Your skills are certainly prodigious,\but the way they conceal your own view as well is a real flaw.\I've discovered something myself!\And what would that be? response:	That it's Allekant that's pulling your strings.
context: Burst into bloom - Antirrhinum majus!\I must say, that's quite impressive.\But at the end of the day, you're still outnumbered!\Your skills are certainly prodigious,\but the way they conceal your own view as well is a real flaw.\I've discovered something myself!\And what would that be?\That it's Allekant that's pulling your strings. response:	No school is capable of mass-producing the kind of armor that can withstand our attacks...
context: I must say, that's quite impressive.\But at the end of the day, you're still outnumbered!\Your skills are certainly prodigious,\but the way they conceal your own view as well is a real flaw.\I've discovered something myself!\And what would that be?\That it's Allekant that's pulling your strings.\No school is capable of mass-producing the kind of armor that can withstand our attacks... response:	except for Allekant!
context: But at the end of the day, you're still outnumbered!\Your skills are certainly prodigious,\but the way they conceal your own view as well is a real flaw.\I've discovered something myself!\And what would that be?\That it's Allekant that's pulling your strings.\No school is capable of mass-producing the kind of armor that can withstand our attacks...\except for Allekant! response:	Quite perceptive.
context: Your skills are certainly prodigious,\but the way they conceal your own view as well is a real flaw.\I've discovered something myself!\And what would that be?\That it's Allekant that's pulling your strings.\No school is capable of mass-producing the kind of armor that can withstand our attacks...\except for Allekant!\Quite perceptive. response:	But I'm afraid there's no way I can afford to let you go now.
context: but the way they conceal your own view as well is a real flaw.\I've discovered something myself!\And what would that be?\That it's Allekant that's pulling your strings.\No school is capable of mass-producing the kind of armor that can withstand our attacks...\except for Allekant!\Quite perceptive.\But I'm afraid there's no way I can afford to let you go now. response:	I was planning to enjoy myself by inflicting pain on you a bit longer,
context: I've discovered something myself!\And what would that be?\That it's Allekant that's pulling your strings.\No school is capable of mass-producing the kind of armor that can withstand our attacks...\except for Allekant!\Quite perceptive.\But I'm afraid there's no way I can afford to let you go now.\I was planning to enjoy myself by inflicting pain on you a bit longer, response:	but I've changed my mind.
context: And what would that be?\That it's Allekant that's pulling your strings.\No school is capable of mass-producing the kind of armor that can withstand our attacks...\except for Allekant!\Quite perceptive.\But I'm afraid there's no way I can afford to let you go now.\I was planning to enjoy myself by inflicting pain on you a bit longer,\but I've changed my mind. response:	I think I'll just get this over with.
context: That it's Allekant that's pulling your strings.\No school is capable of mass-producing the kind of armor that can withstand our attacks...\except for Allekant!\Quite perceptive.\But I'm afraid there's no way I can afford to let you go now.\I was planning to enjoy myself by inflicting pain on you a bit longer,\but I've changed my mind.\I think I'll just get this over with. response:	What the...?
context: No school is capable of mass-producing the kind of armor that can withstand our attacks...\except for Allekant!\Quite perceptive.\But I'm afraid there's no way I can afford to let you go now.\I was planning to enjoy myself by inflicting pain on you a bit longer,\but I've changed my mind.\I think I'll just get this over with.\What the...? response:	Sorry, I got held up.
context: except for Allekant!\Quite perceptive.\But I'm afraid there's no way I can afford to let you go now.\I was planning to enjoy myself by inflicting pain on you a bit longer,\but I've changed my mind.\I think I'll just get this over with.\What the...?\Sorry, I got held up. response:	Ayato!
context: Quite perceptive.\But I'm afraid there's no way I can afford to let you go now.\I was planning to enjoy myself by inflicting pain on you a bit longer,\but I've changed my mind.\I think I'll just get this over with.\What the...?\Sorry, I got held up.\Ayato! response:	A-Ayato...
context: But I'm afraid there's no way I can afford to let you go now.\I was planning to enjoy myself by inflicting pain on you a bit longer,\but I've changed my mind.\I think I'll just get this over with.\What the...?\Sorry, I got held up.\Ayato!\A-Ayato... response:	You... What are you doing here?!
context: I was planning to enjoy myself by inflicting pain on you a bit longer,\but I've changed my mind.\I think I'll just get this over with.\What the...?\Sorry, I got held up.\Ayato!\A-Ayato...\You... What are you doing here?! response:	I'm here to save you, actually.
context: but I've changed my mind.\I think I'll just get this over with.\What the...?\Sorry, I got held up.\Ayato!\A-Ayato...\You... What are you doing here?!\I'm here to save you, actually. response:	This is my problem, and it has nothing to do with you!
context: I think I'll just get this over with.\What the...?\Sorry, I got held up.\Ayato!\A-Ayato...\You... What are you doing here?!\I'm here to save you, actually.\This is my problem, and it has nothing to do with you! response:	So why would you go out of your way to venture into danger?!
context: What the...?\Sorry, I got held up.\Ayato!\A-Ayato...\You... What are you doing here?!\I'm here to save you, actually.\This is my problem, and it has nothing to do with you!\So why would you go out of your way to venture into danger?! response:	Listen, Julis.
context: Sorry, I got held up.\Ayato!\A-Ayato...\You... What are you doing here?!\I'm here to save you, actually.\This is my problem, and it has nothing to do with you!\So why would you go out of your way to venture into danger?!\Listen, Julis. response:	You told me that you were fighting of your own free will - for yourself, right?
context: Ayato!\A-Ayato...\You... What are you doing here?!\I'm here to save you, actually.\This is my problem, and it has nothing to do with you!\So why would you go out of your way to venture into danger?!\Listen, Julis.\You told me that you were fighting of your own free will - for yourself, right? response:	That you're protecting the kids in that orphanage
context: A-Ayato...\You... What are you doing here?!\I'm here to save you, actually.\This is my problem, and it has nothing to do with you!\So why would you go out of your way to venture into danger?!\Listen, Julis.\You told me that you were fighting of your own free will - for yourself, right?\That you're protecting the kids in that orphanage response:	just because that's what you want to do.
context: You... What are you doing here?!\I'm here to save you, actually.\This is my problem, and it has nothing to do with you!\So why would you go out of your way to venture into danger?!\Listen, Julis.\You told me that you were fighting of your own free will - for yourself, right?\That you're protecting the kids in that orphanage\just because that's what you want to do. response:	Yes. Exactly.
context: I'm here to save you, actually.\This is my problem, and it has nothing to do with you!\So why would you go out of your way to venture into danger?!\Listen, Julis.\You told me that you were fighting of your own free will - for yourself, right?\That you're protecting the kids in that orphanage\just because that's what you want to do.\Yes. Exactly. response:	Well, then, who's going to protect you, Julis?
context: This is my problem, and it has nothing to do with you!\So why would you go out of your way to venture into danger?!\Listen, Julis.\You told me that you were fighting of your own free will - for yourself, right?\That you're protecting the kids in that orphanage\just because that's what you want to do.\Yes. Exactly.\Well, then, who's going to protect you, Julis? response:	Who's... going to...?
context: So why would you go out of your way to venture into danger?!\Listen, Julis.\You told me that you were fighting of your own free will - for yourself, right?\That you're protecting the kids in that orphanage\just because that's what you want to do.\Yes. Exactly.\Well, then, who's going to protect you, Julis?\Who's... going to...? response:	You see, Julis...
context: Listen, Julis.\You told me that you were fighting of your own free will - for yourself, right?\That you're protecting the kids in that orphanage\just because that's what you want to do.\Yes. Exactly.\Well, then, who's going to protect you, Julis?\Who's... going to...?\You see, Julis... response:	I've been searching for it all this time.
