context: Be kind! Kindness saves the world! Pinky Phakchi! response:	Take this, bad guys! Vegetable fire!
context: This isn't right!\I killed my friend!\We are to take out the trash. Ready!\Clean up!\Stop!\Ah, what is this?\Oh, the paint is peeling off.\Hot! response:	Hot!
context: I killed my friend!\We are to take out the trash. Ready!\Clean up!\Stop!\Ah, what is this?\Oh, the paint is peeling off.\Hot!\Hot! response:	Touka!
context: We are to take out the trash. Ready!\Clean up!\Stop!\Ah, what is this?\Oh, the paint is peeling off.\Hot!\Hot!\Touka! response:	Don't die! Breathe!
context: Clean up!\Stop!\Ah, what is this?\Oh, the paint is peeling off.\Hot!\Hot!\Touka!\Don't die! Breathe! response:	Touka!
context: Stop!\Ah, what is this?\Oh, the paint is peeling off.\Hot!\Hot!\Touka!\Don't die! Breathe!\Touka! response:	Hot!
context: Ah, what is this?\Oh, the paint is peeling off.\Hot!\Hot!\Touka!\Don't die! Breathe!\Touka!\Hot! response:	Hot!
context: Oh, the paint is peeling off.\Hot!\Hot!\Touka!\Don't die! Breathe!\Touka!\Hot!\Hot! response:	Hot!
context: Hot!\Hot!\Touka!\Don't die! Breathe!\Touka!\Hot!\Hot!\Hot! response:	I told you not to mess with me!
context: Hot!\Touka!\Don't die! Breathe!\Touka!\Hot!\Hot!\Hot!\I told you not to mess with me! response:	Humans are not trash!
context: Touka!\Don't die! Breathe!\Touka!\Hot!\Hot!\Hot!\I told you not to mess with me!\Humans are not trash! response:	Go to hell!
context: Don't die! Breathe!\Touka!\Hot!\Hot!\Hot!\I told you not to mess with me!\Humans are not trash!\Go to hell! response:	Touka!
context: Touka!\Hot!\Hot!\Hot!\I told you not to mess with me!\Humans are not trash!\Go to hell!\Touka! response:	Sister!
context: Hot!\Hot!\Hot!\I told you not to mess with me!\Humans are not trash!\Go to hell!\Touka!\Sister! response:	Can I destroy them all?
context: Hot!\Hot!\I told you not to mess with me!\Humans are not trash!\Go to hell!\Touka!\Sister!\Can I destroy them all? response:	The humans have lost.
context: Hot!\I told you not to mess with me!\Humans are not trash!\Go to hell!\Touka!\Sister!\Can I destroy them all?\The humans have lost. response:	But you cannot win.
context: I told you not to mess with me!\Humans are not trash!\Go to hell!\Touka!\Sister!\Can I destroy them all?\The humans have lost.\But you cannot win. response:	Impossible. She's so fast.
context: Humans are not trash!\Go to hell!\Touka!\Sister!\Can I destroy them all?\The humans have lost.\But you cannot win.\Impossible. She's so fast. response:	Faster than us machines.
context: Go to hell!\Touka!\Sister!\Can I destroy them all?\The humans have lost.\But you cannot win.\Impossible. She's so fast.\Faster than us machines. response:	Here I come!
context: Touka!\Sister!\Can I destroy them all?\The humans have lost.\But you cannot win.\Impossible. She's so fast.\Faster than us machines.\Here I come! response:	Upon the grief, so tarnished,
context: Sister!\Can I destroy them all?\The humans have lost.\But you cannot win.\Impossible. She's so fast.\Faster than us machines.\Here I come!\Upon the grief, so tarnished, response:	falls gently the snow once again.
context: Can I destroy them all?\The humans have lost.\But you cannot win.\Impossible. She's so fast.\Faster than us machines.\Here I come!\Upon the grief, so tarnished,\falls gently the snow once again. response:	Upon the grief, so tarnished,
context: The humans have lost.\But you cannot win.\Impossible. She's so fast.\Faster than us machines.\Here I come!\Upon the grief, so tarnished,\falls gently the snow once again.\Upon the grief, so tarnished, response:	blows the wind once again.
context: But you cannot win.\Impossible. She's so fast.\Faster than us machines.\Here I come!\Upon the grief, so tarnished,\falls gently the snow once again.\Upon the grief, so tarnished,\blows the wind once again. response:	Upon the grief, so tarnished,
context: Impossible. She's so fast.\Faster than us machines.\Here I come!\Upon the grief, so tarnished,\falls gently the snow once again.\Upon the grief, so tarnished,\blows the wind once again.\Upon the grief, so tarnished, response:	we do not hope or wish for anything.
context: Faster than us machines.\Here I come!\Upon the grief, so tarnished,\falls gently the snow once again.\Upon the grief, so tarnished,\blows the wind once again.\Upon the grief, so tarnished,\we do not hope or wish for anything. response:	The grief, so tarnished,
context: Here I come!\Upon the grief, so tarnished,\falls gently the snow once again.\Upon the grief, so tarnished,\blows the wind once again.\Upon the grief, so tarnished,\we do not hope or wish for anything.\The grief, so tarnished, response:	longs lazily for death.
context: Upon the grief, so tarnished,\falls gently the snow once again.\Upon the grief, so tarnished,\blows the wind once again.\Upon the grief, so tarnished,\we do not hope or wish for anything.\The grief, so tarnished,\longs lazily for death. response:	Sister!
context: falls gently the snow once again.\Upon the grief, so tarnished,\blows the wind once again.\Upon the grief, so tarnished,\we do not hope or wish for anything.\The grief, so tarnished,\longs lazily for death.\Sister! response:	I just want to destroy more and more, Sister!
context: Upon the grief, so tarnished,\blows the wind once again.\Upon the grief, so tarnished,\we do not hope or wish for anything.\The grief, so tarnished,\longs lazily for death.\Sister!\I just want to destroy more and more, Sister! response:	That's enough for today.
context: blows the wind once again.\Upon the grief, so tarnished,\we do not hope or wish for anything.\The grief, so tarnished,\longs lazily for death.\Sister!\I just want to destroy more and more, Sister!\That's enough for today. response:	No fun.
context: Upon the grief, so tarnished,\we do not hope or wish for anything.\The grief, so tarnished,\longs lazily for death.\Sister!\I just want to destroy more and more, Sister!\That's enough for today.\No fun. response:	Touka.
context: we do not hope or wish for anything.\The grief, so tarnished,\longs lazily for death.\Sister!\I just want to destroy more and more, Sister!\That's enough for today.\No fun.\Touka. response:	Where am I?
context: The grief, so tarnished,\longs lazily for death.\Sister!\I just want to destroy more and more, Sister!\That's enough for today.\No fun.\Touka.\Where am I? response:	Dad? Mom?
context: longs lazily for death.\Sister!\I just want to destroy more and more, Sister!\That's enough for today.\No fun.\Touka.\Where am I?\Dad? Mom? response:	Sister?
context: Sister!\I just want to destroy more and more, Sister!\That's enough for today.\No fun.\Touka.\Where am I?\Dad? Mom?\Sister? response:	Tou-chan.
context: I just want to destroy more and more, Sister!\That's enough for today.\No fun.\Touka.\Where am I?\Dad? Mom?\Sister?\Tou-chan. response:	Pinky.
context: That's enough for today.\No fun.\Touka.\Where am I?\Dad? Mom?\Sister?\Tou-chan.\Pinky. response:	You were real, Pinky!
context: No fun.\Touka.\Where am I?\Dad? Mom?\Sister?\Tou-chan.\Pinky.\You were real, Pinky! response:	Huh, but something's not right.
context: Touka.\Where am I?\Dad? Mom?\Sister?\Tou-chan.\Pinky.\You were real, Pinky!\Huh, but something's not right. response:	The bad guys came, and everyone...
context: Where am I?\Dad? Mom?\Sister?\Tou-chan.\Pinky.\You were real, Pinky!\Huh, but something's not right.\The bad guys came, and everyone... response:	Never mind that.
context: Dad? Mom?\Sister?\Tou-chan.\Pinky.\You were real, Pinky!\Huh, but something's not right.\The bad guys came, and everyone...\Never mind that. response:	Tada!
context: Sister?\Tou-chan.\Pinky.\You were real, Pinky!\Huh, but something's not right.\The bad guys came, and everyone...\Never mind that.\Tada! response:	Here you go.
context: Tou-chan.\Pinky.\You were real, Pinky!\Huh, but something's not right.\The bad guys came, and everyone...\Never mind that.\Tada!\Here you go. response:	For me?
context: Pinky.\You were real, Pinky!\Huh, but something's not right.\The bad guys came, and everyone...\Never mind that.\Tada!\Here you go.\For me? response:	I love you, Pinky!
context: You were real, Pinky!\Huh, but something's not right.\The bad guys came, and everyone...\Never mind that.\Tada!\Here you go.\For me?\I love you, Pinky! response:	Now we can help everyone.
