context: Milika-san is living in my yard. response:	She declared that she's going to become my third girlfriend.
context: Hang in there.\I'll make sure Milika-san gives up!\She's completely gotten into tent life.\M-Milika's got tenacity.\I have to do something about her.\Oh, Naoya! Want some meat?\Milika-san...\Please, go home. response:	I told you, I won't be satisfied until I make you fall for me!
context: I'll make sure Milika-san gives up!\She's completely gotten into tent life.\M-Milika's got tenacity.\I have to do something about her.\Oh, Naoya! Want some meat?\Milika-san...\Please, go home.\I told you, I won't be satisfied until I make you fall for me! response:	That's exactly the problem!
context: She's completely gotten into tent life.\M-Milika's got tenacity.\I have to do something about her.\Oh, Naoya! Want some meat?\Milika-san...\Please, go home.\I told you, I won't be satisfied until I make you fall for me!\That's exactly the problem! response:	I'm already a two-timer.
context: M-Milika's got tenacity.\I have to do something about her.\Oh, Naoya! Want some meat?\Milika-san...\Please, go home.\I told you, I won't be satisfied until I make you fall for me!\That's exactly the problem!\I'm already a two-timer. response:	I can't possibly become a three-timer!
context: I have to do something about her.\Oh, Naoya! Want some meat?\Milika-san...\Please, go home.\I told you, I won't be satisfied until I make you fall for me!\That's exactly the problem!\I'm already a two-timer.\I can't possibly become a three-timer! response:	Not as a human being!
context: Oh, Naoya! Want some meat?\Milika-san...\Please, go home.\I told you, I won't be satisfied until I make you fall for me!\That's exactly the problem!\I'm already a two-timer.\I can't possibly become a three-timer!\Not as a human being! response:	Not that two-timing is all right, either!
context: Milika-san...\Please, go home.\I told you, I won't be satisfied until I make you fall for me!\That's exactly the problem!\I'm already a two-timer.\I can't possibly become a three-timer!\Not as a human being!\Not that two-timing is all right, either! response:	Please understand.
context: Please, go home.\I told you, I won't be satisfied until I make you fall for me!\That's exactly the problem!\I'm already a two-timer.\I can't possibly become a three-timer!\Not as a human being!\Not that two-timing is all right, either!\Please understand. response:	I can't return your feelings.
context: I told you, I won't be satisfied until I make you fall for me!\That's exactly the problem!\I'm already a two-timer.\I can't possibly become a three-timer!\Not as a human being!\Not that two-timing is all right, either!\Please understand.\I can't return your feelings. response:	Shut up!
context: That's exactly the problem!\I'm already a two-timer.\I can't possibly become a three-timer!\Not as a human being!\Not that two-timing is all right, either!\Please understand.\I can't return your feelings.\Shut up! response:	I can't go home after being rejected by someone like you.
context: I'm already a two-timer.\I can't possibly become a three-timer!\Not as a human being!\Not that two-timing is all right, either!\Please understand.\I can't return your feelings.\Shut up!\I can't go home after being rejected by someone like you. response:	Please take down your tent!
context: I can't possibly become a three-timer!\Not as a human being!\Not that two-timing is all right, either!\Please understand.\I can't return your feelings.\Shut up!\I can't go home after being rejected by someone like you.\Please take down your tent! response:	No way!
context: Not as a human being!\Not that two-timing is all right, either!\Please understand.\I can't return your feelings.\Shut up!\I can't go home after being rejected by someone like you.\Please take down your tent!\No way! response:	I have my pride, too!
context: Not that two-timing is all right, either!\Please understand.\I can't return your feelings.\Shut up!\I can't go home after being rejected by someone like you.\Please take down your tent!\No way!\I have my pride, too! response:	Lay as much as a finger on my tent...
context: Please understand.\I can't return your feelings.\Shut up!\I can't go home after being rejected by someone like you.\Please take down your tent!\No way!\I have my pride, too!\Lay as much as a finger on my tent... response:	And I'll throw red-hot coals at you.
context: I can't return your feelings.\Shut up!\I can't go home after being rejected by someone like you.\Please take down your tent!\No way!\I have my pride, too!\Lay as much as a finger on my tent...\And I'll throw red-hot coals at you. response:	Hiss!
context: Shut up!\I can't go home after being rejected by someone like you.\Please take down your tent!\No way!\I have my pride, too!\Lay as much as a finger on my tent...\And I'll throw red-hot coals at you.\Hiss! response:	N-Naoya-kun, we should retreat.
context: I can't go home after being rejected by someone like you.\Please take down your tent!\No way!\I have my pride, too!\Lay as much as a finger on my tent...\And I'll throw red-hot coals at you.\Hiss!\N-Naoya-kun, we should retreat. response:	Girlfriend, Girlfriend
context: Please take down your tent!\No way!\I have my pride, too!\Lay as much as a finger on my tent...\And I'll throw red-hot coals at you.\Hiss!\N-Naoya-kun, we should retreat.\Girlfriend, Girlfriend response:	Girlfriend, Girlfriend
context: No way!\I have my pride, too!\Lay as much as a finger on my tent...\And I'll throw red-hot coals at you.\Hiss!\N-Naoya-kun, we should retreat.\Girlfriend, Girlfriend\Girlfriend, Girlfriend response:	Episode 6
context: I have my pride, too!\Lay as much as a finger on my tent...\And I'll throw red-hot coals at you.\Hiss!\N-Naoya-kun, we should retreat.\Girlfriend, Girlfriend\Girlfriend, Girlfriend\Episode 6 response:	Tsun Is Dere
context: Lay as much as a finger on my tent...\And I'll throw red-hot coals at you.\Hiss!\N-Naoya-kun, we should retreat.\Girlfriend, Girlfriend\Girlfriend, Girlfriend\Episode 6\Tsun Is Dere response:	What a stubborn woman.
context: And I'll throw red-hot coals at you.\Hiss!\N-Naoya-kun, we should retreat.\Girlfriend, Girlfriend\Girlfriend, Girlfriend\Episode 6\Tsun Is Dere\What a stubborn woman. response:	It's all right.
context: Hiss!\N-Naoya-kun, we should retreat.\Girlfriend, Girlfriend\Girlfriend, Girlfriend\Episode 6\Tsun Is Dere\What a stubborn woman.\It's all right. response:	I'll make sure she leaves soon.
context: N-Naoya-kun, we should retreat.\Girlfriend, Girlfriend\Girlfriend, Girlfriend\Episode 6\Tsun Is Dere\What a stubborn woman.\It's all right.\I'll make sure she leaves soon. response:	U-Um...
context: Girlfriend, Girlfriend\Girlfriend, Girlfriend\Episode 6\Tsun Is Dere\What a stubborn woman.\It's all right.\I'll make sure she leaves soon.\U-Um... response:	Maybe you don't need to force her.
context: Girlfriend, Girlfriend\Episode 6\Tsun Is Dere\What a stubborn woman.\It's all right.\I'll make sure she leaves soon.\U-Um...\Maybe you don't need to force her. response:	We could convince her over time.
context: Episode 6\Tsun Is Dere\What a stubborn woman.\It's all right.\I'll make sure she leaves soon.\U-Um...\Maybe you don't need to force her.\We could convince her over time. response:	Minase-san...
context: Tsun Is Dere\What a stubborn woman.\It's all right.\I'll make sure she leaves soon.\U-Um...\Maybe you don't need to force her.\We could convince her over time.\Minase-san... response:	True.
context: What a stubborn woman.\It's all right.\I'll make sure she leaves soon.\U-Um...\Maybe you don't need to force her.\We could convince her over time.\Minase-san...\True. response:	Who knows what she might do if we push her too much, with the way she is?
context: It's all right.\I'll make sure she leaves soon.\U-Um...\Maybe you don't need to force her.\We could convince her over time.\Minase-san...\True.\Who knows what she might do if we push her too much, with the way she is? response:	You think so too, right?
context: I'll make sure she leaves soon.\U-Um...\Maybe you don't need to force her.\We could convince her over time.\Minase-san...\True.\Who knows what she might do if we push her too much, with the way she is?\You think so too, right? response:	Yeah.
context: U-Um...\Maybe you don't need to force her.\We could convince her over time.\Minase-san...\True.\Who knows what she might do if we push her too much, with the way she is?\You think so too, right?\Yeah. response:	We'll take care of her slowly and surely.
context: Maybe you don't need to force her.\We could convince her over time.\Minase-san...\True.\Who knows what she might do if we push her too much, with the way she is?\You think so too, right?\Yeah.\We'll take care of her slowly and surely. response:	We will.
context: We could convince her over time.\Minase-san...\True.\Who knows what she might do if we push her too much, with the way she is?\You think so too, right?\Yeah.\We'll take care of her slowly and surely.\We will. response:	Got it, Naoya?
context: Minase-san...\True.\Who knows what she might do if we push her too much, with the way she is?\You think so too, right?\Yeah.\We'll take care of her slowly and surely.\We will.\Got it, Naoya? response:	Y-Yeah...
context: True.\Who knows what she might do if we push her too much, with the way she is?\You think so too, right?\Yeah.\We'll take care of her slowly and surely.\We will.\Got it, Naoya?\Y-Yeah... response:	Milika-san's leaving.
context: Who knows what she might do if we push her too much, with the way she is?\You think so too, right?\Yeah.\We'll take care of her slowly and surely.\We will.\Got it, Naoya?\Y-Yeah...\Milika-san's leaving. response:	Probably to use the restroom.
context: You think so too, right?\Yeah.\We'll take care of her slowly and surely.\We will.\Got it, Naoya?\Y-Yeah...\Milika-san's leaving.\Probably to use the restroom. response:	The only one around here is at the convenience store.
context: Yeah.\We'll take care of her slowly and surely.\We will.\Got it, Naoya?\Y-Yeah...\Milika-san's leaving.\Probably to use the restroom.\The only one around here is at the convenience store. response:	It's our chance!
context: We'll take care of her slowly and surely.\We will.\Got it, Naoya?\Y-Yeah...\Milika-san's leaving.\Probably to use the restroom.\The only one around here is at the convenience store.\It's our chance! response:	Hello?
context: We will.\Got it, Naoya?\Y-Yeah...\Milika-san's leaving.\Probably to use the restroom.\The only one around here is at the convenience store.\It's our chance!\Hello? response:	I'd like an immediate pickup of some unwanted goods!
context: Got it, Naoya?\Y-Yeah...\Milika-san's leaving.\Probably to use the restroom.\The only one around here is at the convenience store.\It's our chance!\Hello?\I'd like an immediate pickup of some unwanted goods! response:	Yes.
context: Y-Yeah...\Milika-san's leaving.\Probably to use the restroom.\The only one around here is at the convenience store.\It's our chance!\Hello?\I'd like an immediate pickup of some unwanted goods!\Yes. response:	A tent, sleeping bag, and miscellaneous camping gear.
context: Milika-san's leaving.\Probably to use the restroom.\The only one around here is at the convenience store.\It's our chance!\Hello?\I'd like an immediate pickup of some unwanted goods!\Yes.\A tent, sleeping bag, and miscellaneous camping gear. response:	Naoya-kun...
context: Probably to use the restroom.\The only one around here is at the convenience store.\It's our chance!\Hello?\I'd like an immediate pickup of some unwanted goods!\Yes.\A tent, sleeping bag, and miscellaneous camping gear.\Naoya-kun... response:	Were you listening to us?
context: The only one around here is at the convenience store.\It's our chance!\Hello?\I'd like an immediate pickup of some unwanted goods!\Yes.\A tent, sleeping bag, and miscellaneous camping gear.\Naoya-kun...\Were you listening to us? response:	The address is...
context: It's our chance!\Hello?\I'd like an immediate pickup of some unwanted goods!\Yes.\A tent, sleeping bag, and miscellaneous camping gear.\Naoya-kun...\Were you listening to us?\The address is... response:	That's too aggressive!
context: Hello?\I'd like an immediate pickup of some unwanted goods!\Yes.\A tent, sleeping bag, and miscellaneous camping gear.\Naoya-kun...\Were you listening to us?\The address is...\That's too aggressive! response:	Why are you stopping me?
context: I'd like an immediate pickup of some unwanted goods!\Yes.\A tent, sleeping bag, and miscellaneous camping gear.\Naoya-kun...\Were you listening to us?\The address is...\That's too aggressive!\Why are you stopping me? response:	Could it be, Saki-chan...
context: Yes.\A tent, sleeping bag, and miscellaneous camping gear.\Naoya-kun...\Were you listening to us?\The address is...\That's too aggressive!\Why are you stopping me?\Could it be, Saki-chan... response:	You're okay with me dating three girls?!
context: A tent, sleeping bag, and miscellaneous camping gear.\Naoya-kun...\Were you listening to us?\The address is...\That's too aggressive!\Why are you stopping me?\Could it be, Saki-chan...\You're okay with me dating three girls?! response:	Of course not!
context: Naoya-kun...\Were you listening to us?\The address is...\That's too aggressive!\Why are you stopping me?\Could it be, Saki-chan...\You're okay with me dating three girls?!\Of course not! response:	Then we have to hurry!
context: Were you listening to us?\The address is...\That's too aggressive!\Why are you stopping me?\Could it be, Saki-chan...\You're okay with me dating three girls?!\Of course not!\Then we have to hurry! response:	Give me back my phone!
context: The address is...\That's too aggressive!\Why are you stopping me?\Could it be, Saki-chan...\You're okay with me dating three girls?!\Of course not!\Then we have to hurry!\Give me back my phone! response:	H-How does that work?!
context: That's too aggressive!\Why are you stopping me?\Could it be, Saki-chan...\You're okay with me dating three girls?!\Of course not!\Then we have to hurry!\Give me back my phone!\H-How does that work?! response:	Naoya-kun, calm down a little.
context: Why are you stopping me?\Could it be, Saki-chan...\You're okay with me dating three girls?!\Of course not!\Then we have to hurry!\Give me back my phone!\H-How does that work?!\Naoya-kun, calm down a little. response:	But...
context: Could it be, Saki-chan...\You're okay with me dating three girls?!\Of course not!\Then we have to hurry!\Give me back my phone!\H-How does that work?!\Naoya-kun, calm down a little.\But... response:	I'm dating two girls!
context: You're okay with me dating three girls?!\Of course not!\Then we have to hurry!\Give me back my phone!\H-How does that work?!\Naoya-kun, calm down a little.\But...\I'm dating two girls! response:	We know that.
context: Of course not!\Then we have to hurry!\Give me back my phone!\H-How does that work?!\Naoya-kun, calm down a little.\But...\I'm dating two girls!\We know that. response:	What are you talking about?
context: Then we have to hurry!\Give me back my phone!\H-How does that work?!\Naoya-kun, calm down a little.\But...\I'm dating two girls!\We know that.\What are you talking about? response:	Don't you worry that if Milika-san stays for too long, I might fall in love with her?
context: Give me back my phone!\H-How does that work?!\Naoya-kun, calm down a little.\But...\I'm dating two girls!\We know that.\What are you talking about?\Don't you worry that if Milika-san stays for too long, I might fall in love with her? response:	W-Well...
context: H-How does that work?!\Naoya-kun, calm down a little.\But...\I'm dating two girls!\We know that.\What are you talking about?\Don't you worry that if Milika-san stays for too long, I might fall in love with her?\W-Well... response:	B-But when she said she'd be your girlfriend, you said no.
context: Naoya-kun, calm down a little.\But...\I'm dating two girls!\We know that.\What are you talking about?\Don't you worry that if Milika-san stays for too long, I might fall in love with her?\W-Well...\B-But when she said she'd be your girlfriend, you said no. response:	I'm just a two-timing asshole, remember?!
context: But...\I'm dating two girls!\We know that.\What are you talking about?\Don't you worry that if Milika-san stays for too long, I might fall in love with her?\W-Well...\B-But when she said she'd be your girlfriend, you said no.\I'm just a two-timing asshole, remember?! response:	Who says that about themselves?!
context: I'm dating two girls!\We know that.\What are you talking about?\Don't you worry that if Milika-san stays for too long, I might fall in love with her?\W-Well...\B-But when she said she'd be your girlfriend, you said no.\I'm just a two-timing asshole, remember?!\Who says that about themselves?! response:	If I were in your shoes, I'd be worried that I might fall for Milika-san.
context: We know that.\What are you talking about?\Don't you worry that if Milika-san stays for too long, I might fall in love with her?\W-Well...\B-But when she said she'd be your girlfriend, you said no.\I'm just a two-timing asshole, remember?!\Who says that about themselves?!\If I were in your shoes, I'd be worried that I might fall for Milika-san. response:	W-Well, I guess...
context: What are you talking about?\Don't you worry that if Milika-san stays for too long, I might fall in love with her?\W-Well...\B-But when she said she'd be your girlfriend, you said no.\I'm just a two-timing asshole, remember?!\Who says that about themselves?!\If I were in your shoes, I'd be worried that I might fall for Milika-san.\W-Well, I guess... response:	In general, someone in my shoes...
context: Don't you worry that if Milika-san stays for too long, I might fall in love with her?\W-Well...\B-But when she said she'd be your girlfriend, you said no.\I'm just a two-timing asshole, remember?!\Who says that about themselves?!\If I were in your shoes, I'd be worried that I might fall for Milika-san.\W-Well, I guess...\In general, someone in my shoes... response:	might be, a little.
context: W-Well...\B-But when she said she'd be your girlfriend, you said no.\I'm just a two-timing asshole, remember?!\Who says that about themselves?!\If I were in your shoes, I'd be worried that I might fall for Milika-san.\W-Well, I guess...\In general, someone in my shoes...\might be, a little. response:	A little?!
context: B-But when she said she'd be your girlfriend, you said no.\I'm just a two-timing asshole, remember?!\Who says that about themselves?!\If I were in your shoes, I'd be worried that I might fall for Milika-san.\W-Well, I guess...\In general, someone in my shoes...\might be, a little.\A little?! response:	I'd be 80 worried that you'd be dating three girls.
context: I'm just a two-timing asshole, remember?!\Who says that about themselves?!\If I were in your shoes, I'd be worried that I might fall for Milika-san.\W-Well, I guess...\In general, someone in my shoes...\might be, a little.\A little?!\I'd be 80 worried that you'd be dating three girls. response:	Right?!
context: Who says that about themselves?!\If I were in your shoes, I'd be worried that I might fall for Milika-san.\W-Well, I guess...\In general, someone in my shoes...\might be, a little.\A little?!\I'd be 80 worried that you'd be dating three girls.\Right?! response:	So we need to hurry!
context: If I were in your shoes, I'd be worried that I might fall for Milika-san.\W-Well, I guess...\In general, someone in my shoes...\might be, a little.\A little?!\I'd be 80 worried that you'd be dating three girls.\Right?!\So we need to hurry! response:	Saki-chan, your phone!
context: W-Well, I guess...\In general, someone in my shoes...\might be, a little.\A little?!\I'd be 80 worried that you'd be dating three girls.\Right?!\So we need to hurry!\Saki-chan, your phone! response:	Relax!
context: In general, someone in my shoes...\might be, a little.\A little?!\I'd be 80 worried that you'd be dating three girls.\Right?!\So we need to hurry!\Saki-chan, your phone!\Relax! response:	That's only in general!
context: might be, a little.\A little?!\I'd be 80 worried that you'd be dating three girls.\Right?!\So we need to hurry!\Saki-chan, your phone!\Relax!\That's only in general! response:	S-Saki-chan...
context: A little?!\I'd be 80 worried that you'd be dating three girls.\Right?!\So we need to hurry!\Saki-chan, your phone!\Relax!\That's only in general!\S-Saki-chan... response:	Exactly.
context: I'd be 80 worried that you'd be dating three girls.\Right?!\So we need to hurry!\Saki-chan, your phone!\Relax!\That's only in general!\S-Saki-chan...\Exactly. response:	It's only been a short while since we started living together,
context: Right?!\So we need to hurry!\Saki-chan, your phone!\Relax!\That's only in general!\S-Saki-chan...\Exactly.\It's only been a short while since we started living together, response:	but we've seen your effort and how serious you are.
context: So we need to hurry!\Saki-chan, your phone!\Relax!\That's only in general!\S-Saki-chan...\Exactly.\It's only been a short while since we started living together,\but we've seen your effort and how serious you are. response:	Besides, you aren't even interested in liking her, are you?
context: Saki-chan, your phone!\Relax!\That's only in general!\S-Saki-chan...\Exactly.\It's only been a short while since we started living together,\but we've seen your effort and how serious you are.\Besides, you aren't even interested in liking her, are you? response:	Of course not.
context: Relax!\That's only in general!\S-Saki-chan...\Exactly.\It's only been a short while since we started living together,\but we've seen your effort and how serious you are.\Besides, you aren't even interested in liking her, are you?\Of course not. response:	But...
context: That's only in general!\S-Saki-chan...\Exactly.\It's only been a short while since we started living together,\but we've seen your effort and how serious you are.\Besides, you aren't even interested in liking her, are you?\Of course not.\But... response:	Then I'm not worried.
context: S-Saki-chan...\Exactly.\It's only been a short while since we started living together,\but we've seen your effort and how serious you are.\Besides, you aren't even interested in liking her, are you?\Of course not.\But...\Then I'm not worried. response:	Minase-san...
context: Exactly.\It's only been a short while since we started living together,\but we've seen your effort and how serious you are.\Besides, you aren't even interested in liking her, are you?\Of course not.\But...\Then I'm not worried.\Minase-san... response:	Yeah.
context: It's only been a short while since we started living together,\but we've seen your effort and how serious you are.\Besides, you aren't even interested in liking her, are you?\Of course not.\But...\Then I'm not worried.\Minase-san...\Yeah. response:	I trust you that much.
context: but we've seen your effort and how serious you are.\Besides, you aren't even interested in liking her, are you?\Of course not.\But...\Then I'm not worried.\Minase-san...\Yeah.\I trust you that much. response:	Saki-chan...
context: Besides, you aren't even interested in liking her, are you?\Of course not.\But...\Then I'm not worried.\Minase-san...\Yeah.\I trust you that much.\Saki-chan... response:	Thanks.
context: Of course not.\But...\Then I'm not worried.\Minase-san...\Yeah.\I trust you that much.\Saki-chan...\Thanks. response:	I'm so glad you're my girlfriends.
context: But...\Then I'm not worried.\Minase-san...\Yeah.\I trust you that much.\Saki-chan...\Thanks.\I'm so glad you're my girlfriends. response:	D-Don't mind it.
context: Then I'm not worried.\Minase-san...\Yeah.\I trust you that much.\Saki-chan...\Thanks.\I'm so glad you're my girlfriends.\D-Don't mind it. response:	So let's take our time.
context: Minase-san...\Yeah.\I trust you that much.\Saki-chan...\Thanks.\I'm so glad you're my girlfriends.\D-Don't mind it.\So let's take our time. response:	But I...
context: Yeah.\I trust you that much.\Saki-chan...\Thanks.\I'm so glad you're my girlfriends.\D-Don't mind it.\So let's take our time.\But I... response:	I don't have the confidence to say I definitely won't fall for her!
context: I trust you that much.\Saki-chan...\Thanks.\I'm so glad you're my girlfriends.\D-Don't mind it.\So let's take our time.\But I...\I don't have the confidence to say I definitely won't fall for her! response:	Yoink.
context: Saki-chan...\Thanks.\I'm so glad you're my girlfriends.\D-Don't mind it.\So let's take our time.\But I...\I don't have the confidence to say I definitely won't fall for her!\Yoink. response:	What the hell is that?!
context: Thanks.\I'm so glad you're my girlfriends.\D-Don't mind it.\So let's take our time.\But I...\I don't have the confidence to say I definitely won't fall for her!\Yoink.\What the hell is that?! response:	But I...
context: I'm so glad you're my girlfriends.\D-Don't mind it.\So let's take our time.\But I...\I don't have the confidence to say I definitely won't fall for her!\Yoink.\What the hell is that?!\But I... response:	I decided I'd cherish you forever.
context: D-Don't mind it.\So let's take our time.\But I...\I don't have the confidence to say I definitely won't fall for her!\Yoink.\What the hell is that?!\But I...\I decided I'd cherish you forever. response:	And yet I fell in love with Minase-san.
context: So let's take our time.\But I...\I don't have the confidence to say I definitely won't fall for her!\Yoink.\What the hell is that?!\But I...\I decided I'd cherish you forever.\And yet I fell in love with Minase-san. response:	I'm a weak-willed loser.
context: But I...\I don't have the confidence to say I definitely won't fall for her!\Yoink.\What the hell is that?!\But I...\I decided I'd cherish you forever.\And yet I fell in love with Minase-san.\I'm a weak-willed loser. response:	I can't ever let myself forget that.
context: I don't have the confidence to say I definitely won't fall for her!\Yoink.\What the hell is that?!\But I...\I decided I'd cherish you forever.\And yet I fell in love with Minase-san.\I'm a weak-willed loser.\I can't ever let myself forget that. response:	I have to keep that in mind when I act.
context: Yoink.\What the hell is that?!\But I...\I decided I'd cherish you forever.\And yet I fell in love with Minase-san.\I'm a weak-willed loser.\I can't ever let myself forget that.\I have to keep that in mind when I act. response:	Milika-san's cute and tough.
context: What the hell is that?!\But I...\I decided I'd cherish you forever.\And yet I fell in love with Minase-san.\I'm a weak-willed loser.\I can't ever let myself forget that.\I have to keep that in mind when I act.\Milika-san's cute and tough. response:	She works hard on her videos, and she gets results.
context: But I...\I decided I'd cherish you forever.\And yet I fell in love with Minase-san.\I'm a weak-willed loser.\I can't ever let myself forget that.\I have to keep that in mind when I act.\Milika-san's cute and tough.\She works hard on her videos, and she gets results. response:	I think she's amazing.
context: I decided I'd cherish you forever.\And yet I fell in love with Minase-san.\I'm a weak-willed loser.\I can't ever let myself forget that.\I have to keep that in mind when I act.\Milika-san's cute and tough.\She works hard on her videos, and she gets results.\I think she's amazing. response:	It's really pathetic, but if she stuck around, I might see more in her...
context: And yet I fell in love with Minase-san.\I'm a weak-willed loser.\I can't ever let myself forget that.\I have to keep that in mind when I act.\Milika-san's cute and tough.\She works hard on her videos, and she gets results.\I think she's amazing.\It's really pathetic, but if she stuck around, I might see more in her... response:	and even fall in love with her.
context: I'm a weak-willed loser.\I can't ever let myself forget that.\I have to keep that in mind when I act.\Milika-san's cute and tough.\She works hard on her videos, and she gets results.\I think she's amazing.\It's really pathetic, but if she stuck around, I might see more in her...\and even fall in love with her. response:	So even if she hates me or gets angry at me...
context: I can't ever let myself forget that.\I have to keep that in mind when I act.\Milika-san's cute and tough.\She works hard on her videos, and she gets results.\I think she's amazing.\It's really pathetic, but if she stuck around, I might see more in her...\and even fall in love with her.\So even if she hates me or gets angry at me... response:	I know I'm pathetic...
context: I have to keep that in mind when I act.\Milika-san's cute and tough.\She works hard on her videos, and she gets results.\I think she's amazing.\It's really pathetic, but if she stuck around, I might see more in her...\and even fall in love with her.\So even if she hates me or gets angry at me...\I know I'm pathetic... response:	I know I'm pathetic, but I want to make an effort to love only you two.
context: Milika-san's cute and tough.\She works hard on her videos, and she gets results.\I think she's amazing.\It's really pathetic, but if she stuck around, I might see more in her...\and even fall in love with her.\So even if she hates me or gets angry at me...\I know I'm pathetic...\I know I'm pathetic, but I want to make an effort to love only you two. response:	Naoya...
context: She works hard on her videos, and she gets results.\I think she's amazing.\It's really pathetic, but if she stuck around, I might see more in her...\and even fall in love with her.\So even if she hates me or gets angry at me...\I know I'm pathetic...\I know I'm pathetic, but I want to make an effort to love only you two.\Naoya... response:	S-Saki-san!
context: I think she's amazing.\It's really pathetic, but if she stuck around, I might see more in her...\and even fall in love with her.\So even if she hates me or gets angry at me...\I know I'm pathetic...\I know I'm pathetic, but I want to make an effort to love only you two.\Naoya...\S-Saki-san! response:	You can't get any more pathetic.
context: It's really pathetic, but if she stuck around, I might see more in her...\and even fall in love with her.\So even if she hates me or gets angry at me...\I know I'm pathetic...\I know I'm pathetic, but I want to make an effort to love only you two.\Naoya...\S-Saki-san!\You can't get any more pathetic. response:	But I'm glad you told me before you fell for her!
context: and even fall in love with her.\So even if she hates me or gets angry at me...\I know I'm pathetic...\I know I'm pathetic, but I want to make an effort to love only you two.\Naoya...\S-Saki-san!\You can't get any more pathetic.\But I'm glad you told me before you fell for her! response:	Saki-chan...
context: So even if she hates me or gets angry at me...\I know I'm pathetic...\I know I'm pathetic, but I want to make an effort to love only you two.\Naoya...\S-Saki-san!\You can't get any more pathetic.\But I'm glad you told me before you fell for her!\Saki-chan... response:	Damn it! Let's drive her out.
context: I know I'm pathetic...\I know I'm pathetic, but I want to make an effort to love only you two.\Naoya...\S-Saki-san!\You can't get any more pathetic.\But I'm glad you told me before you fell for her!\Saki-chan...\Damn it! Let's drive her out. response:	If she gets angry at you, she can get angry at me, too.
context: I know I'm pathetic, but I want to make an effort to love only you two.\Naoya...\S-Saki-san!\You can't get any more pathetic.\But I'm glad you told me before you fell for her!\Saki-chan...\Damn it! Let's drive her out.\If she gets angry at you, she can get angry at me, too. response:	You two...
context: Naoya...\S-Saki-san!\You can't get any more pathetic.\But I'm glad you told me before you fell for her!\Saki-chan...\Damn it! Let's drive her out.\If she gets angry at you, she can get angry at me, too.\You two... response:	Thanks. I'll do it.
context: S-Saki-san!\You can't get any more pathetic.\But I'm glad you told me before you fell for her!\Saki-chan...\Damn it! Let's drive her out.\If she gets angry at you, she can get angry at me, too.\You two...\Thanks. I'll do it. response:	Okay!
