context: what is wrong with you? response:	Are you daily rotating day?
context: This is the secret, true, Kemeto-sama?\Head?\What do you mean, the Secret?\This is the secret between us we are only two, true, Kemeto-sama?\Yup?\Kerio?\What speeches?\my mother and my brother? response:	This sudden, Kerio Have you heard anything?
context: Head?\What do you mean, the Secret?\This is the secret between us we are only two, true, Kemeto-sama?\Yup?\Kerio?\What speeches?\my mother and my brother?\This sudden, Kerio Have you heard anything? response:	I am grateful as well. Are you okay?
context: What do you mean, the Secret?\This is the secret between us we are only two, true, Kemeto-sama?\Yup?\Kerio?\What speeches?\my mother and my brother?\This sudden, Kerio Have you heard anything?\I am grateful as well. Are you okay? response:	A-order?
context: This is the secret between us we are only two, true, Kemeto-sama?\Yup?\Kerio?\What speeches?\my mother and my brother?\This sudden, Kerio Have you heard anything?\I am grateful as well. Are you okay?\A-order? response:	what's your name?
context: Yup?\Kerio?\What speeches?\my mother and my brother?\This sudden, Kerio Have you heard anything?\I am grateful as well. Are you okay?\A-order?\what's your name? response:	Are you sure about this matter? The boy to allow your stay in Sicaen
context: Kerio?\What speeches?\my mother and my brother?\This sudden, Kerio Have you heard anything?\I am grateful as well. Are you okay?\A-order?\what's your name?\Are you sure about this matter? The boy to allow your stay in Sicaen response:	What if you got anything for Rico?
context: What speeches?\my mother and my brother?\This sudden, Kerio Have you heard anything?\I am grateful as well. Are you okay?\A-order?\what's your name?\Are you sure about this matter? The boy to allow your stay in Sicaen\What if you got anything for Rico? response:	And his wife from the offer at the end of last year, right?
context: my mother and my brother?\This sudden, Kerio Have you heard anything?\I am grateful as well. Are you okay?\A-order?\what's your name?\Are you sure about this matter? The boy to allow your stay in Sicaen\What if you got anything for Rico?\And his wife from the offer at the end of last year, right? response:	What's wrong, Rico?
context: This sudden, Kerio Have you heard anything?\I am grateful as well. Are you okay?\A-order?\what's your name?\Are you sure about this matter? The boy to allow your stay in Sicaen\What if you got anything for Rico?\And his wife from the offer at the end of last year, right?\What's wrong, Rico? response:	Kajorzaka-sama
context: I am grateful as well. Are you okay?\A-order?\what's your name?\Are you sure about this matter? The boy to allow your stay in Sicaen\What if you got anything for Rico?\And his wife from the offer at the end of last year, right?\What's wrong, Rico?\Kajorzaka-sama response:	What speeches?
context: A-order?\what's your name?\Are you sure about this matter? The boy to allow your stay in Sicaen\What if you got anything for Rico?\And his wife from the offer at the end of last year, right?\What's wrong, Rico?\Kajorzaka-sama\What speeches? response:	Is this a normal thing?
context: what's your name?\Are you sure about this matter? The boy to allow your stay in Sicaen\What if you got anything for Rico?\And his wife from the offer at the end of last year, right?\What's wrong, Rico?\Kajorzaka-sama\What speeches?\Is this a normal thing? response:	Than you are frustrated?
context: Are you sure about this matter? The boy to allow your stay in Sicaen\What if you got anything for Rico?\And his wife from the offer at the end of last year, right?\What's wrong, Rico?\Kajorzaka-sama\What speeches?\Is this a normal thing?\Than you are frustrated? response:	Not quite this you guys?
context: What if you got anything for Rico?\And his wife from the offer at the end of last year, right?\What's wrong, Rico?\Kajorzaka-sama\What speeches?\Is this a normal thing?\Than you are frustrated?\Not quite this you guys? response:	when?
context: And his wife from the offer at the end of last year, right?\What's wrong, Rico?\Kajorzaka-sama\What speeches?\Is this a normal thing?\Than you are frustrated?\Not quite this you guys?\when? response:	Suddenly they show they say we finished the day after tomorrow we will leave now
context: What's wrong, Rico?\Kajorzaka-sama\What speeches?\Is this a normal thing?\Than you are frustrated?\Not quite this you guys?\when?\Suddenly they show they say we finished the day after tomorrow we will leave now response:	While ignoring all her wishes, this can not be true, is not it?
context: Kajorzaka-sama\What speeches?\Is this a normal thing?\Than you are frustrated?\Not quite this you guys?\when?\Suddenly they show they say we finished the day after tomorrow we will leave now\While ignoring all her wishes, this can not be true, is not it? response:	Will you continue with this and Ttjozon?
context: What speeches?\Is this a normal thing?\Than you are frustrated?\Not quite this you guys?\when?\Suddenly they show they say we finished the day after tomorrow we will leave now\While ignoring all her wishes, this can not be true, is not it?\Will you continue with this and Ttjozon? response:	Ah, do you think about cutting engagement Rico-sama by accident?
context: Is this a normal thing?\Than you are frustrated?\Not quite this you guys?\when?\Suddenly they show they say we finished the day after tomorrow we will leave now\While ignoring all her wishes, this can not be true, is not it?\Will you continue with this and Ttjozon?\Ah, do you think about cutting engagement Rico-sama by accident? response:	Huh?
context: Than you are frustrated?\Not quite this you guys?\when?\Suddenly they show they say we finished the day after tomorrow we will leave now\While ignoring all her wishes, this can not be true, is not it?\Will you continue with this and Ttjozon?\Ah, do you think about cutting engagement Rico-sama by accident?\Huh? response:	How can you be sure?
context: Not quite this you guys?\when?\Suddenly they show they say we finished the day after tomorrow we will leave now\While ignoring all her wishes, this can not be true, is not it?\Will you continue with this and Ttjozon?\Ah, do you think about cutting engagement Rico-sama by accident?\Huh?\How can you be sure? response:	Well, Kemeto What do you do?
context: when?\Suddenly they show they say we finished the day after tomorrow we will leave now\While ignoring all her wishes, this can not be true, is not it?\Will you continue with this and Ttjozon?\Ah, do you think about cutting engagement Rico-sama by accident?\Huh?\How can you be sure?\Well, Kemeto What do you do? response:	who is this?
context: Suddenly they show they say we finished the day after tomorrow we will leave now\While ignoring all her wishes, this can not be true, is not it?\Will you continue with this and Ttjozon?\Ah, do you think about cutting engagement Rico-sama by accident?\Huh?\How can you be sure?\Well, Kemeto What do you do?\who is this? response:	Brother Arzogaoa-san?
context: While ignoring all her wishes, this can not be true, is not it?\Will you continue with this and Ttjozon?\Ah, do you think about cutting engagement Rico-sama by accident?\Huh?\How can you be sure?\Well, Kemeto What do you do?\who is this?\Brother Arzogaoa-san? response:	Well-h..
context: Will you continue with this and Ttjozon?\Ah, do you think about cutting engagement Rico-sama by accident?\Huh?\How can you be sure?\Well, Kemeto What do you do?\who is this?\Brother Arzogaoa-san?\Well-h.. response:	What phone do not have the type of Gelabulsaaz?
context: Ah, do you think about cutting engagement Rico-sama by accident?\Huh?\How can you be sure?\Well, Kemeto What do you do?\who is this?\Brother Arzogaoa-san?\Well-h..\What phone do not have the type of Gelabulsaaz? response:	Is this something worth anger?
context: Huh?\How can you be sure?\Well, Kemeto What do you do?\who is this?\Brother Arzogaoa-san?\Well-h..\What phone do not have the type of Gelabulsaaz?\Is this something worth anger? response:	Huh? What happened, according to?
context: How can you be sure?\Well, Kemeto What do you do?\who is this?\Brother Arzogaoa-san?\Well-h..\What phone do not have the type of Gelabulsaaz?\Is this something worth anger?\Huh? What happened, according to? response:	Kemeto What about the club commoner?
context: Well, Kemeto What do you do?\who is this?\Brother Arzogaoa-san?\Well-h..\What phone do not have the type of Gelabulsaaz?\Is this something worth anger?\Huh? What happened, according to?\Kemeto What about the club commoner? response:	Huh?
context: who is this?\Brother Arzogaoa-san?\Well-h..\What phone do not have the type of Gelabulsaaz?\Is this something worth anger?\Huh? What happened, according to?\Kemeto What about the club commoner?\Huh? response:	Modern Literature
context: Brother Arzogaoa-san?\Well-h..\What phone do not have the type of Gelabulsaaz?\Is this something worth anger?\Huh? What happened, according to?\Kemeto What about the club commoner?\Huh?\Modern Literature response:	For-not as if I or destabilize them sad or anything like that, okay?
context: Well-h..\What phone do not have the type of Gelabulsaaz?\Is this something worth anger?\Huh? What happened, according to?\Kemeto What about the club commoner?\Huh?\Modern Literature\For-not as if I or destabilize them sad or anything like that, okay? response:	As you know... the fall of the club commoner
context: What phone do not have the type of Gelabulsaaz?\Is this something worth anger?\Huh? What happened, according to?\Kemeto What about the club commoner?\Huh?\Modern Literature\For-not as if I or destabilize them sad or anything like that, okay?\As you know... the fall of the club commoner response:	Arzogaoa is not in Seiken, how you plan to talk to them?
context: Is this something worth anger?\Huh? What happened, according to?\Kemeto What about the club commoner?\Huh?\Modern Literature\For-not as if I or destabilize them sad or anything like that, okay?\As you know... the fall of the club commoner\Arzogaoa is not in Seiken, how you plan to talk to them? response:	Ah, Ricoh phone at school and by, huh?
context: Huh? What happened, according to?\Kemeto What about the club commoner?\Huh?\Modern Literature\For-not as if I or destabilize them sad or anything like that, okay?\As you know... the fall of the club commoner\Arzogaoa is not in Seiken, how you plan to talk to them?\Ah, Ricoh phone at school and by, huh? response:	Incoming call
context: Kemeto What about the club commoner?\Huh?\Modern Literature\For-not as if I or destabilize them sad or anything like that, okay?\As you know... the fall of the club commoner\Arzogaoa is not in Seiken, how you plan to talk to them?\Ah, Ricoh phone at school and by, huh?\Incoming call response:	Hi?
context: Huh?\Modern Literature\For-not as if I or destabilize them sad or anything like that, okay?\As you know... the fall of the club commoner\Arzogaoa is not in Seiken, how you plan to talk to them?\Ah, Ricoh phone at school and by, huh?\Incoming call\Hi? response:	I can question related?
context: Modern Literature\For-not as if I or destabilize them sad or anything like that, okay?\As you know... the fall of the club commoner\Arzogaoa is not in Seiken, how you plan to talk to them?\Ah, Ricoh phone at school and by, huh?\Incoming call\Hi?\I can question related? response:	Ica-sama?
context: For-not as if I or destabilize them sad or anything like that, okay?\As you know... the fall of the club commoner\Arzogaoa is not in Seiken, how you plan to talk to them?\Ah, Ricoh phone at school and by, huh?\Incoming call\Hi?\I can question related?\Ica-sama? response:	I heard from Kemeto
context: As you know... the fall of the club commoner\Arzogaoa is not in Seiken, how you plan to talk to them?\Ah, Ricoh phone at school and by, huh?\Incoming call\Hi?\I can question related?\Ica-sama?\I heard from Kemeto response:	What he said Kemeto-sama?
context: Arzogaoa is not in Seiken, how you plan to talk to them?\Ah, Ricoh phone at school and by, huh?\Incoming call\Hi?\I can question related?\Ica-sama?\I heard from Kemeto\What he said Kemeto-sama? response:	And..?
context: Ah, Ricoh phone at school and by, huh?\Incoming call\Hi?\I can question related?\Ica-sama?\I heard from Kemeto\What he said Kemeto-sama?\And..? response:	I see
context: Incoming call\Hi?\I can question related?\Ica-sama?\I heard from Kemeto\What he said Kemeto-sama?\And..?\I see response:	So what would you do?
context: Hi?\I can question related?\Ica-sama?\I heard from Kemeto\What he said Kemeto-sama?\And..?\I see\So what would you do? response:	Vmphaaudhat marriage This is also the same, right?
context: I can question related?\Ica-sama?\I heard from Kemeto\What he said Kemeto-sama?\And..?\I see\So what would you do?\Vmphaaudhat marriage This is also the same, right? response:	Arzogaoa family respects the traditions
context: Ica-sama?\I heard from Kemeto\What he said Kemeto-sama?\And..?\I see\So what would you do?\Vmphaaudhat marriage This is also the same, right?\Arzogaoa family respects the traditions response:	This is the first time we talk over the phone, Ica-sama
context: I heard from Kemeto\What he said Kemeto-sama?\And..?\I see\So what would you do?\Vmphaaudhat marriage This is also the same, right?\Arzogaoa family respects the traditions\This is the first time we talk over the phone, Ica-sama response:	Who said that?
context: What he said Kemeto-sama?\And..?\I see\So what would you do?\Vmphaaudhat marriage This is also the same, right?\Arzogaoa family respects the traditions\This is the first time we talk over the phone, Ica-sama\Who said that? response:	If I left it with me it will share in the coming sports hall or in the next picnic?
context: And..?\I see\So what would you do?\Vmphaaudhat marriage This is also the same, right?\Arzogaoa family respects the traditions\This is the first time we talk over the phone, Ica-sama\Who said that?\If I left it with me it will share in the coming sports hall or in the next picnic? response:	We will something, okay?
context: I see\So what would you do?\Vmphaaudhat marriage This is also the same, right?\Arzogaoa family respects the traditions\This is the first time we talk over the phone, Ica-sama\Who said that?\If I left it with me it will share in the coming sports hall or in the next picnic?\We will something, okay? response:	What speeches?
context: So what would you do?\Vmphaaudhat marriage This is also the same, right?\Arzogaoa family respects the traditions\This is the first time we talk over the phone, Ica-sama\Who said that?\If I left it with me it will share in the coming sports hall or in the next picnic?\We will something, okay?\What speeches? response:	Is it about Arzogaoa-san?
context: Vmphaaudhat marriage This is also the same, right?\Arzogaoa family respects the traditions\This is the first time we talk over the phone, Ica-sama\Who said that?\If I left it with me it will share in the coming sports hall or in the next picnic?\We will something, okay?\What speeches?\Is it about Arzogaoa-san? response:	Huh?
context: Arzogaoa family respects the traditions\This is the first time we talk over the phone, Ica-sama\Who said that?\If I left it with me it will share in the coming sports hall or in the next picnic?\We will something, okay?\What speeches?\Is it about Arzogaoa-san?\Huh? response:	Rico said she did not want to get out
context: This is the first time we talk over the phone, Ica-sama\Who said that?\If I left it with me it will share in the coming sports hall or in the next picnic?\We will something, okay?\What speeches?\Is it about Arzogaoa-san?\Huh?\Rico said she did not want to get out response:	Direct appeal? but how?
context: Who said that?\If I left it with me it will share in the coming sports hall or in the next picnic?\We will something, okay?\What speeches?\Is it about Arzogaoa-san?\Huh?\Rico said she did not want to get out\Direct appeal? but how? response:	Soqlk to my car and take you where I want you to cut off the engagement
context: If I left it with me it will share in the coming sports hall or in the next picnic?\We will something, okay?\What speeches?\Is it about Arzogaoa-san?\Huh?\Rico said she did not want to get out\Direct appeal? but how?\Soqlk to my car and take you where I want you to cut off the engagement response:	He wants us to cut off this engagement?
context: We will something, okay?\What speeches?\Is it about Arzogaoa-san?\Huh?\Rico said she did not want to get out\Direct appeal? but how?\Soqlk to my car and take you where I want you to cut off the engagement\He wants us to cut off this engagement? response:	Here you have the courage? The engagement between the Conwy cut off all family and Arzogaoa?
context: What speeches?\Is it about Arzogaoa-san?\Huh?\Rico said she did not want to get out\Direct appeal? but how?\Soqlk to my car and take you where I want you to cut off the engagement\He wants us to cut off this engagement?\Here you have the courage? The engagement between the Conwy cut off all family and Arzogaoa? response:	This is absolutely true
context: Is it about Arzogaoa-san?\Huh?\Rico said she did not want to get out\Direct appeal? but how?\Soqlk to my car and take you where I want you to cut off the engagement\He wants us to cut off this engagement?\Here you have the courage? The engagement between the Conwy cut off all family and Arzogaoa?\This is absolutely true response:	Where do you think you are going?
context: Huh?\Rico said she did not want to get out\Direct appeal? but how?\Soqlk to my car and take you where I want you to cut off the engagement\He wants us to cut off this engagement?\Here you have the courage? The engagement between the Conwy cut off all family and Arzogaoa?\This is absolutely true\Where do you think you are going? response:	To try to explain the joints of the muscles in women, is not it?
context: Rico said she did not want to get out\Direct appeal? but how?\Soqlk to my car and take you where I want you to cut off the engagement\He wants us to cut off this engagement?\Here you have the courage? The engagement between the Conwy cut off all family and Arzogaoa?\This is absolutely true\Where do you think you are going?\To try to explain the joints of the muscles in women, is not it? response:	So what exactly?
context: Direct appeal? but how?\Soqlk to my car and take you where I want you to cut off the engagement\He wants us to cut off this engagement?\Here you have the courage? The engagement between the Conwy cut off all family and Arzogaoa?\This is absolutely true\Where do you think you are going?\To try to explain the joints of the muscles in women, is not it?\So what exactly? response:	It's the club's activities commoner?
context: Soqlk to my car and take you where I want you to cut off the engagement\He wants us to cut off this engagement?\Here you have the courage? The engagement between the Conwy cut off all family and Arzogaoa?\This is absolutely true\Where do you think you are going?\To try to explain the joints of the muscles in women, is not it?\So what exactly?\It's the club's activities commoner? response:	Perhaps the request of something?
context: He wants us to cut off this engagement?\Here you have the courage? The engagement between the Conwy cut off all family and Arzogaoa?\This is absolutely true\Where do you think you are going?\To try to explain the joints of the muscles in women, is not it?\So what exactly?\It's the club's activities commoner?\Perhaps the request of something? response:	Huh?
context: Here you have the courage? The engagement between the Conwy cut off all family and Arzogaoa?\This is absolutely true\Where do you think you are going?\To try to explain the joints of the muscles in women, is not it?\So what exactly?\It's the club's activities commoner?\Perhaps the request of something?\Huh? response:	Is this the reason?
context: This is absolutely true\Where do you think you are going?\To try to explain the joints of the muscles in women, is not it?\So what exactly?\It's the club's activities commoner?\Perhaps the request of something?\Huh?\Is this the reason? response:	What is that?
context: Where do you think you are going?\To try to explain the joints of the muscles in women, is not it?\So what exactly?\It's the club's activities commoner?\Perhaps the request of something?\Huh?\Is this the reason?\What is that? response:	I thought I understood the ethics of all this world expanding
context: To try to explain the joints of the muscles in women, is not it?\So what exactly?\It's the club's activities commoner?\Perhaps the request of something?\Huh?\Is this the reason?\What is that?\I thought I understood the ethics of all this world expanding response:	I thought so it's enough to follow what leads me to him daily
context: So what exactly?\It's the club's activities commoner?\Perhaps the request of something?\Huh?\Is this the reason?\What is that?\I thought I understood the ethics of all this world expanding\I thought so it's enough to follow what leads me to him daily response:	Feelings that can not be predicted, and the usefulness of the guide
context: It's the club's activities commoner?\Perhaps the request of something?\Huh?\Is this the reason?\What is that?\I thought I understood the ethics of all this world expanding\I thought so it's enough to follow what leads me to him daily\Feelings that can not be predicted, and the usefulness of the guide response:	The dividing line between the cheek mixing red, dark blue
context: Perhaps the request of something?\Huh?\Is this the reason?\What is that?\I thought I understood the ethics of all this world expanding\I thought so it's enough to follow what leads me to him daily\Feelings that can not be predicted, and the usefulness of the guide\The dividing line between the cheek mixing red, dark blue response:	And before I know about it, it made it hard to say inside or outside my heart
context: Huh?\Is this the reason?\What is that?\I thought I understood the ethics of all this world expanding\I thought so it's enough to follow what leads me to him daily\Feelings that can not be predicted, and the usefulness of the guide\The dividing line between the cheek mixing red, dark blue\And before I know about it, it made it hard to say inside or outside my heart response:	Do not disappear in the twilight, near to see what it all I
context: Is this the reason?\What is that?\I thought I understood the ethics of all this world expanding\I thought so it's enough to follow what leads me to him daily\Feelings that can not be predicted, and the usefulness of the guide\The dividing line between the cheek mixing red, dark blue\And before I know about it, it made it hard to say inside or outside my heart\Do not disappear in the twilight, near to see what it all I response:	I'm sure that everything will be an opportunity to love
context: What is that?\I thought I understood the ethics of all this world expanding\I thought so it's enough to follow what leads me to him daily\Feelings that can not be predicted, and the usefulness of the guide\The dividing line between the cheek mixing red, dark blue\And before I know about it, it made it hard to say inside or outside my heart\Do not disappear in the twilight, near to see what it all I\I'm sure that everything will be an opportunity to love response:	Bring your tears and your dreams, which are forced to hide your smile Well?
context: I thought I understood the ethics of all this world expanding\I thought so it's enough to follow what leads me to him daily\Feelings that can not be predicted, and the usefulness of the guide\The dividing line between the cheek mixing red, dark blue\And before I know about it, it made it hard to say inside or outside my heart\Do not disappear in the twilight, near to see what it all I\I'm sure that everything will be an opportunity to love\Bring your tears and your dreams, which are forced to hide your smile Well? response:	I will come to you days that you will Mhassoda everyone
context: I thought so it's enough to follow what leads me to him daily\Feelings that can not be predicted, and the usefulness of the guide\The dividing line between the cheek mixing red, dark blue\And before I know about it, it made it hard to say inside or outside my heart\Do not disappear in the twilight, near to see what it all I\I'm sure that everything will be an opportunity to love\Bring your tears and your dreams, which are forced to hide your smile Well?\I will come to you days that you will Mhassoda everyone response:	Translation of Vergil vergil-sub.blogspot.com
context: Feelings that can not be predicted, and the usefulness of the guide\The dividing line between the cheek mixing red, dark blue\And before I know about it, it made it hard to say inside or outside my heart\Do not disappear in the twilight, near to see what it all I\I'm sure that everything will be an opportunity to love\Bring your tears and your dreams, which are forced to hide your smile Well?\I will come to you days that you will Mhassoda everyone\Translation of Vergil vergil-sub.blogspot.com response:	Translation of Vergil vergil-sub.blogspot.com
context: The dividing line between the cheek mixing red, dark blue\And before I know about it, it made it hard to say inside or outside my heart\Do not disappear in the twilight, near to see what it all I\I'm sure that everything will be an opportunity to love\Bring your tears and your dreams, which are forced to hide your smile Well?\I will come to you days that you will Mhassoda everyone\Translation of Vergil vergil-sub.blogspot.com\Translation of Vergil vergil-sub.blogspot.com response:	Such as the kind of love Confect
context: And before I know about it, it made it hard to say inside or outside my heart\Do not disappear in the twilight, near to see what it all I\I'm sure that everything will be an opportunity to love\Bring your tears and your dreams, which are forced to hide your smile Well?\I will come to you days that you will Mhassoda everyone\Translation of Vergil vergil-sub.blogspot.com\Translation of Vergil vergil-sub.blogspot.com\Such as the kind of love Confect response:	Which melt in my mouth
context: Do not disappear in the twilight, near to see what it all I\I'm sure that everything will be an opportunity to love\Bring your tears and your dreams, which are forced to hide your smile Well?\I will come to you days that you will Mhassoda everyone\Translation of Vergil vergil-sub.blogspot.com\Translation of Vergil vergil-sub.blogspot.com\Such as the kind of love Confect\Which melt in my mouth response:	Pulse in my heart
context: I'm sure that everything will be an opportunity to love\Bring your tears and your dreams, which are forced to hide your smile Well?\I will come to you days that you will Mhassoda everyone\Translation of Vergil vergil-sub.blogspot.com\Translation of Vergil vergil-sub.blogspot.com\Such as the kind of love Confect\Which melt in my mouth\Pulse in my heart response:	Sweet and puzzling
context: Bring your tears and your dreams, which are forced to hide your smile Well?\I will come to you days that you will Mhassoda everyone\Translation of Vergil vergil-sub.blogspot.com\Translation of Vergil vergil-sub.blogspot.com\Such as the kind of love Confect\Which melt in my mouth\Pulse in my heart\Sweet and puzzling response:	I am ready to go for this
context: I will come to you days that you will Mhassoda everyone\Translation of Vergil vergil-sub.blogspot.com\Translation of Vergil vergil-sub.blogspot.com\Such as the kind of love Confect\Which melt in my mouth\Pulse in my heart\Sweet and puzzling\I am ready to go for this response:	I love thee, O
context: Translation of Vergil vergil-sub.blogspot.com\Translation of Vergil vergil-sub.blogspot.com\Such as the kind of love Confect\Which melt in my mouth\Pulse in my heart\Sweet and puzzling\I am ready to go for this\I love thee, O response:	I will give you all the feelings of my heart
context: Translation of Vergil vergil-sub.blogspot.com\Such as the kind of love Confect\Which melt in my mouth\Pulse in my heart\Sweet and puzzling\I am ready to go for this\I love thee, O\I will give you all the feelings of my heart response:	I am deeply fascinated by the commoners
context: Such as the kind of love Confect\Which melt in my mouth\Pulse in my heart\Sweet and puzzling\I am ready to go for this\I love thee, O\I will give you all the feelings of my heart\I am deeply fascinated by the commoners response:	I Odrsk every day
context: Which melt in my mouth\Pulse in my heart\Sweet and puzzling\I am ready to go for this\I love thee, O\I will give you all the feelings of my heart\I am deeply fascinated by the commoners\I Odrsk every day response:	You did not pick up telepathically so far?
context: Pulse in my heart\Sweet and puzzling\I am ready to go for this\I love thee, O\I will give you all the feelings of my heart\I am deeply fascinated by the commoners\I Odrsk every day\You did not pick up telepathically so far? response:	what are you? cool?
