context: Who's there?! response:	Gretto,
context: I don't know about that.\But if it's a way to come near to the secrets of the grand panacea,\then I don't think there's anything we can do about-\I don't necessarily think that eternal life would be a marvelous thing.\Even with just this limited life, as long as I'm with you, Sylvie...\If I am granted eternal life,\then I won't be scared, as long as I'm with you.\Sylvie... response:	You accept that man?!
context: But if it's a way to come near to the secrets of the grand panacea,\then I don't think there's anything we can do about-\I don't necessarily think that eternal life would be a marvelous thing.\Even with just this limited life, as long as I'm with you, Sylvie...\If I am granted eternal life,\then I won't be scared, as long as I'm with you.\Sylvie...\You accept that man?! response:	Maiza- dono is outstanding.
context: then I don't think there's anything we can do about-\I don't necessarily think that eternal life would be a marvelous thing.\Even with just this limited life, as long as I'm with you, Sylvie...\If I am granted eternal life,\then I won't be scared, as long as I'm with you.\Sylvie...\You accept that man?!\Maiza- dono is outstanding. response:	It is patently heretical for an alchemist to summon a devil!
context: I don't necessarily think that eternal life would be a marvelous thing.\Even with just this limited life, as long as I'm with you, Sylvie...\If I am granted eternal life,\then I won't be scared, as long as I'm with you.\Sylvie...\You accept that man?!\Maiza- dono is outstanding.\It is patently heretical for an alchemist to summon a devil! response:	This is unexpected, for someone as inquisitive as you are.
context: Even with just this limited life, as long as I'm with you, Sylvie...\If I am granted eternal life,\then I won't be scared, as long as I'm with you.\Sylvie...\You accept that man?!\Maiza- dono is outstanding.\It is patently heretical for an alchemist to summon a devil!\This is unexpected, for someone as inquisitive as you are. response:	The grand panacea is every alchemist's dream.
context: If I am granted eternal life,\then I won't be scared, as long as I'm with you.\Sylvie...\You accept that man?!\Maiza- dono is outstanding.\It is patently heretical for an alchemist to summon a devil!\This is unexpected, for someone as inquisitive as you are.\The grand panacea is every alchemist's dream. response:	Even if it means devils, if we are able to obtain it,
context: then I won't be scared, as long as I'm with you.\Sylvie...\You accept that man?!\Maiza- dono is outstanding.\It is patently heretical for an alchemist to summon a devil!\This is unexpected, for someone as inquisitive as you are.\The grand panacea is every alchemist's dream.\Even if it means devils, if we are able to obtain it, response:	the history of mankind will be changed.
context: Sylvie...\You accept that man?!\Maiza- dono is outstanding.\It is patently heretical for an alchemist to summon a devil!\This is unexpected, for someone as inquisitive as you are.\The grand panacea is every alchemist's dream.\Even if it means devils, if we are able to obtain it,\the history of mankind will be changed. response:	Obviously, it's a bunch of nonsense!
context: You accept that man?!\Maiza- dono is outstanding.\It is patently heretical for an alchemist to summon a devil!\This is unexpected, for someone as inquisitive as you are.\The grand panacea is every alchemist's dream.\Even if it means devils, if we are able to obtain it,\the history of mankind will be changed.\Obviously, it's a bunch of nonsense! response:	But what if it's true?
context: Maiza- dono is outstanding.\It is patently heretical for an alchemist to summon a devil!\This is unexpected, for someone as inquisitive as you are.\The grand panacea is every alchemist's dream.\Even if it means devils, if we are able to obtain it,\the history of mankind will be changed.\Obviously, it's a bunch of nonsense!\But what if it's true? response:	Maiza could be a great alchemist, on the level of Synesius, or Zosimos.
context: It is patently heretical for an alchemist to summon a devil!\This is unexpected, for someone as inquisitive as you are.\The grand panacea is every alchemist's dream.\Even if it means devils, if we are able to obtain it,\the history of mankind will be changed.\Obviously, it's a bunch of nonsense!\But what if it's true?\Maiza could be a great alchemist, on the level of Synesius, or Zosimos. response:	Everyone, smile!
context: This is unexpected, for someone as inquisitive as you are.\The grand panacea is every alchemist's dream.\Even if it means devils, if we are able to obtain it,\the history of mankind will be changed.\Obviously, it's a bunch of nonsense!\But what if it's true?\Maiza could be a great alchemist, on the level of Synesius, or Zosimos.\Everyone, smile! response:	Smiling faces, smiling faces!
context: The grand panacea is every alchemist's dream.\Even if it means devils, if we are able to obtain it,\the history of mankind will be changed.\Obviously, it's a bunch of nonsense!\But what if it's true?\Maiza could be a great alchemist, on the level of Synesius, or Zosimos.\Everyone, smile!\Smiling faces, smiling faces! response:	There is nothing to be afraid of.
context: Even if it means devils, if we are able to obtain it,\the history of mankind will be changed.\Obviously, it's a bunch of nonsense!\But what if it's true?\Maiza could be a great alchemist, on the level of Synesius, or Zosimos.\Everyone, smile!\Smiling faces, smiling faces!\There is nothing to be afraid of. response:	Huey...
context: the history of mankind will be changed.\Obviously, it's a bunch of nonsense!\But what if it's true?\Maiza could be a great alchemist, on the level of Synesius, or Zosimos.\Everyone, smile!\Smiling faces, smiling faces!\There is nothing to be afraid of.\Huey... response:	That which is below is like that which is above,
context: Obviously, it's a bunch of nonsense!\But what if it's true?\Maiza could be a great alchemist, on the level of Synesius, or Zosimos.\Everyone, smile!\Smiling faces, smiling faces!\There is nothing to be afraid of.\Huey...\That which is below is like that which is above, response:	and that which is above is like that which is below
context: But what if it's true?\Maiza could be a great alchemist, on the level of Synesius, or Zosimos.\Everyone, smile!\Smiling faces, smiling faces!\There is nothing to be afraid of.\Huey...\That which is below is like that which is above,\and that which is above is like that which is below response:	to do the miracles of one only thing.
context: Maiza could be a great alchemist, on the level of Synesius, or Zosimos.\Everyone, smile!\Smiling faces, smiling faces!\There is nothing to be afraid of.\Huey...\That which is below is like that which is above,\and that which is above is like that which is below\to do the miracles of one only thing. response:	And as all things have been and arose from one
context: Everyone, smile!\Smiling faces, smiling faces!\There is nothing to be afraid of.\Huey...\That which is below is like that which is above,\and that which is above is like that which is below\to do the miracles of one only thing.\And as all things have been and arose from one response:	by the meditation of one
context: Smiling faces, smiling faces!\There is nothing to be afraid of.\Huey...\That which is below is like that which is above,\and that which is above is like that which is below\to do the miracles of one only thing.\And as all things have been and arose from one\by the meditation of one response:	so all things have their birth from this one thing by adaptation.
context: There is nothing to be afraid of.\Huey...\That which is below is like that which is above,\and that which is above is like that which is below\to do the miracles of one only thing.\And as all things have been and arose from one\by the meditation of one\so all things have their birth from this one thing by adaptation. response:	That is correct.
context: Huey...\That which is below is like that which is above,\and that which is above is like that which is below\to do the miracles of one only thing.\And as all things have been and arose from one\by the meditation of one\so all things have their birth from this one thing by adaptation.\That is correct. response:	Everything is linked in one, and the circle is closed.
context: That which is below is like that which is above,\and that which is above is like that which is below\to do the miracles of one only thing.\And as all things have been and arose from one\by the meditation of one\so all things have their birth from this one thing by adaptation.\That is correct.\Everything is linked in one, and the circle is closed. response:	The devil that we think of may not necessarily be, in fact, evil.
context: and that which is above is like that which is below\to do the miracles of one only thing.\And as all things have been and arose from one\by the meditation of one\so all things have their birth from this one thing by adaptation.\That is correct.\Everything is linked in one, and the circle is closed.\The devil that we think of may not necessarily be, in fact, evil. response:	When an alchemist tries his hand in the realm of the black magician,
context: to do the miracles of one only thing.\And as all things have been and arose from one\by the meditation of one\so all things have their birth from this one thing by adaptation.\That is correct.\Everything is linked in one, and the circle is closed.\The devil that we think of may not necessarily be, in fact, evil.\When an alchemist tries his hand in the realm of the black magician, response:	everything becomes linked in one.
context: And as all things have been and arose from one\by the meditation of one\so all things have their birth from this one thing by adaptation.\That is correct.\Everything is linked in one, and the circle is closed.\The devil that we think of may not necessarily be, in fact, evil.\When an alchemist tries his hand in the realm of the black magician,\everything becomes linked in one. response:	Huey, you aren't worried?
context: by the meditation of one\so all things have their birth from this one thing by adaptation.\That is correct.\Everything is linked in one, and the circle is closed.\The devil that we think of may not necessarily be, in fact, evil.\When an alchemist tries his hand in the realm of the black magician,\everything becomes linked in one.\Huey, you aren't worried? response:	Worried? No, I am just very interested.
context: so all things have their birth from this one thing by adaptation.\That is correct.\Everything is linked in one, and the circle is closed.\The devil that we think of may not necessarily be, in fact, evil.\When an alchemist tries his hand in the realm of the black magician,\everything becomes linked in one.\Huey, you aren't worried?\Worried? No, I am just very interested. response:	About devils, the grand panacea,
context: That is correct.\Everything is linked in one, and the circle is closed.\The devil that we think of may not necessarily be, in fact, evil.\When an alchemist tries his hand in the realm of the black magician,\everything becomes linked in one.\Huey, you aren't worried?\Worried? No, I am just very interested.\About devils, the grand panacea, response:	how people will be changed by them, and how they will live.
context: Everything is linked in one, and the circle is closed.\The devil that we think of may not necessarily be, in fact, evil.\When an alchemist tries his hand in the realm of the black magician,\everything becomes linked in one.\Huey, you aren't worried?\Worried? No, I am just very interested.\About devils, the grand panacea,\how people will be changed by them, and how they will live. response:	I'm just very interested in it all.
context: The devil that we think of may not necessarily be, in fact, evil.\When an alchemist tries his hand in the realm of the black magician,\everything becomes linked in one.\Huey, you aren't worried?\Worried? No, I am just very interested.\About devils, the grand panacea,\how people will be changed by them, and how they will live.\I'm just very interested in it all. response:	I look forward to it.
context: When an alchemist tries his hand in the realm of the black magician,\everything becomes linked in one.\Huey, you aren't worried?\Worried? No, I am just very interested.\About devils, the grand panacea,\how people will be changed by them, and how they will live.\I'm just very interested in it all.\I look forward to it. response:	Would you bring everyone here?
context: everything becomes linked in one.\Huey, you aren't worried?\Worried? No, I am just very interested.\About devils, the grand panacea,\how people will be changed by them, and how they will live.\I'm just very interested in it all.\I look forward to it.\Would you bring everyone here? response:	Only his clothes were lying there.
context: Huey, you aren't worried?\Worried? No, I am just very interested.\About devils, the grand panacea,\how people will be changed by them, and how they will live.\I'm just very interested in it all.\I look forward to it.\Would you bring everyone here?\Only his clothes were lying there. response:	There was no sign of Pierre.
context: Worried? No, I am just very interested.\About devils, the grand panacea,\how people will be changed by them, and how they will live.\I'm just very interested in it all.\I look forward to it.\Would you bring everyone here?\Only his clothes were lying there.\There was no sign of Pierre. response:	Or Italo.
context: About devils, the grand panacea,\how people will be changed by them, and how they will live.\I'm just very interested in it all.\I look forward to it.\Would you bring everyone here?\Only his clothes were lying there.\There was no sign of Pierre.\Or Italo. response:	Italo is gone, too.
context: how people will be changed by them, and how they will live.\I'm just very interested in it all.\I look forward to it.\Would you bring everyone here?\Only his clothes were lying there.\There was no sign of Pierre.\Or Italo.\Italo is gone, too. response:	What's going on?
context: I'm just very interested in it all.\I look forward to it.\Would you bring everyone here?\Only his clothes were lying there.\There was no sign of Pierre.\Or Italo.\Italo is gone, too.\What's going on? response:	I don't know if what I am about to perform
context: I look forward to it.\Would you bring everyone here?\Only his clothes were lying there.\There was no sign of Pierre.\Or Italo.\Italo is gone, too.\What's going on?\I don't know if what I am about to perform response:	is the right thing for me, or for all of us together.
context: Would you bring everyone here?\Only his clothes were lying there.\There was no sign of Pierre.\Or Italo.\Italo is gone, too.\What's going on?\I don't know if what I am about to perform\is the right thing for me, or for all of us together. response:	The one who passed this on to me was a man
context: Only his clothes were lying there.\There was no sign of Pierre.\Or Italo.\Italo is gone, too.\What's going on?\I don't know if what I am about to perform\is the right thing for me, or for all of us together.\The one who passed this on to me was a man response:	who once undertook the same school of alchemy that I have.
context: There was no sign of Pierre.\Or Italo.\Italo is gone, too.\What's going on?\I don't know if what I am about to perform\is the right thing for me, or for all of us together.\The one who passed this on to me was a man\who once undertook the same school of alchemy that I have. response:	The man had not aged a day since my grandfather's time.
context: Or Italo.\Italo is gone, too.\What's going on?\I don't know if what I am about to perform\is the right thing for me, or for all of us together.\The one who passed this on to me was a man\who once undertook the same school of alchemy that I have.\The man had not aged a day since my grandfather's time. response:	This is because 300 years ago, he successfully summoned a devil,
context: Italo is gone, too.\What's going on?\I don't know if what I am about to perform\is the right thing for me, or for all of us together.\The one who passed this on to me was a man\who once undertook the same school of alchemy that I have.\The man had not aged a day since my grandfather's time.\This is because 300 years ago, he successfully summoned a devil, response:	and was successful in obtaining the grand panacea.
context: What's going on?\I don't know if what I am about to perform\is the right thing for me, or for all of us together.\The one who passed this on to me was a man\who once undertook the same school of alchemy that I have.\The man had not aged a day since my grandfather's time.\This is because 300 years ago, he successfully summoned a devil,\and was successful in obtaining the grand panacea. response:	That man is probably surviving even now, somewhere.
context: I don't know if what I am about to perform\is the right thing for me, or for all of us together.\The one who passed this on to me was a man\who once undertook the same school of alchemy that I have.\The man had not aged a day since my grandfather's time.\This is because 300 years ago, he successfully summoned a devil,\and was successful in obtaining the grand panacea.\That man is probably surviving even now, somewhere. response:	Without having aged a day.
context: is the right thing for me, or for all of us together.\The one who passed this on to me was a man\who once undertook the same school of alchemy that I have.\The man had not aged a day since my grandfather's time.\This is because 300 years ago, he successfully summoned a devil,\and was successful in obtaining the grand panacea.\That man is probably surviving even now, somewhere.\Without having aged a day. response:	But coming near unto the grand panacea
context: The one who passed this on to me was a man\who once undertook the same school of alchemy that I have.\The man had not aged a day since my grandfather's time.\This is because 300 years ago, he successfully summoned a devil,\and was successful in obtaining the grand panacea.\That man is probably surviving even now, somewhere.\Without having aged a day.\But coming near unto the grand panacea response:	is the earnest desire of those of us who are alchemists.
context: who once undertook the same school of alchemy that I have.\The man had not aged a day since my grandfather's time.\This is because 300 years ago, he successfully summoned a devil,\and was successful in obtaining the grand panacea.\That man is probably surviving even now, somewhere.\Without having aged a day.\But coming near unto the grand panacea\is the earnest desire of those of us who are alchemists. response:	I will now perform the devilkin summoning.
context: The man had not aged a day since my grandfather's time.\This is because 300 years ago, he successfully summoned a devil,\and was successful in obtaining the grand panacea.\That man is probably surviving even now, somewhere.\Without having aged a day.\But coming near unto the grand panacea\is the earnest desire of those of us who are alchemists.\I will now perform the devilkin summoning. response:	Believe that there is greater worth in that which is gained by gaining
context: This is because 300 years ago, he successfully summoned a devil,\and was successful in obtaining the grand panacea.\That man is probably surviving even now, somewhere.\Without having aged a day.\But coming near unto the grand panacea\is the earnest desire of those of us who are alchemists.\I will now perform the devilkin summoning.\Believe that there is greater worth in that which is gained by gaining response:	than that which is gained by losing!
context: and was successful in obtaining the grand panacea.\That man is probably surviving even now, somewhere.\Without having aged a day.\But coming near unto the grand panacea\is the earnest desire of those of us who are alchemists.\I will now perform the devilkin summoning.\Believe that there is greater worth in that which is gained by gaining\than that which is gained by losing! response:	Brethren, I ask you to see this through with me to the end.
context: That man is probably surviving even now, somewhere.\Without having aged a day.\But coming near unto the grand panacea\is the earnest desire of those of us who are alchemists.\I will now perform the devilkin summoning.\Believe that there is greater worth in that which is gained by gaining\than that which is gained by losing!\Brethren, I ask you to see this through with me to the end. response:	Denkuro, Gretto...
context: Without having aged a day.\But coming near unto the grand panacea\is the earnest desire of those of us who are alchemists.\I will now perform the devilkin summoning.\Believe that there is greater worth in that which is gained by gaining\than that which is gained by losing!\Brethren, I ask you to see this through with me to the end.\Denkuro, Gretto... response:	I summon thee to this place! Thou art the heavens and the earth!
context: But coming near unto the grand panacea\is the earnest desire of those of us who are alchemists.\I will now perform the devilkin summoning.\Believe that there is greater worth in that which is gained by gaining\than that which is gained by losing!\Brethren, I ask you to see this through with me to the end.\Denkuro, Gretto...\I summon thee to this place! Thou art the heavens and the earth! response:	The night, and the day! The darkness, and the light!
context: is the earnest desire of those of us who are alchemists.\I will now perform the devilkin summoning.\Believe that there is greater worth in that which is gained by gaining\than that which is gained by losing!\Brethren, I ask you to see this through with me to the end.\Denkuro, Gretto...\I summon thee to this place! Thou art the heavens and the earth!\The night, and the day! The darkness, and the light! response:	The good, and the wicked! The one who sees, and who is seen!
context: I will now perform the devilkin summoning.\Believe that there is greater worth in that which is gained by gaining\than that which is gained by losing!\Brethren, I ask you to see this through with me to the end.\Denkuro, Gretto...\I summon thee to this place! Thou art the heavens and the earth!\The night, and the day! The darkness, and the light!\The good, and the wicked! The one who sees, and who is seen! response:	The one who brings about creation, and brings about destruction!
context: Believe that there is greater worth in that which is gained by gaining\than that which is gained by losing!\Brethren, I ask you to see this through with me to the end.\Denkuro, Gretto...\I summon thee to this place! Thou art the heavens and the earth!\The night, and the day! The darkness, and the light!\The good, and the wicked! The one who sees, and who is seen!\The one who brings about creation, and brings about destruction! response:	The one who loves man, and despises man! Thou art-
context: than that which is gained by losing!\Brethren, I ask you to see this through with me to the end.\Denkuro, Gretto...\I summon thee to this place! Thou art the heavens and the earth!\The night, and the day! The darkness, and the light!\The good, and the wicked! The one who sees, and who is seen!\The one who brings about creation, and brings about destruction!\The one who loves man, and despises man! Thou art- response:	Enough.
context: Brethren, I ask you to see this through with me to the end.\Denkuro, Gretto...\I summon thee to this place! Thou art the heavens and the earth!\The night, and the day! The darkness, and the light!\The good, and the wicked! The one who sees, and who is seen!\The one who brings about creation, and brings about destruction!\The one who loves man, and despises man! Thou art-\Enough. response:	What happened?
context: Denkuro, Gretto...\I summon thee to this place! Thou art the heavens and the earth!\The night, and the day! The darkness, and the light!\The good, and the wicked! The one who sees, and who is seen!\The one who brings about creation, and brings about destruction!\The one who loves man, and despises man! Thou art-\Enough.\What happened? response:	I don't know! It's a monster! There's something in there!
context: I summon thee to this place! Thou art the heavens and the earth!\The night, and the day! The darkness, and the light!\The good, and the wicked! The one who sees, and who is seen!\The one who brings about creation, and brings about destruction!\The one who loves man, and despises man! Thou art-\Enough.\What happened?\I don't know! It's a monster! There's something in there! response:	It's the devil! I'm sure that the devil is raging in there!
context: The night, and the day! The darkness, and the light!\The good, and the wicked! The one who sees, and who is seen!\The one who brings about creation, and brings about destruction!\The one who loves man, and despises man! Thou art-\Enough.\What happened?\I don't know! It's a monster! There's something in there!\It's the devil! I'm sure that the devil is raging in there! response:	What about Gretto? Do you know what happened to Gretto?!
context: The good, and the wicked! The one who sees, and who is seen!\The one who brings about creation, and brings about destruction!\The one who loves man, and despises man! Thou art-\Enough.\What happened?\I don't know! It's a monster! There's something in there!\It's the devil! I'm sure that the devil is raging in there!\What about Gretto? Do you know what happened to Gretto?! response:	Your words of summoning are nothing more than tedious.
context: The one who brings about creation, and brings about destruction!\The one who loves man, and despises man! Thou art-\Enough.\What happened?\I don't know! It's a monster! There's something in there!\It's the devil! I'm sure that the devil is raging in there!\What about Gretto? Do you know what happened to Gretto?!\Your words of summoning are nothing more than tedious. response:	I hear your words at all times, and I know your thoughts, as well.
context: The one who loves man, and despises man! Thou art-\Enough.\What happened?\I don't know! It's a monster! There's something in there!\It's the devil! I'm sure that the devil is raging in there!\What about Gretto? Do you know what happened to Gretto?!\Your words of summoning are nothing more than tedious.\I hear your words at all times, and I know your thoughts, as well. response:	When you think about me, I am already there in your midst.
context: Enough.\What happened?\I don't know! It's a monster! There's something in there!\It's the devil! I'm sure that the devil is raging in there!\What about Gretto? Do you know what happened to Gretto?!\Your words of summoning are nothing more than tedious.\I hear your words at all times, and I know your thoughts, as well.\When you think about me, I am already there in your midst. response:	Well, no matter.
context: What happened?\I don't know! It's a monster! There's something in there!\It's the devil! I'm sure that the devil is raging in there!\What about Gretto? Do you know what happened to Gretto?!\Your words of summoning are nothing more than tedious.\I hear your words at all times, and I know your thoughts, as well.\When you think about me, I am already there in your midst.\Well, no matter. response:	There is no need to call me by name.
context: I don't know! It's a monster! There's something in there!\It's the devil! I'm sure that the devil is raging in there!\What about Gretto? Do you know what happened to Gretto?!\Your words of summoning are nothing more than tedious.\I hear your words at all times, and I know your thoughts, as well.\When you think about me, I am already there in your midst.\Well, no matter.\There is no need to call me by name. response:	I am not at all content with being called a devil.
context: It's the devil! I'm sure that the devil is raging in there!\What about Gretto? Do you know what happened to Gretto?!\Your words of summoning are nothing more than tedious.\I hear your words at all times, and I know your thoughts, as well.\When you think about me, I am already there in your midst.\Well, no matter.\There is no need to call me by name.\I am not at all content with being called a devil. response:	But, no matter.
context: What about Gretto? Do you know what happened to Gretto?!\Your words of summoning are nothing more than tedious.\I hear your words at all times, and I know your thoughts, as well.\When you think about me, I am already there in your midst.\Well, no matter.\There is no need to call me by name.\I am not at all content with being called a devil.\But, no matter. response:	In any event, I know what you are thinking.
context: Your words of summoning are nothing more than tedious.\I hear your words at all times, and I know your thoughts, as well.\When you think about me, I am already there in your midst.\Well, no matter.\There is no need to call me by name.\I am not at all content with being called a devil.\But, no matter.\In any event, I know what you are thinking. response:	You want to know all about immortal youth, right?
context: I hear your words at all times, and I know your thoughts, as well.\When you think about me, I am already there in your midst.\Well, no matter.\There is no need to call me by name.\I am not at all content with being called a devil.\But, no matter.\In any event, I know what you are thinking.\You want to know all about immortal youth, right? response:	I will tell you, alone, how to make what you call the grand panacea.
context: When you think about me, I am already there in your midst.\Well, no matter.\There is no need to call me by name.\I am not at all content with being called a devil.\But, no matter.\In any event, I know what you are thinking.\You want to know all about immortal youth, right?\I will tell you, alone, how to make what you call the grand panacea. response:	Why only me?
context: Well, no matter.\There is no need to call me by name.\I am not at all content with being called a devil.\But, no matter.\In any event, I know what you are thinking.\You want to know all about immortal youth, right?\I will tell you, alone, how to make what you call the grand panacea.\Why only me? response:	Once you drink that, you will become immortally young.
context: There is no need to call me by name.\I am not at all content with being called a devil.\But, no matter.\In any event, I know what you are thinking.\You want to know all about immortal youth, right?\I will tell you, alone, how to make what you call the grand panacea.\Why only me?\Once you drink that, you will become immortally young. response:	Now, drink.
context: I am not at all content with being called a devil.\But, no matter.\In any event, I know what you are thinking.\You want to know all about immortal youth, right?\I will tell you, alone, how to make what you call the grand panacea.\Why only me?\Once you drink that, you will become immortally young.\Now, drink. response:	If you wish to know all, you must first drink.
context: But, no matter.\In any event, I know what you are thinking.\You want to know all about immortal youth, right?\I will tell you, alone, how to make what you call the grand panacea.\Why only me?\Once you drink that, you will become immortally young.\Now, drink.\If you wish to know all, you must first drink. response:	Old man, you seem to not want an early death.
context: In any event, I know what you are thinking.\You want to know all about immortal youth, right?\I will tell you, alone, how to make what you call the grand panacea.\Why only me?\Once you drink that, you will become immortally young.\Now, drink.\If you wish to know all, you must first drink.\Old man, you seem to not want an early death. response:	I'm just trying to put a quick end to this charade.
context: You want to know all about immortal youth, right?\I will tell you, alone, how to make what you call the grand panacea.\Why only me?\Once you drink that, you will become immortally young.\Now, drink.\If you wish to know all, you must first drink.\Old man, you seem to not want an early death.\I'm just trying to put a quick end to this charade. response:	I knew it, it's a sham, all right!
context: I will tell you, alone, how to make what you call the grand panacea.\Why only me?\Once you drink that, you will become immortally young.\Now, drink.\If you wish to know all, you must first drink.\Old man, you seem to not want an early death.\I'm just trying to put a quick end to this charade.\I knew it, it's a sham, all right! response:	You won't believe unless I do this?
context: Why only me?\Once you drink that, you will become immortally young.\Now, drink.\If you wish to know all, you must first drink.\Old man, you seem to not want an early death.\I'm just trying to put a quick end to this charade.\I knew it, it's a sham, all right!\You won't believe unless I do this? response:	Well, old man? How does it feel to be immortally ageless?
context: Once you drink that, you will become immortally young.\Now, drink.\If you wish to know all, you must first drink.\Old man, you seem to not want an early death.\I'm just trying to put a quick end to this charade.\I knew it, it's a sham, all right!\You won't believe unless I do this?\Well, old man? How does it feel to be immortally ageless? response:	Calm down. Do not quarrel. I am generous.
context: Now, drink.\If you wish to know all, you must first drink.\Old man, you seem to not want an early death.\I'm just trying to put a quick end to this charade.\I knew it, it's a sham, all right!\You won't believe unless I do this?\Well, old man? How does it feel to be immortally ageless?\Calm down. Do not quarrel. I am generous. response:	There is enough grand panacea for everyone here.
context: If you wish to know all, you must first drink.\Old man, you seem to not want an early death.\I'm just trying to put a quick end to this charade.\I knew it, it's a sham, all right!\You won't believe unless I do this?\Well, old man? How does it feel to be immortally ageless?\Calm down. Do not quarrel. I am generous.\There is enough grand panacea for everyone here. response:	Brother...
context: Old man, you seem to not want an early death.\I'm just trying to put a quick end to this charade.\I knew it, it's a sham, all right!\You won't believe unless I do this?\Well, old man? How does it feel to be immortally ageless?\Calm down. Do not quarrel. I am generous.\There is enough grand panacea for everyone here.\Brother... response:	Gretto...
context: I'm just trying to put a quick end to this charade.\I knew it, it's a sham, all right!\You won't believe unless I do this?\Well, old man? How does it feel to be immortally ageless?\Calm down. Do not quarrel. I am generous.\There is enough grand panacea for everyone here.\Brother...\Gretto... response:	There are a number of rules we should establish.
context: I knew it, it's a sham, all right!\You won't believe unless I do this?\Well, old man? How does it feel to be immortally ageless?\Calm down. Do not quarrel. I am generous.\There is enough grand panacea for everyone here.\Brother...\Gretto...\There are a number of rules we should establish. response:	What if you grow tired of immortality, and want to die?
context: You won't believe unless I do this?\Well, old man? How does it feel to be immortally ageless?\Calm down. Do not quarrel. I am generous.\There is enough grand panacea for everyone here.\Brother...\Gretto...\There are a number of rules we should establish.\What if you grow tired of immortality, and want to die? response:	Do not hesitate to go to one of your friends,
context: Well, old man? How does it feel to be immortally ageless?\Calm down. Do not quarrel. I am generous.\There is enough grand panacea for everyone here.\Brother...\Gretto...\There are a number of rules we should establish.\What if you grow tired of immortality, and want to die?\Do not hesitate to go to one of your friends, response:	and have them devour you.
context: Calm down. Do not quarrel. I am generous.\There is enough grand panacea for everyone here.\Brother...\Gretto...\There are a number of rules we should establish.\What if you grow tired of immortality, and want to die?\Do not hesitate to go to one of your friends,\and have them devour you. response:	And when I say devour, I do not mean by mouth.
context: There is enough grand panacea for everyone here.\Brother...\Gretto...\There are a number of rules we should establish.\What if you grow tired of immortality, and want to die?\Do not hesitate to go to one of your friends,\and have them devour you.\And when I say devour, I do not mean by mouth. response:	By the right hand.
context: Brother...\Gretto...\There are a number of rules we should establish.\What if you grow tired of immortality, and want to die?\Do not hesitate to go to one of your friends,\and have them devour you.\And when I say devour, I do not mean by mouth.\By the right hand. response:	Have them place their right hand on your head,
