context: Episode 6 Punch response:	Kakeru-kun.
context: I'm still a little sleepy.\If a girl of age is sleeping on her stomach,\it's because she's in love.\Though, I think a parent can tell regardless.\But...\There aren't any romance movies called You Know What Happens Next,\are there?\You know what happens? response:	No, I don't. But what if I did?
context: If a girl of age is sleeping on her stomach,\it's because she's in love.\Though, I think a parent can tell regardless.\But...\There aren't any romance movies called You Know What Happens Next,\are there?\You know what happens?\No, I don't. But what if I did? response:	Would it be boring?
context: it's because she's in love.\Though, I think a parent can tell regardless.\But...\There aren't any romance movies called You Know What Happens Next,\are there?\You know what happens?\No, I don't. But what if I did?\Would it be boring? response:	I don't know what you're talking about,
context: Though, I think a parent can tell regardless.\But...\There aren't any romance movies called You Know What Happens Next,\are there?\You know what happens?\No, I don't. But what if I did?\Would it be boring?\I don't know what you're talking about, response:	but if you did, you could enjoy it twice.
context: But...\There aren't any romance movies called You Know What Happens Next,\are there?\You know what happens?\No, I don't. But what if I did?\Would it be boring?\I don't know what you're talking about,\but if you did, you could enjoy it twice. response:	Wow, Mom.
context: There aren't any romance movies called You Know What Happens Next,\are there?\You know what happens?\No, I don't. But what if I did?\Would it be boring?\I don't know what you're talking about,\but if you did, you could enjoy it twice.\Wow, Mom. response:	Even if you knew about
context: are there?\You know what happens?\No, I don't. But what if I did?\Would it be boring?\I don't know what you're talking about,\but if you did, you could enjoy it twice.\Wow, Mom.\Even if you knew about response:	a future that's a bit sad,
context: You know what happens?\No, I don't. But what if I did?\Would it be boring?\I don't know what you're talking about,\but if you did, you could enjoy it twice.\Wow, Mom.\Even if you knew about\a future that's a bit sad, response:	at least you can prepare for it.
context: No, I don't. But what if I did?\Would it be boring?\I don't know what you're talking about,\but if you did, you could enjoy it twice.\Wow, Mom.\Even if you knew about\a future that's a bit sad,\at least you can prepare for it. response:	So many perks.
context: Would it be boring?\I don't know what you're talking about,\but if you did, you could enjoy it twice.\Wow, Mom.\Even if you knew about\a future that's a bit sad,\at least you can prepare for it.\So many perks. response:	Enjoy it twice, huh?
context: I don't know what you're talking about,\but if you did, you could enjoy it twice.\Wow, Mom.\Even if you knew about\a future that's a bit sad,\at least you can prepare for it.\So many perks.\Enjoy it twice, huh? response:	That might be nice.
context: but if you did, you could enjoy it twice.\Wow, Mom.\Even if you knew about\a future that's a bit sad,\at least you can prepare for it.\So many perks.\Enjoy it twice, huh?\That might be nice. response:	I could enjoy the feeling of
context: Wow, Mom.\Even if you knew about\a future that's a bit sad,\at least you can prepare for it.\So many perks.\Enjoy it twice, huh?\That might be nice.\I could enjoy the feeling of response:	making a good piece twice.
context: Even if you knew about\a future that's a bit sad,\at least you can prepare for it.\So many perks.\Enjoy it twice, huh?\That might be nice.\I could enjoy the feeling of\making a good piece twice. response:	And in love...
context: a future that's a bit sad,\at least you can prepare for it.\So many perks.\Enjoy it twice, huh?\That might be nice.\I could enjoy the feeling of\making a good piece twice.\And in love... response:	In love
context: at least you can prepare for it.\So many perks.\Enjoy it twice, huh?\That might be nice.\I could enjoy the feeling of\making a good piece twice.\And in love...\In love response:	Are you okay?
context: So many perks.\Enjoy it twice, huh?\That might be nice.\I could enjoy the feeling of\making a good piece twice.\And in love...\In love\Are you okay? response:	I'm fine. It was a bug.
context: Enjoy it twice, huh?\That might be nice.\I could enjoy the feeling of\making a good piece twice.\And in love...\In love\Are you okay?\I'm fine. It was a bug. response:	I think.
context: That might be nice.\I could enjoy the feeling of\making a good piece twice.\And in love...\In love\Are you okay?\I'm fine. It was a bug.\I think. response:	A bug?
context: I could enjoy the feeling of\making a good piece twice.\And in love...\In love\Are you okay?\I'm fine. It was a bug.\I think.\A bug? response:	Just a bug, huh?
context: making a good piece twice.\And in love...\In love\Are you okay?\I'm fine. It was a bug.\I think.\A bug?\Just a bug, huh? response:	She's a good girl, being that she's our girl,
context: And in love...\In love\Are you okay?\I'm fine. It was a bug.\I think.\A bug?\Just a bug, huh?\She's a good girl, being that she's our girl, response:	but she's of age, so, y'know.
context: In love\Are you okay?\I'm fine. It was a bug.\I think.\A bug?\Just a bug, huh?\She's a good girl, being that she's our girl,\but she's of age, so, y'know. response:	Of age?!
context: Are you okay?\I'm fine. It was a bug.\I think.\A bug?\Just a bug, huh?\She's a good girl, being that she's our girl,\but she's of age, so, y'know.\Of age?! response:	Hello, Touko?
context: I'm fine. It was a bug.\I think.\A bug?\Just a bug, huh?\She's a good girl, being that she's our girl,\but she's of age, so, y'know.\Of age?!\Hello, Touko? response:	It's Okikura.
context: I think.\A bug?\Just a bug, huh?\She's a good girl, being that she's our girl,\but she's of age, so, y'know.\Of age?!\Hello, Touko?\It's Okikura. response:	Can you talk?
context: A bug?\Just a bug, huh?\She's a good girl, being that she's our girl,\but she's of age, so, y'know.\Of age?!\Hello, Touko?\It's Okikura.\Can you talk? response:	Yes!
context: Just a bug, huh?\She's a good girl, being that she's our girl,\but she's of age, so, y'know.\Of age?!\Hello, Touko?\It's Okikura.\Can you talk?\Yes! response:	I never got a chance to hear what you wanted to talk about the other day.
context: She's a good girl, being that she's our girl,\but she's of age, so, y'know.\Of age?!\Hello, Touko?\It's Okikura.\Can you talk?\Yes!\I never got a chance to hear what you wanted to talk about the other day. response:	I, um, I'll call you back.
context: but she's of age, so, y'know.\Of age?!\Hello, Touko?\It's Okikura.\Can you talk?\Yes!\I never got a chance to hear what you wanted to talk about the other day.\I, um, I'll call you back. response:	I hung up.
context: Of age?!\Hello, Touko?\It's Okikura.\Can you talk?\Yes!\I never got a chance to hear what you wanted to talk about the other day.\I, um, I'll call you back.\I hung up. response:	What's up?
context: Hello, Touko?\It's Okikura.\Can you talk?\Yes!\I never got a chance to hear what you wanted to talk about the other day.\I, um, I'll call you back.\I hung up.\What's up? response:	She just hung up on me.
context: It's Okikura.\Can you talk?\Yes!\I never got a chance to hear what you wanted to talk about the other day.\I, um, I'll call you back.\I hung up.\What's up?\She just hung up on me. response:	That girl from before?
context: Can you talk?\Yes!\I never got a chance to hear what you wanted to talk about the other day.\I, um, I'll call you back.\I hung up.\What's up?\She just hung up on me.\That girl from before? response:	I'll make coffee.
context: Yes!\I never got a chance to hear what you wanted to talk about the other day.\I, um, I'll call you back.\I hung up.\What's up?\She just hung up on me.\That girl from before?\I'll make coffee. response:	Did you mess up?
context: I never got a chance to hear what you wanted to talk about the other day.\I, um, I'll call you back.\I hung up.\What's up?\She just hung up on me.\That girl from before?\I'll make coffee.\Did you mess up? response:	I can't experience my first kiss twice.
context: I, um, I'll call you back.\I hung up.\What's up?\She just hung up on me.\That girl from before?\I'll make coffee.\Did you mess up?\I can't experience my first kiss twice. response:	I can't do it.
context: I hung up.\What's up?\She just hung up on me.\That girl from before?\I'll make coffee.\Did you mess up?\I can't experience my first kiss twice.\I can't do it. response:	I can't.
context: What's up?\She just hung up on me.\That girl from before?\I'll make coffee.\Did you mess up?\I can't experience my first kiss twice.\I can't do it.\I can't. response:	My heart will burst.
context: She just hung up on me.\That girl from before?\I'll make coffee.\Did you mess up?\I can't experience my first kiss twice.\I can't do it.\I can't.\My heart will burst. response:	Okikura-kun, sorry about earlier.
context: That girl from before?\I'll make coffee.\Did you mess up?\I can't experience my first kiss twice.\I can't do it.\I can't.\My heart will burst.\Okikura-kun, sorry about earlier. response:	Sorry, it's Hiro.
context: I'll make coffee.\Did you mess up?\I can't experience my first kiss twice.\I can't do it.\I can't.\My heart will burst.\Okikura-kun, sorry about earlier.\Sorry, it's Hiro. response:	Are you okay?
context: Did you mess up?\I can't experience my first kiss twice.\I can't do it.\I can't.\My heart will burst.\Okikura-kun, sorry about earlier.\Sorry, it's Hiro.\Are you okay? response:	I wanted to talk to you
context: I can't experience my first kiss twice.\I can't do it.\I can't.\My heart will burst.\Okikura-kun, sorry about earlier.\Sorry, it's Hiro.\Are you okay?\I wanted to talk to you response:	about the get-together today.
context: I can't do it.\I can't.\My heart will burst.\Okikura-kun, sorry about earlier.\Sorry, it's Hiro.\Are you okay?\I wanted to talk to you\about the get-together today. response:	Huh, are you listening?
context: I can't.\My heart will burst.\Okikura-kun, sorry about earlier.\Sorry, it's Hiro.\Are you okay?\I wanted to talk to you\about the get-together today.\Huh, are you listening? response:	'Sup.
context: My heart will burst.\Okikura-kun, sorry about earlier.\Sorry, it's Hiro.\Are you okay?\I wanted to talk to you\about the get-together today.\Huh, are you listening?\'Sup. response:	Breakfast's ready.
context: Okikura-kun, sorry about earlier.\Sorry, it's Hiro.\Are you okay?\I wanted to talk to you\about the get-together today.\Huh, are you listening?\'Sup.\Breakfast's ready. response:	Okay.
context: Sorry, it's Hiro.\Are you okay?\I wanted to talk to you\about the get-together today.\Huh, are you listening?\'Sup.\Breakfast's ready.\Okay. response:	Crap, I can't be like this forever.
context: Are you okay?\I wanted to talk to you\about the get-together today.\Huh, are you listening?\'Sup.\Breakfast's ready.\Okay.\Crap, I can't be like this forever. response:	How am I supposed to present myself?
context: I wanted to talk to you\about the get-together today.\Huh, are you listening?\'Sup.\Breakfast's ready.\Okay.\Crap, I can't be like this forever.\How am I supposed to present myself? response:	Morning, sleepy-head.
context: about the get-together today.\Huh, are you listening?\'Sup.\Breakfast's ready.\Okay.\Crap, I can't be like this forever.\How am I supposed to present myself?\Morning, sleepy-head. response:	You couldn't hear Mom calling?
context: Huh, are you listening?\'Sup.\Breakfast's ready.\Okay.\Crap, I can't be like this forever.\How am I supposed to present myself?\Morning, sleepy-head.\You couldn't hear Mom calling? response:	I was getting changed.
context: 'Sup.\Breakfast's ready.\Okay.\Crap, I can't be like this forever.\How am I supposed to present myself?\Morning, sleepy-head.\You couldn't hear Mom calling?\I was getting changed. response:	Oh. Breakfast's going to get cold. Hurry.
context: Breakfast's ready.\Okay.\Crap, I can't be like this forever.\How am I supposed to present myself?\Morning, sleepy-head.\You couldn't hear Mom calling?\I was getting changed.\Oh. Breakfast's going to get cold. Hurry. response:	Hey.
context: Okay.\Crap, I can't be like this forever.\How am I supposed to present myself?\Morning, sleepy-head.\You couldn't hear Mom calling?\I was getting changed.\Oh. Breakfast's going to get cold. Hurry.\Hey. response:	What?
context: Crap, I can't be like this forever.\How am I supposed to present myself?\Morning, sleepy-head.\You couldn't hear Mom calling?\I was getting changed.\Oh. Breakfast's going to get cold. Hurry.\Hey.\What? response:	I have to swing by somewhere before we go to Kazemichi.
context: How am I supposed to present myself?\Morning, sleepy-head.\You couldn't hear Mom calling?\I was getting changed.\Oh. Breakfast's going to get cold. Hurry.\Hey.\What?\I have to swing by somewhere before we go to Kazemichi. response:	Got it.
context: Morning, sleepy-head.\You couldn't hear Mom calling?\I was getting changed.\Oh. Breakfast's going to get cold. Hurry.\Hey.\What?\I have to swing by somewhere before we go to Kazemichi.\Got it. response:	I actually
context: You couldn't hear Mom calling?\I was getting changed.\Oh. Breakfast's going to get cold. Hurry.\Hey.\What?\I have to swing by somewhere before we go to Kazemichi.\Got it.\I actually response:	had you come early, Touko-san.
context: I was getting changed.\Oh. Breakfast's going to get cold. Hurry.\Hey.\What?\I have to swing by somewhere before we go to Kazemichi.\Got it.\I actually\had you come early, Touko-san. response:	Me? Really?
context: Oh. Breakfast's going to get cold. Hurry.\Hey.\What?\I have to swing by somewhere before we go to Kazemichi.\Got it.\I actually\had you come early, Touko-san.\Me? Really? response:	Yeah.
context: Hey.\What?\I have to swing by somewhere before we go to Kazemichi.\Got it.\I actually\had you come early, Touko-san.\Me? Really?\Yeah. response:	About before
context: What?\I have to swing by somewhere before we go to Kazemichi.\Got it.\I actually\had you come early, Touko-san.\Me? Really?\Yeah.\About before response:	I heard you were at Sacchan's place.
context: I have to swing by somewhere before we go to Kazemichi.\Got it.\I actually\had you come early, Touko-san.\Me? Really?\Yeah.\About before\I heard you were at Sacchan's place. response:	Maybe she wanted me to know about you.
context: Got it.\I actually\had you come early, Touko-san.\Me? Really?\Yeah.\About before\I heard you were at Sacchan's place.\Maybe she wanted me to know about you. response:	But she couldn't say it straight out.
context: I actually\had you come early, Touko-san.\Me? Really?\Yeah.\About before\I heard you were at Sacchan's place.\Maybe she wanted me to know about you.\But she couldn't say it straight out. response:	Y-You think so?
context: had you come early, Touko-san.\Me? Really?\Yeah.\About before\I heard you were at Sacchan's place.\Maybe she wanted me to know about you.\But she couldn't say it straight out.\Y-You think so? response:	But don't tell Yukinari and Yanagi-san about it.
context: Me? Really?\Yeah.\About before\I heard you were at Sacchan's place.\Maybe she wanted me to know about you.\But she couldn't say it straight out.\Y-You think so?\But don't tell Yukinari and Yanagi-san about it. response:	What? Everyone already kno
context: Yeah.\About before\I heard you were at Sacchan's place.\Maybe she wanted me to know about you.\But she couldn't say it straight out.\Y-You think so?\But don't tell Yukinari and Yanagi-san about it.\What? Everyone already kno response:	I want to tell them myself.
context: About before\I heard you were at Sacchan's place.\Maybe she wanted me to know about you.\But she couldn't say it straight out.\Y-You think so?\But don't tell Yukinari and Yanagi-san about it.\What? Everyone already kno\I want to tell them myself. response:	Sure, of course.
context: I heard you were at Sacchan's place.\Maybe she wanted me to know about you.\But she couldn't say it straight out.\Y-You think so?\But don't tell Yukinari and Yanagi-san about it.\What? Everyone already kno\I want to tell them myself.\Sure, of course. response:	It's so hot.
context: Maybe she wanted me to know about you.\But she couldn't say it straight out.\Y-You think so?\But don't tell Yukinari and Yanagi-san about it.\What? Everyone already kno\I want to tell them myself.\Sure, of course.\It's so hot. response:	Got it.
context: But she couldn't say it straight out.\Y-You think so?\But don't tell Yukinari and Yanagi-san about it.\What? Everyone already kno\I want to tell them myself.\Sure, of course.\It's so hot.\Got it. response:	I did it. I confessed.
context: Y-You think so?\But don't tell Yukinari and Yanagi-san about it.\What? Everyone already kno\I want to tell them myself.\Sure, of course.\It's so hot.\Got it.\I did it. I confessed. response:	Good for you, Yana-chan.
context: But don't tell Yukinari and Yanagi-san about it.\What? Everyone already kno\I want to tell them myself.\Sure, of course.\It's so hot.\Got it.\I did it. I confessed.\Good for you, Yana-chan. response:	I like how you're missing just a little bit of tact.
context: What? Everyone already kno\I want to tell them myself.\Sure, of course.\It's so hot.\Got it.\I did it. I confessed.\Good for you, Yana-chan.\I like how you're missing just a little bit of tact. response:	How've you been?
context: I want to tell them myself.\Sure, of course.\It's so hot.\Got it.\I did it. I confessed.\Good for you, Yana-chan.\I like how you're missing just a little bit of tact.\How've you been? response:	I don't like the heat.
context: Sure, of course.\It's so hot.\Got it.\I did it. I confessed.\Good for you, Yana-chan.\I like how you're missing just a little bit of tact.\How've you been?\I don't like the heat. response:	Hey.
context: It's so hot.\Got it.\I did it. I confessed.\Good for you, Yana-chan.\I like how you're missing just a little bit of tact.\How've you been?\I don't like the heat.\Hey. response:	Let's get straight to it.
context: Got it.\I did it. I confessed.\Good for you, Yana-chan.\I like how you're missing just a little bit of tact.\How've you been?\I don't like the heat.\Hey.\Let's get straight to it. response:	Where's Sachi?
context: I did it. I confessed.\Good for you, Yana-chan.\I like how you're missing just a little bit of tact.\How've you been?\I don't like the heat.\Hey.\Let's get straight to it.\Where's Sachi? response:	Yeah, it's about Sacchan.
context: Good for you, Yana-chan.\I like how you're missing just a little bit of tact.\How've you been?\I don't like the heat.\Hey.\Let's get straight to it.\Where's Sachi?\Yeah, it's about Sacchan. response:	So it's a surprise?
context: I like how you're missing just a little bit of tact.\How've you been?\I don't like the heat.\Hey.\Let's get straight to it.\Where's Sachi?\Yeah, it's about Sacchan.\So it's a surprise? response:	Yep.
context: How've you been?\I don't like the heat.\Hey.\Let's get straight to it.\Where's Sachi?\Yeah, it's about Sacchan.\So it's a surprise?\Yep. response:	Remember when she couldn't go to the fireworks with us last time?
context: I don't like the heat.\Hey.\Let's get straight to it.\Where's Sachi?\Yeah, it's about Sacchan.\So it's a surprise?\Yep.\Remember when she couldn't go to the fireworks with us last time? response:	So I thought, maybe we could set up fireworks so that she could come, too.
context: Hey.\Let's get straight to it.\Where's Sachi?\Yeah, it's about Sacchan.\So it's a surprise?\Yep.\Remember when she couldn't go to the fireworks with us last time?\So I thought, maybe we could set up fireworks so that she could come, too. response:	Don't you think?
context: Let's get straight to it.\Where's Sachi?\Yeah, it's about Sacchan.\So it's a surprise?\Yep.\Remember when she couldn't go to the fireworks with us last time?\So I thought, maybe we could set up fireworks so that she could come, too.\Don't you think? response:	I do. I like that.
context: Where's Sachi?\Yeah, it's about Sacchan.\So it's a surprise?\Yep.\Remember when she couldn't go to the fireworks with us last time?\So I thought, maybe we could set up fireworks so that she could come, too.\Don't you think?\I do. I like that. response:	Let's do that.
context: Yeah, it's about Sacchan.\So it's a surprise?\Yep.\Remember when she couldn't go to the fireworks with us last time?\So I thought, maybe we could set up fireworks so that she could come, too.\Don't you think?\I do. I like that.\Let's do that. response:	We have exams coming up.
context: So it's a surprise?\Yep.\Remember when she couldn't go to the fireworks with us last time?\So I thought, maybe we could set up fireworks so that she could come, too.\Don't you think?\I do. I like that.\Let's do that.\We have exams coming up. response:	I think we're having too many outings.
context: Yep.\Remember when she couldn't go to the fireworks with us last time?\So I thought, maybe we could set up fireworks so that she could come, too.\Don't you think?\I do. I like that.\Let's do that.\We have exams coming up.\I think we're having too many outings. response:	Oh well.
context: Remember when she couldn't go to the fireworks with us last time?\So I thought, maybe we could set up fireworks so that she could come, too.\Don't you think?\I do. I like that.\Let's do that.\We have exams coming up.\I think we're having too many outings.\Oh well. response:	I'll let Sacchan know.
context: So I thought, maybe we could set up fireworks so that she could come, too.\Don't you think?\I do. I like that.\Let's do that.\We have exams coming up.\I think we're having too many outings.\Oh well.\I'll let Sacchan know. response:	Sorry.
context: Don't you think?\I do. I like that.\Let's do that.\We have exams coming up.\I think we're having too many outings.\Oh well.\I'll let Sacchan know.\Sorry. response:	Hello?
context: I do. I like that.\Let's do that.\We have exams coming up.\I think we're having too many outings.\Oh well.\I'll let Sacchan know.\Sorry.\Hello? response:	She could talk here.
context: Let's do that.\We have exams coming up.\I think we're having too many outings.\Oh well.\I'll let Sacchan know.\Sorry.\Hello?\She could talk here. response:	Maybe she can't.
context: We have exams coming up.\I think we're having too many outings.\Oh well.\I'll let Sacchan know.\Sorry.\Hello?\She could talk here.\Maybe she can't. response:	I wonder who?
context: I think we're having too many outings.\Oh well.\I'll let Sacchan know.\Sorry.\Hello?\She could talk here.\Maybe she can't.\I wonder who? response:	David, probably?
context: Oh well.\I'll let Sacchan know.\Sorry.\Hello?\She could talk here.\Maybe she can't.\I wonder who?\David, probably? response:	Dude.
context: I'll let Sacchan know.\Sorry.\Hello?\She could talk here.\Maybe she can't.\I wonder who?\David, probably?\Dude. response:	Oh, we can get a hold of him. Why don't we invite him, too?
context: Sorry.\Hello?\She could talk here.\Maybe she can't.\I wonder who?\David, probably?\Dude.\Oh, we can get a hold of him. Why don't we invite him, too? response:	You mean, get Touko to invite him?
context: Hello?\She could talk here.\Maybe she can't.\I wonder who?\David, probably?\Dude.\Oh, we can get a hold of him. Why don't we invite him, too?\You mean, get Touko to invite him? response:	Why don't I, then?
context: She could talk here.\Maybe she can't.\I wonder who?\David, probably?\Dude.\Oh, we can get a hold of him. Why don't we invite him, too?\You mean, get Touko to invite him?\Why don't I, then? response:	I will.
context: Maybe she can't.\I wonder who?\David, probably?\Dude.\Oh, we can get a hold of him. Why don't we invite him, too?\You mean, get Touko to invite him?\Why don't I, then?\I will. response:	Huh?
context: I wonder who?\David, probably?\Dude.\Oh, we can get a hold of him. Why don't we invite him, too?\You mean, get Touko to invite him?\Why don't I, then?\I will.\Huh? response:	I know where he lives, I think.
context: David, probably?\Dude.\Oh, we can get a hold of him. Why don't we invite him, too?\You mean, get Touko to invite him?\Why don't I, then?\I will.\Huh?\I know where he lives, I think. response:	Why, though?
context: Dude.\Oh, we can get a hold of him. Why don't we invite him, too?\You mean, get Touko to invite him?\Why don't I, then?\I will.\Huh?\I know where he lives, I think.\Why, though? response:	Sorry.
context: Oh, we can get a hold of him. Why don't we invite him, too?\You mean, get Touko to invite him?\Why don't I, then?\I will.\Huh?\I know where he lives, I think.\Why, though?\Sorry. response:	Touko-san, we were saying
context: You mean, get Touko to invite him?\Why don't I, then?\I will.\Huh?\I know where he lives, I think.\Why, though?\Sorry.\Touko-san, we were saying response:	maybe we should invite David-kun.
context: Why don't I, then?\I will.\Huh?\I know where he lives, I think.\Why, though?\Sorry.\Touko-san, we were saying\maybe we should invite David-kun. response:	Why?
context: I will.\Huh?\I know where he lives, I think.\Why, though?\Sorry.\Touko-san, we were saying\maybe we should invite David-kun.\Why? response:	It just kind of happened.
context: Huh?\I know where he lives, I think.\Why, though?\Sorry.\Touko-san, we were saying\maybe we should invite David-kun.\Why?\It just kind of happened. response:	Yes?
context: I know where he lives, I think.\Why, though?\Sorry.\Touko-san, we were saying\maybe we should invite David-kun.\Why?\It just kind of happened.\Yes? response:	I'm Imi, Okikura-kun's
context: Why, though?\Sorry.\Touko-san, we were saying\maybe we should invite David-kun.\Why?\It just kind of happened.\Yes?\I'm Imi, Okikura-kun's response:	Hold on.
context: Sorry.\Touko-san, we were saying\maybe we should invite David-kun.\Why?\It just kind of happened.\Yes?\I'm Imi, Okikura-kun's\Hold on. response:	I'm surprised you found my house.
context: Touko-san, we were saying\maybe we should invite David-kun.\Why?\It just kind of happened.\Yes?\I'm Imi, Okikura-kun's\Hold on.\I'm surprised you found my house. response:	Okikura is a famous name around here.
context: maybe we should invite David-kun.\Why?\It just kind of happened.\Yes?\I'm Imi, Okikura-kun's\Hold on.\I'm surprised you found my house.\Okikura is a famous name around here. response:	Want to come in?
context: Why?\It just kind of happened.\Yes?\I'm Imi, Okikura-kun's\Hold on.\I'm surprised you found my house.\Okikura is a famous name around here.\Want to come in? response:	If you have time, I want to talk outside.
context: It just kind of happened.\Yes?\I'm Imi, Okikura-kun's\Hold on.\I'm surprised you found my house.\Okikura is a famous name around here.\Want to come in?\If you have time, I want to talk outside. response:	I'm a complete idiot.
context: Yes?\I'm Imi, Okikura-kun's\Hold on.\I'm surprised you found my house.\Okikura is a famous name around here.\Want to come in?\If you have time, I want to talk outside.\I'm a complete idiot. response:	Hello, Okikura here.
context: I'm Imi, Okikura-kun's\Hold on.\I'm surprised you found my house.\Okikura is a famous name around here.\Want to come in?\If you have time, I want to talk outside.\I'm a complete idiot.\Hello, Okikura here. response:	My name is Fukami.
context: Hold on.\I'm surprised you found my house.\Okikura is a famous name around here.\Want to come in?\If you have time, I want to talk outside.\I'm a complete idiot.\Hello, Okikura here.\My name is Fukami. response:	Is Oki... Kakeru-kun
context: I'm surprised you found my house.\Okikura is a famous name around here.\Want to come in?\If you have time, I want to talk outside.\I'm a complete idiot.\Hello, Okikura here.\My name is Fukami.\Is Oki... Kakeru-kun response:	Kakeru just went out.
context: Okikura is a famous name around here.\Want to come in?\If you have time, I want to talk outside.\I'm a complete idiot.\Hello, Okikura here.\My name is Fukami.\Is Oki... Kakeru-kun\Kakeru just went out. response:	I see.
context: Want to come in?\If you have time, I want to talk outside.\I'm a complete idiot.\Hello, Okikura here.\My name is Fukami.\Is Oki... Kakeru-kun\Kakeru just went out.\I see. response:	Is Imi-kun a friend of yours, too?
context: If you have time, I want to talk outside.\I'm a complete idiot.\Hello, Okikura here.\My name is Fukami.\Is Oki... Kakeru-kun\Kakeru just went out.\I see.\Is Imi-kun a friend of yours, too? response:	Yes, well...
context: I'm a complete idiot.\Hello, Okikura here.\My name is Fukami.\Is Oki... Kakeru-kun\Kakeru just went out.\I see.\Is Imi-kun a friend of yours, too?\Yes, well... response:	I didn't really want to invite you.
context: Hello, Okikura here.\My name is Fukami.\Is Oki... Kakeru-kun\Kakeru just went out.\I see.\Is Imi-kun a friend of yours, too?\Yes, well...\I didn't really want to invite you. response:	Then you don't have to.
context: My name is Fukami.\Is Oki... Kakeru-kun\Kakeru just went out.\I see.\Is Imi-kun a friend of yours, too?\Yes, well...\I didn't really want to invite you.\Then you don't have to. response:	What's the problem?
context: Is Oki... Kakeru-kun\Kakeru just went out.\I see.\Is Imi-kun a friend of yours, too?\Yes, well...\I didn't really want to invite you.\Then you don't have to.\What's the problem? response:	You can't just do the things that you want to do. That's not how the world works.
context: Kakeru just went out.\I see.\Is Imi-kun a friend of yours, too?\Yes, well...\I didn't really want to invite you.\Then you don't have to.\What's the problem?\You can't just do the things that you want to do. That's not how the world works. response:	I see.
context: I see.\Is Imi-kun a friend of yours, too?\Yes, well...\I didn't really want to invite you.\Then you don't have to.\What's the problem?\You can't just do the things that you want to do. That's not how the world works.\I see. response:	So, what?
context: Is Imi-kun a friend of yours, too?\Yes, well...\I didn't really want to invite you.\Then you don't have to.\What's the problem?\You can't just do the things that you want to do. That's not how the world works.\I see.\So, what? response:	We're going to the fireworks, the usual group.
context: Yes, well...\I didn't really want to invite you.\Then you don't have to.\What's the problem?\You can't just do the things that you want to do. That's not how the world works.\I see.\So, what?\We're going to the fireworks, the usual group. response:	I'm inviting you.
context: I didn't really want to invite you.\Then you don't have to.\What's the problem?\You can't just do the things that you want to do. That's not how the world works.\I see.\So, what?\We're going to the fireworks, the usual group.\I'm inviting you. response:	I see,
context: Then you don't have to.\What's the problem?\You can't just do the things that you want to do. That's not how the world works.\I see.\So, what?\We're going to the fireworks, the usual group.\I'm inviting you.\I see, response:	so you didn't want to invite me,
