context: Board: Home Run response:	Pre! Preparation!
context: I pretend to be strong all over and compete against you\Just by being honest, it's so stimulating and I feel dizzy\I get hurt, I hurt you, in a preparation of pure feelings\In my head, there's always a pre-parade of pure feelings all by myself\ba ni ra\With vanilla salt\vanilla\If it's just sweet response:	Then let's put salt on
context: Just by being honest, it's so stimulating and I feel dizzy\I get hurt, I hurt you, in a preparation of pure feelings\In my head, there's always a pre-parade of pure feelings all by myself\ba ni ra\With vanilla salt\vanilla\If it's just sweet\Then let's put salt on response:	Because I want you to know more about me
context: I get hurt, I hurt you, in a preparation of pure feelings\In my head, there's always a pre-parade of pure feelings all by myself\ba ni ra\With vanilla salt\vanilla\If it's just sweet\Then let's put salt on\Because I want you to know more about me response:	More than anyone else, I want to bare my self
context: In my head, there's always a pre-parade of pure feelings all by myself\ba ni ra\With vanilla salt\vanilla\If it's just sweet\Then let's put salt on\Because I want you to know more about me\More than anyone else, I want to bare my self response:	But I can't do it, I've got nothing for experience
context: ba ni ra\With vanilla salt\vanilla\If it's just sweet\Then let's put salt on\Because I want you to know more about me\More than anyone else, I want to bare my self\But I can't do it, I've got nothing for experience response:	It's too frustrating
context: With vanilla salt\vanilla\If it's just sweet\Then let's put salt on\Because I want you to know more about me\More than anyone else, I want to bare my self\But I can't do it, I've got nothing for experience\It's too frustrating response:	But a love that's just sweet
context: vanilla\If it's just sweet\Then let's put salt on\Because I want you to know more about me\More than anyone else, I want to bare my self\But I can't do it, I've got nothing for experience\It's too frustrating\But a love that's just sweet response:	Is slightly different from what I'm seeking
context: If it's just sweet\Then let's put salt on\Because I want you to know more about me\More than anyone else, I want to bare my self\But I can't do it, I've got nothing for experience\It's too frustrating\But a love that's just sweet\Is slightly different from what I'm seeking response:	If I'm told it's white
context: Then let's put salt on\Because I want you to know more about me\More than anyone else, I want to bare my self\But I can't do it, I've got nothing for experience\It's too frustrating\But a love that's just sweet\Is slightly different from what I'm seeking\If I'm told it's white response:	I'd say it's black
context: Because I want you to know more about me\More than anyone else, I want to bare my self\But I can't do it, I've got nothing for experience\It's too frustrating\But a love that's just sweet\Is slightly different from what I'm seeking\If I'm told it's white\I'd say it's black response:	I can't be honest
context: More than anyone else, I want to bare my self\But I can't do it, I've got nothing for experience\It's too frustrating\But a love that's just sweet\Is slightly different from what I'm seeking\If I'm told it's white\I'd say it's black\I can't be honest response:	I say one thing but do another
context: But I can't do it, I've got nothing for experience\It's too frustrating\But a love that's just sweet\Is slightly different from what I'm seeking\If I'm told it's white\I'd say it's black\I can't be honest\I say one thing but do another response:	If I'm told, I love you
context: It's too frustrating\But a love that's just sweet\Is slightly different from what I'm seeking\If I'm told it's white\I'd say it's black\I can't be honest\I say one thing but do another\If I'm told, I love you response:	I'd say, I hate you
context: But a love that's just sweet\Is slightly different from what I'm seeking\If I'm told it's white\I'd say it's black\I can't be honest\I say one thing but do another\If I'm told, I love you\I'd say, I hate you response:	I'm happy, but what am I saying?
context: Is slightly different from what I'm seeking\If I'm told it's white\I'd say it's black\I can't be honest\I say one thing but do another\If I'm told, I love you\I'd say, I hate you\I'm happy, but what am I saying? response:	Like putting salt
context: If I'm told it's white\I'd say it's black\I can't be honest\I say one thing but do another\If I'm told, I love you\I'd say, I hate you\I'm happy, but what am I saying?\Like putting salt response:	Into sweet vanilla...
context: I'd say it's black\I can't be honest\I say one thing but do another\If I'm told, I love you\I'd say, I hate you\I'm happy, but what am I saying?\Like putting salt\Into sweet vanilla... response:	The Stars Are Far Away
context: I can't be honest\I say one thing but do another\If I'm told, I love you\I'd say, I hate you\I'm happy, but what am I saying?\Like putting salt\Into sweet vanilla...\The Stars Are Far Away response:	Interview Room
context: I say one thing but do another\If I'm told, I love you\I'd say, I hate you\I'm happy, but what am I saying?\Like putting salt\Into sweet vanilla...\The Stars Are Far Away\Interview Room response:	Home
context: If I'm told, I love you\I'd say, I hate you\I'm happy, but what am I saying?\Like putting salt\Into sweet vanilla...\The Stars Are Far Away\Interview Room\Home response:	Run
context: I'd say, I hate you\I'm happy, but what am I saying?\Like putting salt\Into sweet vanilla...\The Stars Are Far Away\Interview Room\Home\Run response:	Home
context: I'm happy, but what am I saying?\Like putting salt\Into sweet vanilla...\The Stars Are Far Away\Interview Room\Home\Run\Home response:	Run
context: Like putting salt\Into sweet vanilla...\The Stars Are Far Away\Interview Room\Home\Run\Home\Run response:	Home
context: Into sweet vanilla...\The Stars Are Far Away\Interview Room\Home\Run\Home\Run\Home response:	Run
context: The Stars Are Far Away\Interview Room\Home\Run\Home\Run\Home\Run response:	Home
context: Interview Room\Home\Run\Home\Run\Home\Run\Home response:	Run
context: Home\Run\Home\Run\Home\Run\Home\Run response:	Home
context: Run\Home\Run\Home\Run\Home\Run\Home response:	Run
context: Home\Run\Home\Run\Home\Run\Home\Run response:	Home
context: Run\Home\Run\Home\Run\Home\Run\Home response:	Run
context: Home\Run\Home\Run\Home\Run\Home\Run response:	Student Council President Candidate
context: Run\Home\Run\Home\Run\Home\Run\Student Council President Candidate response:	Next Episode Preview
context: Home\Run\Home\Run\Home\Run\Student Council President Candidate\Next Episode Preview response:	One Step Forward
context: Run\Home\Run\Home\Run\Student Council President Candidate\Next Episode Preview\One Step Forward response:	Ami-chan, does that mean you took it?
context: Home\Run\Home\Run\Student Council President Candidate\Next Episode Preview\One Step Forward\Ami-chan, does that mean you took it? response:	That big...
context: Run\Home\Run\Student Council President Candidate\Next Episode Preview\One Step Forward\Ami-chan, does that mean you took it?\That big... response:	It's still a job, after all.
context: Home\Run\Student Council President Candidate\Next Episode Preview\One Step Forward\Ami-chan, does that mean you took it?\That big...\It's still a job, after all. response:	By big, do you mean it was as big as this?
context: Run\Student Council President Candidate\Next Episode Preview\One Step Forward\Ami-chan, does that mean you took it?\That big...\It's still a job, after all.\By big, do you mean it was as big as this? response:	No, it's even...
context: Student Council President Candidate\Next Episode Preview\One Step Forward\Ami-chan, does that mean you took it?\That big...\It's still a job, after all.\By big, do you mean it was as big as this?\No, it's even... response:	Gosh, I'm sorry.
context: Next Episode Preview\One Step Forward\Ami-chan, does that mean you took it?\That big...\It's still a job, after all.\By big, do you mean it was as big as this?\No, it's even...\Gosh, I'm sorry. response:	Oh, it's Yuusaku.
context: One Step Forward\Ami-chan, does that mean you took it?\That big...\It's still a job, after all.\By big, do you mean it was as big as this?\No, it's even...\Gosh, I'm sorry.\Oh, it's Yuusaku. response:	What are you talking about that's big?
context: Ami-chan, does that mean you took it?\That big...\It's still a job, after all.\By big, do you mean it was as big as this?\No, it's even...\Gosh, I'm sorry.\Oh, it's Yuusaku.\What are you talking about that's big? response:	Don't tell me you're talking about pe -
context: That big...\It's still a job, after all.\By big, do you mean it was as big as this?\No, it's even...\Gosh, I'm sorry.\Oh, it's Yuusaku.\What are you talking about that's big?\Don't tell me you're talking about pe - response:	Gosh! I'm talking about dogs.
context: It's still a job, after all.\By big, do you mean it was as big as this?\No, it's even...\Gosh, I'm sorry.\Oh, it's Yuusaku.\What are you talking about that's big?\Don't tell me you're talking about pe -\Gosh! I'm talking about dogs. response:	I have to take pictures with a super-huge dog for a magazine shoot.
context: By big, do you mean it was as big as this?\No, it's even...\Gosh, I'm sorry.\Oh, it's Yuusaku.\What are you talking about that's big?\Don't tell me you're talking about pe -\Gosh! I'm talking about dogs.\I have to take pictures with a super-huge dog for a magazine shoot. response:	Oh my gosh, what did you mistake it for?
context: No, it's even...\Gosh, I'm sorry.\Oh, it's Yuusaku.\What are you talking about that's big?\Don't tell me you're talking about pe -\Gosh! I'm talking about dogs.\I have to take pictures with a super-huge dog for a magazine shoot.\Oh my gosh, what did you mistake it for? response:	Maruo, are you all right?
context: Gosh, I'm sorry.\Oh, it's Yuusaku.\What are you talking about that's big?\Don't tell me you're talking about pe -\Gosh! I'm talking about dogs.\I have to take pictures with a super-huge dog for a magazine shoot.\Oh my gosh, what did you mistake it for?\Maruo, are you all right? response:	Somehow, you don't look too well.
context: Oh, it's Yuusaku.\What are you talking about that's big?\Don't tell me you're talking about pe -\Gosh! I'm talking about dogs.\I have to take pictures with a super-huge dog for a magazine shoot.\Oh my gosh, what did you mistake it for?\Maruo, are you all right?\Somehow, you don't look too well. response:	All right, everyone sit down!
context: What are you talking about that's big?\Don't tell me you're talking about pe -\Gosh! I'm talking about dogs.\I have to take pictures with a super-huge dog for a magazine shoot.\Oh my gosh, what did you mistake it for?\Maruo, are you all right?\Somehow, you don't look too well.\All right, everyone sit down! response:	Now, let's begin the final homeroom session before we go home.
context: Don't tell me you're talking about pe -\Gosh! I'm talking about dogs.\I have to take pictures with a super-huge dog for a magazine shoot.\Oh my gosh, what did you mistake it for?\Maruo, are you all right?\Somehow, you don't look too well.\All right, everyone sit down!\Now, let's begin the final homeroom session before we go home. response:	Class President, please give your instructions.
context: Gosh! I'm talking about dogs.\I have to take pictures with a super-huge dog for a magazine shoot.\Oh my gosh, what did you mistake it for?\Maruo, are you all right?\Somehow, you don't look too well.\All right, everyone sit down!\Now, let's begin the final homeroom session before we go home.\Class President, please give your instructions. response:	Kitamura-kun?
context: I have to take pictures with a super-huge dog for a magazine shoot.\Oh my gosh, what did you mistake it for?\Maruo, are you all right?\Somehow, you don't look too well.\All right, everyone sit down!\Now, let's begin the final homeroom session before we go home.\Class President, please give your instructions.\Kitamura-kun? response:	Stand.
context: Oh my gosh, what did you mistake it for?\Maruo, are you all right?\Somehow, you don't look too well.\All right, everyone sit down!\Now, let's begin the final homeroom session before we go home.\Class President, please give your instructions.\Kitamura-kun?\Stand. response:	Bow.
context: Maruo, are you all right?\Somehow, you don't look too well.\All right, everyone sit down!\Now, let's begin the final homeroom session before we go home.\Class President, please give your instructions.\Kitamura-kun?\Stand.\Bow. response:	Let's eat.
context: Somehow, you don't look too well.\All right, everyone sit down!\Now, let's begin the final homeroom session before we go home.\Class President, please give your instructions.\Kitamura-kun?\Stand.\Bow.\Let's eat. response:	What?
context: All right, everyone sit down!\Now, let's begin the final homeroom session before we go home.\Class President, please give your instructions.\Kitamura-kun?\Stand.\Bow.\Let's eat.\What? response:	A gag?
context: Now, let's begin the final homeroom session before we go home.\Class President, please give your instructions.\Kitamura-kun?\Stand.\Bow.\Let's eat.\What?\A gag? response:	Somehow, things aren't going well...
context: Class President, please give your instructions.\Kitamura-kun?\Stand.\Bow.\Let's eat.\What?\A gag?\Somehow, things aren't going well... response:	But let's cheer up, okay?
context: Kitamura-kun?\Stand.\Bow.\Let's eat.\What?\A gag?\Somehow, things aren't going well...\But let's cheer up, okay? response:	Kitamura?
context: Stand.\Bow.\Let's eat.\What?\A gag?\Somehow, things aren't going well...\But let's cheer up, okay?\Kitamura? response:	The weekend is tomorrow.
context: Bow.\Let's eat.\What?\A gag?\Somehow, things aren't going well...\But let's cheer up, okay?\Kitamura?\The weekend is tomorrow. response:	After the break,
context: Let's eat.\What?\A gag?\Somehow, things aren't going well...\But let's cheer up, okay?\Kitamura?\The weekend is tomorrow.\After the break, response:	it's the long-anticipated student council president election.
context: What?\A gag?\Somehow, things aren't going well...\But let's cheer up, okay?\Kitamura?\The weekend is tomorrow.\After the break,\it's the long-anticipated student council president election. response:	Oh, so it's here.
context: A gag?\Somehow, things aren't going well...\But let's cheer up, okay?\Kitamura?\The weekend is tomorrow.\After the break,\it's the long-anticipated student council president election.\Oh, so it's here. response:	We have an event!
context: Somehow, things aren't going well...\But let's cheer up, okay?\Kitamura?\The weekend is tomorrow.\After the break,\it's the long-anticipated student council president election.\Oh, so it's here.\We have an event! response:	Kitamura-kun, cheer up and give it your best shot, okay?
context: But let's cheer up, okay?\Kitamura?\The weekend is tomorrow.\After the break,\it's the long-anticipated student council president election.\Oh, so it's here.\We have an event!\Kitamura-kun, cheer up and give it your best shot, okay? response:	You're the number one candidate for it.
context: Kitamura?\The weekend is tomorrow.\After the break,\it's the long-anticipated student council president election.\Oh, so it's here.\We have an event!\Kitamura-kun, cheer up and give it your best shot, okay?\You're the number one candidate for it. response:	Actually, you're the only one.
context: The weekend is tomorrow.\After the break,\it's the long-anticipated student council president election.\Oh, so it's here.\We have an event!\Kitamura-kun, cheer up and give it your best shot, okay?\You're the number one candidate for it.\Actually, you're the only one. response:	Yeah! Let's make it more exciting!
context: After the break,\it's the long-anticipated student council president election.\Oh, so it's here.\We have an event!\Kitamura-kun, cheer up and give it your best shot, okay?\You're the number one candidate for it.\Actually, you're the only one.\Yeah! Let's make it more exciting! response:	But it's already decided that the next president will be Kitamura.
context: it's the long-anticipated student council president election.\Oh, so it's here.\We have an event!\Kitamura-kun, cheer up and give it your best shot, okay?\You're the number one candidate for it.\Actually, you're the only one.\Yeah! Let's make it more exciting!\But it's already decided that the next president will be Kitamura. response:	Kitamura, good luck.
context: Oh, so it's here.\We have an event!\Kitamura-kun, cheer up and give it your best shot, okay?\You're the number one candidate for it.\Actually, you're the only one.\Yeah! Let's make it more exciting!\But it's already decided that the next president will be Kitamura.\Kitamura, good luck. response:	We'll also help you -
context: We have an event!\Kitamura-kun, cheer up and give it your best shot, okay?\You're the number one candidate for it.\Actually, you're the only one.\Yeah! Let's make it more exciting!\But it's already decided that the next president will be Kitamura.\Kitamura, good luck.\We'll also help you - response:	No...
context: Kitamura-kun, cheer up and give it your best shot, okay?\You're the number one candidate for it.\Actually, you're the only one.\Yeah! Let's make it more exciting!\But it's already decided that the next president will be Kitamura.\Kitamura, good luck.\We'll also help you -\No... response:	I'm not going to run for it.
context: You're the number one candidate for it.\Actually, you're the only one.\Yeah! Let's make it more exciting!\But it's already decided that the next president will be Kitamura.\Kitamura, good luck.\We'll also help you -\No...\I'm not going to run for it. response:	I'm resigning my seat as vice-president.
context: Actually, you're the only one.\Yeah! Let's make it more exciting!\But it's already decided that the next president will be Kitamura.\Kitamura, good luck.\We'll also help you -\No...\I'm not going to run for it.\I'm resigning my seat as vice-president. response:	I'm quitting the student council.
context: Yeah! Let's make it more exciting!\But it's already decided that the next president will be Kitamura.\Kitamura, good luck.\We'll also help you -\No...\I'm not going to run for it.\I'm resigning my seat as vice-president.\I'm quitting the student council. response:	I'm quitting... I'm quitting...
context: But it's already decided that the next president will be Kitamura.\Kitamura, good luck.\We'll also help you -\No...\I'm not going to run for it.\I'm resigning my seat as vice-president.\I'm quitting the student council.\I'm quitting... I'm quitting... response:	Kitamura-kun?
context: Kitamura, good luck.\We'll also help you -\No...\I'm not going to run for it.\I'm resigning my seat as vice-president.\I'm quitting the student council.\I'm quitting... I'm quitting...\Kitamura-kun? response:	I'm quitting it all!
context: We'll also help you -\No...\I'm not going to run for it.\I'm resigning my seat as vice-president.\I'm quitting the student council.\I'm quitting... I'm quitting...\Kitamura-kun?\I'm quitting it all! response:	All!
context: No...\I'm not going to run for it.\I'm resigning my seat as vice-president.\I'm quitting the student council.\I'm quitting... I'm quitting...\Kitamura-kun?\I'm quitting it all!\All! response:	All!
context: I'm not going to run for it.\I'm resigning my seat as vice-president.\I'm quitting the student council.\I'm quitting... I'm quitting...\Kitamura-kun?\I'm quitting it all!\All!\All! response:	All!
context: I'm resigning my seat as vice-president.\I'm quitting the student council.\I'm quitting... I'm quitting...\Kitamura-kun?\I'm quitting it all!\All!\All!\All! response:	Kitamura-kun?
context: I'm quitting the student council.\I'm quitting... I'm quitting...\Kitamura-kun?\I'm quitting it all!\All!\All!\All!\Kitamura-kun? response:	All!
context: I'm quitting... I'm quitting...\Kitamura-kun?\I'm quitting it all!\All!\All!\All!\Kitamura-kun?\All! response:	In the end, Kitamura didn't reply.
context: Kitamura-kun?\I'm quitting it all!\All!\All!\All!\Kitamura-kun?\All!\In the end, Kitamura didn't reply. response:	What happened to Kitamura-kun?
context: I'm quitting it all!\All!\All!\All!\Kitamura-kun?\All!\In the end, Kitamura didn't reply.\What happened to Kitamura-kun? response:	He said he's quitting the student council.
context: All!\All!\All!\Kitamura-kun?\All!\In the end, Kitamura didn't reply.\What happened to Kitamura-kun?\He said he's quitting the student council. response:	Student council...
context: All!\All!\Kitamura-kun?\All!\In the end, Kitamura didn't reply.\What happened to Kitamura-kun?\He said he's quitting the student council.\Student council... response:	Were you bullied by that evil student council president?
context: All!\Kitamura-kun?\All!\In the end, Kitamura didn't reply.\What happened to Kitamura-kun?\He said he's quitting the student council.\Student council...\Were you bullied by that evil student council president? response:	What's that?
context: Kitamura-kun?\All!\In the end, Kitamura didn't reply.\What happened to Kitamura-kun?\He said he's quitting the student council.\Student council...\Were you bullied by that evil student council president?\What's that? response:	Let me go!
context: All!\In the end, Kitamura didn't reply.\What happened to Kitamura-kun?\He said he's quitting the student council.\Student council...\Were you bullied by that evil student council president?\What's that?\Let me go! response:	What are you thinking?!
context: In the end, Kitamura didn't reply.\What happened to Kitamura-kun?\He said he's quitting the student council.\Student council...\Were you bullied by that evil student council president?\What's that?\Let me go!\What are you thinking?! response:	Minorin, what's wrong?
context: What happened to Kitamura-kun?\He said he's quitting the student council.\Student council...\Were you bullied by that evil student council president?\What's that?\Let me go!\What are you thinking?!\Minorin, what's wrong? response:	Look at that! This is bad!
context: He said he's quitting the student council.\Student council...\Were you bullied by that evil student council president?\What's that?\Let me go!\What are you thinking?!\Minorin, what's wrong?\Look at that! This is bad! response:	K-Kitamura-kun.
context: Student council...\Were you bullied by that evil student council president?\What's that?\Let me go!\What are you thinking?!\Minorin, what's wrong?\Look at that! This is bad!\K-Kitamura-kun. response:	What's with his hair?
context: Were you bullied by that evil student council president?\What's that?\Let me go!\What are you thinking?!\Minorin, what's wrong?\Look at that! This is bad!\K-Kitamura-kun.\What's with his hair? response:	He's not even responding to us.
context: What's that?\Let me go!\What are you thinking?!\Minorin, what's wrong?\Look at that! This is bad!\K-Kitamura-kun.\What's with his hair?\He's not even responding to us. response:	That's why we want to ask the people who are closest to him.
context: Let me go!\What are you thinking?!\Minorin, what's wrong?\Look at that! This is bad!\K-Kitamura-kun.\What's with his hair?\He's not even responding to us.\That's why we want to ask the people who are closest to him. response:	So any ideas?
context: What are you thinking?!\Minorin, what's wrong?\Look at that! This is bad!\K-Kitamura-kun.\What's with his hair?\He's not even responding to us.\That's why we want to ask the people who are closest to him.\So any ideas? response:	Nope.
context: Minorin, what's wrong?\Look at that! This is bad!\K-Kitamura-kun.\What's with his hair?\He's not even responding to us.\That's why we want to ask the people who are closest to him.\So any ideas?\Nope. response:	I can't believe there are still people who express themselves like this.
context: Look at that! This is bad!\K-Kitamura-kun.\What's with his hair?\He's not even responding to us.\That's why we want to ask the people who are closest to him.\So any ideas?\Nope.\I can't believe there are still people who express themselves like this. response:	No... I don't really...
context: K-Kitamura-kun.\What's with his hair?\He's not even responding to us.\That's why we want to ask the people who are closest to him.\So any ideas?\Nope.\I can't believe there are still people who express themselves like this.\No... I don't really... response:	Kanou-san, what about you?
context: What's with his hair?\He's not even responding to us.\That's why we want to ask the people who are closest to him.\So any ideas?\Nope.\I can't believe there are still people who express themselves like this.\No... I don't really...\Kanou-san, what about you? response:	I don't know, and I can't even comprehend it.
context: He's not even responding to us.\That's why we want to ask the people who are closest to him.\So any ideas?\Nope.\I can't believe there are still people who express themselves like this.\No... I don't really...\Kanou-san, what about you?\I don't know, and I can't even comprehend it. response:	Besides, he has already left the student council.
context: That's why we want to ask the people who are closest to him.\So any ideas?\Nope.\I can't believe there are still people who express themselves like this.\No... I don't really...\Kanou-san, what about you?\I don't know, and I can't even comprehend it.\Besides, he has already left the student council. response:	What he does has nothing to do with me anymore.
context: So any ideas?\Nope.\I can't believe there are still people who express themselves like this.\No... I don't really...\Kanou-san, what about you?\I don't know, and I can't even comprehend it.\Besides, he has already left the student council.\What he does has nothing to do with me anymore. response:	Kanou-san...
context: Nope.\I can't believe there are still people who express themselves like this.\No... I don't really...\Kanou-san, what about you?\I don't know, and I can't even comprehend it.\Besides, he has already left the student council.\What he does has nothing to do with me anymore.\Kanou-san... response:	Sensei, you're wasting your time on that idiot.
context: I can't believe there are still people who express themselves like this.\No... I don't really...\Kanou-san, what about you?\I don't know, and I can't even comprehend it.\Besides, he has already left the student council.\What he does has nothing to do with me anymore.\Kanou-san...\Sensei, you're wasting your time on that idiot. response:	Wait...
context: No... I don't really...\Kanou-san, what about you?\I don't know, and I can't even comprehend it.\Besides, he has already left the student council.\What he does has nothing to do with me anymore.\Kanou-san...\Sensei, you're wasting your time on that idiot.\Wait... response:	Kanou-senpai, aren't you getting colder and colder?
context: Kanou-san, what about you?\I don't know, and I can't even comprehend it.\Besides, he has already left the student council.\What he does has nothing to do with me anymore.\Kanou-san...\Sensei, you're wasting your time on that idiot.\Wait...\Kanou-senpai, aren't you getting colder and colder? response:	I bet that you're the reason why Yuusaku has gone bad.
context: I don't know, and I can't even comprehend it.\Besides, he has already left the student council.\What he does has nothing to do with me anymore.\Kanou-san...\Sensei, you're wasting your time on that idiot.\Wait...\Kanou-senpai, aren't you getting colder and colder?\I bet that you're the reason why Yuusaku has gone bad. response:	Hey, Kawashima...
context: Besides, he has already left the student council.\What he does has nothing to do with me anymore.\Kanou-san...\Sensei, you're wasting your time on that idiot.\Wait...\Kanou-senpai, aren't you getting colder and colder?\I bet that you're the reason why Yuusaku has gone bad.\Hey, Kawashima... response:	Perhaps you're correct.
context: What he does has nothing to do with me anymore.\Kanou-san...\Sensei, you're wasting your time on that idiot.\Wait...\Kanou-senpai, aren't you getting colder and colder?\I bet that you're the reason why Yuusaku has gone bad.\Hey, Kawashima...\Perhaps you're correct. response:	Huh?
