context: I might be moving to Chiba response:	Kotarou-kun?
context: I'll come watch.\Okay.\Cheers.\Cheers!\I saw him earlier.\Oh, he's here?\Yeah. Everyone was there.\They're really good friends. response:	There you are.
context: Okay.\Cheers.\Cheers!\I saw him earlier.\Oh, he's here?\Yeah. Everyone was there.\They're really good friends.\There you are. response:	You're late!
context: Cheers.\Cheers!\I saw him earlier.\Oh, he's here?\Yeah. Everyone was there.\They're really good friends.\There you are.\You're late! response:	Sorry, sorry.
context: Cheers!\I saw him earlier.\Oh, he's here?\Yeah. Everyone was there.\They're really good friends.\There you are.\You're late!\Sorry, sorry. response:	Let's go.
context: I saw him earlier.\Oh, he's here?\Yeah. Everyone was there.\They're really good friends.\There you are.\You're late!\Sorry, sorry.\Let's go. response:	Ready?
context: Oh, he's here?\Yeah. Everyone was there.\They're really good friends.\There you are.\You're late!\Sorry, sorry.\Let's go.\Ready? response:	Rock-Paper-Scissors
context: Yeah. Everyone was there.\They're really good friends.\There you are.\You're late!\Sorry, sorry.\Let's go.\Ready?\Rock-Paper-Scissors response:	Win -> Earn Two
context: They're really good friends.\There you are.\You're late!\Sorry, sorry.\Let's go.\Ready?\Rock-Paper-Scissors\Win -> Earn Two response:	Lose/Draw -> Earn One
context: There you are.\You're late!\Sorry, sorry.\Let's go.\Ready?\Rock-Paper-Scissors\Win -> Earn Two\Lose/Draw -> Earn One response:	Rock, paper, scissors.
context: You're late!\Sorry, sorry.\Let's go.\Ready?\Rock-Paper-Scissors\Win -> Earn Two\Lose/Draw -> Earn One\Rock, paper, scissors. response:	You did it!
context: Sorry, sorry.\Let's go.\Ready?\Rock-Paper-Scissors\Win -> Earn Two\Lose/Draw -> Earn One\Rock, paper, scissors.\You did it! response:	Damn, I missed!
context: Let's go.\Ready?\Rock-Paper-Scissors\Win -> Earn Two\Lose/Draw -> Earn One\Rock, paper, scissors.\You did it!\Damn, I missed! response:	Hey, let's all go to the haunted house.
context: Ready?\Rock-Paper-Scissors\Win -> Earn Two\Lose/Draw -> Earn One\Rock, paper, scissors.\You did it!\Damn, I missed!\Hey, let's all go to the haunted house. response:	That sounds fun!
context: Rock-Paper-Scissors\Win -> Earn Two\Lose/Draw -> Earn One\Rock, paper, scissors.\You did it!\Damn, I missed!\Hey, let's all go to the haunted house.\That sounds fun! response:	Isn't that for kids?
context: Win -> Earn Two\Lose/Draw -> Earn One\Rock, paper, scissors.\You did it!\Damn, I missed!\Hey, let's all go to the haunted house.\That sounds fun!\Isn't that for kids? response:	Are you scared?
context: Lose/Draw -> Earn One\Rock, paper, scissors.\You did it!\Damn, I missed!\Hey, let's all go to the haunted house.\That sounds fun!\Isn't that for kids?\Are you scared? response:	Don't bother trying to taunt me.
context: Rock, paper, scissors.\You did it!\Damn, I missed!\Hey, let's all go to the haunted house.\That sounds fun!\Isn't that for kids?\Are you scared?\Don't bother trying to taunt me. response:	That was so scary!
context: You did it!\Damn, I missed!\Hey, let's all go to the haunted house.\That sounds fun!\Isn't that for kids?\Are you scared?\Don't bother trying to taunt me.\That was so scary! response:	I'm sorry I made fun of it!
context: Damn, I missed!\Hey, let's all go to the haunted house.\That sounds fun!\Isn't that for kids?\Are you scared?\Don't bother trying to taunt me.\That was so scary!\I'm sorry I made fun of it! response:	Actually, that was kind of awesome.
context: Hey, let's all go to the haunted house.\That sounds fun!\Isn't that for kids?\Are you scared?\Don't bother trying to taunt me.\That was so scary!\I'm sorry I made fun of it!\Actually, that was kind of awesome. response:	Wasn't it?
context: That sounds fun!\Isn't that for kids?\Are you scared?\Don't bother trying to taunt me.\That was so scary!\I'm sorry I made fun of it!\Actually, that was kind of awesome.\Wasn't it? response:	Totally!
context: Isn't that for kids?\Are you scared?\Don't bother trying to taunt me.\That was so scary!\I'm sorry I made fun of it!\Actually, that was kind of awesome.\Wasn't it?\Totally! response:	That's the one Kotarou-kun's been doing.
context: Are you scared?\Don't bother trying to taunt me.\That was so scary!\I'm sorry I made fun of it!\Actually, that was kind of awesome.\Wasn't it?\Totally!\That's the one Kotarou-kun's been doing. response:	Wait, was that Azumi-kun?
context: Don't bother trying to taunt me.\That was so scary!\I'm sorry I made fun of it!\Actually, that was kind of awesome.\Wasn't it?\Totally!\That's the one Kotarou-kun's been doing.\Wait, was that Azumi-kun? response:	Yeah.
context: That was so scary!\I'm sorry I made fun of it!\Actually, that was kind of awesome.\Wasn't it?\Totally!\That's the one Kotarou-kun's been doing.\Wait, was that Azumi-kun?\Yeah. response:	He looked really cool.
context: I'm sorry I made fun of it!\Actually, that was kind of awesome.\Wasn't it?\Totally!\That's the one Kotarou-kun's been doing.\Wait, was that Azumi-kun?\Yeah.\He looked really cool. response:	Yeah.
context: Actually, that was kind of awesome.\Wasn't it?\Totally!\That's the one Kotarou-kun's been doing.\Wait, was that Azumi-kun?\Yeah.\He looked really cool.\Yeah. response:	It's so hot.
context: Wasn't it?\Totally!\That's the one Kotarou-kun's been doing.\Wait, was that Azumi-kun?\Yeah.\He looked really cool.\Yeah.\It's so hot. response:	That was pretty good.
context: Totally!\That's the one Kotarou-kun's been doing.\Wait, was that Azumi-kun?\Yeah.\He looked really cool.\Yeah.\It's so hot.\That was pretty good. response:	It was all right.
context: That's the one Kotarou-kun's been doing.\Wait, was that Azumi-kun?\Yeah.\He looked really cool.\Yeah.\It's so hot.\That was pretty good.\It was all right. response:	You're pretty demanding.
context: Wait, was that Azumi-kun?\Yeah.\He looked really cool.\Yeah.\It's so hot.\That was pretty good.\It was all right.\You're pretty demanding. response:	Oh, right, about our light novel discussion...
context: Yeah.\He looked really cool.\Yeah.\It's so hot.\That was pretty good.\It was all right.\You're pretty demanding.\Oh, right, about our light novel discussion... response:	Yeah?
context: He looked really cool.\Yeah.\It's so hot.\That was pretty good.\It was all right.\You're pretty demanding.\Oh, right, about our light novel discussion...\Yeah? response:	I think you should keep it as it was.
context: Yeah.\It's so hot.\That was pretty good.\It was all right.\You're pretty demanding.\Oh, right, about our light novel discussion...\Yeah?\I think you should keep it as it was. response:	What do you mean?
context: It's so hot.\That was pretty good.\It was all right.\You're pretty demanding.\Oh, right, about our light novel discussion...\Yeah?\I think you should keep it as it was.\What do you mean? response:	That novel you had me read before...
context: That was pretty good.\It was all right.\You're pretty demanding.\Oh, right, about our light novel discussion...\Yeah?\I think you should keep it as it was.\What do you mean?\That novel you had me read before... response:	I think light novel fans would appreciate it, too.
context: It was all right.\You're pretty demanding.\Oh, right, about our light novel discussion...\Yeah?\I think you should keep it as it was.\What do you mean?\That novel you had me read before...\I think light novel fans would appreciate it, too. response:	Good job.
context: You're pretty demanding.\Oh, right, about our light novel discussion...\Yeah?\I think you should keep it as it was.\What do you mean?\That novel you had me read before...\I think light novel fans would appreciate it, too.\Good job. response:	We have some time until the next shift.
context: Oh, right, about our light novel discussion...\Yeah?\I think you should keep it as it was.\What do you mean?\That novel you had me read before...\I think light novel fans would appreciate it, too.\Good job.\We have some time until the next shift. response:	You can go enjoy the festival.
context: Yeah?\I think you should keep it as it was.\What do you mean?\That novel you had me read before...\I think light novel fans would appreciate it, too.\Good job.\We have some time until the next shift.\You can go enjoy the festival. response:	Okay.
context: I think you should keep it as it was.\What do you mean?\That novel you had me read before...\I think light novel fans would appreciate it, too.\Good job.\We have some time until the next shift.\You can go enjoy the festival.\Okay. response:	See you soon.
context: What do you mean?\That novel you had me read before...\I think light novel fans would appreciate it, too.\Good job.\We have some time until the next shift.\You can go enjoy the festival.\Okay.\See you soon. response:	Why don't you go relax?
context: That novel you had me read before...\I think light novel fans would appreciate it, too.\Good job.\We have some time until the next shift.\You can go enjoy the festival.\Okay.\See you soon.\Why don't you go relax? response:	I have some time
context: I think light novel fans would appreciate it, too.\Good job.\We have some time until the next shift.\You can go enjoy the festival.\Okay.\See you soon.\Why don't you go relax?\I have some time response:	Where are you?
context: Good job.\We have some time until the next shift.\You can go enjoy the festival.\Okay.\See you soon.\Why don't you go relax?\I have some time\Where are you? response:	Monzenyokocho
context: We have some time until the next shift.\You can go enjoy the festival.\Okay.\See you soon.\Why don't you go relax?\I have some time\Where are you?\Monzenyokocho response:	I'm with the track club people
context: You can go enjoy the festival.\Okay.\See you soon.\Why don't you go relax?\I have some time\Where are you?\Monzenyokocho\I'm with the track club people response:	I'll contact you when I'm nearby
context: Okay.\See you soon.\Why don't you go relax?\I have some time\Where are you?\Monzenyokocho\I'm with the track club people\I'll contact you when I'm nearby response:	Okay
context: See you soon.\Why don't you go relax?\I have some time\Where are you?\Monzenyokocho\I'm with the track club people\I'll contact you when I'm nearby\Okay response:	Okay, let's start!
context: Why don't you go relax?\I have some time\Where are you?\Monzenyokocho\I'm with the track club people\I'll contact you when I'm nearby\Okay\Okay, let's start! response:	Loser takes the trash.
context: I have some time\Where are you?\Monzenyokocho\I'm with the track club people\I'll contact you when I'm nearby\Okay\Okay, let's start!\Loser takes the trash. response:	Rock, paper, scissors!
context: Where are you?\Monzenyokocho\I'm with the track club people\I'll contact you when I'm nearby\Okay\Okay, let's start!\Loser takes the trash.\Rock, paper, scissors! response:	One more time!
context: Monzenyokocho\I'm with the track club people\I'll contact you when I'm nearby\Okay\Okay, let's start!\Loser takes the trash.\Rock, paper, scissors!\One more time! response:	Yes!
context: I'm with the track club people\I'll contact you when I'm nearby\Okay\Okay, let's start!\Loser takes the trash.\Rock, paper, scissors!\One more time!\Yes! response:	Score!
context: I'll contact you when I'm nearby\Okay\Okay, let's start!\Loser takes the trash.\Rock, paper, scissors!\One more time!\Yes!\Score! response:	All right!
context: Okay\Okay, let's start!\Loser takes the trash.\Rock, paper, scissors!\One more time!\Yes!\Score!\All right! response:	Here you go! Thank you!
context: Okay, let's start!\Loser takes the trash.\Rock, paper, scissors!\One more time!\Yes!\Score!\All right!\Here you go! Thank you! response:	Yeah!
context: Loser takes the trash.\Rock, paper, scissors!\One more time!\Yes!\Score!\All right!\Here you go! Thank you!\Yeah! response:	I haven't had imokoi in forever.
context: Rock, paper, scissors!\One more time!\Yes!\Score!\All right!\Here you go! Thank you!\Yeah!\I haven't had imokoi in forever. response:	Yeah, it's so good.
context: One more time!\Yes!\Score!\All right!\Here you go! Thank you!\Yeah!\I haven't had imokoi in forever.\Yeah, it's so good. response:	I know.
context: Yes!\Score!\All right!\Here you go! Thank you!\Yeah!\I haven't had imokoi in forever.\Yeah, it's so good.\I know. response:	I want imokoi.
context: Score!\All right!\Here you go! Thank you!\Yeah!\I haven't had imokoi in forever.\Yeah, it's so good.\I know.\I want imokoi. response:	You're still hungry?
context: All right!\Here you go! Thank you!\Yeah!\I haven't had imokoi in forever.\Yeah, it's so good.\I know.\I want imokoi.\You're still hungry? response:	Totally.
context: Here you go! Thank you!\Yeah!\I haven't had imokoi in forever.\Yeah, it's so good.\I know.\I want imokoi.\You're still hungry?\Totally. response:	You quit the club. Should you be eating so much?
context: Yeah!\I haven't had imokoi in forever.\Yeah, it's so good.\I know.\I want imokoi.\You're still hungry?\Totally.\You quit the club. Should you be eating so much? response:	Oh, shut up.
context: I haven't had imokoi in forever.\Yeah, it's so good.\I know.\I want imokoi.\You're still hungry?\Totally.\You quit the club. Should you be eating so much?\Oh, shut up. response:	I have some time
context: Yeah, it's so good.\I know.\I want imokoi.\You're still hungry?\Totally.\You quit the club. Should you be eating so much?\Oh, shut up.\I have some time response:	Where are you?
context: I know.\I want imokoi.\You're still hungry?\Totally.\You quit the club. Should you be eating so much?\Oh, shut up.\I have some time\Where are you? response:	Monzenyokocho
context: I want imokoi.\You're still hungry?\Totally.\You quit the club. Should you be eating so much?\Oh, shut up.\I have some time\Where are you?\Monzenyokocho response:	I'm with the track club people
context: You're still hungry?\Totally.\You quit the club. Should you be eating so much?\Oh, shut up.\I have some time\Where are you?\Monzenyokocho\I'm with the track club people response:	Hey, Mizuno.
context: Totally.\You quit the club. Should you be eating so much?\Oh, shut up.\I have some time\Where are you?\Monzenyokocho\I'm with the track club people\Hey, Mizuno. response:	Want to get some imokoi?
context: You quit the club. Should you be eating so much?\Oh, shut up.\I have some time\Where are you?\Monzenyokocho\I'm with the track club people\Hey, Mizuno.\Want to get some imokoi? response:	Time to eat.
context: Oh, shut up.\I have some time\Where are you?\Monzenyokocho\I'm with the track club people\Hey, Mizuno.\Want to get some imokoi?\Time to eat. response:	You're eating it already?
context: I have some time\Where are you?\Monzenyokocho\I'm with the track club people\Hey, Mizuno.\Want to get some imokoi?\Time to eat.\You're eating it already? response:	It's fine, okay?
context: Where are you?\Monzenyokocho\I'm with the track club people\Hey, Mizuno.\Want to get some imokoi?\Time to eat.\You're eating it already?\It's fine, okay? response:	You look so happy.
context: Monzenyokocho\I'm with the track club people\Hey, Mizuno.\Want to get some imokoi?\Time to eat.\You're eating it already?\It's fine, okay?\You look so happy. response:	It's my favorite.
context: I'm with the track club people\Hey, Mizuno.\Want to get some imokoi?\Time to eat.\You're eating it already?\It's fine, okay?\You look so happy.\It's my favorite. response:	It's a Kawagoe specialty.
context: Hey, Mizuno.\Want to get some imokoi?\Time to eat.\You're eating it already?\It's fine, okay?\You look so happy.\It's my favorite.\It's a Kawagoe specialty. response:	You won't be able to have any once you move, huh?
context: Want to get some imokoi?\Time to eat.\You're eating it already?\It's fine, okay?\You look so happy.\It's my favorite.\It's a Kawagoe specialty.\You won't be able to have any once you move, huh? response:	Why would you say that?
context: Time to eat.\You're eating it already?\It's fine, okay?\You look so happy.\It's my favorite.\It's a Kawagoe specialty.\You won't be able to have any once you move, huh?\Why would you say that? response:	Oh, my bad.
context: You're eating it already?\It's fine, okay?\You look so happy.\It's my favorite.\It's a Kawagoe specialty.\You won't be able to have any once you move, huh?\Why would you say that?\Oh, my bad. response:	Sorry.
context: It's fine, okay?\You look so happy.\It's my favorite.\It's a Kawagoe specialty.\You won't be able to have any once you move, huh?\Why would you say that?\Oh, my bad.\Sorry. response:	It's fine.
context: You look so happy.\It's my favorite.\It's a Kawagoe specialty.\You won't be able to have any once you move, huh?\Why would you say that?\Oh, my bad.\Sorry.\It's fine. response:	I just feel kind of weird.
context: It's my favorite.\It's a Kawagoe specialty.\You won't be able to have any once you move, huh?\Why would you say that?\Oh, my bad.\Sorry.\It's fine.\I just feel kind of weird. response:	When you told me you were moving, I didn't know what to do.
context: It's a Kawagoe specialty.\You won't be able to have any once you move, huh?\Why would you say that?\Oh, my bad.\Sorry.\It's fine.\I just feel kind of weird.\When you told me you were moving, I didn't know what to do. response:	I've always had a crush on you.
context: You won't be able to have any once you move, huh?\Why would you say that?\Oh, my bad.\Sorry.\It's fine.\I just feel kind of weird.\When you told me you were moving, I didn't know what to do.\I've always had a crush on you. response:	I always saw you running so hard.
context: Why would you say that?\Oh, my bad.\Sorry.\It's fine.\I just feel kind of weird.\When you told me you were moving, I didn't know what to do.\I've always had a crush on you.\I always saw you running so hard. response:	Sorry, um... I'm in a relationship.
context: Oh, my bad.\Sorry.\It's fine.\I just feel kind of weird.\When you told me you were moving, I didn't know what to do.\I've always had a crush on you.\I always saw you running so hard.\Sorry, um... I'm in a relationship. response:	I know.
context: Sorry.\It's fine.\I just feel kind of weird.\When you told me you were moving, I didn't know what to do.\I've always had a crush on you.\I always saw you running so hard.\Sorry, um... I'm in a relationship.\I know. response:	But... why Azumi?
context: It's fine.\I just feel kind of weird.\When you told me you were moving, I didn't know what to do.\I've always had a crush on you.\I always saw you running so hard.\Sorry, um... I'm in a relationship.\I know.\But... why Azumi? response:	I know you way better.
context: I just feel kind of weird.\When you told me you were moving, I didn't know what to do.\I've always had a crush on you.\I always saw you running so hard.\Sorry, um... I'm in a relationship.\I know.\But... why Azumi?\I know you way better. response:	From the beginning...
context: When you told me you were moving, I didn't know what to do.\I've always had a crush on you.\I always saw you running so hard.\Sorry, um... I'm in a relationship.\I know.\But... why Azumi?\I know you way better.\From the beginning... response:	I've loved you more than anyone.
context: I've always had a crush on you.\I always saw you running so hard.\Sorry, um... I'm in a relationship.\I know.\But... why Azumi?\I know you way better.\From the beginning...\I've loved you more than anyone. response:	Sorry.
context: I always saw you running so hard.\Sorry, um... I'm in a relationship.\I know.\But... why Azumi?\I know you way better.\From the beginning...\I've loved you more than anyone.\Sorry. response:	You're my friend, Hira.
context: Sorry, um... I'm in a relationship.\I know.\But... why Azumi?\I know you way better.\From the beginning...\I've loved you more than anyone.\Sorry.\You're my friend, Hira. response:	You're important to me, but it's not the same.
context: I know.\But... why Azumi?\I know you way better.\From the beginning...\I've loved you more than anyone.\Sorry.\You're my friend, Hira.\You're important to me, but it's not the same. response:	All right.
context: But... why Azumi?\I know you way better.\From the beginning...\I've loved you more than anyone.\Sorry.\You're my friend, Hira.\You're important to me, but it's not the same.\All right. response:	I just wanted to tell you how I felt.
context: I know you way better.\From the beginning...\I've loved you more than anyone.\Sorry.\You're my friend, Hira.\You're important to me, but it's not the same.\All right.\I just wanted to tell you how I felt. response:	Thanks.
context: From the beginning...\I've loved you more than anyone.\Sorry.\You're my friend, Hira.\You're important to me, but it's not the same.\All right.\I just wanted to tell you how I felt.\Thanks. response:	Come to Toki no Kane
context: I've loved you more than anyone.\Sorry.\You're my friend, Hira.\You're important to me, but it's not the same.\All right.\I just wanted to tell you how I felt.\Thanks.\Come to Toki no Kane response:	Good job.
context: Sorry.\You're my friend, Hira.\You're important to me, but it's not the same.\All right.\I just wanted to tell you how I felt.\Thanks.\Come to Toki no Kane\Good job. response:	I didn't think I'd get to see you.
context: You're my friend, Hira.\You're important to me, but it's not the same.\All right.\I just wanted to tell you how I felt.\Thanks.\Come to Toki no Kane\Good job.\I didn't think I'd get to see you. response:	I told everyone I was leaving early.
context: You're important to me, but it's not the same.\All right.\I just wanted to tell you how I felt.\Thanks.\Come to Toki no Kane\Good job.\I didn't think I'd get to see you.\I told everyone I was leaving early. response:	Is something wrong?
context: All right.\I just wanted to tell you how I felt.\Thanks.\Come to Toki no Kane\Good job.\I didn't think I'd get to see you.\I told everyone I was leaving early.\Is something wrong? response:	Were you with Hira just now?
context: I just wanted to tell you how I felt.\Thanks.\Come to Toki no Kane\Good job.\I didn't think I'd get to see you.\I told everyone I was leaving early.\Is something wrong?\Were you with Hira just now? response:	Yeah.
context: Thanks.\Come to Toki no Kane\Good job.\I didn't think I'd get to see you.\I told everyone I was leaving early.\Is something wrong?\Were you with Hira just now?\Yeah. response:	Just the two of you?
context: Come to Toki no Kane\Good job.\I didn't think I'd get to see you.\I told everyone I was leaving early.\Is something wrong?\Were you with Hira just now?\Yeah.\Just the two of you? response:	Yeah, we lost a game and had to throw away the trash.
context: Good job.\I didn't think I'd get to see you.\I told everyone I was leaving early.\Is something wrong?\Were you with Hira just now?\Yeah.\Just the two of you?\Yeah, we lost a game and had to throw away the trash. response:	Why?
context: I didn't think I'd get to see you.\I told everyone I was leaving early.\Is something wrong?\Were you with Hira just now?\Yeah.\Just the two of you?\Yeah, we lost a game and had to throw away the trash.\Why? response:	I saw your dance, Kotarou-kun.
