context: Signs response:	Unread: Thank you for taking care of me
context: The scars from love that I'd almost forgotten\have started to ache all of a sudden.\Someday, like how I normally would...\I must say I love you, or else I'll become even weaker.\Infirmary\Confession\Ryuu-chan\Ryuu-chan response:	Ryuu - chan
context: have started to ache all of a sudden.\Someday, like how I normally would...\I must say I love you, or else I'll become even weaker.\Infirmary\Confession\Ryuu-chan\Ryuu-chan\Ryuu - chan response:	Ryuu - chan
context: Someday, like how I normally would...\I must say I love you, or else I'll become even weaker.\Infirmary\Confession\Ryuu-chan\Ryuu-chan\Ryuu - chan\Ryuu - chan response:	Ryuu-chan
context: I must say I love you, or else I'll become even weaker.\Infirmary\Confession\Ryuu-chan\Ryuu-chan\Ryuu - chan\Ryuu - chan\Ryuu-chan response:	Ryuu-chan
context: Infirmary\Confession\Ryuu-chan\Ryuu-chan\Ryuu - chan\Ryuu - chan\Ryuu-chan\Ryuu-chan response:	Ryuu-chan
context: Confession\Ryuu-chan\Ryuu-chan\Ryuu - chan\Ryuu - chan\Ryuu-chan\Ryuu-chan\Ryuu-chan response:	Ryuu-chan
context: Ryuu-chan\Ryuu-chan\Ryuu - chan\Ryuu - chan\Ryuu-chan\Ryuu-chan\Ryuu-chan\Ryuu-chan response:	Ryuu-chan
context: Ryuu-chan\Ryuu - chan\Ryuu - chan\Ryuu-chan\Ryuu-chan\Ryuu-chan\Ryuu-chan\Ryuu-chan response:	Ryuu-chan
context: Ryuu - chan\Ryuu - chan\Ryuu-chan\Ryuu-chan\Ryuu-chan\Ryuu-chan\Ryuu-chan\Ryuu-chan response:	Ryuu- chan
context: Ryuu - chan\Ryuu-chan\Ryuu-chan\Ryuu-chan\Ryuu-chan\Ryuu-chan\Ryuu-chan\Ryuu- chan response:	Takasu
context: Ryuu-chan\Ryuu-chan\Ryuu-chan\Ryuu-chan\Ryuu-chan\Ryuu-chan\Ryuu- chan\Takasu response:	Next Episode Preview
context: Ryuu-chan\Ryuu-chan\Ryuu-chan\Ryuu-chan\Ryuu-chan\Ryuu- chan\Takasu\Next Episode Preview response:	Toradora!
context: Ryuu-chan\Ryuu-chan\Ryuu-chan\Ryuu-chan\Ryuu- chan\Takasu\Next Episode Preview\Toradora! response:	Takasu-kun!
context: Ryuu-chan\Ryuu-chan\Ryuu-chan\Ryuu- chan\Takasu\Next Episode Preview\Toradora!\Takasu-kun! response:	Takasu-kun, you go left, I'll go right!
context: Ryuu-chan\Ryuu-chan\Ryuu- chan\Takasu\Next Episode Preview\Toradora!\Takasu-kun!\Takasu-kun, you go left, I'll go right! response:	Let's go!
context: Ryuu-chan\Ryuu- chan\Takasu\Next Episode Preview\Toradora!\Takasu-kun!\Takasu-kun, you go left, I'll go right!\Let's go! response:	Yeah!
context: Ryuu- chan\Takasu\Next Episode Preview\Toradora!\Takasu-kun!\Takasu-kun, you go left, I'll go right!\Let's go!\Yeah! response:	Student Council President, they're running in the halls.
context: Takasu\Next Episode Preview\Toradora!\Takasu-kun!\Takasu-kun, you go left, I'll go right!\Let's go!\Yeah!\Student Council President, they're running in the halls. response:	I'll let them off this time.
context: Next Episode Preview\Toradora!\Takasu-kun!\Takasu-kun, you go left, I'll go right!\Let's go!\Yeah!\Student Council President, they're running in the halls.\I'll let them off this time. response:	What should I say when I catch her?
context: Toradora!\Takasu-kun!\Takasu-kun, you go left, I'll go right!\Let's go!\Yeah!\Student Council President, they're running in the halls.\I'll let them off this time.\What should I say when I catch her? response:	I don't know...
context: Takasu-kun!\Takasu-kun, you go left, I'll go right!\Let's go!\Yeah!\Student Council President, they're running in the halls.\I'll let them off this time.\What should I say when I catch her?\I don't know... response:	But even so...
context: Takasu-kun, you go left, I'll go right!\Let's go!\Yeah!\Student Council President, they're running in the halls.\I'll let them off this time.\What should I say when I catch her?\I don't know...\But even so... response:	Not here?
context: Let's go!\Yeah!\Student Council President, they're running in the halls.\I'll let them off this time.\What should I say when I catch her?\I don't know...\But even so...\Not here? response:	The entrance!
context: Yeah!\Student Council President, they're running in the halls.\I'll let them off this time.\What should I say when I catch her?\I don't know...\But even so...\Not here?\The entrance! response:	Taiga, can you hear me?
context: Student Council President, they're running in the halls.\I'll let them off this time.\What should I say when I catch her?\I don't know...\But even so...\Not here?\The entrance!\Taiga, can you hear me? response:	Taiga, you've always wanted to know, right?!
context: I'll let them off this time.\What should I say when I catch her?\I don't know...\But even so...\Not here?\The entrance!\Taiga, can you hear me?\Taiga, you've always wanted to know, right?! response:	I like Takasu Ryuuji too!
context: What should I say when I catch her?\I don't know...\But even so...\Not here?\The entrance!\Taiga, can you hear me?\Taiga, you've always wanted to know, right?!\I like Takasu Ryuuji too! response:	I like him!
context: I don't know...\But even so...\Not here?\The entrance!\Taiga, can you hear me?\Taiga, you've always wanted to know, right?!\I like Takasu Ryuuji too!\I like him! response:	I've always liked him,
context: But even so...\Not here?\The entrance!\Taiga, can you hear me?\Taiga, you've always wanted to know, right?!\I like Takasu Ryuuji too!\I like him!\I've always liked him, response:	but I thought I should let you have him!
context: Not here?\The entrance!\Taiga, can you hear me?\Taiga, you've always wanted to know, right?!\I like Takasu Ryuuji too!\I like him!\I've always liked him,\but I thought I should let you have him! response:	I thought to myself, If Taiga, my best friend, needs him...
context: The entrance!\Taiga, can you hear me?\Taiga, you've always wanted to know, right?!\I like Takasu Ryuuji too!\I like him!\I've always liked him,\but I thought I should let you have him!\I thought to myself, If Taiga, my best friend, needs him... response:	but that was just my arrogance confusing me!
context: Taiga, can you hear me?\Taiga, you've always wanted to know, right?!\I like Takasu Ryuuji too!\I like him!\I've always liked him,\but I thought I should let you have him!\I thought to myself, If Taiga, my best friend, needs him...\but that was just my arrogance confusing me! response:	I've underestimated you!
context: Taiga, you've always wanted to know, right?!\I like Takasu Ryuuji too!\I like him!\I've always liked him,\but I thought I should let you have him!\I thought to myself, If Taiga, my best friend, needs him...\but that was just my arrogance confusing me!\I've underestimated you! response:	I said that my happiness doesn't depend on anyone but me, right?
context: I like Takasu Ryuuji too!\I like him!\I've always liked him,\but I thought I should let you have him!\I thought to myself, If Taiga, my best friend, needs him...\but that was just my arrogance confusing me!\I've underestimated you!\I said that my happiness doesn't depend on anyone but me, right? response:	The same goes for you.
context: I like him!\I've always liked him,\but I thought I should let you have him!\I thought to myself, If Taiga, my best friend, needs him...\but that was just my arrogance confusing me!\I've underestimated you!\I said that my happiness doesn't depend on anyone but me, right?\The same goes for you. response:	Your happiness doesn't depend on anyone but yourself!
context: I've always liked him,\but I thought I should let you have him!\I thought to myself, If Taiga, my best friend, needs him...\but that was just my arrogance confusing me!\I've underestimated you!\I said that my happiness doesn't depend on anyone but me, right?\The same goes for you.\Your happiness doesn't depend on anyone but yourself! response:	So...
context: but I thought I should let you have him!\I thought to myself, If Taiga, my best friend, needs him...\but that was just my arrogance confusing me!\I've underestimated you!\I said that my happiness doesn't depend on anyone but me, right?\The same goes for you.\Your happiness doesn't depend on anyone but yourself!\So... response:	So, Taiga...
context: I thought to myself, If Taiga, my best friend, needs him...\but that was just my arrogance confusing me!\I've underestimated you!\I said that my happiness doesn't depend on anyone but me, right?\The same goes for you.\Your happiness doesn't depend on anyone but yourself!\So...\So, Taiga... response:	Let me see what you're going to do!
context: but that was just my arrogance confusing me!\I've underestimated you!\I said that my happiness doesn't depend on anyone but me, right?\The same goes for you.\Your happiness doesn't depend on anyone but yourself!\So...\So, Taiga...\Let me see what you're going to do! response:	Kushieda!
context: I've underestimated you!\I said that my happiness doesn't depend on anyone but me, right?\The same goes for you.\Your happiness doesn't depend on anyone but yourself!\So...\So, Taiga...\Let me see what you're going to do!\Kushieda! response:	Has it stopped yet?
context: I said that my happiness doesn't depend on anyone but me, right?\The same goes for you.\Your happiness doesn't depend on anyone but yourself!\So...\So, Taiga...\Let me see what you're going to do!\Kushieda!\Has it stopped yet? response:	You scared me.
context: The same goes for you.\Your happiness doesn't depend on anyone but yourself!\So...\So, Taiga...\Let me see what you're going to do!\Kushieda!\Has it stopped yet?\You scared me. response:	I thought you were crying for a second.
context: Your happiness doesn't depend on anyone but yourself!\So...\So, Taiga...\Let me see what you're going to do!\Kushieda!\Has it stopped yet?\You scared me.\I thought you were crying for a second. response:	You thought I would cry?
context: So...\So, Taiga...\Let me see what you're going to do!\Kushieda!\Has it stopped yet?\You scared me.\I thought you were crying for a second.\You thought I would cry? response:	Of course... Normally...
context: So, Taiga...\Let me see what you're going to do!\Kushieda!\Has it stopped yet?\You scared me.\I thought you were crying for a second.\You thought I would cry?\Of course... Normally... response:	Well, I guess this is sort of a reward.
context: Let me see what you're going to do!\Kushieda!\Has it stopped yet?\You scared me.\I thought you were crying for a second.\You thought I would cry?\Of course... Normally...\Well, I guess this is sort of a reward. response:	Remember when I talked about what I can see?
context: Kushieda!\Has it stopped yet?\You scared me.\I thought you were crying for a second.\You thought I would cry?\Of course... Normally...\Well, I guess this is sort of a reward.\Remember when I talked about what I can see? response:	Yeah, I think so...
context: Has it stopped yet?\You scared me.\I thought you were crying for a second.\You thought I would cry?\Of course... Normally...\Well, I guess this is sort of a reward.\Remember when I talked about what I can see?\Yeah, I think so... response:	Actually, it's my willpower...
context: You scared me.\I thought you were crying for a second.\You thought I would cry?\Of course... Normally...\Well, I guess this is sort of a reward.\Remember when I talked about what I can see?\Yeah, I think so...\Actually, it's my willpower... response:	Willpower?
context: I thought you were crying for a second.\You thought I would cry?\Of course... Normally...\Well, I guess this is sort of a reward.\Remember when I talked about what I can see?\Yeah, I think so...\Actually, it's my willpower...\Willpower? response:	I told you my brother plays baseball, right?
context: You thought I would cry?\Of course... Normally...\Well, I guess this is sort of a reward.\Remember when I talked about what I can see?\Yeah, I think so...\Actually, it's my willpower...\Willpower?\I told you my brother plays baseball, right? response:	I used to play baseball too.
context: Of course... Normally...\Well, I guess this is sort of a reward.\Remember when I talked about what I can see?\Yeah, I think so...\Actually, it's my willpower...\Willpower?\I told you my brother plays baseball, right?\I used to play baseball too. response:	To be honest, I was better than him,
context: Well, I guess this is sort of a reward.\Remember when I talked about what I can see?\Yeah, I think so...\Actually, it's my willpower...\Willpower?\I told you my brother plays baseball, right?\I used to play baseball too.\To be honest, I was better than him, response:	but I couldn't keep playing because I'm a girl.
context: Remember when I talked about what I can see?\Yeah, I think so...\Actually, it's my willpower...\Willpower?\I told you my brother plays baseball, right?\I used to play baseball too.\To be honest, I was better than him,\but I couldn't keep playing because I'm a girl. response:	That's why I plan to save money,
context: Yeah, I think so...\Actually, it's my willpower...\Willpower?\I told you my brother plays baseball, right?\I used to play baseball too.\To be honest, I was better than him,\but I couldn't keep playing because I'm a girl.\That's why I plan to save money, response:	then get into a sports university and aim for the national softball league.
context: Actually, it's my willpower...\Willpower?\I told you my brother plays baseball, right?\I used to play baseball too.\To be honest, I was better than him,\but I couldn't keep playing because I'm a girl.\That's why I plan to save money,\then get into a sports university and aim for the national softball league. response:	This is the happiness I chose and achieved!
context: Willpower?\I told you my brother plays baseball, right?\I used to play baseball too.\To be honest, I was better than him,\but I couldn't keep playing because I'm a girl.\That's why I plan to save money,\then get into a sports university and aim for the national softball league.\This is the happiness I chose and achieved! response:	That's my willpower.
context: I told you my brother plays baseball, right?\I used to play baseball too.\To be honest, I was better than him,\but I couldn't keep playing because I'm a girl.\That's why I plan to save money,\then get into a sports university and aim for the national softball league.\This is the happiness I chose and achieved!\That's my willpower. response:	Kushieda...
context: I used to play baseball too.\To be honest, I was better than him,\but I couldn't keep playing because I'm a girl.\That's why I plan to save money,\then get into a sports university and aim for the national softball league.\This is the happiness I chose and achieved!\That's my willpower.\Kushieda... response:	But because I was obsessive about it, I decided to not to cry anymore.
context: To be honest, I was better than him,\but I couldn't keep playing because I'm a girl.\That's why I plan to save money,\then get into a sports university and aim for the national softball league.\This is the happiness I chose and achieved!\That's my willpower.\Kushieda...\But because I was obsessive about it, I decided to not to cry anymore. response:	Even if it's hard and painful, I've decided I'll try my best.
context: but I couldn't keep playing because I'm a girl.\That's why I plan to save money,\then get into a sports university and aim for the national softball league.\This is the happiness I chose and achieved!\That's my willpower.\Kushieda...\But because I was obsessive about it, I decided to not to cry anymore.\Even if it's hard and painful, I've decided I'll try my best. response:	But...
context: That's why I plan to save money,\then get into a sports university and aim for the national softball league.\This is the happiness I chose and achieved!\That's my willpower.\Kushieda...\But because I was obsessive about it, I decided to not to cry anymore.\Even if it's hard and painful, I've decided I'll try my best.\But... response:	If someone sees me go through hardship and pain, and then cry, I guess it's a reward.
context: then get into a sports university and aim for the national softball league.\This is the happiness I chose and achieved!\That's my willpower.\Kushieda...\But because I was obsessive about it, I decided to not to cry anymore.\Even if it's hard and painful, I've decided I'll try my best.\But...\If someone sees me go through hardship and pain, and then cry, I guess it's a reward. response:	What happened to that hairpin?
context: This is the happiness I chose and achieved!\That's my willpower.\Kushieda...\But because I was obsessive about it, I decided to not to cry anymore.\Even if it's hard and painful, I've decided I'll try my best.\But...\If someone sees me go through hardship and pain, and then cry, I guess it's a reward.\What happened to that hairpin? response:	Oh, that -
context: That's my willpower.\Kushieda...\But because I was obsessive about it, I decided to not to cry anymore.\Even if it's hard and painful, I've decided I'll try my best.\But...\If someone sees me go through hardship and pain, and then cry, I guess it's a reward.\What happened to that hairpin?\Oh, that - response:	That must be the present you wanted to give to me on Christmas Eve, right?
context: Kushieda...\But because I was obsessive about it, I decided to not to cry anymore.\Even if it's hard and painful, I've decided I'll try my best.\But...\If someone sees me go through hardship and pain, and then cry, I guess it's a reward.\What happened to that hairpin?\Oh, that -\That must be the present you wanted to give to me on Christmas Eve, right? response:	That's -
context: But because I was obsessive about it, I decided to not to cry anymore.\Even if it's hard and painful, I've decided I'll try my best.\But...\If someone sees me go through hardship and pain, and then cry, I guess it's a reward.\What happened to that hairpin?\Oh, that -\That must be the present you wanted to give to me on Christmas Eve, right?\That's - response:	I'm sorry, I really didn't know at first.
context: Even if it's hard and painful, I've decided I'll try my best.\But...\If someone sees me go through hardship and pain, and then cry, I guess it's a reward.\What happened to that hairpin?\Oh, that -\That must be the present you wanted to give to me on Christmas Eve, right?\That's -\I'm sorry, I really didn't know at first. response:	I thought it was a present from Taiga.
context: But...\If someone sees me go through hardship and pain, and then cry, I guess it's a reward.\What happened to that hairpin?\Oh, that -\That must be the present you wanted to give to me on Christmas Eve, right?\That's -\I'm sorry, I really didn't know at first.\I thought it was a present from Taiga. response:	Even though I decided not to take it...
context: If someone sees me go through hardship and pain, and then cry, I guess it's a reward.\What happened to that hairpin?\Oh, that -\That must be the present you wanted to give to me on Christmas Eve, right?\That's -\I'm sorry, I really didn't know at first.\I thought it was a present from Taiga.\Even though I decided not to take it... response:	Even though it hurt you...
context: What happened to that hairpin?\Oh, that -\That must be the present you wanted to give to me on Christmas Eve, right?\That's -\I'm sorry, I really didn't know at first.\I thought it was a present from Taiga.\Even though I decided not to take it...\Even though it hurt you... response:	I want to apologise for wearing it in front of you.
context: Oh, that -\That must be the present you wanted to give to me on Christmas Eve, right?\That's -\I'm sorry, I really didn't know at first.\I thought it was a present from Taiga.\Even though I decided not to take it...\Even though it hurt you...\I want to apologise for wearing it in front of you. response:	I'm really sorry.
context: That must be the present you wanted to give to me on Christmas Eve, right?\That's -\I'm sorry, I really didn't know at first.\I thought it was a present from Taiga.\Even though I decided not to take it...\Even though it hurt you...\I want to apologise for wearing it in front of you.\I'm really sorry. response:	Where is that hairpin right now?
context: That's -\I'm sorry, I really didn't know at first.\I thought it was a present from Taiga.\Even though I decided not to take it...\Even though it hurt you...\I want to apologise for wearing it in front of you.\I'm really sorry.\Where is that hairpin right now? response:	It's in my room, but -
context: I'm sorry, I really didn't know at first.\I thought it was a present from Taiga.\Even though I decided not to take it...\Even though it hurt you...\I want to apologise for wearing it in front of you.\I'm really sorry.\Where is that hairpin right now?\It's in my room, but - response:	Yeah, I can't accept it.
context: I thought it was a present from Taiga.\Even though I decided not to take it...\Even though it hurt you...\I want to apologise for wearing it in front of you.\I'm really sorry.\Where is that hairpin right now?\It's in my room, but -\Yeah, I can't accept it. response:	You know, there's something else that I can see.
context: Even though I decided not to take it...\Even though it hurt you...\I want to apologise for wearing it in front of you.\I'm really sorry.\Where is that hairpin right now?\It's in my room, but -\Yeah, I can't accept it.\You know, there's something else that I can see. response:	It's that you like Taiga.
context: Even though it hurt you...\I want to apologise for wearing it in front of you.\I'm really sorry.\Where is that hairpin right now?\It's in my room, but -\Yeah, I can't accept it.\You know, there's something else that I can see.\It's that you like Taiga. response:	Yeah...
context: I want to apologise for wearing it in front of you.\I'm really sorry.\Where is that hairpin right now?\It's in my room, but -\Yeah, I can't accept it.\You know, there's something else that I can see.\It's that you like Taiga.\Yeah... response:	All right, Takasu-kun, this is a giant goodbye.
context: I'm really sorry.\Where is that hairpin right now?\It's in my room, but -\Yeah, I can't accept it.\You know, there's something else that I can see.\It's that you like Taiga.\Yeah...\All right, Takasu-kun, this is a giant goodbye. response:	Run towards the thing that you can see!
context: Where is that hairpin right now?\It's in my room, but -\Yeah, I can't accept it.\You know, there's something else that I can see.\It's that you like Taiga.\Yeah...\All right, Takasu-kun, this is a giant goodbye.\Run towards the thing that you can see! response:	Yeah!
context: It's in my room, but -\Yeah, I can't accept it.\You know, there's something else that I can see.\It's that you like Taiga.\Yeah...\All right, Takasu-kun, this is a giant goodbye.\Run towards the thing that you can see!\Yeah! response:	Go, Takasu!
context: Yeah, I can't accept it.\You know, there's something else that I can see.\It's that you like Taiga.\Yeah...\All right, Takasu-kun, this is a giant goodbye.\Run towards the thing that you can see!\Yeah!\Go, Takasu! response:	Ta-ka-su, hey! Ta-ka-su, yeah!
context: You know, there's something else that I can see.\It's that you like Taiga.\Yeah...\All right, Takasu-kun, this is a giant goodbye.\Run towards the thing that you can see!\Yeah!\Go, Takasu!\Ta-ka-su, hey! Ta-ka-su, yeah! response:	Ta-ka-su!
context: It's that you like Taiga.\Yeah...\All right, Takasu-kun, this is a giant goodbye.\Run towards the thing that you can see!\Yeah!\Go, Takasu!\Ta-ka-su, hey! Ta-ka-su, yeah!\Ta-ka-su! response:	I knew you'd come.
context: Yeah...\All right, Takasu-kun, this is a giant goodbye.\Run towards the thing that you can see!\Yeah!\Go, Takasu!\Ta-ka-su, hey! Ta-ka-su, yeah!\Ta-ka-su!\I knew you'd come. response:	H-How?
context: All right, Takasu-kun, this is a giant goodbye.\Run towards the thing that you can see!\Yeah!\Go, Takasu!\Ta-ka-su, hey! Ta-ka-su, yeah!\Ta-ka-su!\I knew you'd come.\H-How? response:	You're an honest person.
context: Run towards the thing that you can see!\Yeah!\Go, Takasu!\Ta-ka-su, hey! Ta-ka-su, yeah!\Ta-ka-su!\I knew you'd come.\H-How?\You're an honest person. response:	I knew you'd come to work, even though you ran away.
context: Yeah!\Go, Takasu!\Ta-ka-su, hey! Ta-ka-su, yeah!\Ta-ka-su!\I knew you'd come.\H-How?\You're an honest person.\I knew you'd come to work, even though you ran away. response:	You know, about what happened...
context: Go, Takasu!\Ta-ka-su, hey! Ta-ka-su, yeah!\Ta-ka-su!\I knew you'd come.\H-How?\You're an honest person.\I knew you'd come to work, even though you ran away.\You know, about what happened... response:	I heard Minorin's voice.
context: Ta-ka-su, hey! Ta-ka-su, yeah!\Ta-ka-su!\I knew you'd come.\H-How?\You're an honest person.\I knew you'd come to work, even though you ran away.\You know, about what happened...\I heard Minorin's voice. response:	Don't laugh!
context: Ta-ka-su!\I knew you'd come.\H-How?\You're an honest person.\I knew you'd come to work, even though you ran away.\You know, about what happened...\I heard Minorin's voice.\Don't laugh! response:	I'm not laughing.
context: I knew you'd come.\H-How?\You're an honest person.\I knew you'd come to work, even though you ran away.\You know, about what happened...\I heard Minorin's voice.\Don't laugh!\I'm not laughing. response:	Don't laugh at me, please.
context: H-How?\You're an honest person.\I knew you'd come to work, even though you ran away.\You know, about what happened...\I heard Minorin's voice.\Don't laugh!\I'm not laughing.\Don't laugh at me, please. response:	I have something to tell you after work.
context: You're an honest person.\I knew you'd come to work, even though you ran away.\You know, about what happened...\I heard Minorin's voice.\Don't laugh!\I'm not laughing.\Don't laugh at me, please.\I have something to tell you after work. response:	If... If I want to run away again,
context: I knew you'd come to work, even though you ran away.\You know, about what happened...\I heard Minorin's voice.\Don't laugh!\I'm not laughing.\Don't laugh at me, please.\I have something to tell you after work.\If... If I want to run away again, response:	you have to hold on to me.
context: You know, about what happened...\I heard Minorin's voice.\Don't laugh!\I'm not laughing.\Don't laugh at me, please.\I have something to tell you after work.\If... If I want to run away again,\you have to hold on to me. response:	Please.
context: I heard Minorin's voice.\Don't laugh!\I'm not laughing.\Don't laugh at me, please.\I have something to tell you after work.\If... If I want to run away again,\you have to hold on to me.\Please. response:	Sure...
context: Don't laugh!\I'm not laughing.\Don't laugh at me, please.\I have something to tell you after work.\If... If I want to run away again,\you have to hold on to me.\Please.\Sure... response:	Our paycheck's pretty big.
context: I'm not laughing.\Don't laugh at me, please.\I have something to tell you after work.\If... If I want to run away again,\you have to hold on to me.\Please.\Sure...\Our paycheck's pretty big. response:	Yeah...
context: Don't laugh at me, please.\I have something to tell you after work.\If... If I want to run away again,\you have to hold on to me.\Please.\Sure...\Our paycheck's pretty big.\Yeah... response:	Um...
context: I have something to tell you after work.\If... If I want to run away again,\you have to hold on to me.\Please.\Sure...\Our paycheck's pretty big.\Yeah...\Um... response:	You both lied!
context: If... If I want to run away again,\you have to hold on to me.\Please.\Sure...\Our paycheck's pretty big.\Yeah...\Um...\You both lied! response:	Y-Yasuko...
context: you have to hold on to me.\Please.\Sure...\Our paycheck's pretty big.\Yeah...\Um...\You both lied!\Y-Yasuko... response:	Taiga!
context: Please.\Sure...\Our paycheck's pretty big.\Yeah...\Um...\You both lied!\Y-Yasuko...\Taiga! response:	What are you doing here?
context: Sure...\Our paycheck's pretty big.\Yeah...\Um...\You both lied!\Y-Yasuko...\Taiga!\What are you doing here? response:	Don't touch me!
context: Our paycheck's pretty big.\Yeah...\Um...\You both lied!\Y-Yasuko...\Taiga!\What are you doing here?\Don't touch me! response:	Don't act so spoiled!
context: Yeah...\Um...\You both lied!\Y-Yasuko...\Taiga!\What are you doing here?\Don't touch me!\Don't act so spoiled! response:	What can you do by yourself?
