context: hajimete no kimochi my first feelings response:	shonbori no mune ni upon my downhearted chest
context: kowareru omoiwa these trembling feelings are\maichiru hanabirane fluttering petals,\sukininatte iino is it okay for me to fall in love?\soretomo or will...\tamerau kokoro ga my hesitating heart\bureiki kakerukedo put on my brakes,\kurushikute it's so painful\ikiga tomarisou desu I can't breathe response:	Apprehension of Spring
context: maichiru hanabirane fluttering petals,\sukininatte iino is it okay for me to fall in love?\soretomo or will...\tamerau kokoro ga my hesitating heart\bureiki kakerukedo put on my brakes,\kurushikute it's so painful\ikiga tomarisou desu I can't breathe\Apprehension of Spring response:	The town I was born in.
context: sukininatte iino is it okay for me to fall in love?\soretomo or will...\tamerau kokoro ga my hesitating heart\bureiki kakerukedo put on my brakes,\kurushikute it's so painful\ikiga tomarisou desu I can't breathe\Apprehension of Spring\The town I was born in. response:	The house I was born in.
context: soretomo or will...\tamerau kokoro ga my hesitating heart\bureiki kakerukedo put on my brakes,\kurushikute it's so painful\ikiga tomarisou desu I can't breathe\Apprehension of Spring\The town I was born in.\The house I was born in. response:	My father and brother.
context: tamerau kokoro ga my hesitating heart\bureiki kakerukedo put on my brakes,\kurushikute it's so painful\ikiga tomarisou desu I can't breathe\Apprehension of Spring\The town I was born in.\The house I was born in.\My father and brother. response:	It's like I just met them for the first time,
context: bureiki kakerukedo put on my brakes,\kurushikute it's so painful\ikiga tomarisou desu I can't breathe\Apprehension of Spring\The town I was born in.\The house I was born in.\My father and brother.\It's like I just met them for the first time, response:	but they're very nostalgic people.
context: kurushikute it's so painful\ikiga tomarisou desu I can't breathe\Apprehension of Spring\The town I was born in.\The house I was born in.\My father and brother.\It's like I just met them for the first time,\but they're very nostalgic people. response:	Good morning, brother!
context: ikiga tomarisou desu I can't breathe\Apprehension of Spring\The town I was born in.\The house I was born in.\My father and brother.\It's like I just met them for the first time,\but they're very nostalgic people.\Good morning, brother! response:	Brother!
context: Apprehension of Spring\The town I was born in.\The house I was born in.\My father and brother.\It's like I just met them for the first time,\but they're very nostalgic people.\Good morning, brother!\Brother! response:	Brother! Wait up!
context: The town I was born in.\The house I was born in.\My father and brother.\It's like I just met them for the first time,\but they're very nostalgic people.\Good morning, brother!\Brother!\Brother! Wait up! response:	I'm home.
context: The house I was born in.\My father and brother.\It's like I just met them for the first time,\but they're very nostalgic people.\Good morning, brother!\Brother!\Brother! Wait up!\I'm home. response:	nitsuke = japanese boiled and seasoned food Isn't this nitsuke delicious?
context: My father and brother.\It's like I just met them for the first time,\but they're very nostalgic people.\Good morning, brother!\Brother!\Brother! Wait up!\I'm home.\nitsuke = japanese boiled and seasoned food Isn't this nitsuke delicious? response:	Yeah.
context: It's like I just met them for the first time,\but they're very nostalgic people.\Good morning, brother!\Brother!\Brother! Wait up!\I'm home.\nitsuke = japanese boiled and seasoned food Isn't this nitsuke delicious?\Yeah. response:	My mother taught me how to make it.
context: but they're very nostalgic people.\Good morning, brother!\Brother!\Brother! Wait up!\I'm home.\nitsuke = japanese boiled and seasoned food Isn't this nitsuke delicious?\Yeah.\My mother taught me how to make it. response:	Brother!
context: Good morning, brother!\Brother!\Brother! Wait up!\I'm home.\nitsuke = japanese boiled and seasoned food Isn't this nitsuke delicious?\Yeah.\My mother taught me how to make it.\Brother! response:	Eh?
context: Brother!\Brother! Wait up!\I'm home.\nitsuke = japanese boiled and seasoned food Isn't this nitsuke delicious?\Yeah.\My mother taught me how to make it.\Brother!\Eh? response:	Let's go to the amusement park together again!
context: Brother! Wait up!\I'm home.\nitsuke = japanese boiled and seasoned food Isn't this nitsuke delicious?\Yeah.\My mother taught me how to make it.\Brother!\Eh?\Let's go to the amusement park together again! response:	Somehow, everything looks like it's sparkling.
context: I'm home.\nitsuke = japanese boiled and seasoned food Isn't this nitsuke delicious?\Yeah.\My mother taught me how to make it.\Brother!\Eh?\Let's go to the amusement park together again!\Somehow, everything looks like it's sparkling. response:	A younger sister...?
context: nitsuke = japanese boiled and seasoned food Isn't this nitsuke delicious?\Yeah.\My mother taught me how to make it.\Brother!\Eh?\Let's go to the amusement park together again!\Somehow, everything looks like it's sparkling.\A younger sister...? response:	Good morning, brother!
context: Yeah.\My mother taught me how to make it.\Brother!\Eh?\Let's go to the amusement park together again!\Somehow, everything looks like it's sparkling.\A younger sister...?\Good morning, brother! response:	Umm...
context: My mother taught me how to make it.\Brother!\Eh?\Let's go to the amusement park together again!\Somehow, everything looks like it's sparkling.\A younger sister...?\Good morning, brother!\Umm... response:	What do you do for lunch usually?
context: Brother!\Eh?\Let's go to the amusement park together again!\Somehow, everything looks like it's sparkling.\A younger sister...?\Good morning, brother!\Umm...\What do you do for lunch usually? response:	bento = packed lunch I made a bento today.
context: Eh?\Let's go to the amusement park together again!\Somehow, everything looks like it's sparkling.\A younger sister...?\Good morning, brother!\Umm...\What do you do for lunch usually?\bento = packed lunch I made a bento today. response:	If it's alright with you, would you take it with you?
context: Let's go to the amusement park together again!\Somehow, everything looks like it's sparkling.\A younger sister...?\Good morning, brother!\Umm...\What do you do for lunch usually?\bento = packed lunch I made a bento today.\If it's alright with you, would you take it with you? response:	Brother?
context: Somehow, everything looks like it's sparkling.\A younger sister...?\Good morning, brother!\Umm...\What do you do for lunch usually?\bento = packed lunch I made a bento today.\If it's alright with you, would you take it with you?\Brother? response:	Brother!
context: A younger sister...?\Good morning, brother!\Umm...\What do you do for lunch usually?\bento = packed lunch I made a bento today.\If it's alright with you, would you take it with you?\Brother?\Brother! response:	Brother...
context: Good morning, brother!\Umm...\What do you do for lunch usually?\bento = packed lunch I made a bento today.\If it's alright with you, would you take it with you?\Brother?\Brother!\Brother... response:	Eh? And then?
context: Umm...\What do you do for lunch usually?\bento = packed lunch I made a bento today.\If it's alright with you, would you take it with you?\Brother?\Brother!\Brother...\Eh? And then? response:	He said he was anemic...
context: What do you do for lunch usually?\bento = packed lunch I made a bento today.\If it's alright with you, would you take it with you?\Brother?\Brother!\Brother...\Eh? And then?\He said he was anemic... response:	Is he sickly?
context: bento = packed lunch I made a bento today.\If it's alright with you, would you take it with you?\Brother?\Brother!\Brother...\Eh? And then?\He said he was anemic...\Is he sickly? response:	His complexion hasn't been too good lately.
context: If it's alright with you, would you take it with you?\Brother?\Brother!\Brother...\Eh? And then?\He said he was anemic...\Is he sickly?\His complexion hasn't been too good lately. response:	Hmm...
context: Brother?\Brother!\Brother...\Eh? And then?\He said he was anemic...\Is he sickly?\His complexion hasn't been too good lately.\Hmm... response:	I want to...
context: Brother!\Brother...\Eh? And then?\He said he was anemic...\Is he sickly?\His complexion hasn't been too good lately.\Hmm...\I want to... response:	become...
context: Brother...\Eh? And then?\He said he was anemic...\Is he sickly?\His complexion hasn't been too good lately.\Hmm...\I want to...\become... response:	closer to...
context: Eh? And then?\He said he was anemic...\Is he sickly?\His complexion hasn't been too good lately.\Hmm...\I want to...\become...\closer to... response:	my brother.
context: He said he was anemic...\Is he sickly?\His complexion hasn't been too good lately.\Hmm...\I want to...\become...\closer to...\my brother. response:	You don't get along with him?
context: Is he sickly?\His complexion hasn't been too good lately.\Hmm...\I want to...\become...\closer to...\my brother.\You don't get along with him? response:	That's not it, but...
context: His complexion hasn't been too good lately.\Hmm...\I want to...\become...\closer to...\my brother.\You don't get along with him?\That's not it, but... response:	But he seems uncomfortable.
context: Hmm...\I want to...\become...\closer to...\my brother.\You don't get along with him?\That's not it, but...\But he seems uncomfortable. response:	It can't be helped if he's twelve years older than you.
context: I want to...\become...\closer to...\my brother.\You don't get along with him?\That's not it, but...\But he seems uncomfortable.\It can't be helped if he's twelve years older than you. response:	But... more...
context: become...\closer to...\my brother.\You don't get along with him?\That's not it, but...\But he seems uncomfortable.\It can't be helped if he's twelve years older than you.\But... more... response:	since we're siblings.
context: closer to...\my brother.\You don't get along with him?\That's not it, but...\But he seems uncomfortable.\It can't be helped if he's twelve years older than you.\But... more...\since we're siblings. response:	The fire of envy is burning wildly within my heart...
context: my brother.\You don't get along with him?\That's not it, but...\But he seems uncomfortable.\It can't be helped if he's twelve years older than you.\But... more...\since we're siblings.\The fire of envy is burning wildly within my heart... response:	Thanks for the meal!
context: You don't get along with him?\That's not it, but...\But he seems uncomfortable.\It can't be helped if he's twelve years older than you.\But... more...\since we're siblings.\The fire of envy is burning wildly within my heart...\Thanks for the meal! response:	That idiot...!
context: That's not it, but...\But he seems uncomfortable.\It can't be helped if he's twelve years older than you.\But... more...\since we're siblings.\The fire of envy is burning wildly within my heart...\Thanks for the meal!\That idiot...! response:	Well, I guess I'll head home.
context: But he seems uncomfortable.\It can't be helped if he's twelve years older than you.\But... more...\since we're siblings.\The fire of envy is burning wildly within my heart...\Thanks for the meal!\That idiot...!\Well, I guess I'll head home. response:	Good work.
context: It can't be helped if he's twelve years older than you.\But... more...\since we're siblings.\The fire of envy is burning wildly within my heart...\Thanks for the meal!\That idiot...!\Well, I guess I'll head home.\Good work. response:	You should hurry up and go home early too.
context: But... more...\since we're siblings.\The fire of envy is burning wildly within my heart...\Thanks for the meal!\That idiot...!\Well, I guess I'll head home.\Good work.\You should hurry up and go home early too. response:	Isn't your cute little sister waiting?
context: since we're siblings.\The fire of envy is burning wildly within my heart...\Thanks for the meal!\That idiot...!\Well, I guess I'll head home.\Good work.\You should hurry up and go home early too.\Isn't your cute little sister waiting? response:	That's why I don't want to...
context: The fire of envy is burning wildly within my heart...\Thanks for the meal!\That idiot...!\Well, I guess I'll head home.\Good work.\You should hurry up and go home early too.\Isn't your cute little sister waiting?\That's why I don't want to... response:	Have her make you a meal full of love!
context: Thanks for the meal!\That idiot...!\Well, I guess I'll head home.\Good work.\You should hurry up and go home early too.\Isn't your cute little sister waiting?\That's why I don't want to...\Have her make you a meal full of love! response:	Like the bento from lunch!
context: That idiot...!\Well, I guess I'll head home.\Good work.\You should hurry up and go home early too.\Isn't your cute little sister waiting?\That's why I don't want to...\Have her make you a meal full of love!\Like the bento from lunch! response:	Shut up!
context: Well, I guess I'll head home.\Good work.\You should hurry up and go home early too.\Isn't your cute little sister waiting?\That's why I don't want to...\Have her make you a meal full of love!\Like the bento from lunch!\Shut up! response:	There's nothing to worry about!
context: Good work.\You should hurry up and go home early too.\Isn't your cute little sister waiting?\That's why I don't want to...\Have her make you a meal full of love!\Like the bento from lunch!\Shut up!\There's nothing to worry about! response:	I'll take care of your membership entrance!
context: You should hurry up and go home early too.\Isn't your cute little sister waiting?\That's why I don't want to...\Have her make you a meal full of love!\Like the bento from lunch!\Shut up!\There's nothing to worry about!\I'll take care of your membership entrance! response:	Umm... I'm not interested...
context: Isn't your cute little sister waiting?\That's why I don't want to...\Have her make you a meal full of love!\Like the bento from lunch!\Shut up!\There's nothing to worry about!\I'll take care of your membership entrance!\Umm... I'm not interested... response:	You are...
context: That's why I don't want to...\Have her make you a meal full of love!\Like the bento from lunch!\Shut up!\There's nothing to worry about!\I'll take care of your membership entrance!\Umm... I'm not interested...\You are... response:	Glasses...
context: Have her make you a meal full of love!\Like the bento from lunch!\Shut up!\There's nothing to worry about!\I'll take care of your membership entrance!\Umm... I'm not interested...\You are...\Glasses... response:	Glasses...?
context: Like the bento from lunch!\Shut up!\There's nothing to worry about!\I'll take care of your membership entrance!\Umm... I'm not interested...\You are...\Glasses...\Glasses...? response:	Brother!
context: Shut up!\There's nothing to worry about!\I'll take care of your membership entrance!\Umm... I'm not interested...\You are...\Glasses...\Glasses...?\Brother! response:	You!
context: There's nothing to worry about!\I'll take care of your membership entrance!\Umm... I'm not interested...\You are...\Glasses...\Glasses...?\Brother!\You! response:	I came to visit.
context: I'll take care of your membership entrance!\Umm... I'm not interested...\You are...\Glasses...\Glasses...?\Brother!\You!\I came to visit. response:	So she says.
context: Umm... I'm not interested...\You are...\Glasses...\Glasses...?\Brother!\You!\I came to visit.\So she says. response:	Why don't we all go out and eat together?
context: You are...\Glasses...\Glasses...?\Brother!\You!\I came to visit.\So she says.\Why don't we all go out and eat together? response:	Hurry and finish up your work.
context: Glasses...\Glasses...?\Brother!\You!\I came to visit.\So she says.\Why don't we all go out and eat together?\Hurry and finish up your work. response:	Dad said he would be late today so we should go out and eat.
context: Glasses...?\Brother!\You!\I came to visit.\So she says.\Why don't we all go out and eat together?\Hurry and finish up your work.\Dad said he would be late today so we should go out and eat. response:	Brother, what would you like to eat...
context: Brother!\You!\I came to visit.\So she says.\Why don't we all go out and eat together?\Hurry and finish up your work.\Dad said he would be late today so we should go out and eat.\Brother, what would you like to eat... response:	Hey! Koushiro!
context: You!\I came to visit.\So she says.\Why don't we all go out and eat together?\Hurry and finish up your work.\Dad said he would be late today so we should go out and eat.\Brother, what would you like to eat...\Hey! Koushiro! response:	Idiot! Why did you come all the way here?!
context: I came to visit.\So she says.\Why don't we all go out and eat together?\Hurry and finish up your work.\Dad said he would be late today so we should go out and eat.\Brother, what would you like to eat...\Hey! Koushiro!\Idiot! Why did you come all the way here?! response:	Because...
context: So she says.\Why don't we all go out and eat together?\Hurry and finish up your work.\Dad said he would be late today so we should go out and eat.\Brother, what would you like to eat...\Hey! Koushiro!\Idiot! Why did you come all the way here?!\Because... response:	Listen, I don't want you to ever come to my office again!
context: Why don't we all go out and eat together?\Hurry and finish up your work.\Dad said he would be late today so we should go out and eat.\Brother, what would you like to eat...\Hey! Koushiro!\Idiot! Why did you come all the way here?!\Because...\Listen, I don't want you to ever come to my office again! response:	Understand?
context: Hurry and finish up your work.\Dad said he would be late today so we should go out and eat.\Brother, what would you like to eat...\Hey! Koushiro!\Idiot! Why did you come all the way here?!\Because...\Listen, I don't want you to ever come to my office again!\Understand? response:	Brother...
context: Dad said he would be late today so we should go out and eat.\Brother, what would you like to eat...\Hey! Koushiro!\Idiot! Why did you come all the way here?!\Because...\Listen, I don't want you to ever come to my office again!\Understand?\Brother... response:	Did I...
context: Brother, what would you like to eat...\Hey! Koushiro!\Idiot! Why did you come all the way here?!\Because...\Listen, I don't want you to ever come to my office again!\Understand?\Brother...\Did I... response:	Hey, brother...
context: Hey! Koushiro!\Idiot! Why did you come all the way here?!\Because...\Listen, I don't want you to ever come to my office again!\Understand?\Brother...\Did I...\Hey, brother... response:	And stop calling me brother!
context: Idiot! Why did you come all the way here?!\Because...\Listen, I don't want you to ever come to my office again!\Understand?\Brother...\Did I...\Hey, brother...\And stop calling me brother! response:	Then...
context: Because...\Listen, I don't want you to ever come to my office again!\Understand?\Brother...\Did I...\Hey, brother...\And stop calling me brother!\Then... response:	Then what should I call you?
context: Listen, I don't want you to ever come to my office again!\Understand?\Brother...\Did I...\Hey, brother...\And stop calling me brother!\Then...\Then what should I call you? response:	Hey...
context: Understand?\Brother...\Did I...\Hey, brother...\And stop calling me brother!\Then...\Then what should I call you?\Hey... response:	It was a chance to become close to a female high school student lawfully.
context: Brother...\Did I...\Hey, brother...\And stop calling me brother!\Then...\Then what should I call you?\Hey...\It was a chance to become close to a female high school student lawfully. response:	He was such a jerk!
context: Did I...\Hey, brother...\And stop calling me brother!\Then...\Then what should I call you?\Hey...\It was a chance to become close to a female high school student lawfully.\He was such a jerk! response:	He went off to work early by himself.
context: Hey, brother...\And stop calling me brother!\Then...\Then what should I call you?\Hey...\It was a chance to become close to a female high school student lawfully.\He was such a jerk!\He went off to work early by himself. response:	Didn't you say you wanted to be closer yesterday?
context: And stop calling me brother!\Then...\Then what should I call you?\Hey...\It was a chance to become close to a female high school student lawfully.\He was such a jerk!\He went off to work early by himself.\Didn't you say you wanted to be closer yesterday? response:	I'm so disappointed.
context: Then...\Then what should I call you?\Hey...\It was a chance to become close to a female high school student lawfully.\He was such a jerk!\He went off to work early by himself.\Didn't you say you wanted to be closer yesterday?\I'm so disappointed. response:	In truth...
context: Then what should I call you?\Hey...\It was a chance to become close to a female high school student lawfully.\He was such a jerk!\He went off to work early by himself.\Didn't you say you wanted to be closer yesterday?\I'm so disappointed.\In truth... response:	I want to play with him and have him help me with homework...
context: Hey...\It was a chance to become close to a female high school student lawfully.\He was such a jerk!\He went off to work early by himself.\Didn't you say you wanted to be closer yesterday?\I'm so disappointed.\In truth...\I want to play with him and have him help me with homework... response:	It wasn't supposed to be like this.
context: It was a chance to become close to a female high school student lawfully.\He was such a jerk!\He went off to work early by himself.\Didn't you say you wanted to be closer yesterday?\I'm so disappointed.\In truth...\I want to play with him and have him help me with homework...\It wasn't supposed to be like this. response:	Aren't most siblings like that?
context: He was such a jerk!\He went off to work early by himself.\Didn't you say you wanted to be closer yesterday?\I'm so disappointed.\In truth...\I want to play with him and have him help me with homework...\It wasn't supposed to be like this.\Aren't most siblings like that? response:	All I do is fight with my older sister.
context: He went off to work early by himself.\Didn't you say you wanted to be closer yesterday?\I'm so disappointed.\In truth...\I want to play with him and have him help me with homework...\It wasn't supposed to be like this.\Aren't most siblings like that?\All I do is fight with my older sister. response:	I didn't think he was so mean!
context: Didn't you say you wanted to be closer yesterday?\I'm so disappointed.\In truth...\I want to play with him and have him help me with homework...\It wasn't supposed to be like this.\Aren't most siblings like that?\All I do is fight with my older sister.\I didn't think he was so mean! response:	I'm never going to call my brother brother again!
context: I'm so disappointed.\In truth...\I want to play with him and have him help me with homework...\It wasn't supposed to be like this.\Aren't most siblings like that?\All I do is fight with my older sister.\I didn't think he was so mean!\I'm never going to call my brother brother again! response:	Now, now.
context: In truth...\I want to play with him and have him help me with homework...\It wasn't supposed to be like this.\Aren't most siblings like that?\All I do is fight with my older sister.\I didn't think he was so mean!\I'm never going to call my brother brother again!\Now, now. response:	Then why don't we go have some fun after school...
context: I want to play with him and have him help me with homework...\It wasn't supposed to be like this.\Aren't most siblings like that?\All I do is fight with my older sister.\I didn't think he was so mean!\I'm never going to call my brother brother again!\Now, now.\Then why don't we go have some fun after school... response:	and let out all our feelings!
context: It wasn't supposed to be like this.\Aren't most siblings like that?\All I do is fight with my older sister.\I didn't think he was so mean!\I'm never going to call my brother brother again!\Now, now.\Then why don't we go have some fun after school...\and let out all our feelings! response:	Okay?
context: Aren't most siblings like that?\All I do is fight with my older sister.\I didn't think he was so mean!\I'm never going to call my brother brother again!\Now, now.\Then why don't we go have some fun after school...\and let out all our feelings!\Okay? response:	Yeah!
context: All I do is fight with my older sister.\I didn't think he was so mean!\I'm never going to call my brother brother again!\Now, now.\Then why don't we go have some fun after school...\and let out all our feelings!\Okay?\Yeah! response:	Poor girl.
context: I didn't think he was so mean!\I'm never going to call my brother brother again!\Now, now.\Then why don't we go have some fun after school...\and let out all our feelings!\Okay?\Yeah!\Poor girl. response:	She visited you because she wanted to be closer to you.
context: I'm never going to call my brother brother again!\Now, now.\Then why don't we go have some fun after school...\and let out all our feelings!\Okay?\Yeah!\Poor girl.\She visited you because she wanted to be closer to you. response:	That attitude was uncalled for, wasn't it?
context: Now, now.\Then why don't we go have some fun after school...\and let out all our feelings!\Okay?\Yeah!\Poor girl.\She visited you because she wanted to be closer to you.\That attitude was uncalled for, wasn't it? response:	Shut up! I know that already.
context: Then why don't we go have some fun after school...\and let out all our feelings!\Okay?\Yeah!\Poor girl.\She visited you because she wanted to be closer to you.\That attitude was uncalled for, wasn't it?\Shut up! I know that already. response:	Then what?
context: and let out all our feelings!\Okay?\Yeah!\Poor girl.\She visited you because she wanted to be closer to you.\That attitude was uncalled for, wasn't it?\Shut up! I know that already.\Then what? response:	What do you not like about her?
context: Okay?\Yeah!\Poor girl.\She visited you because she wanted to be closer to you.\That attitude was uncalled for, wasn't it?\Shut up! I know that already.\Then what?\What do you not like about her? response:	It's nothing.
context: Yeah!\Poor girl.\She visited you because she wanted to be closer to you.\That attitude was uncalled for, wasn't it?\Shut up! I know that already.\Then what?\What do you not like about her?\It's nothing. response:	It's not like I dislike her.
context: Poor girl.\She visited you because she wanted to be closer to you.\That attitude was uncalled for, wasn't it?\Shut up! I know that already.\Then what?\What do you not like about her?\It's nothing.\It's not like I dislike her. response:	When she's in front of me,
context: She visited you because she wanted to be closer to you.\That attitude was uncalled for, wasn't it?\Shut up! I know that already.\Then what?\What do you not like about her?\It's nothing.\It's not like I dislike her.\When she's in front of me, response:	it just makes me want to run away.
context: That attitude was uncalled for, wasn't it?\Shut up! I know that already.\Then what?\What do you not like about her?\It's nothing.\It's not like I dislike her.\When she's in front of me,\it just makes me want to run away. response:	What's wrong with you?
context: Shut up! I know that already.\Then what?\What do you not like about her?\It's nothing.\It's not like I dislike her.\When she's in front of me,\it just makes me want to run away.\What's wrong with you? response:	Did you go crazy after you got your heart broken?
context: Then what?\What do you not like about her?\It's nothing.\It's not like I dislike her.\When she's in front of me,\it just makes me want to run away.\What's wrong with you?\Did you go crazy after you got your heart broken? response:	I forgot...
context: What do you not like about her?\It's nothing.\It's not like I dislike her.\When she's in front of me,\it just makes me want to run away.\What's wrong with you?\Did you go crazy after you got your heart broken?\I forgot... response:	I forgot about it... completely.
context: It's nothing.\It's not like I dislike her.\When she's in front of me,\it just makes me want to run away.\What's wrong with you?\Did you go crazy after you got your heart broken?\I forgot...\I forgot about it... completely. response:	Damn it!
context: It's not like I dislike her.\When she's in front of me,\it just makes me want to run away.\What's wrong with you?\Did you go crazy after you got your heart broken?\I forgot...\I forgot about it... completely.\Damn it! response:	It's so sweet! This is so delicious!
context: When she's in front of me,\it just makes me want to run away.\What's wrong with you?\Did you go crazy after you got your heart broken?\I forgot...\I forgot about it... completely.\Damn it!\It's so sweet! This is so delicious! response:	Isn't it, isn't it?
context: it just makes me want to run away.\What's wrong with you?\Did you go crazy after you got your heart broken?\I forgot...\I forgot about it... completely.\Damn it!\It's so sweet! This is so delicious!\Isn't it, isn't it? response:	Chocolate caramel ice cream is definitely the best!
context: What's wrong with you?\Did you go crazy after you got your heart broken?\I forgot...\I forgot about it... completely.\Damn it!\It's so sweet! This is so delicious!\Isn't it, isn't it?\Chocolate caramel ice cream is definitely the best! response:	Yeah!
context: Did you go crazy after you got your heart broken?\I forgot...\I forgot about it... completely.\Damn it!\It's so sweet! This is so delicious!\Isn't it, isn't it?\Chocolate caramel ice cream is definitely the best!\Yeah! response:	Nanoka, you don't know much about the stores around here, right?
context: I forgot...\I forgot about it... completely.\Damn it!\It's so sweet! This is so delicious!\Isn't it, isn't it?\Chocolate caramel ice cream is definitely the best!\Yeah!\Nanoka, you don't know much about the stores around here, right? response:	Let's go shopping together next time.
context: I forgot about it... completely.\Damn it!\It's so sweet! This is so delicious!\Isn't it, isn't it?\Chocolate caramel ice cream is definitely the best!\Yeah!\Nanoka, you don't know much about the stores around here, right?\Let's go shopping together next time. response:	I'll show you around!
context: Damn it!\It's so sweet! This is so delicious!\Isn't it, isn't it?\Chocolate caramel ice cream is definitely the best!\Yeah!\Nanoka, you don't know much about the stores around here, right?\Let's go shopping together next time.\I'll show you around! response:	Yeah!
context: It's so sweet! This is so delicious!\Isn't it, isn't it?\Chocolate caramel ice cream is definitely the best!\Yeah!\Nanoka, you don't know much about the stores around here, right?\Let's go shopping together next time.\I'll show you around!\Yeah! response:	Hey, Futaba-chan!
context: Isn't it, isn't it?\Chocolate caramel ice cream is definitely the best!\Yeah!\Nanoka, you don't know much about the stores around here, right?\Let's go shopping together next time.\I'll show you around!\Yeah!\Hey, Futaba-chan! response:	What's up?
context: Chocolate caramel ice cream is definitely the best!\Yeah!\Nanoka, you don't know much about the stores around here, right?\Let's go shopping together next time.\I'll show you around!\Yeah!\Hey, Futaba-chan!\What's up? response:	You're eating it again?
context: Yeah!\Nanoka, you don't know much about the stores around here, right?\Let's go shopping together next time.\I'll show you around!\Yeah!\Hey, Futaba-chan!\What's up?\You're eating it again? response:	You sure love the ice cream from this place.
context: Nanoka, you don't know much about the stores around here, right?\Let's go shopping together next time.\I'll show you around!\Yeah!\Hey, Futaba-chan!\What's up?\You're eating it again?\You sure love the ice cream from this place. response:	She went to the same junior high as me.
context: Let's go shopping together next time.\I'll show you around!\Yeah!\Hey, Futaba-chan!\What's up?\You're eating it again?\You sure love the ice cream from this place.\She went to the same junior high as me. response:	I'm Tamaki Youko from class 4. Nice to meet you.
context: I'll show you around!\Yeah!\Hey, Futaba-chan!\What's up?\You're eating it again?\You sure love the ice cream from this place.\She went to the same junior high as me.\I'm Tamaki Youko from class 4. Nice to meet you. response:	I'm Kohinata Nanoka, nice to meet you too.
