context: Auntie, are you really going to marry the Crown Prince? response:	I have to marry him sooner or later.
context: Do you think that High God Mo Yuan couldn't see through Zhe Yan's magic?\They are brothers!\I've always thought it was Mo Yuan you had on your mind.\Second Brother, you mustn't make such a joke.\My mentor saved me from my heavenly trial.\He also mentored and educated me.\He's as close to me as Father is.\Even if I had to sacrifice my life for Master one day response:	I wouldn't hesitate at all.
context: They are brothers!\I've always thought it was Mo Yuan you had on your mind.\Second Brother, you mustn't make such a joke.\My mentor saved me from my heavenly trial.\He also mentored and educated me.\He's as close to me as Father is.\Even if I had to sacrifice my life for Master one day\I wouldn't hesitate at all. response:	However, Ye Hua is the only man on my mind.
context: I've always thought it was Mo Yuan you had on your mind.\Second Brother, you mustn't make such a joke.\My mentor saved me from my heavenly trial.\He also mentored and educated me.\He's as close to me as Father is.\Even if I had to sacrifice my life for Master one day\I wouldn't hesitate at all.\However, Ye Hua is the only man on my mind. response:	That is absolutely true.
context: Second Brother, you mustn't make such a joke.\My mentor saved me from my heavenly trial.\He also mentored and educated me.\He's as close to me as Father is.\Even if I had to sacrifice my life for Master one day\I wouldn't hesitate at all.\However, Ye Hua is the only man on my mind.\That is absolutely true. response:	All right.
context: My mentor saved me from my heavenly trial.\He also mentored and educated me.\He's as close to me as Father is.\Even if I had to sacrifice my life for Master one day\I wouldn't hesitate at all.\However, Ye Hua is the only man on my mind.\That is absolutely true.\All right. response:	Since you clearly know what it is you seek
context: He also mentored and educated me.\He's as close to me as Father is.\Even if I had to sacrifice my life for Master one day\I wouldn't hesitate at all.\However, Ye Hua is the only man on my mind.\That is absolutely true.\All right.\Since you clearly know what it is you seek response:	I won't hold you back.
context: He's as close to me as Father is.\Even if I had to sacrifice my life for Master one day\I wouldn't hesitate at all.\However, Ye Hua is the only man on my mind.\That is absolutely true.\All right.\Since you clearly know what it is you seek\I won't hold you back. response:	It's just that you've been engaged for a long time.
context: Even if I had to sacrifice my life for Master one day\I wouldn't hesitate at all.\However, Ye Hua is the only man on my mind.\That is absolutely true.\All right.\Since you clearly know what it is you seek\I won't hold you back.\It's just that you've been engaged for a long time. response:	Why are you suddenly in a rush to get the wedding done?
context: I wouldn't hesitate at all.\However, Ye Hua is the only man on my mind.\That is absolutely true.\All right.\Since you clearly know what it is you seek\I won't hold you back.\It's just that you've been engaged for a long time.\Why are you suddenly in a rush to get the wedding done? response:	It's because Ye Hua went to Yingzhou for me
context: However, Ye Hua is the only man on my mind.\That is absolutely true.\All right.\Since you clearly know what it is you seek\I won't hold you back.\It's just that you've been engaged for a long time.\Why are you suddenly in a rush to get the wedding done?\It's because Ye Hua went to Yingzhou for me response:	and used up his cultivation to make the elixir.
context: That is absolutely true.\All right.\Since you clearly know what it is you seek\I won't hold you back.\It's just that you've been engaged for a long time.\Why are you suddenly in a rush to get the wedding done?\It's because Ye Hua went to Yingzhou for me\and used up his cultivation to make the elixir. response:	He saved my mentor.
context: All right.\Since you clearly know what it is you seek\I won't hold you back.\It's just that you've been engaged for a long time.\Why are you suddenly in a rush to get the wedding done?\It's because Ye Hua went to Yingzhou for me\and used up his cultivation to make the elixir.\He saved my mentor. response:	He doesn't have much cultivation left.
context: Since you clearly know what it is you seek\I won't hold you back.\It's just that you've been engaged for a long time.\Why are you suddenly in a rush to get the wedding done?\It's because Ye Hua went to Yingzhou for me\and used up his cultivation to make the elixir.\He saved my mentor.\He doesn't have much cultivation left. response:	I'm worried that should he take the throne of Heavenly Lord
context: I won't hold you back.\It's just that you've been engaged for a long time.\Why are you suddenly in a rush to get the wedding done?\It's because Ye Hua went to Yingzhou for me\and used up his cultivation to make the elixir.\He saved my mentor.\He doesn't have much cultivation left.\I'm worried that should he take the throne of Heavenly Lord response:	he might not be able to withstand
context: It's just that you've been engaged for a long time.\Why are you suddenly in a rush to get the wedding done?\It's because Ye Hua went to Yingzhou for me\and used up his cultivation to make the elixir.\He saved my mentor.\He doesn't have much cultivation left.\I'm worried that should he take the throne of Heavenly Lord\he might not be able to withstand response:	the karma of 81 sacred blazes and 9 holy lightning bolts.
context: Why are you suddenly in a rush to get the wedding done?\It's because Ye Hua went to Yingzhou for me\and used up his cultivation to make the elixir.\He saved my mentor.\He doesn't have much cultivation left.\I'm worried that should he take the throne of Heavenly Lord\he might not be able to withstand\the karma of 81 sacred blazes and 9 holy lightning bolts. response:	What has his inheriting the throne got to do with your wedding?
context: It's because Ye Hua went to Yingzhou for me\and used up his cultivation to make the elixir.\He saved my mentor.\He doesn't have much cultivation left.\I'm worried that should he take the throne of Heavenly Lord\he might not be able to withstand\the karma of 81 sacred blazes and 9 holy lightning bolts.\What has his inheriting the throne got to do with your wedding? response:	Since the ancient times
context: and used up his cultivation to make the elixir.\He saved my mentor.\He doesn't have much cultivation left.\I'm worried that should he take the throne of Heavenly Lord\he might not be able to withstand\the karma of 81 sacred blazes and 9 holy lightning bolts.\What has his inheriting the throne got to do with your wedding?\Since the ancient times response:	both the Heavenly Lord and Empress have endured such fires of karma together.
context: He saved my mentor.\He doesn't have much cultivation left.\I'm worried that should he take the throne of Heavenly Lord\he might not be able to withstand\the karma of 81 sacred blazes and 9 holy lightning bolts.\What has his inheriting the throne got to do with your wedding?\Since the ancient times\both the Heavenly Lord and Empress have endured such fires of karma together. response:	If I could marry him soon
context: He doesn't have much cultivation left.\I'm worried that should he take the throne of Heavenly Lord\he might not be able to withstand\the karma of 81 sacred blazes and 9 holy lightning bolts.\What has his inheriting the throne got to do with your wedding?\Since the ancient times\both the Heavenly Lord and Empress have endured such fires of karma together.\If I could marry him soon response:	I could take on the fires of karma with him.
context: I'm worried that should he take the throne of Heavenly Lord\he might not be able to withstand\the karma of 81 sacred blazes and 9 holy lightning bolts.\What has his inheriting the throne got to do with your wedding?\Since the ancient times\both the Heavenly Lord and Empress have endured such fires of karma together.\If I could marry him soon\I could take on the fires of karma with him. response:	You're not his wife yet, and you're already so thoughtful of him?
context: he might not be able to withstand\the karma of 81 sacred blazes and 9 holy lightning bolts.\What has his inheriting the throne got to do with your wedding?\Since the ancient times\both the Heavenly Lord and Empress have endured such fires of karma together.\If I could marry him soon\I could take on the fires of karma with him.\You're not his wife yet, and you're already so thoughtful of him? response:	Fifth Sister is from Qing Qiu.
context: the karma of 81 sacred blazes and 9 holy lightning bolts.\What has his inheriting the throne got to do with your wedding?\Since the ancient times\both the Heavenly Lord and Empress have endured such fires of karma together.\If I could marry him soon\I could take on the fires of karma with him.\You're not his wife yet, and you're already so thoughtful of him?\Fifth Sister is from Qing Qiu. response:	She's so faithful. So faithful.
context: What has his inheriting the throne got to do with your wedding?\Since the ancient times\both the Heavenly Lord and Empress have endured such fires of karma together.\If I could marry him soon\I could take on the fires of karma with him.\You're not his wife yet, and you're already so thoughtful of him?\Fifth Sister is from Qing Qiu.\She's so faithful. So faithful. response:	All right. I'll write a letter tomorrow.
context: Since the ancient times\both the Heavenly Lord and Empress have endured such fires of karma together.\If I could marry him soon\I could take on the fires of karma with him.\You're not his wife yet, and you're already so thoughtful of him?\Fifth Sister is from Qing Qiu.\She's so faithful. So faithful.\All right. I'll write a letter tomorrow. response:	I'll have it sent to Mother and Father.
context: both the Heavenly Lord and Empress have endured such fires of karma together.\If I could marry him soon\I could take on the fires of karma with him.\You're not his wife yet, and you're already so thoughtful of him?\Fifth Sister is from Qing Qiu.\She's so faithful. So faithful.\All right. I'll write a letter tomorrow.\I'll have it sent to Mother and Father. response:	Thank you, Second Brother. I'll get going.
context: If I could marry him soon\I could take on the fires of karma with him.\You're not his wife yet, and you're already so thoughtful of him?\Fifth Sister is from Qing Qiu.\She's so faithful. So faithful.\All right. I'll write a letter tomorrow.\I'll have it sent to Mother and Father.\Thank you, Second Brother. I'll get going. response:	Sure.
context: I could take on the fires of karma with him.\You're not his wife yet, and you're already so thoughtful of him?\Fifth Sister is from Qing Qiu.\She's so faithful. So faithful.\All right. I'll write a letter tomorrow.\I'll have it sent to Mother and Father.\Thank you, Second Brother. I'll get going.\Sure. response:	Where are you going?
context: You're not his wife yet, and you're already so thoughtful of him?\Fifth Sister is from Qing Qiu.\She's so faithful. So faithful.\All right. I'll write a letter tomorrow.\I'll have it sent to Mother and Father.\Thank you, Second Brother. I'll get going.\Sure.\Where are you going? response:	This is your Qing Qiu Fox Den.
context: Fifth Sister is from Qing Qiu.\She's so faithful. So faithful.\All right. I'll write a letter tomorrow.\I'll have it sent to Mother and Father.\Thank you, Second Brother. I'll get going.\Sure.\Where are you going?\This is your Qing Qiu Fox Den. response:	Riceball is still young.
context: She's so faithful. So faithful.\All right. I'll write a letter tomorrow.\I'll have it sent to Mother and Father.\Thank you, Second Brother. I'll get going.\Sure.\Where are you going?\This is your Qing Qiu Fox Den.\Riceball is still young. response:	Ye Hua is constantly busy with work.
context: All right. I'll write a letter tomorrow.\I'll have it sent to Mother and Father.\Thank you, Second Brother. I'll get going.\Sure.\Where are you going?\This is your Qing Qiu Fox Den.\Riceball is still young.\Ye Hua is constantly busy with work. response:	I have to head back to look after him.
context: I'll have it sent to Mother and Father.\Thank you, Second Brother. I'll get going.\Sure.\Where are you going?\This is your Qing Qiu Fox Den.\Riceball is still young.\Ye Hua is constantly busy with work.\I have to head back to look after him. response:	What about your second and fourth brothers?
context: Thank you, Second Brother. I'll get going.\Sure.\Where are you going?\This is your Qing Qiu Fox Den.\Riceball is still young.\Ye Hua is constantly busy with work.\I have to head back to look after him.\What about your second and fourth brothers? response:	You don't care about us?
context: Sure.\Where are you going?\This is your Qing Qiu Fox Den.\Riceball is still young.\Ye Hua is constantly busy with work.\I have to head back to look after him.\What about your second and fourth brothers?\You don't care about us? response:	Ignore him.
context: Where are you going?\This is your Qing Qiu Fox Den.\Riceball is still young.\Ye Hua is constantly busy with work.\I have to head back to look after him.\What about your second and fourth brothers?\You don't care about us?\Ignore him. response:	Get going.
context: This is your Qing Qiu Fox Den.\Riceball is still young.\Ye Hua is constantly busy with work.\I have to head back to look after him.\What about your second and fourth brothers?\You don't care about us?\Ignore him.\Get going. response:	Yes, Second Brother. I'll leave now.
context: Riceball is still young.\Ye Hua is constantly busy with work.\I have to head back to look after him.\What about your second and fourth brothers?\You don't care about us?\Ignore him.\Get going.\Yes, Second Brother. I'll leave now. response:	Look at her. What a good step-mother she is.
context: Ye Hua is constantly busy with work.\I have to head back to look after him.\What about your second and fourth brothers?\You don't care about us?\Ignore him.\Get going.\Yes, Second Brother. I'll leave now.\Look at her. What a good step-mother she is. response:	It's a pity that there's a side consort
context: I have to head back to look after him.\What about your second and fourth brothers?\You don't care about us?\Ignore him.\Get going.\Yes, Second Brother. I'll leave now.\Look at her. What a good step-mother she is.\It's a pity that there's a side consort response:	bestowed by the Heavenly Lord in Ye Hua's harem.
context: What about your second and fourth brothers?\You don't care about us?\Ignore him.\Get going.\Yes, Second Brother. I'll leave now.\Look at her. What a good step-mother she is.\It's a pity that there's a side consort\bestowed by the Heavenly Lord in Ye Hua's harem. response:	Fifth Sister and Ye Hua can't just be a loving couple with intruders.
context: You don't care about us?\Ignore him.\Get going.\Yes, Second Brother. I'll leave now.\Look at her. What a good step-mother she is.\It's a pity that there's a side consort\bestowed by the Heavenly Lord in Ye Hua's harem.\Fifth Sister and Ye Hua can't just be a loving couple with intruders. response:	By the way, I forgot about a matter.
context: Ignore him.\Get going.\Yes, Second Brother. I'll leave now.\Look at her. What a good step-mother she is.\It's a pity that there's a side consort\bestowed by the Heavenly Lord in Ye Hua's harem.\Fifth Sister and Ye Hua can't just be a loving couple with intruders.\By the way, I forgot about a matter. response:	What is it?
context: Get going.\Yes, Second Brother. I'll leave now.\Look at her. What a good step-mother she is.\It's a pity that there's a side consort\bestowed by the Heavenly Lord in Ye Hua's harem.\Fifth Sister and Ye Hua can't just be a loving couple with intruders.\By the way, I forgot about a matter.\What is it? response:	I'm about to marry into the Celestial Palace.
context: Yes, Second Brother. I'll leave now.\Look at her. What a good step-mother she is.\It's a pity that there's a side consort\bestowed by the Heavenly Lord in Ye Hua's harem.\Fifth Sister and Ye Hua can't just be a loving couple with intruders.\By the way, I forgot about a matter.\What is it?\I'm about to marry into the Celestial Palace. response:	I took one of the thrones of the Five Far Lands
context: Look at her. What a good step-mother she is.\It's a pity that there's a side consort\bestowed by the Heavenly Lord in Ye Hua's harem.\Fifth Sister and Ye Hua can't just be a loving couple with intruders.\By the way, I forgot about a matter.\What is it?\I'm about to marry into the Celestial Palace.\I took one of the thrones of the Five Far Lands response:	so it must be passed on to another.
context: It's a pity that there's a side consort\bestowed by the Heavenly Lord in Ye Hua's harem.\Fifth Sister and Ye Hua can't just be a loving couple with intruders.\By the way, I forgot about a matter.\What is it?\I'm about to marry into the Celestial Palace.\I took one of the thrones of the Five Far Lands\so it must be passed on to another. response:	I can't be a heavenly princess consort and a queen at the same time.
context: bestowed by the Heavenly Lord in Ye Hua's harem.\Fifth Sister and Ye Hua can't just be a loving couple with intruders.\By the way, I forgot about a matter.\What is it?\I'm about to marry into the Celestial Palace.\I took one of the thrones of the Five Far Lands\so it must be passed on to another.\I can't be a heavenly princess consort and a queen at the same time. response:	Although it seems correct in theory
context: Fifth Sister and Ye Hua can't just be a loving couple with intruders.\By the way, I forgot about a matter.\What is it?\I'm about to marry into the Celestial Palace.\I took one of the thrones of the Five Far Lands\so it must be passed on to another.\I can't be a heavenly princess consort and a queen at the same time.\Although it seems correct in theory response:	our parents only had five children.
context: By the way, I forgot about a matter.\What is it?\I'm about to marry into the Celestial Palace.\I took one of the thrones of the Five Far Lands\so it must be passed on to another.\I can't be a heavenly princess consort and a queen at the same time.\Although it seems correct in theory\our parents only had five children. response:	Five Far Lands of Qing Qiu, five rulers.
context: What is it?\I'm about to marry into the Celestial Palace.\I took one of the thrones of the Five Far Lands\so it must be passed on to another.\I can't be a heavenly princess consort and a queen at the same time.\Although it seems correct in theory\our parents only had five children.\Five Far Lands of Qing Qiu, five rulers. response:	No one should take two thrones.
context: I'm about to marry into the Celestial Palace.\I took one of the thrones of the Five Far Lands\so it must be passed on to another.\I can't be a heavenly princess consort and a queen at the same time.\Although it seems correct in theory\our parents only had five children.\Five Far Lands of Qing Qiu, five rulers.\No one should take two thrones. response:	I mean...
context: I took one of the thrones of the Five Far Lands\so it must be passed on to another.\I can't be a heavenly princess consort and a queen at the same time.\Although it seems correct in theory\our parents only had five children.\Five Far Lands of Qing Qiu, five rulers.\No one should take two thrones.\I mean... response:	Among the five of us only you have a daughter, Feng Jiu.
context: so it must be passed on to another.\I can't be a heavenly princess consort and a queen at the same time.\Although it seems correct in theory\our parents only had five children.\Five Far Lands of Qing Qiu, five rulers.\No one should take two thrones.\I mean...\Among the five of us only you have a daughter, Feng Jiu. response:	Why don't I... pass it on to her?
context: I can't be a heavenly princess consort and a queen at the same time.\Although it seems correct in theory\our parents only had five children.\Five Far Lands of Qing Qiu, five rulers.\No one should take two thrones.\I mean...\Among the five of us only you have a daughter, Feng Jiu.\Why don't I... pass it on to her? response:	Me?
context: Although it seems correct in theory\our parents only had five children.\Five Far Lands of Qing Qiu, five rulers.\No one should take two thrones.\I mean...\Among the five of us only you have a daughter, Feng Jiu.\Why don't I... pass it on to her?\Me? response:	Good! Great idea.
context: our parents only had five children.\Five Far Lands of Qing Qiu, five rulers.\No one should take two thrones.\I mean...\Among the five of us only you have a daughter, Feng Jiu.\Why don't I... pass it on to her?\Me?\Good! Great idea. response:	However, Second Brother is the emperor of Qing Qiu's Five Far Lands.
context: Five Far Lands of Qing Qiu, five rulers.\No one should take two thrones.\I mean...\Among the five of us only you have a daughter, Feng Jiu.\Why don't I... pass it on to her?\Me?\Good! Great idea.\However, Second Brother is the emperor of Qing Qiu's Five Far Lands. response:	If Feng Jiu takes your throne
context: No one should take two thrones.\I mean...\Among the five of us only you have a daughter, Feng Jiu.\Why don't I... pass it on to her?\Me?\Good! Great idea.\However, Second Brother is the emperor of Qing Qiu's Five Far Lands.\If Feng Jiu takes your throne response:	isn't the seniority a bit messed up?
context: I mean...\Among the five of us only you have a daughter, Feng Jiu.\Why don't I... pass it on to her?\Me?\Good! Great idea.\However, Second Brother is the emperor of Qing Qiu's Five Far Lands.\If Feng Jiu takes your throne\isn't the seniority a bit messed up? response:	Head back first.
context: Among the five of us only you have a daughter, Feng Jiu.\Why don't I... pass it on to her?\Me?\Good! Great idea.\However, Second Brother is the emperor of Qing Qiu's Five Far Lands.\If Feng Jiu takes your throne\isn't the seniority a bit messed up?\Head back first. response:	I'll discuss this matter with our parents and Bai Xuan first
context: Why don't I... pass it on to her?\Me?\Good! Great idea.\However, Second Brother is the emperor of Qing Qiu's Five Far Lands.\If Feng Jiu takes your throne\isn't the seniority a bit messed up?\Head back first.\I'll discuss this matter with our parents and Bai Xuan first response:	before we make a decision.
context: Me?\Good! Great idea.\However, Second Brother is the emperor of Qing Qiu's Five Far Lands.\If Feng Jiu takes your throne\isn't the seniority a bit messed up?\Head back first.\I'll discuss this matter with our parents and Bai Xuan first\before we make a decision. response:	All right, I'll get going now.
context: Good! Great idea.\However, Second Brother is the emperor of Qing Qiu's Five Far Lands.\If Feng Jiu takes your throne\isn't the seniority a bit messed up?\Head back first.\I'll discuss this matter with our parents and Bai Xuan first\before we make a decision.\All right, I'll get going now. response:	Auntie, why have you asked to talk to me?
context: However, Second Brother is the emperor of Qing Qiu's Five Far Lands.\If Feng Jiu takes your throne\isn't the seniority a bit messed up?\Head back first.\I'll discuss this matter with our parents and Bai Xuan first\before we make a decision.\All right, I'll get going now.\Auntie, why have you asked to talk to me? response:	Did your father hit you again?
context: If Feng Jiu takes your throne\isn't the seniority a bit messed up?\Head back first.\I'll discuss this matter with our parents and Bai Xuan first\before we make a decision.\All right, I'll get going now.\Auntie, why have you asked to talk to me?\Did your father hit you again? response:	He didn't beat me up that severely.
context: isn't the seniority a bit messed up?\Head back first.\I'll discuss this matter with our parents and Bai Xuan first\before we make a decision.\All right, I'll get going now.\Auntie, why have you asked to talk to me?\Did your father hit you again?\He didn't beat me up that severely. response:	What exactly is it?
context: Head back first.\I'll discuss this matter with our parents and Bai Xuan first\before we make a decision.\All right, I'll get going now.\Auntie, why have you asked to talk to me?\Did your father hit you again?\He didn't beat me up that severely.\What exactly is it? response:	I don't really know the details.
context: I'll discuss this matter with our parents and Bai Xuan first\before we make a decision.\All right, I'll get going now.\Auntie, why have you asked to talk to me?\Did your father hit you again?\He didn't beat me up that severely.\What exactly is it?\I don't really know the details. response:	It's just that Third Prince's girlfriend has asked me to pass on a message.
context: before we make a decision.\All right, I'll get going now.\Auntie, why have you asked to talk to me?\Did your father hit you again?\He didn't beat me up that severely.\What exactly is it?\I don't really know the details.\It's just that Third Prince's girlfriend has asked me to pass on a message. response:	She asked that you visit her in the Nine Heavens.
context: All right, I'll get going now.\Auntie, why have you asked to talk to me?\Did your father hit you again?\He didn't beat me up that severely.\What exactly is it?\I don't really know the details.\It's just that Third Prince's girlfriend has asked me to pass on a message.\She asked that you visit her in the Nine Heavens. response:	Lady Cheng Yu?
context: Auntie, why have you asked to talk to me?\Did your father hit you again?\He didn't beat me up that severely.\What exactly is it?\I don't really know the details.\It's just that Third Prince's girlfriend has asked me to pass on a message.\She asked that you visit her in the Nine Heavens.\Lady Cheng Yu? response:	Exactly.
context: Did your father hit you again?\He didn't beat me up that severely.\What exactly is it?\I don't really know the details.\It's just that Third Prince's girlfriend has asked me to pass on a message.\She asked that you visit her in the Nine Heavens.\Lady Cheng Yu?\Exactly. response:	Lady Cheng Yu always acts very cautiously.
context: He didn't beat me up that severely.\What exactly is it?\I don't really know the details.\It's just that Third Prince's girlfriend has asked me to pass on a message.\She asked that you visit her in the Nine Heavens.\Lady Cheng Yu?\Exactly.\Lady Cheng Yu always acts very cautiously. response:	If it weren't an important matter
