context: It's common knowledge that contractors act rationally response:	regardless of what kind of situation they're in.
context: Is it because they know no fear?\No, contractors can get scared shitless, just like anyone else.\The only difference is that they don't act on their emotions.\Even in a situation where they've been taken to the enemy's hideout...\Where do you think you're going, kitty cat?\I'm a contractor and a cat, for one reason or another.\However, I can still make a rational assessment of my situation.\I'm at the mercy of the enemy. response:	This is the best idea I can come up with.
context: No, contractors can get scared shitless, just like anyone else.\The only difference is that they don't act on their emotions.\Even in a situation where they've been taken to the enemy's hideout...\Where do you think you're going, kitty cat?\I'm a contractor and a cat, for one reason or another.\However, I can still make a rational assessment of my situation.\I'm at the mercy of the enemy.\This is the best idea I can come up with. response:	Does it still hurt?
context: The only difference is that they don't act on their emotions.\Even in a situation where they've been taken to the enemy's hideout...\Where do you think you're going, kitty cat?\I'm a contractor and a cat, for one reason or another.\However, I can still make a rational assessment of my situation.\I'm at the mercy of the enemy.\This is the best idea I can come up with.\Does it still hurt? response:	Thanks. I'm all right now.
context: Even in a situation where they've been taken to the enemy's hideout...\Where do you think you're going, kitty cat?\I'm a contractor and a cat, for one reason or another.\However, I can still make a rational assessment of my situation.\I'm at the mercy of the enemy.\This is the best idea I can come up with.\Does it still hurt?\Thanks. I'm all right now. response:	Those lunatics from PANDORA are screwing around with us!
context: Where do you think you're going, kitty cat?\I'm a contractor and a cat, for one reason or another.\However, I can still make a rational assessment of my situation.\I'm at the mercy of the enemy.\This is the best idea I can come up with.\Does it still hurt?\Thanks. I'm all right now.\Those lunatics from PANDORA are screwing around with us! response:	They should have known that nothing would come out of searching you, boss.
context: I'm a contractor and a cat, for one reason or another.\However, I can still make a rational assessment of my situation.\I'm at the mercy of the enemy.\This is the best idea I can come up with.\Does it still hurt?\Thanks. I'm all right now.\Those lunatics from PANDORA are screwing around with us!\They should have known that nothing would come out of searching you, boss. response:	It's surprising that the Cabinet Office ordered the dispatch of PANDORA.
context: However, I can still make a rational assessment of my situation.\I'm at the mercy of the enemy.\This is the best idea I can come up with.\Does it still hurt?\Thanks. I'm all right now.\Those lunatics from PANDORA are screwing around with us!\They should have known that nothing would come out of searching you, boss.\It's surprising that the Cabinet Office ordered the dispatch of PANDORA. response:	It's probably because it would have become a diplomatic issue if the Japanese police went too far.
context: I'm at the mercy of the enemy.\This is the best idea I can come up with.\Does it still hurt?\Thanks. I'm all right now.\Those lunatics from PANDORA are screwing around with us!\They should have known that nothing would come out of searching you, boss.\It's surprising that the Cabinet Office ordered the dispatch of PANDORA.\It's probably because it would have become a diplomatic issue if the Japanese police went too far. response:	What a damn shame.
context: This is the best idea I can come up with.\Does it still hurt?\Thanks. I'm all right now.\Those lunatics from PANDORA are screwing around with us!\They should have known that nothing would come out of searching you, boss.\It's surprising that the Cabinet Office ordered the dispatch of PANDORA.\It's probably because it would have become a diplomatic issue if the Japanese police went too far.\What a damn shame. response:	You're right. They didn't have to yield investigation jurisdiction to PANDORA.
context: Does it still hurt?\Thanks. I'm all right now.\Those lunatics from PANDORA are screwing around with us!\They should have known that nothing would come out of searching you, boss.\It's surprising that the Cabinet Office ordered the dispatch of PANDORA.\It's probably because it would have become a diplomatic issue if the Japanese police went too far.\What a damn shame.\You're right. They didn't have to yield investigation jurisdiction to PANDORA. response:	We're in Japan, for crying out loud.
context: Thanks. I'm all right now.\Those lunatics from PANDORA are screwing around with us!\They should have known that nothing would come out of searching you, boss.\It's surprising that the Cabinet Office ordered the dispatch of PANDORA.\It's probably because it would have become a diplomatic issue if the Japanese police went too far.\What a damn shame.\You're right. They didn't have to yield investigation jurisdiction to PANDORA.\We're in Japan, for crying out loud. response:	External Affairs, Section Four.
context: Those lunatics from PANDORA are screwing around with us!\They should have known that nothing would come out of searching you, boss.\It's surprising that the Cabinet Office ordered the dispatch of PANDORA.\It's probably because it would have become a diplomatic issue if the Japanese police went too far.\What a damn shame.\You're right. They didn't have to yield investigation jurisdiction to PANDORA.\We're in Japan, for crying out loud.\External Affairs, Section Four. response:	Yes. Boss!
context: They should have known that nothing would come out of searching you, boss.\It's surprising that the Cabinet Office ordered the dispatch of PANDORA.\It's probably because it would have become a diplomatic issue if the Japanese police went too far.\What a damn shame.\You're right. They didn't have to yield investigation jurisdiction to PANDORA.\We're in Japan, for crying out loud.\External Affairs, Section Four.\Yes. Boss! response:	The manager wants to see you.
context: It's surprising that the Cabinet Office ordered the dispatch of PANDORA.\It's probably because it would have become a diplomatic issue if the Japanese police went too far.\What a damn shame.\You're right. They didn't have to yield investigation jurisdiction to PANDORA.\We're in Japan, for crying out loud.\External Affairs, Section Four.\Yes. Boss!\The manager wants to see you. response:	It's Kirihara.
context: It's probably because it would have become a diplomatic issue if the Japanese police went too far.\What a damn shame.\You're right. They didn't have to yield investigation jurisdiction to PANDORA.\We're in Japan, for crying out loud.\External Affairs, Section Four.\Yes. Boss!\The manager wants to see you.\It's Kirihara. response:	Come in.
context: What a damn shame.\You're right. They didn't have to yield investigation jurisdiction to PANDORA.\We're in Japan, for crying out loud.\External Affairs, Section Four.\Yes. Boss!\The manager wants to see you.\It's Kirihara.\Come in. response:	I'm sure you're already familiar with the agents.
context: You're right. They didn't have to yield investigation jurisdiction to PANDORA.\We're in Japan, for crying out loud.\External Affairs, Section Four.\Yes. Boss!\The manager wants to see you.\It's Kirihara.\Come in.\I'm sure you're already familiar with the agents. response:	Hi.
context: We're in Japan, for crying out loud.\External Affairs, Section Four.\Yes. Boss!\The manager wants to see you.\It's Kirihara.\Come in.\I'm sure you're already familiar with the agents.\Hi. response:	I believe we haven't met.
context: External Affairs, Section Four.\Yes. Boss!\The manager wants to see you.\It's Kirihara.\Come in.\I'm sure you're already familiar with the agents.\Hi.\I believe we haven't met. response:	This gentleman is in charge of MI6's operations in the Far East.
context: Yes. Boss!\The manager wants to see you.\It's Kirihara.\Come in.\I'm sure you're already familiar with the agents.\Hi.\I believe we haven't met.\This gentleman is in charge of MI6's operations in the Far East. response:	The name is Decade.
context: The manager wants to see you.\It's Kirihara.\Come in.\I'm sure you're already familiar with the agents.\Hi.\I believe we haven't met.\This gentleman is in charge of MI6's operations in the Far East.\The name is Decade. response:	I'm Kirihara.
context: It's Kirihara.\Come in.\I'm sure you're already familiar with the agents.\Hi.\I believe we haven't met.\This gentleman is in charge of MI6's operations in the Far East.\The name is Decade.\I'm Kirihara. response:	I asked you to come here because of...
context: Come in.\I'm sure you're already familiar with the agents.\Hi.\I believe we haven't met.\This gentleman is in charge of MI6's operations in the Far East.\The name is Decade.\I'm Kirihara.\I asked you to come here because of... response:	November 11.
context: I'm sure you're already familiar with the agents.\Hi.\I believe we haven't met.\This gentleman is in charge of MI6's operations in the Far East.\The name is Decade.\I'm Kirihara.\I asked you to come here because of...\November 11. response:	What?
context: Hi.\I believe we haven't met.\This gentleman is in charge of MI6's operations in the Far East.\The name is Decade.\I'm Kirihara.\I asked you to come here because of...\November 11.\What? response:	I'll get straight to the point.
context: I believe we haven't met.\This gentleman is in charge of MI6's operations in the Far East.\The name is Decade.\I'm Kirihara.\I asked you to come here because of...\November 11.\What?\I'll get straight to the point. response:	Do you know where he is?
context: This gentleman is in charge of MI6's operations in the Far East.\The name is Decade.\I'm Kirihara.\I asked you to come here because of...\November 11.\What?\I'll get straight to the point.\Do you know where he is? response:	With all due respect, I'd like to ask you the same question.
context: The name is Decade.\I'm Kirihara.\I asked you to come here because of...\November 11.\What?\I'll get straight to the point.\Do you know where he is?\With all due respect, I'd like to ask you the same question. response:	In other words...
context: I'm Kirihara.\I asked you to come here because of...\November 11.\What?\I'll get straight to the point.\Do you know where he is?\With all due respect, I'd like to ask you the same question.\In other words... response:	Wasn't he ordered to disappear from the scene?
context: I asked you to come here because of...\November 11.\What?\I'll get straight to the point.\Do you know where he is?\With all due respect, I'd like to ask you the same question.\In other words...\Wasn't he ordered to disappear from the scene? response:	I had assumed it was related to the abduction of Dr. Schroeder.
context: November 11.\What?\I'll get straight to the point.\Do you know where he is?\With all due respect, I'd like to ask you the same question.\In other words...\Wasn't he ordered to disappear from the scene?\I had assumed it was related to the abduction of Dr. Schroeder. response:	I haven't heard a word from him in a week.
context: What?\I'll get straight to the point.\Do you know where he is?\With all due respect, I'd like to ask you the same question.\In other words...\Wasn't he ordered to disappear from the scene?\I had assumed it was related to the abduction of Dr. Schroeder.\I haven't heard a word from him in a week. response:	What do you mean?
context: I'll get straight to the point.\Do you know where he is?\With all due respect, I'd like to ask you the same question.\In other words...\Wasn't he ordered to disappear from the scene?\I had assumed it was related to the abduction of Dr. Schroeder.\I haven't heard a word from him in a week.\What do you mean? response:	That's what we'd like to know.
context: Do you know where he is?\With all due respect, I'd like to ask you the same question.\In other words...\Wasn't he ordered to disappear from the scene?\I had assumed it was related to the abduction of Dr. Schroeder.\I haven't heard a word from him in a week.\What do you mean?\That's what we'd like to know. response:	Is he still MI6's best agent or has he become an instrument of the terrorists?
context: With all due respect, I'd like to ask you the same question.\In other words...\Wasn't he ordered to disappear from the scene?\I had assumed it was related to the abduction of Dr. Schroeder.\I haven't heard a word from him in a week.\What do you mean?\That's what we'd like to know.\Is he still MI6's best agent or has he become an instrument of the terrorists? response:	You look younger every time I see you, February.
context: In other words...\Wasn't he ordered to disappear from the scene?\I had assumed it was related to the abduction of Dr. Schroeder.\I haven't heard a word from him in a week.\What do you mean?\That's what we'd like to know.\Is he still MI6's best agent or has he become an instrument of the terrorists?\You look younger every time I see you, February. response:	Excuse me, I should have said Amber.
context: Wasn't he ordered to disappear from the scene?\I had assumed it was related to the abduction of Dr. Schroeder.\I haven't heard a word from him in a week.\What do you mean?\That's what we'd like to know.\Is he still MI6's best agent or has he become an instrument of the terrorists?\You look younger every time I see you, February.\Excuse me, I should have said Amber. response:	You haven't changed at all, November 11.
context: I had assumed it was related to the abduction of Dr. Schroeder.\I haven't heard a word from him in a week.\What do you mean?\That's what we'd like to know.\Is he still MI6's best agent or has he become an instrument of the terrorists?\You look younger every time I see you, February.\Excuse me, I should have said Amber.\You haven't changed at all, November 11. response:	I don't see the man from the other day.
context: I haven't heard a word from him in a week.\What do you mean?\That's what we'd like to know.\Is he still MI6's best agent or has he become an instrument of the terrorists?\You look younger every time I see you, February.\Excuse me, I should have said Amber.\You haven't changed at all, November 11.\I don't see the man from the other day. response:	Amagiri? That's too bad. Did you take a liking to him?
context: What do you mean?\That's what we'd like to know.\Is he still MI6's best agent or has he become an instrument of the terrorists?\You look younger every time I see you, February.\Excuse me, I should have said Amber.\You haven't changed at all, November 11.\I don't see the man from the other day.\Amagiri? That's too bad. Did you take a liking to him? response:	No, I don't have those kinds of interests.
context: That's what we'd like to know.\Is he still MI6's best agent or has he become an instrument of the terrorists?\You look younger every time I see you, February.\Excuse me, I should have said Amber.\You haven't changed at all, November 11.\I don't see the man from the other day.\Amagiri? That's too bad. Did you take a liking to him?\No, I don't have those kinds of interests. response:	That's good to know. Since we're short on time, let's move on to the main topic.
context: Is he still MI6's best agent or has he become an instrument of the terrorists?\You look younger every time I see you, February.\Excuse me, I should have said Amber.\You haven't changed at all, November 11.\I don't see the man from the other day.\Amagiri? That's too bad. Did you take a liking to him?\No, I don't have those kinds of interests.\That's good to know. Since we're short on time, let's move on to the main topic. response:	Ask me whatever you'd like.
context: You look younger every time I see you, February.\Excuse me, I should have said Amber.\You haven't changed at all, November 11.\I don't see the man from the other day.\Amagiri? That's too bad. Did you take a liking to him?\No, I don't have those kinds of interests.\That's good to know. Since we're short on time, let's move on to the main topic.\Ask me whatever you'd like. response:	Anything at all? What's your favorite kind of food?
context: Excuse me, I should have said Amber.\You haven't changed at all, November 11.\I don't see the man from the other day.\Amagiri? That's too bad. Did you take a liking to him?\No, I don't have those kinds of interests.\That's good to know. Since we're short on time, let's move on to the main topic.\Ask me whatever you'd like.\Anything at all? What's your favorite kind of food? response:	Apples.
context: You haven't changed at all, November 11.\I don't see the man from the other day.\Amagiri? That's too bad. Did you take a liking to him?\No, I don't have those kinds of interests.\That's good to know. Since we're short on time, let's move on to the main topic.\Ask me whatever you'd like.\Anything at all? What's your favorite kind of food?\Apples. response:	What a coincidence. Me, too.
context: I don't see the man from the other day.\Amagiri? That's too bad. Did you take a liking to him?\No, I don't have those kinds of interests.\That's good to know. Since we're short on time, let's move on to the main topic.\Ask me whatever you'd like.\Anything at all? What's your favorite kind of food?\Apples.\What a coincidence. Me, too. response:	You're lying.
context: Amagiri? That's too bad. Did you take a liking to him?\No, I don't have those kinds of interests.\That's good to know. Since we're short on time, let's move on to the main topic.\Ask me whatever you'd like.\Anything at all? What's your favorite kind of food?\Apples.\What a coincidence. Me, too.\You're lying. response:	That makes two of us.
context: No, I don't have those kinds of interests.\That's good to know. Since we're short on time, let's move on to the main topic.\Ask me whatever you'd like.\Anything at all? What's your favorite kind of food?\Apples.\What a coincidence. Me, too.\You're lying.\That makes two of us. response:	Let's get back on topic.
context: That's good to know. Since we're short on time, let's move on to the main topic.\Ask me whatever you'd like.\Anything at all? What's your favorite kind of food?\Apples.\What a coincidence. Me, too.\You're lying.\That makes two of us.\Let's get back on topic. response:	Be my guest.
context: Ask me whatever you'd like.\Anything at all? What's your favorite kind of food?\Apples.\What a coincidence. Me, too.\You're lying.\That makes two of us.\Let's get back on topic.\Be my guest. response:	There's only one question I'd like to ask.
context: Anything at all? What's your favorite kind of food?\Apples.\What a coincidence. Me, too.\You're lying.\That makes two of us.\Let's get back on topic.\Be my guest.\There's only one question I'd like to ask. response:	What's the truth behind the syndicate you betrayed?
context: Apples.\What a coincidence. Me, too.\You're lying.\That makes two of us.\Let's get back on topic.\Be my guest.\There's only one question I'd like to ask.\What's the truth behind the syndicate you betrayed? response:	Hold on. In order for you to get a better idea about the situation,
context: What a coincidence. Me, too.\You're lying.\That makes two of us.\Let's get back on topic.\Be my guest.\There's only one question I'd like to ask.\What's the truth behind the syndicate you betrayed?\Hold on. In order for you to get a better idea about the situation, response:	I've invited somebody else.
context: You're lying.\That makes two of us.\Let's get back on topic.\Be my guest.\There's only one question I'd like to ask.\What's the truth behind the syndicate you betrayed?\Hold on. In order for you to get a better idea about the situation,\I've invited somebody else. response:	Please come in.
context: That makes two of us.\Let's get back on topic.\Be my guest.\There's only one question I'd like to ask.\What's the truth behind the syndicate you betrayed?\Hold on. In order for you to get a better idea about the situation,\I've invited somebody else.\Please come in. response:	Dr. Schroeder...
context: Let's get back on topic.\Be my guest.\There's only one question I'd like to ask.\What's the truth behind the syndicate you betrayed?\Hold on. In order for you to get a better idea about the situation,\I've invited somebody else.\Please come in.\Dr. Schroeder... response:	Who are you? One of them?
context: Be my guest.\There's only one question I'd like to ask.\What's the truth behind the syndicate you betrayed?\Hold on. In order for you to get a better idea about the situation,\I've invited somebody else.\Please come in.\Dr. Schroeder...\Who are you? One of them? response:	He might be, depending on what you have to say.
context: There's only one question I'd like to ask.\What's the truth behind the syndicate you betrayed?\Hold on. In order for you to get a better idea about the situation,\I've invited somebody else.\Please come in.\Dr. Schroeder...\Who are you? One of them?\He might be, depending on what you have to say. response:	I told you, I'm just a scientist employed by PANDORA.
context: What's the truth behind the syndicate you betrayed?\Hold on. In order for you to get a better idea about the situation,\I've invited somebody else.\Please come in.\Dr. Schroeder...\Who are you? One of them?\He might be, depending on what you have to say.\I told you, I'm just a scientist employed by PANDORA. response:	What you people refer to as the syndicate...
context: Hold on. In order for you to get a better idea about the situation,\I've invited somebody else.\Please come in.\Dr. Schroeder...\Who are you? One of them?\He might be, depending on what you have to say.\I told you, I'm just a scientist employed by PANDORA.\What you people refer to as the syndicate... response:	Tell him the entire story, including that.
context: I've invited somebody else.\Please come in.\Dr. Schroeder...\Who are you? One of them?\He might be, depending on what you have to say.\I told you, I'm just a scientist employed by PANDORA.\What you people refer to as the syndicate...\Tell him the entire story, including that. response:	How many normals are in this room?
context: Please come in.\Dr. Schroeder...\Who are you? One of them?\He might be, depending on what you have to say.\I told you, I'm just a scientist employed by PANDORA.\What you people refer to as the syndicate...\Tell him the entire story, including that.\How many normals are in this room? response:	In other words, how many people here aren't contractors?
context: Dr. Schroeder...\Who are you? One of them?\He might be, depending on what you have to say.\I told you, I'm just a scientist employed by PANDORA.\What you people refer to as the syndicate...\Tell him the entire story, including that.\How many normals are in this room?\In other words, how many people here aren't contractors? response:	Everybody here is a contractor.
context: Who are you? One of them?\He might be, depending on what you have to say.\I told you, I'm just a scientist employed by PANDORA.\What you people refer to as the syndicate...\Tell him the entire story, including that.\How many normals are in this room?\In other words, how many people here aren't contractors?\Everybody here is a contractor. response:	My only ally is this cat, isn't it?
context: He might be, depending on what you have to say.\I told you, I'm just a scientist employed by PANDORA.\What you people refer to as the syndicate...\Tell him the entire story, including that.\How many normals are in this room?\In other words, how many people here aren't contractors?\Everybody here is a contractor.\My only ally is this cat, isn't it? response:	He's a contractor, too.
context: I told you, I'm just a scientist employed by PANDORA.\What you people refer to as the syndicate...\Tell him the entire story, including that.\How many normals are in this room?\In other words, how many people here aren't contractors?\Everybody here is a contractor.\My only ally is this cat, isn't it?\He's a contractor, too. response:	Will you keep the promise we made earlier?
context: What you people refer to as the syndicate...\Tell him the entire story, including that.\How many normals are in this room?\In other words, how many people here aren't contractors?\Everybody here is a contractor.\My only ally is this cat, isn't it?\He's a contractor, too.\Will you keep the promise we made earlier? response:	You won't kill me, no matter what I say?
context: Tell him the entire story, including that.\How many normals are in this room?\In other words, how many people here aren't contractors?\Everybody here is a contractor.\My only ally is this cat, isn't it?\He's a contractor, too.\Will you keep the promise we made earlier?\You won't kill me, no matter what I say? response:	You have my word.
context: How many normals are in this room?\In other words, how many people here aren't contractors?\Everybody here is a contractor.\My only ally is this cat, isn't it?\He's a contractor, too.\Will you keep the promise we made earlier?\You won't kill me, no matter what I say?\You have my word. response:	My experimental hypothesis is very simple.
context: In other words, how many people here aren't contractors?\Everybody here is a contractor.\My only ally is this cat, isn't it?\He's a contractor, too.\Will you keep the promise we made earlier?\You won't kill me, no matter what I say?\You have my word.\My experimental hypothesis is very simple. response:	If I'm correct, every contractor will disappear from this planet.
context: Everybody here is a contractor.\My only ally is this cat, isn't it?\He's a contractor, too.\Will you keep the promise we made earlier?\You won't kill me, no matter what I say?\You have my word.\My experimental hypothesis is very simple.\If I'm correct, every contractor will disappear from this planet. response:	What?
context: My only ally is this cat, isn't it?\He's a contractor, too.\Will you keep the promise we made earlier?\You won't kill me, no matter what I say?\You have my word.\My experimental hypothesis is very simple.\If I'm correct, every contractor will disappear from this planet.\What? response:	Is that it?
context: He's a contractor, too.\Will you keep the promise we made earlier?\You won't kill me, no matter what I say?\You have my word.\My experimental hypothesis is very simple.\If I'm correct, every contractor will disappear from this planet.\What?\Is that it? response:	Yes.
context: Will you keep the promise we made earlier?\You won't kill me, no matter what I say?\You have my word.\My experimental hypothesis is very simple.\If I'm correct, every contractor will disappear from this planet.\What?\Is that it?\Yes. response:	Is Mao still alive?
context: You won't kill me, no matter what I say?\You have my word.\My experimental hypothesis is very simple.\If I'm correct, every contractor will disappear from this planet.\What?\Is that it?\Yes.\Is Mao still alive? response:	He was fine while the apparition was present.
context: You have my word.\My experimental hypothesis is very simple.\If I'm correct, every contractor will disappear from this planet.\What?\Is that it?\Yes.\Is Mao still alive?\He was fine while the apparition was present. response:	What are Amber's objectives?
context: My experimental hypothesis is very simple.\If I'm correct, every contractor will disappear from this planet.\What?\Is that it?\Yes.\Is Mao still alive?\He was fine while the apparition was present.\What are Amber's objectives? response:	Last time she abducted Yin, and now she's taken Mao.
context: If I'm correct, every contractor will disappear from this planet.\What?\Is that it?\Yes.\Is Mao still alive?\He was fine while the apparition was present.\What are Amber's objectives?\Last time she abducted Yin, and now she's taken Mao. response:	That's not all. The good-looking guy from MI6 is involved, too.
context: What?\Is that it?\Yes.\Is Mao still alive?\He was fine while the apparition was present.\What are Amber's objectives?\Last time she abducted Yin, and now she's taken Mao.\That's not all. The good-looking guy from MI6 is involved, too. response:	Yin, what did Amber talk about the other day?
context: Is that it?\Yes.\Is Mao still alive?\He was fine while the apparition was present.\What are Amber's objectives?\Last time she abducted Yin, and now she's taken Mao.\That's not all. The good-looking guy from MI6 is involved, too.\Yin, what did Amber talk about the other day? response:	About you, Hei.
context: Yes.\Is Mao still alive?\He was fine while the apparition was present.\What are Amber's objectives?\Last time she abducted Yin, and now she's taken Mao.\That's not all. The good-looking guy from MI6 is involved, too.\Yin, what did Amber talk about the other day?\About you, Hei. response:	About your past and your future.
context: Is Mao still alive?\He was fine while the apparition was present.\What are Amber's objectives?\Last time she abducted Yin, and now she's taken Mao.\That's not all. The good-looking guy from MI6 is involved, too.\Yin, what did Amber talk about the other day?\About you, Hei.\About your past and your future. response:	Hey, wait!
context: He was fine while the apparition was present.\What are Amber's objectives?\Last time she abducted Yin, and now she's taken Mao.\That's not all. The good-looking guy from MI6 is involved, too.\Yin, what did Amber talk about the other day?\About you, Hei.\About your past and your future.\Hey, wait! response:	Don't tell me you're going there by yourself.
context: What are Amber's objectives?\Last time she abducted Yin, and now she's taken Mao.\That's not all. The good-looking guy from MI6 is involved, too.\Yin, what did Amber talk about the other day?\About you, Hei.\About your past and your future.\Hey, wait!\Don't tell me you're going there by yourself. response:	There's no guarantee you'll make it back alive, even for somebody like you.
context: Last time she abducted Yin, and now she's taken Mao.\That's not all. The good-looking guy from MI6 is involved, too.\Yin, what did Amber talk about the other day?\About you, Hei.\About your past and your future.\Hey, wait!\Don't tell me you're going there by yourself.\There's no guarantee you'll make it back alive, even for somebody like you. response:	You'll have to give up on Mao.
context: That's not all. The good-looking guy from MI6 is involved, too.\Yin, what did Amber talk about the other day?\About you, Hei.\About your past and your future.\Hey, wait!\Don't tell me you're going there by yourself.\There's no guarantee you'll make it back alive, even for somebody like you.\You'll have to give up on Mao. response:	He'd say the same thing if he was in my shoes.
context: Yin, what did Amber talk about the other day?\About you, Hei.\About your past and your future.\Hey, wait!\Don't tell me you're going there by yourself.\There's no guarantee you'll make it back alive, even for somebody like you.\You'll have to give up on Mao.\He'd say the same thing if he was in my shoes. response:	Amber's after me.
context: About you, Hei.\About your past and your future.\Hey, wait!\Don't tell me you're going there by yourself.\There's no guarantee you'll make it back alive, even for somebody like you.\You'll have to give up on Mao.\He'd say the same thing if he was in my shoes.\Amber's after me. response:	I don't want to drag anyone else into this.
context: About your past and your future.\Hey, wait!\Don't tell me you're going there by yourself.\There's no guarantee you'll make it back alive, even for somebody like you.\You'll have to give up on Mao.\He'd say the same thing if he was in my shoes.\Amber's after me.\I don't want to drag anyone else into this. response:	Aren't you going to look for him?
context: Hey, wait!\Don't tell me you're going there by yourself.\There's no guarantee you'll make it back alive, even for somebody like you.\You'll have to give up on Mao.\He'd say the same thing if he was in my shoes.\Amber's after me.\I don't want to drag anyone else into this.\Aren't you going to look for him? response:	Would you like one?
context: Don't tell me you're going there by yourself.\There's no guarantee you'll make it back alive, even for somebody like you.\You'll have to give up on Mao.\He'd say the same thing if he was in my shoes.\Amber's after me.\I don't want to drag anyone else into this.\Aren't you going to look for him?\Would you like one? response:	There's no point in worrying about him.
context: There's no guarantee you'll make it back alive, even for somebody like you.\You'll have to give up on Mao.\He'd say the same thing if he was in my shoes.\Amber's after me.\I don't want to drag anyone else into this.\Aren't you going to look for him?\Would you like one?\There's no point in worrying about him. response:	There's no way that man would leave a trail.
context: You'll have to give up on Mao.\He'd say the same thing if he was in my shoes.\Amber's after me.\I don't want to drag anyone else into this.\Aren't you going to look for him?\Would you like one?\There's no point in worrying about him.\There's no way that man would leave a trail. response:	By the way, why are you cooperating with us?
context: He'd say the same thing if he was in my shoes.\Amber's after me.\I don't want to drag anyone else into this.\Aren't you going to look for him?\Would you like one?\There's no point in worrying about him.\There's no way that man would leave a trail.\By the way, why are you cooperating with us? response:	Orders from above, or is it...
context: Amber's after me.\I don't want to drag anyone else into this.\Aren't you going to look for him?\Would you like one?\There's no point in worrying about him.\There's no way that man would leave a trail.\By the way, why are you cooperating with us?\Orders from above, or is it... response:	I just want to know the reason.
context: I don't want to drag anyone else into this.\Aren't you going to look for him?\Would you like one?\There's no point in worrying about him.\There's no way that man would leave a trail.\By the way, why are you cooperating with us?\Orders from above, or is it...\I just want to know the reason. response:	Reason?
context: Aren't you going to look for him?\Would you like one?\There's no point in worrying about him.\There's no way that man would leave a trail.\By the way, why are you cooperating with us?\Orders from above, or is it...\I just want to know the reason.\Reason? response:	Why did he say that to me?
context: Would you like one?\There's no point in worrying about him.\There's no way that man would leave a trail.\By the way, why are you cooperating with us?\Orders from above, or is it...\I just want to know the reason.\Reason?\Why did he say that to me? response:	From here on out, the line that separates enemies from allies doesn't exist.
context: There's no point in worrying about him.\There's no way that man would leave a trail.\By the way, why are you cooperating with us?\Orders from above, or is it...\I just want to know the reason.\Reason?\Why did he say that to me?\From here on out, the line that separates enemies from allies doesn't exist. response:	You must act on your own intuition.
context: There's no way that man would leave a trail.\By the way, why are you cooperating with us?\Orders from above, or is it...\I just want to know the reason.\Reason?\Why did he say that to me?\From here on out, the line that separates enemies from allies doesn't exist.\You must act on your own intuition. response:	Dr. Schroeder already obtained the solution to the formula referenced in the plan.
