context: Presented by Soul Eater Fan Subs response:	www.souleaterfan.com
context: Hold it in your hands.\Lose it\In the fading moments.\Tears have been secretly shed.\Everything\Gets revealed here.\Everything\Gets adjusted to the ordinary time. response:	I think that's the way it should be
context: Lose it\In the fading moments.\Tears have been secretly shed.\Everything\Gets revealed here.\Everything\Gets adjusted to the ordinary time.\I think that's the way it should be response:	Following the unclear yellow light.
context: In the fading moments.\Tears have been secretly shed.\Everything\Gets revealed here.\Everything\Gets adjusted to the ordinary time.\I think that's the way it should be\Following the unclear yellow light. response:	Go through the darkest nights.
context: Tears have been secretly shed.\Everything\Gets revealed here.\Everything\Gets adjusted to the ordinary time.\I think that's the way it should be\Following the unclear yellow light.\Go through the darkest nights. response:	At that time I was too afraid.
context: Everything\Gets revealed here.\Everything\Gets adjusted to the ordinary time.\I think that's the way it should be\Following the unclear yellow light.\Go through the darkest nights.\At that time I was too afraid. response:	But now I'm sending off my life.
context: Gets revealed here.\Everything\Gets adjusted to the ordinary time.\I think that's the way it should be\Following the unclear yellow light.\Go through the darkest nights.\At that time I was too afraid.\But now I'm sending off my life. response:	You always reflect.
context: Everything\Gets adjusted to the ordinary time.\I think that's the way it should be\Following the unclear yellow light.\Go through the darkest nights.\At that time I was too afraid.\But now I'm sending off my life.\You always reflect. response:	In my proud heart.
context: Gets adjusted to the ordinary time.\I think that's the way it should be\Following the unclear yellow light.\Go through the darkest nights.\At that time I was too afraid.\But now I'm sending off my life.\You always reflect.\In my proud heart. response:	We should only protect our beliefs.
context: I think that's the way it should be\Following the unclear yellow light.\Go through the darkest nights.\At that time I was too afraid.\But now I'm sending off my life.\You always reflect.\In my proud heart.\We should only protect our beliefs. response:	Embrace them.
context: Following the unclear yellow light.\Go through the darkest nights.\At that time I was too afraid.\But now I'm sending off my life.\You always reflect.\In my proud heart.\We should only protect our beliefs.\Embrace them. response:	It starts all over everyday.
context: Go through the darkest nights.\At that time I was too afraid.\But now I'm sending off my life.\You always reflect.\In my proud heart.\We should only protect our beliefs.\Embrace them.\It starts all over everyday. response:	I'm drowning in the raging waves.
context: At that time I was too afraid.\But now I'm sending off my life.\You always reflect.\In my proud heart.\We should only protect our beliefs.\Embrace them.\It starts all over everyday.\I'm drowning in the raging waves. response:	Still haven't awaken from my dream.
context: But now I'm sending off my life.\You always reflect.\In my proud heart.\We should only protect our beliefs.\Embrace them.\It starts all over everyday.\I'm drowning in the raging waves.\Still haven't awaken from my dream. response:	We're all here.
context: You always reflect.\In my proud heart.\We should only protect our beliefs.\Embrace them.\It starts all over everyday.\I'm drowning in the raging waves.\Still haven't awaken from my dream.\We're all here. response:	I always hear.
context: In my proud heart.\We should only protect our beliefs.\Embrace them.\It starts all over everyday.\I'm drowning in the raging waves.\Still haven't awaken from my dream.\We're all here.\I always hear. response:	The voices of my fellows.
context: We should only protect our beliefs.\Embrace them.\It starts all over everyday.\I'm drowning in the raging waves.\Still haven't awaken from my dream.\We're all here.\I always hear.\The voices of my fellows. response:	I'm looking for a way to shake off the solitude.
context: Embrace them.\It starts all over everyday.\I'm drowning in the raging waves.\Still haven't awaken from my dream.\We're all here.\I always hear.\The voices of my fellows.\I'm looking for a way to shake off the solitude. response:	In the winds of waiting.
context: It starts all over everyday.\I'm drowning in the raging waves.\Still haven't awaken from my dream.\We're all here.\I always hear.\The voices of my fellows.\I'm looking for a way to shake off the solitude.\In the winds of waiting. response:	I have no other way but to move forward.
context: I'm drowning in the raging waves.\Still haven't awaken from my dream.\We're all here.\I always hear.\The voices of my fellows.\I'm looking for a way to shake off the solitude.\In the winds of waiting.\I have no other way but to move forward. response:	I believe in the way of life.
context: Still haven't awaken from my dream.\We're all here.\I always hear.\The voices of my fellows.\I'm looking for a way to shake off the solitude.\In the winds of waiting.\I have no other way but to move forward.\I believe in the way of life. response:	Yeah.
context: We're all here.\I always hear.\The voices of my fellows.\I'm looking for a way to shake off the solitude.\In the winds of waiting.\I have no other way but to move forward.\I believe in the way of life.\Yeah. response:	The heated runaway express!
context: I always hear.\The voices of my fellows.\I'm looking for a way to shake off the solitude.\In the winds of waiting.\I have no other way but to move forward.\I believe in the way of life.\Yeah.\The heated runaway express! response:	Left Behind by the Great Warlock?
context: The voices of my fellows.\I'm looking for a way to shake off the solitude.\In the winds of waiting.\I have no other way but to move forward.\I believe in the way of life.\Yeah.\The heated runaway express!\Left Behind by the Great Warlock? response:	The Demon Tool
context: I'm looking for a way to shake off the solitude.\In the winds of waiting.\I have no other way but to move forward.\I believe in the way of life.\Yeah.\The heated runaway express!\Left Behind by the Great Warlock?\The Demon Tool response:	Drying Happiness
context: In the winds of waiting.\I have no other way but to move forward.\I believe in the way of life.\Yeah.\The heated runaway express!\Left Behind by the Great Warlock?\The Demon Tool\Drying Happiness response:	To Whom do
context: I have no other way but to move forward.\I believe in the way of life.\Yeah.\The heated runaway express!\Left Behind by the Great Warlock?\The Demon Tool\Drying Happiness\To Whom do response:	you Shed Tears in the Moonlight Shine?
context: I believe in the way of life.\Yeah.\The heated runaway express!\Left Behind by the Great Warlock?\The Demon Tool\Drying Happiness\To Whom do\you Shed Tears in the Moonlight Shine? response:	Hot!
context: Yeah.\The heated runaway express!\Left Behind by the Great Warlock?\The Demon Tool\Drying Happiness\To Whom do\you Shed Tears in the Moonlight Shine?\Hot! response:	Why do we have to come to this dusty place with such strong ultra-violet rays?
context: The heated runaway express!\Left Behind by the Great Warlock?\The Demon Tool\Drying Happiness\To Whom do\you Shed Tears in the Moonlight Shine?\Hot!\Why do we have to come to this dusty place with such strong ultra-violet rays? response:	Hot!
context: Left Behind by the Great Warlock?\The Demon Tool\Drying Happiness\To Whom do\you Shed Tears in the Moonlight Shine?\Hot!\Why do we have to come to this dusty place with such strong ultra-violet rays?\Hot! response:	Father's orders.
context: The Demon Tool\Drying Happiness\To Whom do\you Shed Tears in the Moonlight Shine?\Hot!\Why do we have to come to this dusty place with such strong ultra-violet rays?\Hot!\Father's orders. response:	Stop complaining.
context: Drying Happiness\To Whom do\you Shed Tears in the Moonlight Shine?\Hot!\Why do we have to come to this dusty place with such strong ultra-violet rays?\Hot!\Father's orders.\Stop complaining. response:	You must have heard of it, right?
context: To Whom do\you Shed Tears in the Moonlight Shine?\Hot!\Why do we have to come to this dusty place with such strong ultra-violet rays?\Hot!\Father's orders.\Stop complaining.\You must have heard of it, right? response:	The Runaway Express that runs on the desert without rails.
context: you Shed Tears in the Moonlight Shine?\Hot!\Why do we have to come to this dusty place with such strong ultra-violet rays?\Hot!\Father's orders.\Stop complaining.\You must have heard of it, right?\The Runaway Express that runs on the desert without rails. response:	Hot!
context: Hot!\Why do we have to come to this dusty place with such strong ultra-violet rays?\Hot!\Father's orders.\Stop complaining.\You must have heard of it, right?\The Runaway Express that runs on the desert without rails.\Hot! response:	The famous train in the Sahara that hasn't stopped running for 100 years?
context: Why do we have to come to this dusty place with such strong ultra-violet rays?\Hot!\Father's orders.\Stop complaining.\You must have heard of it, right?\The Runaway Express that runs on the desert without rails.\Hot!\The famous train in the Sahara that hasn't stopped running for 100 years? response:	Yeah.
context: Hot!\Father's orders.\Stop complaining.\You must have heard of it, right?\The Runaway Express that runs on the desert without rails.\Hot!\The famous train in the Sahara that hasn't stopped running for 100 years?\Yeah. response:	100 years, huh?
context: Father's orders.\Stop complaining.\You must have heard of it, right?\The Runaway Express that runs on the desert without rails.\Hot!\The famous train in the Sahara that hasn't stopped running for 100 years?\Yeah.\100 years, huh? response:	How does it keep on moving?
context: Stop complaining.\You must have heard of it, right?\The Runaway Express that runs on the desert without rails.\Hot!\The famous train in the Sahara that hasn't stopped running for 100 years?\Yeah.\100 years, huh?\How does it keep on moving? response:	It seems a Demon Tool is involved.
context: You must have heard of it, right?\The Runaway Express that runs on the desert without rails.\Hot!\The famous train in the Sahara that hasn't stopped running for 100 years?\Yeah.\100 years, huh?\How does it keep on moving?\It seems a Demon Tool is involved. response:	A Demon Tool?
context: The Runaway Express that runs on the desert without rails.\Hot!\The famous train in the Sahara that hasn't stopped running for 100 years?\Yeah.\100 years, huh?\How does it keep on moving?\It seems a Demon Tool is involved.\A Demon Tool? response:	If used for evil, it has the power to cause world-wide catastrophes.
context: Hot!\The famous train in the Sahara that hasn't stopped running for 100 years?\Yeah.\100 years, huh?\How does it keep on moving?\It seems a Demon Tool is involved.\A Demon Tool?\If used for evil, it has the power to cause world-wide catastrophes. response:	This Demon Tool is apparently being targeted by Arachnophobia.
context: The famous train in the Sahara that hasn't stopped running for 100 years?\Yeah.\100 years, huh?\How does it keep on moving?\It seems a Demon Tool is involved.\A Demon Tool?\If used for evil, it has the power to cause world-wide catastrophes.\This Demon Tool is apparently being targeted by Arachnophobia. response:	Hot!
context: Yeah.\100 years, huh?\How does it keep on moving?\It seems a Demon Tool is involved.\A Demon Tool?\If used for evil, it has the power to cause world-wide catastrophes.\This Demon Tool is apparently being targeted by Arachnophobia.\Hot! response:	Hot!
context: 100 years, huh?\How does it keep on moving?\It seems a Demon Tool is involved.\A Demon Tool?\If used for evil, it has the power to cause world-wide catastrophes.\This Demon Tool is apparently being targeted by Arachnophobia.\Hot!\Hot! response:	Stopping them...
context: How does it keep on moving?\It seems a Demon Tool is involved.\A Demon Tool?\If used for evil, it has the power to cause world-wide catastrophes.\This Demon Tool is apparently being targeted by Arachnophobia.\Hot!\Hot!\Stopping them... response:	and securing the Demon Tool is our mission.
context: It seems a Demon Tool is involved.\A Demon Tool?\If used for evil, it has the power to cause world-wide catastrophes.\This Demon Tool is apparently being targeted by Arachnophobia.\Hot!\Hot!\Stopping them...\and securing the Demon Tool is our mission. response:	The Heated Runaway Express!
context: A Demon Tool?\If used for evil, it has the power to cause world-wide catastrophes.\This Demon Tool is apparently being targeted by Arachnophobia.\Hot!\Hot!\Stopping them...\and securing the Demon Tool is our mission.\The Heated Runaway Express! response:	The Demon Tool Left by the Great Warlock?
context: If used for evil, it has the power to cause world-wide catastrophes.\This Demon Tool is apparently being targeted by Arachnophobia.\Hot!\Hot!\Stopping them...\and securing the Demon Tool is our mission.\The Heated Runaway Express!\The Demon Tool Left by the Great Warlock? response:	Hot!
context: This Demon Tool is apparently being targeted by Arachnophobia.\Hot!\Hot!\Stopping them...\and securing the Demon Tool is our mission.\The Heated Runaway Express!\The Demon Tool Left by the Great Warlock?\Hot! response:	Thanks to your Shinigami skin, you don't get sunburn, right, Kid?
context: Hot!\Hot!\Stopping them...\and securing the Demon Tool is our mission.\The Heated Runaway Express!\The Demon Tool Left by the Great Warlock?\Hot!\Thanks to your Shinigami skin, you don't get sunburn, right, Kid? response:	Then, there's no need to put on a mantle, is there?
context: Hot!\Stopping them...\and securing the Demon Tool is our mission.\The Heated Runaway Express!\The Demon Tool Left by the Great Warlock?\Hot!\Thanks to your Shinigami skin, you don't get sunburn, right, Kid?\Then, there's no need to put on a mantle, is there? response:	I just feel like it.
context: Stopping them...\and securing the Demon Tool is our mission.\The Heated Runaway Express!\The Demon Tool Left by the Great Warlock?\Hot!\Thanks to your Shinigami skin, you don't get sunburn, right, Kid?\Then, there's no need to put on a mantle, is there?\I just feel like it. response:	Besides, it's because of my resistance to poison...
context: and securing the Demon Tool is our mission.\The Heated Runaway Express!\The Demon Tool Left by the Great Warlock?\Hot!\Thanks to your Shinigami skin, you don't get sunburn, right, Kid?\Then, there's no need to put on a mantle, is there?\I just feel like it.\Besides, it's because of my resistance to poison... response:	that these three stripes reappear right away even after I dye my hair, which is quite annoying.
context: The Heated Runaway Express!\The Demon Tool Left by the Great Warlock?\Hot!\Thanks to your Shinigami skin, you don't get sunburn, right, Kid?\Then, there's no need to put on a mantle, is there?\I just feel like it.\Besides, it's because of my resistance to poison...\that these three stripes reappear right away even after I dye my hair, which is quite annoying. response:	There it is.
context: The Demon Tool Left by the Great Warlock?\Hot!\Thanks to your Shinigami skin, you don't get sunburn, right, Kid?\Then, there's no need to put on a mantle, is there?\I just feel like it.\Besides, it's because of my resistance to poison...\that these three stripes reappear right away even after I dye my hair, which is quite annoying.\There it is. response:	A train station in the middle of the desert?
context: Hot!\Thanks to your Shinigami skin, you don't get sunburn, right, Kid?\Then, there's no need to put on a mantle, is there?\I just feel like it.\Besides, it's because of my resistance to poison...\that these three stripes reappear right away even after I dye my hair, which is quite annoying.\There it is.\A train station in the middle of the desert? response:	Now, let's hurry!
context: Thanks to your Shinigami skin, you don't get sunburn, right, Kid?\Then, there's no need to put on a mantle, is there?\I just feel like it.\Besides, it's because of my resistance to poison...\that these three stripes reappear right away even after I dye my hair, which is quite annoying.\There it is.\A train station in the middle of the desert?\Now, let's hurry! response:	It's almost time for its arrival.
context: Then, there's no need to put on a mantle, is there?\I just feel like it.\Besides, it's because of my resistance to poison...\that these three stripes reappear right away even after I dye my hair, which is quite annoying.\There it is.\A train station in the middle of the desert?\Now, let's hurry!\It's almost time for its arrival. response:	Your spirits are oddly high.
context: I just feel like it.\Besides, it's because of my resistance to poison...\that these three stripes reappear right away even after I dye my hair, which is quite annoying.\There it is.\A train station in the middle of the desert?\Now, let's hurry!\It's almost time for its arrival.\Your spirits are oddly high. response:	How come?
context: Besides, it's because of my resistance to poison...\that these three stripes reappear right away even after I dye my hair, which is quite annoying.\There it is.\A train station in the middle of the desert?\Now, let's hurry!\It's almost time for its arrival.\Your spirits are oddly high.\How come? response:	For over 100 years, it's been running on its assigned route, with perfect timing,
context: that these three stripes reappear right away even after I dye my hair, which is quite annoying.\There it is.\A train station in the middle of the desert?\Now, let's hurry!\It's almost time for its arrival.\Your spirits are oddly high.\How come?\For over 100 years, it's been running on its assigned route, with perfect timing, response:	as if it were always precisely following its timetable!
context: There it is.\A train station in the middle of the desert?\Now, let's hurry!\It's almost time for its arrival.\Your spirits are oddly high.\How come?\For over 100 years, it's been running on its assigned route, with perfect timing,\as if it were always precisely following its timetable! response:	Wanting to see it once is a given!
context: A train station in the middle of the desert?\Now, let's hurry!\It's almost time for its arrival.\Your spirits are oddly high.\How come?\For over 100 years, it's been running on its assigned route, with perfect timing,\as if it were always precisely following its timetable!\Wanting to see it once is a given! response:	That's it?
context: Now, let's hurry!\It's almost time for its arrival.\Your spirits are oddly high.\How come?\For over 100 years, it's been running on its assigned route, with perfect timing,\as if it were always precisely following its timetable!\Wanting to see it once is a given!\That's it? response:	Someone's already here?
context: It's almost time for its arrival.\Your spirits are oddly high.\How come?\For over 100 years, it's been running on its assigned route, with perfect timing,\as if it were always precisely following its timetable!\Wanting to see it once is a given!\That's it?\Someone's already here? response:	Seems to be a child.
context: Your spirits are oddly high.\How come?\For over 100 years, it's been running on its assigned route, with perfect timing,\as if it were always precisely following its timetable!\Wanting to see it once is a given!\That's it?\Someone's already here?\Seems to be a child. response:	Well, this is a sightseeing spot after all.
context: How come?\For over 100 years, it's been running on its assigned route, with perfect timing,\as if it were always precisely following its timetable!\Wanting to see it once is a given!\That's it?\Someone's already here?\Seems to be a child.\Well, this is a sightseeing spot after all. response:	Good afternoon.
context: For over 100 years, it's been running on its assigned route, with perfect timing,\as if it were always precisely following its timetable!\Wanting to see it once is a given!\That's it?\Someone's already here?\Seems to be a child.\Well, this is a sightseeing spot after all.\Good afternoon. response:	My, my, it sure is hot, isn't it?
context: as if it were always precisely following its timetable!\Wanting to see it once is a given!\That's it?\Someone's already here?\Seems to be a child.\Well, this is a sightseeing spot after all.\Good afternoon.\My, my, it sure is hot, isn't it? response:	Hey!
context: Wanting to see it once is a given!\That's it?\Someone's already here?\Seems to be a child.\Well, this is a sightseeing spot after all.\Good afternoon.\My, my, it sure is hot, isn't it?\Hey! response:	Yo...
context: That's it?\Someone's already here?\Seems to be a child.\Well, this is a sightseeing spot after all.\Good afternoon.\My, my, it sure is hot, isn't it?\Hey!\Yo... response:	Hey, chibi! At least give us a proper greeting! Didn't your sister teach you anything?
context: Someone's already here?\Seems to be a child.\Well, this is a sightseeing spot after all.\Good afternoon.\My, my, it sure is hot, isn't it?\Hey!\Yo...\Hey, chibi! At least give us a proper greeting! Didn't your sister teach you anything? response:	Would you cut it out?
context: Seems to be a child.\Well, this is a sightseeing spot after all.\Good afternoon.\My, my, it sure is hot, isn't it?\Hey!\Yo...\Hey, chibi! At least give us a proper greeting! Didn't your sister teach you anything?\Would you cut it out? response:	Did you just click your tongue? Are you looking down on me?
context: Well, this is a sightseeing spot after all.\Good afternoon.\My, my, it sure is hot, isn't it?\Hey!\Yo...\Hey, chibi! At least give us a proper greeting! Didn't your sister teach you anything?\Would you cut it out?\Did you just click your tongue? Are you looking down on me? response:	I'll turn you into minced meat!
context: Good afternoon.\My, my, it sure is hot, isn't it?\Hey!\Yo...\Hey, chibi! At least give us a proper greeting! Didn't your sister teach you anything?\Would you cut it out?\Did you just click your tongue? Are you looking down on me?\I'll turn you into minced meat! response:	Well, well... There are a lot of sand pits here, so play with your sis, okay?
context: My, my, it sure is hot, isn't it?\Hey!\Yo...\Hey, chibi! At least give us a proper greeting! Didn't your sister teach you anything?\Would you cut it out?\Did you just click your tongue? Are you looking down on me?\I'll turn you into minced meat!\Well, well... There are a lot of sand pits here, so play with your sis, okay? response:	According to the timetable, it should be about time it arrived.
context: Hey!\Yo...\Hey, chibi! At least give us a proper greeting! Didn't your sister teach you anything?\Would you cut it out?\Did you just click your tongue? Are you looking down on me?\I'll turn you into minced meat!\Well, well... There are a lot of sand pits here, so play with your sis, okay?\According to the timetable, it should be about time it arrived. response:	I'm looking forward to the Runaway Express.
context: Yo...\Hey, chibi! At least give us a proper greeting! Didn't your sister teach you anything?\Would you cut it out?\Did you just click your tongue? Are you looking down on me?\I'll turn you into minced meat!\Well, well... There are a lot of sand pits here, so play with your sis, okay?\According to the timetable, it should be about time it arrived.\I'm looking forward to the Runaway Express. response:	Done!
context: Hey, chibi! At least give us a proper greeting! Didn't your sister teach you anything?\Would you cut it out?\Did you just click your tongue? Are you looking down on me?\I'll turn you into minced meat!\Well, well... There are a lot of sand pits here, so play with your sis, okay?\According to the timetable, it should be about time it arrived.\I'm looking forward to the Runaway Express.\Done! response:	Alright! Good girl, good girl.
context: Would you cut it out?\Did you just click your tongue? Are you looking down on me?\I'll turn you into minced meat!\Well, well... There are a lot of sand pits here, so play with your sis, okay?\According to the timetable, it should be about time it arrived.\I'm looking forward to the Runaway Express.\Done!\Alright! Good girl, good girl. response:	That little kid is a bit suspicious...
context: Did you just click your tongue? Are you looking down on me?\I'll turn you into minced meat!\Well, well... There are a lot of sand pits here, so play with your sis, okay?\According to the timetable, it should be about time it arrived.\I'm looking forward to the Runaway Express.\Done!\Alright! Good girl, good girl.\That little kid is a bit suspicious... response:	What's going on? If this keeps up, it'll be late.
context: I'll turn you into minced meat!\Well, well... There are a lot of sand pits here, so play with your sis, okay?\According to the timetable, it should be about time it arrived.\I'm looking forward to the Runaway Express.\Done!\Alright! Good girl, good girl.\That little kid is a bit suspicious...\What's going on? If this keeps up, it'll be late. response:	What's going on? If this keeps up, it'll be late.
context: Well, well... There are a lot of sand pits here, so play with your sis, okay?\According to the timetable, it should be about time it arrived.\I'm looking forward to the Runaway Express.\Done!\Alright! Good girl, good girl.\That little kid is a bit suspicious...\What's going on? If this keeps up, it'll be late.\What's going on? If this keeps up, it'll be late. response:	The train always arriving precisely on time was a false rumor, huh?
context: According to the timetable, it should be about time it arrived.\I'm looking forward to the Runaway Express.\Done!\Alright! Good girl, good girl.\That little kid is a bit suspicious...\What's going on? If this keeps up, it'll be late.\What's going on? If this keeps up, it'll be late.\The train always arriving precisely on time was a false rumor, huh? response:	What a let-down...
context: I'm looking forward to the Runaway Express.\Done!\Alright! Good girl, good girl.\That little kid is a bit suspicious...\What's going on? If this keeps up, it'll be late.\What's going on? If this keeps up, it'll be late.\The train always arriving precisely on time was a false rumor, huh?\What a let-down... response:	Oh, it fell down.
context: Done!\Alright! Good girl, good girl.\That little kid is a bit suspicious...\What's going on? If this keeps up, it'll be late.\What's going on? If this keeps up, it'll be late.\The train always arriving precisely on time was a false rumor, huh?\What a let-down...\Oh, it fell down. response:	Awesome!
context: Alright! Good girl, good girl.\That little kid is a bit suspicious...\What's going on? If this keeps up, it'll be late.\What's going on? If this keeps up, it'll be late.\The train always arriving precisely on time was a false rumor, huh?\What a let-down...\Oh, it fell down.\Awesome! response:	You're too late, Shinigami's errand boy.
context: That little kid is a bit suspicious...\What's going on? If this keeps up, it'll be late.\What's going on? If this keeps up, it'll be late.\The train always arriving precisely on time was a false rumor, huh?\What a let-down...\Oh, it fell down.\Awesome!\You're too late, Shinigami's errand boy. response:	I, the Fisher King, have already made the big catch.
context: What's going on? If this keeps up, it'll be late.\What's going on? If this keeps up, it'll be late.\The train always arriving precisely on time was a false rumor, huh?\What a let-down...\Oh, it fell down.\Awesome!\You're too late, Shinigami's errand boy.\I, the Fisher King, have already made the big catch. response:	The Demon Tool belongs to Arachne-sama!
