context: Miuna. You're going to catch a cold, so let's... response:	I've got sand in my mouth, damn it.
context: Hey, Hikari.\Maybe you shouldn't\You're not wrong at all, Akari!\Even I understand that, so why can't the adults...\I'm not going to give up!\Not on dad, not on the Ofunehiki...\And not on you, Akari.\Hikari... response:	Akari! Hikari-kun!
context: Maybe you shouldn't\You're not wrong at all, Akari!\Even I understand that, so why can't the adults...\I'm not going to give up!\Not on dad, not on the Ofunehiki...\And not on you, Akari.\Hikari...\Akari! Hikari-kun! response:	Itaru-san!
context: You're not wrong at all, Akari!\Even I understand that, so why can't the adults...\I'm not going to give up!\Not on dad, not on the Ofunehiki...\And not on you, Akari.\Hikari...\Akari! Hikari-kun!\Itaru-san! response:	Miuna-chan...
context: Even I understand that, so why can't the adults...\I'm not going to give up!\Not on dad, not on the Ofunehiki...\And not on you, Akari.\Hikari...\Akari! Hikari-kun!\Itaru-san!\Miuna-chan... response:	Episode Eight: Beyond the Wavering Feelings
context: I'm not going to give up!\Not on dad, not on the Ofunehiki...\And not on you, Akari.\Hikari...\Akari! Hikari-kun!\Itaru-san!\Miuna-chan...\Episode Eight: Beyond the Wavering Feelings response:	Thank you for the food.
context: Not on dad, not on the Ofunehiki...\And not on you, Akari.\Hikari...\Akari! Hikari-kun!\Itaru-san!\Miuna-chan...\Episode Eight: Beyond the Wavering Feelings\Thank you for the food. response:	Hikari-kun, this is really good!
context: And not on you, Akari.\Hikari...\Akari! Hikari-kun!\Itaru-san!\Miuna-chan...\Episode Eight: Beyond the Wavering Feelings\Thank you for the food.\Hikari-kun, this is really good! response:	I just fried them up.
context: Hikari...\Akari! Hikari-kun!\Itaru-san!\Miuna-chan...\Episode Eight: Beyond the Wavering Feelings\Thank you for the food.\Hikari-kun, this is really good!\I just fried them up. response:	Oh...
context: Akari! Hikari-kun!\Itaru-san!\Miuna-chan...\Episode Eight: Beyond the Wavering Feelings\Thank you for the food.\Hikari-kun, this is really good!\I just fried them up.\Oh... response:	But this octopus looks really cool.
context: Itaru-san!\Miuna-chan...\Episode Eight: Beyond the Wavering Feelings\Thank you for the food.\Hikari-kun, this is really good!\I just fried them up.\Oh...\But this octopus looks really cool. response:	It's only got four arms.
context: Miuna-chan...\Episode Eight: Beyond the Wavering Feelings\Thank you for the food.\Hikari-kun, this is really good!\I just fried them up.\Oh...\But this octopus looks really cool.\It's only got four arms. response:	It should have eight.
context: Episode Eight: Beyond the Wavering Feelings\Thank you for the food.\Hikari-kun, this is really good!\I just fried them up.\Oh...\But this octopus looks really cool.\It's only got four arms.\It should have eight. response:	It's because you're eating too fast.
context: Thank you for the food.\Hikari-kun, this is really good!\I just fried them up.\Oh...\But this octopus looks really cool.\It's only got four arms.\It should have eight.\It's because you're eating too fast. response:	Are you okay?
context: Hikari-kun, this is really good!\I just fried them up.\Oh...\But this octopus looks really cool.\It's only got four arms.\It should have eight.\It's because you're eating too fast.\Are you okay? response:	S-Sorry...
context: I just fried them up.\Oh...\But this octopus looks really cool.\It's only got four arms.\It should have eight.\It's because you're eating too fast.\Are you okay?\S-Sorry... response:	No! Not that one!
context: Oh...\But this octopus looks really cool.\It's only got four arms.\It should have eight.\It's because you're eating too fast.\Are you okay?\S-Sorry...\No! Not that one! response:	Huh?
context: But this octopus looks really cool.\It's only got four arms.\It should have eight.\It's because you're eating too fast.\Are you okay?\S-Sorry...\No! Not that one!\Huh? response:	Don't use that one.
context: It's only got four arms.\It should have eight.\It's because you're eating too fast.\Are you okay?\S-Sorry...\No! Not that one!\Huh?\Don't use that one. response:	This one is Itaru-san's.
context: It should have eight.\It's because you're eating too fast.\Are you okay?\S-Sorry...\No! Not that one!\Huh?\Don't use that one.\This one is Itaru-san's. response:	And for you...
context: It's because you're eating too fast.\Are you okay?\S-Sorry...\No! Not that one!\Huh?\Don't use that one.\This one is Itaru-san's.\And for you... response:	I wonder if there's any more spares.
context: Are you okay?\S-Sorry...\No! Not that one!\Huh?\Don't use that one.\This one is Itaru-san's.\And for you...\I wonder if there's any more spares. response:	Hold on one second.
context: S-Sorry...\No! Not that one!\Huh?\Don't use that one.\This one is Itaru-san's.\And for you...\I wonder if there's any more spares.\Hold on one second. response:	Hot!
context: No! Not that one!\Huh?\Don't use that one.\This one is Itaru-san's.\And for you...\I wonder if there's any more spares.\Hold on one second.\Hot! response:	I know!
context: Huh?\Don't use that one.\This one is Itaru-san's.\And for you...\I wonder if there's any more spares.\Hold on one second.\Hot!\I know! response:	We need to go shopping for a few things now.
context: Don't use that one.\This one is Itaru-san's.\And for you...\I wonder if there's any more spares.\Hold on one second.\Hot!\I know!\We need to go shopping for a few things now. response:	We have only two futons right now...
context: This one is Itaru-san's.\And for you...\I wonder if there's any more spares.\Hold on one second.\Hot!\I know!\We need to go shopping for a few things now.\We have only two futons right now... response:	Oh, I'll be staying at a friend's house.
context: And for you...\I wonder if there's any more spares.\Hold on one second.\Hot!\I know!\We need to go shopping for a few things now.\We have only two futons right now...\Oh, I'll be staying at a friend's house. response:	Huh?
context: I wonder if there's any more spares.\Hold on one second.\Hot!\I know!\We need to go shopping for a few things now.\We have only two futons right now...\Oh, I'll be staying at a friend's house.\Huh? response:	I don't want to impose.
context: Hold on one second.\Hot!\I know!\We need to go shopping for a few things now.\We have only two futons right now...\Oh, I'll be staying at a friend's house.\Huh?\I don't want to impose. response:	I think if I go to Tsumugu's place now, it'll be...
context: Hot!\I know!\We need to go shopping for a few things now.\We have only two futons right now...\Oh, I'll be staying at a friend's house.\Huh?\I don't want to impose.\I think if I go to Tsumugu's place now, it'll be... response:	Hikari!
context: I know!\We need to go shopping for a few things now.\We have only two futons right now...\Oh, I'll be staying at a friend's house.\Huh?\I don't want to impose.\I think if I go to Tsumugu's place now, it'll be...\Hikari! response:	All right, the guys will sleep together and the girls will sleep together tonight.
context: We need to go shopping for a few things now.\We have only two futons right now...\Oh, I'll be staying at a friend's house.\Huh?\I don't want to impose.\I think if I go to Tsumugu's place now, it'll be...\Hikari!\All right, the guys will sleep together and the girls will sleep together tonight. response:	Huh?
context: We have only two futons right now...\Oh, I'll be staying at a friend's house.\Huh?\I don't want to impose.\I think if I go to Tsumugu's place now, it'll be...\Hikari!\All right, the guys will sleep together and the girls will sleep together tonight.\Huh? response:	I see...
context: Oh, I'll be staying at a friend's house.\Huh?\I don't want to impose.\I think if I go to Tsumugu's place now, it'll be...\Hikari!\All right, the guys will sleep together and the girls will sleep together tonight.\Huh?\I see... response:	My father is the chief priest,
context: Huh?\I don't want to impose.\I think if I go to Tsumugu's place now, it'll be...\Hikari!\All right, the guys will sleep together and the girls will sleep together tonight.\Huh?\I see...\My father is the chief priest, response:	so considering he has the village's future to think about, I don't blame him.
context: I don't want to impose.\I think if I go to Tsumugu's place now, it'll be...\Hikari!\All right, the guys will sleep together and the girls will sleep together tonight.\Huh?\I see...\My father is the chief priest,\so considering he has the village's future to think about, I don't blame him. response:	But...
context: I think if I go to Tsumugu's place now, it'll be...\Hikari!\All right, the guys will sleep together and the girls will sleep together tonight.\Huh?\I see...\My father is the chief priest,\so considering he has the village's future to think about, I don't blame him.\But... response:	I think I really should go to the sea with you, and...
context: Hikari!\All right, the guys will sleep together and the girls will sleep together tonight.\Huh?\I see...\My father is the chief priest,\so considering he has the village's future to think about, I don't blame him.\But...\I think I really should go to the sea with you, and... response:	Even if it's something everyone disapproves of.
context: All right, the guys will sleep together and the girls will sleep together tonight.\Huh?\I see...\My father is the chief priest,\so considering he has the village's future to think about, I don't blame him.\But...\I think I really should go to the sea with you, and...\Even if it's something everyone disapproves of. response:	If we can all eat hot meals together,
context: Huh?\I see...\My father is the chief priest,\so considering he has the village's future to think about, I don't blame him.\But...\I think I really should go to the sea with you, and...\Even if it's something everyone disapproves of.\If we can all eat hot meals together, response:	tell each other about our days,
context: I see...\My father is the chief priest,\so considering he has the village's future to think about, I don't blame him.\But...\I think I really should go to the sea with you, and...\Even if it's something everyone disapproves of.\If we can all eat hot meals together,\tell each other about our days, response:	and be together...
context: My father is the chief priest,\so considering he has the village's future to think about, I don't blame him.\But...\I think I really should go to the sea with you, and...\Even if it's something everyone disapproves of.\If we can all eat hot meals together,\tell each other about our days,\and be together... response:	That's all I need.
context: so considering he has the village's future to think about, I don't blame him.\But...\I think I really should go to the sea with you, and...\Even if it's something everyone disapproves of.\If we can all eat hot meals together,\tell each other about our days,\and be together...\That's all I need. response:	Akari...
context: But...\I think I really should go to the sea with you, and...\Even if it's something everyone disapproves of.\If we can all eat hot meals together,\tell each other about our days,\and be together...\That's all I need.\Akari... response:	Miori would sometimes look at the sea, too.
context: I think I really should go to the sea with you, and...\Even if it's something everyone disapproves of.\If we can all eat hot meals together,\tell each other about our days,\and be together...\That's all I need.\Akari...\Miori would sometimes look at the sea, too. response:	I don't want you to go through the same thing.
context: Even if it's something everyone disapproves of.\If we can all eat hot meals together,\tell each other about our days,\and be together...\That's all I need.\Akari...\Miori would sometimes look at the sea, too.\I don't want you to go through the same thing. response:	Let's have them forgive us, and get their blessing...
context: If we can all eat hot meals together,\tell each other about our days,\and be together...\That's all I need.\Akari...\Miori would sometimes look at the sea, too.\I don't want you to go through the same thing.\Let's have them forgive us, and get their blessing... response:	And get married properly.
context: tell each other about our days,\and be together...\That's all I need.\Akari...\Miori would sometimes look at the sea, too.\I don't want you to go through the same thing.\Let's have them forgive us, and get their blessing...\And get married properly. response:	So warm...
context: and be together...\That's all I need.\Akari...\Miori would sometimes look at the sea, too.\I don't want you to go through the same thing.\Let's have them forgive us, and get their blessing...\And get married properly.\So warm... response:	I really am happy right now.
context: That's all I need.\Akari...\Miori would sometimes look at the sea, too.\I don't want you to go through the same thing.\Let's have them forgive us, and get their blessing...\And get married properly.\So warm...\I really am happy right now. response:	I'm really happy.
context: Akari...\Miori would sometimes look at the sea, too.\I don't want you to go through the same thing.\Let's have them forgive us, and get their blessing...\And get married properly.\So warm...\I really am happy right now.\I'm really happy. response:	Damn it!
context: Miori would sometimes look at the sea, too.\I don't want you to go through the same thing.\Let's have them forgive us, and get their blessing...\And get married properly.\So warm...\I really am happy right now.\I'm really happy.\Damn it! response:	What's so wrong with the two of them being together?
context: I don't want you to go through the same thing.\Let's have them forgive us, and get their blessing...\And get married properly.\So warm...\I really am happy right now.\I'm really happy.\Damn it!\What's so wrong with the two of them being together? response:	Are you having trouble with your Ena?
context: Let's have them forgive us, and get their blessing...\And get married properly.\So warm...\I really am happy right now.\I'm really happy.\Damn it!\What's so wrong with the two of them being together?\Are you having trouble with your Ena? response:	The hell?! Don't surprise me like that.
context: And get married properly.\So warm...\I really am happy right now.\I'm really happy.\Damn it!\What's so wrong with the two of them being together?\Are you having trouble with your Ena?\The hell?! Don't surprise me like that. response:	Oh, this is just in case...
context: So warm...\I really am happy right now.\I'm really happy.\Damn it!\What's so wrong with the two of them being together?\Are you having trouble with your Ena?\The hell?! Don't surprise me like that.\Oh, this is just in case... response:	I mean, I don't want to dry up while I'm asleep.
context: I really am happy right now.\I'm really happy.\Damn it!\What's so wrong with the two of them being together?\Are you having trouble with your Ena?\The hell?! Don't surprise me like that.\Oh, this is just in case...\I mean, I don't want to dry up while I'm asleep. response:	Mommy... used to do that a lot, too.
context: I'm really happy.\Damn it!\What's so wrong with the two of them being together?\Are you having trouble with your Ena?\The hell?! Don't surprise me like that.\Oh, this is just in case...\I mean, I don't want to dry up while I'm asleep.\Mommy... used to do that a lot, too. response:	What's wrong? You can't sleep?
context: Damn it!\What's so wrong with the two of them being together?\Are you having trouble with your Ena?\The hell?! Don't surprise me like that.\Oh, this is just in case...\I mean, I don't want to dry up while I'm asleep.\Mommy... used to do that a lot, too.\What's wrong? You can't sleep? response:	Aka-chan... said they disapproved...
context: What's so wrong with the two of them being together?\Are you having trouble with your Ena?\The hell?! Don't surprise me like that.\Oh, this is just in case...\I mean, I don't want to dry up while I'm asleep.\Mommy... used to do that a lot, too.\What's wrong? You can't sleep?\Aka-chan... said they disapproved... response:	You were listening?
context: Are you having trouble with your Ena?\The hell?! Don't surprise me like that.\Oh, this is just in case...\I mean, I don't want to dry up while I'm asleep.\Mommy... used to do that a lot, too.\What's wrong? You can't sleep?\Aka-chan... said they disapproved...\You were listening? response:	I also... disapproved for so long.
context: The hell?! Don't surprise me like that.\Oh, this is just in case...\I mean, I don't want to dry up while I'm asleep.\Mommy... used to do that a lot, too.\What's wrong? You can't sleep?\Aka-chan... said they disapproved...\You were listening?\I also... disapproved for so long. response:	Go A
context: Oh, this is just in case...\I mean, I don't want to dry up while I'm asleep.\Mommy... used to do that a lot, too.\What's wrong? You can't sleep?\Aka-chan... said they disapproved...\You were listening?\I also... disapproved for so long.\Go A response:	But...
context: I mean, I don't want to dry up while I'm asleep.\Mommy... used to do that a lot, too.\What's wrong? You can't sleep?\Aka-chan... said they disapproved...\You were listening?\I also... disapproved for so long.\Go A\But... response:	That's not how I feel now.
context: Mommy... used to do that a lot, too.\What's wrong? You can't sleep?\Aka-chan... said they disapproved...\You were listening?\I also... disapproved for so long.\Go A\But...\That's not how I feel now. response:	It's not, but...
context: What's wrong? You can't sleep?\Aka-chan... said they disapproved...\You were listening?\I also... disapproved for so long.\Go A\But...\That's not how I feel now.\It's not, but... response:	I couldn't do it again today.
context: Aka-chan... said they disapproved...\You were listening?\I also... disapproved for so long.\Go A\But...\That's not how I feel now.\It's not, but...\I couldn't do it again today. response:	It's embarrassing saying it to someone's face, huh?
context: You were listening?\I also... disapproved for so long.\Go A\But...\That's not how I feel now.\It's not, but...\I couldn't do it again today.\It's embarrassing saying it to someone's face, huh? response:	Maybe there's something else you could do.
context: I also... disapproved for so long.\Go A\But...\That's not how I feel now.\It's not, but...\I couldn't do it again today.\It's embarrassing saying it to someone's face, huh?\Maybe there's something else you could do. response:	Something other than words.
context: Go A\But...\That's not how I feel now.\It's not, but...\I couldn't do it again today.\It's embarrassing saying it to someone's face, huh?\Maybe there's something else you could do.\Something other than words. response:	A present?
context: But...\That's not how I feel now.\It's not, but...\I couldn't do it again today.\It's embarrassing saying it to someone's face, huh?\Maybe there's something else you could do.\Something other than words.\A present? response:	Hey, good idea.
context: That's not how I feel now.\It's not, but...\I couldn't do it again today.\It's embarrassing saying it to someone's face, huh?\Maybe there's something else you could do.\Something other than words.\A present?\Hey, good idea. response:	I don't have school tomorrow,
context: It's not, but...\I couldn't do it again today.\It's embarrassing saying it to someone's face, huh?\Maybe there's something else you could do.\Something other than words.\A present?\Hey, good idea.\I don't have school tomorrow, response:	so why don't we go to the city and look for something?
context: I couldn't do it again today.\It's embarrassing saying it to someone's face, huh?\Maybe there's something else you could do.\Something other than words.\A present?\Hey, good idea.\I don't have school tomorrow,\so why don't we go to the city and look for something? response:	Huh?
context: It's embarrassing saying it to someone's face, huh?\Maybe there's something else you could do.\Something other than words.\A present?\Hey, good idea.\I don't have school tomorrow,\so why don't we go to the city and look for something?\Huh? response:	We can have Manaka and the others help, too.
context: Maybe there's something else you could do.\Something other than words.\A present?\Hey, good idea.\I don't have school tomorrow,\so why don't we go to the city and look for something?\Huh?\We can have Manaka and the others help, too. response:	It's settled, then.
context: Something other than words.\A present?\Hey, good idea.\I don't have school tomorrow,\so why don't we go to the city and look for something?\Huh?\We can have Manaka and the others help, too.\It's settled, then. response:	Miuna?
context: A present?\Hey, good idea.\I don't have school tomorrow,\so why don't we go to the city and look for something?\Huh?\We can have Manaka and the others help, too.\It's settled, then.\Miuna? response:	Huh? Where'd she go?
context: Hey, good idea.\I don't have school tomorrow,\so why don't we go to the city and look for something?\Huh?\We can have Manaka and the others help, too.\It's settled, then.\Miuna?\Huh? Where'd she go? response:	Oh, Miuna went outside
context: I don't have school tomorrow,\so why don't we go to the city and look for something?\Huh?\We can have Manaka and the others help, too.\It's settled, then.\Miuna?\Huh? Where'd she go?\Oh, Miuna went outside response:	I'm back.
context: so why don't we go to the city and look for something?\Huh?\We can have Manaka and the others help, too.\It's settled, then.\Miuna?\Huh? Where'd she go?\Oh, Miuna went outside\I'm back. response:	Where were you?
context: Huh?\We can have Manaka and the others help, too.\It's settled, then.\Miuna?\Huh? Where'd she go?\Oh, Miuna went outside\I'm back.\Where were you? response:	Let's go.
context: We can have Manaka and the others help, too.\It's settled, then.\Miuna?\Huh? Where'd she go?\Oh, Miuna went outside\I'm back.\Where were you?\Let's go. response:	What are you carrying?
context: It's settled, then.\Miuna?\Huh? Where'd she go?\Oh, Miuna went outside\I'm back.\Where were you?\Let's go.\What are you carrying? response:	Did your leg shrink?
context: Miuna?\Huh? Where'd she go?\Oh, Miuna went outside\I'm back.\Where were you?\Let's go.\What are you carrying?\Did your leg shrink? response:	Of course not!
context: Huh? Where'd she go?\Oh, Miuna went outside\I'm back.\Where were you?\Let's go.\What are you carrying?\Did your leg shrink?\Of course not! response:	B-Bathroom!
context: Oh, Miuna went outside\I'm back.\Where were you?\Let's go.\What are you carrying?\Did your leg shrink?\Of course not!\B-Bathroom! response:	So my clothes are a bit big after all.
context: I'm back.\Where were you?\Let's go.\What are you carrying?\Did your leg shrink?\Of course not!\B-Bathroom!\So my clothes are a bit big after all. response:	Hurry up!
context: Where were you?\Let's go.\What are you carrying?\Did your leg shrink?\Of course not!\B-Bathroom!\So my clothes are a bit big after all.\Hurry up! response:	I didn't know you guys got along so well.
context: Let's go.\What are you carrying?\Did your leg shrink?\Of course not!\B-Bathroom!\So my clothes are a bit big after all.\Hurry up!\I didn't know you guys got along so well. response:	N-Not really.
context: What are you carrying?\Did your leg shrink?\Of course not!\B-Bathroom!\So my clothes are a bit big after all.\Hurry up!\I didn't know you guys got along so well.\N-Not really. response:	It's just normal.
context: Did your leg shrink?\Of course not!\B-Bathroom!\So my clothes are a bit big after all.\Hurry up!\I didn't know you guys got along so well.\N-Not really.\It's just normal. response:	Huh.
context: Of course not!\B-Bathroom!\So my clothes are a bit big after all.\Hurry up!\I didn't know you guys got along so well.\N-Not really.\It's just normal.\Huh. response:	So is that what they mean by boyfriend shirt?
context: B-Bathroom!\So my clothes are a bit big after all.\Hurry up!\I didn't know you guys got along so well.\N-Not really.\It's just normal.\Huh.\So is that what they mean by boyfriend shirt? response:	Sh-Shut up!
context: So my clothes are a bit big after all.\Hurry up!\I didn't know you guys got along so well.\N-Not really.\It's just normal.\Huh.\So is that what they mean by boyfriend shirt?\Sh-Shut up! response:	What are you all dressed up for anyway?
context: Hurry up!\I didn't know you guys got along so well.\N-Not really.\It's just normal.\Huh.\So is that what they mean by boyfriend shirt?\Sh-Shut up!\What are you all dressed up for anyway? response:	Well, you said the city, so...
context: I didn't know you guys got along so well.\N-Not really.\It's just normal.\Huh.\So is that what they mean by boyfriend shirt?\Sh-Shut up!\What are you all dressed up for anyway?\Well, you said the city, so... response:	D-Does it look weird?
context: N-Not really.\It's just normal.\Huh.\So is that what they mean by boyfriend shirt?\Sh-Shut up!\What are you all dressed up for anyway?\Well, you said the city, so...\D-Does it look weird? response:	Wh
context: It's just normal.\Huh.\So is that what they mean by boyfriend shirt?\Sh-Shut up!\What are you all dressed up for anyway?\Well, you said the city, so...\D-Does it look weird?\Wh response:	Anyway, we're not going to go play.
context: Huh.\So is that what they mean by boyfriend shirt?\Sh-Shut up!\What are you all dressed up for anyway?\Well, you said the city, so...\D-Does it look weird?\Wh\Anyway, we're not going to go play. response:	Right. Thanks for having us, Miuna-chan.
context: So is that what they mean by boyfriend shirt?\Sh-Shut up!\What are you all dressed up for anyway?\Well, you said the city, so...\D-Does it look weird?\Wh\Anyway, we're not going to go play.\Right. Thanks for having us, Miuna-chan. response:	I'll do my best!
context: Sh-Shut up!\What are you all dressed up for anyway?\Well, you said the city, so...\D-Does it look weird?\Wh\Anyway, we're not going to go play.\Right. Thanks for having us, Miuna-chan.\I'll do my best! response:	By the way, shouldn't we get going?
context: What are you all dressed up for anyway?\Well, you said the city, so...\D-Does it look weird?\Wh\Anyway, we're not going to go play.\Right. Thanks for having us, Miuna-chan.\I'll do my best!\By the way, shouldn't we get going? response:	Oshiooshi
context: Well, you said the city, so...\D-Does it look weird?\Wh\Anyway, we're not going to go play.\Right. Thanks for having us, Miuna-chan.\I'll do my best!\By the way, shouldn't we get going?\Oshiooshi response:	Huh?
context: D-Does it look weird?\Wh\Anyway, we're not going to go play.\Right. Thanks for having us, Miuna-chan.\I'll do my best!\By the way, shouldn't we get going?\Oshiooshi\Huh? response:	H-Hii-kun! The train's about to leave!
context: Wh\Anyway, we're not going to go play.\Right. Thanks for having us, Miuna-chan.\I'll do my best!\By the way, shouldn't we get going?\Oshiooshi\Huh?\H-Hii-kun! The train's about to leave! response:	I know!
context: Anyway, we're not going to go play.\Right. Thanks for having us, Miuna-chan.\I'll do my best!\By the way, shouldn't we get going?\Oshiooshi\Huh?\H-Hii-kun! The train's about to leave!\I know! response:	U-Um, how much is it...
context: Right. Thanks for having us, Miuna-chan.\I'll do my best!\By the way, shouldn't we get going?\Oshiooshi\Huh?\H-Hii-kun! The train's about to leave!\I know!\U-Um, how much is it... response:	By the way, if we miss that one, we'll be stuck here for an hour.
context: I'll do my best!\By the way, shouldn't we get going?\Oshiooshi\Huh?\H-Hii-kun! The train's about to leave!\I know!\U-Um, how much is it...\By the way, if we miss that one, we'll be stuck here for an hour. response:	Hey, help me look!
context: By the way, shouldn't we get going?\Oshiooshi\Huh?\H-Hii-kun! The train's about to leave!\I know!\U-Um, how much is it...\By the way, if we miss that one, we'll be stuck here for an hour.\Hey, help me look! response:	Six hundred forty yen.
context: Oshiooshi\Huh?\H-Hii-kun! The train's about to leave!\I know!\U-Um, how much is it...\By the way, if we miss that one, we'll be stuck here for an hour.\Hey, help me look!\Six hundred forty yen. response:	Huh?
context: Huh?\H-Hii-kun! The train's about to leave!\I know!\U-Um, how much is it...\By the way, if we miss that one, we'll be stuck here for an hour.\Hey, help me look!\Six hundred forty yen.\Huh? response:	Are you guys going to the city, too?
context: H-Hii-kun! The train's about to leave!\I know!\U-Um, how much is it...\By the way, if we miss that one, we'll be stuck here for an hour.\Hey, help me look!\Six hundred forty yen.\Huh?\Are you guys going to the city, too? response:	I see. So for Hikari's older sister.
context: I know!\U-Um, how much is it...\By the way, if we miss that one, we'll be stuck here for an hour.\Hey, help me look!\Six hundred forty yen.\Huh?\Are you guys going to the city, too?\I see. So for Hikari's older sister. response:	Yup.
context: U-Um, how much is it...\By the way, if we miss that one, we'll be stuck here for an hour.\Hey, help me look!\Six hundred forty yen.\Huh?\Are you guys going to the city, too?\I see. So for Hikari's older sister.\Yup. response:	Oh, I have some plum-flavored kelp, too.
context: By the way, if we miss that one, we'll be stuck here for an hour.\Hey, help me look!\Six hundred forty yen.\Huh?\Are you guys going to the city, too?\I see. So for Hikari's older sister.\Yup.\Oh, I have some plum-flavored kelp, too. response:	Thanks.
context: Hey, help me look!\Six hundred forty yen.\Huh?\Are you guys going to the city, too?\I see. So for Hikari's older sister.\Yup.\Oh, I have some plum-flavored kelp, too.\Thanks. response:	Hey, Tsumugu.
context: Six hundred forty yen.\Huh?\Are you guys going to the city, too?\I see. So for Hikari's older sister.\Yup.\Oh, I have some plum-flavored kelp, too.\Thanks.\Hey, Tsumugu. response:	If you know the city pretty well,
context: Huh?\Are you guys going to the city, too?\I see. So for Hikari's older sister.\Yup.\Oh, I have some plum-flavored kelp, too.\Thanks.\Hey, Tsumugu.\If you know the city pretty well, response:	after you're done with your errand, could you lead us around?
context: Are you guys going to the city, too?\I see. So for Hikari's older sister.\Yup.\Oh, I have some plum-flavored kelp, too.\Thanks.\Hey, Tsumugu.\If you know the city pretty well,\after you're done with your errand, could you lead us around? response:	Sure.
context: I see. So for Hikari's older sister.\Yup.\Oh, I have some plum-flavored kelp, too.\Thanks.\Hey, Tsumugu.\If you know the city pretty well,\after you're done with your errand, could you lead us around?\Sure. response:	Really?
context: Yup.\Oh, I have some plum-flavored kelp, too.\Thanks.\Hey, Tsumugu.\If you know the city pretty well,\after you're done with your errand, could you lead us around?\Sure.\Really? response:	We're counting on you.
context: Oh, I have some plum-flavored kelp, too.\Thanks.\Hey, Tsumugu.\If you know the city pretty well,\after you're done with your errand, could you lead us around?\Sure.\Really?\We're counting on you. response:	What are you doing?
context: Thanks.\Hey, Tsumugu.\If you know the city pretty well,\after you're done with your errand, could you lead us around?\Sure.\Really?\We're counting on you.\What are you doing? response:	You really can't smell the ocean here.
context: Hey, Tsumugu.\If you know the city pretty well,\after you're done with your errand, could you lead us around?\Sure.\Really?\We're counting on you.\What are you doing?\You really can't smell the ocean here. response:	Yeah...
context: If you know the city pretty well,\after you're done with your errand, could you lead us around?\Sure.\Really?\We're counting on you.\What are you doing?\You really can't smell the ocean here.\Yeah... response:	If we get lost here, our Ena might be in trouble.
context: after you're done with your errand, could you lead us around?\Sure.\Really?\We're counting on you.\What are you doing?\You really can't smell the ocean here.\Yeah...\If we get lost here, our Ena might be in trouble. response:	It's not salt water, so there's no point jumping in.
context: Sure.\Really?\We're counting on you.\What are you doing?\You really can't smell the ocean here.\Yeah...\If we get lost here, our Ena might be in trouble.\It's not salt water, so there's no point jumping in. response:	T-Tsumugu-kun, are you psychic?!
context: Really?\We're counting on you.\What are you doing?\You really can't smell the ocean here.\Yeah...\If we get lost here, our Ena might be in trouble.\It's not salt water, so there's no point jumping in.\T-Tsumugu-kun, are you psychic?! response:	You're just too easy to figure out.
context: We're counting on you.\What are you doing?\You really can't smell the ocean here.\Yeah...\If we get lost here, our Ena might be in trouble.\It's not salt water, so there's no point jumping in.\T-Tsumugu-kun, are you psychic?!\You're just too easy to figure out. response:	Could that be...
