context: OP response:	ED
context: I think about your faked smile,\and forget all the hot tears we shed.\What do these empty husks,\those empty eyes of yours, reflect, my dear?\The transient quarter moon\hides in a rift in the clouds,\as darkness seeps up from the ground.\Tell me the truth, please. response:	Are you so despondent
context: and forget all the hot tears we shed.\What do these empty husks,\those empty eyes of yours, reflect, my dear?\The transient quarter moon\hides in a rift in the clouds,\as darkness seeps up from the ground.\Tell me the truth, please.\Are you so despondent response:	that you still sit alone, sighing?
context: What do these empty husks,\those empty eyes of yours, reflect, my dear?\The transient quarter moon\hides in a rift in the clouds,\as darkness seeps up from the ground.\Tell me the truth, please.\Are you so despondent\that you still sit alone, sighing? response:	Without you, I just cant smile.
context: those empty eyes of yours, reflect, my dear?\The transient quarter moon\hides in a rift in the clouds,\as darkness seeps up from the ground.\Tell me the truth, please.\Are you so despondent\that you still sit alone, sighing?\Without you, I just cant smile. response:	I walk this banal town,
context: The transient quarter moon\hides in a rift in the clouds,\as darkness seeps up from the ground.\Tell me the truth, please.\Are you so despondent\that you still sit alone, sighing?\Without you, I just cant smile.\I walk this banal town, response:	feeling such intense emotions.
context: hides in a rift in the clouds,\as darkness seeps up from the ground.\Tell me the truth, please.\Are you so despondent\that you still sit alone, sighing?\Without you, I just cant smile.\I walk this banal town,\feeling such intense emotions. response:	I know that if I could treasure them and live on,
context: as darkness seeps up from the ground.\Tell me the truth, please.\Are you so despondent\that you still sit alone, sighing?\Without you, I just cant smile.\I walk this banal town,\feeling such intense emotions.\I know that if I could treasure them and live on, response:	I would need nothing else.
context: Tell me the truth, please.\Are you so despondent\that you still sit alone, sighing?\Without you, I just cant smile.\I walk this banal town,\feeling such intense emotions.\I know that if I could treasure them and live on,\I would need nothing else. response:	The summer flowers that bloomed in the sky
context: Are you so despondent\that you still sit alone, sighing?\Without you, I just cant smile.\I walk this banal town,\feeling such intense emotions.\I know that if I could treasure them and live on,\I would need nothing else.\The summer flowers that bloomed in the sky response:	Come falling down, dancing in the wind.
context: that you still sit alone, sighing?\Without you, I just cant smile.\I walk this banal town,\feeling such intense emotions.\I know that if I could treasure them and live on,\I would need nothing else.\The summer flowers that bloomed in the sky\Come falling down, dancing in the wind. response:	I can barely recall the night sky
context: Without you, I just cant smile.\I walk this banal town,\feeling such intense emotions.\I know that if I could treasure them and live on,\I would need nothing else.\The summer flowers that bloomed in the sky\Come falling down, dancing in the wind.\I can barely recall the night sky response:	where they all came tumbling down,
context: I walk this banal town,\feeling such intense emotions.\I know that if I could treasure them and live on,\I would need nothing else.\The summer flowers that bloomed in the sky\Come falling down, dancing in the wind.\I can barely recall the night sky\where they all came tumbling down, response:	so what I can still recall is all the more precious.
context: feeling such intense emotions.\I know that if I could treasure them and live on,\I would need nothing else.\The summer flowers that bloomed in the sky\Come falling down, dancing in the wind.\I can barely recall the night sky\where they all came tumbling down,\so what I can still recall is all the more precious. response:	Ghost Cat
context: I know that if I could treasure them and live on,\I would need nothing else.\The summer flowers that bloomed in the sky\Come falling down, dancing in the wind.\I can barely recall the night sky\where they all came tumbling down,\so what I can still recall is all the more precious.\Ghost Cat response:	Finale
context: I would need nothing else.\The summer flowers that bloomed in the sky\Come falling down, dancing in the wind.\I can barely recall the night sky\where they all came tumbling down,\so what I can still recall is all the more precious.\Ghost Cat\Finale response:	Morning News
context: The summer flowers that bloomed in the sky\Come falling down, dancing in the wind.\I can barely recall the night sky\where they all came tumbling down,\so what I can still recall is all the more precious.\Ghost Cat\Finale\Morning News response:	Kisshou Hotel
context: Come falling down, dancing in the wind.\I can barely recall the night sky\where they all came tumbling down,\so what I can still recall is all the more precious.\Ghost Cat\Finale\Morning News\Kisshou Hotel response:	CanCan Cafe
context: I can barely recall the night sky\where they all came tumbling down,\so what I can still recall is all the more precious.\Ghost Cat\Finale\Morning News\Kisshou Hotel\CanCan Cafe response:	City Hall
context: where they all came tumbling down,\so what I can still recall is all the more precious.\Ghost Cat\Finale\Morning News\Kisshou Hotel\CanCan Cafe\City Hall response:	Konata Inn
context: so what I can still recall is all the more precious.\Ghost Cat\Finale\Morning News\Kisshou Hotel\CanCan Cafe\City Hall\Konata Inn response:	I cannot believe that old hag.
context: Ghost Cat\Finale\Morning News\Kisshou Hotel\CanCan Cafe\City Hall\Konata Inn\I cannot believe that old hag. response:	I cannot just watch over an invalid
context: Finale\Morning News\Kisshou Hotel\CanCan Cafe\City Hall\Konata Inn\I cannot believe that old hag.\I cannot just watch over an invalid response:	for the rest of my life
context: Morning News\Kisshou Hotel\CanCan Cafe\City Hall\Konata Inn\I cannot believe that old hag.\I cannot just watch over an invalid\for the rest of my life response:	Thanks to her
context: Kisshou Hotel\CanCan Cafe\City Hall\Konata Inn\I cannot believe that old hag.\I cannot just watch over an invalid\for the rest of my life\Thanks to her response:	I cannot do what I want to.
context: CanCan Cafe\City Hall\Konata Inn\I cannot believe that old hag.\I cannot just watch over an invalid\for the rest of my life\Thanks to her\I cannot do what I want to. response:	Setsuko. Aah! No! No!
context: City Hall\Konata Inn\I cannot believe that old hag.\I cannot just watch over an invalid\for the rest of my life\Thanks to her\I cannot do what I want to.\Setsuko. Aah! No! No! response:	I will never be able to get ahead.
context: Konata Inn\I cannot believe that old hag.\I cannot just watch over an invalid\for the rest of my life\Thanks to her\I cannot do what I want to.\Setsuko. Aah! No! No!\I will never be able to get ahead. response:	CanCan Cafe
context: I cannot believe that old hag.\I cannot just watch over an invalid\for the rest of my life\Thanks to her\I cannot do what I want to.\Setsuko. Aah! No! No!\I will never be able to get ahead.\CanCan Cafe response:	Moria never looks at the article.
context: I cannot just watch over an invalid\for the rest of my life\Thanks to her\I cannot do what I want to.\Setsuko. Aah! No! No!\I will never be able to get ahead.\CanCan Cafe\Moria never looks at the article. response:	Just lights a match
context: for the rest of my life\Thanks to her\I cannot do what I want to.\Setsuko. Aah! No! No!\I will never be able to get ahead.\CanCan Cafe\Moria never looks at the article.\Just lights a match response:	Sanson Milk Delivery
context: Thanks to her\I cannot do what I want to.\Setsuko. Aah! No! No!\I will never be able to get ahead.\CanCan Cafe\Moria never looks at the article.\Just lights a match\Sanson Milk Delivery response:	Afterword
context: I cannot do what I want to.\Setsuko. Aah! No! No!\I will never be able to get ahead.\CanCan Cafe\Moria never looks at the article.\Just lights a match\Sanson Milk Delivery\Afterword response:	Lady Reporters Death Still Suspicious
context: Setsuko. Aah! No! No!\I will never be able to get ahead.\CanCan Cafe\Moria never looks at the article.\Just lights a match\Sanson Milk Delivery\Afterword\Lady Reporters Death Still Suspicious response:	Morning News employee involved
context: I will never be able to get ahead.\CanCan Cafe\Moria never looks at the article.\Just lights a match\Sanson Milk Delivery\Afterword\Lady Reporters Death Still Suspicious\Morning News employee involved response:	Mayor missing along with Morning News reporter.
context: CanCan Cafe\Moria never looks at the article.\Just lights a match\Sanson Milk Delivery\Afterword\Lady Reporters Death Still Suspicious\Morning News employee involved\Mayor missing along with Morning News reporter. response:	Lady Reporters Death Still Suspicious
context: Moria never looks at the article.\Just lights a match\Sanson Milk Delivery\Afterword\Lady Reporters Death Still Suspicious\Morning News employee involved\Mayor missing along with Morning News reporter.\Lady Reporters Death Still Suspicious response:	Morning News employee involved
context: Just lights a match\Sanson Milk Delivery\Afterword\Lady Reporters Death Still Suspicious\Morning News employee involved\Mayor missing along with Morning News reporter.\Lady Reporters Death Still Suspicious\Morning News employee involved response:	Mayor missing along with Morning News reporter.
context: Sanson Milk Delivery\Afterword\Lady Reporters Death Still Suspicious\Morning News employee involved\Mayor missing along with Morning News reporter.\Lady Reporters Death Still Suspicious\Morning News employee involved\Mayor missing along with Morning News reporter. response:	Thank you,hhhhhhhhhhhhhhhhhhhhheveryone.
context: Afterword\Lady Reporters Death Still Suspicious\Morning News employee involved\Mayor missing along with Morning News reporter.\Lady Reporters Death Still Suspicious\Morning News employee involved\Mayor missing along with Morning News reporter.\Thank you,hhhhhhhhhhhhhhhhhhhhheveryone. response:	Hey, where did all the other passengers go?
context: Lady Reporters Death Still Suspicious\Morning News employee involved\Mayor missing along with Morning News reporter.\Lady Reporters Death Still Suspicious\Morning News employee involved\Mayor missing along with Morning News reporter.\Thank you,hhhhhhhhhhhhhhhhhhhhheveryone.\Hey, where did all the other passengers go? response:	They got off.
context: Morning News employee involved\Mayor missing along with Morning News reporter.\Lady Reporters Death Still Suspicious\Morning News employee involved\Mayor missing along with Morning News reporter.\Thank you,hhhhhhhhhhhhhhhhhhhhheveryone.\Hey, where did all the other passengers go?\They got off. response:	Got
context: Mayor missing along with Morning News reporter.\Lady Reporters Death Still Suspicious\Morning News employee involved\Mayor missing along with Morning News reporter.\Thank you,hhhhhhhhhhhhhhhhhhhhheveryone.\Hey, where did all the other passengers go?\They got off.\Got response:	Now, its your turn.
context: Lady Reporters Death Still Suspicious\Morning News employee involved\Mayor missing along with Morning News reporter.\Thank you,hhhhhhhhhhhhhhhhhhhhheveryone.\Hey, where did all the other passengers go?\They got off.\Got\Now, its your turn. response:	Theyre all waiting for you.
context: Morning News employee involved\Mayor missing along with Morning News reporter.\Thank you,hhhhhhhhhhhhhhhhhhhhheveryone.\Hey, where did all the other passengers go?\They got off.\Got\Now, its your turn.\Theyre all waiting for you. response:	This train will never stop.
context: Mayor missing along with Morning News reporter.\Thank you,hhhhhhhhhhhhhhhhhhhhheveryone.\Hey, where did all the other passengers go?\They got off.\Got\Now, its your turn.\Theyre all waiting for you.\This train will never stop. response:	I dont care!
context: Thank you,hhhhhhhhhhhhhhhhhhhhheveryone.\Hey, where did all the other passengers go?\They got off.\Got\Now, its your turn.\Theyre all waiting for you.\This train will never stop.\I dont care! response:	Then, youll stay here
context: Hey, where did all the other passengers go?\They got off.\Got\Now, its your turn.\Theyre all waiting for you.\This train will never stop.\I dont care!\Then, youll stay here response:	No! I wont!
context: They got off.\Got\Now, its your turn.\Theyre all waiting for you.\This train will never stop.\I dont care!\Then, youll stay here\No! I wont! response:	No! I wont!
context: Got\Now, its your turn.\Theyre all waiting for you.\This train will never stop.\I dont care!\Then, youll stay here\No! I wont!\No! I wont! response:	Do something about this.
context: Now, its your turn.\Theyre all waiting for you.\This train will never stop.\I dont care!\Then, youll stay here\No! I wont!\No! I wont!\Do something about this. response:	Surely you can help!
context: Theyre all waiting for you.\This train will never stop.\I dont care!\Then, youll stay here\No! I wont!\No! I wont!\Do something about this.\Surely you can help! response:	How did it come to this?
context: This train will never stop.\I dont care!\Then, youll stay here\No! I wont!\No! I wont!\Do something about this.\Surely you can help!\How did it come to this? response:	I just wanted to help her.
context: I dont care!\Then, youll stay here\No! I wont!\No! I wont!\Do something about this.\Surely you can help!\How did it come to this?\I just wanted to help her. response:	Help Setsuko-san?
context: Then, youll stay here\No! I wont!\No! I wont!\Do something about this.\Surely you can help!\How did it come to this?\I just wanted to help her.\Help Setsuko-san? response:	Thats right!
context: No! I wont!\No! I wont!\Do something about this.\Surely you can help!\How did it come to this?\I just wanted to help her.\Help Setsuko-san?\Thats right! response:	I felt so sorry that shed been killed!
context: No! I wont!\Do something about this.\Surely you can help!\How did it come to this?\I just wanted to help her.\Help Setsuko-san?\Thats right!\I felt so sorry that shed been killed! response:	Ichikawa.
context: Do something about this.\Surely you can help!\How did it come to this?\I just wanted to help her.\Help Setsuko-san?\Thats right!\I felt so sorry that shed been killed!\Ichikawa. response:	Moria-san.
context: Surely you can help!\How did it come to this?\I just wanted to help her.\Help Setsuko-san?\Thats right!\I felt so sorry that shed been killed!\Ichikawa.\Moria-san. response:	Youre terrible.
context: How did it come to this?\I just wanted to help her.\Help Setsuko-san?\Thats right!\I felt so sorry that shed been killed!\Ichikawa.\Moria-san.\Youre terrible. response:	Show him. Show him.
context: I just wanted to help her.\Help Setsuko-san?\Thats right!\I felt so sorry that shed been killed!\Ichikawa.\Moria-san.\Youre terrible.\Show him. Show him. response:	Show him. Show him.
context: Help Setsuko-san?\Thats right!\I felt so sorry that shed been killed!\Ichikawa.\Moria-san.\Youre terrible.\Show him. Show him.\Show him. Show him. response:	Show him.
context: Thats right!\I felt so sorry that shed been killed!\Ichikawa.\Moria-san.\Youre terrible.\Show him. Show him.\Show him. Show him.\Show him. response:	This is
context: I felt so sorry that shed been killed!\Ichikawa.\Moria-san.\Youre terrible.\Show him. Show him.\Show him. Show him.\Show him.\This is response:	Show him.
context: Ichikawa.\Moria-san.\Youre terrible.\Show him. Show him.\Show him. Show him.\Show him.\This is\Show him. response:	Are the cats doing this?
context: Moria-san.\Youre terrible.\Show him. Show him.\Show him. Show him.\Show him.\This is\Show him.\Are the cats doing this? response:	Show him.
context: Youre terrible.\Show him. Show him.\Show him. Show him.\Show him.\This is\Show him.\Are the cats doing this?\Show him. response:	Stop!
context: Show him. Show him.\Show him. Show him.\Show him.\This is\Show him.\Are the cats doing this?\Show him.\Stop! response:	Memories are tied to a single place.
context: Show him. Show him.\Show him.\This is\Show him.\Are the cats doing this?\Show him.\Stop!\Memories are tied to a single place. response:	Memory brings about Regret,
context: Show him.\This is\Show him.\Are the cats doing this?\Show him.\Stop!\Memories are tied to a single place.\Memory brings about Regret, response:	and it is through Regret that fates intertwine.
context: This is\Show him.\Are the cats doing this?\Show him.\Stop!\Memories are tied to a single place.\Memory brings about Regret,\and it is through Regret that fates intertwine. response:	All is turned upside-down.
context: Show him.\Are the cats doing this?\Show him.\Stop!\Memories are tied to a single place.\Memory brings about Regret,\and it is through Regret that fates intertwine.\All is turned upside-down. response:	Its all your fault!
context: Are the cats doing this?\Show him.\Stop!\Memories are tied to a single place.\Memory brings about Regret,\and it is through Regret that fates intertwine.\All is turned upside-down.\Its all your fault! response:	With Form, Truth and Regret, all can be revealed.
context: Show him.\Stop!\Memories are tied to a single place.\Memory brings about Regret,\and it is through Regret that fates intertwine.\All is turned upside-down.\Its all your fault!\With Form, Truth and Regret, all can be revealed. response:	Will you show me
context: Stop!\Memories are tied to a single place.\Memory brings about Regret,\and it is through Regret that fates intertwine.\All is turned upside-down.\Its all your fault!\With Form, Truth and Regret, all can be revealed.\Will you show me response:	the reason for
context: Memories are tied to a single place.\Memory brings about Regret,\and it is through Regret that fates intertwine.\All is turned upside-down.\Its all your fault!\With Form, Truth and Regret, all can be revealed.\Will you show me\the reason for response:	your Regret?
context: Memory brings about Regret,\and it is through Regret that fates intertwine.\All is turned upside-down.\Its all your fault!\With Form, Truth and Regret, all can be revealed.\Will you show me\the reason for\your Regret? response:	Huh? What was that?
context: and it is through Regret that fates intertwine.\All is turned upside-down.\Its all your fault!\With Form, Truth and Regret, all can be revealed.\Will you show me\the reason for\your Regret?\Huh? What was that? response:	Mayor Fukuda is corrupt!
context: All is turned upside-down.\Its all your fault!\With Form, Truth and Regret, all can be revealed.\Will you show me\the reason for\your Regret?\Huh? What was that?\Mayor Fukuda is corrupt! response:	I have proof.
context: Its all your fault!\With Form, Truth and Regret, all can be revealed.\Will you show me\the reason for\your Regret?\Huh? What was that?\Mayor Fukuda is corrupt!\I have proof. response:	Lets hear what you have to say.
context: With Form, Truth and Regret, all can be revealed.\Will you show me\the reason for\your Regret?\Huh? What was that?\Mayor Fukuda is corrupt!\I have proof.\Lets hear what you have to say. response:	Moria-san?
context: Will you show me\the reason for\your Regret?\Huh? What was that?\Mayor Fukuda is corrupt!\I have proof.\Lets hear what you have to say.\Moria-san? response:	Is this information reliable?
context: the reason for\your Regret?\Huh? What was that?\Mayor Fukuda is corrupt!\I have proof.\Lets hear what you have to say.\Moria-san?\Is this information reliable? response:	Of course!
context: your Regret?\Huh? What was that?\Mayor Fukuda is corrupt!\I have proof.\Lets hear what you have to say.\Moria-san?\Is this information reliable?\Of course! response:	I have it on good authority that the mayor is meeting with executives
context: Huh? What was that?\Mayor Fukuda is corrupt!\I have proof.\Lets hear what you have to say.\Moria-san?\Is this information reliable?\Of course!\I have it on good authority that the mayor is meeting with executives response:	from the railroad company on a regular basis.
context: Mayor Fukuda is corrupt!\I have proof.\Lets hear what you have to say.\Moria-san?\Is this information reliable?\Of course!\I have it on good authority that the mayor is meeting with executives\from the railroad company on a regular basis. response:	Well, theres nothing illegal about that.
context: I have proof.\Lets hear what you have to say.\Moria-san?\Is this information reliable?\Of course!\I have it on good authority that the mayor is meeting with executives\from the railroad company on a regular basis.\Well, theres nothing illegal about that. response:	But dont you think it unlikely
context: Lets hear what you have to say.\Moria-san?\Is this information reliable?\Of course!\I have it on good authority that the mayor is meeting with executives\from the railroad company on a regular basis.\Well, theres nothing illegal about that.\But dont you think it unlikely response:	Im sorry, Ichikawa, but were not a tabloid.
context: Moria-san?\Is this information reliable?\Of course!\I have it on good authority that the mayor is meeting with executives\from the railroad company on a regular basis.\Well, theres nothing illegal about that.\But dont you think it unlikely\Im sorry, Ichikawa, but were not a tabloid. response:	that theyre just making small talk?
context: Is this information reliable?\Of course!\I have it on good authority that the mayor is meeting with executives\from the railroad company on a regular basis.\Well, theres nothing illegal about that.\But dont you think it unlikely\Im sorry, Ichikawa, but were not a tabloid.\that theyre just making small talk? response:	Thats not enough information for a proper article.
context: Of course!\I have it on good authority that the mayor is meeting with executives\from the railroad company on a regular basis.\Well, theres nothing illegal about that.\But dont you think it unlikely\Im sorry, Ichikawa, but were not a tabloid.\that theyre just making small talk?\Thats not enough information for a proper article. response:	I think youre just jealous!
context: I have it on good authority that the mayor is meeting with executives\from the railroad company on a regular basis.\Well, theres nothing illegal about that.\But dont you think it unlikely\Im sorry, Ichikawa, but were not a tabloid.\that theyre just making small talk?\Thats not enough information for a proper article.\I think youre just jealous! response:	Jealous of who?
context: from the railroad company on a regular basis.\Well, theres nothing illegal about that.\But dont you think it unlikely\Im sorry, Ichikawa, but were not a tabloid.\that theyre just making small talk?\Thats not enough information for a proper article.\I think youre just jealous!\Jealous of who? response:	Youre jealous of me, Moria-san.
context: Well, theres nothing illegal about that.\But dont you think it unlikely\Im sorry, Ichikawa, but were not a tabloid.\that theyre just making small talk?\Thats not enough information for a proper article.\I think youre just jealous!\Jealous of who?\Youre jealous of me, Moria-san. response:	Ridiculous!
context: But dont you think it unlikely\Im sorry, Ichikawa, but were not a tabloid.\that theyre just making small talk?\Thats not enough information for a proper article.\I think youre just jealous!\Jealous of who?\Youre jealous of me, Moria-san.\Ridiculous! response:	Youre jealous that I got such a huge story.
context: Im sorry, Ichikawa, but were not a tabloid.\that theyre just making small talk?\Thats not enough information for a proper article.\I think youre just jealous!\Jealous of who?\Youre jealous of me, Moria-san.\Ridiculous!\Youre jealous that I got such a huge story. response:	Its not a story at all!
context: that theyre just making small talk?\Thats not enough information for a proper article.\I think youre just jealous!\Jealous of who?\Youre jealous of me, Moria-san.\Ridiculous!\Youre jealous that I got such a huge story.\Its not a story at all! response:	Theres nothing to be jealous about.
context: Thats not enough information for a proper article.\I think youre just jealous!\Jealous of who?\Youre jealous of me, Moria-san.\Ridiculous!\Youre jealous that I got such a huge story.\Its not a story at all!\Theres nothing to be jealous about. response:	We cant publish it.
context: I think youre just jealous!\Jealous of who?\Youre jealous of me, Moria-san.\Ridiculous!\Youre jealous that I got such a huge story.\Its not a story at all!\Theres nothing to be jealous about.\We cant publish it. response:	Looks like it was a mistake to send you into the field.
context: Jealous of who?\Youre jealous of me, Moria-san.\Ridiculous!\Youre jealous that I got such a huge story.\Its not a story at all!\Theres nothing to be jealous about.\We cant publish it.\Looks like it was a mistake to send you into the field. response:	You bit off more than you could chew. Im putting you back on the advice column.
context: Youre jealous of me, Moria-san.\Ridiculous!\Youre jealous that I got such a huge story.\Its not a story at all!\Theres nothing to be jealous about.\We cant publish it.\Looks like it was a mistake to send you into the field.\You bit off more than you could chew. Im putting you back on the advice column. response:	You cant!
context: Ridiculous!\Youre jealous that I got such a huge story.\Its not a story at all!\Theres nothing to be jealous about.\We cant publish it.\Looks like it was a mistake to send you into the field.\You bit off more than you could chew. Im putting you back on the advice column.\You cant! response:	Im not giving up on this!
context: Youre jealous that I got such a huge story.\Its not a story at all!\Theres nothing to be jealous about.\We cant publish it.\Looks like it was a mistake to send you into the field.\You bit off more than you could chew. Im putting you back on the advice column.\You cant!\Im not giving up on this! response:	Ill get to the bottom of this. Mark my words!
context: Its not a story at all!\Theres nothing to be jealous about.\We cant publish it.\Looks like it was a mistake to send you into the field.\You bit off more than you could chew. Im putting you back on the advice column.\You cant!\Im not giving up on this!\Ill get to the bottom of this. Mark my words! response:	Dont get me wrong, Ichikawa.
context: Theres nothing to be jealous about.\We cant publish it.\Looks like it was a mistake to send you into the field.\You bit off more than you could chew. Im putting you back on the advice column.\You cant!\Im not giving up on this!\Ill get to the bottom of this. Mark my words!\Dont get me wrong, Ichikawa. response:	I think youre a great
context: We cant publish it.\Looks like it was a mistake to send you into the field.\You bit off more than you could chew. Im putting you back on the advice column.\You cant!\Im not giving up on this!\Ill get to the bottom of this. Mark my words!\Dont get me wrong, Ichikawa.\I think youre a great response:	Whoo, yeah! Here it comes!
context: Looks like it was a mistake to send you into the field.\You bit off more than you could chew. Im putting you back on the advice column.\You cant!\Im not giving up on this!\Ill get to the bottom of this. Mark my words!\Dont get me wrong, Ichikawa.\I think youre a great\Whoo, yeah! Here it comes! response:	Whats this?
context: You bit off more than you could chew. Im putting you back on the advice column.\You cant!\Im not giving up on this!\Ill get to the bottom of this. Mark my words!\Dont get me wrong, Ichikawa.\I think youre a great\Whoo, yeah! Here it comes!\Whats this? response:	A woman peeping at me?
context: You cant!\Im not giving up on this!\Ill get to the bottom of this. Mark my words!\Dont get me wrong, Ichikawa.\I think youre a great\Whoo, yeah! Here it comes!\Whats this?\A woman peeping at me? response:	I wont
context: Im not giving up on this!\Ill get to the bottom of this. Mark my words!\Dont get me wrong, Ichikawa.\I think youre a great\Whoo, yeah! Here it comes!\Whats this?\A woman peeping at me?\I wont response:	I wont let them beat me.
context: Ill get to the bottom of this. Mark my words!\Dont get me wrong, Ichikawa.\I think youre a great\Whoo, yeah! Here it comes!\Whats this?\A woman peeping at me?\I wont\I wont let them beat me. response:	Yes, thank you.
context: Dont get me wrong, Ichikawa.\I think youre a great\Whoo, yeah! Here it comes!\Whats this?\A woman peeping at me?\I wont\I wont let them beat me.\Yes, thank you. response:	Thank you. Thank you.
context: I think youre a great\Whoo, yeah! Here it comes!\Whats this?\A woman peeping at me?\I wont\I wont let them beat me.\Yes, thank you.\Thank you. Thank you. response:	Yes, indeed, I look forward to it.
context: Whoo, yeah! Here it comes!\Whats this?\A woman peeping at me?\I wont\I wont let them beat me.\Yes, thank you.\Thank you. Thank you.\Yes, indeed, I look forward to it. response:	I see.
context: Whats this?\A woman peeping at me?\I wont\I wont let them beat me.\Yes, thank you.\Thank you. Thank you.\Yes, indeed, I look forward to it.\I see. response:	Is this still not enough?
context: A woman peeping at me?\I wont\I wont let them beat me.\Yes, thank you.\Thank you. Thank you.\Yes, indeed, I look forward to it.\I see.\Is this still not enough? response:	Just as I thought.
context: I wont\I wont let them beat me.\Yes, thank you.\Thank you. Thank you.\Yes, indeed, I look forward to it.\I see.\Is this still not enough?\Just as I thought. response:	I knew you could do it.
context: I wont let them beat me.\Yes, thank you.\Thank you. Thank you.\Yes, indeed, I look forward to it.\I see.\Is this still not enough?\Just as I thought.\I knew you could do it. response:	Im sorry for being so hard on you.
context: Yes, thank you.\Thank you. Thank you.\Yes, indeed, I look forward to it.\I see.\Is this still not enough?\Just as I thought.\I knew you could do it.\Im sorry for being so hard on you. response:	Forgive me, Ichikawa.
context: Thank you. Thank you.\Yes, indeed, I look forward to it.\I see.\Is this still not enough?\Just as I thought.\I knew you could do it.\Im sorry for being so hard on you.\Forgive me, Ichikawa. response:	Thats right! I knew she had it in her!
context: Yes, indeed, I look forward to it.\I see.\Is this still not enough?\Just as I thought.\I knew you could do it.\Im sorry for being so hard on you.\Forgive me, Ichikawa.\Thats right! I knew she had it in her! response:	Thats why I was so hard on her!
context: I see.\Is this still not enough?\Just as I thought.\I knew you could do it.\Im sorry for being so hard on you.\Forgive me, Ichikawa.\Thats right! I knew she had it in her!\Thats why I was so hard on her! response:	When did it happen?
context: Is this still not enough?\Just as I thought.\I knew you could do it.\Im sorry for being so hard on you.\Forgive me, Ichikawa.\Thats right! I knew she had it in her!\Thats why I was so hard on her!\When did it happen? response:	Last night.
context: Just as I thought.\I knew you could do it.\Im sorry for being so hard on you.\Forgive me, Ichikawa.\Thats right! I knew she had it in her!\Thats why I was so hard on her!\When did it happen?\Last night. response:	And you developed the shots yourself?
context: I knew you could do it.\Im sorry for being so hard on you.\Forgive me, Ichikawa.\Thats right! I knew she had it in her!\Thats why I was so hard on her!\When did it happen?\Last night.\And you developed the shots yourself? response:	Yes.
context: Im sorry for being so hard on you.\Forgive me, Ichikawa.\Thats right! I knew she had it in her!\Thats why I was so hard on her!\When did it happen?\Last night.\And you developed the shots yourself?\Yes. response:	Where is the film?
context: Forgive me, Ichikawa.\Thats right! I knew she had it in her!\Thats why I was so hard on her!\When did it happen?\Last night.\And you developed the shots yourself?\Yes.\Where is the film? response:	In here.
context: Thats right! I knew she had it in her!\Thats why I was so hard on her!\When did it happen?\Last night.\And you developed the shots yourself?\Yes.\Where is the film?\In here. response:	Hey,
context: Thats why I was so hard on her!\When did it happen?\Last night.\And you developed the shots yourself?\Yes.\Where is the film?\In here.\Hey, response:	lets go out.
context: When did it happen?\Last night.\And you developed the shots yourself?\Yes.\Where is the film?\In here.\Hey,\lets go out. response:	But
context: Last night.\And you developed the shots yourself?\Yes.\Where is the film?\In here.\Hey,\lets go out.\But response:	This is a huge scoop.
context: And you developed the shots yourself?\Yes.\Where is the film?\In here.\Hey,\lets go out.\But\This is a huge scoop. response:	We cant let afford to let anyone know about this.
context: Yes.\Where is the film?\In here.\Hey,\lets go out.\But\This is a huge scoop.\We cant let afford to let anyone know about this. response:	Not even one of our co-workers.
context: Where is the film?\In here.\Hey,\lets go out.\But\This is a huge scoop.\We cant let afford to let anyone know about this.\Not even one of our co-workers. response:	Heres the mayor with Touto Railways Board of Directors.
