context: Want to do this one by one? response:	Want to do this one by one?
context: You sacrificed your life to deceive the ambush and give the others time to escape.\I haven't given up my life.\I have a message from Rampo-san.\Capture the gifted who made the virus?\That's right.\If we fought the Port Mafia head-on, people would die.\The only way to avoid that is to change the rules.\If we find and kill the gifted who created the virus, response:	or if Dazai touches them, everyone is saved.
context: I haven't given up my life.\I have a message from Rampo-san.\Capture the gifted who made the virus?\That's right.\If we fought the Port Mafia head-on, people would die.\The only way to avoid that is to change the rules.\If we find and kill the gifted who created the virus,\or if Dazai touches them, everyone is saved. response:	But what if that gifted has already run far away?
context: I have a message from Rampo-san.\Capture the gifted who made the virus?\That's right.\If we fought the Port Mafia head-on, people would die.\The only way to avoid that is to change the rules.\If we find and kill the gifted who created the virus,\or if Dazai touches them, everyone is saved.\But what if that gifted has already run far away? response:	They're still nearby.
context: Capture the gifted who made the virus?\That's right.\If we fought the Port Mafia head-on, people would die.\The only way to avoid that is to change the rules.\If we find and kill the gifted who created the virus,\or if Dazai touches them, everyone is saved.\But what if that gifted has already run far away?\They're still nearby. response:	Weaponized poison always requires an antidote.
context: That's right.\If we fought the Port Mafia head-on, people would die.\The only way to avoid that is to change the rules.\If we find and kill the gifted who created the virus,\or if Dazai touches them, everyone is saved.\But what if that gifted has already run far away?\They're still nearby.\Weaponized poison always requires an antidote. response:	So during this cannibalism, they'll be here in Yokohama.
context: If we fought the Port Mafia head-on, people would die.\The only way to avoid that is to change the rules.\If we find and kill the gifted who created the virus,\or if Dazai touches them, everyone is saved.\But what if that gifted has already run far away?\They're still nearby.\Weaponized poison always requires an antidote.\So during this cannibalism, they'll be here in Yokohama. response:	According to Dazai,
context: The only way to avoid that is to change the rules.\If we find and kill the gifted who created the virus,\or if Dazai touches them, everyone is saved.\But what if that gifted has already run far away?\They're still nearby.\Weaponized poison always requires an antidote.\So during this cannibalism, they'll be here in Yokohama.\According to Dazai, response:	the mastermind called the gifted wielding the virus a certain criminal.
context: If we find and kill the gifted who created the virus,\or if Dazai touches them, everyone is saved.\But what if that gifted has already run far away?\They're still nearby.\Weaponized poison always requires an antidote.\So during this cannibalism, they'll be here in Yokohama.\According to Dazai,\the mastermind called the gifted wielding the virus a certain criminal. response:	If they're a criminal, they're stuck in Yokohama.
context: or if Dazai touches them, everyone is saved.\But what if that gifted has already run far away?\They're still nearby.\Weaponized poison always requires an antidote.\So during this cannibalism, they'll be here in Yokohama.\According to Dazai,\the mastermind called the gifted wielding the virus a certain criminal.\If they're a criminal, they're stuck in Yokohama. response:	The normal escape routes are being monitored by the Agency,
context: But what if that gifted has already run far away?\They're still nearby.\Weaponized poison always requires an antidote.\So during this cannibalism, they'll be here in Yokohama.\According to Dazai,\the mastermind called the gifted wielding the virus a certain criminal.\If they're a criminal, they're stuck in Yokohama.\The normal escape routes are being monitored by the Agency, response:	and the underground ones are being monitored by the Port Mafia.
context: They're still nearby.\Weaponized poison always requires an antidote.\So during this cannibalism, they'll be here in Yokohama.\According to Dazai,\the mastermind called the gifted wielding the virus a certain criminal.\If they're a criminal, they're stuck in Yokohama.\The normal escape routes are being monitored by the Agency,\and the underground ones are being monitored by the Port Mafia. response:	Take the Detective Agency's or the military police's intelligence on the gifted.
context: Weaponized poison always requires an antidote.\So during this cannibalism, they'll be here in Yokohama.\According to Dazai,\the mastermind called the gifted wielding the virus a certain criminal.\If they're a criminal, they're stuck in Yokohama.\The normal escape routes are being monitored by the Agency,\and the underground ones are being monitored by the Port Mafia.\Take the Detective Agency's or the military police's intelligence on the gifted. response:	That'll be more than enough for me to figure it out.
context: So during this cannibalism, they'll be here in Yokohama.\According to Dazai,\the mastermind called the gifted wielding the virus a certain criminal.\If they're a criminal, they're stuck in Yokohama.\The normal escape routes are being monitored by the Agency,\and the underground ones are being monitored by the Port Mafia.\Take the Detective Agency's or the military police's intelligence on the gifted.\That'll be more than enough for me to figure it out. response:	Episode 34
context: According to Dazai,\the mastermind called the gifted wielding the virus a certain criminal.\If they're a criminal, they're stuck in Yokohama.\The normal escape routes are being monitored by the Agency,\and the underground ones are being monitored by the Port Mafia.\Take the Detective Agency's or the military police's intelligence on the gifted.\That'll be more than enough for me to figure it out.\Episode 34 response:	Cannibalism (Part One)
context: the mastermind called the gifted wielding the virus a certain criminal.\If they're a criminal, they're stuck in Yokohama.\The normal escape routes are being monitored by the Agency,\and the underground ones are being monitored by the Port Mafia.\Take the Detective Agency's or the military police's intelligence on the gifted.\That'll be more than enough for me to figure it out.\Episode 34\Cannibalism (Part One) response:	Here?
context: If they're a criminal, they're stuck in Yokohama.\The normal escape routes are being monitored by the Agency,\and the underground ones are being monitored by the Port Mafia.\Take the Detective Agency's or the military police's intelligence on the gifted.\That'll be more than enough for me to figure it out.\Episode 34\Cannibalism (Part One)\Here? response:	Yeah.
context: The normal escape routes are being monitored by the Agency,\and the underground ones are being monitored by the Port Mafia.\Take the Detective Agency's or the military police's intelligence on the gifted.\That'll be more than enough for me to figure it out.\Episode 34\Cannibalism (Part One)\Here?\Yeah. response:	This is the hideout of the virus-wielding gifted, Pushkin.
context: and the underground ones are being monitored by the Port Mafia.\Take the Detective Agency's or the military police's intelligence on the gifted.\That'll be more than enough for me to figure it out.\Episode 34\Cannibalism (Part One)\Here?\Yeah.\This is the hideout of the virus-wielding gifted, Pushkin. response:	He escaped from a European gifted prison about two weeks ago.
context: Take the Detective Agency's or the military police's intelligence on the gifted.\That'll be more than enough for me to figure it out.\Episode 34\Cannibalism (Part One)\Here?\Yeah.\This is the hideout of the virus-wielding gifted, Pushkin.\He escaped from a European gifted prison about two weeks ago. response:	Guided by the Rats in the House of the Dead,
context: That'll be more than enough for me to figure it out.\Episode 34\Cannibalism (Part One)\Here?\Yeah.\This is the hideout of the virus-wielding gifted, Pushkin.\He escaped from a European gifted prison about two weeks ago.\Guided by the Rats in the House of the Dead, response:	he's hiding out somewhere here close to his hometown.
context: Episode 34\Cannibalism (Part One)\Here?\Yeah.\This is the hideout of the virus-wielding gifted, Pushkin.\He escaped from a European gifted prison about two weeks ago.\Guided by the Rats in the House of the Dead,\he's hiding out somewhere here close to his hometown. response:	That's Rampo-san's conclusion.
context: Cannibalism (Part One)\Here?\Yeah.\This is the hideout of the virus-wielding gifted, Pushkin.\He escaped from a European gifted prison about two weeks ago.\Guided by the Rats in the House of the Dead,\he's hiding out somewhere here close to his hometown.\That's Rampo-san's conclusion. response:	Hometown?
context: Here?\Yeah.\This is the hideout of the virus-wielding gifted, Pushkin.\He escaped from a European gifted prison about two weeks ago.\Guided by the Rats in the House of the Dead,\he's hiding out somewhere here close to his hometown.\That's Rampo-san's conclusion.\Hometown? response:	Even though he's from abroad?
context: Yeah.\This is the hideout of the virus-wielding gifted, Pushkin.\He escaped from a European gifted prison about two weeks ago.\Guided by the Rats in the House of the Dead,\he's hiding out somewhere here close to his hometown.\That's Rampo-san's conclusion.\Hometown?\Even though he's from abroad? response:	He was born abroad, but he grew up here.
context: This is the hideout of the virus-wielding gifted, Pushkin.\He escaped from a European gifted prison about two weeks ago.\Guided by the Rats in the House of the Dead,\he's hiding out somewhere here close to his hometown.\That's Rampo-san's conclusion.\Hometown?\Even though he's from abroad?\He was born abroad, but he grew up here. response:	It's not unusual here, in this crucible of gifted criminals.
context: He escaped from a European gifted prison about two weeks ago.\Guided by the Rats in the House of the Dead,\he's hiding out somewhere here close to his hometown.\That's Rampo-san's conclusion.\Hometown?\Even though he's from abroad?\He was born abroad, but he grew up here.\It's not unusual here, in this crucible of gifted criminals. response:	The atmosphere here reminds me of the orphanage.
context: Guided by the Rats in the House of the Dead,\he's hiding out somewhere here close to his hometown.\That's Rampo-san's conclusion.\Hometown?\Even though he's from abroad?\He was born abroad, but he grew up here.\It's not unusual here, in this crucible of gifted criminals.\The atmosphere here reminds me of the orphanage. response:	We don't have time.
context: he's hiding out somewhere here close to his hometown.\That's Rampo-san's conclusion.\Hometown?\Even though he's from abroad?\He was born abroad, but he grew up here.\It's not unusual here, in this crucible of gifted criminals.\The atmosphere here reminds me of the orphanage.\We don't have time. response:	If we can't stop the cannibalism,
context: That's Rampo-san's conclusion.\Hometown?\Even though he's from abroad?\He was born abroad, but he grew up here.\It's not unusual here, in this crucible of gifted criminals.\The atmosphere here reminds me of the orphanage.\We don't have time.\If we can't stop the cannibalism, response:	they're going to kill Tanizaki, who stayed behind to persuade the Port Mafia.
context: Hometown?\Even though he's from abroad?\He was born abroad, but he grew up here.\It's not unusual here, in this crucible of gifted criminals.\The atmosphere here reminds me of the orphanage.\We don't have time.\If we can't stop the cannibalism,\they're going to kill Tanizaki, who stayed behind to persuade the Port Mafia. response:	Let's go.
context: Even though he's from abroad?\He was born abroad, but he grew up here.\It's not unusual here, in this crucible of gifted criminals.\The atmosphere here reminds me of the orphanage.\We don't have time.\If we can't stop the cannibalism,\they're going to kill Tanizaki, who stayed behind to persuade the Port Mafia.\Let's go. response:	Down here.
context: He was born abroad, but he grew up here.\It's not unusual here, in this crucible of gifted criminals.\The atmosphere here reminds me of the orphanage.\We don't have time.\If we can't stop the cannibalism,\they're going to kill Tanizaki, who stayed behind to persuade the Port Mafia.\Let's go.\Down here. response:	Failure isn't an option.
context: It's not unusual here, in this crucible of gifted criminals.\The atmosphere here reminds me of the orphanage.\We don't have time.\If we can't stop the cannibalism,\they're going to kill Tanizaki, who stayed behind to persuade the Port Mafia.\Let's go.\Down here.\Failure isn't an option. response:	Hey.
context: The atmosphere here reminds me of the orphanage.\We don't have time.\If we can't stop the cannibalism,\they're going to kill Tanizaki, who stayed behind to persuade the Port Mafia.\Let's go.\Down here.\Failure isn't an option.\Hey. response:	They're here.
context: We don't have time.\If we can't stop the cannibalism,\they're going to kill Tanizaki, who stayed behind to persuade the Port Mafia.\Let's go.\Down here.\Failure isn't an option.\Hey.\They're here. response:	Brothers! We've been tracked down!
context: If we can't stop the cannibalism,\they're going to kill Tanizaki, who stayed behind to persuade the Port Mafia.\Let's go.\Down here.\Failure isn't an option.\Hey.\They're here.\Brothers! We've been tracked down! response:	Hold them off!
context: they're going to kill Tanizaki, who stayed behind to persuade the Port Mafia.\Let's go.\Down here.\Failure isn't an option.\Hey.\They're here.\Brothers! We've been tracked down!\Hold them off! response:	He's onto us.
context: Let's go.\Down here.\Failure isn't an option.\Hey.\They're here.\Brothers! We've been tracked down!\Hold them off!\He's onto us. response:	Kunikida-san, over there.
context: Down here.\Failure isn't an option.\Hey.\They're here.\Brothers! We've been tracked down!\Hold them off!\He's onto us.\Kunikida-san, over there. response:	Let's go.
context: Failure isn't an option.\Hey.\They're here.\Brothers! We've been tracked down!\Hold them off!\He's onto us.\Kunikida-san, over there.\Let's go. response:	An underground tunnel.
context: Hey.\They're here.\Brothers! We've been tracked down!\Hold them off!\He's onto us.\Kunikida-san, over there.\Let's go.\An underground tunnel. response:	It's him.
context: They're here.\Brothers! We've been tracked down!\Hold them off!\He's onto us.\Kunikida-san, over there.\Let's go.\An underground tunnel.\It's him. response:	A long stretch of tunnel.
context: Brothers! We've been tracked down!\Hold them off!\He's onto us.\Kunikida-san, over there.\Let's go.\An underground tunnel.\It's him.\A long stretch of tunnel. response:	I can catch up...
context: Hold them off!\He's onto us.\Kunikida-san, over there.\Let's go.\An underground tunnel.\It's him.\A long stretch of tunnel.\I can catch up... response:	as the tiger.
context: He's onto us.\Kunikida-san, over there.\Let's go.\An underground tunnel.\It's him.\A long stretch of tunnel.\I can catch up...\as the tiger. response:	Wait, Atsushi!
context: Kunikida-san, over there.\Let's go.\An underground tunnel.\It's him.\A long stretch of tunnel.\I can catch up...\as the tiger.\Wait, Atsushi! response:	Are you all right, Atsushi?
context: Let's go.\An underground tunnel.\It's him.\A long stretch of tunnel.\I can catch up...\as the tiger.\Wait, Atsushi!\Are you all right, Atsushi? response:	Kids carrying sub-machine guns?
context: An underground tunnel.\It's him.\A long stretch of tunnel.\I can catch up...\as the tiger.\Wait, Atsushi!\Are you all right, Atsushi?\Kids carrying sub-machine guns? response:	We might end up killing them if we fired back at their tiny bodies.
context: It's him.\A long stretch of tunnel.\I can catch up...\as the tiger.\Wait, Atsushi!\Are you all right, Atsushi?\Kids carrying sub-machine guns?\We might end up killing them if we fired back at their tiny bodies. response:	Alas, we can't stop here.
context: A long stretch of tunnel.\I can catch up...\as the tiger.\Wait, Atsushi!\Are you all right, Atsushi?\Kids carrying sub-machine guns?\We might end up killing them if we fired back at their tiny bodies.\Alas, we can't stop here. response:	Ideals
context: I can catch up...\as the tiger.\Wait, Atsushi!\Are you all right, Atsushi?\Kids carrying sub-machine guns?\We might end up killing them if we fired back at their tiny bodies.\Alas, we can't stop here.\Ideals response:	Doppo Poet
context: as the tiger.\Wait, Atsushi!\Are you all right, Atsushi?\Kids carrying sub-machine guns?\We might end up killing them if we fired back at their tiny bodies.\Alas, we can't stop here.\Ideals\Doppo Poet response:	Doppo Poet!
context: Wait, Atsushi!\Are you all right, Atsushi?\Kids carrying sub-machine guns?\We might end up killing them if we fired back at their tiny bodies.\Alas, we can't stop here.\Ideals\Doppo Poet\Doppo Poet! response:	Tear-gas bomb
context: Are you all right, Atsushi?\Kids carrying sub-machine guns?\We might end up killing them if we fired back at their tiny bodies.\Alas, we can't stop here.\Ideals\Doppo Poet\Doppo Poet!\Tear-gas bomb response:	Tear-gas bomb!
context: Kids carrying sub-machine guns?\We might end up killing them if we fired back at their tiny bodies.\Alas, we can't stop here.\Ideals\Doppo Poet\Doppo Poet!\Tear-gas bomb\Tear-gas bomb! response:	Hold your breath and run.
context: We might end up killing them if we fired back at their tiny bodies.\Alas, we can't stop here.\Ideals\Doppo Poet\Doppo Poet!\Tear-gas bomb\Tear-gas bomb!\Hold your breath and run. response:	I can't dodge in time!
context: Alas, we can't stop here.\Ideals\Doppo Poet\Doppo Poet!\Tear-gas bomb\Tear-gas bomb!\Hold your breath and run.\I can't dodge in time! response:	What is this? Hell?
context: Ideals\Doppo Poet\Doppo Poet!\Tear-gas bomb\Tear-gas bomb!\Hold your breath and run.\I can't dodge in time!\What is this? Hell? response:	Kunikida-san, what about the child's injury?
context: Doppo Poet\Doppo Poet!\Tear-gas bomb\Tear-gas bomb!\Hold your breath and run.\I can't dodge in time!\What is this? Hell?\Kunikida-san, what about the child's injury? response:	It's shallow enough for Yosano-sensei to patch up.
context: Doppo Poet!\Tear-gas bomb\Tear-gas bomb!\Hold your breath and run.\I can't dodge in time!\What is this? Hell?\Kunikida-san, what about the child's injury?\It's shallow enough for Yosano-sensei to patch up. response:	It's that child again.
context: Tear-gas bomb\Tear-gas bomb!\Hold your breath and run.\I can't dodge in time!\What is this? Hell?\Kunikida-san, what about the child's injury?\It's shallow enough for Yosano-sensei to patch up.\It's that child again. response:	Kunikida-san, there's something wrong with this place.
context: Tear-gas bomb!\Hold your breath and run.\I can't dodge in time!\What is this? Hell?\Kunikida-san, what about the child's injury?\It's shallow enough for Yosano-sensei to patch up.\It's that child again.\Kunikida-san, there's something wrong with this place. response:	I was expecting to be met by gifted.
context: Hold your breath and run.\I can't dodge in time!\What is this? Hell?\Kunikida-san, what about the child's injury?\It's shallow enough for Yosano-sensei to patch up.\It's that child again.\Kunikida-san, there's something wrong with this place.\I was expecting to be met by gifted. response:	Yeah...
context: I can't dodge in time!\What is this? Hell?\Kunikida-san, what about the child's injury?\It's shallow enough for Yosano-sensei to patch up.\It's that child again.\Kunikida-san, there's something wrong with this place.\I was expecting to be met by gifted.\Yeah... response:	They aren't gifted.
context: What is this? Hell?\Kunikida-san, what about the child's injury?\It's shallow enough for Yosano-sensei to patch up.\It's that child again.\Kunikida-san, there's something wrong with this place.\I was expecting to be met by gifted.\Yeah...\They aren't gifted. response:	They're kids armed with guns.
context: Kunikida-san, what about the child's injury?\It's shallow enough for Yosano-sensei to patch up.\It's that child again.\Kunikida-san, there's something wrong with this place.\I was expecting to be met by gifted.\Yeah...\They aren't gifted.\They're kids armed with guns. response:	And for having expected us to come,
context: It's shallow enough for Yosano-sensei to patch up.\It's that child again.\Kunikida-san, there's something wrong with this place.\I was expecting to be met by gifted.\Yeah...\They aren't gifted.\They're kids armed with guns.\And for having expected us to come, response:	the alarms and escape routes are horribly ill-prepared.
context: It's that child again.\Kunikida-san, there's something wrong with this place.\I was expecting to be met by gifted.\Yeah...\They aren't gifted.\They're kids armed with guns.\And for having expected us to come,\the alarms and escape routes are horribly ill-prepared. response:	No!
context: Kunikida-san, there's something wrong with this place.\I was expecting to be met by gifted.\Yeah...\They aren't gifted.\They're kids armed with guns.\And for having expected us to come,\the alarms and escape routes are horribly ill-prepared.\No! response:	I'm helping my brother.
context: I was expecting to be met by gifted.\Yeah...\They aren't gifted.\They're kids armed with guns.\And for having expected us to come,\the alarms and escape routes are horribly ill-prepared.\No!\I'm helping my brother. response:	Atsushi,
context: Yeah...\They aren't gifted.\They're kids armed with guns.\And for having expected us to come,\the alarms and escape routes are horribly ill-prepared.\No!\I'm helping my brother.\Atsushi, response:	go after him from another route.
context: They aren't gifted.\They're kids armed with guns.\And for having expected us to come,\the alarms and escape routes are horribly ill-prepared.\No!\I'm helping my brother.\Atsushi,\go after him from another route. response:	Leave this to me.
context: They're kids armed with guns.\And for having expected us to come,\the alarms and escape routes are horribly ill-prepared.\No!\I'm helping my brother.\Atsushi,\go after him from another route.\Leave this to me. response:	Don't fail to catch him.
context: And for having expected us to come,\the alarms and escape routes are horribly ill-prepared.\No!\I'm helping my brother.\Atsushi,\go after him from another route.\Leave this to me.\Don't fail to catch him. response:	Go!
context: the alarms and escape routes are horribly ill-prepared.\No!\I'm helping my brother.\Atsushi,\go after him from another route.\Leave this to me.\Don't fail to catch him.\Go! response:	Listen carefully.
context: No!\I'm helping my brother.\Atsushi,\go after him from another route.\Leave this to me.\Don't fail to catch him.\Go!\Listen carefully. response:	Your brother won't die.
context: I'm helping my brother.\Atsushi,\go after him from another route.\Leave this to me.\Don't fail to catch him.\Go!\Listen carefully.\Your brother won't die. response:	I won't let him be killed.
context: Atsushi,\go after him from another route.\Leave this to me.\Don't fail to catch him.\Go!\Listen carefully.\Your brother won't die.\I won't let him be killed. response:	I promise.
context: go after him from another route.\Leave this to me.\Don't fail to catch him.\Go!\Listen carefully.\Your brother won't die.\I won't let him be killed.\I promise. response:	Did you abduct me to make me listen to you play cello?
context: Leave this to me.\Don't fail to catch him.\Go!\Listen carefully.\Your brother won't die.\I won't let him be killed.\I promise.\Did you abduct me to make me listen to you play cello? response:	No.
context: Don't fail to catch him.\Go!\Listen carefully.\Your brother won't die.\I won't let him be killed.\I promise.\Did you abduct me to make me listen to you play cello?\No. response:	I just have some questions about our mutual acquaintances,
context: Go!\Listen carefully.\Your brother won't die.\I won't let him be killed.\I promise.\Did you abduct me to make me listen to you play cello?\No.\I just have some questions about our mutual acquaintances, response:	the Armed Detective Agency.
context: Listen carefully.\Your brother won't die.\I won't let him be killed.\I promise.\Did you abduct me to make me listen to you play cello?\No.\I just have some questions about our mutual acquaintances,\the Armed Detective Agency. response:	Katsura-san, you set bombs on a girl to take revenge
context: Your brother won't die.\I won't let him be killed.\I promise.\Did you abduct me to make me listen to you play cello?\No.\I just have some questions about our mutual acquaintances,\the Armed Detective Agency.\Katsura-san, you set bombs on a girl to take revenge response:	on a Detective Agency member named Kunikida.
context: I won't let him be killed.\I promise.\Did you abduct me to make me listen to you play cello?\No.\I just have some questions about our mutual acquaintances,\the Armed Detective Agency.\Katsura-san, you set bombs on a girl to take revenge\on a Detective Agency member named Kunikida. response:	He gambled his life to save the child.
context: I promise.\Did you abduct me to make me listen to you play cello?\No.\I just have some questions about our mutual acquaintances,\the Armed Detective Agency.\Katsura-san, you set bombs on a girl to take revenge\on a Detective Agency member named Kunikida.\He gambled his life to save the child. response:	Is that correct?
context: Did you abduct me to make me listen to you play cello?\No.\I just have some questions about our mutual acquaintances,\the Armed Detective Agency.\Katsura-san, you set bombs on a girl to take revenge\on a Detective Agency member named Kunikida.\He gambled his life to save the child.\Is that correct? response:	What good does it do you to know that?
context: No.\I just have some questions about our mutual acquaintances,\the Armed Detective Agency.\Katsura-san, you set bombs on a girl to take revenge\on a Detective Agency member named Kunikida.\He gambled his life to save the child.\Is that correct?\What good does it do you to know that? response:	His ideals are true!
context: I just have some questions about our mutual acquaintances,\the Armed Detective Agency.\Katsura-san, you set bombs on a girl to take revenge\on a Detective Agency member named Kunikida.\He gambled his life to save the child.\Is that correct?\What good does it do you to know that?\His ideals are true! response:	His soul will never be broken by anyone!
context: the Armed Detective Agency.\Katsura-san, you set bombs on a girl to take revenge\on a Detective Agency member named Kunikida.\He gambled his life to save the child.\Is that correct?\What good does it do you to know that?\His ideals are true!\His soul will never be broken by anyone! response:	In order to protect the girl,
context: Katsura-san, you set bombs on a girl to take revenge\on a Detective Agency member named Kunikida.\He gambled his life to save the child.\Is that correct?\What good does it do you to know that?\His ideals are true!\His soul will never be broken by anyone!\In order to protect the girl, response:	first I have to get her to throw away the grenades.
context: on a Detective Agency member named Kunikida.\He gambled his life to save the child.\Is that correct?\What good does it do you to know that?\His ideals are true!\His soul will never be broken by anyone!\In order to protect the girl,\first I have to get her to throw away the grenades. response:	Don't worry.
context: He gambled his life to save the child.\Is that correct?\What good does it do you to know that?\His ideals are true!\His soul will never be broken by anyone!\In order to protect the girl,\first I have to get her to throw away the grenades.\Don't worry. response:	There's nothing to be afraid of.
context: Is that correct?\What good does it do you to know that?\His ideals are true!\His soul will never be broken by anyone!\In order to protect the girl,\first I have to get her to throw away the grenades.\Don't worry.\There's nothing to be afraid of. response:	I know.
context: What good does it do you to know that?\His ideals are true!\His soul will never be broken by anyone!\In order to protect the girl,\first I have to get her to throw away the grenades.\Don't worry.\There's nothing to be afraid of.\I know. response:	I'm good at magic tricks.
context: His ideals are true!\His soul will never be broken by anyone!\In order to protect the girl,\first I have to get her to throw away the grenades.\Don't worry.\There's nothing to be afraid of.\I know.\I'm good at magic tricks. response:	Want to watch?
context: His soul will never be broken by anyone!\In order to protect the girl,\first I have to get her to throw away the grenades.\Don't worry.\There's nothing to be afraid of.\I know.\I'm good at magic tricks.\Want to watch? response:	You'll be the one to save your brother.
context: In order to protect the girl,\first I have to get her to throw away the grenades.\Don't worry.\There's nothing to be afraid of.\I know.\I'm good at magic tricks.\Want to watch?\You'll be the one to save your brother. response:	The man is dangerous.
context: first I have to get her to throw away the grenades.\Don't worry.\There's nothing to be afraid of.\I know.\I'm good at magic tricks.\Want to watch?\You'll be the one to save your brother.\The man is dangerous. response:	If he ever reveals his notebook...
context: Don't worry.\There's nothing to be afraid of.\I know.\I'm good at magic tricks.\Want to watch?\You'll be the one to save your brother.\The man is dangerous.\If he ever reveals his notebook... response:	My brother...
context: There's nothing to be afraid of.\I know.\I'm good at magic tricks.\Want to watch?\You'll be the one to save your brother.\The man is dangerous.\If he ever reveals his notebook...\My brother... response:	I'm going to save my brother.
context: I know.\I'm good at magic tricks.\Want to watch?\You'll be the one to save your brother.\The man is dangerous.\If he ever reveals his notebook...\My brother...\I'm going to save my brother. response:	No!
context: I'm good at magic tricks.\Want to watch?\You'll be the one to save your brother.\The man is dangerous.\If he ever reveals his notebook...\My brother...\I'm going to save my brother.\No! response:	Happiness to the world.
context: Want to watch?\You'll be the one to save your brother.\The man is dangerous.\If he ever reveals his notebook...\My brother...\I'm going to save my brother.\No!\Happiness to the world. response:	Blessings for the children.
context: You'll be the one to save your brother.\The man is dangerous.\If he ever reveals his notebook...\My brother...\I'm going to save my brother.\No!\Happiness to the world.\Blessings for the children. response:	It's over! Give it up!
context: The man is dangerous.\If he ever reveals his notebook...\My brother...\I'm going to save my brother.\No!\Happiness to the world.\Blessings for the children.\It's over! Give it up! response:	Are you that desperate to hide the crime in the shadows?
context: If he ever reveals his notebook...\My brother...\I'm going to save my brother.\No!\Happiness to the world.\Blessings for the children.\It's over! Give it up!\Are you that desperate to hide the crime in the shadows? response:	A good man told me.
context: My brother...\I'm going to save my brother.\No!\Happiness to the world.\Blessings for the children.\It's over! Give it up!\Are you that desperate to hide the crime in the shadows?\A good man told me. response:	There's a group trying to cover up the hit-and-run!
context: I'm going to save my brother.\No!\Happiness to the world.\Blessings for the children.\It's over! Give it up!\Are you that desperate to hide the crime in the shadows?\A good man told me.\There's a group trying to cover up the hit-and-run! response:	Hit-and-run?
context: No!\Happiness to the world.\Blessings for the children.\It's over! Give it up!\Are you that desperate to hide the crime in the shadows?\A good man told me.\There's a group trying to cover up the hit-and-run!\Hit-and-run? response:	The hit-and-run from six months ago.
context: Happiness to the world.\Blessings for the children.\It's over! Give it up!\Are you that desperate to hide the crime in the shadows?\A good man told me.\There's a group trying to cover up the hit-and-run!\Hit-and-run?\The hit-and-run from six months ago. response:	What are you talking about?
