context: So how has living here been? response:	Oh, this is a wonderful House.
context: Phil, you were good at running away.\This is really fun!\I want to be leader for the next one!\But let's take a break for a little bit.\It looks like playing tag in teams is going to work!\What was Phil's score again?\Let's see.\He's averaging about 203 lately. response:	That's high.
context: This is really fun!\I want to be leader for the next one!\But let's take a break for a little bit.\It looks like playing tag in teams is going to work!\What was Phil's score again?\Let's see.\He's averaging about 203 lately.\That's high. response:	He was one of the last ones remaining this time and also when we played tag with Sister.
context: I want to be leader for the next one!\But let's take a break for a little bit.\It looks like playing tag in teams is going to work!\What was Phil's score again?\Let's see.\He's averaging about 203 lately.\That's high.\He was one of the last ones remaining this time and also when we played tag with Sister. response:	He's always looking for you and Norman with Sherry, too.
context: But let's take a break for a little bit.\It looks like playing tag in teams is going to work!\What was Phil's score again?\Let's see.\He's averaging about 203 lately.\That's high.\He was one of the last ones remaining this time and also when we played tag with Sister.\He's always looking for you and Norman with Sherry, too. response:	Stop it! I don't want to suspect anyone after all!
context: It looks like playing tag in teams is going to work!\What was Phil's score again?\Let's see.\He's averaging about 203 lately.\That's high.\He was one of the last ones remaining this time and also when we played tag with Sister.\He's always looking for you and Norman with Sherry, too.\Stop it! I don't want to suspect anyone after all! response:	Idiot. Even if you don't want to, you need to be more suspicious! Thoroughly!
context: What was Phil's score again?\Let's see.\He's averaging about 203 lately.\That's high.\He was one of the last ones remaining this time and also when we played tag with Sister.\He's always looking for you and Norman with Sherry, too.\Stop it! I don't want to suspect anyone after all!\Idiot. Even if you don't want to, you need to be more suspicious! Thoroughly! response:	This is life or death.
context: Let's see.\He's averaging about 203 lately.\That's high.\He was one of the last ones remaining this time and also when we played tag with Sister.\He's always looking for you and Norman with Sherry, too.\Stop it! I don't want to suspect anyone after all!\Idiot. Even if you don't want to, you need to be more suspicious! Thoroughly!\This is life or death. response:	Ray.
context: He's averaging about 203 lately.\That's high.\He was one of the last ones remaining this time and also when we played tag with Sister.\He's always looking for you and Norman with Sherry, too.\Stop it! I don't want to suspect anyone after all!\Idiot. Even if you don't want to, you need to be more suspicious! Thoroughly!\This is life or death.\Ray. response:	Any progress on how to break the tracking devices?
context: That's high.\He was one of the last ones remaining this time and also when we played tag with Sister.\He's always looking for you and Norman with Sherry, too.\Stop it! I don't want to suspect anyone after all!\Idiot. Even if you don't want to, you need to be more suspicious! Thoroughly!\This is life or death.\Ray.\Any progress on how to break the tracking devices? response:	How long do you need until you're prepared?
context: He was one of the last ones remaining this time and also when we played tag with Sister.\He's always looking for you and Norman with Sherry, too.\Stop it! I don't want to suspect anyone after all!\Idiot. Even if you don't want to, you need to be more suspicious! Thoroughly!\This is life or death.\Ray.\Any progress on how to break the tracking devices?\How long do you need until you're prepared? response:	Let's see.
context: He's always looking for you and Norman with Sherry, too.\Stop it! I don't want to suspect anyone after all!\Idiot. Even if you don't want to, you need to be more suspicious! Thoroughly!\This is life or death.\Ray.\Any progress on how to break the tracking devices?\How long do you need until you're prepared?\Let's see. response:	Ten days.
context: Stop it! I don't want to suspect anyone after all!\Idiot. Even if you don't want to, you need to be more suspicious! Thoroughly!\This is life or death.\Ray.\Any progress on how to break the tracking devices?\How long do you need until you're prepared?\Let's see.\Ten days. response:	Then let's commence the plan ten days from now.
context: Idiot. Even if you don't want to, you need to be more suspicious! Thoroughly!\This is life or death.\Ray.\Any progress on how to break the tracking devices?\How long do you need until you're prepared?\Let's see.\Ten days.\Then let's commence the plan ten days from now. response:	We'll carry out the escape plan ten days from now, on November 8th.
context: This is life or death.\Ray.\Any progress on how to break the tracking devices?\How long do you need until you're prepared?\Let's see.\Ten days.\Then let's commence the plan ten days from now.\We'll carry out the escape plan ten days from now, on November 8th. response:	W-Wait!
context: Ray.\Any progress on how to break the tracking devices?\How long do you need until you're prepared?\Let's see.\Ten days.\Then let's commence the plan ten days from now.\We'll carry out the escape plan ten days from now, on November 8th.\W-Wait! response:	Isn't it too soon? I mean, it's fine, but...
context: Any progress on how to break the tracking devices?\How long do you need until you're prepared?\Let's see.\Ten days.\Then let's commence the plan ten days from now.\We'll carry out the escape plan ten days from now, on November 8th.\W-Wait!\Isn't it too soon? I mean, it's fine, but... response:	It's not fine!
context: How long do you need until you're prepared?\Let's see.\Ten days.\Then let's commence the plan ten days from now.\We'll carry out the escape plan ten days from now, on November 8th.\W-Wait!\Isn't it too soon? I mean, it's fine, but...\It's not fine! response:	It's been two weeks since Conny was shipped.
context: Let's see.\Ten days.\Then let's commence the plan ten days from now.\We'll carry out the escape plan ten days from now, on November 8th.\W-Wait!\Isn't it too soon? I mean, it's fine, but...\It's not fine!\It's been two weeks since Conny was shipped. response:	The shipment cycle is at least two months, so we should have about a month and a half.
context: Ten days.\Then let's commence the plan ten days from now.\We'll carry out the escape plan ten days from now, on November 8th.\W-Wait!\Isn't it too soon? I mean, it's fine, but...\It's not fine!\It's been two weeks since Conny was shipped.\The shipment cycle is at least two months, so we should have about a month and a half. response:	I thought the plan was to carefully prepare during that time!
context: Then let's commence the plan ten days from now.\We'll carry out the escape plan ten days from now, on November 8th.\W-Wait!\Isn't it too soon? I mean, it's fine, but...\It's not fine!\It's been two weeks since Conny was shipped.\The shipment cycle is at least two months, so we should have about a month and a half.\I thought the plan was to carefully prepare during that time! response:	Yeah. Just as you thought that way, Mom's controlling us to think that way, too.
context: We'll carry out the escape plan ten days from now, on November 8th.\W-Wait!\Isn't it too soon? I mean, it's fine, but...\It's not fine!\It's been two weeks since Conny was shipped.\The shipment cycle is at least two months, so we should have about a month and a half.\I thought the plan was to carefully prepare during that time!\Yeah. Just as you thought that way, Mom's controlling us to think that way, too. response:	So we need to outwit that.
context: W-Wait!\Isn't it too soon? I mean, it's fine, but...\It's not fine!\It's been two weeks since Conny was shipped.\The shipment cycle is at least two months, so we should have about a month and a half.\I thought the plan was to carefully prepare during that time!\Yeah. Just as you thought that way, Mom's controlling us to think that way, too.\So we need to outwit that. response:	And if we fail from being too rushed? Then what?
context: Isn't it too soon? I mean, it's fine, but...\It's not fine!\It's been two weeks since Conny was shipped.\The shipment cycle is at least two months, so we should have about a month and a half.\I thought the plan was to carefully prepare during that time!\Yeah. Just as you thought that way, Mom's controlling us to think that way, too.\So we need to outwit that.\And if we fail from being too rushed? Then what? response:	Either way, we need to escape before winter comes.
context: It's not fine!\It's been two weeks since Conny was shipped.\The shipment cycle is at least two months, so we should have about a month and a half.\I thought the plan was to carefully prepare during that time!\Yeah. Just as you thought that way, Mom's controlling us to think that way, too.\So we need to outwit that.\And if we fail from being too rushed? Then what?\Either way, we need to escape before winter comes. response:	As soon as we break the tracking devices, let's execute our escape plan as quickly as possible.
context: It's been two weeks since Conny was shipped.\The shipment cycle is at least two months, so we should have about a month and a half.\I thought the plan was to carefully prepare during that time!\Yeah. Just as you thought that way, Mom's controlling us to think that way, too.\So we need to outwit that.\And if we fail from being too rushed? Then what?\Either way, we need to escape before winter comes.\As soon as we break the tracking devices, let's execute our escape plan as quickly as possible. response:	That means we have to do what's necessary in the remaining ten days.
context: The shipment cycle is at least two months, so we should have about a month and a half.\I thought the plan was to carefully prepare during that time!\Yeah. Just as you thought that way, Mom's controlling us to think that way, too.\So we need to outwit that.\And if we fail from being too rushed? Then what?\Either way, we need to escape before winter comes.\As soon as we break the tracking devices, let's execute our escape plan as quickly as possible.\That means we have to do what's necessary in the remaining ten days. response:	Let's talk to Don and Gilda tonight.
context: I thought the plan was to carefully prepare during that time!\Yeah. Just as you thought that way, Mom's controlling us to think that way, too.\So we need to outwit that.\And if we fail from being too rushed? Then what?\Either way, we need to escape before winter comes.\As soon as we break the tracking devices, let's execute our escape plan as quickly as possible.\That means we have to do what's necessary in the remaining ten days.\Let's talk to Don and Gilda tonight. response:	Both of you, follow my lead.
context: Yeah. Just as you thought that way, Mom's controlling us to think that way, too.\So we need to outwit that.\And if we fail from being too rushed? Then what?\Either way, we need to escape before winter comes.\As soon as we break the tracking devices, let's execute our escape plan as quickly as possible.\That means we have to do what's necessary in the remaining ten days.\Let's talk to Don and Gilda tonight.\Both of you, follow my lead. response:	What did you want to talk about?
context: So we need to outwit that.\And if we fail from being too rushed? Then what?\Either way, we need to escape before winter comes.\As soon as we break the tracking devices, let's execute our escape plan as quickly as possible.\That means we have to do what's necessary in the remaining ten days.\Let's talk to Don and Gilda tonight.\Both of you, follow my lead.\What did you want to talk about? response:	What?
context: And if we fail from being too rushed? Then what?\Either way, we need to escape before winter comes.\As soon as we break the tracking devices, let's execute our escape plan as quickly as possible.\That means we have to do what's necessary in the remaining ten days.\Let's talk to Don and Gilda tonight.\Both of you, follow my lead.\What did you want to talk about?\What? response:	Human trafficking?
context: Either way, we need to escape before winter comes.\As soon as we break the tracking devices, let's execute our escape plan as quickly as possible.\That means we have to do what's necessary in the remaining ten days.\Let's talk to Don and Gilda tonight.\Both of you, follow my lead.\What did you want to talk about?\What?\Human trafficking? response:	Yeah. All of our siblings have been sold off to bad people.
context: As soon as we break the tracking devices, let's execute our escape plan as quickly as possible.\That means we have to do what's necessary in the remaining ten days.\Let's talk to Don and Gilda tonight.\Both of you, follow my lead.\What did you want to talk about?\What?\Human trafficking?\Yeah. All of our siblings have been sold off to bad people. response:	There's no way! No way!
context: That means we have to do what's necessary in the remaining ten days.\Let's talk to Don and Gilda tonight.\Both of you, follow my lead.\What did you want to talk about?\What?\Human trafficking?\Yeah. All of our siblings have been sold off to bad people.\There's no way! No way! response:	But the walls, the gate, and the siblings who left and never write us letters...
context: Let's talk to Don and Gilda tonight.\Both of you, follow my lead.\What did you want to talk about?\What?\Human trafficking?\Yeah. All of our siblings have been sold off to bad people.\There's no way! No way!\But the walls, the gate, and the siblings who left and never write us letters... response:	Oh come on, now.
context: Both of you, follow my lead.\What did you want to talk about?\What?\Human trafficking?\Yeah. All of our siblings have been sold off to bad people.\There's no way! No way!\But the walls, the gate, and the siblings who left and never write us letters...\Oh come on, now. response:	So what's the punch line? What kind of prank is this?
context: What did you want to talk about?\What?\Human trafficking?\Yeah. All of our siblings have been sold off to bad people.\There's no way! No way!\But the walls, the gate, and the siblings who left and never write us letters...\Oh come on, now.\So what's the punch line? What kind of prank is this? response:	You're not saying it's true, are you?
context: What?\Human trafficking?\Yeah. All of our siblings have been sold off to bad people.\There's no way! No way!\But the walls, the gate, and the siblings who left and never write us letters...\Oh come on, now.\So what's the punch line? What kind of prank is this?\You're not saying it's true, are you? response:	It's true.
context: Human trafficking?\Yeah. All of our siblings have been sold off to bad people.\There's no way! No way!\But the walls, the gate, and the siblings who left and never write us letters...\Oh come on, now.\So what's the punch line? What kind of prank is this?\You're not saying it's true, are you?\It's true. response:	Wait. Then what about Mom?
context: Yeah. All of our siblings have been sold off to bad people.\There's no way! No way!\But the walls, the gate, and the siblings who left and never write us letters...\Oh come on, now.\So what's the punch line? What kind of prank is this?\You're not saying it's true, are you?\It's true.\Wait. Then what about Mom? response:	She's the one...
context: There's no way! No way!\But the walls, the gate, and the siblings who left and never write us letters...\Oh come on, now.\So what's the punch line? What kind of prank is this?\You're not saying it's true, are you?\It's true.\Wait. Then what about Mom?\She's the one... response:	who's selling us to bad people.
context: But the walls, the gate, and the siblings who left and never write us letters...\Oh come on, now.\So what's the punch line? What kind of prank is this?\You're not saying it's true, are you?\It's true.\Wait. Then what about Mom?\She's the one...\who's selling us to bad people. response:	There's no way that kind Mom would do such a thing!
context: Oh come on, now.\So what's the punch line? What kind of prank is this?\You're not saying it's true, are you?\It's true.\Wait. Then what about Mom?\She's the one...\who's selling us to bad people.\There's no way that kind Mom would do such a thing! response:	Take it back, Emma!
context: So what's the punch line? What kind of prank is this?\You're not saying it's true, are you?\It's true.\Wait. Then what about Mom?\She's the one...\who's selling us to bad people.\There's no way that kind Mom would do such a thing!\Take it back, Emma! response:	Don.
context: You're not saying it's true, are you?\It's true.\Wait. Then what about Mom?\She's the one...\who's selling us to bad people.\There's no way that kind Mom would do such a thing!\Take it back, Emma!\Don. response:	Emma loves this House and Mom.
context: It's true.\Wait. Then what about Mom?\She's the one...\who's selling us to bad people.\There's no way that kind Mom would do such a thing!\Take it back, Emma!\Don.\Emma loves this House and Mom. response:	So there's no way she would lie about that.
context: Wait. Then what about Mom?\She's the one...\who's selling us to bad people.\There's no way that kind Mom would do such a thing!\Take it back, Emma!\Don.\Emma loves this House and Mom.\So there's no way she would lie about that. response:	Gilda.
context: She's the one...\who's selling us to bad people.\There's no way that kind Mom would do such a thing!\Take it back, Emma!\Don.\Emma loves this House and Mom.\So there's no way she would lie about that.\Gilda. response:	And I did think it was weird.
context: who's selling us to bad people.\There's no way that kind Mom would do such a thing!\Take it back, Emma!\Don.\Emma loves this House and Mom.\So there's no way she would lie about that.\Gilda.\And I did think it was weird. response:	The night Conny left...
context: There's no way that kind Mom would do such a thing!\Take it back, Emma!\Don.\Emma loves this House and Mom.\So there's no way she would lie about that.\Gilda.\And I did think it was weird.\The night Conny left... response:	Emma and Norman went to the gate, and...
context: Take it back, Emma!\Don.\Emma loves this House and Mom.\So there's no way she would lie about that.\Gilda.\And I did think it was weird.\The night Conny left...\Emma and Norman went to the gate, and... response:	You did?
context: Don.\Emma loves this House and Mom.\So there's no way she would lie about that.\Gilda.\And I did think it was weird.\The night Conny left...\Emma and Norman went to the gate, and...\You did? response:	Even if you broke the rules,
context: Emma loves this House and Mom.\So there's no way she would lie about that.\Gilda.\And I did think it was weird.\The night Conny left...\Emma and Norman went to the gate, and...\You did?\Even if you broke the rules, response:	both of you would usually apologize immediately, and everything would be back to normal.
context: So there's no way she would lie about that.\Gilda.\And I did think it was weird.\The night Conny left...\Emma and Norman went to the gate, and...\You did?\Even if you broke the rules,\both of you would usually apologize immediately, and everything would be back to normal. response:	But you haven't done that.
context: Gilda.\And I did think it was weird.\The night Conny left...\Emma and Norman went to the gate, and...\You did?\Even if you broke the rules,\both of you would usually apologize immediately, and everything would be back to normal.\But you haven't done that. response:	Emma, you've become so serious now.
context: And I did think it was weird.\The night Conny left...\Emma and Norman went to the gate, and...\You did?\Even if you broke the rules,\both of you would usually apologize immediately, and everything would be back to normal.\But you haven't done that.\Emma, you've become so serious now. response:	So I couldn't ask about it.
context: The night Conny left...\Emma and Norman went to the gate, and...\You did?\Even if you broke the rules,\both of you would usually apologize immediately, and everything would be back to normal.\But you haven't done that.\Emma, you've become so serious now.\So I couldn't ask about it. response:	I'm sorry. I'm sorry, Gilda.
context: Emma and Norman went to the gate, and...\You did?\Even if you broke the rules,\both of you would usually apologize immediately, and everything would be back to normal.\But you haven't done that.\Emma, you've become so serious now.\So I couldn't ask about it.\I'm sorry. I'm sorry, Gilda. response:	I made you worry.
