context: Listen, Miach! response:	Bell-kun... Bell-kun...
context: Really...\He's weird.\Hey, did you hear, Eina?\Another Soma Familia adventurer got in a fight with the money exchange.\I see.\Why are they always so desperate?\I don't know.\They sell plenty of drinks, so I can't imagine they're hard up for money... response:	Bell-sama, at your feet!
context: He's weird.\Hey, did you hear, Eina?\Another Soma Familia adventurer got in a fight with the money exchange.\I see.\Why are they always so desperate?\I don't know.\They sell plenty of drinks, so I can't imagine they're hard up for money...\Bell-sama, at your feet! response:	No!
context: Hey, did you hear, Eina?\Another Soma Familia adventurer got in a fight with the money exchange.\I see.\Why are they always so desperate?\I don't know.\They sell plenty of drinks, so I can't imagine they're hard up for money...\Bell-sama, at your feet!\No! response:	Oh, no.
context: Another Soma Familia adventurer got in a fight with the money exchange.\I see.\Why are they always so desperate?\I don't know.\They sell plenty of drinks, so I can't imagine they're hard up for money...\Bell-sama, at your feet!\No!\Oh, no. response:	I used my magic weapon!
context: I see.\Why are they always so desperate?\I don't know.\They sell plenty of drinks, so I can't imagine they're hard up for money...\Bell-sama, at your feet!\No!\Oh, no.\I used my magic weapon! response:	Bell-sama, are you okay?
context: Why are they always so desperate?\I don't know.\They sell plenty of drinks, so I can't imagine they're hard up for money...\Bell-sama, at your feet!\No!\Oh, no.\I used my magic weapon!\Bell-sama, are you okay? response:	Lili, thanks.
context: I don't know.\They sell plenty of drinks, so I can't imagine they're hard up for money...\Bell-sama, at your feet!\No!\Oh, no.\I used my magic weapon!\Bell-sama, are you okay?\Lili, thanks. response:	You saved me.
context: They sell plenty of drinks, so I can't imagine they're hard up for money...\Bell-sama, at your feet!\No!\Oh, no.\I used my magic weapon!\Bell-sama, are you okay?\Lili, thanks.\You saved me. response:	Hey, Lili, you just used magic, didn't you?
context: Bell-sama, at your feet!\No!\Oh, no.\I used my magic weapon!\Bell-sama, are you okay?\Lili, thanks.\You saved me.\Hey, Lili, you just used magic, didn't you? response:	No, that was a magic weapon.
context: No!\Oh, no.\I used my magic weapon!\Bell-sama, are you okay?\Lili, thanks.\You saved me.\Hey, Lili, you just used magic, didn't you?\No, that was a magic weapon. response:	A magic weapon?!
context: Oh, no.\I used my magic weapon!\Bell-sama, are you okay?\Lili, thanks.\You saved me.\Hey, Lili, you just used magic, didn't you?\No, that was a magic weapon.\A magic weapon?! response:	You used something that valuable for my sake?
context: I used my magic weapon!\Bell-sama, are you okay?\Lili, thanks.\You saved me.\Hey, Lili, you just used magic, didn't you?\No, that was a magic weapon.\A magic weapon?!\You used something that valuable for my sake? response:	Thank you!
context: Bell-sama, are you okay?\Lili, thanks.\You saved me.\Hey, Lili, you just used magic, didn't you?\No, that was a magic weapon.\A magic weapon?!\You used something that valuable for my sake?\Thank you! response:	W-Well... I, uh...
context: Lili, thanks.\You saved me.\Hey, Lili, you just used magic, didn't you?\No, that was a magic weapon.\A magic weapon?!\You used something that valuable for my sake?\Thank you!\W-Well... I, uh... response:	I'm glad to do it for you.
context: You saved me.\Hey, Lili, you just used magic, didn't you?\No, that was a magic weapon.\A magic weapon?!\You used something that valuable for my sake?\Thank you!\W-Well... I, uh...\I'm glad to do it for you. response:	Isn't magic amazing?
context: Hey, Lili, you just used magic, didn't you?\No, that was a magic weapon.\A magic weapon?!\You used something that valuable for my sake?\Thank you!\W-Well... I, uh...\I'm glad to do it for you.\Isn't magic amazing? response:	Here.
context: No, that was a magic weapon.\A magic weapon?!\You used something that valuable for my sake?\Thank you!\W-Well... I, uh...\I'm glad to do it for you.\Isn't magic amazing?\Here. response:	I got this as a present, but...
context: A magic weapon?!\You used something that valuable for my sake?\Thank you!\W-Well... I, uh...\I'm glad to do it for you.\Isn't magic amazing?\Here.\I got this as a present, but... response:	Thank you.
context: You used something that valuable for my sake?\Thank you!\W-Well... I, uh...\I'm glad to do it for you.\Isn't magic amazing?\Here.\I got this as a present, but...\Thank you. response:	Um, Bell-sama...
