context: You left the Wulgaru to deliver that information to Earth? response:	We meet again!
context: If we did not act, our species would begin to decline.\We would genetically deteriorate until eventually going extinct.\Furthermore, all scientific endeavors to\artificially extend our lives ended in failure.\That is why we began a new experiment.\For the experiment,\we conducted artificial genetic engineering to\encourage our genes to advance response:	and then released these genes across the universe.
context: We would genetically deteriorate until eventually going extinct.\Furthermore, all scientific endeavors to\artificially extend our lives ended in failure.\That is why we began a new experiment.\For the experiment,\we conducted artificial genetic engineering to\encourage our genes to advance\and then released these genes across the universe. response:	When exposed to different planets and environments,
context: Furthermore, all scientific endeavors to\artificially extend our lives ended in failure.\That is why we began a new experiment.\For the experiment,\we conducted artificial genetic engineering to\encourage our genes to advance\and then released these genes across the universe.\When exposed to different planets and environments, response:	we anticipated that the genes would create their own ecosystems.
context: artificially extend our lives ended in failure.\That is why we began a new experiment.\For the experiment,\we conducted artificial genetic engineering to\encourage our genes to advance\and then released these genes across the universe.\When exposed to different planets and environments,\we anticipated that the genes would create their own ecosystems. response:	We believed that some may evolve to such lengths
context: That is why we began a new experiment.\For the experiment,\we conducted artificial genetic engineering to\encourage our genes to advance\and then released these genes across the universe.\When exposed to different planets and environments,\we anticipated that the genes would create their own ecosystems.\We believed that some may evolve to such lengths response:	that they could supplement the Wulgaru's depleting vitality.
context: For the experiment,\we conducted artificial genetic engineering to\encourage our genes to advance\and then released these genes across the universe.\When exposed to different planets and environments,\we anticipated that the genes would create their own ecosystems.\We believed that some may evolve to such lengths\that they could supplement the Wulgaru's depleting vitality. response:	In other words, you were sowing your species' seeds?
context: we conducted artificial genetic engineering to\encourage our genes to advance\and then released these genes across the universe.\When exposed to different planets and environments,\we anticipated that the genes would create their own ecosystems.\We believed that some may evolve to such lengths\that they could supplement the Wulgaru's depleting vitality.\In other words, you were sowing your species' seeds? response:	The project was a success.
context: encourage our genes to advance\and then released these genes across the universe.\When exposed to different planets and environments,\we anticipated that the genes would create their own ecosystems.\We believed that some may evolve to such lengths\that they could supplement the Wulgaru's depleting vitality.\In other words, you were sowing your species' seeds?\The project was a success. response:	The genes that we had dispersed throughout space
context: and then released these genes across the universe.\When exposed to different planets and environments,\we anticipated that the genes would create their own ecosystems.\We believed that some may evolve to such lengths\that they could supplement the Wulgaru's depleting vitality.\In other words, you were sowing your species' seeds?\The project was a success.\The genes that we had dispersed throughout space response:	developed independently of each other.
context: When exposed to different planets and environments,\we anticipated that the genes would create their own ecosystems.\We believed that some may evolve to such lengths\that they could supplement the Wulgaru's depleting vitality.\In other words, you were sowing your species' seeds?\The project was a success.\The genes that we had dispersed throughout space\developed independently of each other. response:	We are currently harvesting those genes
context: we anticipated that the genes would create their own ecosystems.\We believed that some may evolve to such lengths\that they could supplement the Wulgaru's depleting vitality.\In other words, you were sowing your species' seeds?\The project was a success.\The genes that we had dispersed throughout space\developed independently of each other.\We are currently harvesting those genes response:	and using them to extend our own lives.
context: We believed that some may evolve to such lengths\that they could supplement the Wulgaru's depleting vitality.\In other words, you were sowing your species' seeds?\The project was a success.\The genes that we had dispersed throughout space\developed independently of each other.\We are currently harvesting those genes\and using them to extend our own lives. response:	We travel through the Space Passage that connects the planets,
context: that they could supplement the Wulgaru's depleting vitality.\In other words, you were sowing your species' seeds?\The project was a success.\The genes that we had dispersed throughout space\developed independently of each other.\We are currently harvesting those genes\and using them to extend our own lives.\We travel through the Space Passage that connects the planets, response:	which is how we originally dispersed the genes.
context: In other words, you were sowing your species' seeds?\The project was a success.\The genes that we had dispersed throughout space\developed independently of each other.\We are currently harvesting those genes\and using them to extend our own lives.\We travel through the Space Passage that connects the planets,\which is how we originally dispersed the genes. response:	Once we find the evolved species, we begin to recover them.
context: The project was a success.\The genes that we had dispersed throughout space\developed independently of each other.\We are currently harvesting those genes\and using them to extend our own lives.\We travel through the Space Passage that connects the planets,\which is how we originally dispersed the genes.\Once we find the evolved species, we begin to recover them. response:	We refer to this act as Hunting.
context: The genes that we had dispersed throughout space\developed independently of each other.\We are currently harvesting those genes\and using them to extend our own lives.\We travel through the Space Passage that connects the planets,\which is how we originally dispersed the genes.\Once we find the evolved species, we begin to recover them.\We refer to this act as Hunting. response:	Hunting...
context: developed independently of each other.\We are currently harvesting those genes\and using them to extend our own lives.\We travel through the Space Passage that connects the planets,\which is how we originally dispersed the genes.\Once we find the evolved species, we begin to recover them.\We refer to this act as Hunting.\Hunting... response:	Do the Wulgaru view Earthlings as prey to hunt?
context: We are currently harvesting those genes\and using them to extend our own lives.\We travel through the Space Passage that connects the planets,\which is how we originally dispersed the genes.\Once we find the evolved species, we begin to recover them.\We refer to this act as Hunting.\Hunting...\Do the Wulgaru view Earthlings as prey to hunt? response:	In order to maintain fishery resources,
context: and using them to extend our own lives.\We travel through the Space Passage that connects the planets,\which is how we originally dispersed the genes.\Once we find the evolved species, we begin to recover them.\We refer to this act as Hunting.\Hunting...\Do the Wulgaru view Earthlings as prey to hunt?\In order to maintain fishery resources, response:	we release juvenile fish and encourage breeding.
context: We travel through the Space Passage that connects the planets,\which is how we originally dispersed the genes.\Once we find the evolved species, we begin to recover them.\We refer to this act as Hunting.\Hunting...\Do the Wulgaru view Earthlings as prey to hunt?\In order to maintain fishery resources,\we release juvenile fish and encourage breeding. response:	It's the same thing.
context: which is how we originally dispersed the genes.\Once we find the evolved species, we begin to recover them.\We refer to this act as Hunting.\Hunting...\Do the Wulgaru view Earthlings as prey to hunt?\In order to maintain fishery resources,\we release juvenile fish and encourage breeding.\It's the same thing. response:	So humans are one of the
context: Once we find the evolved species, we begin to recover them.\We refer to this act as Hunting.\Hunting...\Do the Wulgaru view Earthlings as prey to hunt?\In order to maintain fishery resources,\we release juvenile fish and encourage breeding.\It's the same thing.\So humans are one of the response:	races that the Wulgaru created just to hunt down?
context: We refer to this act as Hunting.\Hunting...\Do the Wulgaru view Earthlings as prey to hunt?\In order to maintain fishery resources,\we release juvenile fish and encourage breeding.\It's the same thing.\So humans are one of the\races that the Wulgaru created just to hunt down? response:	That is right.
context: Hunting...\Do the Wulgaru view Earthlings as prey to hunt?\In order to maintain fishery resources,\we release juvenile fish and encourage breeding.\It's the same thing.\So humans are one of the\races that the Wulgaru created just to hunt down?\That is right. response:	However, there are some in Wulgaru who stand
context: Do the Wulgaru view Earthlings as prey to hunt?\In order to maintain fishery resources,\we release juvenile fish and encourage breeding.\It's the same thing.\So humans are one of the\races that the Wulgaru created just to hunt down?\That is right.\However, there are some in Wulgaru who stand response:	in opposition to these hunts.
context: In order to maintain fishery resources,\we release juvenile fish and encourage breeding.\It's the same thing.\So humans are one of the\races that the Wulgaru created just to hunt down?\That is right.\However, there are some in Wulgaru who stand\in opposition to these hunts. response:	My mother was one such person.
context: we release juvenile fish and encourage breeding.\It's the same thing.\So humans are one of the\races that the Wulgaru created just to hunt down?\That is right.\However, there are some in Wulgaru who stand\in opposition to these hunts.\My mother was one such person. response:	What?
context: It's the same thing.\So humans are one of the\races that the Wulgaru created just to hunt down?\That is right.\However, there are some in Wulgaru who stand\in opposition to these hunts.\My mother was one such person.\What? response:	It pained my mother's heart
context: So humans are one of the\races that the Wulgaru created just to hunt down?\That is right.\However, there are some in Wulgaru who stand\in opposition to these hunts.\My mother was one such person.\What?\It pained my mother's heart response:	to see the Wulgaru annihilate various races
context: races that the Wulgaru created just to hunt down?\That is right.\However, there are some in Wulgaru who stand\in opposition to these hunts.\My mother was one such person.\What?\It pained my mother's heart\to see the Wulgaru annihilate various races response:	and treat them as nothing more than food.
context: That is right.\However, there are some in Wulgaru who stand\in opposition to these hunts.\My mother was one such person.\What?\It pained my mother's heart\to see the Wulgaru annihilate various races\and treat them as nothing more than food. response:	Even if you were originally planted for harvest,
context: However, there are some in Wulgaru who stand\in opposition to these hunts.\My mother was one such person.\What?\It pained my mother's heart\to see the Wulgaru annihilate various races\and treat them as nothing more than food.\Even if you were originally planted for harvest, response:	those who have evolved possess their own futures
context: in opposition to these hunts.\My mother was one such person.\What?\It pained my mother's heart\to see the Wulgaru annihilate various races\and treat them as nothing more than food.\Even if you were originally planted for harvest,\those who have evolved possess their own futures response:	as well as their own lives.
context: My mother was one such person.\What?\It pained my mother's heart\to see the Wulgaru annihilate various races\and treat them as nothing more than food.\Even if you were originally planted for harvest,\those who have evolved possess their own futures\as well as their own lives. response:	We have no right to steal that!
context: What?\It pained my mother's heart\to see the Wulgaru annihilate various races\and treat them as nothing more than food.\Even if you were originally planted for harvest,\those who have evolved possess their own futures\as well as their own lives.\We have no right to steal that! response:	Got that right! We aren't food!
context: It pained my mother's heart\to see the Wulgaru annihilate various races\and treat them as nothing more than food.\Even if you were originally planted for harvest,\those who have evolved possess their own futures\as well as their own lives.\We have no right to steal that!\Got that right! We aren't food! response:	Silence!
context: to see the Wulgaru annihilate various races\and treat them as nothing more than food.\Even if you were originally planted for harvest,\those who have evolved possess their own futures\as well as their own lives.\We have no right to steal that!\Got that right! We aren't food!\Silence! response:	I slipped away under my mother's bidding.
context: and treat them as nothing more than food.\Even if you were originally planted for harvest,\those who have evolved possess their own futures\as well as their own lives.\We have no right to steal that!\Got that right! We aren't food!\Silence!\I slipped away under my mother's bidding. response:	The Wulgaru's next target was to be Earth.
context: Even if you were originally planted for harvest,\those who have evolved possess their own futures\as well as their own lives.\We have no right to steal that!\Got that right! We aren't food!\Silence!\I slipped away under my mother's bidding.\The Wulgaru's next target was to be Earth. response:	I came to warn Earth of the impending Wulgaru threat.
context: those who have evolved possess their own futures\as well as their own lives.\We have no right to steal that!\Got that right! We aren't food!\Silence!\I slipped away under my mother's bidding.\The Wulgaru's next target was to be Earth.\I came to warn Earth of the impending Wulgaru threat. response:	Also, I came to inform your people
context: as well as their own lives.\We have no right to steal that!\Got that right! We aren't food!\Silence!\I slipped away under my mother's bidding.\The Wulgaru's next target was to be Earth.\I came to warn Earth of the impending Wulgaru threat.\Also, I came to inform your people response:	how to take countermeasures against the Wulgaru.
context: We have no right to steal that!\Got that right! We aren't food!\Silence!\I slipped away under my mother's bidding.\The Wulgaru's next target was to be Earth.\I came to warn Earth of the impending Wulgaru threat.\Also, I came to inform your people\how to take countermeasures against the Wulgaru. response:	You mean the AHSMB, right?
context: Got that right! We aren't food!\Silence!\I slipped away under my mother's bidding.\The Wulgaru's next target was to be Earth.\I came to warn Earth of the impending Wulgaru threat.\Also, I came to inform your people\how to take countermeasures against the Wulgaru.\You mean the AHSMB, right? response:	I shall take over from here.
context: Silence!\I slipped away under my mother's bidding.\The Wulgaru's next target was to be Earth.\I came to warn Earth of the impending Wulgaru threat.\Also, I came to inform your people\how to take countermeasures against the Wulgaru.\You mean the AHSMB, right?\I shall take over from here. response:	Earth first encountered Teoria and her
context: I slipped away under my mother's bidding.\The Wulgaru's next target was to be Earth.\I came to warn Earth of the impending Wulgaru threat.\Also, I came to inform your people\how to take countermeasures against the Wulgaru.\You mean the AHSMB, right?\I shall take over from here.\Earth first encountered Teoria and her response:	attendant shortly after the MJP's birth.
context: The Wulgaru's next target was to be Earth.\I came to warn Earth of the impending Wulgaru threat.\Also, I came to inform your people\how to take countermeasures against the Wulgaru.\You mean the AHSMB, right?\I shall take over from here.\Earth first encountered Teoria and her\attendant shortly after the MJP's birth. response:	The MJP was originally a project system
context: I came to warn Earth of the impending Wulgaru threat.\Also, I came to inform your people\how to take countermeasures against the Wulgaru.\You mean the AHSMB, right?\I shall take over from here.\Earth first encountered Teoria and her\attendant shortly after the MJP's birth.\The MJP was originally a project system response:	meant to cultivate humans fit for space life.
context: Also, I came to inform your people\how to take countermeasures against the Wulgaru.\You mean the AHSMB, right?\I shall take over from here.\Earth first encountered Teoria and her\attendant shortly after the MJP's birth.\The MJP was originally a project system\meant to cultivate humans fit for space life. response:	But upon learning of the Wulgaru invasion,
context: how to take countermeasures against the Wulgaru.\You mean the AHSMB, right?\I shall take over from here.\Earth first encountered Teoria and her\attendant shortly after the MJP's birth.\The MJP was originally a project system\meant to cultivate humans fit for space life.\But upon learning of the Wulgaru invasion, response:	it turned into an organization bent on preparing for the upcoming war.
context: You mean the AHSMB, right?\I shall take over from here.\Earth first encountered Teoria and her\attendant shortly after the MJP's birth.\The MJP was originally a project system\meant to cultivate humans fit for space life.\But upon learning of the Wulgaru invasion,\it turned into an organization bent on preparing for the upcoming war. response:	The MJP was chosen because our research on human activity in space
context: I shall take over from here.\Earth first encountered Teoria and her\attendant shortly after the MJP's birth.\The MJP was originally a project system\meant to cultivate humans fit for space life.\But upon learning of the Wulgaru invasion,\it turned into an organization bent on preparing for the upcoming war.\The MJP was chosen because our research on human activity in space response:	was the most advanced at that time.
context: Earth first encountered Teoria and her\attendant shortly after the MJP's birth.\The MJP was originally a project system\meant to cultivate humans fit for space life.\But upon learning of the Wulgaru invasion,\it turned into an organization bent on preparing for the upcoming war.\The MJP was chosen because our research on human activity in space\was the most advanced at that time. response:	The project was split into two.
context: attendant shortly after the MJP's birth.\The MJP was originally a project system\meant to cultivate humans fit for space life.\But upon learning of the Wulgaru invasion,\it turned into an organization bent on preparing for the upcoming war.\The MJP was chosen because our research on human activity in space\was the most advanced at that time.\The project was split into two. response:	One part focused on developing weapons
context: The MJP was originally a project system\meant to cultivate humans fit for space life.\But upon learning of the Wulgaru invasion,\it turned into an organization bent on preparing for the upcoming war.\The MJP was chosen because our research on human activity in space\was the most advanced at that time.\The project was split into two.\One part focused on developing weapons response:	while the other focused on raising humans
context: meant to cultivate humans fit for space life.\But upon learning of the Wulgaru invasion,\it turned into an organization bent on preparing for the upcoming war.\The MJP was chosen because our research on human activity in space\was the most advanced at that time.\The project was split into two.\One part focused on developing weapons\while the other focused on raising humans response:	who could wield those weapons.
context: But upon learning of the Wulgaru invasion,\it turned into an organization bent on preparing for the upcoming war.\The MJP was chosen because our research on human activity in space\was the most advanced at that time.\The project was split into two.\One part focused on developing weapons\while the other focused on raising humans\who could wield those weapons. response:	Developing the AHSMB units proved extremely difficult.
context: it turned into an organization bent on preparing for the upcoming war.\The MJP was chosen because our research on human activity in space\was the most advanced at that time.\The project was split into two.\One part focused on developing weapons\while the other focused on raising humans\who could wield those weapons.\Developing the AHSMB units proved extremely difficult. response:	We had to modify alien
context: The MJP was chosen because our research on human activity in space\was the most advanced at that time.\The project was split into two.\One part focused on developing weapons\while the other focused on raising humans\who could wield those weapons.\Developing the AHSMB units proved extremely difficult.\We had to modify alien response:	science to work well with the human body.
context: was the most advanced at that time.\The project was split into two.\One part focused on developing weapons\while the other focused on raising humans\who could wield those weapons.\Developing the AHSMB units proved extremely difficult.\We had to modify alien\science to work well with the human body. response:	The technology that made this possible was the JURIA-SYSTEM.
context: The project was split into two.\One part focused on developing weapons\while the other focused on raising humans\who could wield those weapons.\Developing the AHSMB units proved extremely difficult.\We had to modify alien\science to work well with the human body.\The technology that made this possible was the JURIA-SYSTEM. response:	After countless failures,
context: One part focused on developing weapons\while the other focused on raising humans\who could wield those weapons.\Developing the AHSMB units proved extremely difficult.\We had to modify alien\science to work well with the human body.\The technology that made this possible was the JURIA-SYSTEM.\After countless failures, response:	we only recently developed units that could be used in actual combat.
context: while the other focused on raising humans\who could wield those weapons.\Developing the AHSMB units proved extremely difficult.\We had to modify alien\science to work well with the human body.\The technology that made this possible was the JURIA-SYSTEM.\After countless failures,\we only recently developed units that could be used in actual combat. response:	The organization entrusted with these units was also the MJP.
context: who could wield those weapons.\Developing the AHSMB units proved extremely difficult.\We had to modify alien\science to work well with the human body.\The technology that made this possible was the JURIA-SYSTEM.\After countless failures,\we only recently developed units that could be used in actual combat.\The organization entrusted with these units was also the MJP. response:	This is roughly when the Wulgaru appeared around Jupiter.
context: Developing the AHSMB units proved extremely difficult.\We had to modify alien\science to work well with the human body.\The technology that made this possible was the JURIA-SYSTEM.\After countless failures,\we only recently developed units that could be used in actual combat.\The organization entrusted with these units was also the MJP.\This is roughly when the Wulgaru appeared around Jupiter. response:	We had just barely completed them in time.
context: We had to modify alien\science to work well with the human body.\The technology that made this possible was the JURIA-SYSTEM.\After countless failures,\we only recently developed units that could be used in actual combat.\The organization entrusted with these units was also the MJP.\This is roughly when the Wulgaru appeared around Jupiter.\We had just barely completed them in time. response:	Currently, these two assist
context: science to work well with the human body.\The technology that made this possible was the JURIA-SYSTEM.\After countless failures,\we only recently developed units that could be used in actual combat.\The organization entrusted with these units was also the MJP.\This is roughly when the Wulgaru appeared around Jupiter.\We had just barely completed them in time.\Currently, these two assist response:	the MJP by serving as something akin to technology consultants.
context: The technology that made this possible was the JURIA-SYSTEM.\After countless failures,\we only recently developed units that could be used in actual combat.\The organization entrusted with these units was also the MJP.\This is roughly when the Wulgaru appeared around Jupiter.\We had just barely completed them in time.\Currently, these two assist\the MJP by serving as something akin to technology consultants. response:	Naturally, only a select few individuals are privy to such information.
context: After countless failures,\we only recently developed units that could be used in actual combat.\The organization entrusted with these units was also the MJP.\This is roughly when the Wulgaru appeared around Jupiter.\We had just barely completed them in time.\Currently, these two assist\the MJP by serving as something akin to technology consultants.\Naturally, only a select few individuals are privy to such information. response:	However, there is a reason why
context: we only recently developed units that could be used in actual combat.\The organization entrusted with these units was also the MJP.\This is roughly when the Wulgaru appeared around Jupiter.\We had just barely completed them in time.\Currently, these two assist\the MJP by serving as something akin to technology consultants.\Naturally, only a select few individuals are privy to such information.\However, there is a reason why response:	we have decided to make an exception and divulge this information to you.
context: The organization entrusted with these units was also the MJP.\This is roughly when the Wulgaru appeared around Jupiter.\We had just barely completed them in time.\Currently, these two assist\the MJP by serving as something akin to technology consultants.\Naturally, only a select few individuals are privy to such information.\However, there is a reason why\we have decided to make an exception and divulge this information to you. response:	We have already showed you the
context: This is roughly when the Wulgaru appeared around Jupiter.\We had just barely completed them in time.\Currently, these two assist\the MJP by serving as something akin to technology consultants.\Naturally, only a select few individuals are privy to such information.\However, there is a reason why\we have decided to make an exception and divulge this information to you.\We have already showed you the response:	footage from when Red 5 fought a Wulgaru fighter.
