context: Loss response:	You're reassigning me as an instructor?
context: You will undergo special training\before taking your post in Gurantseere Cosmopolitan Academy.\You were an exceptional pilot.\This is the optimum post for making the most of those skills.\The MJP Project was founded in GC 35 to develop humans suited for space life.\With the Wulgaru invasion,\it was decided that those over the age of 12 were to become pilots.\They were transferred to Gurantseere Cosmopolitan Academy. response:	Open SPIRITS
context: before taking your post in Gurantseere Cosmopolitan Academy.\You were an exceptional pilot.\This is the optimum post for making the most of those skills.\The MJP Project was founded in GC 35 to develop humans suited for space life.\With the Wulgaru invasion,\it was decided that those over the age of 12 were to become pilots.\They were transferred to Gurantseere Cosmopolitan Academy.\Open SPIRITS response:	Congratulations!
context: You were an exceptional pilot.\This is the optimum post for making the most of those skills.\The MJP Project was founded in GC 35 to develop humans suited for space life.\With the Wulgaru invasion,\it was decided that those over the age of 12 were to become pilots.\They were transferred to Gurantseere Cosmopolitan Academy.\Open SPIRITS\Congratulations! response:	This isn't the sort of thing you celebrate.
context: This is the optimum post for making the most of those skills.\The MJP Project was founded in GC 35 to develop humans suited for space life.\With the Wulgaru invasion,\it was decided that those over the age of 12 were to become pilots.\They were transferred to Gurantseere Cosmopolitan Academy.\Open SPIRITS\Congratulations!\This isn't the sort of thing you celebrate. response:	How could you say that? Aren't you embarking on a new journey?
context: The MJP Project was founded in GC 35 to develop humans suited for space life.\With the Wulgaru invasion,\it was decided that those over the age of 12 were to become pilots.\They were transferred to Gurantseere Cosmopolitan Academy.\Open SPIRITS\Congratulations!\This isn't the sort of thing you celebrate.\How could you say that? Aren't you embarking on a new journey? response:	My job is to train children who were genetically
context: With the Wulgaru invasion,\it was decided that those over the age of 12 were to become pilots.\They were transferred to Gurantseere Cosmopolitan Academy.\Open SPIRITS\Congratulations!\This isn't the sort of thing you celebrate.\How could you say that? Aren't you embarking on a new journey?\My job is to train children who were genetically response:	altered before birth to fight on the frontline!
context: it was decided that those over the age of 12 were to become pilots.\They were transferred to Gurantseere Cosmopolitan Academy.\Open SPIRITS\Congratulations!\This isn't the sort of thing you celebrate.\How could you say that? Aren't you embarking on a new journey?\My job is to train children who were genetically\altered before birth to fight on the frontline! response:	It's depressing...
context: They were transferred to Gurantseere Cosmopolitan Academy.\Open SPIRITS\Congratulations!\This isn't the sort of thing you celebrate.\How could you say that? Aren't you embarking on a new journey?\My job is to train children who were genetically\altered before birth to fight on the frontline!\It's depressing... response:	Those children were temporarily left in the care of foster parents,
context: Open SPIRITS\Congratulations!\This isn't the sort of thing you celebrate.\How could you say that? Aren't you embarking on a new journey?\My job is to train children who were genetically\altered before birth to fight on the frontline!\It's depressing...\Those children were temporarily left in the care of foster parents, response:	but we're going to erase all of their personal
context: Congratulations!\This isn't the sort of thing you celebrate.\How could you say that? Aren't you embarking on a new journey?\My job is to train children who were genetically\altered before birth to fight on the frontline!\It's depressing...\Those children were temporarily left in the care of foster parents,\but we're going to erase all of their personal response:	memories before they start school.
context: This isn't the sort of thing you celebrate.\How could you say that? Aren't you embarking on a new journey?\My job is to train children who were genetically\altered before birth to fight on the frontline!\It's depressing...\Those children were temporarily left in the care of foster parents,\but we're going to erase all of their personal\memories before they start school. response:	I wonder if that's so they won't regret leaving their old lives behind.
context: How could you say that? Aren't you embarking on a new journey?\My job is to train children who were genetically\altered before birth to fight on the frontline!\It's depressing...\Those children were temporarily left in the care of foster parents,\but we're going to erase all of their personal\memories before they start school.\I wonder if that's so they won't regret leaving their old lives behind. response:	Dealing with kids that lack both a past and future...
context: My job is to train children who were genetically\altered before birth to fight on the frontline!\It's depressing...\Those children were temporarily left in the care of foster parents,\but we're going to erase all of their personal\memories before they start school.\I wonder if that's so they won't regret leaving their old lives behind.\Dealing with kids that lack both a past and future... response:	I don't know if I can take it.
context: altered before birth to fight on the frontline!\It's depressing...\Those children were temporarily left in the care of foster parents,\but we're going to erase all of their personal\memories before they start school.\I wonder if that's so they won't regret leaving their old lives behind.\Dealing with kids that lack both a past and future...\I don't know if I can take it. response:	Excuse me! Gimme another medium-sized beer!
context: It's depressing...\Those children were temporarily left in the care of foster parents,\but we're going to erase all of their personal\memories before they start school.\I wonder if that's so they won't regret leaving their old lives behind.\Dealing with kids that lack both a past and future...\I don't know if I can take it.\Excuse me! Gimme another medium-sized beer! response:	Are you even listening?
context: Those children were temporarily left in the care of foster parents,\but we're going to erase all of their personal\memories before they start school.\I wonder if that's so they won't regret leaving their old lives behind.\Dealing with kids that lack both a past and future...\I don't know if I can take it.\Excuse me! Gimme another medium-sized beer!\Are you even listening? response:	Actually, screw that. Gimme a bottle of premium sake!
context: but we're going to erase all of their personal\memories before they start school.\I wonder if that's so they won't regret leaving their old lives behind.\Dealing with kids that lack both a past and future...\I don't know if I can take it.\Excuse me! Gimme another medium-sized beer!\Are you even listening?\Actually, screw that. Gimme a bottle of premium sake! response:	But isn't that why they chose you, Rin-Rin?
context: memories before they start school.\I wonder if that's so they won't regret leaving their old lives behind.\Dealing with kids that lack both a past and future...\I don't know if I can take it.\Excuse me! Gimme another medium-sized beer!\Are you even listening?\Actually, screw that. Gimme a bottle of premium sake!\But isn't that why they chose you, Rin-Rin? response:	True, my piloting and fighting days are over...
context: I wonder if that's so they won't regret leaving their old lives behind.\Dealing with kids that lack both a past and future...\I don't know if I can take it.\Excuse me! Gimme another medium-sized beer!\Are you even listening?\Actually, screw that. Gimme a bottle of premium sake!\But isn't that why they chose you, Rin-Rin?\True, my piloting and fighting days are over... response:	This is the only job left for me.
context: Dealing with kids that lack both a past and future...\I don't know if I can take it.\Excuse me! Gimme another medium-sized beer!\Are you even listening?\Actually, screw that. Gimme a bottle of premium sake!\But isn't that why they chose you, Rin-Rin?\True, my piloting and fighting days are over...\This is the only job left for me. response:	But didn't you make it back alive?
context: I don't know if I can take it.\Excuse me! Gimme another medium-sized beer!\Are you even listening?\Actually, screw that. Gimme a bottle of premium sake!\But isn't that why they chose you, Rin-Rin?\True, my piloting and fighting days are over...\This is the only job left for me.\But didn't you make it back alive? response:	You were the only survivor when your unit got destroyed.
context: Excuse me! Gimme another medium-sized beer!\Are you even listening?\Actually, screw that. Gimme a bottle of premium sake!\But isn't that why they chose you, Rin-Rin?\True, my piloting and fighting days are over...\This is the only job left for me.\But didn't you make it back alive?\You were the only survivor when your unit got destroyed. response:	Why don't you pass on those survival skills?
context: Are you even listening?\Actually, screw that. Gimme a bottle of premium sake!\But isn't that why they chose you, Rin-Rin?\True, my piloting and fighting days are over...\This is the only job left for me.\But didn't you make it back alive?\You were the only survivor when your unit got destroyed.\Why don't you pass on those survival skills? response:	Okay?
context: Actually, screw that. Gimme a bottle of premium sake!\But isn't that why they chose you, Rin-Rin?\True, my piloting and fighting days are over...\This is the only job left for me.\But didn't you make it back alive?\You were the only survivor when your unit got destroyed.\Why don't you pass on those survival skills?\Okay? response:	Did you get that?
context: But isn't that why they chose you, Rin-Rin?\True, my piloting and fighting days are over...\This is the only job left for me.\But didn't you make it back alive?\You were the only survivor when your unit got destroyed.\Why don't you pass on those survival skills?\Okay?\Did you get that? response:	Thanks to the Ioness Theory,
context: True, my piloting and fighting days are over...\This is the only job left for me.\But didn't you make it back alive?\You were the only survivor when your unit got destroyed.\Why don't you pass on those survival skills?\Okay?\Did you get that?\Thanks to the Ioness Theory, response:	there was a substantial boost in engine efficiency.
context: This is the only job left for me.\But didn't you make it back alive?\You were the only survivor when your unit got destroyed.\Why don't you pass on those survival skills?\Okay?\Did you get that?\Thanks to the Ioness Theory,\there was a substantial boost in engine efficiency. response:	However, the human reaction time for those piloting the-
context: But didn't you make it back alive?\You were the only survivor when your unit got destroyed.\Why don't you pass on those survival skills?\Okay?\Did you get that?\Thanks to the Ioness Theory,\there was a substantial boost in engine efficiency.\However, the human reaction time for those piloting the- response:	What are you doing in the middle of class?
context: You were the only survivor when your unit got destroyed.\Why don't you pass on those survival skills?\Okay?\Did you get that?\Thanks to the Ioness Theory,\there was a substantial boost in engine efficiency.\However, the human reaction time for those piloting the-\What are you doing in the middle of class? response:	Uh, well, you see...!
context: Why don't you pass on those survival skills?\Okay?\Did you get that?\Thanks to the Ioness Theory,\there was a substantial boost in engine efficiency.\However, the human reaction time for those piloting the-\What are you doing in the middle of class?\Uh, well, you see...! response:	Well?
context: Okay?\Did you get that?\Thanks to the Ioness Theory,\there was a substantial boost in engine efficiency.\However, the human reaction time for those piloting the-\What are you doing in the middle of class?\Uh, well, you see...!\Well? response:	Ah, umm, well...
context: Did you get that?\Thanks to the Ioness Theory,\there was a substantial boost in engine efficiency.\However, the human reaction time for those piloting the-\What are you doing in the middle of class?\Uh, well, you see...!\Well?\Ah, umm, well... response:	S-sorry, I didn't mean it like that.
context: Thanks to the Ioness Theory,\there was a substantial boost in engine efficiency.\However, the human reaction time for those piloting the-\What are you doing in the middle of class?\Uh, well, you see...!\Well?\Ah, umm, well...\S-sorry, I didn't mean it like that. response:	Sorry, my bad!
context: there was a substantial boost in engine efficiency.\However, the human reaction time for those piloting the-\What are you doing in the middle of class?\Uh, well, you see...!\Well?\Ah, umm, well...\S-sorry, I didn't mean it like that.\Sorry, my bad! response:	Poopy.
context: However, the human reaction time for those piloting the-\What are you doing in the middle of class?\Uh, well, you see...!\Well?\Ah, umm, well...\S-sorry, I didn't mean it like that.\Sorry, my bad!\Poopy. response:	Oh, my God!
context: What are you doing in the middle of class?\Uh, well, you see...!\Well?\Ah, umm, well...\S-sorry, I didn't mean it like that.\Sorry, my bad!\Poopy.\Oh, my God! response:	Your bodyline is like that of a beautiful Steyr.
context: Uh, well, you see...!\Well?\Ah, umm, well...\S-sorry, I didn't mean it like that.\Sorry, my bad!\Poopy.\Oh, my God!\Your bodyline is like that of a beautiful Steyr. response:	You've shot my heart with your hot loaded armor-piercing bullets,
context: Well?\Ah, umm, well...\S-sorry, I didn't mean it like that.\Sorry, my bad!\Poopy.\Oh, my God!\Your bodyline is like that of a beautiful Steyr.\You've shot my heart with your hot loaded armor-piercing bullets, response:	knocking me down!
context: Ah, umm, well...\S-sorry, I didn't mean it like that.\Sorry, my bad!\Poopy.\Oh, my God!\Your bodyline is like that of a beautiful Steyr.\You've shot my heart with your hot loaded armor-piercing bullets,\knocking me down! response:	How are the students?
context: S-sorry, I didn't mean it like that.\Sorry, my bad!\Poopy.\Oh, my God!\Your bodyline is like that of a beautiful Steyr.\You've shot my heart with your hot loaded armor-piercing bullets,\knocking me down!\How are the students? response:	Right. On average, they are brimming with potential.
context: Sorry, my bad!\Poopy.\Oh, my God!\Your bodyline is like that of a beautiful Steyr.\You've shot my heart with your hot loaded armor-piercing bullets,\knocking me down!\How are the students?\Right. On average, they are brimming with potential. response:	They follow their orders
context: Poopy.\Oh, my God!\Your bodyline is like that of a beautiful Steyr.\You've shot my heart with your hot loaded armor-piercing bullets,\knocking me down!\How are the students?\Right. On average, they are brimming with potential.\They follow their orders response:	and have fast response times in mock space battles.
context: Oh, my God!\Your bodyline is like that of a beautiful Steyr.\You've shot my heart with your hot loaded armor-piercing bullets,\knocking me down!\How are the students?\Right. On average, they are brimming with potential.\They follow their orders\and have fast response times in mock space battles. response:	However, there is one team that is highly problematic.
context: Your bodyline is like that of a beautiful Steyr.\You've shot my heart with your hot loaded armor-piercing bullets,\knocking me down!\How are the students?\Right. On average, they are brimming with potential.\They follow their orders\and have fast response times in mock space battles.\However, there is one team that is highly problematic. response:	How so?
context: You've shot my heart with your hot loaded armor-piercing bullets,\knocking me down!\How are the students?\Right. On average, they are brimming with potential.\They follow their orders\and have fast response times in mock space battles.\However, there is one team that is highly problematic.\How so? response:	Sir...
context: knocking me down!\How are the students?\Right. On average, they are brimming with potential.\They follow their orders\and have fast response times in mock space battles.\However, there is one team that is highly problematic.\How so?\Sir... response:	The team is composed of students who were
context: How are the students?\Right. On average, they are brimming with potential.\They follow their orders\and have fast response times in mock space battles.\However, there is one team that is highly problematic.\How so?\Sir...\The team is composed of students who were response:	originally unsuited for teamwork.
context: Right. On average, they are brimming with potential.\They follow their orders\and have fast response times in mock space battles.\However, there is one team that is highly problematic.\How so?\Sir...\The team is composed of students who were\originally unsuited for teamwork. response:	With impressive latent abilities, they definitely possess hidden potential.
context: They follow their orders\and have fast response times in mock space battles.\However, there is one team that is highly problematic.\How so?\Sir...\The team is composed of students who were\originally unsuited for teamwork.\With impressive latent abilities, they definitely possess hidden potential. response:	But they are lacking on the mental front.
context: and have fast response times in mock space battles.\However, there is one team that is highly problematic.\How so?\Sir...\The team is composed of students who were\originally unsuited for teamwork.\With impressive latent abilities, they definitely possess hidden potential.\But they are lacking on the mental front. response:	They are ill oriented for group work.
context: However, there is one team that is highly problematic.\How so?\Sir...\The team is composed of students who were\originally unsuited for teamwork.\With impressive latent abilities, they definitely possess hidden potential.\But they are lacking on the mental front.\They are ill oriented for group work. response:	I see.
context: How so?\Sir...\The team is composed of students who were\originally unsuited for teamwork.\With impressive latent abilities, they definitely possess hidden potential.\But they are lacking on the mental front.\They are ill oriented for group work.\I see. response:	That will be their downfall as pilots.
context: Sir...\The team is composed of students who were\originally unsuited for teamwork.\With impressive latent abilities, they definitely possess hidden potential.\But they are lacking on the mental front.\They are ill oriented for group work.\I see.\That will be their downfall as pilots. response:	And the flip side?
context: The team is composed of students who were\originally unsuited for teamwork.\With impressive latent abilities, they definitely possess hidden potential.\But they are lacking on the mental front.\They are ill oriented for group work.\I see.\That will be their downfall as pilots.\And the flip side? response:	Inversely, they could become mentally strong.
context: originally unsuited for teamwork.\With impressive latent abilities, they definitely possess hidden potential.\But they are lacking on the mental front.\They are ill oriented for group work.\I see.\That will be their downfall as pilots.\And the flip side?\Inversely, they could become mentally strong. response:	Once they master teamwork, they will outstrip the other teams.
context: With impressive latent abilities, they definitely possess hidden potential.\But they are lacking on the mental front.\They are ill oriented for group work.\I see.\That will be their downfall as pilots.\And the flip side?\Inversely, they could become mentally strong.\Once they master teamwork, they will outstrip the other teams. response:	Uh, on what grounds...?
context: But they are lacking on the mental front.\They are ill oriented for group work.\I see.\That will be their downfall as pilots.\And the flip side?\Inversely, they could become mentally strong.\Once they master teamwork, they will outstrip the other teams.\Uh, on what grounds...? response:	They have abnormally strong survival instincts.
context: They are ill oriented for group work.\I see.\That will be their downfall as pilots.\And the flip side?\Inversely, they could become mentally strong.\Once they master teamwork, they will outstrip the other teams.\Uh, on what grounds...?\They have abnormally strong survival instincts. response:	That makes them ideal pilots
context: I see.\That will be their downfall as pilots.\And the flip side?\Inversely, they could become mentally strong.\Once they master teamwork, they will outstrip the other teams.\Uh, on what grounds...?\They have abnormally strong survival instincts.\That makes them ideal pilots response:	for AHSMB units equipped with the JURIA-SYSTEM.
context: That will be their downfall as pilots.\And the flip side?\Inversely, they could become mentally strong.\Once they master teamwork, they will outstrip the other teams.\Uh, on what grounds...?\They have abnormally strong survival instincts.\That makes them ideal pilots\for AHSMB units equipped with the JURIA-SYSTEM. response:	Train them! That is your mission.
context: And the flip side?\Inversely, they could become mentally strong.\Once they master teamwork, they will outstrip the other teams.\Uh, on what grounds...?\They have abnormally strong survival instincts.\That makes them ideal pilots\for AHSMB units equipped with the JURIA-SYSTEM.\Train them! That is your mission. response:	Very well.
context: Inversely, they could become mentally strong.\Once they master teamwork, they will outstrip the other teams.\Uh, on what grounds...?\They have abnormally strong survival instincts.\That makes them ideal pilots\for AHSMB units equipped with the JURIA-SYSTEM.\Train them! That is your mission.\Very well. response:	Tamaki!
context: Once they master teamwork, they will outstrip the other teams.\Uh, on what grounds...?\They have abnormally strong survival instincts.\That makes them ideal pilots\for AHSMB units equipped with the JURIA-SYSTEM.\Train them! That is your mission.\Very well.\Tamaki! response:	Rose 3's first and second thrusters have taken damage.
context: Uh, on what grounds...?\They have abnormally strong survival instincts.\That makes them ideal pilots\for AHSMB units equipped with the JURIA-SYSTEM.\Train them! That is your mission.\Very well.\Tamaki!\Rose 3's first and second thrusters have taken damage. response:	Power is down by 40!
context: They have abnormally strong survival instincts.\That makes them ideal pilots\for AHSMB units equipped with the JURIA-SYSTEM.\Train them! That is your mission.\Very well.\Tamaki!\Rose 3's first and second thrusters have taken damage.\Power is down by 40! response:	Enemy fighters are approaching from B34.
context: That makes them ideal pilots\for AHSMB units equipped with the JURIA-SYSTEM.\Train them! That is your mission.\Very well.\Tamaki!\Rose 3's first and second thrusters have taken damage.\Power is down by 40!\Enemy fighters are approaching from B34. response:	Th-they got me!
context: for AHSMB units equipped with the JURIA-SYSTEM.\Train them! That is your mission.\Very well.\Tamaki!\Rose 3's first and second thrusters have taken damage.\Power is down by 40!\Enemy fighters are approaching from B34.\Th-they got me! response:	What should we do?! What should I do?!
context: Train them! That is your mission.\Very well.\Tamaki!\Rose 3's first and second thrusters have taken damage.\Power is down by 40!\Enemy fighters are approaching from B34.\Th-they got me!\What should we do?! What should I do?! response:	Kei, can't we help her?!
context: Very well.\Tamaki!\Rose 3's first and second thrusters have taken damage.\Power is down by 40!\Enemy fighters are approaching from B34.\Th-they got me!\What should we do?! What should I do?!\Kei, can't we help her?! response:	Kei? Kei!
context: Tamaki!\Rose 3's first and second thrusters have taken damage.\Power is down by 40!\Enemy fighters are approaching from B34.\Th-they got me!\What should we do?! What should I do?!\Kei, can't we help her?!\Kei? Kei! response:	Calm down. Think.
context: Rose 3's first and second thrusters have taken damage.\Power is down by 40!\Enemy fighters are approaching from B34.\Th-they got me!\What should we do?! What should I do?!\Kei, can't we help her?!\Kei? Kei!\Calm down. Think. response:	I should be able to save her.
context: Power is down by 40!\Enemy fighters are approaching from B34.\Th-they got me!\What should we do?! What should I do?!\Kei, can't we help her?!\Kei? Kei!\Calm down. Think.\I should be able to save her. response:	If I'm a hero, fight! Fight!
context: Enemy fighters are approaching from B34.\Th-they got me!\What should we do?! What should I do?!\Kei, can't we help her?!\Kei? Kei!\Calm down. Think.\I should be able to save her.\If I'm a hero, fight! Fight! response:	Fight so we can survive!
context: Th-they got me!\What should we do?! What should I do?!\Kei, can't we help her?!\Kei? Kei!\Calm down. Think.\I should be able to save her.\If I'm a hero, fight! Fight!\Fight so we can survive! response:	Harmonic values, increasing.
context: What should we do?! What should I do?!\Kei, can't we help her?!\Kei? Kei!\Calm down. Think.\I should be able to save her.\If I'm a hero, fight! Fight!\Fight so we can survive!\Harmonic values, increasing. response:	One through three are increasing!
context: Kei, can't we help her?!\Kei? Kei!\Calm down. Think.\I should be able to save her.\If I'm a hero, fight! Fight!\Fight so we can survive!\Harmonic values, increasing.\One through three are increasing! response:	My armguards?
context: Kei? Kei!\Calm down. Think.\I should be able to save her.\If I'm a hero, fight! Fight!\Fight so we can survive!\Harmonic values, increasing.\One through three are increasing!\My armguards? response:	If Red 5 removed its armguards, I could use them as shields...?
context: Calm down. Think.\I should be able to save her.\If I'm a hero, fight! Fight!\Fight so we can survive!\Harmonic values, increasing.\One through three are increasing!\My armguards?\If Red 5 removed its armguards, I could use them as shields...? response:	Thank you, Red 5!
context: I should be able to save her.\If I'm a hero, fight! Fight!\Fight so we can survive!\Harmonic values, increasing.\One through three are increasing!\My armguards?\If Red 5 removed its armguards, I could use them as shields...?\Thank you, Red 5! response:	Let's go! You're going to become a hero with me.
context: If I'm a hero, fight! Fight!\Fight so we can survive!\Harmonic values, increasing.\One through three are increasing!\My armguards?\If Red 5 removed its armguards, I could use them as shields...?\Thank you, Red 5!\Let's go! You're going to become a hero with me. response:	Send a multi-launcher, please!
context: Fight so we can survive!\Harmonic values, increasing.\One through three are increasing!\My armguards?\If Red 5 removed its armguards, I could use them as shields...?\Thank you, Red 5!\Let's go! You're going to become a hero with me.\Send a multi-launcher, please! response:	Izuru!
context: Harmonic values, increasing.\One through three are increasing!\My armguards?\If Red 5 removed its armguards, I could use them as shields...?\Thank you, Red 5!\Let's go! You're going to become a hero with me.\Send a multi-launcher, please!\Izuru! response:	Are you all right, Tamaki?
context: One through three are increasing!\My armguards?\If Red 5 removed its armguards, I could use them as shields...?\Thank you, Red 5!\Let's go! You're going to become a hero with me.\Send a multi-launcher, please!\Izuru!\Are you all right, Tamaki? response:	Forget about me! Everyone, get out of here.
context: My armguards?\If Red 5 removed its armguards, I could use them as shields...?\Thank you, Red 5!\Let's go! You're going to become a hero with me.\Send a multi-launcher, please!\Izuru!\Are you all right, Tamaki?\Forget about me! Everyone, get out of here. response:	Get a grip, Tamaki!
context: If Red 5 removed its armguards, I could use them as shields...?\Thank you, Red 5!\Let's go! You're going to become a hero with me.\Send a multi-launcher, please!\Izuru!\Are you all right, Tamaki?\Forget about me! Everyone, get out of here.\Get a grip, Tamaki! response:	But at this rate, they'll take you and everyone else down with me!
context: Thank you, Red 5!\Let's go! You're going to become a hero with me.\Send a multi-launcher, please!\Izuru!\Are you all right, Tamaki?\Forget about me! Everyone, get out of here.\Get a grip, Tamaki!\But at this rate, they'll take you and everyone else down with me! response:	We're going to make it back alive!
context: Let's go! You're going to become a hero with me.\Send a multi-launcher, please!\Izuru!\Are you all right, Tamaki?\Forget about me! Everyone, get out of here.\Get a grip, Tamaki!\But at this rate, they'll take you and everyone else down with me!\We're going to make it back alive! response:	I've always wanted to go on a date!
context: Send a multi-launcher, please!\Izuru!\Are you all right, Tamaki?\Forget about me! Everyone, get out of here.\Get a grip, Tamaki!\But at this rate, they'll take you and everyone else down with me!\We're going to make it back alive!\I've always wanted to go on a date! response:	Even if we make it back, that may not happen...
context: Izuru!\Are you all right, Tamaki?\Forget about me! Everyone, get out of here.\Get a grip, Tamaki!\But at this rate, they'll take you and everyone else down with me!\We're going to make it back alive!\I've always wanted to go on a date!\Even if we make it back, that may not happen... response:	What's with that serious answer?!
context: Are you all right, Tamaki?\Forget about me! Everyone, get out of here.\Get a grip, Tamaki!\But at this rate, they'll take you and everyone else down with me!\We're going to make it back alive!\I've always wanted to go on a date!\Even if we make it back, that may not happen...\What's with that serious answer?! response:	That's not what you say at a time like this!
context: Forget about me! Everyone, get out of here.\Get a grip, Tamaki!\But at this rate, they'll take you and everyone else down with me!\We're going to make it back alive!\I've always wanted to go on a date!\Even if we make it back, that may not happen...\What's with that serious answer?!\That's not what you say at a time like this! response:	Just tell her she'll find a date!
context: Get a grip, Tamaki!\But at this rate, they'll take you and everyone else down with me!\We're going to make it back alive!\I've always wanted to go on a date!\Even if we make it back, that may not happen...\What's with that serious answer?!\That's not what you say at a time like this!\Just tell her she'll find a date! response:	Scum.
context: But at this rate, they'll take you and everyone else down with me!\We're going to make it back alive!\I've always wanted to go on a date!\Even if we make it back, that may not happen...\What's with that serious answer?!\That's not what you say at a time like this!\Just tell her she'll find a date!\Scum. response:	Blue 1, take the right.
context: We're going to make it back alive!\I've always wanted to go on a date!\Even if we make it back, that may not happen...\What's with that serious answer?!\That's not what you say at a time like this!\Just tell her she'll find a date!\Scum.\Blue 1, take the right. response:	Gold 4, take the left. Purple 2, issue orders.
context: I've always wanted to go on a date!\Even if we make it back, that may not happen...\What's with that serious answer?!\That's not what you say at a time like this!\Just tell her she'll find a date!\Scum.\Blue 1, take the right.\Gold 4, take the left. Purple 2, issue orders. response:	Roger!
context: Even if we make it back, that may not happen...\What's with that serious answer?!\That's not what you say at a time like this!\Just tell her she'll find a date!\Scum.\Blue 1, take the right.\Gold 4, take the left. Purple 2, issue orders.\Roger! response:	Blue 1, strike Unit 4 in the upper right portion of Formation A.
context: What's with that serious answer?!\That's not what you say at a time like this!\Just tell her she'll find a date!\Scum.\Blue 1, take the right.\Gold 4, take the left. Purple 2, issue orders.\Roger!\Blue 1, strike Unit 4 in the upper right portion of Formation A. response:	Gold 4, fire at the bottom left portion of Formation B.
context: That's not what you say at a time like this!\Just tell her she'll find a date!\Scum.\Blue 1, take the right.\Gold 4, take the left. Purple 2, issue orders.\Roger!\Blue 1, strike Unit 4 in the upper right portion of Formation A.\Gold 4, fire at the bottom left portion of Formation B. response:	Keep them in check and carve open a path for Rose 3.
context: Just tell her she'll find a date!\Scum.\Blue 1, take the right.\Gold 4, take the left. Purple 2, issue orders.\Roger!\Blue 1, strike Unit 4 in the upper right portion of Formation A.\Gold 4, fire at the bottom left portion of Formation B.\Keep them in check and carve open a path for Rose 3. response:	Ally units have taken 32.6 damage. Ammo down to 10.
context: Scum.\Blue 1, take the right.\Gold 4, take the left. Purple 2, issue orders.\Roger!\Blue 1, strike Unit 4 in the upper right portion of Formation A.\Gold 4, fire at the bottom left portion of Formation B.\Keep them in check and carve open a path for Rose 3.\Ally units have taken 32.6 damage. Ammo down to 10. response:	They can only fight for another 12 minutes.
context: Blue 1, take the right.\Gold 4, take the left. Purple 2, issue orders.\Roger!\Blue 1, strike Unit 4 in the upper right portion of Formation A.\Gold 4, fire at the bottom left portion of Formation B.\Keep them in check and carve open a path for Rose 3.\Ally units have taken 32.6 damage. Ammo down to 10.\They can only fight for another 12 minutes. response:	Probability of return: -15.
context: Gold 4, take the left. Purple 2, issue orders.\Roger!\Blue 1, strike Unit 4 in the upper right portion of Formation A.\Gold 4, fire at the bottom left portion of Formation B.\Keep them in check and carve open a path for Rose 3.\Ally units have taken 32.6 damage. Ammo down to 10.\They can only fight for another 12 minutes.\Probability of return: -15. response:	They can't possibly continue to fight!
context: Roger!\Blue 1, strike Unit 4 in the upper right portion of Formation A.\Gold 4, fire at the bottom left portion of Formation B.\Keep them in check and carve open a path for Rose 3.\Ally units have taken 32.6 damage. Ammo down to 10.\They can only fight for another 12 minutes.\Probability of return: -15.\They can't possibly continue to fight! response:	Vice Chief of Staff, please issue the order for them to retreat.
context: Blue 1, strike Unit 4 in the upper right portion of Formation A.\Gold 4, fire at the bottom left portion of Formation B.\Keep them in check and carve open a path for Rose 3.\Ally units have taken 32.6 damage. Ammo down to 10.\They can only fight for another 12 minutes.\Probability of return: -15.\They can't possibly continue to fight!\Vice Chief of Staff, please issue the order for them to retreat. response:	Sir!
