context: Hey! We need more over here. response:	Right away!
context: as thanks for lighting her up with bonbori...\When I came to Yunosagi, I felt like I wanted to shine.\Then the days flew by, and I came to like my work and Kissuiso.\But what's my dream...?\What's the matter?\Uh... pardon?\Almost forgot, Ohana!\Here! response:	With this many people, we have a lot to prepare for dinner,
context: When I came to Yunosagi, I felt like I wanted to shine.\Then the days flew by, and I came to like my work and Kissuiso.\But what's my dream...?\What's the matter?\Uh... pardon?\Almost forgot, Ohana!\Here!\With this many people, we have a lot to prepare for dinner, response:	so we don't want to overwork ourselves serving breakfast.
context: Then the days flew by, and I came to like my work and Kissuiso.\But what's my dream...?\What's the matter?\Uh... pardon?\Almost forgot, Ohana!\Here!\With this many people, we have a lot to prepare for dinner,\so we don't want to overwork ourselves serving breakfast. response:	Yeah.
context: But what's my dream...?\What's the matter?\Uh... pardon?\Almost forgot, Ohana!\Here!\With this many people, we have a lot to prepare for dinner,\so we don't want to overwork ourselves serving breakfast.\Yeah. response:	With that in mind, we'll have to make the breakfast a buffet.
context: What's the matter?\Uh... pardon?\Almost forgot, Ohana!\Here!\With this many people, we have a lot to prepare for dinner,\so we don't want to overwork ourselves serving breakfast.\Yeah.\With that in mind, we'll have to make the breakfast a buffet. response:	What?
context: Uh... pardon?\Almost forgot, Ohana!\Here!\With this many people, we have a lot to prepare for dinner,\so we don't want to overwork ourselves serving breakfast.\Yeah.\With that in mind, we'll have to make the breakfast a buffet.\What? response:	Something wrong?
context: Almost forgot, Ohana!\Here!\With this many people, we have a lot to prepare for dinner,\so we don't want to overwork ourselves serving breakfast.\Yeah.\With that in mind, we'll have to make the breakfast a buffet.\What?\Something wrong? response:	Well... We have people saying
context: Here!\With this many people, we have a lot to prepare for dinner,\so we don't want to overwork ourselves serving breakfast.\Yeah.\With that in mind, we'll have to make the breakfast a buffet.\What?\Something wrong?\Well... We have people saying response:	they like how they can take their time in their own
context: With this many people, we have a lot to prepare for dinner,\so we don't want to overwork ourselves serving breakfast.\Yeah.\With that in mind, we'll have to make the breakfast a buffet.\What?\Something wrong?\Well... We have people saying\they like how they can take their time in their own response:	Just live with it, okay?
context: so we don't want to overwork ourselves serving breakfast.\Yeah.\With that in mind, we'll have to make the breakfast a buffet.\What?\Something wrong?\Well... We have people saying\they like how they can take their time in their own\Just live with it, okay? response:	We don't have enough staff in the kitchen.
context: Yeah.\With that in mind, we'll have to make the breakfast a buffet.\What?\Something wrong?\Well... We have people saying\they like how they can take their time in their own\Just live with it, okay?\We don't have enough staff in the kitchen. response:	Minko.
context: With that in mind, we'll have to make the breakfast a buffet.\What?\Something wrong?\Well... We have people saying\they like how they can take their time in their own\Just live with it, okay?\We don't have enough staff in the kitchen.\Minko. response:	Cleaning after the guests check out will also be tough.
context: What?\Something wrong?\Well... We have people saying\they like how they can take their time in their own\Just live with it, okay?\We don't have enough staff in the kitchen.\Minko.\Cleaning after the guests check out will also be tough. response:	The girls also have school.
context: Something wrong?\Well... We have people saying\they like how they can take their time in their own\Just live with it, okay?\We don't have enough staff in the kitchen.\Minko.\Cleaning after the guests check out will also be tough.\The girls also have school. response:	We'll stop assigning rooms, and I'll also help.
context: Well... We have people saying\they like how they can take their time in their own\Just live with it, okay?\We don't have enough staff in the kitchen.\Minko.\Cleaning after the guests check out will also be tough.\The girls also have school.\We'll stop assigning rooms, and I'll also help. response:	You took more reservations?
context: they like how they can take their time in their own\Just live with it, okay?\We don't have enough staff in the kitchen.\Minko.\Cleaning after the guests check out will also be tough.\The girls also have school.\We'll stop assigning rooms, and I'll also help.\You took more reservations? response:	Madam Manager!
context: Just live with it, okay?\We don't have enough staff in the kitchen.\Minko.\Cleaning after the guests check out will also be tough.\The girls also have school.\We'll stop assigning rooms, and I'll also help.\You took more reservations?\Madam Manager! response:	Didn't I tell you to stop?
context: We don't have enough staff in the kitchen.\Minko.\Cleaning after the guests check out will also be tough.\The girls also have school.\We'll stop assigning rooms, and I'll also help.\You took more reservations?\Madam Manager!\Didn't I tell you to stop? response:	Well, the other inns are doing
context: Minko.\Cleaning after the guests check out will also be tough.\The girls also have school.\We'll stop assigning rooms, and I'll also help.\You took more reservations?\Madam Manager!\Didn't I tell you to stop?\Well, the other inns are doing response:	fine and they have more guests than we do.
context: Cleaning after the guests check out will also be tough.\The girls also have school.\We'll stop assigning rooms, and I'll also help.\You took more reservations?\Madam Manager!\Didn't I tell you to stop?\Well, the other inns are doing\fine and they have more guests than we do. response:	You think you can run an inn if you
context: The girls also have school.\We'll stop assigning rooms, and I'll also help.\You took more reservations?\Madam Manager!\Didn't I tell you to stop?\Well, the other inns are doing\fine and they have more guests than we do.\You think you can run an inn if you response:	all overwork yourselves together?
context: We'll stop assigning rooms, and I'll also help.\You took more reservations?\Madam Manager!\Didn't I tell you to stop?\Well, the other inns are doing\fine and they have more guests than we do.\You think you can run an inn if you\all overwork yourselves together? response:	I'm not saying we'll lower the quality of our service!
context: You took more reservations?\Madam Manager!\Didn't I tell you to stop?\Well, the other inns are doing\fine and they have more guests than we do.\You think you can run an inn if you\all overwork yourselves together?\I'm not saying we'll lower the quality of our service! response:	We're just finding new ways to make ends meet.
context: Madam Manager!\Didn't I tell you to stop?\Well, the other inns are doing\fine and they have more guests than we do.\You think you can run an inn if you\all overwork yourselves together?\I'm not saying we'll lower the quality of our service!\We're just finding new ways to make ends meet. response:	Food is still food in a buffet.
context: Didn't I tell you to stop?\Well, the other inns are doing\fine and they have more guests than we do.\You think you can run an inn if you\all overwork yourselves together?\I'm not saying we'll lower the quality of our service!\We're just finding new ways to make ends meet.\Food is still food in a buffet. response:	We'll still cook the way we used to.
context: Well, the other inns are doing\fine and they have more guests than we do.\You think you can run an inn if you\all overwork yourselves together?\I'm not saying we'll lower the quality of our service!\We're just finding new ways to make ends meet.\Food is still food in a buffet.\We'll still cook the way we used to. response:	The service won't go down either!
context: fine and they have more guests than we do.\You think you can run an inn if you\all overwork yourselves together?\I'm not saying we'll lower the quality of our service!\We're just finding new ways to make ends meet.\Food is still food in a buffet.\We'll still cook the way we used to.\The service won't go down either! response:	With no one in charge of one room, I'll oversee everything.
context: You think you can run an inn if you\all overwork yourselves together?\I'm not saying we'll lower the quality of our service!\We're just finding new ways to make ends meet.\Food is still food in a buffet.\We'll still cook the way we used to.\The service won't go down either!\With no one in charge of one room, I'll oversee everything. response:	Fine. Do what you want.
context: all overwork yourselves together?\I'm not saying we'll lower the quality of our service!\We're just finding new ways to make ends meet.\Food is still food in a buffet.\We'll still cook the way we used to.\The service won't go down either!\With no one in charge of one room, I'll oversee everything.\Fine. Do what you want. response:	Madam Manager!
context: I'm not saying we'll lower the quality of our service!\We're just finding new ways to make ends meet.\Food is still food in a buffet.\We'll still cook the way we used to.\The service won't go down either!\With no one in charge of one room, I'll oversee everything.\Fine. Do what you want.\Madam Manager! response:	However,
context: We're just finding new ways to make ends meet.\Food is still food in a buffet.\We'll still cook the way we used to.\The service won't go down either!\With no one in charge of one room, I'll oversee everything.\Fine. Do what you want.\Madam Manager!\However, response:	you will do as we've always done for the Bonbori Festival.
context: Food is still food in a buffet.\We'll still cook the way we used to.\The service won't go down either!\With no one in charge of one room, I'll oversee everything.\Fine. Do what you want.\Madam Manager!\However,\you will do as we've always done for the Bonbori Festival. response:	We're not backing down.
context: We'll still cook the way we used to.\The service won't go down either!\With no one in charge of one room, I'll oversee everything.\Fine. Do what you want.\Madam Manager!\However,\you will do as we've always done for the Bonbori Festival.\We're not backing down. response:	No.
context: The service won't go down either!\With no one in charge of one room, I'll oversee everything.\Fine. Do what you want.\Madam Manager!\However,\you will do as we've always done for the Bonbori Festival.\We're not backing down.\No. response:	The Kissuiso I Love
context: With no one in charge of one room, I'll oversee everything.\Fine. Do what you want.\Madam Manager!\However,\you will do as we've always done for the Bonbori Festival.\We're not backing down.\No.\The Kissuiso I Love response:	Hey.
context: Fine. Do what you want.\Madam Manager!\However,\you will do as we've always done for the Bonbori Festival.\We're not backing down.\No.\The Kissuiso I Love\Hey. response:	Um... I brought some wishing plaques.
context: Madam Manager!\However,\you will do as we've always done for the Bonbori Festival.\We're not backing down.\No.\The Kissuiso I Love\Hey.\Um... I brought some wishing plaques. response:	Here. You... write your wish and...
context: However,\you will do as we've always done for the Bonbori Festival.\We're not backing down.\No.\The Kissuiso I Love\Hey.\Um... I brought some wishing plaques.\Here. You... write your wish and... response:	Maybe later.
context: you will do as we've always done for the Bonbori Festival.\We're not backing down.\No.\The Kissuiso I Love\Hey.\Um... I brought some wishing plaques.\Here. You... write your wish and...\Maybe later. response:	Sorry.
context: We're not backing down.\No.\The Kissuiso I Love\Hey.\Um... I brought some wishing plaques.\Here. You... write your wish and...\Maybe later.\Sorry. response:	Guys...
context: No.\The Kissuiso I Love\Hey.\Um... I brought some wishing plaques.\Here. You... write your wish and...\Maybe later.\Sorry.\Guys... response:	I'm sorry, Ohana.
context: The Kissuiso I Love\Hey.\Um... I brought some wishing plaques.\Here. You... write your wish and...\Maybe later.\Sorry.\Guys...\I'm sorry, Ohana. response:	We're too busy for that.
context: Hey.\Um... I brought some wishing plaques.\Here. You... write your wish and...\Maybe later.\Sorry.\Guys...\I'm sorry, Ohana.\We're too busy for that. response:	Nako!
context: Um... I brought some wishing plaques.\Here. You... write your wish and...\Maybe later.\Sorry.\Guys...\I'm sorry, Ohana.\We're too busy for that.\Nako! response:	Thanks, I'll have one.
context: Here. You... write your wish and...\Maybe later.\Sorry.\Guys...\I'm sorry, Ohana.\We're too busy for that.\Nako!\Thanks, I'll have one. response:	I feel like it's not quite right.
context: Maybe later.\Sorry.\Guys...\I'm sorry, Ohana.\We're too busy for that.\Nako!\Thanks, I'll have one.\I feel like it's not quite right. response:	I want the Kissuiso to stay open as much as everyone else does.
context: Sorry.\Guys...\I'm sorry, Ohana.\We're too busy for that.\Nako!\Thanks, I'll have one.\I feel like it's not quite right.\I want the Kissuiso to stay open as much as everyone else does. response:	Minchi...
context: Guys...\I'm sorry, Ohana.\We're too busy for that.\Nako!\Thanks, I'll have one.\I feel like it's not quite right.\I want the Kissuiso to stay open as much as everyone else does.\Minchi... response:	Stop.
context: I'm sorry, Ohana.\We're too busy for that.\Nako!\Thanks, I'll have one.\I feel like it's not quite right.\I want the Kissuiso to stay open as much as everyone else does.\Minchi...\Stop. response:	Stop siding with the Madam Manager.
context: We're too busy for that.\Nako!\Thanks, I'll have one.\I feel like it's not quite right.\I want the Kissuiso to stay open as much as everyone else does.\Minchi...\Stop.\Stop siding with the Madam Manager. response:	It's not like I'm on her side!
context: Nako!\Thanks, I'll have one.\I feel like it's not quite right.\I want the Kissuiso to stay open as much as everyone else does.\Minchi...\Stop.\Stop siding with the Madam Manager.\It's not like I'm on her side! response:	Maybe you don't care.
context: Thanks, I'll have one.\I feel like it's not quite right.\I want the Kissuiso to stay open as much as everyone else does.\Minchi...\Stop.\Stop siding with the Madam Manager.\It's not like I'm on her side!\Maybe you don't care. response:	You have a place to go back to.
context: I feel like it's not quite right.\I want the Kissuiso to stay open as much as everyone else does.\Minchi...\Stop.\Stop siding with the Madam Manager.\It's not like I'm on her side!\Maybe you don't care.\You have a place to go back to. response:	A place to go back to?
context: I want the Kissuiso to stay open as much as everyone else does.\Minchi...\Stop.\Stop siding with the Madam Manager.\It's not like I'm on her side!\Maybe you don't care.\You have a place to go back to.\A place to go back to? response:	I don't have a home!
context: Minchi...\Stop.\Stop siding with the Madam Manager.\It's not like I'm on her side!\Maybe you don't care.\You have a place to go back to.\A place to go back to?\I don't have a home! response:	This is my home!
context: Stop.\Stop siding with the Madam Manager.\It's not like I'm on her side!\Maybe you don't care.\You have a place to go back to.\A place to go back to?\I don't have a home!\This is my home! response:	I don't care about the Bonbori Festival!
context: Stop siding with the Madam Manager.\It's not like I'm on her side!\Maybe you don't care.\You have a place to go back to.\A place to go back to?\I don't have a home!\This is my home!\I don't care about the Bonbori Festival! response:	This is where my dream is.
context: It's not like I'm on her side!\Maybe you don't care.\You have a place to go back to.\A place to go back to?\I don't have a home!\This is my home!\I don't care about the Bonbori Festival!\This is where my dream is. response:	You...
context: Maybe you don't care.\You have a place to go back to.\A place to go back to?\I don't have a home!\This is my home!\I don't care about the Bonbori Festival!\This is where my dream is.\You... response:	You made me happy when I thought you felt the same.
context: You have a place to go back to.\A place to go back to?\I don't have a home!\This is my home!\I don't care about the Bonbori Festival!\This is where my dream is.\You...\You made me happy when I thought you felt the same. response:	Minchi!
context: A place to go back to?\I don't have a home!\This is my home!\I don't care about the Bonbori Festival!\This is where my dream is.\You...\You made me happy when I thought you felt the same.\Minchi! response:	You're all good people.
context: I don't have a home!\This is my home!\I don't care about the Bonbori Festival!\This is where my dream is.\You...\You made me happy when I thought you felt the same.\Minchi!\You're all good people. response:	All of you here are good people.
context: This is my home!\I don't care about the Bonbori Festival!\This is where my dream is.\You...\You made me happy when I thought you felt the same.\Minchi!\You're all good people.\All of you here are good people. response:	Nakochi...
context: I don't care about the Bonbori Festival!\This is where my dream is.\You...\You made me happy when I thought you felt the same.\Minchi!\You're all good people.\All of you here are good people.\Nakochi... response:	What's with the luggage?
context: This is where my dream is.\You...\You made me happy when I thought you felt the same.\Minchi!\You're all good people.\All of you here are good people.\Nakochi...\What's with the luggage? response:	I thought I'd also sleep here for a while.
context: You...\You made me happy when I thought you felt the same.\Minchi!\You're all good people.\All of you here are good people.\Nakochi...\What's with the luggage?\I thought I'd also sleep here for a while. response:	Can I?
context: You made me happy when I thought you felt the same.\Minchi!\You're all good people.\All of you here are good people.\Nakochi...\What's with the luggage?\I thought I'd also sleep here for a while.\Can I? response:	Sure, I don't mind, but are you sure you're okay on the floor?
context: Minchi!\You're all good people.\All of you here are good people.\Nakochi...\What's with the luggage?\I thought I'd also sleep here for a while.\Can I?\Sure, I don't mind, but are you sure you're okay on the floor? response:	I can't get here in the morning
context: You're all good people.\All of you here are good people.\Nakochi...\What's with the luggage?\I thought I'd also sleep here for a while.\Can I?\Sure, I don't mind, but are you sure you're okay on the floor?\I can't get here in the morning response:	and everyone's working hard, so I also...
context: All of you here are good people.\Nakochi...\What's with the luggage?\I thought I'd also sleep here for a while.\Can I?\Sure, I don't mind, but are you sure you're okay on the floor?\I can't get here in the morning\and everyone's working hard, so I also... response:	Working hard...
context: Nakochi...\What's with the luggage?\I thought I'd also sleep here for a while.\Can I?\Sure, I don't mind, but are you sure you're okay on the floor?\I can't get here in the morning\and everyone's working hard, so I also...\Working hard... response:	Yeah, maybe, but...
context: What's with the luggage?\I thought I'd also sleep here for a while.\Can I?\Sure, I don't mind, but are you sure you're okay on the floor?\I can't get here in the morning\and everyone's working hard, so I also...\Working hard...\Yeah, maybe, but... response:	They're not festing it up... I don't think.
context: I thought I'd also sleep here for a while.\Can I?\Sure, I don't mind, but are you sure you're okay on the floor?\I can't get here in the morning\and everyone's working hard, so I also...\Working hard...\Yeah, maybe, but...\They're not festing it up... I don't think. response:	Huh?
context: Can I?\Sure, I don't mind, but are you sure you're okay on the floor?\I can't get here in the morning\and everyone's working hard, so I also...\Working hard...\Yeah, maybe, but...\They're not festing it up... I don't think.\Huh? response:	Nothing.
context: Sure, I don't mind, but are you sure you're okay on the floor?\I can't get here in the morning\and everyone's working hard, so I also...\Working hard...\Yeah, maybe, but...\They're not festing it up... I don't think.\Huh?\Nothing. response:	Hey, if you're going to sleep there, sleep in my
context: I can't get here in the morning\and everyone's working hard, so I also...\Working hard...\Yeah, maybe, but...\They're not festing it up... I don't think.\Huh?\Nothing.\Hey, if you're going to sleep there, sleep in my response:	Nako, get to sleep.
context: and everyone's working hard, so I also...\Working hard...\Yeah, maybe, but...\They're not festing it up... I don't think.\Huh?\Nothing.\Hey, if you're going to sleep there, sleep in my\Nako, get to sleep. response:	Minichi.
context: Working hard...\Yeah, maybe, but...\They're not festing it up... I don't think.\Huh?\Nothing.\Hey, if you're going to sleep there, sleep in my\Nako, get to sleep.\Minichi. response:	Work starts at 4 tomorrow.
context: Yeah, maybe, but...\They're not festing it up... I don't think.\Huh?\Nothing.\Hey, if you're going to sleep there, sleep in my\Nako, get to sleep.\Minichi.\Work starts at 4 tomorrow. response:	It's already past midnight.
context: They're not festing it up... I don't think.\Huh?\Nothing.\Hey, if you're going to sleep there, sleep in my\Nako, get to sleep.\Minichi.\Work starts at 4 tomorrow.\It's already past midnight. response:	Okay.
context: Huh?\Nothing.\Hey, if you're going to sleep there, sleep in my\Nako, get to sleep.\Minichi.\Work starts at 4 tomorrow.\It's already past midnight.\Okay. response:	Nakochi's sleeping over, but we can't even talk.
context: Nothing.\Hey, if you're going to sleep there, sleep in my\Nako, get to sleep.\Minichi.\Work starts at 4 tomorrow.\It's already past midnight.\Okay.\Nakochi's sleeping over, but we can't even talk. response:	Everything feels too tight...
context: Hey, if you're going to sleep there, sleep in my\Nako, get to sleep.\Minichi.\Work starts at 4 tomorrow.\It's already past midnight.\Okay.\Nakochi's sleeping over, but we can't even talk.\Everything feels too tight... response:	I... don't really like it.
context: Nako, get to sleep.\Minichi.\Work starts at 4 tomorrow.\It's already past midnight.\Okay.\Nakochi's sleeping over, but we can't even talk.\Everything feels too tight...\I... don't really like it. response:	What are you doing?
context: Minichi.\Work starts at 4 tomorrow.\It's already past midnight.\Okay.\Nakochi's sleeping over, but we can't even talk.\Everything feels too tight...\I... don't really like it.\What are you doing? response:	You don't have time to be taking a walk.
context: Work starts at 4 tomorrow.\It's already past midnight.\Okay.\Nakochi's sleeping over, but we can't even talk.\Everything feels too tight...\I... don't really like it.\What are you doing?\You don't have time to be taking a walk. response:	You're helping too, right?
context: It's already past midnight.\Okay.\Nakochi's sleeping over, but we can't even talk.\Everything feels too tight...\I... don't really like it.\What are you doing?\You don't have time to be taking a walk.\You're helping too, right? response:	I'll give everyone a word in about you.
context: Okay.\Nakochi's sleeping over, but we can't even talk.\Everything feels too tight...\I... don't really like it.\What are you doing?\You don't have time to be taking a walk.\You're helping too, right?\I'll give everyone a word in about you. response:	You'll just feel left out siding with the Madam Manager.
context: Nakochi's sleeping over, but we can't even talk.\Everything feels too tight...\I... don't really like it.\What are you doing?\You don't have time to be taking a walk.\You're helping too, right?\I'll give everyone a word in about you.\You'll just feel left out siding with the Madam Manager. response:	But it's not that I'm siding with anyone. I...
context: Everything feels too tight...\I... don't really like it.\What are you doing?\You don't have time to be taking a walk.\You're helping too, right?\I'll give everyone a word in about you.\You'll just feel left out siding with the Madam Manager.\But it's not that I'm siding with anyone. I... response:	You don't want to restore the Kissuiso?
context: I... don't really like it.\What are you doing?\You don't have time to be taking a walk.\You're helping too, right?\I'll give everyone a word in about you.\You'll just feel left out siding with the Madam Manager.\But it's not that I'm siding with anyone. I...\You don't want to restore the Kissuiso? response:	Just listen!
context: What are you doing?\You don't have time to be taking a walk.\You're helping too, right?\I'll give everyone a word in about you.\You'll just feel left out siding with the Madam Manager.\But it's not that I'm siding with anyone. I...\You don't want to restore the Kissuiso?\Just listen! response:	This isn't like you.
context: You don't have time to be taking a walk.\You're helping too, right?\I'll give everyone a word in about you.\You'll just feel left out siding with the Madam Manager.\But it's not that I'm siding with anyone. I...\You don't want to restore the Kissuiso?\Just listen!\This isn't like you. response:	You usually butt in on everyone's business
context: You're helping too, right?\I'll give everyone a word in about you.\You'll just feel left out siding with the Madam Manager.\But it's not that I'm siding with anyone. I...\You don't want to restore the Kissuiso?\Just listen!\This isn't like you.\You usually butt in on everyone's business response:	and make the whole place fun.
context: I'll give everyone a word in about you.\You'll just feel left out siding with the Madam Manager.\But it's not that I'm siding with anyone. I...\You don't want to restore the Kissuiso?\Just listen!\This isn't like you.\You usually butt in on everyone's business\and make the whole place fun. response:	I don't...
context: You'll just feel left out siding with the Madam Manager.\But it's not that I'm siding with anyone. I...\You don't want to restore the Kissuiso?\Just listen!\This isn't like you.\You usually butt in on everyone's business\and make the whole place fun.\I don't... response:	Yet you're...
context: But it's not that I'm siding with anyone. I...\You don't want to restore the Kissuiso?\Just listen!\This isn't like you.\You usually butt in on everyone's business\and make the whole place fun.\I don't...\Yet you're... response:	Kissuiso didn't change. You did.
context: You don't want to restore the Kissuiso?\Just listen!\This isn't like you.\You usually butt in on everyone's business\and make the whole place fun.\I don't...\Yet you're...\Kissuiso didn't change. You did. response:	First, bring the guests to the main hall and identify their names.
context: Just listen!\This isn't like you.\You usually butt in on everyone's business\and make the whole place fun.\I don't...\Yet you're...\Kissuiso didn't change. You did.\First, bring the guests to the main hall and identify their names. response:	Don't forget to call, too. Okay?
context: This isn't like you.\You usually butt in on everyone's business\and make the whole place fun.\I don't...\Yet you're...\Kissuiso didn't change. You did.\First, bring the guests to the main hall and identify their names.\Don't forget to call, too. Okay? response:	Okay!
context: You usually butt in on everyone's business\and make the whole place fun.\I don't...\Yet you're...\Kissuiso didn't change. You did.\First, bring the guests to the main hall and identify their names.\Don't forget to call, too. Okay?\Okay! response:	O-Okay!
context: and make the whole place fun.\I don't...\Yet you're...\Kissuiso didn't change. You did.\First, bring the guests to the main hall and identify their names.\Don't forget to call, too. Okay?\Okay!\O-Okay! response:	That's done.
context: I don't...\Yet you're...\Kissuiso didn't change. You did.\First, bring the guests to the main hall and identify their names.\Don't forget to call, too. Okay?\Okay!\O-Okay!\That's done. response:	Take this please.
context: Yet you're...\Kissuiso didn't change. You did.\First, bring the guests to the main hall and identify their names.\Don't forget to call, too. Okay?\Okay!\O-Okay!\That's done.\Take this please. response:	Okay. Whoa.
context: Kissuiso didn't change. You did.\First, bring the guests to the main hall and identify their names.\Don't forget to call, too. Okay?\Okay!\O-Okay!\That's done.\Take this please.\Okay. Whoa. response:	Nako. More rice porridge.
context: First, bring the guests to the main hall and identify their names.\Don't forget to call, too. Okay?\Okay!\O-Okay!\That's done.\Take this please.\Okay. Whoa.\Nako. More rice porridge. response:	Okay.
context: Don't forget to call, too. Okay?\Okay!\O-Okay!\That's done.\Take this please.\Okay. Whoa.\Nako. More rice porridge.\Okay. response:	Wow, this dish is top notch.
context: Okay!\O-Okay!\That's done.\Take this please.\Okay. Whoa.\Nako. More rice porridge.\Okay.\Wow, this dish is top notch. response:	You don't usually get this kind of food in a buffet.
context: O-Okay!\That's done.\Take this please.\Okay. Whoa.\Nako. More rice porridge.\Okay.\Wow, this dish is top notch.\You don't usually get this kind of food in a buffet. response:	Yeah.
context: That's done.\Take this please.\Okay. Whoa.\Nako. More rice porridge.\Okay.\Wow, this dish is top notch.\You don't usually get this kind of food in a buffet.\Yeah. response:	The food's top notch and made with seasonal ingredients,
context: Take this please.\Okay. Whoa.\Nako. More rice porridge.\Okay.\Wow, this dish is top notch.\You don't usually get this kind of food in a buffet.\Yeah.\The food's top notch and made with seasonal ingredients, response:	and people still love the food, but...
