context: I'm heading out. response:	It's been a week since Hiromi moved out to live alone in an apartment.
context: Doesn't it seem like demand is pretty good this year?\Yeah, we've made around 20 more sales compared to last year's festival.\What do you think? It's quite a nice room, right?\Yeah. It's close to my house too, isn't that nice?\Yup.\The festival's in three days.\Are you really going to have the inter-school match?\They said we should play a game to show the rookies. response:	The opponent is Hotarugawa, right?
context: Yeah, we've made around 20 more sales compared to last year's festival.\What do you think? It's quite a nice room, right?\Yeah. It's close to my house too, isn't that nice?\Yup.\The festival's in three days.\Are you really going to have the inter-school match?\They said we should play a game to show the rookies.\The opponent is Hotarugawa, right? response:	Won't the boys' basket...
context: What do you think? It's quite a nice room, right?\Yeah. It's close to my house too, isn't that nice?\Yup.\The festival's in three days.\Are you really going to have the inter-school match?\They said we should play a game to show the rookies.\The opponent is Hotarugawa, right?\Won't the boys' basket... response:	Yup, the boys' basketball team's gonna come cheer as well.
context: Yeah. It's close to my house too, isn't that nice?\Yup.\The festival's in three days.\Are you really going to have the inter-school match?\They said we should play a game to show the rookies.\The opponent is Hotarugawa, right?\Won't the boys' basket...\Yup, the boys' basketball team's gonna come cheer as well. response:	Then, that means he's going to come too.
context: Yup.\The festival's in three days.\Are you really going to have the inter-school match?\They said we should play a game to show the rookies.\The opponent is Hotarugawa, right?\Won't the boys' basket...\Yup, the boys' basketball team's gonna come cheer as well.\Then, that means he's going to come too. response:	Why didn't she mention this before?
context: The festival's in three days.\Are you really going to have the inter-school match?\They said we should play a game to show the rookies.\The opponent is Hotarugawa, right?\Won't the boys' basket...\Yup, the boys' basketball team's gonna come cheer as well.\Then, that means he's going to come too.\Why didn't she mention this before? response:	Not like she had a reason to say it...
context: Are you really going to have the inter-school match?\They said we should play a game to show the rookies.\The opponent is Hotarugawa, right?\Won't the boys' basket...\Yup, the boys' basketball team's gonna come cheer as well.\Then, that means he's going to come too.\Why didn't she mention this before?\Not like she had a reason to say it... response:	Eh? What?
context: They said we should play a game to show the rookies.\The opponent is Hotarugawa, right?\Won't the boys' basket...\Yup, the boys' basketball team's gonna come cheer as well.\Then, that means he's going to come too.\Why didn't she mention this before?\Not like she had a reason to say it...\Eh? What? response:	Nah, it's nothing.
context: The opponent is Hotarugawa, right?\Won't the boys' basket...\Yup, the boys' basketball team's gonna come cheer as well.\Then, that means he's going to come too.\Why didn't she mention this before?\Not like she had a reason to say it...\Eh? What?\Nah, it's nothing. response:	Here.
context: Won't the boys' basket...\Yup, the boys' basketball team's gonna come cheer as well.\Then, that means he's going to come too.\Why didn't she mention this before?\Not like she had a reason to say it...\Eh? What?\Nah, it's nothing.\Here. response:	I like when it's snowing by the sea.
context: Yup, the boys' basketball team's gonna come cheer as well.\Then, that means he's going to come too.\Why didn't she mention this before?\Not like she had a reason to say it...\Eh? What?\Nah, it's nothing.\Here.\I like when it's snowing by the sea. response:	Let's go to the shore!
context: Then, that means he's going to come too.\Why didn't she mention this before?\Not like she had a reason to say it...\Eh? What?\Nah, it's nothing.\Here.\I like when it's snowing by the sea.\Let's go to the shore! response:	I'll head out first.
context: Why didn't she mention this before?\Not like she had a reason to say it...\Eh? What?\Nah, it's nothing.\Here.\I like when it's snowing by the sea.\Let's go to the shore!\I'll head out first. response:	Hey!
context: Not like she had a reason to say it...\Eh? What?\Nah, it's nothing.\Here.\I like when it's snowing by the sea.\Let's go to the shore!\I'll head out first.\Hey! response:	Be sure to lock the door!
context: Eh? What?\Nah, it's nothing.\Here.\I like when it's snowing by the sea.\Let's go to the shore!\I'll head out first.\Hey!\Be sure to lock the door! response:	Wait... Hold on!
context: Nah, it's nothing.\Here.\I like when it's snowing by the sea.\Let's go to the shore!\I'll head out first.\Hey!\Be sure to lock the door!\Wait... Hold on! response:	Because... I lost my tears.
context: Here.\I like when it's snowing by the sea.\Let's go to the shore!\I'll head out first.\Hey!\Be sure to lock the door!\Wait... Hold on!\Because... I lost my tears. response:	It's going to start in three days, huh?
context: I like when it's snowing by the sea.\Let's go to the shore!\I'll head out first.\Hey!\Be sure to lock the door!\Wait... Hold on!\Because... I lost my tears.\It's going to start in three days, huh? response:	Have you practiced your dancing to perfection?
context: Let's go to the shore!\I'll head out first.\Hey!\Be sure to lock the door!\Wait... Hold on!\Because... I lost my tears.\It's going to start in three days, huh?\Have you practiced your dancing to perfection? response:	Yeah. Well, somewhat.
context: I'll head out first.\Hey!\Be sure to lock the door!\Wait... Hold on!\Because... I lost my tears.\It's going to start in three days, huh?\Have you practiced your dancing to perfection?\Yeah. Well, somewhat. response:	You were just like Raigoumaru!
context: Hey!\Be sure to lock the door!\Wait... Hold on!\Because... I lost my tears.\It's going to start in three days, huh?\Have you practiced your dancing to perfection?\Yeah. Well, somewhat.\You were just like Raigoumaru! response:	Looking cool, courageous, shining bright!
context: Be sure to lock the door!\Wait... Hold on!\Because... I lost my tears.\It's going to start in three days, huh?\Have you practiced your dancing to perfection?\Yeah. Well, somewhat.\You were just like Raigoumaru!\Looking cool, courageous, shining bright! response:	I'm looking forward to see Shinichirou-kun dressed up.
context: Wait... Hold on!\Because... I lost my tears.\It's going to start in three days, huh?\Have you practiced your dancing to perfection?\Yeah. Well, somewhat.\You were just like Raigoumaru!\Looking cool, courageous, shining bright!\I'm looking forward to see Shinichirou-kun dressed up. response:	Obaa-san told me that Oji-san once danced as the lead too.
context: Because... I lost my tears.\It's going to start in three days, huh?\Have you practiced your dancing to perfection?\Yeah. Well, somewhat.\You were just like Raigoumaru!\Looking cool, courageous, shining bright!\I'm looking forward to see Shinichirou-kun dressed up.\Obaa-san told me that Oji-san once danced as the lead too. response:	Oh, so you knew that.
context: It's going to start in three days, huh?\Have you practiced your dancing to perfection?\Yeah. Well, somewhat.\You were just like Raigoumaru!\Looking cool, courageous, shining bright!\I'm looking forward to see Shinichirou-kun dressed up.\Obaa-san told me that Oji-san once danced as the lead too.\Oh, so you knew that. response:	I will be at the front row, looking at Shinichirou!
context: Have you practiced your dancing to perfection?\Yeah. Well, somewhat.\You were just like Raigoumaru!\Looking cool, courageous, shining bright!\I'm looking forward to see Shinichirou-kun dressed up.\Obaa-san told me that Oji-san once danced as the lead too.\Oh, so you knew that.\I will be at the front row, looking at Shinichirou! response:	Let's go home.
context: Yeah. Well, somewhat.\You were just like Raigoumaru!\Looking cool, courageous, shining bright!\I'm looking forward to see Shinichirou-kun dressed up.\Obaa-san told me that Oji-san once danced as the lead too.\Oh, so you knew that.\I will be at the front row, looking at Shinichirou!\Let's go home. response:	I have to go to Shinichirou-kun's home this afternoon.
context: You were just like Raigoumaru!\Looking cool, courageous, shining bright!\I'm looking forward to see Shinichirou-kun dressed up.\Obaa-san told me that Oji-san once danced as the lead too.\Oh, so you knew that.\I will be at the front row, looking at Shinichirou!\Let's go home.\I have to go to Shinichirou-kun's home this afternoon. response:	If it's too busy over there, Oba-san might end up in a bad mood.
context: Looking cool, courageous, shining bright!\I'm looking forward to see Shinichirou-kun dressed up.\Obaa-san told me that Oji-san once danced as the lead too.\Oh, so you knew that.\I will be at the front row, looking at Shinichirou!\Let's go home.\I have to go to Shinichirou-kun's home this afternoon.\If it's too busy over there, Oba-san might end up in a bad mood. response:	What the...
context: I'm looking forward to see Shinichirou-kun dressed up.\Obaa-san told me that Oji-san once danced as the lead too.\Oh, so you knew that.\I will be at the front row, looking at Shinichirou!\Let's go home.\I have to go to Shinichirou-kun's home this afternoon.\If it's too busy over there, Oba-san might end up in a bad mood.\What the... response:	Want a nice, cheerful female friend?
context: Obaa-san told me that Oji-san once danced as the lead too.\Oh, so you knew that.\I will be at the front row, looking at Shinichirou!\Let's go home.\I have to go to Shinichirou-kun's home this afternoon.\If it's too busy over there, Oba-san might end up in a bad mood.\What the...\Want a nice, cheerful female friend? response:	You get all the coke and Imagawayaki you want if you become a friend of hers.
context: Oh, so you knew that.\I will be at the front row, looking at Shinichirou!\Let's go home.\I have to go to Shinichirou-kun's home this afternoon.\If it's too busy over there, Oba-san might end up in a bad mood.\What the...\Want a nice, cheerful female friend?\You get all the coke and Imagawayaki you want if you become a friend of hers. response:	Let's start over as friends again.
context: I will be at the front row, looking at Shinichirou!\Let's go home.\I have to go to Shinichirou-kun's home this afternoon.\If it's too busy over there, Oba-san might end up in a bad mood.\What the...\Want a nice, cheerful female friend?\You get all the coke and Imagawayaki you want if you become a friend of hers.\Let's start over as friends again. response:	Making a sweater was impossible from the start.
context: Let's go home.\I have to go to Shinichirou-kun's home this afternoon.\If it's too busy over there, Oba-san might end up in a bad mood.\What the...\Want a nice, cheerful female friend?\You get all the coke and Imagawayaki you want if you become a friend of hers.\Let's start over as friends again.\Making a sweater was impossible from the start. response:	We need to start over with something simpler.
context: I have to go to Shinichirou-kun's home this afternoon.\If it's too busy over there, Oba-san might end up in a bad mood.\What the...\Want a nice, cheerful female friend?\You get all the coke and Imagawayaki you want if you become a friend of hers.\Let's start over as friends again.\Making a sweater was impossible from the start.\We need to start over with something simpler. response:	But...
context: If it's too busy over there, Oba-san might end up in a bad mood.\What the...\Want a nice, cheerful female friend?\You get all the coke and Imagawayaki you want if you become a friend of hers.\Let's start over as friends again.\Making a sweater was impossible from the start.\We need to start over with something simpler.\But... response:	I'll be working hard so that one day, you'll make me a sweater.
context: What the...\Want a nice, cheerful female friend?\You get all the coke and Imagawayaki you want if you become a friend of hers.\Let's start over as friends again.\Making a sweater was impossible from the start.\We need to start over with something simpler.\But...\I'll be working hard so that one day, you'll make me a sweater. response:	I'll work to improve my knitting skills until then, too.
context: Want a nice, cheerful female friend?\You get all the coke and Imagawayaki you want if you become a friend of hers.\Let's start over as friends again.\Making a sweater was impossible from the start.\We need to start over with something simpler.\But...\I'll be working hard so that one day, you'll make me a sweater.\I'll work to improve my knitting skills until then, too. response:	I'm home!
context: You get all the coke and Imagawayaki you want if you become a friend of hers.\Let's start over as friends again.\Making a sweater was impossible from the start.\We need to start over with something simpler.\But...\I'll be working hard so that one day, you'll make me a sweater.\I'll work to improve my knitting skills until then, too.\I'm home! response:	Sorry for intruding!
context: Let's start over as friends again.\Making a sweater was impossible from the start.\We need to start over with something simpler.\But...\I'll be working hard so that one day, you'll make me a sweater.\I'll work to improve my knitting skills until then, too.\I'm home!\Sorry for intruding! response:	The next day, it was raining.
context: Making a sweater was impossible from the start.\We need to start over with something simpler.\But...\I'll be working hard so that one day, you'll make me a sweater.\I'll work to improve my knitting skills until then, too.\I'm home!\Sorry for intruding!\The next day, it was raining. response:	Beside him, Ground was eagerly and noisily flapping his wings, but...
context: We need to start over with something simpler.\But...\I'll be working hard so that one day, you'll make me a sweater.\I'll work to improve my knitting skills until then, too.\I'm home!\Sorry for intruding!\The next day, it was raining.\Beside him, Ground was eagerly and noisily flapping his wings, but... response:	Raigoumaru was resting peacefully.
context: But...\I'll be working hard so that one day, you'll make me a sweater.\I'll work to improve my knitting skills until then, too.\I'm home!\Sorry for intruding!\The next day, it was raining.\Beside him, Ground was eagerly and noisily flapping his wings, but...\Raigoumaru was resting peacefully. response:	Hiromi!
context: I'll be working hard so that one day, you'll make me a sweater.\I'll work to improve my knitting skills until then, too.\I'm home!\Sorry for intruding!\The next day, it was raining.\Beside him, Ground was eagerly and noisily flapping his wings, but...\Raigoumaru was resting peacefully.\Hiromi! response:	Hiromi!
context: I'll work to improve my knitting skills until then, too.\I'm home!\Sorry for intruding!\The next day, it was raining.\Beside him, Ground was eagerly and noisily flapping his wings, but...\Raigoumaru was resting peacefully.\Hiromi!\Hiromi! response:	I'm fine...
context: I'm home!\Sorry for intruding!\The next day, it was raining.\Beside him, Ground was eagerly and noisily flapping his wings, but...\Raigoumaru was resting peacefully.\Hiromi!\Hiromi!\I'm fine... response:	That was obviously on purpose! How horrible!
context: Sorry for intruding!\The next day, it was raining.\Beside him, Ground was eagerly and noisily flapping his wings, but...\Raigoumaru was resting peacefully.\Hiromi!\Hiromi!\I'm fine...\That was obviously on purpose! How horrible! response:	Judge!
context: The next day, it was raining.\Beside him, Ground was eagerly and noisily flapping his wings, but...\Raigoumaru was resting peacefully.\Hiromi!\Hiromi!\I'm fine...\That was obviously on purpose! How horrible!\Judge! response:	Hey, what's with you? Get off the court!
context: Beside him, Ground was eagerly and noisily flapping his wings, but...\Raigoumaru was resting peacefully.\Hiromi!\Hiromi!\I'm fine...\That was obviously on purpose! How horrible!\Judge!\Hey, what's with you? Get off the court! response:	What was with that foul play?
context: Raigoumaru was resting peacefully.\Hiromi!\Hiromi!\I'm fine...\That was obviously on purpose! How horrible!\Judge!\Hey, what's with you? Get off the court!\What was with that foul play? response:	I'll be listening if you have any explanations.
context: Hiromi!\Hiromi!\I'm fine...\That was obviously on purpose! How horrible!\Judge!\Hey, what's with you? Get off the court!\What was with that foul play?\I'll be listening if you have any explanations. response:	You! Get off the court!
context: Hiromi!\I'm fine...\That was obviously on purpose! How horrible!\Judge!\Hey, what's with you? Get off the court!\What was with that foul play?\I'll be listening if you have any explanations.\You! Get off the court! response:	Incredible...
context: I'm fine...\That was obviously on purpose! How horrible!\Judge!\Hey, what's with you? Get off the court!\What was with that foul play?\I'll be listening if you have any explanations.\You! Get off the court!\Incredible... response:	Time out! Give us a time out!
context: That was obviously on purpose! How horrible!\Judge!\Hey, what's with you? Get off the court!\What was with that foul play?\I'll be listening if you have any explanations.\You! Get off the court!\Incredible...\Time out! Give us a time out! response:	Incredible! He confessed in front of everyone?
context: Judge!\Hey, what's with you? Get off the court!\What was with that foul play?\I'll be listening if you have any explanations.\You! Get off the court!\Incredible...\Time out! Give us a time out!\Incredible! He confessed in front of everyone? response:	After doing something like that, she should fall for him instantly!
context: Hey, what's with you? Get off the court!\What was with that foul play?\I'll be listening if you have any explanations.\You! Get off the court!\Incredible...\Time out! Give us a time out!\Incredible! He confessed in front of everyone?\After doing something like that, she should fall for him instantly! response:	Okay? We have to get our acts together!
context: What was with that foul play?\I'll be listening if you have any explanations.\You! Get off the court!\Incredible...\Time out! Give us a time out!\Incredible! He confessed in front of everyone?\After doing something like that, she should fall for him instantly!\Okay? We have to get our acts together! response:	Concentrate!
context: I'll be listening if you have any explanations.\You! Get off the court!\Incredible...\Time out! Give us a time out!\Incredible! He confessed in front of everyone?\After doing something like that, she should fall for him instantly!\Okay? We have to get our acts together!\Concentrate! response:	Yes!
context: You! Get off the court!\Incredible...\Time out! Give us a time out!\Incredible! He confessed in front of everyone?\After doing something like that, she should fall for him instantly!\Okay? We have to get our acts together!\Concentrate!\Yes! response:	Yo.
context: Incredible...\Time out! Give us a time out!\Incredible! He confessed in front of everyone?\After doing something like that, she should fall for him instantly!\Okay? We have to get our acts together!\Concentrate!\Yes!\Yo. response:	Yo...
context: Time out! Give us a time out!\Incredible! He confessed in front of everyone?\After doing something like that, she should fall for him instantly!\Okay? We have to get our acts together!\Concentrate!\Yes!\Yo.\Yo... response:	Listen...
context: Incredible! He confessed in front of everyone?\After doing something like that, she should fall for him instantly!\Okay? We have to get our acts together!\Concentrate!\Yes!\Yo.\Yo...\Listen... response:	Could you tell Isurugi Noe that her curse didn't work?
context: After doing something like that, she should fall for him instantly!\Okay? We have to get our acts together!\Concentrate!\Yes!\Yo.\Yo...\Listen...\Could you tell Isurugi Noe that her curse didn't work? response:	It's fine. She'll get it when you tell her that.
context: Okay? We have to get our acts together!\Concentrate!\Yes!\Yo.\Yo...\Listen...\Could you tell Isurugi Noe that her curse didn't work?\It's fine. She'll get it when you tell her that. response:	Well, see ya.
context: Concentrate!\Yes!\Yo.\Yo...\Listen...\Could you tell Isurugi Noe that her curse didn't work?\It's fine. She'll get it when you tell her that.\Well, see ya. response:	I'm working part time at Ai-chan's today.
context: Yes!\Yo.\Yo...\Listen...\Could you tell Isurugi Noe that her curse didn't work?\It's fine. She'll get it when you tell her that.\Well, see ya.\I'm working part time at Ai-chan's today. response:	Hey, hold on!
context: Yo.\Yo...\Listen...\Could you tell Isurugi Noe that her curse didn't work?\It's fine. She'll get it when you tell her that.\Well, see ya.\I'm working part time at Ai-chan's today.\Hey, hold on! response:	What's this? Isn't that Ground's upright silhouette, standing against the morning sun on top of the 10 meter-tall cliff?
context: Yo...\Listen...\Could you tell Isurugi Noe that her curse didn't work?\It's fine. She'll get it when you tell her that.\Well, see ya.\I'm working part time at Ai-chan's today.\Hey, hold on!\What's this? Isn't that Ground's upright silhouette, standing against the morning sun on top of the 10 meter-tall cliff? response:	Master, spread wider.
context: Listen...\Could you tell Isurugi Noe that her curse didn't work?\It's fine. She'll get it when you tell her that.\Well, see ya.\I'm working part time at Ai-chan's today.\Hey, hold on!\What's this? Isn't that Ground's upright silhouette, standing against the morning sun on top of the 10 meter-tall cliff?\Master, spread wider. response:	I'm home.
context: Could you tell Isurugi Noe that her curse didn't work?\It's fine. She'll get it when you tell her that.\Well, see ya.\I'm working part time at Ai-chan's today.\Hey, hold on!\What's this? Isn't that Ground's upright silhouette, standing against the morning sun on top of the 10 meter-tall cliff?\Master, spread wider.\I'm home. response:	I'm...
context: It's fine. She'll get it when you tell her that.\Well, see ya.\I'm working part time at Ai-chan's today.\Hey, hold on!\What's this? Isn't that Ground's upright silhouette, standing against the morning sun on top of the 10 meter-tall cliff?\Master, spread wider.\I'm home.\I'm... response:	How are things over there?
context: Well, see ya.\I'm working part time at Ai-chan's today.\Hey, hold on!\What's this? Isn't that Ground's upright silhouette, standing against the morning sun on top of the 10 meter-tall cliff?\Master, spread wider.\I'm home.\I'm...\How are things over there? response:	Yes, everything's fine.
context: I'm working part time at Ai-chan's today.\Hey, hold on!\What's this? Isn't that Ground's upright silhouette, standing against the morning sun on top of the 10 meter-tall cliff?\Master, spread wider.\I'm home.\I'm...\How are things over there?\Yes, everything's fine. response:	Hey, come here and take a look at this.
context: Hey, hold on!\What's this? Isn't that Ground's upright silhouette, standing against the morning sun on top of the 10 meter-tall cliff?\Master, spread wider.\I'm home.\I'm...\How are things over there?\Yes, everything's fine.\Hey, come here and take a look at this. response:	I will wipe your tears properly... What was with that?
context: What's this? Isn't that Ground's upright silhouette, standing against the morning sun on top of the 10 meter-tall cliff?\Master, spread wider.\I'm home.\I'm...\How are things over there?\Yes, everything's fine.\Hey, come here and take a look at this.\I will wipe your tears properly... What was with that? response:	Shinichirou, you can fly.
context: Master, spread wider.\I'm home.\I'm...\How are things over there?\Yes, everything's fine.\Hey, come here and take a look at this.\I will wipe your tears properly... What was with that?\Shinichirou, you can fly. response:	You just don't know it yourself.
context: I'm home.\I'm...\How are things over there?\Yes, everything's fine.\Hey, come here and take a look at this.\I will wipe your tears properly... What was with that?\Shinichirou, you can fly.\You just don't know it yourself. response:	I didn't do anything properly...
context: I'm...\How are things over there?\Yes, everything's fine.\Hey, come here and take a look at this.\I will wipe your tears properly... What was with that?\Shinichirou, you can fly.\You just don't know it yourself.\I didn't do anything properly... response:	Not for anyone...
context: How are things over there?\Yes, everything's fine.\Hey, come here and take a look at this.\I will wipe your tears properly... What was with that?\Shinichirou, you can fly.\You just don't know it yourself.\I didn't do anything properly...\Not for anyone... response:	Isn't it cold tonight?
context: Yes, everything's fine.\Hey, come here and take a look at this.\I will wipe your tears properly... What was with that?\Shinichirou, you can fly.\You just don't know it yourself.\I didn't do anything properly...\Not for anyone...\Isn't it cold tonight? response:	Yeah.
context: Hey, come here and take a look at this.\I will wipe your tears properly... What was with that?\Shinichirou, you can fly.\You just don't know it yourself.\I didn't do anything properly...\Not for anyone...\Isn't it cold tonight?\Yeah. response:	Oh, you're home?
context: I will wipe your tears properly... What was with that?\Shinichirou, you can fly.\You just don't know it yourself.\I didn't do anything properly...\Not for anyone...\Isn't it cold tonight?\Yeah.\Oh, you're home? response:	I'm looking forward to the Mugiha dance.
context: Shinichirou, you can fly.\You just don't know it yourself.\I didn't do anything properly...\Not for anyone...\Isn't it cold tonight?\Yeah.\Oh, you're home?\I'm looking forward to the Mugiha dance. response:	Then, I'm going in first.
context: You just don't know it yourself.\I didn't do anything properly...\Not for anyone...\Isn't it cold tonight?\Yeah.\Oh, you're home?\I'm looking forward to the Mugiha dance.\Then, I'm going in first. response:	Yeah.
context: I didn't do anything properly...\Not for anyone...\Isn't it cold tonight?\Yeah.\Oh, you're home?\I'm looking forward to the Mugiha dance.\Then, I'm going in first.\Yeah. response:	So, how's your picture book going?
context: Not for anyone...\Isn't it cold tonight?\Yeah.\Oh, you're home?\I'm looking forward to the Mugiha dance.\Then, I'm going in first.\Yeah.\So, how's your picture book going? response:	It'll be finished soon.
context: Isn't it cold tonight?\Yeah.\Oh, you're home?\I'm looking forward to the Mugiha dance.\Then, I'm going in first.\Yeah.\So, how's your picture book going?\It'll be finished soon. response:	I see.
context: Yeah.\Oh, you're home?\I'm looking forward to the Mugiha dance.\Then, I'm going in first.\Yeah.\So, how's your picture book going?\It'll be finished soon.\I see. response:	I'm looking forward to it.
context: Oh, you're home?\I'm looking forward to the Mugiha dance.\Then, I'm going in first.\Yeah.\So, how's your picture book going?\It'll be finished soon.\I see.\I'm looking forward to it. response:	Well anyway, right now you should concentrate on leading the Mugiha dance.
context: I'm looking forward to the Mugiha dance.\Then, I'm going in first.\Yeah.\So, how's your picture book going?\It'll be finished soon.\I see.\I'm looking forward to it.\Well anyway, right now you should concentrate on leading the Mugiha dance. response:	I'm looking forward to the Mugiha dance.
context: Then, I'm going in first.\Yeah.\So, how's your picture book going?\It'll be finished soon.\I see.\I'm looking forward to it.\Well anyway, right now you should concentrate on leading the Mugiha dance.\I'm looking forward to the Mugiha dance. response:	I'll do my best!
context: Yeah.\So, how's your picture book going?\It'll be finished soon.\I see.\I'm looking forward to it.\Well anyway, right now you should concentrate on leading the Mugiha dance.\I'm looking forward to the Mugiha dance.\I'll do my best! response:	Ground's shadow left the top of the cliff.
context: So, how's your picture book going?\It'll be finished soon.\I see.\I'm looking forward to it.\Well anyway, right now you should concentrate on leading the Mugiha dance.\I'm looking forward to the Mugiha dance.\I'll do my best!\Ground's shadow left the top of the cliff. response:	Then, the stalled-in-flight Ground rapidly fell towards the earth.
context: It'll be finished soon.\I see.\I'm looking forward to it.\Well anyway, right now you should concentrate on leading the Mugiha dance.\I'm looking forward to the Mugiha dance.\I'll do my best!\Ground's shadow left the top of the cliff.\Then, the stalled-in-flight Ground rapidly fell towards the earth. response:	Raigoumaru watched it all, from beginning to end.
context: I see.\I'm looking forward to it.\Well anyway, right now you should concentrate on leading the Mugiha dance.\I'm looking forward to the Mugiha dance.\I'll do my best!\Ground's shadow left the top of the cliff.\Then, the stalled-in-flight Ground rapidly fell towards the earth.\Raigoumaru watched it all, from beginning to end. response:	Hiromi?
context: I'm looking forward to it.\Well anyway, right now you should concentrate on leading the Mugiha dance.\I'm looking forward to the Mugiha dance.\I'll do my best!\Ground's shadow left the top of the cliff.\Then, the stalled-in-flight Ground rapidly fell towards the earth.\Raigoumaru watched it all, from beginning to end.\Hiromi? response:	Yeah. Thanks for today!
context: Well anyway, right now you should concentrate on leading the Mugiha dance.\I'm looking forward to the Mugiha dance.\I'll do my best!\Ground's shadow left the top of the cliff.\Then, the stalled-in-flight Ground rapidly fell towards the earth.\Raigoumaru watched it all, from beginning to end.\Hiromi?\Yeah. Thanks for today! response:	Today, Takaoka got a call from Hotarugawa's team saying that they apologize.
context: I'm looking forward to the Mugiha dance.\I'll do my best!\Ground's shadow left the top of the cliff.\Then, the stalled-in-flight Ground rapidly fell towards the earth.\Raigoumaru watched it all, from beginning to end.\Hiromi?\Yeah. Thanks for today!\Today, Takaoka got a call from Hotarugawa's team saying that they apologize. response:	I see.
