context: It's not a dream. response:	It's not a joke.
context: We got some tickets for this, so if you're interested, come see management.\I say it over and over again.\We're going to Antarctica!\She actually said Antarctica!\You don't care?\No.\It's not as if they'd believe me right now anyway.\I'll say it after I've really gone, response:	In your face, in your face, in your face!
context: I say it over and over again.\We're going to Antarctica!\She actually said Antarctica!\You don't care?\No.\It's not as if they'd believe me right now anyway.\I'll say it after I've really gone,\In your face, in your face, in your face! response:	You're kind of a jerk, you know.
context: We're going to Antarctica!\She actually said Antarctica!\You don't care?\No.\It's not as if they'd believe me right now anyway.\I'll say it after I've really gone,\In your face, in your face, in your face!\You're kind of a jerk, you know. response:	I certainly am.
context: She actually said Antarctica!\You don't care?\No.\It's not as if they'd believe me right now anyway.\I'll say it after I've really gone,\In your face, in your face, in your face!\You're kind of a jerk, you know.\I certainly am. response:	You mind?
context: You don't care?\No.\It's not as if they'd believe me right now anyway.\I'll say it after I've really gone,\In your face, in your face, in your face!\You're kind of a jerk, you know.\I certainly am.\You mind? response:	Nope!
context: No.\It's not as if they'd believe me right now anyway.\I'll say it after I've really gone,\In your face, in your face, in your face!\You're kind of a jerk, you know.\I certainly am.\You mind?\Nope! response:	A Place Further Than the Universe
context: It's not as if they'd believe me right now anyway.\I'll say it after I've really gone,\In your face, in your face, in your face!\You're kind of a jerk, you know.\I certainly am.\You mind?\Nope!\A Place Further Than the Universe response:	5 Likes 4 Comments
context: I'll say it after I've really gone,\In your face, in your face, in your face!\You're kind of a jerk, you know.\I certainly am.\You mind?\Nope!\A Place Further Than the Universe\5 Likes 4 Comments response:	ShutUp InYourFace Compasser
context: In your face, in your face, in your face!\You're kind of a jerk, you know.\I certainly am.\You mind?\Nope!\A Place Further Than the Universe\5 Likes 4 Comments\ShutUp InYourFace Compasser response:	Always check the lower door before and after closing the freezer door
context: You're kind of a jerk, you know.\I certainly am.\You mind?\Nope!\A Place Further Than the Universe\5 Likes 4 Comments\ShutUp InYourFace Compasser\Always check the lower door before and after closing the freezer door response:	You're serious about this?
context: I certainly am.\You mind?\Nope!\A Place Further Than the Universe\5 Likes 4 Comments\ShutUp InYourFace Compasser\Always check the lower door before and after closing the freezer door\You're serious about this? response:	You need two days off for this summer training,
context: You mind?\Nope!\A Place Further Than the Universe\5 Likes 4 Comments\ShutUp InYourFace Compasser\Always check the lower door before and after closing the freezer door\You're serious about this?\You need two days off for this summer training, response:	and then you'll be taking time off beginning in December?
context: Nope!\A Place Further Than the Universe\5 Likes 4 Comments\ShutUp InYourFace Compasser\Always check the lower door before and after closing the freezer door\You're serious about this?\You need two days off for this summer training,\and then you'll be taking time off beginning in December? response:	Yes.
context: A Place Further Than the Universe\5 Likes 4 Comments\ShutUp InYourFace Compasser\Always check the lower door before and after closing the freezer door\You're serious about this?\You need two days off for this summer training,\and then you'll be taking time off beginning in December?\Yes. response:	What do your parents have to say?
context: 5 Likes 4 Comments\ShutUp InYourFace Compasser\Always check the lower door before and after closing the freezer door\You're serious about this?\You need two days off for this summer training,\and then you'll be taking time off beginning in December?\Yes.\What do your parents have to say? response:	We have their permission.
context: ShutUp InYourFace Compasser\Always check the lower door before and after closing the freezer door\You're serious about this?\You need two days off for this summer training,\and then you'll be taking time off beginning in December?\Yes.\What do your parents have to say?\We have their permission. response:	I hereby grant permission as guardian of your student (Kobuchizawa Shirase) for them to take the following time off: (Student's Class) Year 2 Class 2 (Student Name) Kobuchizawa Shirase (Guardian Name) Kobuchizawa Koumi To join the Civilian Antarctic Expedition Challenge For Antarctic team and...
context: Always check the lower door before and after closing the freezer door\You're serious about this?\You need two days off for this summer training,\and then you'll be taking time off beginning in December?\Yes.\What do your parents have to say?\We have their permission.\I hereby grant permission as guardian of your student (Kobuchizawa Shirase) for them to take the following time off: (Student's Class) Year 2 Class 2 (Student Name) Kobuchizawa Shirase (Guardian Name) Kobuchizawa Koumi To join the Civilian Antarctic Expedition Challenge For Antarctic team and... response:	Tamaki-san?
context: You're serious about this?\You need two days off for this summer training,\and then you'll be taking time off beginning in December?\Yes.\What do your parents have to say?\We have their permission.\I hereby grant permission as guardian of your student (Kobuchizawa Shirase) for them to take the following time off: (Student's Class) Year 2 Class 2 (Student Name) Kobuchizawa Shirase (Guardian Name) Kobuchizawa Koumi To join the Civilian Antarctic Expedition Challenge For Antarctic team and...\Tamaki-san? response:	Um...
context: You need two days off for this summer training,\and then you'll be taking time off beginning in December?\Yes.\What do your parents have to say?\We have their permission.\I hereby grant permission as guardian of your student (Kobuchizawa Shirase) for them to take the following time off: (Student's Class) Year 2 Class 2 (Student Name) Kobuchizawa Shirase (Guardian Name) Kobuchizawa Koumi To join the Civilian Antarctic Expedition Challenge For Antarctic team and...\Tamaki-san?\Um... response:	What do you think, Rin?
context: and then you'll be taking time off beginning in December?\Yes.\What do your parents have to say?\We have their permission.\I hereby grant permission as guardian of your student (Kobuchizawa Shirase) for them to take the following time off: (Student's Class) Year 2 Class 2 (Student Name) Kobuchizawa Shirase (Guardian Name) Kobuchizawa Koumi To join the Civilian Antarctic Expedition Challenge For Antarctic team and...\Tamaki-san?\Um...\What do you think, Rin? response:	Seems pretty normal.
context: Yes.\What do your parents have to say?\We have their permission.\I hereby grant permission as guardian of your student (Kobuchizawa Shirase) for them to take the following time off: (Student's Class) Year 2 Class 2 (Student Name) Kobuchizawa Shirase (Guardian Name) Kobuchizawa Koumi To join the Civilian Antarctic Expedition Challenge For Antarctic team and...\Tamaki-san?\Um...\What do you think, Rin?\Seems pretty normal. response:	She didn't slam the refrigerator door,
context: What do your parents have to say?\We have their permission.\I hereby grant permission as guardian of your student (Kobuchizawa Shirase) for them to take the following time off: (Student's Class) Year 2 Class 2 (Student Name) Kobuchizawa Shirase (Guardian Name) Kobuchizawa Koumi To join the Civilian Antarctic Expedition Challenge For Antarctic team and...\Tamaki-san?\Um...\What do you think, Rin?\Seems pretty normal.\She didn't slam the refrigerator door, response:	and the rhythm of her chopping seems normal...
context: We have their permission.\I hereby grant permission as guardian of your student (Kobuchizawa Shirase) for them to take the following time off: (Student's Class) Year 2 Class 2 (Student Name) Kobuchizawa Shirase (Guardian Name) Kobuchizawa Koumi To join the Civilian Antarctic Expedition Challenge For Antarctic team and...\Tamaki-san?\Um...\What do you think, Rin?\Seems pretty normal.\She didn't slam the refrigerator door,\and the rhythm of her chopping seems normal... response:	Okay!
context: I hereby grant permission as guardian of your student (Kobuchizawa Shirase) for them to take the following time off: (Student's Class) Year 2 Class 2 (Student Name) Kobuchizawa Shirase (Guardian Name) Kobuchizawa Koumi To join the Civilian Antarctic Expedition Challenge For Antarctic team and...\Tamaki-san?\Um...\What do you think, Rin?\Seems pretty normal.\She didn't slam the refrigerator door,\and the rhythm of her chopping seems normal...\Okay! response:	Wait!
context: Tamaki-san?\Um...\What do you think, Rin?\Seems pretty normal.\She didn't slam the refrigerator door,\and the rhythm of her chopping seems normal...\Okay!\Wait! response:	I'm suspicious. It's too normal.
context: Um...\What do you think, Rin?\Seems pretty normal.\She didn't slam the refrigerator door,\and the rhythm of her chopping seems normal...\Okay!\Wait!\I'm suspicious. It's too normal. response:	Like it's all a front, to trick us...
context: What do you think, Rin?\Seems pretty normal.\She didn't slam the refrigerator door,\and the rhythm of her chopping seems normal...\Okay!\Wait!\I'm suspicious. It's too normal.\Like it's all a front, to trick us... response:	Mari-chan.
context: Seems pretty normal.\She didn't slam the refrigerator door,\and the rhythm of her chopping seems normal...\Okay!\Wait!\I'm suspicious. It's too normal.\Like it's all a front, to trick us...\Mari-chan. response:	Y-Yes?
context: She didn't slam the refrigerator door,\and the rhythm of her chopping seems normal...\Okay!\Wait!\I'm suspicious. It's too normal.\Like it's all a front, to trick us...\Mari-chan.\Y-Yes? response:	I bought some bath salts. Could you take them to the bathroom?
context: and the rhythm of her chopping seems normal...\Okay!\Wait!\I'm suspicious. It's too normal.\Like it's all a front, to trick us...\Mari-chan.\Y-Yes?\I bought some bath salts. Could you take them to the bathroom? response:	Sure!
context: Okay!\Wait!\I'm suspicious. It's too normal.\Like it's all a front, to trick us...\Mari-chan.\Y-Yes?\I bought some bath salts. Could you take them to the bathroom?\Sure! response:	Feels Like Antarctica
context: Wait!\I'm suspicious. It's too normal.\Like it's all a front, to trick us...\Mari-chan.\Y-Yes?\I bought some bath salts. Could you take them to the bathroom?\Sure!\Feels Like Antarctica response:	Medicinal Bath Salts
context: I'm suspicious. It's too normal.\Like it's all a front, to trick us...\Mari-chan.\Y-Yes?\I bought some bath salts. Could you take them to the bathroom?\Sure!\Feels Like Antarctica\Medicinal Bath Salts response:	Mint
context: Like it's all a front, to trick us...\Mari-chan.\Y-Yes?\I bought some bath salts. Could you take them to the bathroom?\Sure!\Feels Like Antarctica\Medicinal Bath Salts\Mint response:	Limited Time
context: Mari-chan.\Y-Yes?\I bought some bath salts. Could you take them to the bathroom?\Sure!\Feels Like Antarctica\Medicinal Bath Salts\Mint\Limited Time response:	They started selling those recently.
context: Y-Yes?\I bought some bath salts. Could you take them to the bathroom?\Sure!\Feels Like Antarctica\Medicinal Bath Salts\Mint\Limited Time\They started selling those recently. response:	Does she already know?
context: I bought some bath salts. Could you take them to the bathroom?\Sure!\Feels Like Antarctica\Medicinal Bath Salts\Mint\Limited Time\They started selling those recently.\Does she already know? response:	No, it might just be a coincidence...
context: Sure!\Feels Like Antarctica\Medicinal Bath Salts\Mint\Limited Time\They started selling those recently.\Does she already know?\No, it might just be a coincidence... response:	If I jump to conclusions, I might be digging my own grave.
context: Feels Like Antarctica\Medicinal Bath Salts\Mint\Limited Time\They started selling those recently.\Does she already know?\No, it might just be a coincidence...\If I jump to conclusions, I might be digging my own grave. response:	But what if she knows?
context: Medicinal Bath Salts\Mint\Limited Time\They started selling those recently.\Does she already know?\No, it might just be a coincidence...\If I jump to conclusions, I might be digging my own grave.\But what if she knows? response:	If she does, then trying to hide it might make the situation worse!
context: Mint\Limited Time\They started selling those recently.\Does she already know?\No, it might just be a coincidence...\If I jump to conclusions, I might be digging my own grave.\But what if she knows?\If she does, then trying to hide it might make the situation worse! response:	Maybe I should be just come clean, and
context: Limited Time\They started selling those recently.\Does she already know?\No, it might just be a coincidence...\If I jump to conclusions, I might be digging my own grave.\But what if she knows?\If she does, then trying to hide it might make the situation worse!\Maybe I should be just come clean, and response:	Mari-chan.
context: They started selling those recently.\Does she already know?\No, it might just be a coincidence...\If I jump to conclusions, I might be digging my own grave.\But what if she knows?\If she does, then trying to hide it might make the situation worse!\Maybe I should be just come clean, and\Mari-chan. response:	Is something the matter?
context: Does she already know?\No, it might just be a coincidence...\If I jump to conclusions, I might be digging my own grave.\But what if she knows?\If she does, then trying to hide it might make the situation worse!\Maybe I should be just come clean, and\Mari-chan.\Is something the matter? response:	Or is there something on your mind?
context: No, it might just be a coincidence...\If I jump to conclusions, I might be digging my own grave.\But what if she knows?\If she does, then trying to hide it might make the situation worse!\Maybe I should be just come clean, and\Mari-chan.\Is something the matter?\Or is there something on your mind? response:	Antarctica, perhaps?
context: If I jump to conclusions, I might be digging my own grave.\But what if she knows?\If she does, then trying to hide it might make the situation worse!\Maybe I should be just come clean, and\Mari-chan.\Is something the matter?\Or is there something on your mind?\Antarctica, perhaps? response:	H-Hey, Mom!
context: But what if she knows?\If she does, then trying to hide it might make the situation worse!\Maybe I should be just come clean, and\Mari-chan.\Is something the matter?\Or is there something on your mind?\Antarctica, perhaps?\H-Hey, Mom! response:	The truth is, I've decided to take a trip this winter...
context: If she does, then trying to hide it might make the situation worse!\Maybe I should be just come clean, and\Mari-chan.\Is something the matter?\Or is there something on your mind?\Antarctica, perhaps?\H-Hey, Mom!\The truth is, I've decided to take a trip this winter... response:	Oh, that's a done deal, is it?
context: Maybe I should be just come clean, and\Mari-chan.\Is something the matter?\Or is there something on your mind?\Antarctica, perhaps?\H-Hey, Mom!\The truth is, I've decided to take a trip this winter...\Oh, that's a done deal, is it? response:	I simply hadn't heard a thing about it!
context: Mari-chan.\Is something the matter?\Or is there something on your mind?\Antarctica, perhaps?\H-Hey, Mom!\The truth is, I've decided to take a trip this winter...\Oh, that's a done deal, is it?\I simply hadn't heard a thing about it! response:	Not until a neighbor told me today.
context: Is something the matter?\Or is there something on your mind?\Antarctica, perhaps?\H-Hey, Mom!\The truth is, I've decided to take a trip this winter...\Oh, that's a done deal, is it?\I simply hadn't heard a thing about it!\Not until a neighbor told me today. response:	Gosh, was I embarrassed!
context: Or is there something on your mind?\Antarctica, perhaps?\H-Hey, Mom!\The truth is, I've decided to take a trip this winter...\Oh, that's a done deal, is it?\I simply hadn't heard a thing about it!\Not until a neighbor told me today.\Gosh, was I embarrassed! response:	W-Well, I meant to tell you...
context: Antarctica, perhaps?\H-Hey, Mom!\The truth is, I've decided to take a trip this winter...\Oh, that's a done deal, is it?\I simply hadn't heard a thing about it!\Not until a neighbor told me today.\Gosh, was I embarrassed!\W-Well, I meant to tell you... response:	I hereby grant permission as guardian of your student (Tamaki Mari) for them to take the following time off: (Student's Class) Year 2 Class 3 (Student Name) Tamaki Mari (Guardian Name) Tamaki Yoko To join the Civilian Antarctic Expedition Challenge For Antarctic team...
context: H-Hey, Mom!\The truth is, I've decided to take a trip this winter...\Oh, that's a done deal, is it?\I simply hadn't heard a thing about it!\Not until a neighbor told me today.\Gosh, was I embarrassed!\W-Well, I meant to tell you...\I hereby grant permission as guardian of your student (Tamaki Mari) for them to take the following time off: (Student's Class) Year 2 Class 3 (Student Name) Tamaki Mari (Guardian Name) Tamaki Yoko To join the Civilian Antarctic Expedition Challenge For Antarctic team... response:	It was just an issue of t-t-timing, and we needed to be sure it was happening...
context: The truth is, I've decided to take a trip this winter...\Oh, that's a done deal, is it?\I simply hadn't heard a thing about it!\Not until a neighbor told me today.\Gosh, was I embarrassed!\W-Well, I meant to tell you...\I hereby grant permission as guardian of your student (Tamaki Mari) for them to take the following time off: (Student's Class) Year 2 Class 3 (Student Name) Tamaki Mari (Guardian Name) Tamaki Yoko To join the Civilian Antarctic Expedition Challenge For Antarctic team...\It was just an issue of t-t-timing, and we needed to be sure it was happening... response:	Who filled this in, now?
context: Oh, that's a done deal, is it?\I simply hadn't heard a thing about it!\Not until a neighbor told me today.\Gosh, was I embarrassed!\W-Well, I meant to tell you...\I hereby grant permission as guardian of your student (Tamaki Mari) for them to take the following time off: (Student's Class) Year 2 Class 3 (Student Name) Tamaki Mari (Guardian Name) Tamaki Yoko To join the Civilian Antarctic Expedition Challenge For Antarctic team...\It was just an issue of t-t-timing, and we needed to be sure it was happening...\Who filled this in, now? response:	And who stamped it?
context: I simply hadn't heard a thing about it!\Not until a neighbor told me today.\Gosh, was I embarrassed!\W-Well, I meant to tell you...\I hereby grant permission as guardian of your student (Tamaki Mari) for them to take the following time off: (Student's Class) Year 2 Class 3 (Student Name) Tamaki Mari (Guardian Name) Tamaki Yoko To join the Civilian Antarctic Expedition Challenge For Antarctic team...\It was just an issue of t-t-timing, and we needed to be sure it was happening...\Who filled this in, now?\And who stamped it? response:	Wait, wait, wait, wait!
context: Not until a neighbor told me today.\Gosh, was I embarrassed!\W-Well, I meant to tell you...\I hereby grant permission as guardian of your student (Tamaki Mari) for them to take the following time off: (Student's Class) Year 2 Class 3 (Student Name) Tamaki Mari (Guardian Name) Tamaki Yoko To join the Civilian Antarctic Expedition Challenge For Antarctic team...\It was just an issue of t-t-timing, and we needed to be sure it was happening...\Who filled this in, now?\And who stamped it?\Wait, wait, wait, wait! response:	At least put down the weapon!
context: Gosh, was I embarrassed!\W-Well, I meant to tell you...\I hereby grant permission as guardian of your student (Tamaki Mari) for them to take the following time off: (Student's Class) Year 2 Class 3 (Student Name) Tamaki Mari (Guardian Name) Tamaki Yoko To join the Civilian Antarctic Expedition Challenge For Antarctic team...\It was just an issue of t-t-timing, and we needed to be sure it was happening...\Who filled this in, now?\And who stamped it?\Wait, wait, wait, wait!\At least put down the weapon! response:	It's not a weapon. It's a cooking utensil.
context: W-Well, I meant to tell you...\I hereby grant permission as guardian of your student (Tamaki Mari) for them to take the following time off: (Student's Class) Year 2 Class 3 (Student Name) Tamaki Mari (Guardian Name) Tamaki Yoko To join the Civilian Antarctic Expedition Challenge For Antarctic team...\It was just an issue of t-t-timing, and we needed to be sure it was happening...\Who filled this in, now?\And who stamped it?\Wait, wait, wait, wait!\At least put down the weapon!\It's not a weapon. It's a cooking utensil. response:	Though I could use it to dish out something to a certain idiot daughter of mine...
context: I hereby grant permission as guardian of your student (Tamaki Mari) for them to take the following time off: (Student's Class) Year 2 Class 3 (Student Name) Tamaki Mari (Guardian Name) Tamaki Yoko To join the Civilian Antarctic Expedition Challenge For Antarctic team...\It was just an issue of t-t-timing, and we needed to be sure it was happening...\Who filled this in, now?\And who stamped it?\Wait, wait, wait, wait!\At least put down the weapon!\It's not a weapon. It's a cooking utensil.\Though I could use it to dish out something to a certain idiot daughter of mine... response:	That's a terrifying thing to say!
context: It was just an issue of t-t-timing, and we needed to be sure it was happening...\Who filled this in, now?\And who stamped it?\Wait, wait, wait, wait!\At least put down the weapon!\It's not a weapon. It's a cooking utensil.\Though I could use it to dish out something to a certain idiot daughter of mine...\That's a terrifying thing to say! response:	I'm ho
context: Who filled this in, now?\And who stamped it?\Wait, wait, wait, wait!\At least put down the weapon!\It's not a weapon. It's a cooking utensil.\Though I could use it to dish out something to a certain idiot daughter of mine...\That's a terrifying thing to say!\I'm ho response:	Dad!
context: And who stamped it?\Wait, wait, wait, wait!\At least put down the weapon!\It's not a weapon. It's a cooking utensil.\Though I could use it to dish out something to a certain idiot daughter of mine...\That's a terrifying thing to say!\I'm ho\Dad! response:	Dad! Dad!
context: Wait, wait, wait, wait!\At least put down the weapon!\It's not a weapon. It's a cooking utensil.\Though I could use it to dish out something to a certain idiot daughter of mine...\That's a terrifying thing to say!\I'm ho\Dad!\Dad! Dad! response:	Forgive me, my daughter...
context: At least put down the weapon!\It's not a weapon. It's a cooking utensil.\Though I could use it to dish out something to a certain idiot daughter of mine...\That's a terrifying thing to say!\I'm ho\Dad!\Dad! Dad!\Forgive me, my daughter... response:	Dad! Da
context: It's not a weapon. It's a cooking utensil.\Though I could use it to dish out something to a certain idiot daughter of mine...\That's a terrifying thing to say!\I'm ho\Dad!\Dad! Dad!\Forgive me, my daughter...\Dad! Da response:	Social Studies Terminology
context: Though I could use it to dish out something to a certain idiot daughter of mine...\That's a terrifying thing to say!\I'm ho\Dad!\Dad! Dad!\Forgive me, my daughter...\Dad! Da\Social Studies Terminology response:	This is pretty much all on you, Kimari.
context: That's a terrifying thing to say!\I'm ho\Dad!\Dad! Dad!\Forgive me, my daughter...\Dad! Da\Social Studies Terminology\This is pretty much all on you, Kimari. response:	You don't have to sum it all up like that!
context: I'm ho\Dad!\Dad! Dad!\Forgive me, my daughter...\Dad! Da\Social Studies Terminology\This is pretty much all on you, Kimari.\You don't have to sum it all up like that! response:	Now I can't go unless I pass every single test!
context: Dad!\Dad! Dad!\Forgive me, my daughter...\Dad! Da\Social Studies Terminology\This is pretty much all on you, Kimari.\You don't have to sum it all up like that!\Now I can't go unless I pass every single test! response:	And even without that, I won't have any time to study during our training camp...
context: Dad! Dad!\Forgive me, my daughter...\Dad! Da\Social Studies Terminology\This is pretty much all on you, Kimari.\You don't have to sum it all up like that!\Now I can't go unless I pass every single test!\And even without that, I won't have any time to study during our training camp... response:	You're really taking time off next week, then?
context: Forgive me, my daughter...\Dad! Da\Social Studies Terminology\This is pretty much all on you, Kimari.\You don't have to sum it all up like that!\Now I can't go unless I pass every single test!\And even without that, I won't have any time to study during our training camp...\You're really taking time off next week, then? response:	Yeah, it's four days, including the weekend, so I'll be off through Tuesday.
context: Dad! Da\Social Studies Terminology\This is pretty much all on you, Kimari.\You don't have to sum it all up like that!\Now I can't go unless I pass every single test!\And even without that, I won't have any time to study during our training camp...\You're really taking time off next week, then?\Yeah, it's four days, including the weekend, so I'll be off through Tuesday. response:	Are you sure about all this?
context: Social Studies Terminology\This is pretty much all on you, Kimari.\You don't have to sum it all up like that!\Now I can't go unless I pass every single test!\And even without that, I won't have any time to study during our training camp...\You're really taking time off next week, then?\Yeah, it's four days, including the weekend, so I'll be off through Tuesday.\Are you sure about all this? response:	I read that they're not even sure if the boat will leave the harbor.
context: This is pretty much all on you, Kimari.\You don't have to sum it all up like that!\Now I can't go unless I pass every single test!\And even without that, I won't have any time to study during our training camp...\You're really taking time off next week, then?\Yeah, it's four days, including the weekend, so I'll be off through Tuesday.\Are you sure about all this?\I read that they're not even sure if the boat will leave the harbor. response:	Well, it's not like I can do anything about that...
context: You don't have to sum it all up like that!\Now I can't go unless I pass every single test!\And even without that, I won't have any time to study during our training camp...\You're really taking time off next week, then?\Yeah, it's four days, including the weekend, so I'll be off through Tuesday.\Are you sure about all this?\I read that they're not even sure if the boat will leave the harbor.\Well, it's not like I can do anything about that... response:	I gotta get to my job!
context: Now I can't go unless I pass every single test!\And even without that, I won't have any time to study during our training camp...\You're really taking time off next week, then?\Yeah, it's four days, including the weekend, so I'll be off through Tuesday.\Are you sure about all this?\I read that they're not even sure if the boat will leave the harbor.\Well, it's not like I can do anything about that...\I gotta get to my job! response:	Rough life, huh?
context: And even without that, I won't have any time to study during our training camp...\You're really taking time off next week, then?\Yeah, it's four days, including the weekend, so I'll be off through Tuesday.\Are you sure about all this?\I read that they're not even sure if the boat will leave the harbor.\Well, it's not like I can do anything about that...\I gotta get to my job!\Rough life, huh? response:	See you!
context: You're really taking time off next week, then?\Yeah, it's four days, including the weekend, so I'll be off through Tuesday.\Are you sure about all this?\I read that they're not even sure if the boat will leave the harbor.\Well, it's not like I can do anything about that...\I gotta get to my job!\Rough life, huh?\See you! response:	Don't overwork yourself, okay?
context: Yeah, it's four days, including the weekend, so I'll be off through Tuesday.\Are you sure about all this?\I read that they're not even sure if the boat will leave the harbor.\Well, it's not like I can do anything about that...\I gotta get to my job!\Rough life, huh?\See you!\Don't overwork yourself, okay? response:	If you work too hard and it doesn't go through, you're really going to regret it.
context: Are you sure about all this?\I read that they're not even sure if the boat will leave the harbor.\Well, it's not like I can do anything about that...\I gotta get to my job!\Rough life, huh?\See you!\Don't overwork yourself, okay?\If you work too hard and it doesn't go through, you're really going to regret it. response:	Right. See you!
context: I read that they're not even sure if the boat will leave the harbor.\Well, it's not like I can do anything about that...\I gotta get to my job!\Rough life, huh?\See you!\Don't overwork yourself, okay?\If you work too hard and it doesn't go through, you're really going to regret it.\Right. See you! response:	Standardized Test Guide High School 2 English
context: Well, it's not like I can do anything about that...\I gotta get to my job!\Rough life, huh?\See you!\Don't overwork yourself, okay?\If you work too hard and it doesn't go through, you're really going to regret it.\Right. See you!\Standardized Test Guide High School 2 English response:	I request your assistance!
context: I gotta get to my job!\Rough life, huh?\See you!\Don't overwork yourself, okay?\If you work too hard and it doesn't go through, you're really going to regret it.\Right. See you!\Standardized Test Guide High School 2 English\I request your assistance! response:	No dice.
context: Rough life, huh?\See you!\Don't overwork yourself, okay?\If you work too hard and it doesn't go through, you're really going to regret it.\Right. See you!\Standardized Test Guide High School 2 English\I request your assistance!\No dice. response:	Why not?!
context: See you!\Don't overwork yourself, okay?\If you work too hard and it doesn't go through, you're really going to regret it.\Right. See you!\Standardized Test Guide High School 2 English\I request your assistance!\No dice.\Why not?! response:	Look, going to school means you're taking classes, right?
context: Don't overwork yourself, okay?\If you work too hard and it doesn't go through, you're really going to regret it.\Right. See you!\Standardized Test Guide High School 2 English\I request your assistance!\No dice.\Why not?!\Look, going to school means you're taking classes, right? response:	That means you've got tons of time allotted every day just for learning.
context: If you work too hard and it doesn't go through, you're really going to regret it.\Right. See you!\Standardized Test Guide High School 2 English\I request your assistance!\No dice.\Why not?!\Look, going to school means you're taking classes, right?\That means you've got tons of time allotted every day just for learning. response:	If you still can't do it, you're probably just not putting in the work.
context: Right. See you!\Standardized Test Guide High School 2 English\I request your assistance!\No dice.\Why not?!\Look, going to school means you're taking classes, right?\That means you've got tons of time allotted every day just for learning.\If you still can't do it, you're probably just not putting in the work. response:	Academics aren't like sports. Anyone can pick this stuff up if they try.
context: Standardized Test Guide High School 2 English\I request your assistance!\No dice.\Why not?!\Look, going to school means you're taking classes, right?\That means you've got tons of time allotted every day just for learning.\If you still can't do it, you're probably just not putting in the work.\Academics aren't like sports. Anyone can pick this stuff up if they try. response:	She's right.
