context: This is Burnett, ARUS Golden News. response:	Did you all witness that shocking video
context: She's right! That weird ship belongs to you guys, remember?\That's\Is everyone who went down to Earth a monster?\Stop it! Everyone, stop it!\We all risked our lives to go to Earth!\Please, Mr. President, hear our side of the story!\Yohei?\There has to be some mistake! Please, Mr. President response:	He's been shot!
context: That's\Is everyone who went down to Earth a monster?\Stop it! Everyone, stop it!\We all risked our lives to go to Earth!\Please, Mr. President, hear our side of the story!\Yohei?\There has to be some mistake! Please, Mr. President\He's been shot! response:	Yohei! Yohei!
context: Is everyone who went down to Earth a monster?\Stop it! Everyone, stop it!\We all risked our lives to go to Earth!\Please, Mr. President, hear our side of the story!\Yohei?\There has to be some mistake! Please, Mr. President\He's been shot!\Yohei! Yohei! response:	They aren't human!
context: Stop it! Everyone, stop it!\We all risked our lives to go to Earth!\Please, Mr. President, hear our side of the story!\Yohei?\There has to be some mistake! Please, Mr. President\He's been shot!\Yohei! Yohei!\They aren't human! response:	They're Class 7 Special Hazard Organisms!
context: We all risked our lives to go to Earth!\Please, Mr. President, hear our side of the story!\Yohei?\There has to be some mistake! Please, Mr. President\He's been shot!\Yohei! Yohei!\They aren't human!\They're Class 7 Special Hazard Organisms! response:	They're creatures who have survived all this time by fooling us humans!
context: Please, Mr. President, hear our side of the story!\Yohei?\There has to be some mistake! Please, Mr. President\He's been shot!\Yohei! Yohei!\They aren't human!\They're Class 7 Special Hazard Organisms!\They're creatures who have survived all this time by fooling us humans! response:	Don't waste your compassion on them! Think of it as vermin eradication!
context: Yohei?\There has to be some mistake! Please, Mr. President\He's been shot!\Yohei! Yohei!\They aren't human!\They're Class 7 Special Hazard Organisms!\They're creatures who have survived all this time by fooling us humans!\Don't waste your compassion on them! Think of it as vermin eradication! response:	Wait, we aren't
context: There has to be some mistake! Please, Mr. President\He's been shot!\Yohei! Yohei!\They aren't human!\They're Class 7 Special Hazard Organisms!\They're creatures who have survived all this time by fooling us humans!\Don't waste your compassion on them! Think of it as vermin eradication!\Wait, we aren't response:	Stop it!
context: He's been shot!\Yohei! Yohei!\They aren't human!\They're Class 7 Special Hazard Organisms!\They're creatures who have survived all this time by fooling us humans!\Don't waste your compassion on them! Think of it as vermin eradication!\Wait, we aren't\Stop it! response:	Stop!
context: Yohei! Yohei!\They aren't human!\They're Class 7 Special Hazard Organisms!\They're creatures who have survived all this time by fooling us humans!\Don't waste your compassion on them! Think of it as vermin eradication!\Wait, we aren't\Stop it!\Stop! response:	Don't, Shoko!
context: They aren't human!\They're Class 7 Special Hazard Organisms!\They're creatures who have survived all this time by fooling us humans!\Don't waste your compassion on them! Think of it as vermin eradication!\Wait, we aren't\Stop it!\Stop!\Don't, Shoko! response:	No! No!
context: They're Class 7 Special Hazard Organisms!\They're creatures who have survived all this time by fooling us humans!\Don't waste your compassion on them! Think of it as vermin eradication!\Wait, we aren't\Stop it!\Stop!\Don't, Shoko!\No! No! response:	Don't shoot!
context: They're creatures who have survived all this time by fooling us humans!\Don't waste your compassion on them! Think of it as vermin eradication!\Wait, we aren't\Stop it!\Stop!\Don't, Shoko!\No! No!\Don't shoot! response:	We don't know anything!
context: Don't waste your compassion on them! Think of it as vermin eradication!\Wait, we aren't\Stop it!\Stop!\Don't, Shoko!\No! No!\Don't shoot!\We don't know anything! response:	Please, no more shooting! No more killing!
context: Wait, we aren't\Stop it!\Stop!\Don't, Shoko!\No! No!\Don't shoot!\We don't know anything!\Please, no more shooting! No more killing! response:	Over my dead body!
context: Stop it!\Stop!\Don't, Shoko!\No! No!\Don't shoot!\We don't know anything!\Please, no more shooting! No more killing!\Over my dead body! response:	A Valvrave!
context: Stop!\Don't, Shoko!\No! No!\Don't shoot!\We don't know anything!\Please, no more shooting! No more killing!\Over my dead body!\A Valvrave! response:	Keep this up, I shoot.
context: Don't, Shoko!\No! No!\Don't shoot!\We don't know anything!\Please, no more shooting! No more killing!\Over my dead body!\A Valvrave!\Keep this up, I shoot. response:	Mr. President, let's go!
context: No! No!\Don't shoot!\We don't know anything!\Please, no more shooting! No more killing!\Over my dead body!\A Valvrave!\Keep this up, I shoot.\Mr. President, let's go! response:	I thought the hangar was under our control!
context: Don't shoot!\We don't know anything!\Please, no more shooting! No more killing!\Over my dead body!\A Valvrave!\Keep this up, I shoot.\Mr. President, let's go!\I thought the hangar was under our control! response:	Please don't... Please don't...
context: We don't know anything!\Please, no more shooting! No more killing!\Over my dead body!\A Valvrave!\Keep this up, I shoot.\Mr. President, let's go!\I thought the hangar was under our control!\Please don't... Please don't... response:	Let go! The students! The students are being butchered!
context: Please, no more shooting! No more killing!\Over my dead body!\A Valvrave!\Keep this up, I shoot.\Mr. President, let's go!\I thought the hangar was under our control!\Please don't... Please don't...\Let go! The students! The students are being butchered! response:	Don't do it!
context: Over my dead body!\A Valvrave!\Keep this up, I shoot.\Mr. President, let's go!\I thought the hangar was under our control!\Please don't... Please don't...\Let go! The students! The students are being butchered!\Don't do it! response:	If you run out there without a plan, you'll just get yourself killed!
context: A Valvrave!\Keep this up, I shoot.\Mr. President, let's go!\I thought the hangar was under our control!\Please don't... Please don't...\Let go! The students! The students are being butchered!\Don't do it!\If you run out there without a plan, you'll just get yourself killed! response:	This is the Moon! It's neutral territory!
context: Keep this up, I shoot.\Mr. President, let's go!\I thought the hangar was under our control!\Please don't... Please don't...\Let go! The students! The students are being butchered!\Don't do it!\If you run out there without a plan, you'll just get yourself killed!\This is the Moon! It's neutral territory! response:	That rule only applies to human beings!
context: Mr. President, let's go!\I thought the hangar was under our control!\Please don't... Please don't...\Let go! The students! The students are being butchered!\Don't do it!\If you run out there without a plan, you'll just get yourself killed!\This is the Moon! It's neutral territory!\That rule only applies to human beings! response:	As far as they're concerned, we no longer count.
context: I thought the hangar was under our control!\Please don't... Please don't...\Let go! The students! The students are being butchered!\Don't do it!\If you run out there without a plan, you'll just get yourself killed!\This is the Moon! It's neutral territory!\That rule only applies to human beings!\As far as they're concerned, we no longer count. response:	Attention, humans of Earth.
context: Please don't... Please don't...\Let go! The students! The students are being butchered!\Don't do it!\If you run out there without a plan, you'll just get yourself killed!\This is the Moon! It's neutral territory!\That rule only applies to human beings!\As far as they're concerned, we no longer count.\Attention, humans of Earth. response:	I am the president of ARUS.
context: Let go! The students! The students are being butchered!\Don't do it!\If you run out there without a plan, you'll just get yourself killed!\This is the Moon! It's neutral territory!\That rule only applies to human beings!\As far as they're concerned, we no longer count.\Attention, humans of Earth.\I am the president of ARUS. response:	Today, we have come face to face with a threat to humanity itself!
context: Don't do it!\If you run out there without a plan, you'll just get yourself killed!\This is the Moon! It's neutral territory!\That rule only applies to human beings!\As far as they're concerned, we no longer count.\Attention, humans of Earth.\I am the president of ARUS.\Today, we have come face to face with a threat to humanity itself! response:	To meet this unprecedented danger, we have made a decision.
context: If you run out there without a plan, you'll just get yourself killed!\This is the Moon! It's neutral territory!\That rule only applies to human beings!\As far as they're concerned, we no longer count.\Attention, humans of Earth.\I am the president of ARUS.\Today, we have come face to face with a threat to humanity itself!\To meet this unprecedented danger, we have made a decision. response:	The decision to set aside long-standing grudges
context: This is the Moon! It's neutral territory!\That rule only applies to human beings!\As far as they're concerned, we no longer count.\Attention, humans of Earth.\I am the president of ARUS.\Today, we have come face to face with a threat to humanity itself!\To meet this unprecedented danger, we have made a decision.\The decision to set aside long-standing grudges response:	and come together as a single human race!
context: That rule only applies to human beings!\As far as they're concerned, we no longer count.\Attention, humans of Earth.\I am the president of ARUS.\Today, we have come face to face with a threat to humanity itself!\To meet this unprecedented danger, we have made a decision.\The decision to set aside long-standing grudges\and come together as a single human race! response:	Today, we announce the formation of the ARUS/Dorssia Allied Forces!
context: As far as they're concerned, we no longer count.\Attention, humans of Earth.\I am the president of ARUS.\Today, we have come face to face with a threat to humanity itself!\To meet this unprecedented danger, we have made a decision.\The decision to set aside long-standing grudges\and come together as a single human race!\Today, we announce the formation of the ARUS/Dorssia Allied Forces! response:	Our countries will immediately assemble all our forces on the Moon's surface!
context: Attention, humans of Earth.\I am the president of ARUS.\Today, we have come face to face with a threat to humanity itself!\To meet this unprecedented danger, we have made a decision.\The decision to set aside long-standing grudges\and come together as a single human race!\Today, we announce the formation of the ARUS/Dorssia Allied Forces!\Our countries will immediately assemble all our forces on the Moon's surface! response:	As a joint force, we will launch a concerted attack against Module 77,
context: I am the president of ARUS.\Today, we have come face to face with a threat to humanity itself!\To meet this unprecedented danger, we have made a decision.\The decision to set aside long-standing grudges\and come together as a single human race!\Today, we announce the formation of the ARUS/Dorssia Allied Forces!\Our countries will immediately assemble all our forces on the Moon's surface!\As a joint force, we will launch a concerted attack against Module 77, response:	the threat against humanity!
context: Today, we have come face to face with a threat to humanity itself!\To meet this unprecedented danger, we have made a decision.\The decision to set aside long-standing grudges\and come together as a single human race!\Today, we announce the formation of the ARUS/Dorssia Allied Forces!\Our countries will immediately assemble all our forces on the Moon's surface!\As a joint force, we will launch a concerted attack against Module 77,\the threat against humanity! response:	This is a battle which we must not lose!
