context: Is that... response:	It looks like a princess or something to me.
context: Get back, Kei!\Shit!\What the hell was that thing?\A lauden neiven. In your language, a vampire.\A vampire? I thought she was some kind of weird pervert.\So that shriveled-up corpse turned into a hot naked chick and attacked somebody?\Not a chance. Did she just plump up like instant ramen?\It wasn't a body. response:	Lauden neiven possess terrifying regenerative powers.
context: Shit!\What the hell was that thing?\A lauden neiven. In your language, a vampire.\A vampire? I thought she was some kind of weird pervert.\So that shriveled-up corpse turned into a hot naked chick and attacked somebody?\Not a chance. Did she just plump up like instant ramen?\It wasn't a body.\Lauden neiven possess terrifying regenerative powers. response:	No matter how much damage their bodies take,
context: What the hell was that thing?\A lauden neiven. In your language, a vampire.\A vampire? I thought she was some kind of weird pervert.\So that shriveled-up corpse turned into a hot naked chick and attacked somebody?\Not a chance. Did she just plump up like instant ramen?\It wasn't a body.\Lauden neiven possess terrifying regenerative powers.\No matter how much damage their bodies take, response:	they can absorb latena, the power humans use to live, and revive.
context: A lauden neiven. In your language, a vampire.\A vampire? I thought she was some kind of weird pervert.\So that shriveled-up corpse turned into a hot naked chick and attacked somebody?\Not a chance. Did she just plump up like instant ramen?\It wasn't a body.\Lauden neiven possess terrifying regenerative powers.\No matter how much damage their bodies take,\they can absorb latena, the power humans use to live, and revive. response:	I see. Vampires, huh?
context: A vampire? I thought she was some kind of weird pervert.\So that shriveled-up corpse turned into a hot naked chick and attacked somebody?\Not a chance. Did she just plump up like instant ramen?\It wasn't a body.\Lauden neiven possess terrifying regenerative powers.\No matter how much damage their bodies take,\they can absorb latena, the power humans use to live, and revive.\I see. Vampires, huh? response:	Their race was destroyed many years ago.
context: So that shriveled-up corpse turned into a hot naked chick and attacked somebody?\Not a chance. Did she just plump up like instant ramen?\It wasn't a body.\Lauden neiven possess terrifying regenerative powers.\No matter how much damage their bodies take,\they can absorb latena, the power humans use to live, and revive.\I see. Vampires, huh?\Their race was destroyed many years ago. response:	But I guess one survived.
context: Not a chance. Did she just plump up like instant ramen?\It wasn't a body.\Lauden neiven possess terrifying regenerative powers.\No matter how much damage their bodies take,\they can absorb latena, the power humans use to live, and revive.\I see. Vampires, huh?\Their race was destroyed many years ago.\But I guess one survived. response:	If I'd only been more cautious, I would've noticed sooner.
context: It wasn't a body.\Lauden neiven possess terrifying regenerative powers.\No matter how much damage their bodies take,\they can absorb latena, the power humans use to live, and revive.\I see. Vampires, huh?\Their race was destroyed many years ago.\But I guess one survived.\If I'd only been more cautious, I would've noticed sooner. response:	But I let someone die.
context: Lauden neiven possess terrifying regenerative powers.\No matter how much damage their bodies take,\they can absorb latena, the power humans use to live, and revive.\I see. Vampires, huh?\Their race was destroyed many years ago.\But I guess one survived.\If I'd only been more cautious, I would've noticed sooner.\But I let someone die. response:	You saved Cecil, right?
context: No matter how much damage their bodies take,\they can absorb latena, the power humans use to live, and revive.\I see. Vampires, huh?\Their race was destroyed many years ago.\But I guess one survived.\If I'd only been more cautious, I would've noticed sooner.\But I let someone die.\You saved Cecil, right? response:	But...
context: they can absorb latena, the power humans use to live, and revive.\I see. Vampires, huh?\Their race was destroyed many years ago.\But I guess one survived.\If I'd only been more cautious, I would've noticed sooner.\But I let someone die.\You saved Cecil, right?\But... response:	Don't let it get to you.
context: I see. Vampires, huh?\Their race was destroyed many years ago.\But I guess one survived.\If I'd only been more cautious, I would've noticed sooner.\But I let someone die.\You saved Cecil, right?\But...\Don't let it get to you. response:	The more important problem is that the monster's still out there.
context: Their race was destroyed many years ago.\But I guess one survived.\If I'd only been more cautious, I would've noticed sooner.\But I let someone die.\You saved Cecil, right?\But...\Don't let it get to you.\The more important problem is that the monster's still out there. response:	We've got an emergency warrant out, but...
context: But I guess one survived.\If I'd only been more cautious, I would've noticed sooner.\But I let someone die.\You saved Cecil, right?\But...\Don't let it get to you.\The more important problem is that the monster's still out there.\We've got an emergency warrant out, but... response:	You doreany can't possibly catch her.
context: If I'd only been more cautious, I would've noticed sooner.\But I let someone die.\You saved Cecil, right?\But...\Don't let it get to you.\The more important problem is that the monster's still out there.\We've got an emergency warrant out, but...\You doreany can't possibly catch her. response:	I don't know about that.
context: But I let someone die.\You saved Cecil, right?\But...\Don't let it get to you.\The more important problem is that the monster's still out there.\We've got an emergency warrant out, but...\You doreany can't possibly catch her.\I don't know about that. response:	My bullets and your sword seemed to hurt her just fine.
context: You saved Cecil, right?\But...\Don't let it get to you.\The more important problem is that the monster's still out there.\We've got an emergency warrant out, but...\You doreany can't possibly catch her.\I don't know about that.\My bullets and your sword seemed to hurt her just fine. response:	If she gets surrounded by a SWAT team, that'll be that.
context: But...\Don't let it get to you.\The more important problem is that the monster's still out there.\We've got an emergency warrant out, but...\You doreany can't possibly catch her.\I don't know about that.\My bullets and your sword seemed to hurt her just fine.\If she gets surrounded by a SWAT team, that'll be that. response:	SWAT?
context: Don't let it get to you.\The more important problem is that the monster's still out there.\We've got an emergency warrant out, but...\You doreany can't possibly catch her.\I don't know about that.\My bullets and your sword seemed to hurt her just fine.\If she gets surrounded by a SWAT team, that'll be that.\SWAT? response:	Those guys.
context: The more important problem is that the monster's still out there.\We've got an emergency warrant out, but...\You doreany can't possibly catch her.\I don't know about that.\My bullets and your sword seemed to hurt her just fine.\If she gets surrounded by a SWAT team, that'll be that.\SWAT?\Those guys. response:	They're athletic and have great aim.
context: We've got an emergency warrant out, but...\You doreany can't possibly catch her.\I don't know about that.\My bullets and your sword seemed to hurt her just fine.\If she gets surrounded by a SWAT team, that'll be that.\SWAT?\Those guys.\They're athletic and have great aim. response:	I don't train at all, so they're a lot more reliable than me.
context: You doreany can't possibly catch her.\I don't know about that.\My bullets and your sword seemed to hurt her just fine.\If she gets surrounded by a SWAT team, that'll be that.\SWAT?\Those guys.\They're athletic and have great aim.\I don't train at all, so they're a lot more reliable than me. response:	Accuracy doesn't matter.
context: I don't know about that.\My bullets and your sword seemed to hurt her just fine.\If she gets surrounded by a SWAT team, that'll be that.\SWAT?\Those guys.\They're athletic and have great aim.\I don't train at all, so they're a lot more reliable than me.\Accuracy doesn't matter. response:	What matters is your sense of smell in combat.
context: My bullets and your sword seemed to hurt her just fine.\If she gets surrounded by a SWAT team, that'll be that.\SWAT?\Those guys.\They're athletic and have great aim.\I don't train at all, so they're a lot more reliable than me.\Accuracy doesn't matter.\What matters is your sense of smell in combat. response:	For example, why did you have a fire extinguisher when you ran down to save me?
context: If she gets surrounded by a SWAT team, that'll be that.\SWAT?\Those guys.\They're athletic and have great aim.\I don't train at all, so they're a lot more reliable than me.\Accuracy doesn't matter.\What matters is your sense of smell in combat.\For example, why did you have a fire extinguisher when you ran down to save me? response:	Because... I don't know. It just felt like the right thing to do.
context: SWAT?\Those guys.\They're athletic and have great aim.\I don't train at all, so they're a lot more reliable than me.\Accuracy doesn't matter.\What matters is your sense of smell in combat.\For example, why did you have a fire extinguisher when you ran down to save me?\Because... I don't know. It just felt like the right thing to do. response:	That's what I mean by sense of smell.
context: Those guys.\They're athletic and have great aim.\I don't train at all, so they're a lot more reliable than me.\Accuracy doesn't matter.\What matters is your sense of smell in combat.\For example, why did you have a fire extinguisher when you ran down to save me?\Because... I don't know. It just felt like the right thing to do.\That's what I mean by sense of smell. response:	You're an unpleasant man, but in that sense, you're worthy of respect.
context: They're athletic and have great aim.\I don't train at all, so they're a lot more reliable than me.\Accuracy doesn't matter.\What matters is your sense of smell in combat.\For example, why did you have a fire extinguisher when you ran down to save me?\Because... I don't know. It just felt like the right thing to do.\That's what I mean by sense of smell.\You're an unpleasant man, but in that sense, you're worthy of respect. response:	Is that a compliment?
context: I don't train at all, so they're a lot more reliable than me.\Accuracy doesn't matter.\What matters is your sense of smell in combat.\For example, why did you have a fire extinguisher when you ran down to save me?\Because... I don't know. It just felt like the right thing to do.\That's what I mean by sense of smell.\You're an unpleasant man, but in that sense, you're worthy of respect.\Is that a compliment? response:	Idiot.
context: Accuracy doesn't matter.\What matters is your sense of smell in combat.\For example, why did you have a fire extinguisher when you ran down to save me?\Because... I don't know. It just felt like the right thing to do.\That's what I mean by sense of smell.\You're an unpleasant man, but in that sense, you're worthy of respect.\Is that a compliment?\Idiot. response:	I'm concerned about the other bolicemen.
context: What matters is your sense of smell in combat.\For example, why did you have a fire extinguisher when you ran down to save me?\Because... I don't know. It just felt like the right thing to do.\That's what I mean by sense of smell.\You're an unpleasant man, but in that sense, you're worthy of respect.\Is that a compliment?\Idiot.\I'm concerned about the other bolicemen. response:	I see.
context: For example, why did you have a fire extinguisher when you ran down to save me?\Because... I don't know. It just felt like the right thing to do.\That's what I mean by sense of smell.\You're an unpleasant man, but in that sense, you're worthy of respect.\Is that a compliment?\Idiot.\I'm concerned about the other bolicemen.\I see. response:	Lauden neiven are far too dangerous.
context: Because... I don't know. It just felt like the right thing to do.\That's what I mean by sense of smell.\You're an unpleasant man, but in that sense, you're worthy of respect.\Is that a compliment?\Idiot.\I'm concerned about the other bolicemen.\I see.\Lauden neiven are far too dangerous. response:	You okay?
context: That's what I mean by sense of smell.\You're an unpleasant man, but in that sense, you're worthy of respect.\Is that a compliment?\Idiot.\I'm concerned about the other bolicemen.\I see.\Lauden neiven are far too dangerous.\You okay? response:	Yeah. I'm getting a ride home.
context: You're an unpleasant man, but in that sense, you're worthy of respect.\Is that a compliment?\Idiot.\I'm concerned about the other bolicemen.\I see.\Lauden neiven are far too dangerous.\You okay?\Yeah. I'm getting a ride home. response:	And Tilarna, thanks.
context: Is that a compliment?\Idiot.\I'm concerned about the other bolicemen.\I see.\Lauden neiven are far too dangerous.\You okay?\Yeah. I'm getting a ride home.\And Tilarna, thanks. response:	There's been another victim.
context: Idiot.\I'm concerned about the other bolicemen.\I see.\Lauden neiven are far too dangerous.\You okay?\Yeah. I'm getting a ride home.\And Tilarna, thanks.\There's been another victim. response:	Where?
context: I'm concerned about the other bolicemen.\I see.\Lauden neiven are far too dangerous.\You okay?\Yeah. I'm getting a ride home.\And Tilarna, thanks.\There's been another victim.\Where? response:	Alamo Park. She killed a truck driver.
context: I see.\Lauden neiven are far too dangerous.\You okay?\Yeah. I'm getting a ride home.\And Tilarna, thanks.\There's been another victim.\Where?\Alamo Park. She killed a truck driver. response:	We've got witnesses, too.
context: Lauden neiven are far too dangerous.\You okay?\Yeah. I'm getting a ride home.\And Tilarna, thanks.\There's been another victim.\Where?\Alamo Park. She killed a truck driver.\We've got witnesses, too. response:	Alamo? That's outside the cordon we set up.
context: You okay?\Yeah. I'm getting a ride home.\And Tilarna, thanks.\There's been another victim.\Where?\Alamo Park. She killed a truck driver.\We've got witnesses, too.\Alamo? That's outside the cordon we set up. response:	How'd she get so far?
context: Yeah. I'm getting a ride home.\And Tilarna, thanks.\There's been another victim.\Where?\Alamo Park. She killed a truck driver.\We've got witnesses, too.\Alamo? That's outside the cordon we set up.\How'd she get so far? response:	I called you here to find out.
context: And Tilarna, thanks.\There's been another victim.\Where?\Alamo Park. She killed a truck driver.\We've got witnesses, too.\Alamo? That's outside the cordon we set up.\How'd she get so far?\I called you here to find out. response:	Can she move that fast after she got an arm cut off?
context: There's been another victim.\Where?\Alamo Park. She killed a truck driver.\We've got witnesses, too.\Alamo? That's outside the cordon we set up.\How'd she get so far?\I called you here to find out.\Can she move that fast after she got an arm cut off? response:	I don't know. They're an old race.
context: Where?\Alamo Park. She killed a truck driver.\We've got witnesses, too.\Alamo? That's outside the cordon we set up.\How'd she get so far?\I called you here to find out.\Can she move that fast after she got an arm cut off?\I don't know. They're an old race. response:	I don't know isn't good enough.
context: Alamo Park. She killed a truck driver.\We've got witnesses, too.\Alamo? That's outside the cordon we set up.\How'd she get so far?\I called you here to find out.\Can she move that fast after she got an arm cut off?\I don't know. They're an old race.\I don't know isn't good enough. response:	If we don't find her, more people are going to die.
context: We've got witnesses, too.\Alamo? That's outside the cordon we set up.\How'd she get so far?\I called you here to find out.\Can she move that fast after she got an arm cut off?\I don't know. They're an old race.\I don't know isn't good enough.\If we don't find her, more people are going to die. response:	How are you going to fix that?
context: Alamo? That's outside the cordon we set up.\How'd she get so far?\I called you here to find out.\Can she move that fast after she got an arm cut off?\I don't know. They're an old race.\I don't know isn't good enough.\If we don't find her, more people are going to die.\How are you going to fix that? response:	Well...
context: How'd she get so far?\I called you here to find out.\Can she move that fast after she got an arm cut off?\I don't know. They're an old race.\I don't know isn't good enough.\If we don't find her, more people are going to die.\How are you going to fix that?\Well... response:	That's why I was opposed to this.
context: I called you here to find out.\Can she move that fast after she got an arm cut off?\I don't know. They're an old race.\I don't know isn't good enough.\If we don't find her, more people are going to die.\How are you going to fix that?\Well...\That's why I was opposed to this. response:	No good will come of having a Semanian on the force.
context: Can she move that fast after she got an arm cut off?\I don't know. They're an old race.\I don't know isn't good enough.\If we don't find her, more people are going to die.\How are you going to fix that?\Well...\That's why I was opposed to this.\No good will come of having a Semanian on the force. response:	Civilized society has its own set of rules, and this little girl can't-
context: I don't know. They're an old race.\I don't know isn't good enough.\If we don't find her, more people are going to die.\How are you going to fix that?\Well...\That's why I was opposed to this.\No good will come of having a Semanian on the force.\Civilized society has its own set of rules, and this little girl can't- response:	I think that's enough, Superintendent.
context: I don't know isn't good enough.\If we don't find her, more people are going to die.\How are you going to fix that?\Well...\That's why I was opposed to this.\No good will come of having a Semanian on the force.\Civilized society has its own set of rules, and this little girl can't-\I think that's enough, Superintendent. response:	People are dying while you're standing here bitching.
context: If we don't find her, more people are going to die.\How are you going to fix that?\Well...\That's why I was opposed to this.\No good will come of having a Semanian on the force.\Civilized society has its own set of rules, and this little girl can't-\I think that's enough, Superintendent.\People are dying while you're standing here bitching. response:	What did you say?
context: How are you going to fix that?\Well...\That's why I was opposed to this.\No good will come of having a Semanian on the force.\Civilized society has its own set of rules, and this little girl can't-\I think that's enough, Superintendent.\People are dying while you're standing here bitching.\What did you say? response:	If it weren't for the girl, Cecil Epps would be dead,
context: Well...\That's why I was opposed to this.\No good will come of having a Semanian on the force.\Civilized society has its own set of rules, and this little girl can't-\I think that's enough, Superintendent.\People are dying while you're standing here bitching.\What did you say?\If it weren't for the girl, Cecil Epps would be dead, response:	the vampire would've gotten out without anybody noticing,
context: That's why I was opposed to this.\No good will come of having a Semanian on the force.\Civilized society has its own set of rules, and this little girl can't-\I think that's enough, Superintendent.\People are dying while you're standing here bitching.\What did you say?\If it weren't for the girl, Cecil Epps would be dead,\the vampire would've gotten out without anybody noticing, response:	and nobody would've known a thing was wrong until morning.
context: No good will come of having a Semanian on the force.\Civilized society has its own set of rules, and this little girl can't-\I think that's enough, Superintendent.\People are dying while you're standing here bitching.\What did you say?\If it weren't for the girl, Cecil Epps would be dead,\the vampire would've gotten out without anybody noticing,\and nobody would've known a thing was wrong until morning. response:	If anything, we're damn lucky it worked out the way it did.
context: Civilized society has its own set of rules, and this little girl can't-\I think that's enough, Superintendent.\People are dying while you're standing here bitching.\What did you say?\If it weren't for the girl, Cecil Epps would be dead,\the vampire would've gotten out without anybody noticing,\and nobody would've known a thing was wrong until morning.\If anything, we're damn lucky it worked out the way it did. response:	Inspector Zimmer, what are you-
context: I think that's enough, Superintendent.\People are dying while you're standing here bitching.\What did you say?\If it weren't for the girl, Cecil Epps would be dead,\the vampire would've gotten out without anybody noticing,\and nobody would've known a thing was wrong until morning.\If anything, we're damn lucky it worked out the way it did.\Inspector Zimmer, what are you- response:	And Exedilica works for me, damn it!
context: People are dying while you're standing here bitching.\What did you say?\If it weren't for the girl, Cecil Epps would be dead,\the vampire would've gotten out without anybody noticing,\and nobody would've known a thing was wrong until morning.\If anything, we're damn lucky it worked out the way it did.\Inspector Zimmer, what are you-\And Exedilica works for me, damn it! response:	You got a problem with her, you come to me first, kid!
context: What did you say?\If it weren't for the girl, Cecil Epps would be dead,\the vampire would've gotten out without anybody noticing,\and nobody would've known a thing was wrong until morning.\If anything, we're damn lucky it worked out the way it did.\Inspector Zimmer, what are you-\And Exedilica works for me, damn it!\You got a problem with her, you come to me first, kid! response:	Let's go.
context: If it weren't for the girl, Cecil Epps would be dead,\the vampire would've gotten out without anybody noticing,\and nobody would've known a thing was wrong until morning.\If anything, we're damn lucky it worked out the way it did.\Inspector Zimmer, what are you-\And Exedilica works for me, damn it!\You got a problem with her, you come to me first, kid!\Let's go. response:	I didn't see that coming.
context: the vampire would've gotten out without anybody noticing,\and nobody would've known a thing was wrong until morning.\If anything, we're damn lucky it worked out the way it did.\Inspector Zimmer, what are you-\And Exedilica works for me, damn it!\You got a problem with her, you come to me first, kid!\Let's go.\I didn't see that coming. response:	He's just a snot-nosed kid.
context: and nobody would've known a thing was wrong until morning.\If anything, we're damn lucky it worked out the way it did.\Inspector Zimmer, what are you-\And Exedilica works for me, damn it!\You got a problem with her, you come to me first, kid!\Let's go.\I didn't see that coming.\He's just a snot-nosed kid. response:	He used to piss himself all the time when he was a new recruit for the LA Police.
context: If anything, we're damn lucky it worked out the way it did.\Inspector Zimmer, what are you-\And Exedilica works for me, damn it!\You got a problem with her, you come to me first, kid!\Let's go.\I didn't see that coming.\He's just a snot-nosed kid.\He used to piss himself all the time when he was a new recruit for the LA Police. response:	What, you got a problem, too?
context: Inspector Zimmer, what are you-\And Exedilica works for me, damn it!\You got a problem with her, you come to me first, kid!\Let's go.\I didn't see that coming.\He's just a snot-nosed kid.\He used to piss himself all the time when he was a new recruit for the LA Police.\What, you got a problem, too? response:	Nope. Not at all.
context: And Exedilica works for me, damn it!\You got a problem with her, you come to me first, kid!\Let's go.\I didn't see that coming.\He's just a snot-nosed kid.\He used to piss himself all the time when he was a new recruit for the LA Police.\What, you got a problem, too?\Nope. Not at all. response:	Then don't let every damn thing surprise you like that, idiot.
context: You got a problem with her, you come to me first, kid!\Let's go.\I didn't see that coming.\He's just a snot-nosed kid.\He used to piss himself all the time when he was a new recruit for the LA Police.\What, you got a problem, too?\Nope. Not at all.\Then don't let every damn thing surprise you like that, idiot. response:	Aye aye, sir.
context: Let's go.\I didn't see that coming.\He's just a snot-nosed kid.\He used to piss himself all the time when he was a new recruit for the LA Police.\What, you got a problem, too?\Nope. Not at all.\Then don't let every damn thing surprise you like that, idiot.\Aye aye, sir. response:	Matoba, how would you find her?
context: I didn't see that coming.\He's just a snot-nosed kid.\He used to piss himself all the time when he was a new recruit for the LA Police.\What, you got a problem, too?\Nope. Not at all.\Then don't let every damn thing surprise you like that, idiot.\Aye aye, sir.\Matoba, how would you find her? response:	We can assume the vampire doesn't know anything about Earth society.
context: He's just a snot-nosed kid.\He used to piss himself all the time when he was a new recruit for the LA Police.\What, you got a problem, too?\Nope. Not at all.\Then don't let every damn thing surprise you like that, idiot.\Aye aye, sir.\Matoba, how would you find her?\We can assume the vampire doesn't know anything about Earth society. response:	She can't do anything fancy to escape.
context: He used to piss himself all the time when he was a new recruit for the LA Police.\What, you got a problem, too?\Nope. Not at all.\Then don't let every damn thing surprise you like that, idiot.\Aye aye, sir.\Matoba, how would you find her?\We can assume the vampire doesn't know anything about Earth society.\She can't do anything fancy to escape. response:	A K-9 unit would be the way to go.
context: What, you got a problem, too?\Nope. Not at all.\Then don't let every damn thing surprise you like that, idiot.\Aye aye, sir.\Matoba, how would you find her?\We can assume the vampire doesn't know anything about Earth society.\She can't do anything fancy to escape.\A K-9 unit would be the way to go. response:	The police dogs are already out there.
context: Nope. Not at all.\Then don't let every damn thing surprise you like that, idiot.\Aye aye, sir.\Matoba, how would you find her?\We can assume the vampire doesn't know anything about Earth society.\She can't do anything fancy to escape.\A K-9 unit would be the way to go.\The police dogs are already out there. response:	We've got one right here.
context: Then don't let every damn thing surprise you like that, idiot.\Aye aye, sir.\Matoba, how would you find her?\We can assume the vampire doesn't know anything about Earth society.\She can't do anything fancy to escape.\A K-9 unit would be the way to go.\The police dogs are already out there.\We've got one right here. response:	So she killed the guy while he was driving, and the truck crashed?
context: Aye aye, sir.\Matoba, how would you find her?\We can assume the vampire doesn't know anything about Earth society.\She can't do anything fancy to escape.\A K-9 unit would be the way to go.\The police dogs are already out there.\We've got one right here.\So she killed the guy while he was driving, and the truck crashed? response:	Maybe she's an idiot?
context: Matoba, how would you find her?\We can assume the vampire doesn't know anything about Earth society.\She can't do anything fancy to escape.\A K-9 unit would be the way to go.\The police dogs are already out there.\We've got one right here.\So she killed the guy while he was driving, and the truck crashed?\Maybe she's an idiot? response:	I don't know.
context: We can assume the vampire doesn't know anything about Earth society.\She can't do anything fancy to escape.\A K-9 unit would be the way to go.\The police dogs are already out there.\We've got one right here.\So she killed the guy while he was driving, and the truck crashed?\Maybe she's an idiot?\I don't know. response:	It's possible she didn't attack the witnesses
context: She can't do anything fancy to escape.\A K-9 unit would be the way to go.\The police dogs are already out there.\We've got one right here.\So she killed the guy while he was driving, and the truck crashed?\Maybe she's an idiot?\I don't know.\It's possible she didn't attack the witnesses response:	because she deliberately wanted them alive.
context: A K-9 unit would be the way to go.\The police dogs are already out there.\We've got one right here.\So she killed the guy while he was driving, and the truck crashed?\Maybe she's an idiot?\I don't know.\It's possible she didn't attack the witnesses\because she deliberately wanted them alive. response:	Let's ask.
context: The police dogs are already out there.\We've got one right here.\So she killed the guy while he was driving, and the truck crashed?\Maybe she's an idiot?\I don't know.\It's possible she didn't attack the witnesses\because she deliberately wanted them alive.\Let's ask. response:	Her arms? She had both of them.
context: We've got one right here.\So she killed the guy while he was driving, and the truck crashed?\Maybe she's an idiot?\I don't know.\It's possible she didn't attack the witnesses\because she deliberately wanted them alive.\Let's ask.\Her arms? She had both of them. response:	She regenerated them, then.
context: So she killed the guy while he was driving, and the truck crashed?\Maybe she's an idiot?\I don't know.\It's possible she didn't attack the witnesses\because she deliberately wanted them alive.\Let's ask.\Her arms? She had both of them.\She regenerated them, then. response:	She got out of the truck and looked at us, but then she ran that way.
context: Maybe she's an idiot?\I don't know.\It's possible she didn't attack the witnesses\because she deliberately wanted them alive.\Let's ask.\Her arms? She had both of them.\She regenerated them, then.\She got out of the truck and looked at us, but then she ran that way. response:	Was she naked?
context: I don't know.\It's possible she didn't attack the witnesses\because she deliberately wanted them alive.\Let's ask.\Her arms? She had both of them.\She regenerated them, then.\She got out of the truck and looked at us, but then she ran that way.\Was she naked? response:	I couldn't tell...
context: It's possible she didn't attack the witnesses\because she deliberately wanted them alive.\Let's ask.\Her arms? She had both of them.\She regenerated them, then.\She got out of the truck and looked at us, but then she ran that way.\Was she naked?\I couldn't tell... response:	It felt like she was wearing a black evening dress, but...
context: because she deliberately wanted them alive.\Let's ask.\Her arms? She had both of them.\She regenerated them, then.\She got out of the truck and looked at us, but then she ran that way.\Was she naked?\I couldn't tell...\It felt like she was wearing a black evening dress, but... response:	But it had, like, a haze around it, and kept shimmering... It was like...
context: Let's ask.\Her arms? She had both of them.\She regenerated them, then.\She got out of the truck and looked at us, but then she ran that way.\Was she naked?\I couldn't tell...\It felt like she was wearing a black evening dress, but...\But it had, like, a haze around it, and kept shimmering... It was like... response:	Like flames?
context: Her arms? She had both of them.\She regenerated them, then.\She got out of the truck and looked at us, but then she ran that way.\Was she naked?\I couldn't tell...\It felt like she was wearing a black evening dress, but...\But it had, like, a haze around it, and kept shimmering... It was like...\Like flames? response:	Yeah. Like black flames burning.
context: She regenerated them, then.\She got out of the truck and looked at us, but then she ran that way.\Was she naked?\I couldn't tell...\It felt like she was wearing a black evening dress, but...\But it had, like, a haze around it, and kept shimmering... It was like...\Like flames?\Yeah. Like black flames burning. response:	That's Vau e Deie.
context: She got out of the truck and looked at us, but then she ran that way.\Was she naked?\I couldn't tell...\It felt like she was wearing a black evening dress, but...\But it had, like, a haze around it, and kept shimmering... It was like...\Like flames?\Yeah. Like black flames burning.\That's Vau e Deie. response:	Vau e...?
context: Was she naked?\I couldn't tell...\It felt like she was wearing a black evening dress, but...\But it had, like, a haze around it, and kept shimmering... It was like...\Like flames?\Yeah. Like black flames burning.\That's Vau e Deie.\Vau e...? response:	What's that?
context: I couldn't tell...\It felt like she was wearing a black evening dress, but...\But it had, like, a haze around it, and kept shimmering... It was like...\Like flames?\Yeah. Like black flames burning.\That's Vau e Deie.\Vau e...?\What's that? response:	One of the basic illusion spells.
context: It felt like she was wearing a black evening dress, but...\But it had, like, a haze around it, and kept shimmering... It was like...\Like flames?\Yeah. Like black flames burning.\That's Vau e Deie.\Vau e...?\What's that?\One of the basic illusion spells. response:	It can also serve as clothing.
context: But it had, like, a haze around it, and kept shimmering... It was like...\Like flames?\Yeah. Like black flames burning.\That's Vau e Deie.\Vau e...?\What's that?\One of the basic illusion spells.\It can also serve as clothing. response:	Which means she's got enough of her power back to use magic.
context: Like flames?\Yeah. Like black flames burning.\That's Vau e Deie.\Vau e...?\What's that?\One of the basic illusion spells.\It can also serve as clothing.\Which means she's got enough of her power back to use magic. response:	Can you use this Va... Vau...
context: Yeah. Like black flames burning.\That's Vau e Deie.\Vau e...?\What's that?\One of the basic illusion spells.\It can also serve as clothing.\Which means she's got enough of her power back to use magic.\Can you use this Va... Vau... response:	Vau e Deie. And yes, I can.
context: That's Vau e Deie.\Vau e...?\What's that?\One of the basic illusion spells.\It can also serve as clothing.\Which means she's got enough of her power back to use magic.\Can you use this Va... Vau...\Vau e Deie. And yes, I can. response:	Let me see it.
context: Vau e...?\What's that?\One of the basic illusion spells.\It can also serve as clothing.\Which means she's got enough of her power back to use magic.\Can you use this Va... Vau...\Vau e Deie. And yes, I can.\Let me see it. response:	No. You can't use it when you're wearing clothes.
context: What's that?\One of the basic illusion spells.\It can also serve as clothing.\Which means she's got enough of her power back to use magic.\Can you use this Va... Vau...\Vau e Deie. And yes, I can.\Let me see it.\No. You can't use it when you're wearing clothes. response:	And it disappears immediately if you lose concentration.
