context: Hakone Ekiden Memories response:	Spun along with the runner's sash
context: Passing it on again and again, we'll eventually meet again at Otemachi.\It will be the Kansei University Long Distance Track Team's first major accomplishment.\No, it will be the first time in recent history\that a team makes it to the Ekiden on their first try.\That's all.\Do you guys feel a little closer now...\Volume\Hakone Ekiden Memories response:	What's wrong with you? It's too loud!
context: It will be the Kansei University Long Distance Track Team's first major accomplishment.\No, it will be the first time in recent history\that a team makes it to the Ekiden on their first try.\That's all.\Do you guys feel a little closer now...\Volume\Hakone Ekiden Memories\What's wrong with you? It's too loud! response:	We're watching it again! You can never watch this too many times!
context: No, it will be the first time in recent history\that a team makes it to the Ekiden on their first try.\That's all.\Do you guys feel a little closer now...\Volume\Hakone Ekiden Memories\What's wrong with you? It's too loud!\We're watching it again! You can never watch this too many times! response:	Don't talk to me about New Year's!
context: that a team makes it to the Ekiden on their first try.\That's all.\Do you guys feel a little closer now...\Volume\Hakone Ekiden Memories\What's wrong with you? It's too loud!\We're watching it again! You can never watch this too many times!\Don't talk to me about New Year's! response:	Summer! It's summer right now!
context: That's all.\Do you guys feel a little closer now...\Volume\Hakone Ekiden Memories\What's wrong with you? It's too loud!\We're watching it again! You can never watch this too many times!\Don't talk to me about New Year's!\Summer! It's summer right now! response:	On January 2nd and 3rd of next year, we'll be there this time.
context: Do you guys feel a little closer now...\Volume\Hakone Ekiden Memories\What's wrong with you? It's too loud!\We're watching it again! You can never watch this too many times!\Don't talk to me about New Year's!\Summer! It's summer right now!\On January 2nd and 3rd of next year, we'll be there this time. response:	Each of us will stand on his own starting line and wait for
context: Volume\Hakone Ekiden Memories\What's wrong with you? It's too loud!\We're watching it again! You can never watch this too many times!\Don't talk to me about New Year's!\Summer! It's summer right now!\On January 2nd and 3rd of next year, we'll be there this time.\Each of us will stand on his own starting line and wait for response:	Run with the Wind
context: Hakone Ekiden Memories\What's wrong with you? It's too loud!\We're watching it again! You can never watch this too many times!\Don't talk to me about New Year's!\Summer! It's summer right now!\On January 2nd and 3rd of next year, we'll be there this time.\Each of us will stand on his own starting line and wait for\Run with the Wind response:	Recruitment Examination Interview Room
context: What's wrong with you? It's too loud!\We're watching it again! You can never watch this too many times!\Don't talk to me about New Year's!\Summer! It's summer right now!\On January 2nd and 3rd of next year, we'll be there this time.\Each of us will stand on his own starting line and wait for\Run with the Wind\Recruitment Examination Interview Room response:	Excuse me.
context: We're watching it again! You can never watch this too many times!\Don't talk to me about New Year's!\Summer! It's summer right now!\On January 2nd and 3rd of next year, we'll be there this time.\Each of us will stand on his own starting line and wait for\Run with the Wind\Recruitment Examination Interview Room\Excuse me. response:	You're quite tan.
context: Don't talk to me about New Year's!\Summer! It's summer right now!\On January 2nd and 3rd of next year, we'll be there this time.\Each of us will stand on his own starting line and wait for\Run with the Wind\Recruitment Examination Interview Room\Excuse me.\You're quite tan. response:	Yes, sir.
context: Summer! It's summer right now!\On January 2nd and 3rd of next year, we'll be there this time.\Each of us will stand on his own starting line and wait for\Run with the Wind\Recruitment Examination Interview Room\Excuse me.\You're quite tan.\Yes, sir. response:	I've been training.
context: On January 2nd and 3rd of next year, we'll be there this time.\Each of us will stand on his own starting line and wait for\Run with the Wind\Recruitment Examination Interview Room\Excuse me.\You're quite tan.\Yes, sir.\I've been training. response:	Training?
context: Each of us will stand on his own starting line and wait for\Run with the Wind\Recruitment Examination Interview Room\Excuse me.\You're quite tan.\Yes, sir.\I've been training.\Training? response:	I'm hoping to run in the Hakone Ekiden.
context: Run with the Wind\Recruitment Examination Interview Room\Excuse me.\You're quite tan.\Yes, sir.\I've been training.\Training?\I'm hoping to run in the Hakone Ekiden. response:	Why is he chasing me?
context: Recruitment Examination Interview Room\Excuse me.\You're quite tan.\Yes, sir.\I've been training.\Training?\I'm hoping to run in the Hakone Ekiden.\Why is he chasing me? response:	He's like a fish in water.
context: Excuse me.\You're quite tan.\Yes, sir.\I've been training.\Training?\I'm hoping to run in the Hakone Ekiden.\Why is he chasing me?\He's like a fish in water. response:	But we're in the mountains.
context: You're quite tan.\Yes, sir.\I've been training.\Training?\I'm hoping to run in the Hakone Ekiden.\Why is he chasing me?\He's like a fish in water.\But we're in the mountains. response:	We got one.
context: Yes, sir.\I've been training.\Training?\I'm hoping to run in the Hakone Ekiden.\Why is he chasing me?\He's like a fish in water.\But we're in the mountains.\We got one. response:	Fan Club Formed
context: I've been training.\Training?\I'm hoping to run in the Hakone Ekiden.\Why is he chasing me?\He's like a fish in water.\But we're in the mountains.\We got one.\Fan Club Formed response:	That's our 30th fan club application.
context: Training?\I'm hoping to run in the Hakone Ekiden.\Why is he chasing me?\He's like a fish in water.\But we're in the mountains.\We got one.\Fan Club Formed\That's our 30th fan club application. response:	We've been getting more since we put up the website.
context: I'm hoping to run in the Hakone Ekiden.\Why is he chasing me?\He's like a fish in water.\But we're in the mountains.\We got one.\Fan Club Formed\That's our 30th fan club application.\We've been getting more since we put up the website. response:	Yeah.
context: Why is he chasing me?\He's like a fish in water.\But we're in the mountains.\We got one.\Fan Club Formed\That's our 30th fan club application.\We've been getting more since we put up the website.\Yeah. response:	It's because the website you made is so good.
context: He's like a fish in water.\But we're in the mountains.\We got one.\Fan Club Formed\That's our 30th fan club application.\We've been getting more since we put up the website.\Yeah.\It's because the website you made is so good. response:	That's not it.
context: But we're in the mountains.\We got one.\Fan Club Formed\That's our 30th fan club application.\We've been getting more since we put up the website.\Yeah.\It's because the website you made is so good.\That's not it. response:	It's because the photos you take are so good.
context: We got one.\Fan Club Formed\That's our 30th fan club application.\We've been getting more since we put up the website.\Yeah.\It's because the website you made is so good.\That's not it.\It's because the photos you take are so good. response:	Musa...
context: Fan Club Formed\That's our 30th fan club application.\We've been getting more since we put up the website.\Yeah.\It's because the website you made is so good.\That's not it.\It's because the photos you take are so good.\Musa... response:	We can't keep up with him on the flats.
context: That's our 30th fan club application.\We've been getting more since we put up the website.\Yeah.\It's because the website you made is so good.\That's not it.\It's because the photos you take are so good.\Musa...\We can't keep up with him on the flats. response:	What?
context: We've been getting more since we put up the website.\Yeah.\It's because the website you made is so good.\That's not it.\It's because the photos you take are so good.\Musa...\We can't keep up with him on the flats.\What? response:	There's no way that's true.
context: Yeah.\It's because the website you made is so good.\That's not it.\It's because the photos you take are so good.\Musa...\We can't keep up with him on the flats.\What?\There's no way that's true. response:	I'm serious.
context: It's because the website you made is so good.\That's not it.\It's because the photos you take are so good.\Musa...\We can't keep up with him on the flats.\What?\There's no way that's true.\I'm serious. response:	I tried selling them to a general store, and look.
context: That's not it.\It's because the photos you take are so good.\Musa...\We can't keep up with him on the flats.\What?\There's no way that's true.\I'm serious.\I tried selling them to a general store, and look. response:	Super Popular <3 For Good Luck Nico Nico Dolls We're on Social Media
context: It's because the photos you take are so good.\Musa...\We can't keep up with him on the flats.\What?\There's no way that's true.\I'm serious.\I tried selling them to a general store, and look.\Super Popular <3 For Good Luck Nico Nico Dolls We're on Social Media response:	Huh.
context: Musa...\We can't keep up with him on the flats.\What?\There's no way that's true.\I'm serious.\I tried selling them to a general store, and look.\Super Popular <3 For Good Luck Nico Nico Dolls We're on Social Media\Huh. response:	They're really popular. I'm making a profit.
context: We can't keep up with him on the flats.\What?\There's no way that's true.\I'm serious.\I tried selling them to a general store, and look.\Super Popular <3 For Good Luck Nico Nico Dolls We're on Social Media\Huh.\They're really popular. I'm making a profit. response:	Nico Nico?
context: What?\There's no way that's true.\I'm serious.\I tried selling them to a general store, and look.\Super Popular <3 For Good Luck Nico Nico Dolls We're on Social Media\Huh.\They're really popular. I'm making a profit.\Nico Nico? response:	You know it's nico for nicotine, right?
context: There's no way that's true.\I'm serious.\I tried selling them to a general store, and look.\Super Popular <3 For Good Luck Nico Nico Dolls We're on Social Media\Huh.\They're really popular. I'm making a profit.\Nico Nico?\You know it's nico for nicotine, right? response:	It doesn't matter what they're called.
context: I'm serious.\I tried selling them to a general store, and look.\Super Popular <3 For Good Luck Nico Nico Dolls We're on Social Media\Huh.\They're really popular. I'm making a profit.\Nico Nico?\You know it's nico for nicotine, right?\It doesn't matter what they're called. response:	Do you think you could increase production?
context: I tried selling them to a general store, and look.\Super Popular <3 For Good Luck Nico Nico Dolls We're on Social Media\Huh.\They're really popular. I'm making a profit.\Nico Nico?\You know it's nico for nicotine, right?\It doesn't matter what they're called.\Do you think you could increase production? response:	It's not like I ever put much thought into them.
context: Super Popular <3 For Good Luck Nico Nico Dolls We're on Social Media\Huh.\They're really popular. I'm making a profit.\Nico Nico?\You know it's nico for nicotine, right?\It doesn't matter what they're called.\Do you think you could increase production?\It's not like I ever put much thought into them. response:	I'll mention them on our website.
context: Huh.\They're really popular. I'm making a profit.\Nico Nico?\You know it's nico for nicotine, right?\It doesn't matter what they're called.\Do you think you could increase production?\It's not like I ever put much thought into them.\I'll mention them on our website. response:	Should we do online sales?
context: They're really popular. I'm making a profit.\Nico Nico?\You know it's nico for nicotine, right?\It doesn't matter what they're called.\Do you think you could increase production?\It's not like I ever put much thought into them.\I'll mention them on our website.\Should we do online sales? response:	Do whatever you want.
context: Nico Nico?\You know it's nico for nicotine, right?\It doesn't matter what they're called.\Do you think you could increase production?\It's not like I ever put much thought into them.\I'll mention them on our website.\Should we do online sales?\Do whatever you want. response:	In other words,
context: You know it's nico for nicotine, right?\It doesn't matter what they're called.\Do you think you could increase production?\It's not like I ever put much thought into them.\I'll mention them on our website.\Should we do online sales?\Do whatever you want.\In other words, response:	we need to match everyone's strengths to each 20-kilometer section, right?
context: It doesn't matter what they're called.\Do you think you could increase production?\It's not like I ever put much thought into them.\I'll mention them on our website.\Should we do online sales?\Do whatever you want.\In other words,\we need to match everyone's strengths to each 20-kilometer section, right? response:	A team like ours has no choice but to focus on that.
context: Do you think you could increase production?\It's not like I ever put much thought into them.\I'll mention them on our website.\Should we do online sales?\Do whatever you want.\In other words,\we need to match everyone's strengths to each 20-kilometer section, right?\A team like ours has no choice but to focus on that. response:	Yeah. I'm planning to switch over to running in 10K races, too.
context: It's not like I ever put much thought into them.\I'll mention them on our website.\Should we do online sales?\Do whatever you want.\In other words,\we need to match everyone's strengths to each 20-kilometer section, right?\A team like ours has no choice but to focus on that.\Yeah. I'm planning to switch over to running in 10K races, too. response:	We need to increase our distance, starting with those who have achieved the requisite time.
context: I'll mention them on our website.\Should we do online sales?\Do whatever you want.\In other words,\we need to match everyone's strengths to each 20-kilometer section, right?\A team like ours has no choice but to focus on that.\Yeah. I'm planning to switch over to running in 10K races, too.\We need to increase our distance, starting with those who have achieved the requisite time. response:	I've been reading a few books on long distance running.
context: Should we do online sales?\Do whatever you want.\In other words,\we need to match everyone's strengths to each 20-kilometer section, right?\A team like ours has no choice but to focus on that.\Yeah. I'm planning to switch over to running in 10K races, too.\We need to increase our distance, starting with those who have achieved the requisite time.\I've been reading a few books on long distance running. response:	Hey.
context: Do whatever you want.\In other words,\we need to match everyone's strengths to each 20-kilometer section, right?\A team like ours has no choice but to focus on that.\Yeah. I'm planning to switch over to running in 10K races, too.\We need to increase our distance, starting with those who have achieved the requisite time.\I've been reading a few books on long distance running.\Hey. response:	We're gonna start lighting them.
context: In other words,\we need to match everyone's strengths to each 20-kilometer section, right?\A team like ours has no choice but to focus on that.\Yeah. I'm planning to switch over to running in 10K races, too.\We need to increase our distance, starting with those who have achieved the requisite time.\I've been reading a few books on long distance running.\Hey.\We're gonna start lighting them. response:	Ta-da!
context: we need to match everyone's strengths to each 20-kilometer section, right?\A team like ours has no choice but to focus on that.\Yeah. I'm planning to switch over to running in 10K races, too.\We need to increase our distance, starting with those who have achieved the requisite time.\I've been reading a few books on long distance running.\Hey.\We're gonna start lighting them.\Ta-da! response:	We're coming.
context: A team like ours has no choice but to focus on that.\Yeah. I'm planning to switch over to running in 10K races, too.\We need to increase our distance, starting with those who have achieved the requisite time.\I've been reading a few books on long distance running.\Hey.\We're gonna start lighting them.\Ta-da!\We're coming. response:	I'd like to understand the goals of our training schedule better.
context: Yeah. I'm planning to switch over to running in 10K races, too.\We need to increase our distance, starting with those who have achieved the requisite time.\I've been reading a few books on long distance running.\Hey.\We're gonna start lighting them.\Ta-da!\We're coming.\I'd like to understand the goals of our training schedule better. response:	I have a few suggestions. Let's talk later.
context: We need to increase our distance, starting with those who have achieved the requisite time.\I've been reading a few books on long distance running.\Hey.\We're gonna start lighting them.\Ta-da!\We're coming.\I'd like to understand the goals of our training schedule better.\I have a few suggestions. Let's talk later. response:	Got it.
context: I've been reading a few books on long distance running.\Hey.\We're gonna start lighting them.\Ta-da!\We're coming.\I'd like to understand the goals of our training schedule better.\I have a few suggestions. Let's talk later.\Got it. response:	Yuki understands the scientific stuff better than I do.
context: Hey.\We're gonna start lighting them.\Ta-da!\We're coming.\I'd like to understand the goals of our training schedule better.\I have a few suggestions. Let's talk later.\Got it.\Yuki understands the scientific stuff better than I do. response:	That's why I made him a member.
context: We're gonna start lighting them.\Ta-da!\We're coming.\I'd like to understand the goals of our training schedule better.\I have a few suggestions. Let's talk later.\Got it.\Yuki understands the scientific stuff better than I do.\That's why I made him a member. response:	Did you really?
context: Ta-da!\We're coming.\I'd like to understand the goals of our training schedule better.\I have a few suggestions. Let's talk later.\Got it.\Yuki understands the scientific stuff better than I do.\That's why I made him a member.\Did you really? response:	Last spurt!
context: We're coming.\I'd like to understand the goals of our training schedule better.\I have a few suggestions. Let's talk later.\Got it.\Yuki understands the scientific stuff better than I do.\That's why I made him a member.\Did you really?\Last spurt! response:	Prince, your time improved again!
context: I'd like to understand the goals of our training schedule better.\I have a few suggestions. Let's talk later.\Got it.\Yuki understands the scientific stuff better than I do.\That's why I made him a member.\Did you really?\Last spurt!\Prince, your time improved again! response:	Don't you feel like practice is fun?
context: I have a few suggestions. Let's talk later.\Got it.\Yuki understands the scientific stuff better than I do.\That's why I made him a member.\Did you really?\Last spurt!\Prince, your time improved again!\Don't you feel like practice is fun? response:	Yeah.
context: Got it.\Yuki understands the scientific stuff better than I do.\That's why I made him a member.\Did you really?\Last spurt!\Prince, your time improved again!\Don't you feel like practice is fun?\Yeah. response:	I guess it's because we went through that hellish Lake Shirakaba experience.
context: Yuki understands the scientific stuff better than I do.\That's why I made him a member.\Did you really?\Last spurt!\Prince, your time improved again!\Don't you feel like practice is fun?\Yeah.\I guess it's because we went through that hellish Lake Shirakaba experience. response:	We're really running, aren't we?
context: That's why I made him a member.\Did you really?\Last spurt!\Prince, your time improved again!\Don't you feel like practice is fun?\Yeah.\I guess it's because we went through that hellish Lake Shirakaba experience.\We're really running, aren't we? response:	Maybe we'll run right past Hakone all the way to Mt. Fuji.
context: Did you really?\Last spurt!\Prince, your time improved again!\Don't you feel like practice is fun?\Yeah.\I guess it's because we went through that hellish Lake Shirakaba experience.\We're really running, aren't we?\Maybe we'll run right past Hakone all the way to Mt. Fuji. response:	There's nothing everyone else can do that you can't do.
context: Last spurt!\Prince, your time improved again!\Don't you feel like practice is fun?\Yeah.\I guess it's because we went through that hellish Lake Shirakaba experience.\We're really running, aren't we?\Maybe we'll run right past Hakone all the way to Mt. Fuji.\There's nothing everyone else can do that you can't do. response:	Fight on
context: Prince, your time improved again!\Don't you feel like practice is fun?\Yeah.\I guess it's because we went through that hellish Lake Shirakaba experience.\We're really running, aren't we?\Maybe we'll run right past Hakone all the way to Mt. Fuji.\There's nothing everyone else can do that you can't do.\Fight on response:	What?
context: Don't you feel like practice is fun?\Yeah.\I guess it's because we went through that hellish Lake Shirakaba experience.\We're really running, aren't we?\Maybe we'll run right past Hakone all the way to Mt. Fuji.\There's nothing everyone else can do that you can't do.\Fight on\What? response:	Eight 5000-meter runs?
context: Yeah.\I guess it's because we went through that hellish Lake Shirakaba experience.\We're really running, aren't we?\Maybe we'll run right past Hakone all the way to Mt. Fuji.\There's nothing everyone else can do that you can't do.\Fight on\What?\Eight 5000-meter runs? response:	That's practically a full marathon!
context: I guess it's because we went through that hellish Lake Shirakaba experience.\We're really running, aren't we?\Maybe we'll run right past Hakone all the way to Mt. Fuji.\There's nothing everyone else can do that you can't do.\Fight on\What?\Eight 5000-meter runs?\That's practically a full marathon! response:	I want to go back to Tokyo!
context: We're really running, aren't we?\Maybe we'll run right past Hakone all the way to Mt. Fuji.\There's nothing everyone else can do that you can't do.\Fight on\What?\Eight 5000-meter runs?\That's practically a full marathon!\I want to go back to Tokyo! response:	You'll be strong enough to run back in another week.
context: Maybe we'll run right past Hakone all the way to Mt. Fuji.\There's nothing everyone else can do that you can't do.\Fight on\What?\Eight 5000-meter runs?\That's practically a full marathon!\I want to go back to Tokyo!\You'll be strong enough to run back in another week. response:	Don't give me that bullshit.
context: There's nothing everyone else can do that you can't do.\Fight on\What?\Eight 5000-meter runs?\That's practically a full marathon!\I want to go back to Tokyo!\You'll be strong enough to run back in another week.\Don't give me that bullshit. response:	Don't worry.
context: Fight on\What?\Eight 5000-meter runs?\That's practically a full marathon!\I want to go back to Tokyo!\You'll be strong enough to run back in another week.\Don't give me that bullshit.\Don't worry. response:	We'll be dumping plenty of water on you.
context: What?\Eight 5000-meter runs?\That's practically a full marathon!\I want to go back to Tokyo!\You'll be strong enough to run back in another week.\Don't give me that bullshit.\Don't worry.\We'll be dumping plenty of water on you. response:	Promise me you'll let me onto the truck before I die.
context: Eight 5000-meter runs?\That's practically a full marathon!\I want to go back to Tokyo!\You'll be strong enough to run back in another week.\Don't give me that bullshit.\Don't worry.\We'll be dumping plenty of water on you.\Promise me you'll let me onto the truck before I die. response:	Good luck.
context: That's practically a full marathon!\I want to go back to Tokyo!\You'll be strong enough to run back in another week.\Don't give me that bullshit.\Don't worry.\We'll be dumping plenty of water on you.\Promise me you'll let me onto the truck before I die.\Good luck. response:	Go!
context: I want to go back to Tokyo!\You'll be strong enough to run back in another week.\Don't give me that bullshit.\Don't worry.\We'll be dumping plenty of water on you.\Promise me you'll let me onto the truck before I die.\Good luck.\Go! response:	Here. It's on the house.
context: You'll be strong enough to run back in another week.\Don't give me that bullshit.\Don't worry.\We'll be dumping plenty of water on you.\Promise me you'll let me onto the truck before I die.\Good luck.\Go!\Here. It's on the house. response:	Fresh Meat Kobori Butcher Shop
context: Don't give me that bullshit.\Don't worry.\We'll be dumping plenty of water on you.\Promise me you'll let me onto the truck before I die.\Good luck.\Go!\Here. It's on the house.\Fresh Meat Kobori Butcher Shop response:	What? This is too much.
context: Don't worry.\We'll be dumping plenty of water on you.\Promise me you'll let me onto the truck before I die.\Good luck.\Go!\Here. It's on the house.\Fresh Meat Kobori Butcher Shop\What? This is too much. response:	Kobori Butcher Shop
context: We'll be dumping plenty of water on you.\Promise me you'll let me onto the truck before I die.\Good luck.\Go!\Here. It's on the house.\Fresh Meat Kobori Butcher Shop\What? This is too much.\Kobori Butcher Shop response:	I heard about you.
context: Promise me you'll let me onto the truck before I die.\Good luck.\Go!\Here. It's on the house.\Fresh Meat Kobori Butcher Shop\What? This is too much.\Kobori Butcher Shop\I heard about you. response:	You're nationally competitive, right?
context: Good luck.\Go!\Here. It's on the house.\Fresh Meat Kobori Butcher Shop\What? This is too much.\Kobori Butcher Shop\I heard about you.\You're nationally competitive, right? response:	You need to keep future stars in your debt.
context: Go!\Here. It's on the house.\Fresh Meat Kobori Butcher Shop\What? This is too much.\Kobori Butcher Shop\I heard about you.\You're nationally competitive, right?\You need to keep future stars in your debt. response:	I'm impressed.
context: Here. It's on the house.\Fresh Meat Kobori Butcher Shop\What? This is too much.\Kobori Butcher Shop\I heard about you.\You're nationally competitive, right?\You need to keep future stars in your debt.\I'm impressed. response:	Huh?
context: Fresh Meat Kobori Butcher Shop\What? This is too much.\Kobori Butcher Shop\I heard about you.\You're nationally competitive, right?\You need to keep future stars in your debt.\I'm impressed.\Huh? response:	You're still growing.
context: What? This is too much.\Kobori Butcher Shop\I heard about you.\You're nationally competitive, right?\You need to keep future stars in your debt.\I'm impressed.\Huh?\You're still growing. response:	Your muscles feel different.
context: Kobori Butcher Shop\I heard about you.\You're nationally competitive, right?\You need to keep future stars in your debt.\I'm impressed.\Huh?\You're still growing.\Your muscles feel different. response:	You must be getting good practice.
context: I heard about you.\You're nationally competitive, right?\You need to keep future stars in your debt.\I'm impressed.\Huh?\You're still growing.\Your muscles feel different.\You must be getting good practice. response:	Yeah.
context: You're nationally competitive, right?\You need to keep future stars in your debt.\I'm impressed.\Huh?\You're still growing.\Your muscles feel different.\You must be getting good practice.\Yeah. response:	Everyone will achieve an official record.
context: You need to keep future stars in your debt.\I'm impressed.\Huh?\You're still growing.\Your muscles feel different.\You must be getting good practice.\Yeah.\Everyone will achieve an official record. response:	We'll participate in and naturally make it through the qualifier.
context: I'm impressed.\Huh?\You're still growing.\Your muscles feel different.\You must be getting good practice.\Yeah.\Everyone will achieve an official record.\We'll participate in and naturally make it through the qualifier. response:	Our only goal is the peak of Hakone.
context: Huh?\You're still growing.\Your muscles feel different.\You must be getting good practice.\Yeah.\Everyone will achieve an official record.\We'll participate in and naturally make it through the qualifier.\Our only goal is the peak of Hakone. response:	The actual race involves running back down, though.
context: You're still growing.\Your muscles feel different.\You must be getting good practice.\Yeah.\Everyone will achieve an official record.\We'll participate in and naturally make it through the qualifier.\Our only goal is the peak of Hakone.\The actual race involves running back down, though. response:	We're still on the way there.
context: Your muscles feel different.\You must be getting good practice.\Yeah.\Everyone will achieve an official record.\We'll participate in and naturally make it through the qualifier.\Our only goal is the peak of Hakone.\The actual race involves running back down, though.\We're still on the way there. response:	We can become even stronger.
context: You must be getting good practice.\Yeah.\Everyone will achieve an official record.\We'll participate in and naturally make it through the qualifier.\Our only goal is the peak of Hakone.\The actual race involves running back down, though.\We're still on the way there.\We can become even stronger. response:	The mountains of Hakone are?
context: Yeah.\Everyone will achieve an official record.\We'll participate in and naturally make it through the qualifier.\Our only goal is the peak of Hakone.\The actual race involves running back down, though.\We're still on the way there.\We can become even stronger.\The mountains of Hakone are? response:	The steepest in the world!
context: Everyone will achieve an official record.\We'll participate in and naturally make it through the qualifier.\Our only goal is the peak of Hakone.\The actual race involves running back down, though.\We're still on the way there.\We can become even stronger.\The mountains of Hakone are?\The steepest in the world! response:	Hey, cut that out!
context: We'll participate in and naturally make it through the qualifier.\Our only goal is the peak of Hakone.\The actual race involves running back down, though.\We're still on the way there.\We can become even stronger.\The mountains of Hakone are?\The steepest in the world!\Hey, cut that out! response:	Be careful!
