context: You're such a slowpoke, Rita. response:	Alright, everyone, stay where you are and listen.
context: So where did he get his illegal poison?\Getting the ingredients would be difficult, too.\Which means he's in the Army?\Control had the same idea.\Gas produced before the Convention is lying unused in military storehouses.\You mean inside the London Wall?\Yes.\The storehouses were built before the second round of construction, response:	So you'd have to go through the military barracks to get to them.
context: Getting the ingredients would be difficult, too.\Which means he's in the Army?\Control had the same idea.\Gas produced before the Convention is lying unused in military storehouses.\You mean inside the London Wall?\Yes.\The storehouses were built before the second round of construction,\So you'd have to go through the military barracks to get to them. response:	The odds are good that our poisoner lives in those barracks.
context: Which means he's in the Army?\Control had the same idea.\Gas produced before the Convention is lying unused in military storehouses.\You mean inside the London Wall?\Yes.\The storehouses were built before the second round of construction,\So you'd have to go through the military barracks to get to them.\The odds are good that our poisoner lives in those barracks. response:	How many are housed there?
context: Control had the same idea.\Gas produced before the Convention is lying unused in military storehouses.\You mean inside the London Wall?\Yes.\The storehouses were built before the second round of construction,\So you'd have to go through the military barracks to get to them.\The odds are good that our poisoner lives in those barracks.\How many are housed there? response:	About 1200.
context: Gas produced before the Convention is lying unused in military storehouses.\You mean inside the London Wall?\Yes.\The storehouses were built before the second round of construction,\So you'd have to go through the military barracks to get to them.\The odds are good that our poisoner lives in those barracks.\How many are housed there?\About 1200. response:	That many?!
context: You mean inside the London Wall?\Yes.\The storehouses were built before the second round of construction,\So you'd have to go through the military barracks to get to them.\The odds are good that our poisoner lives in those barracks.\How many are housed there?\About 1200.\That many?! response:	How will we find him?
context: Yes.\The storehouses were built before the second round of construction,\So you'd have to go through the military barracks to get to them.\The odds are good that our poisoner lives in those barracks.\How many are housed there?\About 1200.\That many?!\How will we find him? response:	Disguise ourselves as soldiers?
context: The storehouses were built before the second round of construction,\So you'd have to go through the military barracks to get to them.\The odds are good that our poisoner lives in those barracks.\How many are housed there?\About 1200.\That many?!\How will we find him?\Disguise ourselves as soldiers? response:	No, the Army is a boys' club.
context: So you'd have to go through the military barracks to get to them.\The odds are good that our poisoner lives in those barracks.\How many are housed there?\About 1200.\That many?!\How will we find him?\Disguise ourselves as soldiers?\No, the Army is a boys' club. response:	Women would draw too much attention.
context: The odds are good that our poisoner lives in those barracks.\How many are housed there?\About 1200.\That many?!\How will we find him?\Disguise ourselves as soldiers?\No, the Army is a boys' club.\Women would draw too much attention. response:	And living in the barracks alongside them,
context: How many are housed there?\About 1200.\That many?!\How will we find him?\Disguise ourselves as soldiers?\No, the Army is a boys' club.\Women would draw too much attention.\And living in the barracks alongside them, response:	it would be difficult to maintain a manly facade.
context: About 1200.\That many?!\How will we find him?\Disguise ourselves as soldiers?\No, the Army is a boys' club.\Women would draw too much attention.\And living in the barracks alongside them,\it would be difficult to maintain a manly facade. response:	Then what do we do?
context: That many?!\How will we find him?\Disguise ourselves as soldiers?\No, the Army is a boys' club.\Women would draw too much attention.\And living in the barracks alongside them,\it would be difficult to maintain a manly facade.\Then what do we do? response:	Men don't do laundry.
context: How will we find him?\Disguise ourselves as soldiers?\No, the Army is a boys' club.\Women would draw too much attention.\And living in the barracks alongside them,\it would be difficult to maintain a manly facade.\Then what do we do?\Men don't do laundry. response:	What?
context: Disguise ourselves as soldiers?\No, the Army is a boys' club.\Women would draw too much attention.\And living in the barracks alongside them,\it would be difficult to maintain a manly facade.\Then what do we do?\Men don't do laundry.\What? response:	That's true.
context: No, the Army is a boys' club.\Women would draw too much attention.\And living in the barracks alongside them,\it would be difficult to maintain a manly facade.\Then what do we do?\Men don't do laundry.\What?\That's true. response:	None of the boys in class-
context: Women would draw too much attention.\And living in the barracks alongside them,\it would be difficult to maintain a manly facade.\Then what do we do?\Men don't do laundry.\What?\That's true.\None of the boys in class- response:	Of course!
context: And living in the barracks alongside them,\it would be difficult to maintain a manly facade.\Then what do we do?\Men don't do laundry.\What?\That's true.\None of the boys in class-\Of course! response:	Nerve gas would adhere to his clothes.
context: it would be difficult to maintain a manly facade.\Then what do we do?\Men don't do laundry.\What?\That's true.\None of the boys in class-\Of course!\Nerve gas would adhere to his clothes. response:	And the barracks send all of the men's uniforms to a laundry mill for washing.
context: Then what do we do?\Men don't do laundry.\What?\That's true.\None of the boys in class-\Of course!\Nerve gas would adhere to his clothes.\And the barracks send all of the men's uniforms to a laundry mill for washing. response:	So we infiltrate the laundry mill and find the uniform that reacts to a pyridine test.
context: Men don't do laundry.\What?\That's true.\None of the boys in class-\Of course!\Nerve gas would adhere to his clothes.\And the barracks send all of the men's uniforms to a laundry mill for washing.\So we infiltrate the laundry mill and find the uniform that reacts to a pyridine test. response:	This is going to take some time.
context: What?\That's true.\None of the boys in class-\Of course!\Nerve gas would adhere to his clothes.\And the barracks send all of the men's uniforms to a laundry mill for washing.\So we infiltrate the laundry mill and find the uniform that reacts to a pyridine test.\This is going to take some time. response:	Um, Miss Alice, you can't just move the desk around without-
context: That's true.\None of the boys in class-\Of course!\Nerve gas would adhere to his clothes.\And the barracks send all of the men's uniforms to a laundry mill for washing.\So we infiltrate the laundry mill and find the uniform that reacts to a pyridine test.\This is going to take some time.\Um, Miss Alice, you can't just move the desk around without- response:	I don't like being ordered around!
context: None of the boys in class-\Of course!\Nerve gas would adhere to his clothes.\And the barracks send all of the men's uniforms to a laundry mill for washing.\So we infiltrate the laundry mill and find the uniform that reacts to a pyridine test.\This is going to take some time.\Um, Miss Alice, you can't just move the desk around without-\I don't like being ordered around! response:	Go away!
context: Of course!\Nerve gas would adhere to his clothes.\And the barracks send all of the men's uniforms to a laundry mill for washing.\So we infiltrate the laundry mill and find the uniform that reacts to a pyridine test.\This is going to take some time.\Um, Miss Alice, you can't just move the desk around without-\I don't like being ordered around!\Go away! response:	Y-yes, ma'am!
context: Nerve gas would adhere to his clothes.\And the barracks send all of the men's uniforms to a laundry mill for washing.\So we infiltrate the laundry mill and find the uniform that reacts to a pyridine test.\This is going to take some time.\Um, Miss Alice, you can't just move the desk around without-\I don't like being ordered around!\Go away!\Y-yes, ma'am! response:	So that's what she meant by optimal cover.
context: And the barracks send all of the men's uniforms to a laundry mill for washing.\So we infiltrate the laundry mill and find the uniform that reacts to a pyridine test.\This is going to take some time.\Um, Miss Alice, you can't just move the desk around without-\I don't like being ordered around!\Go away!\Y-yes, ma'am!\So that's what she meant by optimal cover. response:	It does keep people from asking questions.
context: So we infiltrate the laundry mill and find the uniform that reacts to a pyridine test.\This is going to take some time.\Um, Miss Alice, you can't just move the desk around without-\I don't like being ordered around!\Go away!\Y-yes, ma'am!\So that's what she meant by optimal cover.\It does keep people from asking questions. response:	By the way, Your Highness, why did you come along?
context: This is going to take some time.\Um, Miss Alice, you can't just move the desk around without-\I don't like being ordered around!\Go away!\Y-yes, ma'am!\So that's what she meant by optimal cover.\It does keep people from asking questions.\By the way, Your Highness, why did you come along? response:	I'm a part of the team, too!
context: Um, Miss Alice, you can't just move the desk around without-\I don't like being ordered around!\Go away!\Y-yes, ma'am!\So that's what she meant by optimal cover.\It does keep people from asking questions.\By the way, Your Highness, why did you come along?\I'm a part of the team, too! response:	Listen to you talk.
context: I don't like being ordered around!\Go away!\Y-yes, ma'am!\So that's what she meant by optimal cover.\It does keep people from asking questions.\By the way, Your Highness, why did you come along?\I'm a part of the team, too!\Listen to you talk. response:	You just wanted to see what it was like, didn't you?
context: Go away!\Y-yes, ma'am!\So that's what she meant by optimal cover.\It does keep people from asking questions.\By the way, Your Highness, why did you come along?\I'm a part of the team, too!\Listen to you talk.\You just wanted to see what it was like, didn't you? response:	Yes, I did!
context: Y-yes, ma'am!\So that's what she meant by optimal cover.\It does keep people from asking questions.\By the way, Your Highness, why did you come along?\I'm a part of the team, too!\Listen to you talk.\You just wanted to see what it was like, didn't you?\Yes, I did! response:	This may be a foolish question, but...
context: So that's what she meant by optimal cover.\It does keep people from asking questions.\By the way, Your Highness, why did you come along?\I'm a part of the team, too!\Listen to you talk.\You just wanted to see what it was like, didn't you?\Yes, I did!\This may be a foolish question, but... response:	Who is the master laundress of this establishment?
context: It does keep people from asking questions.\By the way, Your Highness, why did you come along?\I'm a part of the team, too!\Listen to you talk.\You just wanted to see what it was like, didn't you?\Yes, I did!\This may be a foolish question, but...\Who is the master laundress of this establishment? response:	Master?
context: By the way, Your Highness, why did you come along?\I'm a part of the team, too!\Listen to you talk.\You just wanted to see what it was like, didn't you?\Yes, I did!\This may be a foolish question, but...\Who is the master laundress of this establishment?\Master? response:	That would have to be Marilla.
context: I'm a part of the team, too!\Listen to you talk.\You just wanted to see what it was like, didn't you?\Yes, I did!\This may be a foolish question, but...\Who is the master laundress of this establishment?\Master?\That would have to be Marilla. response:	Many pardons.
context: Listen to you talk.\You just wanted to see what it was like, didn't you?\Yes, I did!\This may be a foolish question, but...\Who is the master laundress of this establishment?\Master?\That would have to be Marilla.\Many pardons. response:	I've heard that you have the greatest skill with the iron.
context: You just wanted to see what it was like, didn't you?\Yes, I did!\This may be a foolish question, but...\Who is the master laundress of this establishment?\Master?\That would have to be Marilla.\Many pardons.\I've heard that you have the greatest skill with the iron. response:	I request your guidance.
context: Yes, I did!\This may be a foolish question, but...\Who is the master laundress of this establishment?\Master?\That would have to be Marilla.\Many pardons.\I've heard that you have the greatest skill with the iron.\I request your guidance. response:	Stand next to me.
context: This may be a foolish question, but...\Who is the master laundress of this establishment?\Master?\That would have to be Marilla.\Many pardons.\I've heard that you have the greatest skill with the iron.\I request your guidance.\Stand next to me. response:	First, watch.
context: Who is the master laundress of this establishment?\Master?\That would have to be Marilla.\Many pardons.\I've heard that you have the greatest skill with the iron.\I request your guidance.\Stand next to me.\First, watch. response:	Then if you have any questions, just ask.
context: Master?\That would have to be Marilla.\Many pardons.\I've heard that you have the greatest skill with the iron.\I request your guidance.\Stand next to me.\First, watch.\Then if you have any questions, just ask. response:	You have my thanks.
context: That would have to be Marilla.\Many pardons.\I've heard that you have the greatest skill with the iron.\I request your guidance.\Stand next to me.\First, watch.\Then if you have any questions, just ask.\You have my thanks. response:	Japanese people are odd.
context: Many pardons.\I've heard that you have the greatest skill with the iron.\I request your guidance.\Stand next to me.\First, watch.\Then if you have any questions, just ask.\You have my thanks.\Japanese people are odd. response:	I guess I can't expect to find it that soon.
context: I've heard that you have the greatest skill with the iron.\I request your guidance.\Stand next to me.\First, watch.\Then if you have any questions, just ask.\You have my thanks.\Japanese people are odd.\I guess I can't expect to find it that soon. response:	Still...
context: I request your guidance.\Stand next to me.\First, watch.\Then if you have any questions, just ask.\You have my thanks.\Japanese people are odd.\I guess I can't expect to find it that soon.\Still... response:	Someone turn it off!
context: Stand next to me.\First, watch.\Then if you have any questions, just ask.\You have my thanks.\Japanese people are odd.\I guess I can't expect to find it that soon.\Still...\Someone turn it off! response:	I think that's all for this one.
context: First, watch.\Then if you have any questions, just ask.\You have my thanks.\Japanese people are odd.\I guess I can't expect to find it that soon.\Still...\Someone turn it off!\I think that's all for this one. response:	Guess it's time for a break.
context: Then if you have any questions, just ask.\You have my thanks.\Japanese people are odd.\I guess I can't expect to find it that soon.\Still...\Someone turn it off!\I think that's all for this one.\Guess it's time for a break. response:	But we haven't been working an hour.
context: You have my thanks.\Japanese people are odd.\I guess I can't expect to find it that soon.\Still...\Someone turn it off!\I think that's all for this one.\Guess it's time for a break.\But we haven't been working an hour. response:	Hooray! Break time!
context: Japanese people are odd.\I guess I can't expect to find it that soon.\Still...\Someone turn it off!\I think that's all for this one.\Guess it's time for a break.\But we haven't been working an hour.\Hooray! Break time! response:	Let's have some lunch!
context: I guess I can't expect to find it that soon.\Still...\Someone turn it off!\I think that's all for this one.\Guess it's time for a break.\But we haven't been working an hour.\Hooray! Break time!\Let's have some lunch! response:	Really!
context: Still...\Someone turn it off!\I think that's all for this one.\Guess it's time for a break.\But we haven't been working an hour.\Hooray! Break time!\Let's have some lunch!\Really! response:	Let's go!
context: Someone turn it off!\I think that's all for this one.\Guess it's time for a break.\But we haven't been working an hour.\Hooray! Break time!\Let's have some lunch!\Really!\Let's go! response:	In two days, we've tested a total of 150 articles of clothing.
context: I think that's all for this one.\Guess it's time for a break.\But we haven't been working an hour.\Hooray! Break time!\Let's have some lunch!\Really!\Let's go!\In two days, we've tested a total of 150 articles of clothing. response:	But we couldn't confirm a single reaction to our chemical test.
context: Guess it's time for a break.\But we haven't been working an hour.\Hooray! Break time!\Let's have some lunch!\Really!\Let's go!\In two days, we've tested a total of 150 articles of clothing.\But we couldn't confirm a single reaction to our chemical test. response:	At this rate, it's gonna take us a month.
context: But we haven't been working an hour.\Hooray! Break time!\Let's have some lunch!\Really!\Let's go!\In two days, we've tested a total of 150 articles of clothing.\But we couldn't confirm a single reaction to our chemical test.\At this rate, it's gonna take us a month. response:	Those women are all too lazy!
context: Hooray! Break time!\Let's have some lunch!\Really!\Let's go!\In two days, we've tested a total of 150 articles of clothing.\But we couldn't confirm a single reaction to our chemical test.\At this rate, it's gonna take us a month.\Those women are all too lazy! response:	If they would work harder, they could earn more!
context: Let's have some lunch!\Really!\Let's go!\In two days, we've tested a total of 150 articles of clothing.\But we couldn't confirm a single reaction to our chemical test.\At this rate, it's gonna take us a month.\Those women are all too lazy!\If they would work harder, they could earn more! response:	You're very strict, aren't you, Miss Chise?
context: Really!\Let's go!\In two days, we've tested a total of 150 articles of clothing.\But we couldn't confirm a single reaction to our chemical test.\At this rate, it's gonna take us a month.\Those women are all too lazy!\If they would work harder, they could earn more!\You're very strict, aren't you, Miss Chise? response:	Heave-ho.
context: Let's go!\In two days, we've tested a total of 150 articles of clothing.\But we couldn't confirm a single reaction to our chemical test.\At this rate, it's gonna take us a month.\Those women are all too lazy!\If they would work harder, they could earn more!\You're very strict, aren't you, Miss Chise?\Heave-ho. response:	Huh?
context: In two days, we've tested a total of 150 articles of clothing.\But we couldn't confirm a single reaction to our chemical test.\At this rate, it's gonna take us a month.\Those women are all too lazy!\If they would work harder, they could earn more!\You're very strict, aren't you, Miss Chise?\Heave-ho.\Huh? response:	Guess it's about time for a break.
context: But we couldn't confirm a single reaction to our chemical test.\At this rate, it's gonna take us a month.\Those women are all too lazy!\If they would work harder, they could earn more!\You're very strict, aren't you, Miss Chise?\Heave-ho.\Huh?\Guess it's about time for a break. response:	Whew!
context: At this rate, it's gonna take us a month.\Those women are all too lazy!\If they would work harder, they could earn more!\You're very strict, aren't you, Miss Chise?\Heave-ho.\Huh?\Guess it's about time for a break.\Whew! response:	So much work today.
context: Those women are all too lazy!\If they would work harder, they could earn more!\You're very strict, aren't you, Miss Chise?\Heave-ho.\Huh?\Guess it's about time for a break.\Whew!\So much work today. response:	Put down the iron, Japan Girl.
context: If they would work harder, they could earn more!\You're very strict, aren't you, Miss Chise?\Heave-ho.\Huh?\Guess it's about time for a break.\Whew!\So much work today.\Put down the iron, Japan Girl. response:	No, thank you. I am not tired.
context: You're very strict, aren't you, Miss Chise?\Heave-ho.\Huh?\Guess it's about time for a break.\Whew!\So much work today.\Put down the iron, Japan Girl.\No, thank you. I am not tired. response:	You may all rest without me.
context: Heave-ho.\Huh?\Guess it's about time for a break.\Whew!\So much work today.\Put down the iron, Japan Girl.\No, thank you. I am not tired.\You may all rest without me. response:	Take a break! That's the rule!
context: Huh?\Guess it's about time for a break.\Whew!\So much work today.\Put down the iron, Japan Girl.\No, thank you. I am not tired.\You may all rest without me.\Take a break! That's the rule! response:	You have but one life to live!
context: Guess it's about time for a break.\Whew!\So much work today.\Put down the iron, Japan Girl.\No, thank you. I am not tired.\You may all rest without me.\Take a break! That's the rule!\You have but one life to live! response:	Why would you not give everything your best effort?
context: Whew!\So much work today.\Put down the iron, Japan Girl.\No, thank you. I am not tired.\You may all rest without me.\Take a break! That's the rule!\You have but one life to live!\Why would you not give everything your best effort? response:	Hey! I'm trying-
context: So much work today.\Put down the iron, Japan Girl.\No, thank you. I am not tired.\You may all rest without me.\Take a break! That's the rule!\You have but one life to live!\Why would you not give everything your best effort?\Hey! I'm trying- response:	Rita!
context: Put down the iron, Japan Girl.\No, thank you. I am not tired.\You may all rest without me.\Take a break! That's the rule!\You have but one life to live!\Why would you not give everything your best effort?\Hey! I'm trying-\Rita! response:	Are you alright?
context: No, thank you. I am not tired.\You may all rest without me.\Take a break! That's the rule!\You have but one life to live!\Why would you not give everything your best effort?\Hey! I'm trying-\Rita!\Are you alright? response:	Yes.
context: You may all rest without me.\Take a break! That's the rule!\You have but one life to live!\Why would you not give everything your best effort?\Hey! I'm trying-\Rita!\Are you alright?\Yes. response:	Thank you for your help.
context: Take a break! That's the rule!\You have but one life to live!\Why would you not give everything your best effort?\Hey! I'm trying-\Rita!\Are you alright?\Yes.\Thank you for your help. response:	These scars...
context: You have but one life to live!\Why would you not give everything your best effort?\Hey! I'm trying-\Rita!\Are you alright?\Yes.\Thank you for your help.\These scars... response:	This is why I told you to take a break!
context: Why would you not give everything your best effort?\Hey! I'm trying-\Rita!\Are you alright?\Yes.\Thank you for your help.\These scars...\This is why I told you to take a break! response:	The machinery here is junk!
context: Hey! I'm trying-\Rita!\Are you alright?\Yes.\Thank you for your help.\These scars...\This is why I told you to take a break!\The machinery here is junk! response:	If we don't give it a rest every so often, people get hurt.
context: Rita!\Are you alright?\Yes.\Thank you for your help.\These scars...\This is why I told you to take a break!\The machinery here is junk!\If we don't give it a rest every so often, people get hurt. response:	We get paid by the day.
context: Are you alright?\Yes.\Thank you for your help.\These scars...\This is why I told you to take a break!\The machinery here is junk!\If we don't give it a rest every so often, people get hurt.\We get paid by the day. response:	If we get hurt, we can't earn any money.
context: Yes.\Thank you for your help.\These scars...\This is why I told you to take a break!\The machinery here is junk!\If we don't give it a rest every so often, people get hurt.\We get paid by the day.\If we get hurt, we can't earn any money. response:	We may not like it, but we do what we can to get on.
context: Thank you for your help.\These scars...\This is why I told you to take a break!\The machinery here is junk!\If we don't give it a rest every so often, people get hurt.\We get paid by the day.\If we get hurt, we can't earn any money.\We may not like it, but we do what we can to get on. response:	Is the foreman in?
context: These scars...\This is why I told you to take a break!\The machinery here is junk!\If we don't give it a rest every so often, people get hurt.\We get paid by the day.\If we get hurt, we can't earn any money.\We may not like it, but we do what we can to get on.\Is the foreman in? response:	Pwah.
