context: That was loud. response:	Haru, are you okay?
context: Oh, by the way...\I wanted to ask you a favor, as a classmate...\I won't join the swim club.\Huh? How did you know before I said anything?\It was easy enough to guess.\Huh?\Considering the recruiting posters in your bag,\and those swimsuit Iwatobi-chan straps you probably plan to give to new recruits. response:	As I mentioned before,
context: I wanted to ask you a favor, as a classmate...\I won't join the swim club.\Huh? How did you know before I said anything?\It was easy enough to guess.\Huh?\Considering the recruiting posters in your bag,\and those swimsuit Iwatobi-chan straps you probably plan to give to new recruits.\As I mentioned before, response:	I already joined the track team.
context: I won't join the swim club.\Huh? How did you know before I said anything?\It was easy enough to guess.\Huh?\Considering the recruiting posters in your bag,\and those swimsuit Iwatobi-chan straps you probably plan to give to new recruits.\As I mentioned before,\I already joined the track team. response:	Goodbye.
context: Huh? How did you know before I said anything?\It was easy enough to guess.\Huh?\Considering the recruiting posters in your bag,\and those swimsuit Iwatobi-chan straps you probably plan to give to new recruits.\As I mentioned before,\I already joined the track team.\Goodbye. response:	Huh? Why?
context: It was easy enough to guess.\Huh?\Considering the recruiting posters in your bag,\and those swimsuit Iwatobi-chan straps you probably plan to give to new recruits.\As I mentioned before,\I already joined the track team.\Goodbye.\Huh? Why? response:	The school is the next station!
context: Huh?\Considering the recruiting posters in your bag,\and those swimsuit Iwatobi-chan straps you probably plan to give to new recruits.\As I mentioned before,\I already joined the track team.\Goodbye.\Huh? Why?\The school is the next station! response:	Wow!
context: Considering the recruiting posters in your bag,\and those swimsuit Iwatobi-chan straps you probably plan to give to new recruits.\As I mentioned before,\I already joined the track team.\Goodbye.\Huh? Why?\The school is the next station!\Wow! response:	He runs the last stretch every day!
context: and those swimsuit Iwatobi-chan straps you probably plan to give to new recruits.\As I mentioned before,\I already joined the track team.\Goodbye.\Huh? Why?\The school is the next station!\Wow!\He runs the last stretch every day! response:	I want to swim already.
context: As I mentioned before,\I already joined the track team.\Goodbye.\Huh? Why?\The school is the next station!\Wow!\He runs the last stretch every day!\I want to swim already. response:	Wow...
context: I already joined the track team.\Goodbye.\Huh? Why?\The school is the next station!\Wow!\He runs the last stretch every day!\I want to swim already.\Wow... response:	We can swim here in the off-season?
context: Goodbye.\Huh? Why?\The school is the next station!\Wow!\He runs the last stretch every day!\I want to swim already.\Wow...\We can swim here in the off-season? response:	A free environment where you can reinvent yourself at your pace.
context: Huh? Why?\The school is the next station!\Wow!\He runs the last stretch every day!\I want to swim already.\Wow...\We can swim here in the off-season?\A free environment where you can reinvent yourself at your pace. response:	Spring Recruitment Campaign
context: The school is the next station!\Wow!\He runs the last stretch every day!\I want to swim already.\Wow...\We can swim here in the off-season?\A free environment where you can reinvent yourself at your pace.\Spring Recruitment Campaign response:	Awesome!
context: Wow!\He runs the last stretch every day!\I want to swim already.\Wow...\We can swim here in the off-season?\A free environment where you can reinvent yourself at your pace.\Spring Recruitment Campaign\Awesome! response:	Right?
context: He runs the last stretch every day!\I want to swim already.\Wow...\We can swim here in the off-season?\A free environment where you can reinvent yourself at your pace.\Spring Recruitment Campaign\Awesome!\Right? response:	I'm thinking that schools like us
context: I want to swim already.\Wow...\We can swim here in the off-season?\A free environment where you can reinvent yourself at your pace.\Spring Recruitment Campaign\Awesome!\Right?\I'm thinking that schools like us response:	without indoor pools probably use facilities like these.
context: Wow...\We can swim here in the off-season?\A free environment where you can reinvent yourself at your pace.\Spring Recruitment Campaign\Awesome!\Right?\I'm thinking that schools like us\without indoor pools probably use facilities like these. response:	Way to go, Gou-chan!
context: We can swim here in the off-season?\A free environment where you can reinvent yourself at your pace.\Spring Recruitment Campaign\Awesome!\Right?\I'm thinking that schools like us\without indoor pools probably use facilities like these.\Way to go, Gou-chan! response:	Our super manager!
context: A free environment where you can reinvent yourself at your pace.\Spring Recruitment Campaign\Awesome!\Right?\I'm thinking that schools like us\without indoor pools probably use facilities like these.\Way to go, Gou-chan!\Our super manager! response:	You're supposed to call me Kou!
context: Spring Recruitment Campaign\Awesome!\Right?\I'm thinking that schools like us\without indoor pools probably use facilities like these.\Way to go, Gou-chan!\Our super manager!\You're supposed to call me Kou! response:	Haruka-senpai.
context: Awesome!\Right?\I'm thinking that schools like us\without indoor pools probably use facilities like these.\Way to go, Gou-chan!\Our super manager!\You're supposed to call me Kou!\Haruka-senpai. response:	How do we pay for it?
context: Right?\I'm thinking that schools like us\without indoor pools probably use facilities like these.\Way to go, Gou-chan!\Our super manager!\You're supposed to call me Kou!\Haruka-senpai.\How do we pay for it? response:	With our club budget, of course.
context: I'm thinking that schools like us\without indoor pools probably use facilities like these.\Way to go, Gou-chan!\Our super manager!\You're supposed to call me Kou!\Haruka-senpai.\How do we pay for it?\With our club budget, of course. response:	Ah, I see.
context: without indoor pools probably use facilities like these.\Way to go, Gou-chan!\Our super manager!\You're supposed to call me Kou!\Haruka-senpai.\How do we pay for it?\With our club budget, of course.\Ah, I see. response:	This gym is pretty expensive to join.
context: Way to go, Gou-chan!\Our super manager!\You're supposed to call me Kou!\Haruka-senpai.\How do we pay for it?\With our club budget, of course.\Ah, I see.\This gym is pretty expensive to join. response:	If our club budget will really cover that...
context: Our super manager!\You're supposed to call me Kou!\Haruka-senpai.\How do we pay for it?\With our club budget, of course.\Ah, I see.\This gym is pretty expensive to join.\If our club budget will really cover that... response:	This is the real reason we started a swim club.
context: You're supposed to call me Kou!\Haruka-senpai.\How do we pay for it?\With our club budget, of course.\Ah, I see.\This gym is pretty expensive to join.\If our club budget will really cover that...\This is the real reason we started a swim club. response:	That's probably what you're thinking.
context: Haruka-senpai.\How do we pay for it?\With our club budget, of course.\Ah, I see.\This gym is pretty expensive to join.\If our club budget will really cover that...\This is the real reason we started a swim club.\That's probably what you're thinking. response:	Shut up.
context: How do we pay for it?\With our club budget, of course.\Ah, I see.\This gym is pretty expensive to join.\If our club budget will really cover that...\This is the real reason we started a swim club.\That's probably what you're thinking.\Shut up. response:	This means we can swim year round!
context: With our club budget, of course.\Ah, I see.\This gym is pretty expensive to join.\If our club budget will really cover that...\This is the real reason we started a swim club.\That's probably what you're thinking.\Shut up.\This means we can swim year round! response:	That's not happening.
context: Ah, I see.\This gym is pretty expensive to join.\If our club budget will really cover that...\This is the real reason we started a swim club.\That's probably what you're thinking.\Shut up.\This means we can swim year round!\That's not happening. response:	What? Why?
context: This gym is pretty expensive to join.\If our club budget will really cover that...\This is the real reason we started a swim club.\That's probably what you're thinking.\Shut up.\This means we can swim year round!\That's not happening.\What? Why? response:	The school isn't going to give that much money
context: If our club budget will really cover that...\This is the real reason we started a swim club.\That's probably what you're thinking.\Shut up.\This means we can swim year round!\That's not happening.\What? Why?\The school isn't going to give that much money response:	to a brand-new club with no accomplishments.
context: This is the real reason we started a swim club.\That's probably what you're thinking.\Shut up.\This means we can swim year round!\That's not happening.\What? Why?\The school isn't going to give that much money\to a brand-new club with no accomplishments. response:	There is an aphorism from the Bible.
context: That's probably what you're thinking.\Shut up.\This means we can swim year round!\That's not happening.\What? Why?\The school isn't going to give that much money\to a brand-new club with no accomplishments.\There is an aphorism from the Bible. response:	He who does not work, neither shall he eat.
context: Shut up.\This means we can swim year round!\That's not happening.\What? Why?\The school isn't going to give that much money\to a brand-new club with no accomplishments.\There is an aphorism from the Bible.\He who does not work, neither shall he eat. response:	I don't think you're using that correctly.
context: This means we can swim year round!\That's not happening.\What? Why?\The school isn't going to give that much money\to a brand-new club with no accomplishments.\There is an aphorism from the Bible.\He who does not work, neither shall he eat.\I don't think you're using that correctly. response:	You can't eat a pool.
context: That's not happening.\What? Why?\The school isn't going to give that much money\to a brand-new club with no accomplishments.\There is an aphorism from the Bible.\He who does not work, neither shall he eat.\I don't think you're using that correctly.\You can't eat a pool. response:	So we'll get the money if we deliver accomplishments?
context: What? Why?\The school isn't going to give that much money\to a brand-new club with no accomplishments.\There is an aphorism from the Bible.\He who does not work, neither shall he eat.\I don't think you're using that correctly.\You can't eat a pool.\So we'll get the money if we deliver accomplishments? response:	I suppose.
context: The school isn't going to give that much money\to a brand-new club with no accomplishments.\There is an aphorism from the Bible.\He who does not work, neither shall he eat.\I don't think you're using that correctly.\You can't eat a pool.\So we'll get the money if we deliver accomplishments?\I suppose. response:	That's the best way to secure lots of money for your club.
context: to a brand-new club with no accomplishments.\There is an aphorism from the Bible.\He who does not work, neither shall he eat.\I don't think you're using that correctly.\You can't eat a pool.\So we'll get the money if we deliver accomplishments?\I suppose.\That's the best way to secure lots of money for your club. response:	Accomplishments...
context: There is an aphorism from the Bible.\He who does not work, neither shall he eat.\I don't think you're using that correctly.\You can't eat a pool.\So we'll get the money if we deliver accomplishments?\I suppose.\That's the best way to secure lots of money for your club.\Accomplishments... response:	So what if we can place in a summer tournament?
context: He who does not work, neither shall he eat.\I don't think you're using that correctly.\You can't eat a pool.\So we'll get the money if we deliver accomplishments?\I suppose.\That's the best way to secure lots of money for your club.\Accomplishments...\So what if we can place in a summer tournament? response:	Your request might be approved
context: I don't think you're using that correctly.\You can't eat a pool.\So we'll get the money if we deliver accomplishments?\I suppose.\That's the best way to secure lots of money for your club.\Accomplishments...\So what if we can place in a summer tournament?\Your request might be approved response:	at the second term budget review meeting.
context: You can't eat a pool.\So we'll get the money if we deliver accomplishments?\I suppose.\That's the best way to secure lots of money for your club.\Accomplishments...\So what if we can place in a summer tournament?\Your request might be approved\at the second term budget review meeting. response:	But you'll need at least four swimmers to bolster your case.
context: So we'll get the money if we deliver accomplishments?\I suppose.\That's the best way to secure lots of money for your club.\Accomplishments...\So what if we can place in a summer tournament?\Your request might be approved\at the second term budget review meeting.\But you'll need at least four swimmers to bolster your case. response:	Swimmers...
context: I suppose.\That's the best way to secure lots of money for your club.\Accomplishments...\So what if we can place in a summer tournament?\Your request might be approved\at the second term budget review meeting.\But you'll need at least four swimmers to bolster your case.\Swimmers... response:	So it's meaningless if we can't find another member...
context: That's the best way to secure lots of money for your club.\Accomplishments...\So what if we can place in a summer tournament?\Your request might be approved\at the second term budget review meeting.\But you'll need at least four swimmers to bolster your case.\Swimmers...\So it's meaningless if we can't find another member... response:	One more...
context: Accomplishments...\So what if we can place in a summer tournament?\Your request might be approved\at the second term budget review meeting.\But you'll need at least four swimmers to bolster your case.\Swimmers...\So it's meaningless if we can't find another member...\One more... response:	Huh?
context: So what if we can place in a summer tournament?\Your request might be approved\at the second term budget review meeting.\But you'll need at least four swimmers to bolster your case.\Swimmers...\So it's meaningless if we can't find another member...\One more...\Huh? response:	Haru?
context: Your request might be approved\at the second term budget review meeting.\But you'll need at least four swimmers to bolster your case.\Swimmers...\So it's meaningless if we can't find another member...\One more...\Huh?\Haru? response:	Haru-chan sounds motivated now.
context: at the second term budget review meeting.\But you'll need at least four swimmers to bolster your case.\Swimmers...\So it's meaningless if we can't find another member...\One more...\Huh?\Haru?\Haru-chan sounds motivated now. response:	Haru?
context: But you'll need at least four swimmers to bolster your case.\Swimmers...\So it's meaningless if we can't find another member...\One more...\Huh?\Haru?\Haru-chan sounds motivated now.\Haru? response:	Oh, he stopped.
context: Swimmers...\So it's meaningless if we can't find another member...\One more...\Huh?\Haru?\Haru-chan sounds motivated now.\Haru?\Oh, he stopped. response:	That was a trick question.
context: So it's meaningless if we can't find another member...\One more...\Huh?\Haru?\Haru-chan sounds motivated now.\Haru?\Oh, he stopped.\That was a trick question. response:	Yeah, I thought the same
context: One more...\Huh?\Haru?\Haru-chan sounds motivated now.\Haru?\Oh, he stopped.\That was a trick question.\Yeah, I thought the same response:	Hey.
context: Huh?\Haru?\Haru-chan sounds motivated now.\Haru?\Oh, he stopped.\That was a trick question.\Yeah, I thought the same\Hey. response:	I'll give you this.
context: Haru?\Haru-chan sounds motivated now.\Haru?\Oh, he stopped.\That was a trick question.\Yeah, I thought the same\Hey.\I'll give you this. response:	So join the swim club.
context: Haru-chan sounds motivated now.\Haru?\Oh, he stopped.\That was a trick question.\Yeah, I thought the same\Hey.\I'll give you this.\So join the swim club. response:	No, thanks.
context: Haru?\Oh, he stopped.\That was a trick question.\Yeah, I thought the same\Hey.\I'll give you this.\So join the swim club.\No, thanks. response:	Ouch.
context: Oh, he stopped.\That was a trick question.\Yeah, I thought the same\Hey.\I'll give you this.\So join the swim club.\No, thanks.\Ouch. response:	It's hopeless.
context: That was a trick question.\Yeah, I thought the same\Hey.\I'll give you this.\So join the swim club.\No, thanks.\Ouch.\It's hopeless. response:	That's the best Haru can manage.
context: Yeah, I thought the same\Hey.\I'll give you this.\So join the swim club.\No, thanks.\Ouch.\It's hopeless.\That's the best Haru can manage. response:	Don't let it get to you, Haru-chan!
context: Hey.\I'll give you this.\So join the swim club.\No, thanks.\Ouch.\It's hopeless.\That's the best Haru can manage.\Don't let it get to you, Haru-chan! response:	Fun! Iwatobi Swim Club
context: I'll give you this.\So join the swim club.\No, thanks.\Ouch.\It's hopeless.\That's the best Haru can manage.\Don't let it get to you, Haru-chan!\Fun! Iwatobi Swim Club response:	Should the posters be flashier?
context: So join the swim club.\No, thanks.\Ouch.\It's hopeless.\That's the best Haru can manage.\Don't let it get to you, Haru-chan!\Fun! Iwatobi Swim Club\Should the posters be flashier? response:	Ah.
context: No, thanks.\Ouch.\It's hopeless.\That's the best Haru can manage.\Don't let it get to you, Haru-chan!\Fun! Iwatobi Swim Club\Should the posters be flashier?\Ah. response:	Wait, Ryugazaki-kun!
context: Ouch.\It's hopeless.\That's the best Haru can manage.\Don't let it get to you, Haru-chan!\Fun! Iwatobi Swim Club\Should the posters be flashier?\Ah.\Wait, Ryugazaki-kun! response:	Let's go home together.
context: It's hopeless.\That's the best Haru can manage.\Don't let it get to you, Haru-chan!\Fun! Iwatobi Swim Club\Should the posters be flashier?\Ah.\Wait, Ryugazaki-kun!\Let's go home together. response:	We can talk about swimming.
context: That's the best Haru can manage.\Don't let it get to you, Haru-chan!\Fun! Iwatobi Swim Club\Should the posters be flashier?\Ah.\Wait, Ryugazaki-kun!\Let's go home together.\We can talk about swimming. response:	I have practice now.
context: Don't let it get to you, Haru-chan!\Fun! Iwatobi Swim Club\Should the posters be flashier?\Ah.\Wait, Ryugazaki-kun!\Let's go home together.\We can talk about swimming.\I have practice now. response:	Deodorizer
context: Fun! Iwatobi Swim Club\Should the posters be flashier?\Ah.\Wait, Ryugazaki-kun!\Let's go home together.\We can talk about swimming.\I have practice now.\Deodorizer response:	And there's nothing you can say
context: Should the posters be flashier?\Ah.\Wait, Ryugazaki-kun!\Let's go home together.\We can talk about swimming.\I have practice now.\Deodorizer\And there's nothing you can say response:	that will convince me to join the swim club.
context: Ah.\Wait, Ryugazaki-kun!\Let's go home together.\We can talk about swimming.\I have practice now.\Deodorizer\And there's nothing you can say\that will convince me to join the swim club. response:	Ryugazaki-kun...
context: Wait, Ryugazaki-kun!\Let's go home together.\We can talk about swimming.\I have practice now.\Deodorizer\And there's nothing you can say\that will convince me to join the swim club.\Ryugazaki-kun... response:	You're so cold.
context: Let's go home together.\We can talk about swimming.\I have practice now.\Deodorizer\And there's nothing you can say\that will convince me to join the swim club.\Ryugazaki-kun...\You're so cold. response:	Ryugazaki
context: We can talk about swimming.\I have practice now.\Deodorizer\And there's nothing you can say\that will convince me to join the swim club.\Ryugazaki-kun...\You're so cold.\Ryugazaki response:	This way!
context: I have practice now.\Deodorizer\And there's nothing you can say\that will convince me to join the swim club.\Ryugazaki-kun...\You're so cold.\Ryugazaki\This way! response:	What is it?
context: Deodorizer\And there's nothing you can say\that will convince me to join the swim club.\Ryugazaki-kun...\You're so cold.\Ryugazaki\This way!\What is it? response:	I found the perfect person!
context: And there's nothing you can say\that will convince me to join the swim club.\Ryugazaki-kun...\You're so cold.\Ryugazaki\This way!\What is it?\I found the perfect person! response:	The track team?
context: that will convince me to join the swim club.\Ryugazaki-kun...\You're so cold.\Ryugazaki\This way!\What is it?\I found the perfect person!\The track team? response:	He can't join us, then.
context: Ryugazaki-kun...\You're so cold.\Ryugazaki\This way!\What is it?\I found the perfect person!\The track team?\He can't join us, then. response:	Look. Over there.
context: You're so cold.\Ryugazaki\This way!\What is it?\I found the perfect person!\The track team?\He can't join us, then.\Look. Over there. response:	It's his fate!
context: Ryugazaki\This way!\What is it?\I found the perfect person!\The track team?\He can't join us, then.\Look. Over there.\It's his fate! response:	Was he on the swim team in middle school?
context: This way!\What is it?\I found the perfect person!\The track team?\He can't join us, then.\Look. Over there.\It's his fate!\Was he on the swim team in middle school? response:	Does he hold a record?
context: What is it?\I found the perfect person!\The track team?\He can't join us, then.\Look. Over there.\It's his fate!\Was he on the swim team in middle school?\Does he hold a record? response:	It's his name!
context: I found the perfect person!\The track team?\He can't join us, then.\Look. Over there.\It's his fate!\Was he on the swim team in middle school?\Does he hold a record?\It's his name! response:	His name?
context: The track team?\He can't join us, then.\Look. Over there.\It's his fate!\Was he on the swim team in middle school?\Does he hold a record?\It's his name!\His name? response:	Yep.
context: He can't join us, then.\Look. Over there.\It's his fate!\Was he on the swim team in middle school?\Does he hold a record?\It's his name!\His name?\Yep. response:	It's Ryugazaki Rei-chan!
context: Look. Over there.\It's his fate!\Was he on the swim team in middle school?\Does he hold a record?\It's his name!\His name?\Yep.\It's Ryugazaki Rei-chan! response:	Ryugazaki Rei
context: It's his fate!\Was he on the swim team in middle school?\Does he hold a record?\It's his name!\His name?\Yep.\It's Ryugazaki Rei-chan!\Ryugazaki Rei response:	He's the same as us!
context: Was he on the swim team in middle school?\Does he hold a record?\It's his name!\His name?\Yep.\It's Ryugazaki Rei-chan!\Ryugazaki Rei\He's the same as us! response:	A boy with a girly name!
context: Does he hold a record?\It's his name!\His name?\Yep.\It's Ryugazaki Rei-chan!\Ryugazaki Rei\He's the same as us!\A boy with a girly name! response:	That's your reason?
context: It's his name!\His name?\Yep.\It's Ryugazaki Rei-chan!\Ryugazaki Rei\He's the same as us!\A boy with a girly name!\That's your reason? response:	But I have to agree.
context: His name?\Yep.\It's Ryugazaki Rei-chan!\Ryugazaki Rei\He's the same as us!\A boy with a girly name!\That's your reason?\But I have to agree. response:	Look at those deltoids...
context: Yep.\It's Ryugazaki Rei-chan!\Ryugazaki Rei\He's the same as us!\A boy with a girly name!\That's your reason?\But I have to agree.\Look at those deltoids... response:	That's your reason?!
context: It's Ryugazaki Rei-chan!\Ryugazaki Rei\He's the same as us!\A boy with a girly name!\That's your reason?\But I have to agree.\Look at those deltoids...\That's your reason?! response:	You really think those reasons are enough?
context: Ryugazaki Rei\He's the same as us!\A boy with a girly name!\That's your reason?\But I have to agree.\Look at those deltoids...\That's your reason?!\You really think those reasons are enough? response:	My reason is very good!
context: He's the same as us!\A boy with a girly name!\That's your reason?\But I have to agree.\Look at those deltoids...\That's your reason?!\You really think those reasons are enough?\My reason is very good! response:	Next, Ryugazaki.
context: A boy with a girly name!\That's your reason?\But I have to agree.\Look at those deltoids...\That's your reason?!\You really think those reasons are enough?\My reason is very good!\Next, Ryugazaki. response:	That's right, Mako-chan.
context: That's your reason?\But I have to agree.\Look at those deltoids...\That's your reason?!\You really think those reasons are enough?\My reason is very good!\Next, Ryugazaki.\That's right, Mako-chan. response:	Okay.
context: But I have to agree.\Look at those deltoids...\That's your reason?!\You really think those reasons are enough?\My reason is very good!\Next, Ryugazaki.\That's right, Mako-chan.\Okay. response:	Go with your gut on these things.
context: Look at those deltoids...\That's your reason?!\You really think those reasons are enough?\My reason is very good!\Next, Ryugazaki.\That's right, Mako-chan.\Okay.\Go with your gut on these things. response:	Hey, it looks like he's about to jump.
