context: It's turned into a slum. response:	But it looks like there are still people in the apartments.
context: Tell me about it...\Doesn't it remind you of anything?\You found the key without thinking about it...\Mmm, I've got a sort of feel for it, but...\Takizawa!\What?\That scared me.\What are you doing here, little guy? response:	Hey!
context: Doesn't it remind you of anything?\You found the key without thinking about it...\Mmm, I've got a sort of feel for it, but...\Takizawa!\What?\That scared me.\What are you doing here, little guy?\Hey! response:	This must be where you live. I mean, it looks like he really knows you.
context: You found the key without thinking about it...\Mmm, I've got a sort of feel for it, but...\Takizawa!\What?\That scared me.\What are you doing here, little guy?\Hey!\This must be where you live. I mean, it looks like he really knows you. response:	It's true, he does seem to know me.
context: Mmm, I've got a sort of feel for it, but...\Takizawa!\What?\That scared me.\What are you doing here, little guy?\Hey!\This must be where you live. I mean, it looks like he really knows you.\It's true, he does seem to know me. response:	Sorry to ask such a big favor. I know it's out of your jurisdiction.
context: Takizawa!\What?\That scared me.\What are you doing here, little guy?\Hey!\This must be where you live. I mean, it looks like he really knows you.\It's true, he does seem to know me.\Sorry to ask such a big favor. I know it's out of your jurisdiction. response:	I'm just doing my job.
context: What?\That scared me.\What are you doing here, little guy?\Hey!\This must be where you live. I mean, it looks like he really knows you.\It's true, he does seem to know me.\Sorry to ask such a big favor. I know it's out of your jurisdiction.\I'm just doing my job. response:	Then sorry, but would you wait an hour for me?
context: That scared me.\What are you doing here, little guy?\Hey!\This must be where you live. I mean, it looks like he really knows you.\It's true, he does seem to know me.\Sorry to ask such a big favor. I know it's out of your jurisdiction.\I'm just doing my job.\Then sorry, but would you wait an hour for me? response:	If I'm not back by then you can just go on home.
context: What are you doing here, little guy?\Hey!\This must be where you live. I mean, it looks like he really knows you.\It's true, he does seem to know me.\Sorry to ask such a big favor. I know it's out of your jurisdiction.\I'm just doing my job.\Then sorry, but would you wait an hour for me?\If I'm not back by then you can just go on home. response:	Does that kid really live here?
context: Hey!\This must be where you live. I mean, it looks like he really knows you.\It's true, he does seem to know me.\Sorry to ask such a big favor. I know it's out of your jurisdiction.\I'm just doing my job.\Then sorry, but would you wait an hour for me?\If I'm not back by then you can just go on home.\Does that kid really live here? response:	The log does say he bought this whole place...
context: This must be where you live. I mean, it looks like he really knows you.\It's true, he does seem to know me.\Sorry to ask such a big favor. I know it's out of your jurisdiction.\I'm just doing my job.\Then sorry, but would you wait an hour for me?\If I'm not back by then you can just go on home.\Does that kid really live here?\The log does say he bought this whole place... response:	You're not the only one who wants to erase your memories.
context: It's true, he does seem to know me.\Sorry to ask such a big favor. I know it's out of your jurisdiction.\I'm just doing my job.\Then sorry, but would you wait an hour for me?\If I'm not back by then you can just go on home.\Does that kid really live here?\The log does say he bought this whole place...\You're not the only one who wants to erase your memories. response:	You better be in there.
context: Sorry to ask such a big favor. I know it's out of your jurisdiction.\I'm just doing my job.\Then sorry, but would you wait an hour for me?\If I'm not back by then you can just go on home.\Does that kid really live here?\The log does say he bought this whole place...\You're not the only one who wants to erase your memories.\You better be in there. response:	Looks like we can go upstairs.
context: I'm just doing my job.\Then sorry, but would you wait an hour for me?\If I'm not back by then you can just go on home.\Does that kid really live here?\The log does say he bought this whole place...\You're not the only one who wants to erase your memories.\You better be in there.\Looks like we can go upstairs. response:	You live in a shopping mall! Isn't that amazing?
context: Then sorry, but would you wait an hour for me?\If I'm not back by then you can just go on home.\Does that kid really live here?\The log does say he bought this whole place...\You're not the only one who wants to erase your memories.\You better be in there.\Looks like we can go upstairs.\You live in a shopping mall! Isn't that amazing? response:	But seriously, living in a place like this?
context: If I'm not back by then you can just go on home.\Does that kid really live here?\The log does say he bought this whole place...\You're not the only one who wants to erase your memories.\You better be in there.\Looks like we can go upstairs.\You live in a shopping mall! Isn't that amazing?\But seriously, living in a place like this? response:	It's like something out of Dawn of the Dead.
context: Does that kid really live here?\The log does say he bought this whole place...\You're not the only one who wants to erase your memories.\You better be in there.\Looks like we can go upstairs.\You live in a shopping mall! Isn't that amazing?\But seriously, living in a place like this?\It's like something out of Dawn of the Dead. response:	Is that a movie, too?
context: The log does say he bought this whole place...\You're not the only one who wants to erase your memories.\You better be in there.\Looks like we can go upstairs.\You live in a shopping mall! Isn't that amazing?\But seriously, living in a place like this?\It's like something out of Dawn of the Dead.\Is that a movie, too? response:	Uh-huh.
context: You're not the only one who wants to erase your memories.\You better be in there.\Looks like we can go upstairs.\You live in a shopping mall! Isn't that amazing?\But seriously, living in a place like this?\It's like something out of Dawn of the Dead.\Is that a movie, too?\Uh-huh. response:	But I'm sure we'll find out something if we investigate.
context: You better be in there.\Looks like we can go upstairs.\You live in a shopping mall! Isn't that amazing?\But seriously, living in a place like this?\It's like something out of Dawn of the Dead.\Is that a movie, too?\Uh-huh.\But I'm sure we'll find out something if we investigate. response:	The newspaper was being delivered and everything.
context: Looks like we can go upstairs.\You live in a shopping mall! Isn't that amazing?\But seriously, living in a place like this?\It's like something out of Dawn of the Dead.\Is that a movie, too?\Uh-huh.\But I'm sure we'll find out something if we investigate.\The newspaper was being delivered and everything. response:	There should be mail, and the registration for this place...
context: You live in a shopping mall! Isn't that amazing?\But seriously, living in a place like this?\It's like something out of Dawn of the Dead.\Is that a movie, too?\Uh-huh.\But I'm sure we'll find out something if we investigate.\The newspaper was being delivered and everything.\There should be mail, and the registration for this place... response:	I'll kill you for sure,
context: But seriously, living in a place like this?\It's like something out of Dawn of the Dead.\Is that a movie, too?\Uh-huh.\But I'm sure we'll find out something if we investigate.\The newspaper was being delivered and everything.\There should be mail, and the registration for this place...\I'll kill you for sure, response:	Takizawa!
context: It's like something out of Dawn of the Dead.\Is that a movie, too?\Uh-huh.\But I'm sure we'll find out something if we investigate.\The newspaper was being delivered and everything.\There should be mail, and the registration for this place...\I'll kill you for sure,\Takizawa! response:	For real? This is where that photo was taken!
context: Is that a movie, too?\Uh-huh.\But I'm sure we'll find out something if we investigate.\The newspaper was being delivered and everything.\There should be mail, and the registration for this place...\I'll kill you for sure,\Takizawa!\For real? This is where that photo was taken! response:	It looks like this is where Akira Takizawa lives,
context: Uh-huh.\But I'm sure we'll find out something if we investigate.\The newspaper was being delivered and everything.\There should be mail, and the registration for this place...\I'll kill you for sure,\Takizawa!\For real? This is where that photo was taken!\It looks like this is where Akira Takizawa lives, response:	but what the hell was I doing here?
context: But I'm sure we'll find out something if we investigate.\The newspaper was being delivered and everything.\There should be mail, and the registration for this place...\I'll kill you for sure,\Takizawa!\For real? This is where that photo was taken!\It looks like this is where Akira Takizawa lives,\but what the hell was I doing here? response:	Takizawa! What's wrong? Did you find something?
context: The newspaper was being delivered and everything.\There should be mail, and the registration for this place...\I'll kill you for sure,\Takizawa!\For real? This is where that photo was taken!\It looks like this is where Akira Takizawa lives,\but what the hell was I doing here?\Takizawa! What's wrong? Did you find something? response:	Nope, nothing at all!
context: There should be mail, and the registration for this place...\I'll kill you for sure,\Takizawa!\For real? This is where that photo was taken!\It looks like this is where Akira Takizawa lives,\but what the hell was I doing here?\Takizawa! What's wrong? Did you find something?\Nope, nothing at all! response:	It's a movie theater...
context: I'll kill you for sure,\Takizawa!\For real? This is where that photo was taken!\It looks like this is where Akira Takizawa lives,\but what the hell was I doing here?\Takizawa! What's wrong? Did you find something?\Nope, nothing at all!\It's a movie theater... response:	What, did you want to invite us to a late show?
context: Takizawa!\For real? This is where that photo was taken!\It looks like this is where Akira Takizawa lives,\but what the hell was I doing here?\Takizawa! What's wrong? Did you find something?\Nope, nothing at all!\It's a movie theater...\What, did you want to invite us to a late show? response:	Is that where you live, boy?
context: For real? This is where that photo was taken!\It looks like this is where Akira Takizawa lives,\but what the hell was I doing here?\Takizawa! What's wrong? Did you find something?\Nope, nothing at all!\It's a movie theater...\What, did you want to invite us to a late show?\Is that where you live, boy? response:	What is this place?
context: It looks like this is where Akira Takizawa lives,\but what the hell was I doing here?\Takizawa! What's wrong? Did you find something?\Nope, nothing at all!\It's a movie theater...\What, did you want to invite us to a late show?\Is that where you live, boy?\What is this place? response:	Hey, this is a pretty nice apartment!
context: but what the hell was I doing here?\Takizawa! What's wrong? Did you find something?\Nope, nothing at all!\It's a movie theater...\What, did you want to invite us to a late show?\Is that where you live, boy?\What is this place?\Hey, this is a pretty nice apartment! response:	This has to be your home, Takizawa.
context: Takizawa! What's wrong? Did you find something?\Nope, nothing at all!\It's a movie theater...\What, did you want to invite us to a late show?\Is that where you live, boy?\What is this place?\Hey, this is a pretty nice apartment!\This has to be your home, Takizawa. response:	I wonder...
context: Nope, nothing at all!\It's a movie theater...\What, did you want to invite us to a late show?\Is that where you live, boy?\What is this place?\Hey, this is a pretty nice apartment!\This has to be your home, Takizawa.\I wonder... response:	It's gotta be. Look, you remembered all about those movies, right?
context: It's a movie theater...\What, did you want to invite us to a late show?\Is that where you live, boy?\What is this place?\Hey, this is a pretty nice apartment!\This has to be your home, Takizawa.\I wonder...\It's gotta be. Look, you remembered all about those movies, right? response:	That must be because you were the manager here or something!
context: What, did you want to invite us to a late show?\Is that where you live, boy?\What is this place?\Hey, this is a pretty nice apartment!\This has to be your home, Takizawa.\I wonder...\It's gotta be. Look, you remembered all about those movies, right?\That must be because you were the manager here or something! response:	Manager, huh?
context: Is that where you live, boy?\What is this place?\Hey, this is a pretty nice apartment!\This has to be your home, Takizawa.\I wonder...\It's gotta be. Look, you remembered all about those movies, right?\That must be because you were the manager here or something!\Manager, huh? response:	You can see ground zero from here, too.
context: What is this place?\Hey, this is a pretty nice apartment!\This has to be your home, Takizawa.\I wonder...\It's gotta be. Look, you remembered all about those movies, right?\That must be because you were the manager here or something!\Manager, huh?\You can see ground zero from here, too. response:	You're right...
context: Hey, this is a pretty nice apartment!\This has to be your home, Takizawa.\I wonder...\It's gotta be. Look, you remembered all about those movies, right?\That must be because you were the manager here or something!\Manager, huh?\You can see ground zero from here, too.\You're right... response:	Oh, I know! Are there any movies you like?
context: This has to be your home, Takizawa.\I wonder...\It's gotta be. Look, you remembered all about those movies, right?\That must be because you were the manager here or something!\Manager, huh?\You can see ground zero from here, too.\You're right...\Oh, I know! Are there any movies you like? response:	Request any one you want.
context: I wonder...\It's gotta be. Look, you remembered all about those movies, right?\That must be because you were the manager here or something!\Manager, huh?\You can see ground zero from here, too.\You're right...\Oh, I know! Are there any movies you like?\Request any one you want. response:	I'm pretty sure I can play it.
context: It's gotta be. Look, you remembered all about those movies, right?\That must be because you were the manager here or something!\Manager, huh?\You can see ground zero from here, too.\You're right...\Oh, I know! Are there any movies you like?\Request any one you want.\I'm pretty sure I can play it. response:	I don't know much about movies, since I don't watch many of them...
context: That must be because you were the manager here or something!\Manager, huh?\You can see ground zero from here, too.\You're right...\Oh, I know! Are there any movies you like?\Request any one you want.\I'm pretty sure I can play it.\I don't know much about movies, since I don't watch many of them... response:	You can think of at least one, can't you?
context: Manager, huh?\You can see ground zero from here, too.\You're right...\Oh, I know! Are there any movies you like?\Request any one you want.\I'm pretty sure I can play it.\I don't know much about movies, since I don't watch many of them...\You can think of at least one, can't you? response:	Like the one you saw on your first date, or something.
context: You can see ground zero from here, too.\You're right...\Oh, I know! Are there any movies you like?\Request any one you want.\I'm pretty sure I can play it.\I don't know much about movies, since I don't watch many of them...\You can think of at least one, can't you?\Like the one you saw on your first date, or something. response:	Um, well, then... That French movie with the dolphin and the diver.
context: You're right...\Oh, I know! Are there any movies you like?\Request any one you want.\I'm pretty sure I can play it.\I don't know much about movies, since I don't watch many of them...\You can think of at least one, can't you?\Like the one you saw on your first date, or something.\Um, well, then... That French movie with the dolphin and the diver. response:	Oh, I know that one.
context: Oh, I know! Are there any movies you like?\Request any one you want.\I'm pretty sure I can play it.\I don't know much about movies, since I don't watch many of them...\You can think of at least one, can't you?\Like the one you saw on your first date, or something.\Um, well, then... That French movie with the dolphin and the diver.\Oh, I know that one. response:	Even though you don't remember a thing about yourself?
context: Request any one you want.\I'm pretty sure I can play it.\I don't know much about movies, since I don't watch many of them...\You can think of at least one, can't you?\Like the one you saw on your first date, or something.\Um, well, then... That French movie with the dolphin and the diver.\Oh, I know that one.\Even though you don't remember a thing about yourself? response:	Too true. But why that movie?
context: I'm pretty sure I can play it.\I don't know much about movies, since I don't watch many of them...\You can think of at least one, can't you?\Like the one you saw on your first date, or something.\Um, well, then... That French movie with the dolphin and the diver.\Oh, I know that one.\Even though you don't remember a thing about yourself?\Too true. But why that movie? response:	Because the person I always loved liked that movie.
context: I don't know much about movies, since I don't watch many of them...\You can think of at least one, can't you?\Like the one you saw on your first date, or something.\Um, well, then... That French movie with the dolphin and the diver.\Oh, I know that one.\Even though you don't remember a thing about yourself?\Too true. But why that movie?\Because the person I always loved liked that movie. response:	Hey, Juiz, I need a favor. There's a movie I want to see right now.
context: You can think of at least one, can't you?\Like the one you saw on your first date, or something.\Um, well, then... That French movie with the dolphin and the diver.\Oh, I know that one.\Even though you don't remember a thing about yourself?\Too true. But why that movie?\Because the person I always loved liked that movie.\Hey, Juiz, I need a favor. There's a movie I want to see right now. response:	Yeah. I'm in the movie theater in Toyosu right now.
context: Like the one you saw on your first date, or something.\Um, well, then... That French movie with the dolphin and the diver.\Oh, I know that one.\Even though you don't remember a thing about yourself?\Too true. But why that movie?\Because the person I always loved liked that movie.\Hey, Juiz, I need a favor. There's a movie I want to see right now.\Yeah. I'm in the movie theater in Toyosu right now. response:	The police?
context: Um, well, then... That French movie with the dolphin and the diver.\Oh, I know that one.\Even though you don't remember a thing about yourself?\Too true. But why that movie?\Because the person I always loved liked that movie.\Hey, Juiz, I need a favor. There's a movie I want to see right now.\Yeah. I'm in the movie theater in Toyosu right now.\The police? response:	All right, I'll look into the movies sent to that theater.
context: Oh, I know that one.\Even though you don't remember a thing about yourself?\Too true. But why that movie?\Because the person I always loved liked that movie.\Hey, Juiz, I need a favor. There's a movie I want to see right now.\Yeah. I'm in the movie theater in Toyosu right now.\The police?\All right, I'll look into the movies sent to that theater. response:	Please wait a few moments.
context: Even though you don't remember a thing about yourself?\Too true. But why that movie?\Because the person I always loved liked that movie.\Hey, Juiz, I need a favor. There's a movie I want to see right now.\Yeah. I'm in the movie theater in Toyosu right now.\The police?\All right, I'll look into the movies sent to that theater.\Please wait a few moments. response:	Noblesse oblige. I pray you'll be a savior tonight as well.
context: Too true. But why that movie?\Because the person I always loved liked that movie.\Hey, Juiz, I need a favor. There's a movie I want to see right now.\Yeah. I'm in the movie theater in Toyosu right now.\The police?\All right, I'll look into the movies sent to that theater.\Please wait a few moments.\Noblesse oblige. I pray you'll be a savior tonight as well. response:	Dunno about that, but I'd at least like to be a gentleman.
context: Because the person I always loved liked that movie.\Hey, Juiz, I need a favor. There's a movie I want to see right now.\Yeah. I'm in the movie theater in Toyosu right now.\The police?\All right, I'll look into the movies sent to that theater.\Please wait a few moments.\Noblesse oblige. I pray you'll be a savior tonight as well.\Dunno about that, but I'd at least like to be a gentleman. response:	What the heck is this place, a refugee camp?
context: Hey, Juiz, I need a favor. There's a movie I want to see right now.\Yeah. I'm in the movie theater in Toyosu right now.\The police?\All right, I'll look into the movies sent to that theater.\Please wait a few moments.\Noblesse oblige. I pray you'll be a savior tonight as well.\Dunno about that, but I'd at least like to be a gentleman.\What the heck is this place, a refugee camp? response:	And this mountain of cell phones...
context: Yeah. I'm in the movie theater in Toyosu right now.\The police?\All right, I'll look into the movies sent to that theater.\Please wait a few moments.\Noblesse oblige. I pray you'll be a savior tonight as well.\Dunno about that, but I'd at least like to be a gentleman.\What the heck is this place, a refugee camp?\And this mountain of cell phones... response:	I get it, so that kid is involved in the NEET disappearance?
context: The police?\All right, I'll look into the movies sent to that theater.\Please wait a few moments.\Noblesse oblige. I pray you'll be a savior tonight as well.\Dunno about that, but I'd at least like to be a gentleman.\What the heck is this place, a refugee camp?\And this mountain of cell phones...\I get it, so that kid is involved in the NEET disappearance? response:	So a Selecao was behind the missile attack and that case...
context: All right, I'll look into the movies sent to that theater.\Please wait a few moments.\Noblesse oblige. I pray you'll be a savior tonight as well.\Dunno about that, but I'd at least like to be a gentleman.\What the heck is this place, a refugee camp?\And this mountain of cell phones...\I get it, so that kid is involved in the NEET disappearance?\So a Selecao was behind the missile attack and that case... response:	I'd've scored a serious coup if I'd actually checked activity histories
context: Please wait a few moments.\Noblesse oblige. I pray you'll be a savior tonight as well.\Dunno about that, but I'd at least like to be a gentleman.\What the heck is this place, a refugee camp?\And this mountain of cell phones...\I get it, so that kid is involved in the NEET disappearance?\So a Selecao was behind the missile attack and that case...\I'd've scored a serious coup if I'd actually checked activity histories response:	instead of just using the money.
context: Noblesse oblige. I pray you'll be a savior tonight as well.\Dunno about that, but I'd at least like to be a gentleman.\What the heck is this place, a refugee camp?\And this mountain of cell phones...\I get it, so that kid is involved in the NEET disappearance?\So a Selecao was behind the missile attack and that case...\I'd've scored a serious coup if I'd actually checked activity histories\instead of just using the money. response:	Well, I'm getting myself a new eight billion and doing life over,
context: Dunno about that, but I'd at least like to be a gentleman.\What the heck is this place, a refugee camp?\And this mountain of cell phones...\I get it, so that kid is involved in the NEET disappearance?\So a Selecao was behind the missile attack and that case...\I'd've scored a serious coup if I'd actually checked activity histories\instead of just using the money.\Well, I'm getting myself a new eight billion and doing life over, response:	so it's got nothing to do with me anymore.
context: What the heck is this place, a refugee camp?\And this mountain of cell phones...\I get it, so that kid is involved in the NEET disappearance?\So a Selecao was behind the missile attack and that case...\I'd've scored a serious coup if I'd actually checked activity histories\instead of just using the money.\Well, I'm getting myself a new eight billion and doing life over,\so it's got nothing to do with me anymore. response:	Oh, right. Gotta turn my cell phone off before the movie starts.
context: And this mountain of cell phones...\I get it, so that kid is involved in the NEET disappearance?\So a Selecao was behind the missile attack and that case...\I'd've scored a serious coup if I'd actually checked activity histories\instead of just using the money.\Well, I'm getting myself a new eight billion and doing life over,\so it's got nothing to do with me anymore.\Oh, right. Gotta turn my cell phone off before the movie starts. response:	The number you're calling is either out of range or powered off.
context: I get it, so that kid is involved in the NEET disappearance?\So a Selecao was behind the missile attack and that case...\I'd've scored a serious coup if I'd actually checked activity histories\instead of just using the money.\Well, I'm getting myself a new eight billion and doing life over,\so it's got nothing to do with me anymore.\Oh, right. Gotta turn my cell phone off before the movie starts.\The number you're calling is either out of range or powered off. response:	I do have to take my hat off to Osugi's effort, anyway.
context: So a Selecao was behind the missile attack and that case...\I'd've scored a serious coup if I'd actually checked activity histories\instead of just using the money.\Well, I'm getting myself a new eight billion and doing life over,\so it's got nothing to do with me anymore.\Oh, right. Gotta turn my cell phone off before the movie starts.\The number you're calling is either out of range or powered off.\I do have to take my hat off to Osugi's effort, anyway. response:	I think his struggles are futile, though.
context: I'd've scored a serious coup if I'd actually checked activity histories\instead of just using the money.\Well, I'm getting myself a new eight billion and doing life over,\so it's got nothing to do with me anymore.\Oh, right. Gotta turn my cell phone off before the movie starts.\The number you're calling is either out of range or powered off.\I do have to take my hat off to Osugi's effort, anyway.\I think his struggles are futile, though. response:	Tell everyone I stayed at your place tonight! Please! That's what I told Asako. Please!
context: instead of just using the money.\Well, I'm getting myself a new eight billion and doing life over,\so it's got nothing to do with me anymore.\Oh, right. Gotta turn my cell phone off before the movie starts.\The number you're calling is either out of range or powered off.\I do have to take my hat off to Osugi's effort, anyway.\I think his struggles are futile, though.\Tell everyone I stayed at your place tonight! Please! That's what I told Asako. Please! response:	Tell everyone I stayed at your place tonight.
context: Well, I'm getting myself a new eight billion and doing life over,\so it's got nothing to do with me anymore.\Oh, right. Gotta turn my cell phone off before the movie starts.\The number you're calling is either out of range or powered off.\I do have to take my hat off to Osugi's effort, anyway.\I think his struggles are futile, though.\Tell everyone I stayed at your place tonight! Please! That's what I told Asako. Please!\Tell everyone I stayed at your place tonight. response:	Please. That's what I told Asako.
context: so it's got nothing to do with me anymore.\Oh, right. Gotta turn my cell phone off before the movie starts.\The number you're calling is either out of range or powered off.\I do have to take my hat off to Osugi's effort, anyway.\I think his struggles are futile, though.\Tell everyone I stayed at your place tonight! Please! That's what I told Asako. Please!\Tell everyone I stayed at your place tonight.\Please. That's what I told Asako. response:	Hey, when did you get this?!
context: Oh, right. Gotta turn my cell phone off before the movie starts.\The number you're calling is either out of range or powered off.\I do have to take my hat off to Osugi's effort, anyway.\I think his struggles are futile, though.\Tell everyone I stayed at your place tonight! Please! That's what I told Asako. Please!\Tell everyone I stayed at your place tonight.\Please. That's what I told Asako.\Hey, when did you get this?! response:	I guess around eleven.
context: The number you're calling is either out of range or powered off.\I do have to take my hat off to Osugi's effort, anyway.\I think his struggles are futile, though.\Tell everyone I stayed at your place tonight! Please! That's what I told Asako. Please!\Tell everyone I stayed at your place tonight.\Please. That's what I told Asako.\Hey, when did you get this?!\I guess around eleven. response:	What?
context: I do have to take my hat off to Osugi's effort, anyway.\I think his struggles are futile, though.\Tell everyone I stayed at your place tonight! Please! That's what I told Asako. Please!\Tell everyone I stayed at your place tonight.\Please. That's what I told Asako.\Hey, when did you get this?!\I guess around eleven.\What? response:	We're going home, Osugi.
context: I think his struggles are futile, though.\Tell everyone I stayed at your place tonight! Please! That's what I told Asako. Please!\Tell everyone I stayed at your place tonight.\Please. That's what I told Asako.\Hey, when did you get this?!\I guess around eleven.\What?\We're going home, Osugi. response:	I wonder where she's really staying...
context: Tell everyone I stayed at your place tonight! Please! That's what I told Asako. Please!\Tell everyone I stayed at your place tonight.\Please. That's what I told Asako.\Hey, when did you get this?!\I guess around eleven.\What?\We're going home, Osugi.\I wonder where she's really staying... response:	The Cold Blue
context: Tell everyone I stayed at your place tonight.\Please. That's what I told Asako.\Hey, when did you get this?!\I guess around eleven.\What?\We're going home, Osugi.\I wonder where she's really staying...\The Cold Blue response:	Maybe I was the projectionist here after all, like in Cinema Paradiso.
context: Please. That's what I told Asako.\Hey, when did you get this?!\I guess around eleven.\What?\We're going home, Osugi.\I wonder where she's really staying...\The Cold Blue\Maybe I was the projectionist here after all, like in Cinema Paradiso. response:	Wow, what a huge screen!
context: Hey, when did you get this?!\I guess around eleven.\What?\We're going home, Osugi.\I wonder where she's really staying...\The Cold Blue\Maybe I was the projectionist here after all, like in Cinema Paradiso.\Wow, what a huge screen! response:	Is this the place?
context: I guess around eleven.\What?\We're going home, Osugi.\I wonder where she's really staying...\The Cold Blue\Maybe I was the projectionist here after all, like in Cinema Paradiso.\Wow, what a huge screen!\Is this the place? response:	Where is he?
context: What?\We're going home, Osugi.\I wonder where she's really staying...\The Cold Blue\Maybe I was the projectionist here after all, like in Cinema Paradiso.\Wow, what a huge screen!\Is this the place?\Where is he? response:	Ah, over there.
context: We're going home, Osugi.\I wonder where she's really staying...\The Cold Blue\Maybe I was the projectionist here after all, like in Cinema Paradiso.\Wow, what a huge screen!\Is this the place?\Where is he?\Ah, over there. response:	Here by yourself, Detective?
context: I wonder where she's really staying...\The Cold Blue\Maybe I was the projectionist here after all, like in Cinema Paradiso.\Wow, what a huge screen!\Is this the place?\Where is he?\Ah, over there.\Here by yourself, Detective? response:	Then you're not here to arrest me.
context: The Cold Blue\Maybe I was the projectionist here after all, like in Cinema Paradiso.\Wow, what a huge screen!\Is this the place?\Where is he?\Ah, over there.\Here by yourself, Detective?\Then you're not here to arrest me. response:	You noticed me.
