context: You're the one who gives me my future response:	Even on a road without signs, I'll be fine, if we're together
context: You're the one who gives me my future\If I'm beaten down by the rain of tears\I wanna hold you, call my name immediately\I'll go embrace you\I'll accept sadness and bluffing in my hands\Boy\I suddenly turned my back on you and ran away\Because you've been so gentle to many other girls response:	Boy, please chase after me
context: If I'm beaten down by the rain of tears\I wanna hold you, call my name immediately\I'll go embrace you\I'll accept sadness and bluffing in my hands\Boy\I suddenly turned my back on you and ran away\Because you've been so gentle to many other girls\Boy, please chase after me response:	Because it won't be over after this
context: I wanna hold you, call my name immediately\I'll go embrace you\I'll accept sadness and bluffing in my hands\Boy\I suddenly turned my back on you and ran away\Because you've been so gentle to many other girls\Boy, please chase after me\Because it won't be over after this response:	I can't say I'm sorry, sorry
context: I'll go embrace you\I'll accept sadness and bluffing in my hands\Boy\I suddenly turned my back on you and ran away\Because you've been so gentle to many other girls\Boy, please chase after me\Because it won't be over after this\I can't say I'm sorry, sorry response:	Even though I believe you, my lips are pouting
context: I'll accept sadness and bluffing in my hands\Boy\I suddenly turned my back on you and ran away\Because you've been so gentle to many other girls\Boy, please chase after me\Because it won't be over after this\I can't say I'm sorry, sorry\Even though I believe you, my lips are pouting response:	I can't be cute, sorry
context: Boy\I suddenly turned my back on you and ran away\Because you've been so gentle to many other girls\Boy, please chase after me\Because it won't be over after this\I can't say I'm sorry, sorry\Even though I believe you, my lips are pouting\I can't be cute, sorry response:	Catch me in the town where a drizzle is falling
context: I suddenly turned my back on you and ran away\Because you've been so gentle to many other girls\Boy, please chase after me\Because it won't be over after this\I can't say I'm sorry, sorry\Even though I believe you, my lips are pouting\I can't be cute, sorry\Catch me in the town where a drizzle is falling response:	Because I'll turn around and give you a make-up kiss
context: Because you've been so gentle to many other girls\Boy, please chase after me\Because it won't be over after this\I can't say I'm sorry, sorry\Even though I believe you, my lips are pouting\I can't be cute, sorry\Catch me in the town where a drizzle is falling\Because I'll turn around and give you a make-up kiss response:	In your warm arms
context: Boy, please chase after me\Because it won't be over after this\I can't say I'm sorry, sorry\Even though I believe you, my lips are pouting\I can't be cute, sorry\Catch me in the town where a drizzle is falling\Because I'll turn around and give you a make-up kiss\In your warm arms response:	The Taboo Magic Potion
context: Because it won't be over after this\I can't say I'm sorry, sorry\Even though I believe you, my lips are pouting\I can't be cute, sorry\Catch me in the town where a drizzle is falling\Because I'll turn around and give you a make-up kiss\In your warm arms\The Taboo Magic Potion response:	The Taboo Magic Potion
context: I can't say I'm sorry, sorry\Even though I believe you, my lips are pouting\I can't be cute, sorry\Catch me in the town where a drizzle is falling\Because I'll turn around and give you a make-up kiss\In your warm arms\The Taboo Magic Potion\The Taboo Magic Potion response:	Next Time
context: Even though I believe you, my lips are pouting\I can't be cute, sorry\Catch me in the town where a drizzle is falling\Because I'll turn around and give you a make-up kiss\In your warm arms\The Taboo Magic Potion\The Taboo Magic Potion\Next Time response:	The Sleipnir Ball
context: I can't be cute, sorry\Catch me in the town where a drizzle is falling\Because I'll turn around and give you a make-up kiss\In your warm arms\The Taboo Magic Potion\The Taboo Magic Potion\Next Time\The Sleipnir Ball response:	Hey, Sie-Sie!
context: Catch me in the town where a drizzle is falling\Because I'll turn around and give you a make-up kiss\In your warm arms\The Taboo Magic Potion\The Taboo Magic Potion\Next Time\The Sleipnir Ball\Hey, Sie-Sie! response:	Don't say you'll just be his second choice!
context: Because I'll turn around and give you a make-up kiss\In your warm arms\The Taboo Magic Potion\The Taboo Magic Potion\Next Time\The Sleipnir Ball\Hey, Sie-Sie!\Don't say you'll just be his second choice! response:	Yes, yes, that's right.
context: In your warm arms\The Taboo Magic Potion\The Taboo Magic Potion\Next Time\The Sleipnir Ball\Hey, Sie-Sie!\Don't say you'll just be his second choice!\Yes, yes, that's right. response:	Smooch.
context: The Taboo Magic Potion\The Taboo Magic Potion\Next Time\The Sleipnir Ball\Hey, Sie-Sie!\Don't say you'll just be his second choice!\Yes, yes, that's right.\Smooch. response:	But Saito-san has Miss Valliere.
context: The Taboo Magic Potion\Next Time\The Sleipnir Ball\Hey, Sie-Sie!\Don't say you'll just be his second choice!\Yes, yes, that's right.\Smooch.\But Saito-san has Miss Valliere. response:	You don't lose to her charm at all.
context: Next Time\The Sleipnir Ball\Hey, Sie-Sie!\Don't say you'll just be his second choice!\Yes, yes, that's right.\Smooch.\But Saito-san has Miss Valliere.\You don't lose to her charm at all. response:	With your breasts and all!
context: The Sleipnir Ball\Hey, Sie-Sie!\Don't say you'll just be his second choice!\Yes, yes, that's right.\Smooch.\But Saito-san has Miss Valliere.\You don't lose to her charm at all.\With your breasts and all! response:	Oh yeah, I'll give this to you.
context: Hey, Sie-Sie!\Don't say you'll just be his second choice!\Yes, yes, that's right.\Smooch.\But Saito-san has Miss Valliere.\You don't lose to her charm at all.\With your breasts and all!\Oh yeah, I'll give this to you. response:	A love potion I confiscated from a customer.
context: Don't say you'll just be his second choice!\Yes, yes, that's right.\Smooch.\But Saito-san has Miss Valliere.\You don't lose to her charm at all.\With your breasts and all!\Oh yeah, I'll give this to you.\A love potion I confiscated from a customer. response:	He tried to use it on me of all people.
context: Yes, yes, that's right.\Smooch.\But Saito-san has Miss Valliere.\You don't lose to her charm at all.\With your breasts and all!\Oh yeah, I'll give this to you.\A love potion I confiscated from a customer.\He tried to use it on me of all people. response:	These things are illegal!
context: Smooch.\But Saito-san has Miss Valliere.\You don't lose to her charm at all.\With your breasts and all!\Oh yeah, I'll give this to you.\A love potion I confiscated from a customer.\He tried to use it on me of all people.\These things are illegal! response:	Apparently it lasts only for one day.
context: But Saito-san has Miss Valliere.\You don't lose to her charm at all.\With your breasts and all!\Oh yeah, I'll give this to you.\A love potion I confiscated from a customer.\He tried to use it on me of all people.\These things are illegal!\Apparently it lasts only for one day. response:	So don't worry, no one will find out about it.
context: You don't lose to her charm at all.\With your breasts and all!\Oh yeah, I'll give this to you.\A love potion I confiscated from a customer.\He tried to use it on me of all people.\These things are illegal!\Apparently it lasts only for one day.\So don't worry, no one will find out about it. response:	More importantly, you shouldn't be so negative!
context: With your breasts and all!\Oh yeah, I'll give this to you.\A love potion I confiscated from a customer.\He tried to use it on me of all people.\These things are illegal!\Apparently it lasts only for one day.\So don't worry, no one will find out about it.\More importantly, you shouldn't be so negative! response:	Even you're saying that, Uncle?
context: Oh yeah, I'll give this to you.\A love potion I confiscated from a customer.\He tried to use it on me of all people.\These things are illegal!\Apparently it lasts only for one day.\So don't worry, no one will find out about it.\More importantly, you shouldn't be so negative!\Even you're saying that, Uncle? response:	But...
context: A love potion I confiscated from a customer.\He tried to use it on me of all people.\These things are illegal!\Apparently it lasts only for one day.\So don't worry, no one will find out about it.\More importantly, you shouldn't be so negative!\Even you're saying that, Uncle?\But... response:	You can't say it's fair against an aristocrat unless you use a love potion!
context: He tried to use it on me of all people.\These things are illegal!\Apparently it lasts only for one day.\So don't worry, no one will find out about it.\More importantly, you shouldn't be so negative!\Even you're saying that, Uncle?\But...\You can't say it's fair against an aristocrat unless you use a love potion! response:	What a charming glow.
context: These things are illegal!\Apparently it lasts only for one day.\So don't worry, no one will find out about it.\More importantly, you shouldn't be so negative!\Even you're saying that, Uncle?\But...\You can't say it's fair against an aristocrat unless you use a love potion!\What a charming glow. response:	If I use this...
context: Apparently it lasts only for one day.\So don't worry, no one will find out about it.\More importantly, you shouldn't be so negative!\Even you're saying that, Uncle?\But...\You can't say it's fair against an aristocrat unless you use a love potion!\What a charming glow.\If I use this... response:	I love you, Siesta!
context: So don't worry, no one will find out about it.\More importantly, you shouldn't be so negative!\Even you're saying that, Uncle?\But...\You can't say it's fair against an aristocrat unless you use a love potion!\What a charming glow.\If I use this...\I love you, Siesta! response:	I can't control myself anymore!
context: More importantly, you shouldn't be so negative!\Even you're saying that, Uncle?\But...\You can't say it's fair against an aristocrat unless you use a love potion!\What a charming glow.\If I use this...\I love you, Siesta!\I can't control myself anymore! response:	We mustn't, Master.
context: Even you're saying that, Uncle?\But...\You can't say it's fair against an aristocrat unless you use a love potion!\What a charming glow.\If I use this...\I love you, Siesta!\I can't control myself anymore!\We mustn't, Master. response:	No, not that!
context: But...\You can't say it's fair against an aristocrat unless you use a love potion!\What a charming glow.\If I use this...\I love you, Siesta!\I can't control myself anymore!\We mustn't, Master.\No, not that! response:	No! I can't control people's hearts with magic.
context: You can't say it's fair against an aristocrat unless you use a love potion!\What a charming glow.\If I use this...\I love you, Siesta!\I can't control myself anymore!\We mustn't, Master.\No, not that!\No! I can't control people's hearts with magic. response:	But...
context: What a charming glow.\If I use this...\I love you, Siesta!\I can't control myself anymore!\We mustn't, Master.\No, not that!\No! I can't control people's hearts with magic.\But... response:	Maybe if it's just for a while, I can enjoy a dream, can't I?
context: If I use this...\I love you, Siesta!\I can't control myself anymore!\We mustn't, Master.\No, not that!\No! I can't control people's hearts with magic.\But...\Maybe if it's just for a while, I can enjoy a dream, can't I? response:	Miss Valliere, did you not go to class?
context: I love you, Siesta!\I can't control myself anymore!\We mustn't, Master.\No, not that!\No! I can't control people's hearts with magic.\But...\Maybe if it's just for a while, I can enjoy a dream, can't I?\Miss Valliere, did you not go to class? response:	I was taking this water flea on probation for a little walk.
context: I can't control myself anymore!\We mustn't, Master.\No, not that!\No! I can't control people's hearts with magic.\But...\Maybe if it's just for a while, I can enjoy a dream, can't I?\Miss Valliere, did you not go to class?\I was taking this water flea on probation for a little walk. response:	It hurts...
context: We mustn't, Master.\No, not that!\No! I can't control people's hearts with magic.\But...\Maybe if it's just for a while, I can enjoy a dream, can't I?\Miss Valliere, did you not go to class?\I was taking this water flea on probation for a little walk.\It hurts... response:	Oh my god, look at him.
context: No, not that!\No! I can't control people's hearts with magic.\But...\Maybe if it's just for a while, I can enjoy a dream, can't I?\Miss Valliere, did you not go to class?\I was taking this water flea on probation for a little walk.\It hurts...\Oh my god, look at him. response:	You're being too harsh on Saito-san.
context: No! I can't control people's hearts with magic.\But...\Maybe if it's just for a while, I can enjoy a dream, can't I?\Miss Valliere, did you not go to class?\I was taking this water flea on probation for a little walk.\It hurts...\Oh my god, look at him.\You're being too harsh on Saito-san. response:	You dare intervene in a matter between a familiar and his master?
context: But...\Maybe if it's just for a while, I can enjoy a dream, can't I?\Miss Valliere, did you not go to class?\I was taking this water flea on probation for a little walk.\It hurts...\Oh my god, look at him.\You're being too harsh on Saito-san.\You dare intervene in a matter between a familiar and his master? response:	It's because I am Saito-san's personal maid.
context: Maybe if it's just for a while, I can enjoy a dream, can't I?\Miss Valliere, did you not go to class?\I was taking this water flea on probation for a little walk.\It hurts...\Oh my god, look at him.\You're being too harsh on Saito-san.\You dare intervene in a matter between a familiar and his master?\It's because I am Saito-san's personal maid. response:	A maid is obliged to be concerned about her master's health.
context: Miss Valliere, did you not go to class?\I was taking this water flea on probation for a little walk.\It hurts...\Oh my god, look at him.\You're being too harsh on Saito-san.\You dare intervene in a matter between a familiar and his master?\It's because I am Saito-san's personal maid.\A maid is obliged to be concerned about her master's health. response:	Aren't you thinking much of yourself.
context: I was taking this water flea on probation for a little walk.\It hurts...\Oh my god, look at him.\You're being too harsh on Saito-san.\You dare intervene in a matter between a familiar and his master?\It's because I am Saito-san's personal maid.\A maid is obliged to be concerned about her master's health.\Aren't you thinking much of yourself. response:	I think that if you can't trust your familiar, you don't love him enough.
context: It hurts...\Oh my god, look at him.\You're being too harsh on Saito-san.\You dare intervene in a matter between a familiar and his master?\It's because I am Saito-san's personal maid.\A maid is obliged to be concerned about her master's health.\Aren't you thinking much of yourself.\I think that if you can't trust your familiar, you don't love him enough. response:	If I were his master, I would take better care of him!
context: Oh my god, look at him.\You're being too harsh on Saito-san.\You dare intervene in a matter between a familiar and his master?\It's because I am Saito-san's personal maid.\A maid is obliged to be concerned about her master's health.\Aren't you thinking much of yourself.\I think that if you can't trust your familiar, you don't love him enough.\If I were his master, I would take better care of him! response:	What? Are you saying I'm doing it wrong?
context: You're being too harsh on Saito-san.\You dare intervene in a matter between a familiar and his master?\It's because I am Saito-san's personal maid.\A maid is obliged to be concerned about her master's health.\Aren't you thinking much of yourself.\I think that if you can't trust your familiar, you don't love him enough.\If I were his master, I would take better care of him!\What? Are you saying I'm doing it wrong? response:	Yes, basically.
context: You dare intervene in a matter between a familiar and his master?\It's because I am Saito-san's personal maid.\A maid is obliged to be concerned about her master's health.\Aren't you thinking much of yourself.\I think that if you can't trust your familiar, you don't love him enough.\If I were his master, I would take better care of him!\What? Are you saying I'm doing it wrong?\Yes, basically. response:	You've said it.
context: It's because I am Saito-san's personal maid.\A maid is obliged to be concerned about her master's health.\Aren't you thinking much of yourself.\I think that if you can't trust your familiar, you don't love him enough.\If I were his master, I would take better care of him!\What? Are you saying I'm doing it wrong?\Yes, basically.\You've said it. response:	Do it if you can. I'll watch you.
context: A maid is obliged to be concerned about her master's health.\Aren't you thinking much of yourself.\I think that if you can't trust your familiar, you don't love him enough.\If I were his master, I would take better care of him!\What? Are you saying I'm doing it wrong?\Yes, basically.\You've said it.\Do it if you can. I'll watch you. response:	May I really?
context: Aren't you thinking much of yourself.\I think that if you can't trust your familiar, you don't love him enough.\If I were his master, I would take better care of him!\What? Are you saying I'm doing it wrong?\Yes, basically.\You've said it.\Do it if you can. I'll watch you.\May I really? response:	How about for one month, then?
context: I think that if you can't trust your familiar, you don't love him enough.\If I were his master, I would take better care of him!\What? Are you saying I'm doing it wrong?\Yes, basically.\You've said it.\Do it if you can. I'll watch you.\May I really?\How about for one month, then? response:	Huh?
context: If I were his master, I would take better care of him!\What? Are you saying I'm doing it wrong?\Yes, basically.\You've said it.\Do it if you can. I'll watch you.\May I really?\How about for one month, then?\Huh? response:	Is that too long?
context: What? Are you saying I'm doing it wrong?\Yes, basically.\You've said it.\Do it if you can. I'll watch you.\May I really?\How about for one month, then?\Huh?\Is that too long? response:	So how about one week?
context: Yes, basically.\You've said it.\Do it if you can. I'll watch you.\May I really?\How about for one month, then?\Huh?\Is that too long?\So how about one week? response:	Hey, now...
context: You've said it.\Do it if you can. I'll watch you.\May I really?\How about for one month, then?\Huh?\Is that too long?\So how about one week?\Hey, now... response:	Can't be helped, then. I'll settle for one day.
context: Do it if you can. I'll watch you.\May I really?\How about for one month, then?\Huh?\Is that too long?\So how about one week?\Hey, now...\Can't be helped, then. I'll settle for one day. response:	Gosh, make it one hour.
context: May I really?\How about for one month, then?\Huh?\Is that too long?\So how about one week?\Hey, now...\Can't be helped, then. I'll settle for one day.\Gosh, make it one hour. response:	Feel what it's like to be his owner.
context: How about for one month, then?\Huh?\Is that too long?\So how about one week?\Hey, now...\Can't be helped, then. I'll settle for one day.\Gosh, make it one hour.\Feel what it's like to be his owner. response:	Take him wherever you want.
context: Huh?\Is that too long?\So how about one week?\Hey, now...\Can't be helped, then. I'll settle for one day.\Gosh, make it one hour.\Feel what it's like to be his owner.\Take him wherever you want. response:	Thank you very much, Miss Valliere!
context: Is that too long?\So how about one week?\Hey, now...\Can't be helped, then. I'll settle for one day.\Gosh, make it one hour.\Feel what it's like to be his owner.\Take him wherever you want.\Thank you very much, Miss Valliere! response:	I'll start right away, then.
context: So how about one week?\Hey, now...\Can't be helped, then. I'll settle for one day.\Gosh, make it one hour.\Feel what it's like to be his owner.\Take him wherever you want.\Thank you very much, Miss Valliere!\I'll start right away, then. response:	Let's go, Master.
context: Hey, now...\Can't be helped, then. I'll settle for one day.\Gosh, make it one hour.\Feel what it's like to be his owner.\Take him wherever you want.\Thank you very much, Miss Valliere!\I'll start right away, then.\Let's go, Master. response:	Well, ah...
context: Can't be helped, then. I'll settle for one day.\Gosh, make it one hour.\Feel what it's like to be his owner.\Take him wherever you want.\Thank you very much, Miss Valliere!\I'll start right away, then.\Let's go, Master.\Well, ah... response:	Hurry now, or else we'll run out of time.
context: Gosh, make it one hour.\Feel what it's like to be his owner.\Take him wherever you want.\Thank you very much, Miss Valliere!\I'll start right away, then.\Let's go, Master.\Well, ah...\Hurry now, or else we'll run out of time. response:	Oh boy...
context: Feel what it's like to be his owner.\Take him wherever you want.\Thank you very much, Miss Valliere!\I'll start right away, then.\Let's go, Master.\Well, ah...\Hurry now, or else we'll run out of time.\Oh boy... response:	Come on. Come on.
context: Take him wherever you want.\Thank you very much, Miss Valliere!\I'll start right away, then.\Let's go, Master.\Well, ah...\Hurry now, or else we'll run out of time.\Oh boy...\Come on. Come on. response:	Come on.
context: Thank you very much, Miss Valliere!\I'll start right away, then.\Let's go, Master.\Well, ah...\Hurry now, or else we'll run out of time.\Oh boy...\Come on. Come on.\Come on. response:	Just a moment ago Louise was dragging him around, and now it's Siesta.
context: I'll start right away, then.\Let's go, Master.\Well, ah...\Hurry now, or else we'll run out of time.\Oh boy...\Come on. Come on.\Come on.\Just a moment ago Louise was dragging him around, and now it's Siesta. response:	We were fortunate, in a way, to get our parole with just weeding.
context: Let's go, Master.\Well, ah...\Hurry now, or else we'll run out of time.\Oh boy...\Come on. Come on.\Come on.\Just a moment ago Louise was dragging him around, and now it's Siesta.\We were fortunate, in a way, to get our parole with just weeding. response:	I'm hungry! I'm thirsty!
context: Well, ah...\Hurry now, or else we'll run out of time.\Oh boy...\Come on. Come on.\Come on.\Just a moment ago Louise was dragging him around, and now it's Siesta.\We were fortunate, in a way, to get our parole with just weeding.\I'm hungry! I'm thirsty! response:	My delicate body isn't made for manual labour like this!
context: Hurry now, or else we'll run out of time.\Oh boy...\Come on. Come on.\Come on.\Just a moment ago Louise was dragging him around, and now it's Siesta.\We were fortunate, in a way, to get our parole with just weeding.\I'm hungry! I'm thirsty!\My delicate body isn't made for manual labour like this! response:	I'm sorry.
context: Oh boy...\Come on. Come on.\Come on.\Just a moment ago Louise was dragging him around, and now it's Siesta.\We were fortunate, in a way, to get our parole with just weeding.\I'm hungry! I'm thirsty!\My delicate body isn't made for manual labour like this!\I'm sorry. response:	Tiffania! You can't give them any leeway!
context: Come on. Come on.\Come on.\Just a moment ago Louise was dragging him around, and now it's Siesta.\We were fortunate, in a way, to get our parole with just weeding.\I'm hungry! I'm thirsty!\My delicate body isn't made for manual labour like this!\I'm sorry.\Tiffania! You can't give them any leeway! response:	They're the Order of Pervert Knights who peeped at the girls' bath.
context: Come on.\Just a moment ago Louise was dragging him around, and now it's Siesta.\We were fortunate, in a way, to get our parole with just weeding.\I'm hungry! I'm thirsty!\My delicate body isn't made for manual labour like this!\I'm sorry.\Tiffania! You can't give them any leeway!\They're the Order of Pervert Knights who peeped at the girls' bath. response:	That was because my desire for ultimate beauty led me to the forbidden land.
context: Just a moment ago Louise was dragging him around, and now it's Siesta.\We were fortunate, in a way, to get our parole with just weeding.\I'm hungry! I'm thirsty!\My delicate body isn't made for manual labour like this!\I'm sorry.\Tiffania! You can't give them any leeway!\They're the Order of Pervert Knights who peeped at the girls' bath.\That was because my desire for ultimate beauty led me to the forbidden land. response:	You there! Stop talking and keep working!
context: We were fortunate, in a way, to get our parole with just weeding.\I'm hungry! I'm thirsty!\My delicate body isn't made for manual labour like this!\I'm sorry.\Tiffania! You can't give them any leeway!\They're the Order of Pervert Knights who peeped at the girls' bath.\That was because my desire for ultimate beauty led me to the forbidden land.\You there! Stop talking and keep working! response:	Yes! Pardon me!
context: I'm hungry! I'm thirsty!\My delicate body isn't made for manual labour like this!\I'm sorry.\Tiffania! You can't give them any leeway!\They're the Order of Pervert Knights who peeped at the girls' bath.\That was because my desire for ultimate beauty led me to the forbidden land.\You there! Stop talking and keep working!\Yes! Pardon me! response:	They called us, the noble Order of Undine Knights, the Order of Pervert Knights.
context: My delicate body isn't made for manual labour like this!\I'm sorry.\Tiffania! You can't give them any leeway!\They're the Order of Pervert Knights who peeped at the girls' bath.\That was because my desire for ultimate beauty led me to the forbidden land.\You there! Stop talking and keep working!\Yes! Pardon me!\They called us, the noble Order of Undine Knights, the Order of Pervert Knights. response:	Ow!
context: I'm sorry.\Tiffania! You can't give them any leeway!\They're the Order of Pervert Knights who peeped at the girls' bath.\That was because my desire for ultimate beauty led me to the forbidden land.\You there! Stop talking and keep working!\Yes! Pardon me!\They called us, the noble Order of Undine Knights, the Order of Pervert Knights.\Ow! response:	Owie...
context: Tiffania! You can't give them any leeway!\They're the Order of Pervert Knights who peeped at the girls' bath.\That was because my desire for ultimate beauty led me to the forbidden land.\You there! Stop talking and keep working!\Yes! Pardon me!\They called us, the noble Order of Undine Knights, the Order of Pervert Knights.\Ow!\Owie... response:	Are you all right?
context: They're the Order of Pervert Knights who peeped at the girls' bath.\That was because my desire for ultimate beauty led me to the forbidden land.\You there! Stop talking and keep working!\Yes! Pardon me!\They called us, the noble Order of Undine Knights, the Order of Pervert Knights.\Ow!\Owie...\Are you all right? response:	Y-Yeah...
context: That was because my desire for ultimate beauty led me to the forbidden land.\You there! Stop talking and keep working!\Yes! Pardon me!\They called us, the noble Order of Undine Knights, the Order of Pervert Knights.\Ow!\Owie...\Are you all right?\Y-Yeah... response:	I'm... not really fine, but thanks anyway.
context: You there! Stop talking and keep working!\Yes! Pardon me!\They called us, the noble Order of Undine Knights, the Order of Pervert Knights.\Ow!\Owie...\Are you all right?\Y-Yeah...\I'm... not really fine, but thanks anyway. response:	So, um, what should we do next?
context: Yes! Pardon me!\They called us, the noble Order of Undine Knights, the Order of Pervert Knights.\Ow!\Owie...\Are you all right?\Y-Yeah...\I'm... not really fine, but thanks anyway.\So, um, what should we do next? response:	What, as in...
context: They called us, the noble Order of Undine Knights, the Order of Pervert Knights.\Ow!\Owie...\Are you all right?\Y-Yeah...\I'm... not really fine, but thanks anyway.\So, um, what should we do next?\What, as in... response:	We're short on time! We must make progress!
context: Ow!\Owie...\Are you all right?\Y-Yeah...\I'm... not really fine, but thanks anyway.\So, um, what should we do next?\What, as in...\We're short on time! We must make progress! response:	D-Don't mind me.
context: Owie...\Are you all right?\Y-Yeah...\I'm... not really fine, but thanks anyway.\So, um, what should we do next?\What, as in...\We're short on time! We must make progress!\D-Don't mind me. response:	S-Saito-san, are you thirsty?
context: Are you all right?\Y-Yeah...\I'm... not really fine, but thanks anyway.\So, um, what should we do next?\What, as in...\We're short on time! We must make progress!\D-Don't mind me.\S-Saito-san, are you thirsty? response:	Not really.
context: Y-Yeah...\I'm... not really fine, but thanks anyway.\So, um, what should we do next?\What, as in...\We're short on time! We must make progress!\D-Don't mind me.\S-Saito-san, are you thirsty?\Not really. response:	Please don't hesitate. Since today, erm...
context: I'm... not really fine, but thanks anyway.\So, um, what should we do next?\What, as in...\We're short on time! We must make progress!\D-Don't mind me.\S-Saito-san, are you thirsty?\Not really.\Please don't hesitate. Since today, erm... response:	N-Newlyweds?!
context: So, um, what should we do next?\What, as in...\We're short on time! We must make progress!\D-Don't mind me.\S-Saito-san, are you thirsty?\Not really.\Please don't hesitate. Since today, erm...\N-Newlyweds?! response:	Yes, since I want you to have some quality time.
context: What, as in...\We're short on time! We must make progress!\D-Don't mind me.\S-Saito-san, are you thirsty?\Not really.\Please don't hesitate. Since today, erm...\N-Newlyweds?!\Yes, since I want you to have some quality time. response:	So today...
context: We're short on time! We must make progress!\D-Don't mind me.\S-Saito-san, are you thirsty?\Not really.\Please don't hesitate. Since today, erm...\N-Newlyweds?!\Yes, since I want you to have some quality time.\So today... response:	Siesta...
context: D-Don't mind me.\S-Saito-san, are you thirsty?\Not really.\Please don't hesitate. Since today, erm...\N-Newlyweds?!\Yes, since I want you to have some quality time.\So today...\Siesta... response:	So, what do newlyweds do?
context: S-Saito-san, are you thirsty?\Not really.\Please don't hesitate. Since today, erm...\N-Newlyweds?!\Yes, since I want you to have some quality time.\So today...\Siesta...\So, what do newlyweds do? response:	Well... How should I put it...
context: Not really.\Please don't hesitate. Since today, erm...\N-Newlyweds?!\Yes, since I want you to have some quality time.\So today...\Siesta...\So, what do newlyweds do?\Well... How should I put it... response:	What am I doing?
context: Please don't hesitate. Since today, erm...\N-Newlyweds?!\Yes, since I want you to have some quality time.\So today...\Siesta...\So, what do newlyweds do?\Well... How should I put it...\What am I doing? response:	Maybe you were thirsty?
context: N-Newlyweds?!\Yes, since I want you to have some quality time.\So today...\Siesta...\So, what do newlyweds do?\Well... How should I put it...\What am I doing?\Maybe you were thirsty? response:	No, that's not what I meant.
context: Yes, since I want you to have some quality time.\So today...\Siesta...\So, what do newlyweds do?\Well... How should I put it...\What am I doing?\Maybe you were thirsty?\No, that's not what I meant. response:	Excuse me for a moment.
context: So today...\Siesta...\So, what do newlyweds do?\Well... How should I put it...\What am I doing?\Maybe you were thirsty?\No, that's not what I meant.\Excuse me for a moment. response:	Jessica! And Uncle Scarron, too?
context: Siesta...\So, what do newlyweds do?\Well... How should I put it...\What am I doing?\Maybe you were thirsty?\No, that's not what I meant.\Excuse me for a moment.\Jessica! And Uncle Scarron, too? response:	Siesta, is someone there?
context: So, what do newlyweds do?\Well... How should I put it...\What am I doing?\Maybe you were thirsty?\No, that's not what I meant.\Excuse me for a moment.\Jessica! And Uncle Scarron, too?\Siesta, is someone there? response:	N-No, there isn't.
