context: -Goddamned corpse! -Stay down, damn it! response:	Why are you getting in my way?
context: He was devoured by evil latena and turned into a living corpse.\So you're trying to talk your way out of this by blaming some weird spell?\What?\You're interfering with the investigation.\Let me guess. Somebody doesn't want us finding out the deal with this fairy,\and they sent you to get in the way.\What are you implying?\What I just said. response:	I don't know how much they're paying you to do it, though.
context: So you're trying to talk your way out of this by blaming some weird spell?\What?\You're interfering with the investigation.\Let me guess. Somebody doesn't want us finding out the deal with this fairy,\and they sent you to get in the way.\What are you implying?\What I just said.\I don't know how much they're paying you to do it, though. response:	This is your first and last warning, Kae Imatoeba.
context: What?\You're interfering with the investigation.\Let me guess. Somebody doesn't want us finding out the deal with this fairy,\and they sent you to get in the way.\What are you implying?\What I just said.\I don't know how much they're paying you to do it, though.\This is your first and last warning, Kae Imatoeba. response:	Never insult me in that manner again.
context: You're interfering with the investigation.\Let me guess. Somebody doesn't want us finding out the deal with this fairy,\and they sent you to get in the way.\What are you implying?\What I just said.\I don't know how much they're paying you to do it, though.\This is your first and last warning, Kae Imatoeba.\Never insult me in that manner again. response:	Next time, I'll kill you. I'm not joking.
context: Let me guess. Somebody doesn't want us finding out the deal with this fairy,\and they sent you to get in the way.\What are you implying?\What I just said.\I don't know how much they're paying you to do it, though.\This is your first and last warning, Kae Imatoeba.\Never insult me in that manner again.\Next time, I'll kill you. I'm not joking. response:	Oh, yeah?
context: and they sent you to get in the way.\What are you implying?\What I just said.\I don't know how much they're paying you to do it, though.\This is your first and last warning, Kae Imatoeba.\Never insult me in that manner again.\Next time, I'll kill you. I'm not joking.\Oh, yeah? response:	Did the words of a lowly Earthling like me tick you off that bad?
context: What are you implying?\What I just said.\I don't know how much they're paying you to do it, though.\This is your first and last warning, Kae Imatoeba.\Never insult me in that manner again.\Next time, I'll kill you. I'm not joking.\Oh, yeah?\Did the words of a lowly Earthling like me tick you off that bad? response:	Silence!
context: What I just said.\I don't know how much they're paying you to do it, though.\This is your first and last warning, Kae Imatoeba.\Never insult me in that manner again.\Next time, I'll kill you. I'm not joking.\Oh, yeah?\Did the words of a lowly Earthling like me tick you off that bad?\Silence! response:	Right.
context: I don't know how much they're paying you to do it, though.\This is your first and last warning, Kae Imatoeba.\Never insult me in that manner again.\Next time, I'll kill you. I'm not joking.\Oh, yeah?\Did the words of a lowly Earthling like me tick you off that bad?\Silence!\Right. response:	Hey, I have a question.
context: This is your first and last warning, Kae Imatoeba.\Never insult me in that manner again.\Next time, I'll kill you. I'm not joking.\Oh, yeah?\Did the words of a lowly Earthling like me tick you off that bad?\Silence!\Right.\Hey, I have a question. response:	What?
context: Never insult me in that manner again.\Next time, I'll kill you. I'm not joking.\Oh, yeah?\Did the words of a lowly Earthling like me tick you off that bad?\Silence!\Right.\Hey, I have a question.\What? response:	You're serious about arresting whoever's behind this
context: Next time, I'll kill you. I'm not joking.\Oh, yeah?\Did the words of a lowly Earthling like me tick you off that bad?\Silence!\Right.\Hey, I have a question.\What?\You're serious about arresting whoever's behind this response:	and getting back that fairy, right?
context: Oh, yeah?\Did the words of a lowly Earthling like me tick you off that bad?\Silence!\Right.\Hey, I have a question.\What?\You're serious about arresting whoever's behind this\and getting back that fairy, right? response:	Of course.
context: Did the words of a lowly Earthling like me tick you off that bad?\Silence!\Right.\Hey, I have a question.\What?\You're serious about arresting whoever's behind this\and getting back that fairy, right?\Of course. response:	Me too, actually.
context: Silence!\Right.\Hey, I have a question.\What?\You're serious about arresting whoever's behind this\and getting back that fairy, right?\Of course.\Me too, actually. response:	So why are we yelling and pointing weapons at each other?
context: Right.\Hey, I have a question.\What?\You're serious about arresting whoever's behind this\and getting back that fairy, right?\Of course.\Me too, actually.\So why are we yelling and pointing weapons at each other? response:	Well, whatever.
context: Hey, I have a question.\What?\You're serious about arresting whoever's behind this\and getting back that fairy, right?\Of course.\Me too, actually.\So why are we yelling and pointing weapons at each other?\Well, whatever. response:	Anyway, I hear you when you say he was being controlled.
context: What?\You're serious about arresting whoever's behind this\and getting back that fairy, right?\Of course.\Me too, actually.\So why are we yelling and pointing weapons at each other?\Well, whatever.\Anyway, I hear you when you say he was being controlled. response:	Another guy like him almost killed me yesterday.
context: You're serious about arresting whoever's behind this\and getting back that fairy, right?\Of course.\Me too, actually.\So why are we yelling and pointing weapons at each other?\Well, whatever.\Anyway, I hear you when you say he was being controlled.\Another guy like him almost killed me yesterday. response:	What? Why didn't you say so earlier?
context: and getting back that fairy, right?\Of course.\Me too, actually.\So why are we yelling and pointing weapons at each other?\Well, whatever.\Anyway, I hear you when you say he was being controlled.\Another guy like him almost killed me yesterday.\What? Why didn't you say so earlier? response:	Don't ask me. I'm not your mom.
context: Of course.\Me too, actually.\So why are we yelling and pointing weapons at each other?\Well, whatever.\Anyway, I hear you when you say he was being controlled.\Another guy like him almost killed me yesterday.\What? Why didn't you say so earlier?\Don't ask me. I'm not your mom. response:	Kei, want to guess what I found?
context: Me too, actually.\So why are we yelling and pointing weapons at each other?\Well, whatever.\Anyway, I hear you when you say he was being controlled.\Another guy like him almost killed me yesterday.\What? Why didn't you say so earlier?\Don't ask me. I'm not your mom.\Kei, want to guess what I found? response:	I read the report, Cecil.
context: So why are we yelling and pointing weapons at each other?\Well, whatever.\Anyway, I hear you when you say he was being controlled.\Another guy like him almost killed me yesterday.\What? Why didn't you say so earlier?\Don't ask me. I'm not your mom.\Kei, want to guess what I found?\I read the report, Cecil. response:	I want to know what they've got in common.
context: Well, whatever.\Anyway, I hear you when you say he was being controlled.\Another guy like him almost killed me yesterday.\What? Why didn't you say so earlier?\Don't ask me. I'm not your mom.\Kei, want to guess what I found?\I read the report, Cecil.\I want to know what they've got in common. response:	That's easy.
context: Anyway, I hear you when you say he was being controlled.\Another guy like him almost killed me yesterday.\What? Why didn't you say so earlier?\Don't ask me. I'm not your mom.\Kei, want to guess what I found?\I read the report, Cecil.\I want to know what they've got in common.\That's easy. response:	The man here, who killed your partner,
context: Another guy like him almost killed me yesterday.\What? Why didn't you say so earlier?\Don't ask me. I'm not your mom.\Kei, want to guess what I found?\I read the report, Cecil.\I want to know what they've got in common.\That's easy.\The man here, who killed your partner, response:	and this man here, who almost killed you.
context: What? Why didn't you say so earlier?\Don't ask me. I'm not your mom.\Kei, want to guess what I found?\I read the report, Cecil.\I want to know what they've got in common.\That's easy.\The man here, who killed your partner,\and this man here, who almost killed you. response:	Both of them were dead before they died.
context: Don't ask me. I'm not your mom.\Kei, want to guess what I found?\I read the report, Cecil.\I want to know what they've got in common.\That's easy.\The man here, who killed your partner,\and this man here, who almost killed you.\Both of them were dead before they died. response:	I don't understand...
context: Kei, want to guess what I found?\I read the report, Cecil.\I want to know what they've got in common.\That's easy.\The man here, who killed your partner,\and this man here, who almost killed you.\Both of them were dead before they died.\I don't understand... response:	I'm talking about their blood oxygen and lactic acid levels.
context: I read the report, Cecil.\I want to know what they've got in common.\That's easy.\The man here, who killed your partner,\and this man here, who almost killed you.\Both of them were dead before they died.\I don't understand...\I'm talking about their blood oxygen and lactic acid levels. response:	Both of them should've been dead after you shot them,
context: I want to know what they've got in common.\That's easy.\The man here, who killed your partner,\and this man here, who almost killed you.\Both of them were dead before they died.\I don't understand...\I'm talking about their blood oxygen and lactic acid levels.\Both of them should've been dead after you shot them, response:	but for some reason kept moving,
context: That's easy.\The man here, who killed your partner,\and this man here, who almost killed you.\Both of them were dead before they died.\I don't understand...\I'm talking about their blood oxygen and lactic acid levels.\Both of them should've been dead after you shot them,\but for some reason kept moving, response:	and then only after that did they get the numbers a dead person should have.
context: The man here, who killed your partner,\and this man here, who almost killed you.\Both of them were dead before they died.\I don't understand...\I'm talking about their blood oxygen and lactic acid levels.\Both of them should've been dead after you shot them,\but for some reason kept moving,\and then only after that did they get the numbers a dead person should have. response:	That's what they have in common.
context: and this man here, who almost killed you.\Both of them were dead before they died.\I don't understand...\I'm talking about their blood oxygen and lactic acid levels.\Both of them should've been dead after you shot them,\but for some reason kept moving,\and then only after that did they get the numbers a dead person should have.\That's what they have in common. response:	So they're like zombies?
context: Both of them were dead before they died.\I don't understand...\I'm talking about their blood oxygen and lactic acid levels.\Both of them should've been dead after you shot them,\but for some reason kept moving,\and then only after that did they get the numbers a dead person should have.\That's what they have in common.\So they're like zombies? response:	I don't know. I'm not sure what the definition of zombie is.
context: I don't understand...\I'm talking about their blood oxygen and lactic acid levels.\Both of them should've been dead after you shot them,\but for some reason kept moving,\and then only after that did they get the numbers a dead person should have.\That's what they have in common.\So they're like zombies?\I don't know. I'm not sure what the definition of zombie is. response:	I didn't see any signs of major drug use.
context: I'm talking about their blood oxygen and lactic acid levels.\Both of them should've been dead after you shot them,\but for some reason kept moving,\and then only after that did they get the numbers a dead person should have.\That's what they have in common.\So they're like zombies?\I don't know. I'm not sure what the definition of zombie is.\I didn't see any signs of major drug use. response:	They both seemed to drink and smoke,
context: Both of them should've been dead after you shot them,\but for some reason kept moving,\and then only after that did they get the numbers a dead person should have.\That's what they have in common.\So they're like zombies?\I don't know. I'm not sure what the definition of zombie is.\I didn't see any signs of major drug use.\They both seemed to drink and smoke, response:	but both were in practically perfect health.
context: but for some reason kept moving,\and then only after that did they get the numbers a dead person should have.\That's what they have in common.\So they're like zombies?\I don't know. I'm not sure what the definition of zombie is.\I didn't see any signs of major drug use.\They both seemed to drink and smoke,\but both were in practically perfect health. response:	I don't know about that.
context: and then only after that did they get the numbers a dead person should have.\That's what they have in common.\So they're like zombies?\I don't know. I'm not sure what the definition of zombie is.\I didn't see any signs of major drug use.\They both seemed to drink and smoke,\but both were in practically perfect health.\I don't know about that. response:	Um, who is this?
context: That's what they have in common.\So they're like zombies?\I don't know. I'm not sure what the definition of zombie is.\I didn't see any signs of major drug use.\They both seemed to drink and smoke,\but both were in practically perfect health.\I don't know about that.\Um, who is this? response:	Tilarna Exedilica.
context: So they're like zombies?\I don't know. I'm not sure what the definition of zombie is.\I didn't see any signs of major drug use.\They both seemed to drink and smoke,\but both were in practically perfect health.\I don't know about that.\Um, who is this?\Tilarna Exedilica. response:	A knight of Mirvor.
context: I don't know. I'm not sure what the definition of zombie is.\I didn't see any signs of major drug use.\They both seemed to drink and smoke,\but both were in practically perfect health.\I don't know about that.\Um, who is this?\Tilarna Exedilica.\A knight of Mirvor. response:	Oh, a guest from the other world.
context: I didn't see any signs of major drug use.\They both seemed to drink and smoke,\but both were in practically perfect health.\I don't know about that.\Um, who is this?\Tilarna Exedilica.\A knight of Mirvor.\Oh, a guest from the other world. response:	What's she doing?
context: They both seemed to drink and smoke,\but both were in practically perfect health.\I don't know about that.\Um, who is this?\Tilarna Exedilica.\A knight of Mirvor.\Oh, a guest from the other world.\What's she doing? response:	Looking for magic, she says.
context: but both were in practically perfect health.\I don't know about that.\Um, who is this?\Tilarna Exedilica.\A knight of Mirvor.\Oh, a guest from the other world.\What's she doing?\Looking for magic, she says. response:	Kei.
context: I don't know about that.\Um, who is this?\Tilarna Exedilica.\A knight of Mirvor.\Oh, a guest from the other world.\What's she doing?\Looking for magic, she says.\Kei. response:	Don't look at me like that. I'm completely sane.
context: Um, who is this?\Tilarna Exedilica.\A knight of Mirvor.\Oh, a guest from the other world.\What's she doing?\Looking for magic, she says.\Kei.\Don't look at me like that. I'm completely sane. response:	He's the same.
context: Tilarna Exedilica.\A knight of Mirvor.\Oh, a guest from the other world.\What's she doing?\Looking for magic, she says.\Kei.\Don't look at me like that. I'm completely sane.\He's the same. response:	He smells of evil latena.
context: A knight of Mirvor.\Oh, a guest from the other world.\What's she doing?\Looking for magic, she says.\Kei.\Don't look at me like that. I'm completely sane.\He's the same.\He smells of evil latena. response:	What's latena?
context: Oh, a guest from the other world.\What's she doing?\Looking for magic, she says.\Kei.\Don't look at me like that. I'm completely sane.\He's the same.\He smells of evil latena.\What's latena? response:	Latena is latena.
context: What's she doing?\Looking for magic, she says.\Kei.\Don't look at me like that. I'm completely sane.\He's the same.\He smells of evil latena.\What's latena?\Latena is latena. response:	Some kind of magical energy source or something.
context: Looking for magic, she says.\Kei.\Don't look at me like that. I'm completely sane.\He's the same.\He smells of evil latena.\What's latena?\Latena is latena.\Some kind of magical energy source or something. response:	I don't get it either.
context: Kei.\Don't look at me like that. I'm completely sane.\He's the same.\He smells of evil latena.\What's latena?\Latena is latena.\Some kind of magical energy source or something.\I don't get it either. response:	The latena of a fairy warped through some horrible method.
context: Don't look at me like that. I'm completely sane.\He's the same.\He smells of evil latena.\What's latena?\Latena is latena.\Some kind of magical energy source or something.\I don't get it either.\The latena of a fairy warped through some horrible method. response:	They ingested it on a regular basis, and it turned them into dead men.
context: He's the same.\He smells of evil latena.\What's latena?\Latena is latena.\Some kind of magical energy source or something.\I don't get it either.\The latena of a fairy warped through some horrible method.\They ingested it on a regular basis, and it turned them into dead men. response:	Are you talking about a drug? From Semani?
context: He smells of evil latena.\What's latena?\Latena is latena.\Some kind of magical energy source or something.\I don't get it either.\The latena of a fairy warped through some horrible method.\They ingested it on a regular basis, and it turned them into dead men.\Are you talking about a drug? From Semani? response:	Fairy dust? These guys were regular users, right?
context: What's latena?\Latena is latena.\Some kind of magical energy source or something.\I don't get it either.\The latena of a fairy warped through some horrible method.\They ingested it on a regular basis, and it turned them into dead men.\Are you talking about a drug? From Semani?\Fairy dust? These guys were regular users, right? response:	If you call the dead regular users, then yes.
context: Latena is latena.\Some kind of magical energy source or something.\I don't get it either.\The latena of a fairy warped through some horrible method.\They ingested it on a regular basis, and it turned them into dead men.\Are you talking about a drug? From Semani?\Fairy dust? These guys were regular users, right?\If you call the dead regular users, then yes. response:	The Marzaney Sect has spells that can control the dead.
context: Some kind of magical energy source or something.\I don't get it either.\The latena of a fairy warped through some horrible method.\They ingested it on a regular basis, and it turned them into dead men.\Are you talking about a drug? From Semani?\Fairy dust? These guys were regular users, right?\If you call the dead regular users, then yes.\The Marzaney Sect has spells that can control the dead. response:	Well, that would explain why it didn't show up on my tests.
context: I don't get it either.\The latena of a fairy warped through some horrible method.\They ingested it on a regular basis, and it turned them into dead men.\Are you talking about a drug? From Semani?\Fairy dust? These guys were regular users, right?\If you call the dead regular users, then yes.\The Marzaney Sect has spells that can control the dead.\Well, that would explain why it didn't show up on my tests. response:	That drug is one big mystery to us.
context: The latena of a fairy warped through some horrible method.\They ingested it on a regular basis, and it turned them into dead men.\Are you talking about a drug? From Semani?\Fairy dust? These guys were regular users, right?\If you call the dead regular users, then yes.\The Marzaney Sect has spells that can control the dead.\Well, that would explain why it didn't show up on my tests.\That drug is one big mystery to us. response:	All we know is that it's made from fairies.
context: They ingested it on a regular basis, and it turned them into dead men.\Are you talking about a drug? From Semani?\Fairy dust? These guys were regular users, right?\If you call the dead regular users, then yes.\The Marzaney Sect has spells that can control the dead.\Well, that would explain why it didn't show up on my tests.\That drug is one big mystery to us.\All we know is that it's made from fairies. response:	To do this to a noble fairy...
context: Are you talking about a drug? From Semani?\Fairy dust? These guys were regular users, right?\If you call the dead regular users, then yes.\The Marzaney Sect has spells that can control the dead.\Well, that would explain why it didn't show up on my tests.\That drug is one big mystery to us.\All we know is that it's made from fairies.\To do this to a noble fairy... response:	What terrible people.
context: Fairy dust? These guys were regular users, right?\If you call the dead regular users, then yes.\The Marzaney Sect has spells that can control the dead.\Well, that would explain why it didn't show up on my tests.\That drug is one big mystery to us.\All we know is that it's made from fairies.\To do this to a noble fairy...\What terrible people. response:	So, can you use magic?
context: If you call the dead regular users, then yes.\The Marzaney Sect has spells that can control the dead.\Well, that would explain why it didn't show up on my tests.\That drug is one big mystery to us.\All we know is that it's made from fairies.\To do this to a noble fairy...\What terrible people.\So, can you use magic? response:	It's called mildey. And I can use a little.
context: The Marzaney Sect has spells that can control the dead.\Well, that would explain why it didn't show up on my tests.\That drug is one big mystery to us.\All we know is that it's made from fairies.\To do this to a noble fairy...\What terrible people.\So, can you use magic?\It's called mildey. And I can use a little. response:	Then follow the trail of this latena stuff. Like a police dog.
context: Well, that would explain why it didn't show up on my tests.\That drug is one big mystery to us.\All we know is that it's made from fairies.\To do this to a noble fairy...\What terrible people.\So, can you use magic?\It's called mildey. And I can use a little.\Then follow the trail of this latena stuff. Like a police dog. response:	You seem to lack imagination, Kae Imatoeba.
context: That drug is one big mystery to us.\All we know is that it's made from fairies.\To do this to a noble fairy...\What terrible people.\So, can you use magic?\It's called mildey. And I can use a little.\Then follow the trail of this latena stuff. Like a police dog.\You seem to lack imagination, Kae Imatoeba. response:	Mildey is powerful, but not all -powerful.
context: All we know is that it's made from fairies.\To do this to a noble fairy...\What terrible people.\So, can you use magic?\It's called mildey. And I can use a little.\Then follow the trail of this latena stuff. Like a police dog.\You seem to lack imagination, Kae Imatoeba.\Mildey is powerful, but not all -powerful. response:	Pound that fact into what little brains you have.
context: To do this to a noble fairy...\What terrible people.\So, can you use magic?\It's called mildey. And I can use a little.\Then follow the trail of this latena stuff. Like a police dog.\You seem to lack imagination, Kae Imatoeba.\Mildey is powerful, but not all -powerful.\Pound that fact into what little brains you have. response:	Good advice from a noble but useless woman.
context: What terrible people.\So, can you use magic?\It's called mildey. And I can use a little.\Then follow the trail of this latena stuff. Like a police dog.\You seem to lack imagination, Kae Imatoeba.\Mildey is powerful, but not all -powerful.\Pound that fact into what little brains you have.\Good advice from a noble but useless woman. response:	So um, are you two not friends, then?
context: So, can you use magic?\It's called mildey. And I can use a little.\Then follow the trail of this latena stuff. Like a police dog.\You seem to lack imagination, Kae Imatoeba.\Mildey is powerful, but not all -powerful.\Pound that fact into what little brains you have.\Good advice from a noble but useless woman.\So um, are you two not friends, then? response:	If it looks that way, that's probably the case.
context: It's called mildey. And I can use a little.\Then follow the trail of this latena stuff. Like a police dog.\You seem to lack imagination, Kae Imatoeba.\Mildey is powerful, but not all -powerful.\Pound that fact into what little brains you have.\Good advice from a noble but useless woman.\So um, are you two not friends, then?\If it looks that way, that's probably the case. response:	Is there anyone out there who does like this man?
context: Then follow the trail of this latena stuff. Like a police dog.\You seem to lack imagination, Kae Imatoeba.\Mildey is powerful, but not all -powerful.\Pound that fact into what little brains you have.\Good advice from a noble but useless woman.\So um, are you two not friends, then?\If it looks that way, that's probably the case.\Is there anyone out there who does like this man? response:	I see.
context: You seem to lack imagination, Kae Imatoeba.\Mildey is powerful, but not all -powerful.\Pound that fact into what little brains you have.\Good advice from a noble but useless woman.\So um, are you two not friends, then?\If it looks that way, that's probably the case.\Is there anyone out there who does like this man?\I see. response:	Kei.
context: Mildey is powerful, but not all -powerful.\Pound that fact into what little brains you have.\Good advice from a noble but useless woman.\So um, are you two not friends, then?\If it looks that way, that's probably the case.\Is there anyone out there who does like this man?\I see.\Kei. response:	You okay?
context: Pound that fact into what little brains you have.\Good advice from a noble but useless woman.\So um, are you two not friends, then?\If it looks that way, that's probably the case.\Is there anyone out there who does like this man?\I see.\Kei.\You okay? response:	I think so.
context: Good advice from a noble but useless woman.\So um, are you two not friends, then?\If it looks that way, that's probably the case.\Is there anyone out there who does like this man?\I see.\Kei.\You okay?\I think so. response:	Call me anytime.
context: So um, are you two not friends, then?\If it looks that way, that's probably the case.\Is there anyone out there who does like this man?\I see.\Kei.\You okay?\I think so.\Call me anytime. response:	Sure, thanks.
context: If it looks that way, that's probably the case.\Is there anyone out there who does like this man?\I see.\Kei.\You okay?\I think so.\Call me anytime.\Sure, thanks. response:	What was that conversation?
context: Is there anyone out there who does like this man?\I see.\Kei.\You okay?\I think so.\Call me anytime.\Sure, thanks.\What was that conversation? response:	Don't worry about it.
context: I see.\Kei.\You okay?\I think so.\Call me anytime.\Sure, thanks.\What was that conversation?\Don't worry about it. response:	No, I'm curious. Tell me.
context: Kei.\You okay?\I think so.\Call me anytime.\Sure, thanks.\What was that conversation?\Don't worry about it.\No, I'm curious. Tell me. response:	She's my ex.
context: You okay?\I think so.\Call me anytime.\Sure, thanks.\What was that conversation?\Don't worry about it.\No, I'm curious. Tell me.\She's my ex. response:	What's an ex?
context: I think so.\Call me anytime.\Sure, thanks.\What was that conversation?\Don't worry about it.\No, I'm curious. Tell me.\She's my ex.\What's an ex? response:	Shut up.
context: Call me anytime.\Sure, thanks.\What was that conversation?\Don't worry about it.\No, I'm curious. Tell me.\She's my ex.\What's an ex?\Shut up. response:	The problem is when the attack occurred.
context: Sure, thanks.\What was that conversation?\Don't worry about it.\No, I'm curious. Tell me.\She's my ex.\What's an ex?\Shut up.\The problem is when the attack occurred. response:	Either they were watching Alvarez or there was a leak.
context: What was that conversation?\Don't worry about it.\No, I'm curious. Tell me.\She's my ex.\What's an ex?\Shut up.\The problem is when the attack occurred.\Either they were watching Alvarez or there was a leak. response:	No way to tell.
context: Don't worry about it.\No, I'm curious. Tell me.\She's my ex.\What's an ex?\Shut up.\The problem is when the attack occurred.\Either they were watching Alvarez or there was a leak.\No way to tell. response:	There's any number of possibilities.
context: No, I'm curious. Tell me.\She's my ex.\What's an ex?\Shut up.\The problem is when the attack occurred.\Either they were watching Alvarez or there was a leak.\No way to tell.\There's any number of possibilities. response:	Oh, but you don't have to worry about our brave knight here.
