context: Zankoku na tenshi no youni Like an angel without a sense of mercy... response:	Shonen yo shinwa ni nare...rise young boy to the heavens as a legend.
context: Mune no door wo tataitemo Tear open the door to your heart...\Watashidake wo tada mitsumete But unknowing you seem, just staring at me...\Hohoenderu anata Standing there smiling serenely.\Sotto fureru mono Desperate for something to touch...\Motomeru koto ni muchu de A moment of kindness like that in a dream..\Unmei sae mada shiranai Your innocent eyes as yet have no idea...\Itaikena hitomi...of the path your destiny will follow.\Dakedo itsuka kizuku deshou But someday you'll become aware of... response:	Sono senaka niwa...everything that you've got behind you.
context: Watashidake wo tada mitsumete But unknowing you seem, just staring at me...\Hohoenderu anata Standing there smiling serenely.\Sotto fureru mono Desperate for something to touch...\Motomeru koto ni muchu de A moment of kindness like that in a dream..\Unmei sae mada shiranai Your innocent eyes as yet have no idea...\Itaikena hitomi...of the path your destiny will follow.\Dakedo itsuka kizuku deshou But someday you'll become aware of...\Sono senaka niwa...everything that you've got behind you. response:	Haruka mirai mezasu tameno Your wings are for seeking out...
context: Hohoenderu anata Standing there smiling serenely.\Sotto fureru mono Desperate for something to touch...\Motomeru koto ni muchu de A moment of kindness like that in a dream..\Unmei sae mada shiranai Your innocent eyes as yet have no idea...\Itaikena hitomi...of the path your destiny will follow.\Dakedo itsuka kizuku deshou But someday you'll become aware of...\Sono senaka niwa...everything that you've got behind you.\Haruka mirai mezasu tameno Your wings are for seeking out... response:	Hanega arukoto...a new future that only you can search for.
context: Sotto fureru mono Desperate for something to touch...\Motomeru koto ni muchu de A moment of kindness like that in a dream..\Unmei sae mada shiranai Your innocent eyes as yet have no idea...\Itaikena hitomi...of the path your destiny will follow.\Dakedo itsuka kizuku deshou But someday you'll become aware of...\Sono senaka niwa...everything that you've got behind you.\Haruka mirai mezasu tameno Your wings are for seeking out...\Hanega arukoto...a new future that only you can search for. response:	Zankoku na tenshi no thesis The cruel angel's thesis bleeds...
context: Motomeru koto ni muchu de A moment of kindness like that in a dream..\Unmei sae mada shiranai Your innocent eyes as yet have no idea...\Itaikena hitomi...of the path your destiny will follow.\Dakedo itsuka kizuku deshou But someday you'll become aware of...\Sono senaka niwa...everything that you've got behind you.\Haruka mirai mezasu tameno Your wings are for seeking out...\Hanega arukoto...a new future that only you can search for.\Zankoku na tenshi no thesis The cruel angel's thesis bleeds... response:	Madobe kara yagate tobitatsu...through a portal like your pulsing blood.
context: Unmei sae mada shiranai Your innocent eyes as yet have no idea...\Itaikena hitomi...of the path your destiny will follow.\Dakedo itsuka kizuku deshou But someday you'll become aware of...\Sono senaka niwa...everything that you've got behind you.\Haruka mirai mezasu tameno Your wings are for seeking out...\Hanega arukoto...a new future that only you can search for.\Zankoku na tenshi no thesis The cruel angel's thesis bleeds...\Madobe kara yagate tobitatsu...through a portal like your pulsing blood. response:	Hotobashiru atsui pathos de If you should betray the chapel of your memories...
context: Itaikena hitomi...of the path your destiny will follow.\Dakedo itsuka kizuku deshou But someday you'll become aware of...\Sono senaka niwa...everything that you've got behind you.\Haruka mirai mezasu tameno Your wings are for seeking out...\Hanega arukoto...a new future that only you can search for.\Zankoku na tenshi no thesis The cruel angel's thesis bleeds...\Madobe kara yagate tobitatsu...through a portal like your pulsing blood.\Hotobashiru atsui pathos de If you should betray the chapel of your memories... response:	Omoide wo uragiru nara...the cruel angel will enter the window of your soul.
context: Dakedo itsuka kizuku deshou But someday you'll become aware of...\Sono senaka niwa...everything that you've got behind you.\Haruka mirai mezasu tameno Your wings are for seeking out...\Hanega arukoto...a new future that only you can search for.\Zankoku na tenshi no thesis The cruel angel's thesis bleeds...\Madobe kara yagate tobitatsu...through a portal like your pulsing blood.\Hotobashiru atsui pathos de If you should betray the chapel of your memories...\Omoide wo uragiru nara...the cruel angel will enter the window of your soul. response:	Kono sora wo daite kagayaku. So boy, stand tall and embrace the fire of legend...
context: Sono senaka niwa...everything that you've got behind you.\Haruka mirai mezasu tameno Your wings are for seeking out...\Hanega arukoto...a new future that only you can search for.\Zankoku na tenshi no thesis The cruel angel's thesis bleeds...\Madobe kara yagate tobitatsu...through a portal like your pulsing blood.\Hotobashiru atsui pathos de If you should betray the chapel of your memories...\Omoide wo uragiru nara...the cruel angel will enter the window of your soul.\Kono sora wo daite kagayaku. So boy, stand tall and embrace the fire of legend... response:	Shonen yo shinwa ni nare. Embrace the universe like a blazing star!
context: Haruka mirai mezasu tameno Your wings are for seeking out...\Hanega arukoto...a new future that only you can search for.\Zankoku na tenshi no thesis The cruel angel's thesis bleeds...\Madobe kara yagate tobitatsu...through a portal like your pulsing blood.\Hotobashiru atsui pathos de If you should betray the chapel of your memories...\Omoide wo uragiru nara...the cruel angel will enter the window of your soul.\Kono sora wo daite kagayaku. So boy, stand tall and embrace the fire of legend...\Shonen yo shinwa ni nare. Embrace the universe like a blazing star! response:	NERV Headquarters Experiment Station-02
context: Hanega arukoto...a new future that only you can search for.\Zankoku na tenshi no thesis The cruel angel's thesis bleeds...\Madobe kara yagate tobitatsu...through a portal like your pulsing blood.\Hotobashiru atsui pathos de If you should betray the chapel of your memories...\Omoide wo uragiru nara...the cruel angel will enter the window of your soul.\Kono sora wo daite kagayaku. So boy, stand tall and embrace the fire of legend...\Shonen yo shinwa ni nare. Embrace the universe like a blazing star!\NERV Headquarters Experiment Station-02 response:	22 days earlier.
context: Zankoku na tenshi no thesis The cruel angel's thesis bleeds...\Madobe kara yagate tobitatsu...through a portal like your pulsing blood.\Hotobashiru atsui pathos de If you should betray the chapel of your memories...\Omoide wo uragiru nara...the cruel angel will enter the window of your soul.\Kono sora wo daite kagayaku. So boy, stand tall and embrace the fire of legend...\Shonen yo shinwa ni nare. Embrace the universe like a blazing star!\NERV Headquarters Experiment Station-02\22 days earlier. response:	Commence activation.
context: Madobe kara yagate tobitatsu...through a portal like your pulsing blood.\Hotobashiru atsui pathos de If you should betray the chapel of your memories...\Omoide wo uragiru nara...the cruel angel will enter the window of your soul.\Kono sora wo daite kagayaku. So boy, stand tall and embrace the fire of legend...\Shonen yo shinwa ni nare. Embrace the universe like a blazing star!\NERV Headquarters Experiment Station-02\22 days earlier.\Commence activation. response:	Connecting main power to all circuits.
context: Hotobashiru atsui pathos de If you should betray the chapel of your memories...\Omoide wo uragiru nara...the cruel angel will enter the window of your soul.\Kono sora wo daite kagayaku. So boy, stand tall and embrace the fire of legend...\Shonen yo shinwa ni nare. Embrace the universe like a blazing star!\NERV Headquarters Experiment Station-02\22 days earlier.\Commence activation.\Connecting main power to all circuits. response:	Power supply connected. Commencing activation system.
context: Omoide wo uragiru nara...the cruel angel will enter the window of your soul.\Kono sora wo daite kagayaku. So boy, stand tall and embrace the fire of legend...\Shonen yo shinwa ni nare. Embrace the universe like a blazing star!\NERV Headquarters Experiment Station-02\22 days earlier.\Commence activation.\Connecting main power to all circuits.\Power supply connected. Commencing activation system. response:	Activation voltage is approaching critical level. 0.5, 0.2...
context: Kono sora wo daite kagayaku. So boy, stand tall and embrace the fire of legend...\Shonen yo shinwa ni nare. Embrace the universe like a blazing star!\NERV Headquarters Experiment Station-02\22 days earlier.\Commence activation.\Connecting main power to all circuits.\Power supply connected. Commencing activation system.\Activation voltage is approaching critical level. 0.5, 0.2... response:	Rising.
context: Shonen yo shinwa ni nare. Embrace the universe like a blazing star!\NERV Headquarters Experiment Station-02\22 days earlier.\Commence activation.\Connecting main power to all circuits.\Power supply connected. Commencing activation system.\Activation voltage is approaching critical level. 0.5, 0.2...\Rising. response:	Begin the second phase of the activation system. Rising.
context: NERV Headquarters Experiment Station-02\22 days earlier.\Commence activation.\Connecting main power to all circuits.\Power supply connected. Commencing activation system.\Activation voltage is approaching critical level. 0.5, 0.2...\Rising.\Begin the second phase of the activation system. Rising. response:	Begin the second phase of the activation system.
context: 22 days earlier.\Commence activation.\Connecting main power to all circuits.\Power supply connected. Commencing activation system.\Activation voltage is approaching critical level. 0.5, 0.2...\Rising.\Begin the second phase of the activation system. Rising.\Begin the second phase of the activation system. response:	Pilot has begun link-up.
context: Commence activation.\Connecting main power to all circuits.\Power supply connected. Commencing activation system.\Activation voltage is approaching critical level. 0.5, 0.2...\Rising.\Begin the second phase of the activation system. Rising.\Begin the second phase of the activation system.\Pilot has begun link-up. response:	Start system Phase 2.
context: Connecting main power to all circuits.\Power supply connected. Commencing activation system.\Activation voltage is approaching critical level. 0.5, 0.2...\Rising.\Begin the second phase of the activation system. Rising.\Begin the second phase of the activation system.\Pilot has begun link-up.\Start system Phase 2. response:	Synapses inserted. Junctions connecting.
context: Power supply connected. Commencing activation system.\Activation voltage is approaching critical level. 0.5, 0.2...\Rising.\Begin the second phase of the activation system. Rising.\Begin the second phase of the activation system.\Pilot has begun link-up.\Start system Phase 2.\Synapses inserted. Junctions connecting. response:	Transmitting pulse.
context: Activation voltage is approaching critical level. 0.5, 0.2...\Rising.\Begin the second phase of the activation system. Rising.\Begin the second phase of the activation system.\Pilot has begun link-up.\Start system Phase 2.\Synapses inserted. Junctions connecting.\Transmitting pulse. response:	All circuits are operational.
context: Rising.\Begin the second phase of the activation system. Rising.\Begin the second phase of the activation system.\Pilot has begun link-up.\Start system Phase 2.\Synapses inserted. Junctions connecting.\Transmitting pulse.\All circuits are operational. response:	No problems with initial contact.
context: Begin the second phase of the activation system. Rising.\Begin the second phase of the activation system.\Pilot has begun link-up.\Start system Phase 2.\Synapses inserted. Junctions connecting.\Transmitting pulse.\All circuits are operational.\No problems with initial contact. response:	Power supplied to Brachial muscles in both arms.
context: Begin the second phase of the activation system.\Pilot has begun link-up.\Start system Phase 2.\Synapses inserted. Junctions connecting.\Transmitting pulse.\All circuits are operational.\No problems with initial contact.\Power supplied to Brachial muscles in both arms. response:	All nerve links checking out normal.
context: Pilot has begun link-up.\Start system Phase 2.\Synapses inserted. Junctions connecting.\Transmitting pulse.\All circuits are operational.\No problems with initial contact.\Power supplied to Brachial muscles in both arms.\All nerve links checking out normal. response:	Check list satisfactory up to 2550.
context: Start system Phase 2.\Synapses inserted. Junctions connecting.\Transmitting pulse.\All circuits are operational.\No problems with initial contact.\Power supplied to Brachial muscles in both arms.\All nerve links checking out normal.\Check list satisfactory up to 2550. response:	Prepare for third stage connection.
context: Synapses inserted. Junctions connecting.\Transmitting pulse.\All circuits are operational.\No problems with initial contact.\Power supplied to Brachial muscles in both arms.\All nerve links checking out normal.\Check list satisfactory up to 2550.\Prepare for third stage connection. response:	Clear up to 2580.
context: Transmitting pulse.\All circuits are operational.\No problems with initial contact.\Power supplied to Brachial muscles in both arms.\All nerve links checking out normal.\Check list satisfactory up to 2550.\Prepare for third stage connection.\Clear up to 2580. response:	Counting down to the absolute borderline.
context: All circuits are operational.\No problems with initial contact.\Power supplied to Brachial muscles in both arms.\All nerve links checking out normal.\Check list satisfactory up to 2550.\Prepare for third stage connection.\Clear up to 2580.\Counting down to the absolute borderline. response:	The pulses are flowing backward!
context: No problems with initial contact.\Power supplied to Brachial muscles in both arms.\All nerve links checking out normal.\Check list satisfactory up to 2550.\Prepare for third stage connection.\Clear up to 2580.\Counting down to the absolute borderline.\The pulses are flowing backward! response:	Something's going wrong in the third stage!
context: Power supplied to Brachial muscles in both arms.\All nerve links checking out normal.\Check list satisfactory up to 2550.\Prepare for third stage connection.\Clear up to 2580.\Counting down to the absolute borderline.\The pulses are flowing backward!\Something's going wrong in the third stage! response:	Rejection occurring in the nerve center elements!
context: All nerve links checking out normal.\Check list satisfactory up to 2550.\Prepare for third stage connection.\Clear up to 2580.\Counting down to the absolute borderline.\The pulses are flowing backward!\Something's going wrong in the third stage!\Rejection occurring in the nerve center elements! response:	Cease contact! Break all circuits through number six!
context: Check list satisfactory up to 2550.\Prepare for third stage connection.\Clear up to 2580.\Counting down to the absolute borderline.\The pulses are flowing backward!\Something's going wrong in the third stage!\Rejection occurring in the nerve center elements!\Cease contact! Break all circuits through number six! response:	Negative! The signal's not being received!
context: Prepare for third stage connection.\Clear up to 2580.\Counting down to the absolute borderline.\The pulses are flowing backward!\Something's going wrong in the third stage!\Rejection occurring in the nerve center elements!\Cease contact! Break all circuits through number six!\Negative! The signal's not being received! response:	Unit 00 is out of control!
context: Clear up to 2580.\Counting down to the absolute borderline.\The pulses are flowing backward!\Something's going wrong in the third stage!\Rejection occurring in the nerve center elements!\Cease contact! Break all circuits through number six!\Negative! The signal's not being received!\Unit 00 is out of control! response:	Abort the experiment. Shut off the power supply.
context: Counting down to the absolute borderline.\The pulses are flowing backward!\Something's going wrong in the third stage!\Rejection occurring in the nerve center elements!\Cease contact! Break all circuits through number six!\Negative! The signal's not being received!\Unit 00 is out of control!\Abort the experiment. Shut off the power supply. response:	Yes, Sir!
context: The pulses are flowing backward!\Something's going wrong in the third stage!\Rejection occurring in the nerve center elements!\Cease contact! Break all circuits through number six!\Negative! The signal's not being received!\Unit 00 is out of control!\Abort the experiment. Shut off the power supply.\Yes, Sir! response:	Unit 00 has switched to standby power!
context: Something's going wrong in the third stage!\Rejection occurring in the nerve center elements!\Cease contact! Break all circuits through number six!\Negative! The signal's not being received!\Unit 00 is out of control!\Abort the experiment. Shut off the power supply.\Yes, Sir!\Unit 00 has switched to standby power! response:	Thirty-five seconds until it comes to a complete stop.
context: Rejection occurring in the nerve center elements!\Cease contact! Break all circuits through number six!\Negative! The signal's not being received!\Unit 00 is out of control!\Abort the experiment. Shut off the power supply.\Yes, Sir!\Unit 00 has switched to standby power!\Thirty-five seconds until it comes to a complete stop. response:	It's dangerous! Stay back!
context: Cease contact! Break all circuits through number six!\Negative! The signal's not being received!\Unit 00 is out of control!\Abort the experiment. Shut off the power supply.\Yes, Sir!\Unit 00 has switched to standby power!\Thirty-five seconds until it comes to a complete stop.\It's dangerous! Stay back! response:	Auto ejection system activating!
context: Negative! The signal's not being received!\Unit 00 is out of control!\Abort the experiment. Shut off the power supply.\Yes, Sir!\Unit 00 has switched to standby power!\Thirty-five seconds until it comes to a complete stop.\It's dangerous! Stay back!\Auto ejection system activating! response:	Damn it!
context: Unit 00 is out of control!\Abort the experiment. Shut off the power supply.\Yes, Sir!\Unit 00 has switched to standby power!\Thirty-five seconds until it comes to a complete stop.\It's dangerous! Stay back!\Auto ejection system activating!\Damn it! response:	Complete shutdown in ten seconds. 9...
context: Abort the experiment. Shut off the power supply.\Yes, Sir!\Unit 00 has switched to standby power!\Thirty-five seconds until it comes to a complete stop.\It's dangerous! Stay back!\Auto ejection system activating!\Damn it!\Complete shutdown in ten seconds. 9... response:	Use the special Bakelite! Hurry! Complete shutdown in ten seconds. 9...
context: Yes, Sir!\Unit 00 has switched to standby power!\Thirty-five seconds until it comes to a complete stop.\It's dangerous! Stay back!\Auto ejection system activating!\Damn it!\Complete shutdown in ten seconds. 9...\Use the special Bakelite! Hurry! Complete shutdown in ten seconds. 9... response:	Use the special Bakelite! Hurry! 8...
context: Unit 00 has switched to standby power!\Thirty-five seconds until it comes to a complete stop.\It's dangerous! Stay back!\Auto ejection system activating!\Damn it!\Complete shutdown in ten seconds. 9...\Use the special Bakelite! Hurry! Complete shutdown in ten seconds. 9...\Use the special Bakelite! Hurry! 8... response:	Rei! 7...
context: Thirty-five seconds until it comes to a complete stop.\It's dangerous! Stay back!\Auto ejection system activating!\Damn it!\Complete shutdown in ten seconds. 9...\Use the special Bakelite! Hurry! Complete shutdown in ten seconds. 9...\Use the special Bakelite! Hurry! 8...\Rei! 7... response:	Rei! 6...
context: It's dangerous! Stay back!\Auto ejection system activating!\Damn it!\Complete shutdown in ten seconds. 9...\Use the special Bakelite! Hurry! Complete shutdown in ten seconds. 9...\Use the special Bakelite! Hurry! 8...\Rei! 7...\Rei! 6... response:	Zero!
context: Auto ejection system activating!\Damn it!\Complete shutdown in ten seconds. 9...\Use the special Bakelite! Hurry! Complete shutdown in ten seconds. 9...\Use the special Bakelite! Hurry! 8...\Rei! 7...\Rei! 6...\Zero! response:	Rei, are you all right?
context: Damn it!\Complete shutdown in ten seconds. 9...\Use the special Bakelite! Hurry! Complete shutdown in ten seconds. 9...\Use the special Bakelite! Hurry! 8...\Rei! 7...\Rei! 6...\Zero!\Rei, are you all right? response:	Rei!
context: Complete shutdown in ten seconds. 9...\Use the special Bakelite! Hurry! Complete shutdown in ten seconds. 9...\Use the special Bakelite! Hurry! 8...\Rei! 7...\Rei! 6...\Zero!\Rei, are you all right?\Rei! response:	I see.
context: Use the special Bakelite! Hurry! Complete shutdown in ten seconds. 9...\Use the special Bakelite! Hurry! 8...\Rei! 7...\Rei! 6...\Zero!\Rei, are you all right?\Rei!\I see. response:	Rei, Beyond Her Heart
context: Use the special Bakelite! Hurry! 8...\Rei! 7...\Rei! 6...\Zero!\Rei, are you all right?\Rei!\I see.\Rei, Beyond Her Heart response:	Rei Ayanami, age fourteen.
context: Rei! 7...\Rei! 6...\Zero!\Rei, are you all right?\Rei!\I see.\Rei, Beyond Her Heart\Rei Ayanami, age fourteen. response:	The first test subject chosen by following the Marduk Report.
context: Rei! 6...\Zero!\Rei, are you all right?\Rei!\I see.\Rei, Beyond Her Heart\Rei Ayanami, age fourteen.\The first test subject chosen by following the Marduk Report. response:	The First Child.
context: Zero!\Rei, are you all right?\Rei!\I see.\Rei, Beyond Her Heart\Rei Ayanami, age fourteen.\The first test subject chosen by following the Marduk Report.\The First Child. response:	She is the designated pilot for Evangelion Unit 00.
context: Rei, are you all right?\Rei!\I see.\Rei, Beyond Her Heart\Rei Ayanami, age fourteen.\The first test subject chosen by following the Marduk Report.\The First Child.\She is the designated pilot for Evangelion Unit 00. response:	Her past has been eradicated. All her personal records were erased.
context: Rei!\I see.\Rei, Beyond Her Heart\Rei Ayanami, age fourteen.\The first test subject chosen by following the Marduk Report.\The First Child.\She is the designated pilot for Evangelion Unit 00.\Her past has been eradicated. All her personal records were erased. response:	So, what caused the accident during the last experiment?
context: I see.\Rei, Beyond Her Heart\Rei Ayanami, age fourteen.\The first test subject chosen by following the Marduk Report.\The First Child.\She is the designated pilot for Evangelion Unit 00.\Her past has been eradicated. All her personal records were erased.\So, what caused the accident during the last experiment? response:	We still don't know.
context: Rei, Beyond Her Heart\Rei Ayanami, age fourteen.\The first test subject chosen by following the Marduk Report.\The First Child.\She is the designated pilot for Evangelion Unit 00.\Her past has been eradicated. All her personal records were erased.\So, what caused the accident during the last experiment?\We still don't know. response:	However, we believe that mental instability
context: Rei Ayanami, age fourteen.\The first test subject chosen by following the Marduk Report.\The First Child.\She is the designated pilot for Evangelion Unit 00.\Her past has been eradicated. All her personal records were erased.\So, what caused the accident during the last experiment?\We still don't know.\However, we believe that mental instability response:	on the part of the pilot was a primary cause.
context: The first test subject chosen by following the Marduk Report.\The First Child.\She is the designated pilot for Evangelion Unit 00.\Her past has been eradicated. All her personal records were erased.\So, what caused the accident during the last experiment?\We still don't know.\However, we believe that mental instability\on the part of the pilot was a primary cause. response:	Mental instability? In Rei?
context: The First Child.\She is the designated pilot for Evangelion Unit 00.\Her past has been eradicated. All her personal records were erased.\So, what caused the accident during the last experiment?\We still don't know.\However, we believe that mental instability\on the part of the pilot was a primary cause.\Mental instability? In Rei? response:	Yes, her mind became much more disturbed than we had anticipated.
context: She is the designated pilot for Evangelion Unit 00.\Her past has been eradicated. All her personal records were erased.\So, what caused the accident during the last experiment?\We still don't know.\However, we believe that mental instability\on the part of the pilot was a primary cause.\Mental instability? In Rei?\Yes, her mind became much more disturbed than we had anticipated. response:	So, what did happen?
context: Her past has been eradicated. All her personal records were erased.\So, what caused the accident during the last experiment?\We still don't know.\However, we believe that mental instability\on the part of the pilot was a primary cause.\Mental instability? In Rei?\Yes, her mind became much more disturbed than we had anticipated.\So, what did happen? response:	I don't know.
context: So, what caused the accident during the last experiment?\We still don't know.\However, we believe that mental instability\on the part of the pilot was a primary cause.\Mental instability? In Rei?\Yes, her mind became much more disturbed than we had anticipated.\So, what did happen?\I don't know. response:	But she could have...
context: We still don't know.\However, we believe that mental instability\on the part of the pilot was a primary cause.\Mental instability? In Rei?\Yes, her mind became much more disturbed than we had anticipated.\So, what did happen?\I don't know.\But she could have... response:	Did something occur to you?
context: However, we believe that mental instability\on the part of the pilot was a primary cause.\Mental instability? In Rei?\Yes, her mind became much more disturbed than we had anticipated.\So, what did happen?\I don't know.\But she could have...\Did something occur to you? response:	No, that can't be it.
context: on the part of the pilot was a primary cause.\Mental instability? In Rei?\Yes, her mind became much more disturbed than we had anticipated.\So, what did happen?\I don't know.\But she could have...\Did something occur to you?\No, that can't be it. response:	The demolition of block B-3 has been completed.
context: Mental instability? In Rei?\Yes, her mind became much more disturbed than we had anticipated.\So, what did happen?\I don't know.\But she could have...\Did something occur to you?\No, that can't be it.\The demolition of block B-3 has been completed. response:	All technical department personnel
context: Yes, her mind became much more disturbed than we had anticipated.\So, what did happen?\I don't know.\But she could have...\Did something occur to you?\No, that can't be it.\The demolition of block B-3 has been completed.\All technical department personnel response:	are to submit their data to the analysis group.
context: So, what did happen?\I don't know.\But she could have...\Did something occur to you?\No, that can't be it.\The demolition of block B-3 has been completed.\All technical department personnel\are to submit their data to the analysis group. response:	So this is our enemy.
context: I don't know.\But she could have...\Did something occur to you?\No, that can't be it.\The demolition of block B-3 has been completed.\All technical department personnel\are to submit their data to the analysis group.\So this is our enemy. response:	I see. Everything except the core remains intact.
context: But she could have...\Did something occur to you?\No, that can't be it.\The demolition of block B-3 has been completed.\All technical department personnel\are to submit their data to the analysis group.\So this is our enemy.\I see. Everything except the core remains intact. response:	This is a perfect sample.
context: Did something occur to you?\No, that can't be it.\The demolition of block B-3 has been completed.\All technical department personnel\are to submit their data to the analysis group.\So this is our enemy.\I see. Everything except the core remains intact.\This is a perfect sample. response:	Thank you, this will help us a lot.
context: No, that can't be it.\The demolition of block B-3 has been completed.\All technical department personnel\are to submit their data to the analysis group.\So this is our enemy.\I see. Everything except the core remains intact.\This is a perfect sample.\Thank you, this will help us a lot. response:	So, did you find anything new?
context: The demolition of block B-3 has been completed.\All technical department personnel\are to submit their data to the analysis group.\So this is our enemy.\I see. Everything except the core remains intact.\This is a perfect sample.\Thank you, this will help us a lot.\So, did you find anything new? response:	What the heck is this?
context: All technical department personnel\are to submit their data to the analysis group.\So this is our enemy.\I see. Everything except the core remains intact.\This is a perfect sample.\Thank you, this will help us a lot.\So, did you find anything new?\What the heck is this? response:	That's the code number for cannot be analyzed.
context: are to submit their data to the analysis group.\So this is our enemy.\I see. Everything except the core remains intact.\This is a perfect sample.\Thank you, this will help us a lot.\So, did you find anything new?\What the heck is this?\That's the code number for cannot be analyzed. response:	You mean, you don't know what this is?
context: So this is our enemy.\I see. Everything except the core remains intact.\This is a perfect sample.\Thank you, this will help us a lot.\So, did you find anything new?\What the heck is this?\That's the code number for cannot be analyzed.\You mean, you don't know what this is? response:	Correct. We do know the Angel is composed of a type of matter
context: I see. Everything except the core remains intact.\This is a perfect sample.\Thank you, this will help us a lot.\So, did you find anything new?\What the heck is this?\That's the code number for cannot be analyzed.\You mean, you don't know what this is?\Correct. We do know the Angel is composed of a type of matter response:	characterized by both particulate and wave properties, like light.
context: This is a perfect sample.\Thank you, this will help us a lot.\So, did you find anything new?\What the heck is this?\That's the code number for cannot be analyzed.\You mean, you don't know what this is?\Correct. We do know the Angel is composed of a type of matter\characterized by both particulate and wave properties, like light. response:	But you've at least found its power source, haven't you?
context: Thank you, this will help us a lot.\So, did you find anything new?\What the heck is this?\That's the code number for cannot be analyzed.\You mean, you don't know what this is?\Correct. We do know the Angel is composed of a type of matter\characterized by both particulate and wave properties, like light.\But you've at least found its power source, haven't you? response:	Something like that anyway.
context: So, did you find anything new?\What the heck is this?\That's the code number for cannot be analyzed.\You mean, you don't know what this is?\Correct. We do know the Angel is composed of a type of matter\characterized by both particulate and wave properties, like light.\But you've at least found its power source, haven't you?\Something like that anyway. response:	But we haven't been able to figure out any of its operating principles.
context: What the heck is this?\That's the code number for cannot be analyzed.\You mean, you don't know what this is?\Correct. We do know the Angel is composed of a type of matter\characterized by both particulate and wave properties, like light.\But you've at least found its power source, haven't you?\Something like that anyway.\But we haven't been able to figure out any of its operating principles. response:	We've found something completely outside our experience.
