context: = LOGO START = response:	= LOGO END =
context: He's a fool that gets agitated easily.\You can just relax.\Horo...\Amarty...\Don't be stupid!\Another buy!\Just how much will it rise?\Wolf and Trustworthy God response:	It's gone up that much?
context: You can just relax.\Horo...\Amarty...\Don't be stupid!\Another buy!\Just how much will it rise?\Wolf and Trustworthy God\It's gone up that much? response:	I'm guessing it'll go up another 20 by this afternoon.
context: Horo...\Amarty...\Don't be stupid!\Another buy!\Just how much will it rise?\Wolf and Trustworthy God\It's gone up that much?\I'm guessing it'll go up another 20 by this afternoon. response:	I wish I had bought more of it instead of giving up.
context: Amarty...\Don't be stupid!\Another buy!\Just how much will it rise?\Wolf and Trustworthy God\It's gone up that much?\I'm guessing it'll go up another 20 by this afternoon.\I wish I had bought more of it instead of giving up. response:	It's still slowly rising in value, isn't it?
context: Don't be stupid!\Another buy!\Just how much will it rise?\Wolf and Trustworthy God\It's gone up that much?\I'm guessing it'll go up another 20 by this afternoon.\I wish I had bought more of it instead of giving up.\It's still slowly rising in value, isn't it? response:	If I remember right, Amarty currently has 800 silver worth of pyrite.
context: Another buy!\Just how much will it rise?\Wolf and Trustworthy God\It's gone up that much?\I'm guessing it'll go up another 20 by this afternoon.\I wish I had bought more of it instead of giving up.\It's still slowly rising in value, isn't it?\If I remember right, Amarty currently has 800 silver worth of pyrite. response:	And when it goes up another 20?
context: Just how much will it rise?\Wolf and Trustworthy God\It's gone up that much?\I'm guessing it'll go up another 20 by this afternoon.\I wish I had bought more of it instead of giving up.\It's still slowly rising in value, isn't it?\If I remember right, Amarty currently has 800 silver worth of pyrite.\And when it goes up another 20? response:	It would be 960 coins worth.
context: Wolf and Trustworthy God\It's gone up that much?\I'm guessing it'll go up another 20 by this afternoon.\I wish I had bought more of it instead of giving up.\It's still slowly rising in value, isn't it?\If I remember right, Amarty currently has 800 silver worth of pyrite.\And when it goes up another 20?\It would be 960 coins worth. response:	If that happens, he'll sell his assets on the spot,
context: It's gone up that much?\I'm guessing it'll go up another 20 by this afternoon.\I wish I had bought more of it instead of giving up.\It's still slowly rising in value, isn't it?\If I remember right, Amarty currently has 800 silver worth of pyrite.\And when it goes up another 20?\It would be 960 coins worth.\If that happens, he'll sell his assets on the spot, response:	scrape around for the remaining 40 coins,
context: I'm guessing it'll go up another 20 by this afternoon.\I wish I had bought more of it instead of giving up.\It's still slowly rising in value, isn't it?\If I remember right, Amarty currently has 800 silver worth of pyrite.\And when it goes up another 20?\It would be 960 coins worth.\If that happens, he'll sell his assets on the spot,\scrape around for the remaining 40 coins, response:	and definitively seal the contract.
context: I wish I had bought more of it instead of giving up.\It's still slowly rising in value, isn't it?\If I remember right, Amarty currently has 800 silver worth of pyrite.\And when it goes up another 20?\It would be 960 coins worth.\If that happens, he'll sell his assets on the spot,\scrape around for the remaining 40 coins,\and definitively seal the contract. response:	All before the poison of selling on credit takes effect.
context: It's still slowly rising in value, isn't it?\If I remember right, Amarty currently has 800 silver worth of pyrite.\And when it goes up another 20?\It would be 960 coins worth.\If that happens, he'll sell his assets on the spot,\scrape around for the remaining 40 coins,\and definitively seal the contract.\All before the poison of selling on credit takes effect. response:	The poison of selling on credit?
context: If I remember right, Amarty currently has 800 silver worth of pyrite.\And when it goes up another 20?\It would be 960 coins worth.\If that happens, he'll sell his assets on the spot,\scrape around for the remaining 40 coins,\and definitively seal the contract.\All before the poison of selling on credit takes effect.\The poison of selling on credit? response:	Still nothing?
context: And when it goes up another 20?\It would be 960 coins worth.\If that happens, he'll sell his assets on the spot,\scrape around for the remaining 40 coins,\and definitively seal the contract.\All before the poison of selling on credit takes effect.\The poison of selling on credit?\Still nothing? response:	Where's Deanna's assistant?
context: It would be 960 coins worth.\If that happens, he'll sell his assets on the spot,\scrape around for the remaining 40 coins,\and definitively seal the contract.\All before the poison of selling on credit takes effect.\The poison of selling on credit?\Still nothing?\Where's Deanna's assistant? response:	If she's been with Amarty this whole time, Horo may have attained quite a lot of information.
context: If that happens, he'll sell his assets on the spot,\scrape around for the remaining 40 coins,\and definitively seal the contract.\All before the poison of selling on credit takes effect.\The poison of selling on credit?\Still nothing?\Where's Deanna's assistant?\If she's been with Amarty this whole time, Horo may have attained quite a lot of information. response:	No way!
context: scrape around for the remaining 40 coins,\and definitively seal the contract.\All before the poison of selling on credit takes effect.\The poison of selling on credit?\Still nothing?\Where's Deanna's assistant?\If she's been with Amarty this whole time, Horo may have attained quite a lot of information.\No way! response:	This is it!
context: and definitively seal the contract.\All before the poison of selling on credit takes effect.\The poison of selling on credit?\Still nothing?\Where's Deanna's assistant?\If she's been with Amarty this whole time, Horo may have attained quite a lot of information.\No way!\This is it! response:	To think it'd come this far.
context: All before the poison of selling on credit takes effect.\The poison of selling on credit?\Still nothing?\Where's Deanna's assistant?\If she's been with Amarty this whole time, Horo may have attained quite a lot of information.\No way!\This is it!\To think it'd come this far. response:	No, it'll still go up!
context: The poison of selling on credit?\Still nothing?\Where's Deanna's assistant?\If she's been with Amarty this whole time, Horo may have attained quite a lot of information.\No way!\This is it!\To think it'd come this far.\No, it'll still go up! response:	This is bad...
context: Still nothing?\Where's Deanna's assistant?\If she's been with Amarty this whole time, Horo may have attained quite a lot of information.\No way!\This is it!\To think it'd come this far.\No, it'll still go up!\This is bad... response:	The one who made a deal with Deanna must have been Amarty after all!
context: Where's Deanna's assistant?\If she's been with Amarty this whole time, Horo may have attained quite a lot of information.\No way!\This is it!\To think it'd come this far.\No, it'll still go up!\This is bad...\The one who made a deal with Deanna must have been Amarty after all! response:	But...
context: If she's been with Amarty this whole time, Horo may have attained quite a lot of information.\No way!\This is it!\To think it'd come this far.\No, it'll still go up!\This is bad...\The one who made a deal with Deanna must have been Amarty after all!\But... response:	even if Amarty wins, Lawrence gets paid, right?
context: No way!\This is it!\To think it'd come this far.\No, it'll still go up!\This is bad...\The one who made a deal with Deanna must have been Amarty after all!\But...\even if Amarty wins, Lawrence gets paid, right? response:	That's right.
context: This is it!\To think it'd come this far.\No, it'll still go up!\This is bad...\The one who made a deal with Deanna must have been Amarty after all!\But...\even if Amarty wins, Lawrence gets paid, right?\That's right. response:	So as a merchant, it would be a win for him.
context: To think it'd come this far.\No, it'll still go up!\This is bad...\The one who made a deal with Deanna must have been Amarty after all!\But...\even if Amarty wins, Lawrence gets paid, right?\That's right.\So as a merchant, it would be a win for him. response:	But it's also a huge loss.
context: No, it'll still go up!\This is bad...\The one who made a deal with Deanna must have been Amarty after all!\But...\even if Amarty wins, Lawrence gets paid, right?\That's right.\So as a merchant, it would be a win for him.\But it's also a huge loss. response:	Because no matter how much he pays, he'll never be able to buy it back.
context: This is bad...\The one who made a deal with Deanna must have been Amarty after all!\But...\even if Amarty wins, Lawrence gets paid, right?\That's right.\So as a merchant, it would be a win for him.\But it's also a huge loss.\Because no matter how much he pays, he'll never be able to buy it back. response:	Pyrite?
context: The one who made a deal with Deanna must have been Amarty after all!\But...\even if Amarty wins, Lawrence gets paid, right?\That's right.\So as a merchant, it would be a win for him.\But it's also a huge loss.\Because no matter how much he pays, he'll never be able to buy it back.\Pyrite? response:	Are you after the alchemists' stockpile?
context: But...\even if Amarty wins, Lawrence gets paid, right?\That's right.\So as a merchant, it would be a win for him.\But it's also a huge loss.\Because no matter how much he pays, he'll never be able to buy it back.\Pyrite?\Are you after the alchemists' stockpile? response:	Didn't you make the contract after finding a buyer?
context: even if Amarty wins, Lawrence gets paid, right?\That's right.\So as a merchant, it would be a win for him.\But it's also a huge loss.\Because no matter how much he pays, he'll never be able to buy it back.\Pyrite?\Are you after the alchemists' stockpile?\Didn't you make the contract after finding a buyer? response:	Unfortunately I didn't have the time.
context: That's right.\So as a merchant, it would be a win for him.\But it's also a huge loss.\Because no matter how much he pays, he'll never be able to buy it back.\Pyrite?\Are you after the alchemists' stockpile?\Didn't you make the contract after finding a buyer?\Unfortunately I didn't have the time. response:	Someone has already bought some.
context: So as a merchant, it would be a win for him.\But it's also a huge loss.\Because no matter how much he pays, he'll never be able to buy it back.\Pyrite?\Are you after the alchemists' stockpile?\Didn't you make the contract after finding a buyer?\Unfortunately I didn't have the time.\Someone has already bought some. response:	I'll handle the negotiations.
context: But it's also a huge loss.\Because no matter how much he pays, he'll never be able to buy it back.\Pyrite?\Are you after the alchemists' stockpile?\Didn't you make the contract after finding a buyer?\Unfortunately I didn't have the time.\Someone has already bought some.\I'll handle the negotiations. response:	Where will I be able to contact you tomorrow?
context: Because no matter how much he pays, he'll never be able to buy it back.\Pyrite?\Are you after the alchemists' stockpile?\Didn't you make the contract after finding a buyer?\Unfortunately I didn't have the time.\Someone has already bought some.\I'll handle the negotiations.\Where will I be able to contact you tomorrow? response:	In front of the mineral merchant's stall at the marketplace.
context: Pyrite?\Are you after the alchemists' stockpile?\Didn't you make the contract after finding a buyer?\Unfortunately I didn't have the time.\Someone has already bought some.\I'll handle the negotiations.\Where will I be able to contact you tomorrow?\In front of the mineral merchant's stall at the marketplace. response:	No good, huh?
context: Are you after the alchemists' stockpile?\Didn't you make the contract after finding a buyer?\Unfortunately I didn't have the time.\Someone has already bought some.\I'll handle the negotiations.\Where will I be able to contact you tomorrow?\In front of the mineral merchant's stall at the marketplace.\No good, huh? response:	Another buy!
context: Didn't you make the contract after finding a buyer?\Unfortunately I didn't have the time.\Someone has already bought some.\I'll handle the negotiations.\Where will I be able to contact you tomorrow?\In front of the mineral merchant's stall at the marketplace.\No good, huh?\Another buy! response:	You're going to trade me for 1000 silver, right?
context: Unfortunately I didn't have the time.\Someone has already bought some.\I'll handle the negotiations.\Where will I be able to contact you tomorrow?\In front of the mineral merchant's stall at the marketplace.\No good, huh?\Another buy!\You're going to trade me for 1000 silver, right? response:	Say something!
context: Someone has already bought some.\I'll handle the negotiations.\Where will I be able to contact you tomorrow?\In front of the mineral merchant's stall at the marketplace.\No good, huh?\Another buy!\You're going to trade me for 1000 silver, right?\Say something! response:	He's looking for her as well?
context: I'll handle the negotiations.\Where will I be able to contact you tomorrow?\In front of the mineral merchant's stall at the marketplace.\No good, huh?\Another buy!\You're going to trade me for 1000 silver, right?\Say something!\He's looking for her as well? response:	A sale!
context: Where will I be able to contact you tomorrow?\In front of the mineral merchant's stall at the marketplace.\No good, huh?\Another buy!\You're going to trade me for 1000 silver, right?\Say something!\He's looking for her as well?\A sale! response:	Is that Amarty?
context: In front of the mineral merchant's stall at the marketplace.\No good, huh?\Another buy!\You're going to trade me for 1000 silver, right?\Say something!\He's looking for her as well?\A sale!\Is that Amarty? response:	Excuse me!
context: No good, huh?\Another buy!\You're going to trade me for 1000 silver, right?\Say something!\He's looking for her as well?\A sale!\Is that Amarty?\Excuse me! response:	Let me through please!
context: Another buy!\You're going to trade me for 1000 silver, right?\Say something!\He's looking for her as well?\A sale!\Is that Amarty?\Excuse me!\Let me through please! response:	U-Um...
context: You're going to trade me for 1000 silver, right?\Say something!\He's looking for her as well?\A sale!\Is that Amarty?\Excuse me!\Let me through please!\U-Um... response:	It wasn't him?
context: Say something!\He's looking for her as well?\A sale!\Is that Amarty?\Excuse me!\Let me through please!\U-Um...\It wasn't him? response:	Another buy!
context: He's looking for her as well?\A sale!\Is that Amarty?\Excuse me!\Let me through please!\U-Um...\It wasn't him?\Another buy! response:	It's going fast.
context: A sale!\Is that Amarty?\Excuse me!\Let me through please!\U-Um...\It wasn't him?\Another buy!\It's going fast. response:	Are things going to start moving now?
context: Is that Amarty?\Excuse me!\Let me through please!\U-Um...\It wasn't him?\Another buy!\It's going fast.\Are things going to start moving now? response:	Time to sell?
context: Excuse me!\Let me through please!\U-Um...\It wasn't him?\Another buy!\It's going fast.\Are things going to start moving now?\Time to sell? response:	No, buying's still the way to go.
context: Let me through please!\U-Um...\It wasn't him?\Another buy!\It's going fast.\Are things going to start moving now?\Time to sell?\No, buying's still the way to go. response:	Horo!
context: U-Um...\It wasn't him?\Another buy!\It's going fast.\Are things going to start moving now?\Time to sell?\No, buying's still the way to go.\Horo! response:	Oh, it's you.
context: It wasn't him?\Another buy!\It's going fast.\Are things going to start moving now?\Time to sell?\No, buying's still the way to go.\Horo!\Oh, it's you. response:	S-Sorry.
context: Another buy!\It's going fast.\Are things going to start moving now?\Time to sell?\No, buying's still the way to go.\Horo!\Oh, it's you.\S-Sorry. response:	There's a patron at the store saying he'd like to pay for barley in stones.
context: It's going fast.\Are things going to start moving now?\Time to sell?\No, buying's still the way to go.\Horo!\Oh, it's you.\S-Sorry.\There's a patron at the store saying he'd like to pay for barley in stones. response:	How much?
context: Are things going to start moving now?\Time to sell?\No, buying's still the way to go.\Horo!\Oh, it's you.\S-Sorry.\There's a patron at the store saying he'd like to pay for barley in stones.\How much? response:	250 coins worth.
context: Time to sell?\No, buying's still the way to go.\Horo!\Oh, it's you.\S-Sorry.\There's a patron at the store saying he'd like to pay for barley in stones.\How much?\250 coins worth. response:	Be as quick as possible.
context: No, buying's still the way to go.\Horo!\Oh, it's you.\S-Sorry.\There's a patron at the store saying he'd like to pay for barley in stones.\How much?\250 coins worth.\Be as quick as possible. response:	Yes.
context: Horo!\Oh, it's you.\S-Sorry.\There's a patron at the store saying he'd like to pay for barley in stones.\How much?\250 coins worth.\Be as quick as possible.\Yes. response:	A sale!
context: Oh, it's you.\S-Sorry.\There's a patron at the store saying he'd like to pay for barley in stones.\How much?\250 coins worth.\Be as quick as possible.\Yes.\A sale! response:	No, I need this to rise more.
context: S-Sorry.\There's a patron at the store saying he'd like to pay for barley in stones.\How much?\250 coins worth.\Be as quick as possible.\Yes.\A sale!\No, I need this to rise more. response:	Amarty bought 500 coins worth of pyrite from Lawrence.
context: There's a patron at the store saying he'd like to pay for barley in stones.\How much?\250 coins worth.\Be as quick as possible.\Yes.\A sale!\No, I need this to rise more.\Amarty bought 500 coins worth of pyrite from Lawrence. response:	Not in real goods, but with a certificate.
context: How much?\250 coins worth.\Be as quick as possible.\Yes.\A sale!\No, I need this to rise more.\Amarty bought 500 coins worth of pyrite from Lawrence.\Not in real goods, but with a certificate. response:	The goods change hands this evening.
context: 250 coins worth.\Be as quick as possible.\Yes.\A sale!\No, I need this to rise more.\Amarty bought 500 coins worth of pyrite from Lawrence.\Not in real goods, but with a certificate.\The goods change hands this evening. response:	Do you know what that means?
context: Be as quick as possible.\Yes.\A sale!\No, I need this to rise more.\Amarty bought 500 coins worth of pyrite from Lawrence.\Not in real goods, but with a certificate.\The goods change hands this evening.\Do you know what that means? response:	If the price looks like it'll rise, the certificate will sell,
context: Yes.\A sale!\No, I need this to rise more.\Amarty bought 500 coins worth of pyrite from Lawrence.\Not in real goods, but with a certificate.\The goods change hands this evening.\Do you know what that means?\If the price looks like it'll rise, the certificate will sell, response:	but if the price looks like it'll drop, it probably won't sell.
context: A sale!\No, I need this to rise more.\Amarty bought 500 coins worth of pyrite from Lawrence.\Not in real goods, but with a certificate.\The goods change hands this evening.\Do you know what that means?\If the price looks like it'll rise, the certificate will sell,\but if the price looks like it'll drop, it probably won't sell. response:	Exactly.
context: No, I need this to rise more.\Amarty bought 500 coins worth of pyrite from Lawrence.\Not in real goods, but with a certificate.\The goods change hands this evening.\Do you know what that means?\If the price looks like it'll rise, the certificate will sell,\but if the price looks like it'll drop, it probably won't sell.\Exactly. response:	Nobody would deal in something so dangerous.
context: Amarty bought 500 coins worth of pyrite from Lawrence.\Not in real goods, but with a certificate.\The goods change hands this evening.\Do you know what that means?\If the price looks like it'll rise, the certificate will sell,\but if the price looks like it'll drop, it probably won't sell.\Exactly.\Nobody would deal in something so dangerous. response:	If the pyrite returns to its original value as a rock,
context: Not in real goods, but with a certificate.\The goods change hands this evening.\Do you know what that means?\If the price looks like it'll rise, the certificate will sell,\but if the price looks like it'll drop, it probably won't sell.\Exactly.\Nobody would deal in something so dangerous.\If the pyrite returns to its original value as a rock, response:	the 500 silver certificate becomes as worthless as garbage.
context: The goods change hands this evening.\Do you know what that means?\If the price looks like it'll rise, the certificate will sell,\but if the price looks like it'll drop, it probably won't sell.\Exactly.\Nobody would deal in something so dangerous.\If the pyrite returns to its original value as a rock,\the 500 silver certificate becomes as worthless as garbage. response:	The person with the certificate at the end loses.
context: Do you know what that means?\If the price looks like it'll rise, the certificate will sell,\but if the price looks like it'll drop, it probably won't sell.\Exactly.\Nobody would deal in something so dangerous.\If the pyrite returns to its original value as a rock,\the 500 silver certificate becomes as worthless as garbage.\The person with the certificate at the end loses. response:	Right.
context: If the price looks like it'll rise, the certificate will sell,\but if the price looks like it'll drop, it probably won't sell.\Exactly.\Nobody would deal in something so dangerous.\If the pyrite returns to its original value as a rock,\the 500 silver certificate becomes as worthless as garbage.\The person with the certificate at the end loses.\Right. response:	That's the poison of buying on credit.
context: but if the price looks like it'll drop, it probably won't sell.\Exactly.\Nobody would deal in something so dangerous.\If the pyrite returns to its original value as a rock,\the 500 silver certificate becomes as worthless as garbage.\The person with the certificate at the end loses.\Right.\That's the poison of buying on credit. response:	Horo?
context: Exactly.\Nobody would deal in something so dangerous.\If the pyrite returns to its original value as a rock,\the 500 silver certificate becomes as worthless as garbage.\The person with the certificate at the end loses.\Right.\That's the poison of buying on credit.\Horo? response:	Horo?
context: Nobody would deal in something so dangerous.\If the pyrite returns to its original value as a rock,\the 500 silver certificate becomes as worthless as garbage.\The person with the certificate at the end loses.\Right.\That's the poison of buying on credit.\Horo?\Horo? response:	Hurry, Lanto.
