context: This baby came very strangely. response:	In just a few days, it's ready for birth.
context: You're stealing from us? I'll beat you to death.\Stop!\That... she's from Kunlun Mountain.\Kunlun Mountain!\Run!\Don't you know to retaliate when they hit you?\If I retaliate, they beat me even more.\So you'd just let them beat you to death? response:	They won't be able to beat me to death.
context: Stop!\That... she's from Kunlun Mountain.\Kunlun Mountain!\Run!\Don't you know to retaliate when they hit you?\If I retaliate, they beat me even more.\So you'd just let them beat you to death?\They won't be able to beat me to death. response:	Hurry and go home.
context: That... she's from Kunlun Mountain.\Kunlun Mountain!\Run!\Don't you know to retaliate when they hit you?\If I retaliate, they beat me even more.\So you'd just let them beat you to death?\They won't be able to beat me to death.\Hurry and go home. response:	I don't have a home.
context: Kunlun Mountain!\Run!\Don't you know to retaliate when they hit you?\If I retaliate, they beat me even more.\So you'd just let them beat you to death?\They won't be able to beat me to death.\Hurry and go home.\I don't have a home. response:	I don't know who my mother and father are.
context: Run!\Don't you know to retaliate when they hit you?\If I retaliate, they beat me even more.\So you'd just let them beat you to death?\They won't be able to beat me to death.\Hurry and go home.\I don't have a home.\I don't know who my mother and father are. response:	I'm here at Kunlun Mountain for the divine energy.
context: Don't you know to retaliate when they hit you?\If I retaliate, they beat me even more.\So you'd just let them beat you to death?\They won't be able to beat me to death.\Hurry and go home.\I don't have a home.\I don't know who my mother and father are.\I'm here at Kunlun Mountain for the divine energy. response:	I trained for hundreds of years to get a human form.
context: If I retaliate, they beat me even more.\So you'd just let them beat you to death?\They won't be able to beat me to death.\Hurry and go home.\I don't have a home.\I don't know who my mother and father are.\I'm here at Kunlun Mountain for the divine energy.\I trained for hundreds of years to get a human form. response:	If you don't have a family, how about I find you a new family?
context: So you'd just let them beat you to death?\They won't be able to beat me to death.\Hurry and go home.\I don't have a home.\I don't know who my mother and father are.\I'm here at Kunlun Mountain for the divine energy.\I trained for hundreds of years to get a human form.\If you don't have a family, how about I find you a new family? response:	A new family?
context: They won't be able to beat me to death.\Hurry and go home.\I don't have a home.\I don't know who my mother and father are.\I'm here at Kunlun Mountain for the divine energy.\I trained for hundreds of years to get a human form.\If you don't have a family, how about I find you a new family?\A new family? response:	It'll be in a beautiful place.
context: Hurry and go home.\I don't have a home.\I don't know who my mother and father are.\I'm here at Kunlun Mountain for the divine energy.\I trained for hundreds of years to get a human form.\If you don't have a family, how about I find you a new family?\A new family?\It'll be in a beautiful place. response:	Take this bottle as a message to this person, and he will take you in.
context: I don't have a home.\I don't know who my mother and father are.\I'm here at Kunlun Mountain for the divine energy.\I trained for hundreds of years to get a human form.\If you don't have a family, how about I find you a new family?\A new family?\It'll be in a beautiful place.\Take this bottle as a message to this person, and he will take you in. response:	But she didn't tell me her name.
context: I don't know who my mother and father are.\I'm here at Kunlun Mountain for the divine energy.\I trained for hundreds of years to get a human form.\If you don't have a family, how about I find you a new family?\A new family?\It'll be in a beautiful place.\Take this bottle as a message to this person, and he will take you in.\But she didn't tell me her name. response:	She just gave me this bottle
context: I'm here at Kunlun Mountain for the divine energy.\I trained for hundreds of years to get a human form.\If you don't have a family, how about I find you a new family?\A new family?\It'll be in a beautiful place.\Take this bottle as a message to this person, and he will take you in.\But she didn't tell me her name.\She just gave me this bottle response:	and told me to come to Ten-Mile Peach Tree Woods to find Bai Zhen
context: I trained for hundreds of years to get a human form.\If you don't have a family, how about I find you a new family?\A new family?\It'll be in a beautiful place.\Take this bottle as a message to this person, and he will take you in.\But she didn't tell me her name.\She just gave me this bottle\and told me to come to Ten-Mile Peach Tree Woods to find Bai Zhen response:	and ask him to take me in.
context: If you don't have a family, how about I find you a new family?\A new family?\It'll be in a beautiful place.\Take this bottle as a message to this person, and he will take you in.\But she didn't tell me her name.\She just gave me this bottle\and told me to come to Ten-Mile Peach Tree Woods to find Bai Zhen\and ask him to take me in. response:	Ask me to take you in?
context: A new family?\It'll be in a beautiful place.\Take this bottle as a message to this person, and he will take you in.\But she didn't tell me her name.\She just gave me this bottle\and told me to come to Ten-Mile Peach Tree Woods to find Bai Zhen\and ask him to take me in.\Ask me to take you in? response:	I am yours now.
context: It'll be in a beautiful place.\Take this bottle as a message to this person, and he will take you in.\But she didn't tell me her name.\She just gave me this bottle\and told me to come to Ten-Mile Peach Tree Woods to find Bai Zhen\and ask him to take me in.\Ask me to take you in?\I am yours now. response:	I am willing to follow you for all my life.
context: Take this bottle as a message to this person, and he will take you in.\But she didn't tell me her name.\She just gave me this bottle\and told me to come to Ten-Mile Peach Tree Woods to find Bai Zhen\and ask him to take me in.\Ask me to take you in?\I am yours now.\I am willing to follow you for all my life. response:	No. I don't need that.
context: But she didn't tell me her name.\She just gave me this bottle\and told me to come to Ten-Mile Peach Tree Woods to find Bai Zhen\and ask him to take me in.\Ask me to take you in?\I am yours now.\I am willing to follow you for all my life.\No. I don't need that. response:	You won't take me in?
context: She just gave me this bottle\and told me to come to Ten-Mile Peach Tree Woods to find Bai Zhen\and ask him to take me in.\Ask me to take you in?\I am yours now.\I am willing to follow you for all my life.\No. I don't need that.\You won't take me in? response:	Don't be upset. It's not you.
context: and told me to come to Ten-Mile Peach Tree Woods to find Bai Zhen\and ask him to take me in.\Ask me to take you in?\I am yours now.\I am willing to follow you for all my life.\No. I don't need that.\You won't take me in?\Don't be upset. It's not you. response:	I've never needed a servant.
context: and ask him to take me in.\Ask me to take you in?\I am yours now.\I am willing to follow you for all my life.\No. I don't need that.\You won't take me in?\Don't be upset. It's not you.\I've never needed a servant. response:	Si Yin wants me to take you in?
context: Ask me to take you in?\I am yours now.\I am willing to follow you for all my life.\No. I don't need that.\You won't take me in?\Don't be upset. It's not you.\I've never needed a servant.\Si Yin wants me to take you in? response:	Is it because you have nowhere to go?
context: I am yours now.\I am willing to follow you for all my life.\No. I don't need that.\You won't take me in?\Don't be upset. It's not you.\I've never needed a servant.\Si Yin wants me to take you in?\Is it because you have nowhere to go? response:	I don't have a home.
context: I am willing to follow you for all my life.\No. I don't need that.\You won't take me in?\Don't be upset. It's not you.\I've never needed a servant.\Si Yin wants me to take you in?\Is it because you have nowhere to go?\I don't have a home. response:	I've always been bullied by others in my tribe.
context: No. I don't need that.\You won't take me in?\Don't be upset. It's not you.\I've never needed a servant.\Si Yin wants me to take you in?\Is it because you have nowhere to go?\I don't have a home.\I've always been bullied by others in my tribe. response:	Fortunately, High Immortal was passing by and saved me.
context: You won't take me in?\Don't be upset. It's not you.\I've never needed a servant.\Si Yin wants me to take you in?\Is it because you have nowhere to go?\I don't have a home.\I've always been bullied by others in my tribe.\Fortunately, High Immortal was passing by and saved me. response:	In that case, I'll take you with me to the Fox Den.
context: Don't be upset. It's not you.\I've never needed a servant.\Si Yin wants me to take you in?\Is it because you have nowhere to go?\I don't have a home.\I've always been bullied by others in my tribe.\Fortunately, High Immortal was passing by and saved me.\In that case, I'll take you with me to the Fox Den. response:	My mother is there.
context: I've never needed a servant.\Si Yin wants me to take you in?\Is it because you have nowhere to go?\I don't have a home.\I've always been bullied by others in my tribe.\Fortunately, High Immortal was passing by and saved me.\In that case, I'll take you with me to the Fox Den.\My mother is there. response:	She doesn't have any servants.
context: Si Yin wants me to take you in?\Is it because you have nowhere to go?\I don't have a home.\I've always been bullied by others in my tribe.\Fortunately, High Immortal was passing by and saved me.\In that case, I'll take you with me to the Fox Den.\My mother is there.\She doesn't have any servants. response:	You can stay with her.
context: Is it because you have nowhere to go?\I don't have a home.\I've always been bullied by others in my tribe.\Fortunately, High Immortal was passing by and saved me.\In that case, I'll take you with me to the Fox Den.\My mother is there.\She doesn't have any servants.\You can stay with her. response:	Thank you.
context: I don't have a home.\I've always been bullied by others in my tribe.\Fortunately, High Immortal was passing by and saved me.\In that case, I'll take you with me to the Fox Den.\My mother is there.\She doesn't have any servants.\You can stay with her.\Thank you. response:	Since Fifth Sister chose her, she can stay here.
context: I've always been bullied by others in my tribe.\Fortunately, High Immortal was passing by and saved me.\In that case, I'll take you with me to the Fox Den.\My mother is there.\She doesn't have any servants.\You can stay with her.\Thank you.\Since Fifth Sister chose her, she can stay here. response:	Mi Gu.
context: Fortunately, High Immortal was passing by and saved me.\In that case, I'll take you with me to the Fox Den.\My mother is there.\She doesn't have any servants.\You can stay with her.\Thank you.\Since Fifth Sister chose her, she can stay here.\Mi Gu. response:	Here.
context: In that case, I'll take you with me to the Fox Den.\My mother is there.\She doesn't have any servants.\You can stay with her.\Thank you.\Since Fifth Sister chose her, she can stay here.\Mi Gu.\Here. response:	I'll leave this lady to you.
context: My mother is there.\She doesn't have any servants.\You can stay with her.\Thank you.\Since Fifth Sister chose her, she can stay here.\Mi Gu.\Here.\I'll leave this lady to you. response:	When Bai Qian come back, Fox King and I plan to move out.
context: She doesn't have any servants.\You can stay with her.\Thank you.\Since Fifth Sister chose her, she can stay here.\Mi Gu.\Here.\I'll leave this lady to you.\When Bai Qian come back, Fox King and I plan to move out. response:	We'll leave this Fox Den to her.
context: You can stay with her.\Thank you.\Since Fifth Sister chose her, she can stay here.\Mi Gu.\Here.\I'll leave this lady to you.\When Bai Qian come back, Fox King and I plan to move out.\We'll leave this Fox Den to her. response:	In the future, you can look after each other here and serve Fifth Sister.
context: Thank you.\Since Fifth Sister chose her, she can stay here.\Mi Gu.\Here.\I'll leave this lady to you.\When Bai Qian come back, Fox King and I plan to move out.\We'll leave this Fox Den to her.\In the future, you can look after each other here and serve Fifth Sister. response:	Yes.
context: Since Fifth Sister chose her, she can stay here.\Mi Gu.\Here.\I'll leave this lady to you.\When Bai Qian come back, Fox King and I plan to move out.\We'll leave this Fox Den to her.\In the future, you can look after each other here and serve Fifth Sister.\Yes. response:	Follow me.
context: Mi Gu.\Here.\I'll leave this lady to you.\When Bai Qian come back, Fox King and I plan to move out.\We'll leave this Fox Den to her.\In the future, you can look after each other here and serve Fifth Sister.\Yes.\Follow me. response:	Your peach blossom is blooming well.
context: Here.\I'll leave this lady to you.\When Bai Qian come back, Fox King and I plan to move out.\We'll leave this Fox Den to her.\In the future, you can look after each other here and serve Fifth Sister.\Yes.\Follow me.\Your peach blossom is blooming well. response:	Huh?
context: I'll leave this lady to you.\When Bai Qian come back, Fox King and I plan to move out.\We'll leave this Fox Den to her.\In the future, you can look after each other here and serve Fifth Sister.\Yes.\Follow me.\Your peach blossom is blooming well.\Huh? response:	Among my five children, Zhen Zhen is the best looking one.
context: When Bai Qian come back, Fox King and I plan to move out.\We'll leave this Fox Den to her.\In the future, you can look after each other here and serve Fifth Sister.\Yes.\Follow me.\Your peach blossom is blooming well.\Huh?\Among my five children, Zhen Zhen is the best looking one. response:	If he was a girl, even Qian Qian would lose to him.
context: We'll leave this Fox Den to her.\In the future, you can look after each other here and serve Fifth Sister.\Yes.\Follow me.\Your peach blossom is blooming well.\Huh?\Among my five children, Zhen Zhen is the best looking one.\If he was a girl, even Qian Qian would lose to him. response:	Mother.
context: In the future, you can look after each other here and serve Fifth Sister.\Yes.\Follow me.\Your peach blossom is blooming well.\Huh?\Among my five children, Zhen Zhen is the best looking one.\If he was a girl, even Qian Qian would lose to him.\Mother. response:	All right, I'm going back to the Peach Tree Woods.
context: Yes.\Follow me.\Your peach blossom is blooming well.\Huh?\Among my five children, Zhen Zhen is the best looking one.\If he was a girl, even Qian Qian would lose to him.\Mother.\All right, I'm going back to the Peach Tree Woods. response:	My son has been glued to you since he was one.
context: Follow me.\Your peach blossom is blooming well.\Huh?\Among my five children, Zhen Zhen is the best looking one.\If he was a girl, even Qian Qian would lose to him.\Mother.\All right, I'm going back to the Peach Tree Woods.\My son has been glued to you since he was one. response:	You're not annoyed by it?
context: Your peach blossom is blooming well.\Huh?\Among my five children, Zhen Zhen is the best looking one.\If he was a girl, even Qian Qian would lose to him.\Mother.\All right, I'm going back to the Peach Tree Woods.\My son has been glued to you since he was one.\You're not annoyed by it? response:	Without him, I'd feel lonely.
context: Huh?\Among my five children, Zhen Zhen is the best looking one.\If he was a girl, even Qian Qian would lose to him.\Mother.\All right, I'm going back to the Peach Tree Woods.\My son has been glued to you since he was one.\You're not annoyed by it?\Without him, I'd feel lonely. response:	Oh?
context: Among my five children, Zhen Zhen is the best looking one.\If he was a girl, even Qian Qian would lose to him.\Mother.\All right, I'm going back to the Peach Tree Woods.\My son has been glued to you since he was one.\You're not annoyed by it?\Without him, I'd feel lonely.\Oh? response:	Where are all the fish?
context: If he was a girl, even Qian Qian would lose to him.\Mother.\All right, I'm going back to the Peach Tree Woods.\My son has been glued to you since he was one.\You're not annoyed by it?\Without him, I'd feel lonely.\Oh?\Where are all the fish? response:	Don't be impatient. Here.
context: Mother.\All right, I'm going back to the Peach Tree Woods.\My son has been glued to you since he was one.\You're not annoyed by it?\Without him, I'd feel lonely.\Oh?\Where are all the fish?\Don't be impatient. Here. response:	Zhe Yan. Bai Zhen.
context: All right, I'm going back to the Peach Tree Woods.\My son has been glued to you since he was one.\You're not annoyed by it?\Without him, I'd feel lonely.\Oh?\Where are all the fish?\Don't be impatient. Here.\Zhe Yan. Bai Zhen. response:	The Peach Tree Woods have been bustling the past few days.
context: My son has been glued to you since he was one.\You're not annoyed by it?\Without him, I'd feel lonely.\Oh?\Where are all the fish?\Don't be impatient. Here.\Zhe Yan. Bai Zhen.\The Peach Tree Woods have been bustling the past few days. response:	For Die Feng to have come here, there must be an urgent matter.
context: You're not annoyed by it?\Without him, I'd feel lonely.\Oh?\Where are all the fish?\Don't be impatient. Here.\Zhe Yan. Bai Zhen.\The Peach Tree Woods have been bustling the past few days.\For Die Feng to have come here, there must be an urgent matter. response:	I can't find Seventeenth.
context: Without him, I'd feel lonely.\Oh?\Where are all the fish?\Don't be impatient. Here.\Zhe Yan. Bai Zhen.\The Peach Tree Woods have been bustling the past few days.\For Die Feng to have come here, there must be an urgent matter.\I can't find Seventeenth. response:	No, it's not just Seventeenth.
context: Oh?\Where are all the fish?\Don't be impatient. Here.\Zhe Yan. Bai Zhen.\The Peach Tree Woods have been bustling the past few days.\For Die Feng to have come here, there must be an urgent matter.\I can't find Seventeenth.\No, it's not just Seventeenth. response:	I can't find Master's corpse either.
context: Where are all the fish?\Don't be impatient. Here.\Zhe Yan. Bai Zhen.\The Peach Tree Woods have been bustling the past few days.\For Die Feng to have come here, there must be an urgent matter.\I can't find Seventeenth.\No, it's not just Seventeenth.\I can't find Master's corpse either. response:	What?
context: Don't be impatient. Here.\Zhe Yan. Bai Zhen.\The Peach Tree Woods have been bustling the past few days.\For Die Feng to have come here, there must be an urgent matter.\I can't find Seventeenth.\No, it's not just Seventeenth.\I can't find Master's corpse either.\What? response:	- Qian Qian! - Qian Qian!
context: Zhe Yan. Bai Zhen.\The Peach Tree Woods have been bustling the past few days.\For Die Feng to have come here, there must be an urgent matter.\I can't find Seventeenth.\No, it's not just Seventeenth.\I can't find Master's corpse either.\What?\- Qian Qian! - Qian Qian! response:	Qian Qian!
context: The Peach Tree Woods have been bustling the past few days.\For Die Feng to have come here, there must be an urgent matter.\I can't find Seventeenth.\No, it's not just Seventeenth.\I can't find Master's corpse either.\What?\- Qian Qian! - Qian Qian!\Qian Qian! response:	- Qian Qian! - Qian Qian!
context: For Die Feng to have come here, there must be an urgent matter.\I can't find Seventeenth.\No, it's not just Seventeenth.\I can't find Master's corpse either.\What?\- Qian Qian! - Qian Qian!\Qian Qian!\- Qian Qian! - Qian Qian! response:	Silly girl! She was seriously injured from the war.
context: I can't find Seventeenth.\No, it's not just Seventeenth.\I can't find Master's corpse either.\What?\- Qian Qian! - Qian Qian!\Qian Qian!\- Qian Qian! - Qian Qian!\Silly girl! She was seriously injured from the war. response:	How could she treat her life so carelessly like this?
