context: Yes, I'm on my way. response:	Yes, it'll be fine.
context: That's on their negligent Lord.\Still, you're an oddball, aren't you Irvin?\Being the Kreische family's chamberlain,\I didn't think you'd leave your post to serve a fledgling mage like me.\If I hadn't stopped you, Lady Siluca, I might've saved my master.\I left my post with the Kreische family to atone for that.\Lady Siluca.\You on the carriage, halt! response:	We know there's a mage riding in that carriage.
context: Still, you're an oddball, aren't you Irvin?\Being the Kreische family's chamberlain,\I didn't think you'd leave your post to serve a fledgling mage like me.\If I hadn't stopped you, Lady Siluca, I might've saved my master.\I left my post with the Kreische family to atone for that.\Lady Siluca.\You on the carriage, halt!\We know there's a mage riding in that carriage. response:	The one entering into a contract with Vilar, the Count of Artuk.
context: Being the Kreische family's chamberlain,\I didn't think you'd leave your post to serve a fledgling mage like me.\If I hadn't stopped you, Lady Siluca, I might've saved my master.\I left my post with the Kreische family to atone for that.\Lady Siluca.\You on the carriage, halt!\We know there's a mage riding in that carriage.\The one entering into a contract with Vilar, the Count of Artuk. response:	What do you want?
context: I didn't think you'd leave your post to serve a fledgling mage like me.\If I hadn't stopped you, Lady Siluca, I might've saved my master.\I left my post with the Kreische family to atone for that.\Lady Siluca.\You on the carriage, halt!\We know there's a mage riding in that carriage.\The one entering into a contract with Vilar, the Count of Artuk.\What do you want? response:	Our Lord is a member of the Federation.
context: If I hadn't stopped you, Lady Siluca, I might've saved my master.\I left my post with the Kreische family to atone for that.\Lady Siluca.\You on the carriage, halt!\We know there's a mage riding in that carriage.\The one entering into a contract with Vilar, the Count of Artuk.\What do you want?\Our Lord is a member of the Federation. response:	Since the Count of Artuk is with the Alliance,
context: I left my post with the Kreische family to atone for that.\Lady Siluca.\You on the carriage, halt!\We know there's a mage riding in that carriage.\The one entering into a contract with Vilar, the Count of Artuk.\What do you want?\Our Lord is a member of the Federation.\Since the Count of Artuk is with the Alliance, response:	we can't allow mages under contract with him to pass.
context: Lady Siluca.\You on the carriage, halt!\We know there's a mage riding in that carriage.\The one entering into a contract with Vilar, the Count of Artuk.\What do you want?\Our Lord is a member of the Federation.\Since the Count of Artuk is with the Alliance,\we can't allow mages under contract with him to pass. response:	Attacking a mage before her contract begins is a violation of the treaty.
context: You on the carriage, halt!\We know there's a mage riding in that carriage.\The one entering into a contract with Vilar, the Count of Artuk.\What do you want?\Our Lord is a member of the Federation.\Since the Count of Artuk is with the Alliance,\we can't allow mages under contract with him to pass.\Attacking a mage before her contract begins is a violation of the treaty. response:	If the contract is set, then she's considered our enemy!
context: We know there's a mage riding in that carriage.\The one entering into a contract with Vilar, the Count of Artuk.\What do you want?\Our Lord is a member of the Federation.\Since the Count of Artuk is with the Alliance,\we can't allow mages under contract with him to pass.\Attacking a mage before her contract begins is a violation of the treaty.\If the contract is set, then she's considered our enemy! response:	I hear you loud and clear.
context: The one entering into a contract with Vilar, the Count of Artuk.\What do you want?\Our Lord is a member of the Federation.\Since the Count of Artuk is with the Alliance,\we can't allow mages under contract with him to pass.\Attacking a mage before her contract begins is a violation of the treaty.\If the contract is set, then she's considered our enemy!\I hear you loud and clear. response:	Lady Siluca...
context: What do you want?\Our Lord is a member of the Federation.\Since the Count of Artuk is with the Alliance,\we can't allow mages under contract with him to pass.\Attacking a mage before her contract begins is a violation of the treaty.\If the contract is set, then she's considered our enemy!\I hear you loud and clear.\Lady Siluca... response:	If it's come to this, so be it.
context: Our Lord is a member of the Federation.\Since the Count of Artuk is with the Alliance,\we can't allow mages under contract with him to pass.\Attacking a mage before her contract begins is a violation of the treaty.\If the contract is set, then she's considered our enemy!\I hear you loud and clear.\Lady Siluca...\If it's come to this, so be it. response:	You can have your way with me.
context: Since the Count of Artuk is with the Alliance,\we can't allow mages under contract with him to pass.\Attacking a mage before her contract begins is a violation of the treaty.\If the contract is set, then she's considered our enemy!\I hear you loud and clear.\Lady Siluca...\If it's come to this, so be it.\You can have your way with me. response:	- So eager! - Oh, really?
context: we can't allow mages under contract with him to pass.\Attacking a mage before her contract begins is a violation of the treaty.\If the contract is set, then she's considered our enemy!\I hear you loud and clear.\Lady Siluca...\If it's come to this, so be it.\You can have your way with me.\- So eager! - Oh, really? response:	Hold up!
context: Attacking a mage before her contract begins is a violation of the treaty.\If the contract is set, then she's considered our enemy!\I hear you loud and clear.\Lady Siluca...\If it's come to this, so be it.\You can have your way with me.\- So eager! - Oh, really?\Hold up! response:	Hey, who the hell are you?
context: If the contract is set, then she's considered our enemy!\I hear you loud and clear.\Lady Siluca...\If it's come to this, so be it.\You can have your way with me.\- So eager! - Oh, really?\Hold up!\Hey, who the hell are you? response:	Seriously, who the hell are you?
context: I hear you loud and clear.\Lady Siluca...\If it's come to this, so be it.\You can have your way with me.\- So eager! - Oh, really?\Hold up!\Hey, who the hell are you?\Seriously, who the hell are you? response:	My name is Theo!
context: Lady Siluca...\If it's come to this, so be it.\You can have your way with me.\- So eager! - Oh, really?\Hold up!\Hey, who the hell are you?\Seriously, who the hell are you?\My name is Theo! response:	Have you no sense, attacking an innocent on the road?
context: If it's come to this, so be it.\You can have your way with me.\- So eager! - Oh, really?\Hold up!\Hey, who the hell are you?\Seriously, who the hell are you?\My name is Theo!\Have you no sense, attacking an innocent on the road? response:	A Crest?
context: You can have your way with me.\- So eager! - Oh, really?\Hold up!\Hey, who the hell are you?\Seriously, who the hell are you?\My name is Theo!\Have you no sense, attacking an innocent on the road?\A Crest? response:	That youth appears to be a Lord.
context: - So eager! - Oh, really?\Hold up!\Hey, who the hell are you?\Seriously, who the hell are you?\My name is Theo!\Have you no sense, attacking an innocent on the road?\A Crest?\That youth appears to be a Lord. response:	Yes.
context: Hold up!\Hey, who the hell are you?\Seriously, who the hell are you?\My name is Theo!\Have you no sense, attacking an innocent on the road?\A Crest?\That youth appears to be a Lord.\Yes. response:	But at that power level, he can't even call himself a Knight.
context: Hey, who the hell are you?\Seriously, who the hell are you?\My name is Theo!\Have you no sense, attacking an innocent on the road?\A Crest?\That youth appears to be a Lord.\Yes.\But at that power level, he can't even call himself a Knight. response:	Are you a Lord from the Alliance?
context: Seriously, who the hell are you?\My name is Theo!\Have you no sense, attacking an innocent on the road?\A Crest?\That youth appears to be a Lord.\Yes.\But at that power level, he can't even call himself a Knight.\Are you a Lord from the Alliance? response:	I belong to neither the Alliance nor the Federation.
context: My name is Theo!\Have you no sense, attacking an innocent on the road?\A Crest?\That youth appears to be a Lord.\Yes.\But at that power level, he can't even call himself a Knight.\Are you a Lord from the Alliance?\I belong to neither the Alliance nor the Federation. response:	What should we do, Captain?
context: Have you no sense, attacking an innocent on the road?\A Crest?\That youth appears to be a Lord.\Yes.\But at that power level, he can't even call himself a Knight.\Are you a Lord from the Alliance?\I belong to neither the Alliance nor the Federation.\What should we do, Captain? response:	The opposition has both a mage and a Lord!
context: A Crest?\That youth appears to be a Lord.\Yes.\But at that power level, he can't even call himself a Knight.\Are you a Lord from the Alliance?\I belong to neither the Alliance nor the Federation.\What should we do, Captain?\The opposition has both a mage and a Lord! response:	They say they can take on a hundred opponents, single-handedly.
context: That youth appears to be a Lord.\Yes.\But at that power level, he can't even call himself a Knight.\Are you a Lord from the Alliance?\I belong to neither the Alliance nor the Federation.\What should we do, Captain?\The opposition has both a mage and a Lord!\They say they can take on a hundred opponents, single-handedly. response:	Nothing but rumors!
context: Yes.\But at that power level, he can't even call himself a Knight.\Are you a Lord from the Alliance?\I belong to neither the Alliance nor the Federation.\What should we do, Captain?\The opposition has both a mage and a Lord!\They say they can take on a hundred opponents, single-handedly.\Nothing but rumors! response:	I was promised a Crest from our Lord if we succeed here.
context: But at that power level, he can't even call himself a Knight.\Are you a Lord from the Alliance?\I belong to neither the Alliance nor the Federation.\What should we do, Captain?\The opposition has both a mage and a Lord!\They say they can take on a hundred opponents, single-handedly.\Nothing but rumors!\I was promised a Crest from our Lord if we succeed here. response:	And once I have a Crest, even I'll have a shot at becoming a Lord!
context: Are you a Lord from the Alliance?\I belong to neither the Alliance nor the Federation.\What should we do, Captain?\The opposition has both a mage and a Lord!\They say they can take on a hundred opponents, single-handedly.\Nothing but rumors!\I was promised a Crest from our Lord if we succeed here.\And once I have a Crest, even I'll have a shot at becoming a Lord! response:	Crests are for protecting the people from the Chaos!
context: I belong to neither the Alliance nor the Federation.\What should we do, Captain?\The opposition has both a mage and a Lord!\They say they can take on a hundred opponents, single-handedly.\Nothing but rumors!\I was promised a Crest from our Lord if we succeed here.\And once I have a Crest, even I'll have a shot at becoming a Lord!\Crests are for protecting the people from the Chaos! response:	If Crests didn't fall into the hands of ill-intentioned people like you,
context: What should we do, Captain?\The opposition has both a mage and a Lord!\They say they can take on a hundred opponents, single-handedly.\Nothing but rumors!\I was promised a Crest from our Lord if we succeed here.\And once I have a Crest, even I'll have a shot at becoming a Lord!\Crests are for protecting the people from the Chaos!\If Crests didn't fall into the hands of ill-intentioned people like you, response:	there would be no meaningless wars!
context: The opposition has both a mage and a Lord!\They say they can take on a hundred opponents, single-handedly.\Nothing but rumors!\I was promised a Crest from our Lord if we succeed here.\And once I have a Crest, even I'll have a shot at becoming a Lord!\Crests are for protecting the people from the Chaos!\If Crests didn't fall into the hands of ill-intentioned people like you,\there would be no meaningless wars! response:	Retreat at once!
context: They say they can take on a hundred opponents, single-handedly.\Nothing but rumors!\I was promised a Crest from our Lord if we succeed here.\And once I have a Crest, even I'll have a shot at becoming a Lord!\Crests are for protecting the people from the Chaos!\If Crests didn't fall into the hands of ill-intentioned people like you,\there would be no meaningless wars!\Retreat at once! response:	If you refuse, I'll show you no mercy!
context: Nothing but rumors!\I was promised a Crest from our Lord if we succeed here.\And once I have a Crest, even I'll have a shot at becoming a Lord!\Crests are for protecting the people from the Chaos!\If Crests didn't fall into the hands of ill-intentioned people like you,\there would be no meaningless wars!\Retreat at once!\If you refuse, I'll show you no mercy! response:	What did you say, brat?!
context: I was promised a Crest from our Lord if we succeed here.\And once I have a Crest, even I'll have a shot at becoming a Lord!\Crests are for protecting the people from the Chaos!\If Crests didn't fall into the hands of ill-intentioned people like you,\there would be no meaningless wars!\Retreat at once!\If you refuse, I'll show you no mercy!\What did you say, brat?! response:	If he gets into trouble, help him out. I'd like to see what hes capable of.
context: And once I have a Crest, even I'll have a shot at becoming a Lord!\Crests are for protecting the people from the Chaos!\If Crests didn't fall into the hands of ill-intentioned people like you,\there would be no meaningless wars!\Retreat at once!\If you refuse, I'll show you no mercy!\What did you say, brat?!\If he gets into trouble, help him out. I'd like to see what hes capable of. response:	Dammit!
context: Crests are for protecting the people from the Chaos!\If Crests didn't fall into the hands of ill-intentioned people like you,\there would be no meaningless wars!\Retreat at once!\If you refuse, I'll show you no mercy!\What did you say, brat?!\If he gets into trouble, help him out. I'd like to see what hes capable of.\Dammit! response:	He's just one man! Surround him!
context: If Crests didn't fall into the hands of ill-intentioned people like you,\there would be no meaningless wars!\Retreat at once!\If you refuse, I'll show you no mercy!\What did you say, brat?!\If he gets into trouble, help him out. I'd like to see what hes capable of.\Dammit!\He's just one man! Surround him! response:	You'll pay for this!
context: there would be no meaningless wars!\Retreat at once!\If you refuse, I'll show you no mercy!\What did you say, brat?!\If he gets into trouble, help him out. I'd like to see what hes capable of.\Dammit!\He's just one man! Surround him!\You'll pay for this! response:	Well?
context: Retreat at once!\If you refuse, I'll show you no mercy!\What did you say, brat?!\If he gets into trouble, help him out. I'd like to see what hes capable of.\Dammit!\He's just one man! Surround him!\You'll pay for this!\Well? response:	No one would accuse him of having good sword skills.
context: If you refuse, I'll show you no mercy!\What did you say, brat?!\If he gets into trouble, help him out. I'd like to see what hes capable of.\Dammit!\He's just one man! Surround him!\You'll pay for this!\Well?\No one would accuse him of having good sword skills. response:	But, I wouldn't say that he doesn't have potential.
