context: This is... Earth?! response:	It's hovering!
context: Is there another one of'em inside?\We wish you to lower your weapons.\I am Ridget, the Fleet Commander's Aide.\Who are you?\She's asking for your name and affiliation.\Understood.\I am Ensign Ledo, pilot of the anti-Hideauze annihilation weapon, Chamber.\Ledo... response:	Annihilation weapon?
context: We wish you to lower your weapons.\I am Ridget, the Fleet Commander's Aide.\Who are you?\She's asking for your name and affiliation.\Understood.\I am Ensign Ledo, pilot of the anti-Hideauze annihilation weapon, Chamber.\Ledo...\Annihilation weapon? response:	What the hell is Hideauze?!
context: I am Ridget, the Fleet Commander's Aide.\Who are you?\She's asking for your name and affiliation.\Understood.\I am Ensign Ledo, pilot of the anti-Hideauze annihilation weapon, Chamber.\Ledo...\Annihilation weapon?\What the hell is Hideauze?! response:	Enemy. Coexistence is impossible.
context: Who are you?\She's asking for your name and affiliation.\Understood.\I am Ensign Ledo, pilot of the anti-Hideauze annihilation weapon, Chamber.\Ledo...\Annihilation weapon?\What the hell is Hideauze?!\Enemy. Coexistence is impossible. response:	You are all fellow humans.
context: She's asking for your name and affiliation.\Understood.\I am Ensign Ledo, pilot of the anti-Hideauze annihilation weapon, Chamber.\Ledo...\Annihilation weapon?\What the hell is Hideauze?!\Enemy. Coexistence is impossible.\You are all fellow humans. response:	Join Alliance.
context: Understood.\I am Ensign Ledo, pilot of the anti-Hideauze annihilation weapon, Chamber.\Ledo...\Annihilation weapon?\What the hell is Hideauze?!\Enemy. Coexistence is impossible.\You are all fellow humans.\Join Alliance. response:	We request dialog.
context: I am Ensign Ledo, pilot of the anti-Hideauze annihilation weapon, Chamber.\Ledo...\Annihilation weapon?\What the hell is Hideauze?!\Enemy. Coexistence is impossible.\You are all fellow humans.\Join Alliance.\We request dialog. response:	Who is your commander?
context: Ledo...\Annihilation weapon?\What the hell is Hideauze?!\Enemy. Coexistence is impossible.\You are all fellow humans.\Join Alliance.\We request dialog.\Who is your commander? response:	Chamber! What did you say?!
context: Annihilation weapon?\What the hell is Hideauze?!\Enemy. Coexistence is impossible.\You are all fellow humans.\Join Alliance.\We request dialog.\Who is your commander?\Chamber! What did you say?! response:	In their language, I requested a dialog and told them the Alliance's purpose.
context: What the hell is Hideauze?!\Enemy. Coexistence is impossible.\You are all fellow humans.\Join Alliance.\We request dialog.\Who is your commander?\Chamber! What did you say?!\In their language, I requested a dialog and told them the Alliance's purpose. response:	Good. But why are they acting hostile toward us?
context: Enemy. Coexistence is impossible.\You are all fellow humans.\Join Alliance.\We request dialog.\Who is your commander?\Chamber! What did you say?!\In their language, I requested a dialog and told them the Alliance's purpose.\Good. But why are they acting hostile toward us? response:	Throw down your weapon! And whoever's inside there, get out!
context: You are all fellow humans.\Join Alliance.\We request dialog.\Who is your commander?\Chamber! What did you say?!\In their language, I requested a dialog and told them the Alliance's purpose.\Good. But why are they acting hostile toward us?\Throw down your weapon! And whoever's inside there, get out! response:	What's she saying?
context: Join Alliance.\We request dialog.\Who is your commander?\Chamber! What did you say?!\In their language, I requested a dialog and told them the Alliance's purpose.\Good. But why are they acting hostile toward us?\Throw down your weapon! And whoever's inside there, get out!\What's she saying? response:	Cannot comprehend.
context: We request dialog.\Who is your commander?\Chamber! What did you say?!\In their language, I requested a dialog and told them the Alliance's purpose.\Good. But why are they acting hostile toward us?\Throw down your weapon! And whoever's inside there, get out!\What's she saying?\Cannot comprehend. response:	This machine is unmanned.
context: Who is your commander?\Chamber! What did you say?!\In their language, I requested a dialog and told them the Alliance's purpose.\Good. But why are they acting hostile toward us?\Throw down your weapon! And whoever's inside there, get out!\What's she saying?\Cannot comprehend.\This machine is unmanned. response:	What does that mean?
context: Chamber! What did you say?!\In their language, I requested a dialog and told them the Alliance's purpose.\Good. But why are they acting hostile toward us?\Throw down your weapon! And whoever's inside there, get out!\What's she saying?\Cannot comprehend.\This machine is unmanned.\What does that mean? response:	The Planet of Origin
context: In their language, I requested a dialog and told them the Alliance's purpose.\Good. But why are they acting hostile toward us?\Throw down your weapon! And whoever's inside there, get out!\What's she saying?\Cannot comprehend.\This machine is unmanned.\What does that mean?\The Planet of Origin response:	Amy, you're late.
context: Good. But why are they acting hostile toward us?\Throw down your weapon! And whoever's inside there, get out!\What's she saying?\Cannot comprehend.\This machine is unmanned.\What does that mean?\The Planet of Origin\Amy, you're late. response:	The delivery was late, so I had to make up time.
context: Throw down your weapon! And whoever's inside there, get out!\What's she saying?\Cannot comprehend.\This machine is unmanned.\What does that mean?\The Planet of Origin\Amy, you're late.\The delivery was late, so I had to make up time. response:	So, what's up?
context: What's she saying?\Cannot comprehend.\This machine is unmanned.\What does that mean?\The Planet of Origin\Amy, you're late.\The delivery was late, so I had to make up time.\So, what's up? response:	I want to know your impression of that boy.
context: Cannot comprehend.\This machine is unmanned.\What does that mean?\The Planet of Origin\Amy, you're late.\The delivery was late, so I had to make up time.\So, what's up?\I want to know your impression of that boy. response:	You talked to him too, Ridget. Right?
context: This machine is unmanned.\What does that mean?\The Planet of Origin\Amy, you're late.\The delivery was late, so I had to make up time.\So, what's up?\I want to know your impression of that boy.\You talked to him too, Ridget. Right? response:	You're the one who's come in closest contact with him.
context: What does that mean?\The Planet of Origin\Amy, you're late.\The delivery was late, so I had to make up time.\So, what's up?\I want to know your impression of that boy.\You talked to him too, Ridget. Right?\You're the one who's come in closest contact with him. response:	So what's he like?
context: The Planet of Origin\Amy, you're late.\The delivery was late, so I had to make up time.\So, what's up?\I want to know your impression of that boy.\You talked to him too, Ridget. Right?\You're the one who's come in closest contact with him.\So what's he like? response:	Um, let's see...
context: Amy, you're late.\The delivery was late, so I had to make up time.\So, what's up?\I want to know your impression of that boy.\You talked to him too, Ridget. Right?\You're the one who's come in closest contact with him.\So what's he like?\Um, let's see... response:	Normal?
context: The delivery was late, so I had to make up time.\So, what's up?\I want to know your impression of that boy.\You talked to him too, Ridget. Right?\You're the one who's come in closest contact with him.\So what's he like?\Um, let's see...\Normal? response:	Well, it was like his first time here, so he was surprised and all, What should I do?!
context: So, what's up?\I want to know your impression of that boy.\You talked to him too, Ridget. Right?\You're the one who's come in closest contact with him.\So what's he like?\Um, let's see...\Normal?\Well, it was like his first time here, so he was surprised and all, What should I do?! response:	And it didn't seem like he intended to hurt me.
context: I want to know your impression of that boy.\You talked to him too, Ridget. Right?\You're the one who's come in closest contact with him.\So what's he like?\Um, let's see...\Normal?\Well, it was like his first time here, so he was surprised and all, What should I do?!\And it didn't seem like he intended to hurt me. response:	Although he did kind of touch my butt...
context: You talked to him too, Ridget. Right?\You're the one who's come in closest contact with him.\So what's he like?\Um, let's see...\Normal?\Well, it was like his first time here, so he was surprised and all, What should I do?!\And it didn't seem like he intended to hurt me.\Although he did kind of touch my butt... response:	Your butt?!
context: You're the one who's come in closest contact with him.\So what's he like?\Um, let's see...\Normal?\Well, it was like his first time here, so he was surprised and all, What should I do?!\And it didn't seem like he intended to hurt me.\Although he did kind of touch my butt...\Your butt?! response:	But I did sort of understand what the person inside the Yunboro was trying to say...
context: So what's he like?\Um, let's see...\Normal?\Well, it was like his first time here, so he was surprised and all, What should I do?!\And it didn't seem like he intended to hurt me.\Although he did kind of touch my butt...\Your butt?!\But I did sort of understand what the person inside the Yunboro was trying to say... response:	Why don't you try asking him directly?
context: Um, let's see...\Normal?\Well, it was like his first time here, so he was surprised and all, What should I do?!\And it didn't seem like he intended to hurt me.\Although he did kind of touch my butt...\Your butt?!\But I did sort of understand what the person inside the Yunboro was trying to say...\Why don't you try asking him directly? response:	You gotta be kidding!
context: Normal?\Well, it was like his first time here, so he was surprised and all, What should I do?!\And it didn't seem like he intended to hurt me.\Although he did kind of touch my butt...\Your butt?!\But I did sort of understand what the person inside the Yunboro was trying to say...\Why don't you try asking him directly?\You gotta be kidding! response:	What do we do if he goes wild?
context: Well, it was like his first time here, so he was surprised and all, What should I do?!\And it didn't seem like he intended to hurt me.\Although he did kind of touch my butt...\Your butt?!\But I did sort of understand what the person inside the Yunboro was trying to say...\Why don't you try asking him directly?\You gotta be kidding!\What do we do if he goes wild? response:	That's the guy who wrecked the hangar with one stroke!
context: And it didn't seem like he intended to hurt me.\Although he did kind of touch my butt...\Your butt?!\But I did sort of understand what the person inside the Yunboro was trying to say...\Why don't you try asking him directly?\You gotta be kidding!\What do we do if he goes wild?\That's the guy who wrecked the hangar with one stroke! response:	Pinion.
context: Although he did kind of touch my butt...\Your butt?!\But I did sort of understand what the person inside the Yunboro was trying to say...\Why don't you try asking him directly?\You gotta be kidding!\What do we do if he goes wild?\That's the guy who wrecked the hangar with one stroke!\Pinion. response:	You examined that Yunboroid, right?
context: Your butt?!\But I did sort of understand what the person inside the Yunboro was trying to say...\Why don't you try asking him directly?\You gotta be kidding!\What do we do if he goes wild?\That's the guy who wrecked the hangar with one stroke!\Pinion.\You examined that Yunboroid, right? response:	I got no idea what it's made of or how it's put together.
context: But I did sort of understand what the person inside the Yunboro was trying to say...\Why don't you try asking him directly?\You gotta be kidding!\What do we do if he goes wild?\That's the guy who wrecked the hangar with one stroke!\Pinion.\You examined that Yunboroid, right?\I got no idea what it's made of or how it's put together. response:	Couldn't even fit a knife into a seam.
context: Why don't you try asking him directly?\You gotta be kidding!\What do we do if he goes wild?\That's the guy who wrecked the hangar with one stroke!\Pinion.\You examined that Yunboroid, right?\I got no idea what it's made of or how it's put together.\Couldn't even fit a knife into a seam. response:	The thing's one tough son of a gun.
context: You gotta be kidding!\What do we do if he goes wild?\That's the guy who wrecked the hangar with one stroke!\Pinion.\You examined that Yunboroid, right?\I got no idea what it's made of or how it's put together.\Couldn't even fit a knife into a seam.\The thing's one tough son of a gun. response:	How about you, Bellows?
context: What do we do if he goes wild?\That's the guy who wrecked the hangar with one stroke!\Pinion.\You examined that Yunboroid, right?\I got no idea what it's made of or how it's put together.\Couldn't even fit a knife into a seam.\The thing's one tough son of a gun.\How about you, Bellows? response:	Was there anything unusual when you brought it up?
context: That's the guy who wrecked the hangar with one stroke!\Pinion.\You examined that Yunboroid, right?\I got no idea what it's made of or how it's put together.\Couldn't even fit a knife into a seam.\The thing's one tough son of a gun.\How about you, Bellows?\Was there anything unusual when you brought it up? response:	I dunno... I just did what this guy asked me to do,
context: Pinion.\You examined that Yunboroid, right?\I got no idea what it's made of or how it's put together.\Couldn't even fit a knife into a seam.\The thing's one tough son of a gun.\How about you, Bellows?\Was there anything unusual when you brought it up?\I dunno... I just did what this guy asked me to do, response:	pull something up that looked valuable.
context: You examined that Yunboroid, right?\I got no idea what it's made of or how it's put together.\Couldn't even fit a knife into a seam.\The thing's one tough son of a gun.\How about you, Bellows?\Was there anything unusual when you brought it up?\I dunno... I just did what this guy asked me to do,\pull something up that looked valuable. response:	Oh, that's right.
context: I got no idea what it's made of or how it's put together.\Couldn't even fit a knife into a seam.\The thing's one tough son of a gun.\How about you, Bellows?\Was there anything unusual when you brought it up?\I dunno... I just did what this guy asked me to do,\pull something up that looked valuable.\Oh, that's right. response:	The crane's trashed!
context: Couldn't even fit a knife into a seam.\The thing's one tough son of a gun.\How about you, Bellows?\Was there anything unusual when you brought it up?\I dunno... I just did what this guy asked me to do,\pull something up that looked valuable.\Oh, that's right.\The crane's trashed! response:	I didn't think that Yunboro was gonna be so heavy.
context: The thing's one tough son of a gun.\How about you, Bellows?\Was there anything unusual when you brought it up?\I dunno... I just did what this guy asked me to do,\pull something up that looked valuable.\Oh, that's right.\The crane's trashed!\I didn't think that Yunboro was gonna be so heavy. response:	I'll send you my bill later.
context: How about you, Bellows?\Was there anything unusual when you brought it up?\I dunno... I just did what this guy asked me to do,\pull something up that looked valuable.\Oh, that's right.\The crane's trashed!\I didn't think that Yunboro was gonna be so heavy.\I'll send you my bill later. response:	Your skills just weren't up to snuff!
context: Was there anything unusual when you brought it up?\I dunno... I just did what this guy asked me to do,\pull something up that looked valuable.\Oh, that's right.\The crane's trashed!\I didn't think that Yunboro was gonna be so heavy.\I'll send you my bill later.\Your skills just weren't up to snuff! response:	Excuse me?!
context: I dunno... I just did what this guy asked me to do,\pull something up that looked valuable.\Oh, that's right.\The crane's trashed!\I didn't think that Yunboro was gonna be so heavy.\I'll send you my bill later.\Your skills just weren't up to snuff!\Excuse me?! response:	Fleet Commander Fairlock...
context: pull something up that looked valuable.\Oh, that's right.\The crane's trashed!\I didn't think that Yunboro was gonna be so heavy.\I'll send you my bill later.\Your skills just weren't up to snuff!\Excuse me?!\Fleet Commander Fairlock... response:	I'm listening.
context: Oh, that's right.\The crane's trashed!\I didn't think that Yunboro was gonna be so heavy.\I'll send you my bill later.\Your skills just weren't up to snuff!\Excuse me?!\Fleet Commander Fairlock...\I'm listening. response:	It seems that Yunboroid is the product of high level technology.
context: The crane's trashed!\I didn't think that Yunboro was gonna be so heavy.\I'll send you my bill later.\Your skills just weren't up to snuff!\Excuse me?!\Fleet Commander Fairlock...\I'm listening.\It seems that Yunboroid is the product of high level technology. response:	I'd like to take it apart and study it, if possible.
context: I didn't think that Yunboro was gonna be so heavy.\I'll send you my bill later.\Your skills just weren't up to snuff!\Excuse me?!\Fleet Commander Fairlock...\I'm listening.\It seems that Yunboroid is the product of high level technology.\I'd like to take it apart and study it, if possible. response:	That's right!
context: I'll send you my bill later.\Your skills just weren't up to snuff!\Excuse me?!\Fleet Commander Fairlock...\I'm listening.\It seems that Yunboroid is the product of high level technology.\I'd like to take it apart and study it, if possible.\That's right! response:	That mech's different from any treasure we've ever dredged up!
context: Your skills just weren't up to snuff!\Excuse me?!\Fleet Commander Fairlock...\I'm listening.\It seems that Yunboroid is the product of high level technology.\I'd like to take it apart and study it, if possible.\That's right!\That mech's different from any treasure we've ever dredged up! response:	Let's bust the thing open already!
context: Excuse me?!\Fleet Commander Fairlock...\I'm listening.\It seems that Yunboroid is the product of high level technology.\I'd like to take it apart and study it, if possible.\That's right!\That mech's different from any treasure we've ever dredged up!\Let's bust the thing open already! response:	Drag out the kid and the guy inside and deep six'em both!
context: Fleet Commander Fairlock...\I'm listening.\It seems that Yunboroid is the product of high level technology.\I'd like to take it apart and study it, if possible.\That's right!\That mech's different from any treasure we've ever dredged up!\Let's bust the thing open already!\Drag out the kid and the guy inside and deep six'em both! response:	We're not going to do that.
context: I'm listening.\It seems that Yunboroid is the product of high level technology.\I'd like to take it apart and study it, if possible.\That's right!\That mech's different from any treasure we've ever dredged up!\Let's bust the thing open already!\Drag out the kid and the guy inside and deep six'em both!\We're not going to do that. response:	What if they have comrades? Think about it.
context: It seems that Yunboroid is the product of high level technology.\I'd like to take it apart and study it, if possible.\That's right!\That mech's different from any treasure we've ever dredged up!\Let's bust the thing open already!\Drag out the kid and the guy inside and deep six'em both!\We're not going to do that.\What if they have comrades? Think about it. response:	It could lead to the whole fleet being endangered.
context: I'd like to take it apart and study it, if possible.\That's right!\That mech's different from any treasure we've ever dredged up!\Let's bust the thing open already!\Drag out the kid and the guy inside and deep six'em both!\We're not going to do that.\What if they have comrades? Think about it.\It could lead to the whole fleet being endangered. response:	I understand your line of thought, but...
context: That's right!\That mech's different from any treasure we've ever dredged up!\Let's bust the thing open already!\Drag out the kid and the guy inside and deep six'em both!\We're not going to do that.\What if they have comrades? Think about it.\It could lead to the whole fleet being endangered.\I understand your line of thought, but... response:	Man, what a drag!
context: That mech's different from any treasure we've ever dredged up!\Let's bust the thing open already!\Drag out the kid and the guy inside and deep six'em both!\We're not going to do that.\What if they have comrades? Think about it.\It could lead to the whole fleet being endangered.\I understand your line of thought, but...\Man, what a drag! response:	The Fleet Commander is correct.
context: Let's bust the thing open already!\Drag out the kid and the guy inside and deep six'em both!\We're not going to do that.\What if they have comrades? Think about it.\It could lead to the whole fleet being endangered.\I understand your line of thought, but...\Man, what a drag!\The Fleet Commander is correct. response:	We'd be sitting ducks if more came to settle a score.
context: Drag out the kid and the guy inside and deep six'em both!\We're not going to do that.\What if they have comrades? Think about it.\It could lead to the whole fleet being endangered.\I understand your line of thought, but...\Man, what a drag!\The Fleet Commander is correct.\We'd be sitting ducks if more came to settle a score. response:	I fail to see the logic in your actions.
context: We're not going to do that.\What if they have comrades? Think about it.\It could lead to the whole fleet being endangered.\I understand your line of thought, but...\Man, what a drag!\The Fleet Commander is correct.\We'd be sitting ducks if more came to settle a score.\I fail to see the logic in your actions. response:	Please explain the reasoning behind prolonging this stalemate.
context: What if they have comrades? Think about it.\It could lead to the whole fleet being endangered.\I understand your line of thought, but...\Man, what a drag!\The Fleet Commander is correct.\We'd be sitting ducks if more came to settle a score.\I fail to see the logic in your actions.\Please explain the reasoning behind prolonging this stalemate. response:	This machine has more than enough armaments to deal with the current situation.
context: It could lead to the whole fleet being endangered.\I understand your line of thought, but...\Man, what a drag!\The Fleet Commander is correct.\We'd be sitting ducks if more came to settle a score.\I fail to see the logic in your actions.\Please explain the reasoning behind prolonging this stalemate.\This machine has more than enough armaments to deal with the current situation. response:	For the moment, this is the best option.
context: I understand your line of thought, but...\Man, what a drag!\The Fleet Commander is correct.\We'd be sitting ducks if more came to settle a score.\I fail to see the logic in your actions.\Please explain the reasoning behind prolonging this stalemate.\This machine has more than enough armaments to deal with the current situation.\For the moment, this is the best option. response:	Chamber. Our immediate priorities in these circumstances
context: Man, what a drag!\The Fleet Commander is correct.\We'd be sitting ducks if more came to settle a score.\I fail to see the logic in your actions.\Please explain the reasoning behind prolonging this stalemate.\This machine has more than enough armaments to deal with the current situation.\For the moment, this is the best option.\Chamber. Our immediate priorities in these circumstances response:	are establishing contact with our troops and determining our location.
context: The Fleet Commander is correct.\We'd be sitting ducks if more came to settle a score.\I fail to see the logic in your actions.\Please explain the reasoning behind prolonging this stalemate.\This machine has more than enough armaments to deal with the current situation.\For the moment, this is the best option.\Chamber. Our immediate priorities in these circumstances\are establishing contact with our troops and determining our location. response:	If you can't figure it out, then maybe we can rely on any archives these people have.
context: We'd be sitting ducks if more came to settle a score.\I fail to see the logic in your actions.\Please explain the reasoning behind prolonging this stalemate.\This machine has more than enough armaments to deal with the current situation.\For the moment, this is the best option.\Chamber. Our immediate priorities in these circumstances\are establishing contact with our troops and determining our location.\If you can't figure it out, then maybe we can rely on any archives these people have. response:	Agreed, with reservations.
context: I fail to see the logic in your actions.\Please explain the reasoning behind prolonging this stalemate.\This machine has more than enough armaments to deal with the current situation.\For the moment, this is the best option.\Chamber. Our immediate priorities in these circumstances\are establishing contact with our troops and determining our location.\If you can't figure it out, then maybe we can rely on any archives these people have.\Agreed, with reservations. response:	What's important is that Earth, as a planet, supports life.
context: Please explain the reasoning behind prolonging this stalemate.\This machine has more than enough armaments to deal with the current situation.\For the moment, this is the best option.\Chamber. Our immediate priorities in these circumstances\are establishing contact with our troops and determining our location.\If you can't figure it out, then maybe we can rely on any archives these people have.\Agreed, with reservations.\What's important is that Earth, as a planet, supports life. response:	We're told that abnormal solar activity made Earth a frozen, dead planet.
context: This machine has more than enough armaments to deal with the current situation.\For the moment, this is the best option.\Chamber. Our immediate priorities in these circumstances\are establishing contact with our troops and determining our location.\If you can't figure it out, then maybe we can rely on any archives these people have.\Agreed, with reservations.\What's important is that Earth, as a planet, supports life.\We're told that abnormal solar activity made Earth a frozen, dead planet. response:	But this is the reality.
context: For the moment, this is the best option.\Chamber. Our immediate priorities in these circumstances\are establishing contact with our troops and determining our location.\If you can't figure it out, then maybe we can rely on any archives these people have.\Agreed, with reservations.\What's important is that Earth, as a planet, supports life.\We're told that abnormal solar activity made Earth a frozen, dead planet.\But this is the reality. response:	Agreed.
context: Chamber. Our immediate priorities in these circumstances\are establishing contact with our troops and determining our location.\If you can't figure it out, then maybe we can rely on any archives these people have.\Agreed, with reservations.\What's important is that Earth, as a planet, supports life.\We're told that abnormal solar activity made Earth a frozen, dead planet.\But this is the reality.\Agreed. response:	Securing a habitable planet is the Alliance's most fervent wish.
context: are establishing contact with our troops and determining our location.\If you can't figure it out, then maybe we can rely on any archives these people have.\Agreed, with reservations.\What's important is that Earth, as a planet, supports life.\We're told that abnormal solar activity made Earth a frozen, dead planet.\But this is the reality.\Agreed.\Securing a habitable planet is the Alliance's most fervent wish. response:	With this world's abundant water and air, it could replace Avalon as our new hub.
context: If you can't figure it out, then maybe we can rely on any archives these people have.\Agreed, with reservations.\What's important is that Earth, as a planet, supports life.\We're told that abnormal solar activity made Earth a frozen, dead planet.\But this is the reality.\Agreed.\Securing a habitable planet is the Alliance's most fervent wish.\With this world's abundant water and air, it could replace Avalon as our new hub. response:	Suggestion: I believe that judgment goes beyond the limitations of your post.
context: Agreed, with reservations.\What's important is that Earth, as a planet, supports life.\We're told that abnormal solar activity made Earth a frozen, dead planet.\But this is the reality.\Agreed.\Securing a habitable planet is the Alliance's most fervent wish.\With this world's abundant water and air, it could replace Avalon as our new hub.\Suggestion: I believe that judgment goes beyond the limitations of your post. response:	You're probably right.
context: What's important is that Earth, as a planet, supports life.\We're told that abnormal solar activity made Earth a frozen, dead planet.\But this is the reality.\Agreed.\Securing a habitable planet is the Alliance's most fervent wish.\With this world's abundant water and air, it could replace Avalon as our new hub.\Suggestion: I believe that judgment goes beyond the limitations of your post.\You're probably right. response:	How about communicating with the Alliance?
context: We're told that abnormal solar activity made Earth a frozen, dead planet.\But this is the reality.\Agreed.\Securing a habitable planet is the Alliance's most fervent wish.\With this world's abundant water and air, it could replace Avalon as our new hub.\Suggestion: I believe that judgment goes beyond the limitations of your post.\You're probably right.\How about communicating with the Alliance? response:	I continue to send out a distress signal, but have received no reply.
context: But this is the reality.\Agreed.\Securing a habitable planet is the Alliance's most fervent wish.\With this world's abundant water and air, it could replace Avalon as our new hub.\Suggestion: I believe that judgment goes beyond the limitations of your post.\You're probably right.\How about communicating with the Alliance?\I continue to send out a distress signal, but have received no reply. response:	If you continue to operate on your own like this, you won't be able to obtain
context: Agreed.\Securing a habitable planet is the Alliance's most fervent wish.\With this world's abundant water and air, it could replace Avalon as our new hub.\Suggestion: I believe that judgment goes beyond the limitations of your post.\You're probably right.\How about communicating with the Alliance?\I continue to send out a distress signal, but have received no reply.\If you continue to operate on your own like this, you won't be able to obtain response:	necessary military supplies, which will then bring on trouble with your metabolism.
context: Securing a habitable planet is the Alliance's most fervent wish.\With this world's abundant water and air, it could replace Avalon as our new hub.\Suggestion: I believe that judgment goes beyond the limitations of your post.\You're probably right.\How about communicating with the Alliance?\I continue to send out a distress signal, but have received no reply.\If you continue to operate on your own like this, you won't be able to obtain\necessary military supplies, which will then bring on trouble with your metabolism. response:	I think you should consider escaping these surroundings
context: With this world's abundant water and air, it could replace Avalon as our new hub.\Suggestion: I believe that judgment goes beyond the limitations of your post.\You're probably right.\How about communicating with the Alliance?\I continue to send out a distress signal, but have received no reply.\If you continue to operate on your own like this, you won't be able to obtain\necessary military supplies, which will then bring on trouble with your metabolism.\I think you should consider escaping these surroundings response:	and going back into suspended animation.
context: Suggestion: I believe that judgment goes beyond the limitations of your post.\You're probably right.\How about communicating with the Alliance?\I continue to send out a distress signal, but have received no reply.\If you continue to operate on your own like this, you won't be able to obtain\necessary military supplies, which will then bring on trouble with your metabolism.\I think you should consider escaping these surroundings\and going back into suspended animation. response:	Hey!
context: You're probably right.\How about communicating with the Alliance?\I continue to send out a distress signal, but have received no reply.\If you continue to operate on your own like this, you won't be able to obtain\necessary military supplies, which will then bring on trouble with your metabolism.\I think you should consider escaping these surroundings\and going back into suspended animation.\Hey! response:	Hey! Pinion!
context: How about communicating with the Alliance?\I continue to send out a distress signal, but have received no reply.\If you continue to operate on your own like this, you won't be able to obtain\necessary military supplies, which will then bring on trouble with your metabolism.\I think you should consider escaping these surroundings\and going back into suspended animation.\Hey!\Hey! Pinion! response:	Who's gonna fix my boat?!
context: I continue to send out a distress signal, but have received no reply.\If you continue to operate on your own like this, you won't be able to obtain\necessary military supplies, which will then bring on trouble with your metabolism.\I think you should consider escaping these surroundings\and going back into suspended animation.\Hey!\Hey! Pinion!\Who's gonna fix my boat?! response:	Don't ask me, dumbass!
context: If you continue to operate on your own like this, you won't be able to obtain\necessary military supplies, which will then bring on trouble with your metabolism.\I think you should consider escaping these surroundings\and going back into suspended animation.\Hey!\Hey! Pinion!\Who's gonna fix my boat?!\Don't ask me, dumbass! response:	See you!
context: necessary military supplies, which will then bring on trouble with your metabolism.\I think you should consider escaping these surroundings\and going back into suspended animation.\Hey!\Hey! Pinion!\Who's gonna fix my boat?!\Don't ask me, dumbass!\See you! response:	Yeah! Thanks!
context: I think you should consider escaping these surroundings\and going back into suspended animation.\Hey!\Hey! Pinion!\Who's gonna fix my boat?!\Don't ask me, dumbass!\See you!\Yeah! Thanks! response:	Amy!
context: and going back into suspended animation.\Hey!\Hey! Pinion!\Who's gonna fix my boat?!\Don't ask me, dumbass!\See you!\Yeah! Thanks!\Amy! response:	What's the merman like?!
context: Hey!\Hey! Pinion!\Who's gonna fix my boat?!\Don't ask me, dumbass!\See you!\Yeah! Thanks!\Amy!\What's the merman like?! response:	Merman?
