context: Did you wake up after finding something tasty to eat? response:	I was dreaming of Yoitsu.
context: But I don't want you to use buying food as an excuse.\Excuse?\We don't have enough money so we have to share one bed or something.\I don't want to hear that from someone who snores so noisily.\I don't snore!\Besides, you're not even my type.\Your ears can tell I'm not lying, right?\Basically response:	Basically, you like me this way don't you?
context: Excuse?\We don't have enough money so we have to share one bed or something.\I don't want to hear that from someone who snores so noisily.\I don't snore!\Besides, you're not even my type.\Your ears can tell I'm not lying, right?\Basically\Basically, you like me this way don't you? response:	Foolish men prefer weaker women right?
context: We don't have enough money so we have to share one bed or something.\I don't want to hear that from someone who snores so noisily.\I don't snore!\Besides, you're not even my type.\Your ears can tell I'm not lying, right?\Basically\Basically, you like me this way don't you?\Foolish men prefer weaker women right? response:	If I were the weak princess,
context: I don't want to hear that from someone who snores so noisily.\I don't snore!\Besides, you're not even my type.\Your ears can tell I'm not lying, right?\Basically\Basically, you like me this way don't you?\Foolish men prefer weaker women right?\If I were the weak princess, response:	then you'd have to be the mighty knight.
context: I don't snore!\Besides, you're not even my type.\Your ears can tell I'm not lying, right?\Basically\Basically, you like me this way don't you?\Foolish men prefer weaker women right?\If I were the weak princess,\then you'd have to be the mighty knight. response:	But what is it in reality?
context: Besides, you're not even my type.\Your ears can tell I'm not lying, right?\Basically\Basically, you like me this way don't you?\Foolish men prefer weaker women right?\If I were the weak princess,\then you'd have to be the mighty knight.\But what is it in reality? response:	Wait, you did act the knight once.
context: Your ears can tell I'm not lying, right?\Basically\Basically, you like me this way don't you?\Foolish men prefer weaker women right?\If I were the weak princess,\then you'd have to be the mighty knight.\But what is it in reality?\Wait, you did act the knight once. response:	I did?
context: Basically\Basically, you like me this way don't you?\Foolish men prefer weaker women right?\If I were the weak princess,\then you'd have to be the mighty knight.\But what is it in reality?\Wait, you did act the knight once.\I did? response:	What, you've forgotten?
context: Basically, you like me this way don't you?\Foolish men prefer weaker women right?\If I were the weak princess,\then you'd have to be the mighty knight.\But what is it in reality?\Wait, you did act the knight once.\I did?\What, you've forgotten? response:	You know,
context: Foolish men prefer weaker women right?\If I were the weak princess,\then you'd have to be the mighty knight.\But what is it in reality?\Wait, you did act the knight once.\I did?\What, you've forgotten?\You know, response:	when we got caught up in the silver coins affair, in the sewers.
context: If I were the weak princess,\then you'd have to be the mighty knight.\But what is it in reality?\Wait, you did act the knight once.\I did?\What, you've forgotten?\You know,\when we got caught up in the silver coins affair, in the sewers. response:	Oh, that?
context: then you'd have to be the mighty knight.\But what is it in reality?\Wait, you did act the knight once.\I did?\What, you've forgotten?\You know,\when we got caught up in the silver coins affair, in the sewers.\Oh, that? response:	Being a knight isn't just about physical power.
context: But what is it in reality?\Wait, you did act the knight once.\I did?\What, you've forgotten?\You know,\when we got caught up in the silver coins affair, in the sewers.\Oh, that?\Being a knight isn't just about physical power. response:	That was the first time anyone had protected me.
context: Wait, you did act the knight once.\I did?\What, you've forgotten?\You know,\when we got caught up in the silver coins affair, in the sewers.\Oh, that?\Being a knight isn't just about physical power.\That was the first time anyone had protected me. response:	Hey, stop that!
context: I did?\What, you've forgotten?\You know,\when we got caught up in the silver coins affair, in the sewers.\Oh, that?\Being a knight isn't just about physical power.\That was the first time anyone had protected me.\Hey, stop that! response:	You'll also treat me well from now on, won't you?
context: What, you've forgotten?\You know,\when we got caught up in the silver coins affair, in the sewers.\Oh, that?\Being a knight isn't just about physical power.\That was the first time anyone had protected me.\Hey, stop that!\You'll also treat me well from now on, won't you? response:	Sorry...
context: You know,\when we got caught up in the silver coins affair, in the sewers.\Oh, that?\Being a knight isn't just about physical power.\That was the first time anyone had protected me.\Hey, stop that!\You'll also treat me well from now on, won't you?\Sorry... response:	about what I said earlier.
context: when we got caught up in the silver coins affair, in the sewers.\Oh, that?\Being a knight isn't just about physical power.\That was the first time anyone had protected me.\Hey, stop that!\You'll also treat me well from now on, won't you?\Sorry...\about what I said earlier. response:	I like that part of you.
context: Oh, that?\Being a knight isn't just about physical power.\That was the first time anyone had protected me.\Hey, stop that!\You'll also treat me well from now on, won't you?\Sorry...\about what I said earlier.\I like that part of you. response:	Thanks...
context: Being a knight isn't just about physical power.\That was the first time anyone had protected me.\Hey, stop that!\You'll also treat me well from now on, won't you?\Sorry...\about what I said earlier.\I like that part of you.\Thanks... response:	Well, I don't mind if the room only has one bed,
context: That was the first time anyone had protected me.\Hey, stop that!\You'll also treat me well from now on, won't you?\Sorry...\about what I said earlier.\I like that part of you.\Thanks...\Well, I don't mind if the room only has one bed, response:	but then there has to be two meals.
context: Hey, stop that!\You'll also treat me well from now on, won't you?\Sorry...\about what I said earlier.\I like that part of you.\Thanks...\Well, I don't mind if the room only has one bed,\but then there has to be two meals. response:	I got it.
context: You'll also treat me well from now on, won't you?\Sorry...\about what I said earlier.\I like that part of you.\Thanks...\Well, I don't mind if the room only has one bed,\but then there has to be two meals.\I got it. response:	There's good fish in that crowded place over there.
context: Sorry...\about what I said earlier.\I like that part of you.\Thanks...\Well, I don't mind if the room only has one bed,\but then there has to be two meals.\I got it.\There's good fish in that crowded place over there. response:	Why don't we buy some first-rate fish and have it cooked for us?
context: about what I said earlier.\I like that part of you.\Thanks...\Well, I don't mind if the room only has one bed,\but then there has to be two meals.\I got it.\There's good fish in that crowded place over there.\Why don't we buy some first-rate fish and have it cooked for us? response:	Some fish?
context: I like that part of you.\Thanks...\Well, I don't mind if the room only has one bed,\but then there has to be two meals.\I got it.\There's good fish in that crowded place over there.\Why don't we buy some first-rate fish and have it cooked for us?\Some fish? response:	Yes, could you sell me a few?
context: Thanks...\Well, I don't mind if the room only has one bed,\but then there has to be two meals.\I got it.\There's good fish in that crowded place over there.\Why don't we buy some first-rate fish and have it cooked for us?\Some fish?\Yes, could you sell me a few? response:	I'm terribly sorry.
context: Well, I don't mind if the room only has one bed,\but then there has to be two meals.\I got it.\There's good fish in that crowded place over there.\Why don't we buy some first-rate fish and have it cooked for us?\Some fish?\Yes, could you sell me a few?\I'm terribly sorry. response:	All my fish have already been bought.
context: but then there has to be two meals.\I got it.\There's good fish in that crowded place over there.\Why don't we buy some first-rate fish and have it cooked for us?\Some fish?\Yes, could you sell me a few?\I'm terribly sorry.\All my fish have already been bought. response:	Pardon my rudeness, but might you be a traveling merchant?
context: I got it.\There's good fish in that crowded place over there.\Why don't we buy some first-rate fish and have it cooked for us?\Some fish?\Yes, could you sell me a few?\I'm terribly sorry.\All my fish have already been bought.\Pardon my rudeness, but might you be a traveling merchant? response:	Yes, I just came from Rubinhaigen.
context: There's good fish in that crowded place over there.\Why don't we buy some first-rate fish and have it cooked for us?\Some fish?\Yes, could you sell me a few?\I'm terribly sorry.\All my fish have already been bought.\Pardon my rudeness, but might you be a traveling merchant?\Yes, I just came from Rubinhaigen. response:	In that case, if you follow that path for half a day, you'll reach a lake.
context: Why don't we buy some first-rate fish and have it cooked for us?\Some fish?\Yes, could you sell me a few?\I'm terribly sorry.\All my fish have already been bought.\Pardon my rudeness, but might you be a traveling merchant?\Yes, I just came from Rubinhaigen.\In that case, if you follow that path for half a day, you'll reach a lake. response:	The carp today is very good.
context: Some fish?\Yes, could you sell me a few?\I'm terribly sorry.\All my fish have already been bought.\Pardon my rudeness, but might you be a traveling merchant?\Yes, I just came from Rubinhaigen.\In that case, if you follow that path for half a day, you'll reach a lake.\The carp today is very good. response:	If you get a good deal you'll be able to acquire a lot.
context: Yes, could you sell me a few?\I'm terribly sorry.\All my fish have already been bought.\Pardon my rudeness, but might you be a traveling merchant?\Yes, I just came from Rubinhaigen.\In that case, if you follow that path for half a day, you'll reach a lake.\The carp today is very good.\If you get a good deal you'll be able to acquire a lot. response:	Oh, no,
context: I'm terribly sorry.\All my fish have already been bought.\Pardon my rudeness, but might you be a traveling merchant?\Yes, I just came from Rubinhaigen.\In that case, if you follow that path for half a day, you'll reach a lake.\The carp today is very good.\If you get a good deal you'll be able to acquire a lot.\Oh, no, response:	I'm just looking for a few for dinner.
context: All my fish have already been bought.\Pardon my rudeness, but might you be a traveling merchant?\Yes, I just came from Rubinhaigen.\In that case, if you follow that path for half a day, you'll reach a lake.\The carp today is very good.\If you get a good deal you'll be able to acquire a lot.\Oh, no,\I'm just looking for a few for dinner. response:	You look like you've come up with a new business idea.
context: Pardon my rudeness, but might you be a traveling merchant?\Yes, I just came from Rubinhaigen.\In that case, if you follow that path for half a day, you'll reach a lake.\The carp today is very good.\If you get a good deal you'll be able to acquire a lot.\Oh, no,\I'm just looking for a few for dinner.\You look like you've come up with a new business idea. response:	Ah, that was embarrassing.
context: Yes, I just came from Rubinhaigen.\In that case, if you follow that path for half a day, you'll reach a lake.\The carp today is very good.\If you get a good deal you'll be able to acquire a lot.\Oh, no,\I'm just looking for a few for dinner.\You look like you've come up with a new business idea.\Ah, that was embarrassing. response:	If you're looking for fish for dinner tonight,
context: In that case, if you follow that path for half a day, you'll reach a lake.\The carp today is very good.\If you get a good deal you'll be able to acquire a lot.\Oh, no,\I'm just looking for a few for dinner.\You look like you've come up with a new business idea.\Ah, that was embarrassing.\If you're looking for fish for dinner tonight, response:	does that mean you're staying in Kumerson tonight?
context: The carp today is very good.\If you get a good deal you'll be able to acquire a lot.\Oh, no,\I'm just looking for a few for dinner.\You look like you've come up with a new business idea.\Ah, that was embarrassing.\If you're looking for fish for dinner tonight,\does that mean you're staying in Kumerson tonight? response:	Yes.
context: If you get a good deal you'll be able to acquire a lot.\Oh, no,\I'm just looking for a few for dinner.\You look like you've come up with a new business idea.\Ah, that was embarrassing.\If you're looking for fish for dinner tonight,\does that mean you're staying in Kumerson tonight?\Yes. response:	We're here for the grand winter fair and the festival.
context: Oh, no,\I'm just looking for a few for dinner.\You look like you've come up with a new business idea.\Ah, that was embarrassing.\If you're looking for fish for dinner tonight,\does that mean you're staying in Kumerson tonight?\Yes.\We're here for the grand winter fair and the festival. response:	The Radora festival is very popular.
context: I'm just looking for a few for dinner.\You look like you've come up with a new business idea.\Ah, that was embarrassing.\If you're looking for fish for dinner tonight,\does that mean you're staying in Kumerson tonight?\Yes.\We're here for the grand winter fair and the festival.\The Radora festival is very popular. response:	Have you already booked an inn to stay at?
context: You look like you've come up with a new business idea.\Ah, that was embarrassing.\If you're looking for fish for dinner tonight,\does that mean you're staying in Kumerson tonight?\Yes.\We're here for the grand winter fair and the festival.\The Radora festival is very popular.\Have you already booked an inn to stay at? response:	The festival starts the day after tomorrow right?
context: Ah, that was embarrassing.\If you're looking for fish for dinner tonight,\does that mean you're staying in Kumerson tonight?\Yes.\We're here for the grand winter fair and the festival.\The Radora festival is very popular.\Have you already booked an inn to stay at?\The festival starts the day after tomorrow right? response:	Don't tell me everywhere's already fully booked?
context: If you're looking for fish for dinner tonight,\does that mean you're staying in Kumerson tonight?\Yes.\We're here for the grand winter fair and the festival.\The Radora festival is very popular.\Have you already booked an inn to stay at?\The festival starts the day after tomorrow right?\Don't tell me everywhere's already fully booked? response:	Exactly.
context: does that mean you're staying in Kumerson tonight?\Yes.\We're here for the grand winter fair and the festival.\The Radora festival is very popular.\Have you already booked an inn to stay at?\The festival starts the day after tomorrow right?\Don't tell me everywhere's already fully booked?\Exactly. response:	In that case I'll try asking the trading firm.
context: Yes.\We're here for the grand winter fair and the festival.\The Radora festival is very popular.\Have you already booked an inn to stay at?\The festival starts the day after tomorrow right?\Don't tell me everywhere's already fully booked?\Exactly.\In that case I'll try asking the trading firm. response:	You belong to a guild?
context: We're here for the grand winter fair and the festival.\The Radora festival is very popular.\Have you already booked an inn to stay at?\The festival starts the day after tomorrow right?\Don't tell me everywhere's already fully booked?\Exactly.\In that case I'll try asking the trading firm.\You belong to a guild? response:	Pardon me, but which one?
context: The Radora festival is very popular.\Have you already booked an inn to stay at?\The festival starts the day after tomorrow right?\Don't tell me everywhere's already fully booked?\Exactly.\In that case I'll try asking the trading firm.\You belong to a guild?\Pardon me, but which one? response:	The Rowen Trading Guild firm in Kumerson.
context: Have you already booked an inn to stay at?\The festival starts the day after tomorrow right?\Don't tell me everywhere's already fully booked?\Exactly.\In that case I'll try asking the trading firm.\You belong to a guild?\Pardon me, but which one?\The Rowen Trading Guild firm in Kumerson. response:	What a wonderful coincidence!
context: The festival starts the day after tomorrow right?\Don't tell me everywhere's already fully booked?\Exactly.\In that case I'll try asking the trading firm.\You belong to a guild?\Pardon me, but which one?\The Rowen Trading Guild firm in Kumerson.\What a wonderful coincidence! response:	I also belong to the Rowen Trading Guild.
context: Don't tell me everywhere's already fully booked?\Exactly.\In that case I'll try asking the trading firm.\You belong to a guild?\Pardon me, but which one?\The Rowen Trading Guild firm in Kumerson.\What a wonderful coincidence!\I also belong to the Rowen Trading Guild. response:	This must be God's guidance
context: Exactly.\In that case I'll try asking the trading firm.\You belong to a guild?\Pardon me, but which one?\The Rowen Trading Guild firm in Kumerson.\What a wonderful coincidence!\I also belong to the Rowen Trading Guild.\This must be God's guidance response:	Saying that is taboo in this area, huh.
context: In that case I'll try asking the trading firm.\You belong to a guild?\Pardon me, but which one?\The Rowen Trading Guild firm in Kumerson.\What a wonderful coincidence!\I also belong to the Rowen Trading Guild.\This must be God's guidance\Saying that is taboo in this area, huh. response:	It's alright.
context: You belong to a guild?\Pardon me, but which one?\The Rowen Trading Guild firm in Kumerson.\What a wonderful coincidence!\I also belong to the Rowen Trading Guild.\This must be God's guidance\Saying that is taboo in this area, huh.\It's alright. response:	I'm also a believer from the south.
context: Pardon me, but which one?\The Rowen Trading Guild firm in Kumerson.\What a wonderful coincidence!\I also belong to the Rowen Trading Guild.\This must be God's guidance\Saying that is taboo in this area, huh.\It's alright.\I'm also a believer from the south. response:	I'm Fermi Amati.
context: The Rowen Trading Guild firm in Kumerson.\What a wonderful coincidence!\I also belong to the Rowen Trading Guild.\This must be God's guidance\Saying that is taboo in this area, huh.\It's alright.\I'm also a believer from the south.\I'm Fermi Amati. response:	For business, I go by Amati.
context: What a wonderful coincidence!\I also belong to the Rowen Trading Guild.\This must be God's guidance\Saying that is taboo in this area, huh.\It's alright.\I'm also a believer from the south.\I'm Fermi Amati.\For business, I go by Amati. response:	Craft Lawrence.
context: I also belong to the Rowen Trading Guild.\This must be God's guidance\Saying that is taboo in this area, huh.\It's alright.\I'm also a believer from the south.\I'm Fermi Amati.\For business, I go by Amati.\Craft Lawrence. response:	Likewise, I go by Lawrence.
context: This must be God's guidance\Saying that is taboo in this area, huh.\It's alright.\I'm also a believer from the south.\I'm Fermi Amati.\For business, I go by Amati.\Craft Lawrence.\Likewise, I go by Lawrence. response:	This is my traveling companion, Horo.
context: Saying that is taboo in this area, huh.\It's alright.\I'm also a believer from the south.\I'm Fermi Amati.\For business, I go by Amati.\Craft Lawrence.\Likewise, I go by Lawrence.\This is my traveling companion, Horo. response:	We're journeying together for various reasons, but we're not married.
context: It's alright.\I'm also a believer from the south.\I'm Fermi Amati.\For business, I go by Amati.\Craft Lawrence.\Likewise, I go by Lawrence.\This is my traveling companion, Horo.\We're journeying together for various reasons, but we're not married. response:	Is there something on my face?
context: I'm also a believer from the south.\I'm Fermi Amati.\For business, I go by Amati.\Craft Lawrence.\Likewise, I go by Lawrence.\This is my traveling companion, Horo.\We're journeying together for various reasons, but we're not married.\Is there something on my face? response:	Ah... no...
context: I'm Fermi Amati.\For business, I go by Amati.\Craft Lawrence.\Likewise, I go by Lawrence.\This is my traveling companion, Horo.\We're journeying together for various reasons, but we're not married.\Is there something on my face?\Ah... no... response:	Is Horo-san...
context: For business, I go by Amati.\Craft Lawrence.\Likewise, I go by Lawrence.\This is my traveling companion, Horo.\We're journeying together for various reasons, but we're not married.\Is there something on my face?\Ah... no...\Is Horo-san... response:	She's a nun on a pilgrimage,
context: Craft Lawrence.\Likewise, I go by Lawrence.\This is my traveling companion, Horo.\We're journeying together for various reasons, but we're not married.\Is there something on my face?\Ah... no...\Is Horo-san...\She's a nun on a pilgrimage, response:	basically.
context: Likewise, I go by Lawrence.\This is my traveling companion, Horo.\We're journeying together for various reasons, but we're not married.\Is there something on my face?\Ah... no...\Is Horo-san...\She's a nun on a pilgrimage,\basically. response:	Well, I suppose problems in life are God's way of testing us,
context: This is my traveling companion, Horo.\We're journeying together for various reasons, but we're not married.\Is there something on my face?\Ah... no...\Is Horo-san...\She's a nun on a pilgrimage,\basically.\Well, I suppose problems in life are God's way of testing us, response:	as arranging for two rooms will be difficult.
context: We're journeying together for various reasons, but we're not married.\Is there something on my face?\Ah... no...\Is Horo-san...\She's a nun on a pilgrimage,\basically.\Well, I suppose problems in life are God's way of testing us,\as arranging for two rooms will be difficult. response:	You mean...
context: Is there something on my face?\Ah... no...\Is Horo-san...\She's a nun on a pilgrimage,\basically.\Well, I suppose problems in life are God's way of testing us,\as arranging for two rooms will be difficult.\You mean... response:	If I ask my business acquaintances to help out, they should be able to spare a room.
