context: Onii-chan's grinning a lot lately. response:	It's probably a girl.
context: but I want you to say it.\All right, Kamine.\Sorry.\It's true, I don't think I've really spoken my mind until now.\I'll be careful from now on.\No, I don't mean from now on, but...\Am I making a mistake?\Um, now would be good. response:	You're right.
context: All right, Kamine.\Sorry.\It's true, I don't think I've really spoken my mind until now.\I'll be careful from now on.\No, I don't mean from now on, but...\Am I making a mistake?\Um, now would be good.\You're right. response:	I should show good faith immediately.
context: Sorry.\It's true, I don't think I've really spoken my mind until now.\I'll be careful from now on.\No, I don't mean from now on, but...\Am I making a mistake?\Um, now would be good.\You're right.\I should show good faith immediately. response:	Huh?
context: It's true, I don't think I've really spoken my mind until now.\I'll be careful from now on.\No, I don't mean from now on, but...\Am I making a mistake?\Um, now would be good.\You're right.\I should show good faith immediately.\Huh? response:	No, I just mean...
context: I'll be careful from now on.\No, I don't mean from now on, but...\Am I making a mistake?\Um, now would be good.\You're right.\I should show good faith immediately.\Huh?\No, I just mean... response:	Kamine, is there anything you want me to do?
context: No, I don't mean from now on, but...\Am I making a mistake?\Um, now would be good.\You're right.\I should show good faith immediately.\Huh?\No, I just mean...\Kamine, is there anything you want me to do? response:	Um...
context: Am I making a mistake?\Um, now would be good.\You're right.\I should show good faith immediately.\Huh?\No, I just mean...\Kamine, is there anything you want me to do?\Um... response:	Um...
context: Um, now would be good.\You're right.\I should show good faith immediately.\Huh?\No, I just mean...\Kamine, is there anything you want me to do?\Um...\Um... response:	Why don't we go somewhere together?
context: You're right.\I should show good faith immediately.\Huh?\No, I just mean...\Kamine, is there anything you want me to do?\Um...\Um...\Why don't we go somewhere together? response:	I hate saying it like this, but how about our first date?
context: I should show good faith immediately.\Huh?\No, I just mean...\Kamine, is there anything you want me to do?\Um...\Um...\Why don't we go somewhere together?\I hate saying it like this, but how about our first date? response:	That's not it!
context: Huh?\No, I just mean...\Kamine, is there anything you want me to do?\Um...\Um...\Why don't we go somewhere together?\I hate saying it like this, but how about our first date?\That's not it! response:	It's not that I want to go on a date!
context: No, I just mean...\Kamine, is there anything you want me to do?\Um...\Um...\Why don't we go somewhere together?\I hate saying it like this, but how about our first date?\That's not it!\It's not that I want to go on a date! response:	What?!
context: Kamine, is there anything you want me to do?\Um...\Um...\Why don't we go somewhere together?\I hate saying it like this, but how about our first date?\That's not it!\It's not that I want to go on a date!\What?! response:	I want you to tell me, with your own words, that you love me!
context: Um...\Um...\Why don't we go somewhere together?\I hate saying it like this, but how about our first date?\That's not it!\It's not that I want to go on a date!\What?!\I want you to tell me, with your own words, that you love me! response:	Why?!
context: Um...\Why don't we go somewhere together?\I hate saying it like this, but how about our first date?\That's not it!\It's not that I want to go on a date!\What?!\I want you to tell me, with your own words, that you love me!\Why?! response:	You've never said it to me yet.
context: Why don't we go somewhere together?\I hate saying it like this, but how about our first date?\That's not it!\It's not that I want to go on a date!\What?!\I want you to tell me, with your own words, that you love me!\Why?!\You've never said it to me yet. response:	H-Haven't I?
context: I hate saying it like this, but how about our first date?\That's not it!\It's not that I want to go on a date!\What?!\I want you to tell me, with your own words, that you love me!\Why?!\You've never said it to me yet.\H-Haven't I? response:	A date would be nice, but I want to hear it in words.
context: That's not it!\It's not that I want to go on a date!\What?!\I want you to tell me, with your own words, that you love me!\Why?!\You've never said it to me yet.\H-Haven't I?\A date would be nice, but I want to hear it in words. response:	I see.
context: It's not that I want to go on a date!\What?!\I want you to tell me, with your own words, that you love me!\Why?!\You've never said it to me yet.\H-Haven't I?\A date would be nice, but I want to hear it in words.\I see. response:	Then...
context: What?!\I want you to tell me, with your own words, that you love me!\Why?!\You've never said it to me yet.\H-Haven't I?\A date would be nice, but I want to hear it in words.\I see.\Then... response:	It's okay, though.
context: I want you to tell me, with your own words, that you love me!\Why?!\You've never said it to me yet.\H-Haven't I?\A date would be nice, but I want to hear it in words.\I see.\Then...\It's okay, though. response:	Wh-What's wrong?
context: Why?!\You've never said it to me yet.\H-Haven't I?\A date would be nice, but I want to hear it in words.\I see.\Then...\It's okay, though.\Wh-What's wrong? response:	I'm just making you say it at this point.
context: You've never said it to me yet.\H-Haven't I?\A date would be nice, but I want to hear it in words.\I see.\Then...\It's okay, though.\Wh-What's wrong?\I'm just making you say it at this point. response:	I'm sorry.
context: H-Haven't I?\A date would be nice, but I want to hear it in words.\I see.\Then...\It's okay, though.\Wh-What's wrong?\I'm just making you say it at this point.\I'm sorry. response:	I made things complicated.
context: A date would be nice, but I want to hear it in words.\I see.\Then...\It's okay, though.\Wh-What's wrong?\I'm just making you say it at this point.\I'm sorry.\I made things complicated. response:	No, I'm sorry, too.
context: I see.\Then...\It's okay, though.\Wh-What's wrong?\I'm just making you say it at this point.\I'm sorry.\I made things complicated.\No, I'm sorry, too. response:	By the way, about that date
context: Then...\It's okay, though.\Wh-What's wrong?\I'm just making you say it at this point.\I'm sorry.\I made things complicated.\No, I'm sorry, too.\By the way, about that date response:	I love you, Kamine.
context: It's okay, though.\Wh-What's wrong?\I'm just making you say it at this point.\I'm sorry.\I made things complicated.\No, I'm sorry, too.\By the way, about that date\I love you, Kamine. response:	Kamine, I love you.
context: Wh-What's wrong?\I'm just making you say it at this point.\I'm sorry.\I made things complicated.\No, I'm sorry, too.\By the way, about that date\I love you, Kamine.\Kamine, I love you. response:	I know anything I say now will seem forced,
context: I'm just making you say it at this point.\I'm sorry.\I made things complicated.\No, I'm sorry, too.\By the way, about that date\I love you, Kamine.\Kamine, I love you.\I know anything I say now will seem forced, response:	but I love you.
context: I'm sorry.\I made things complicated.\No, I'm sorry, too.\By the way, about that date\I love you, Kamine.\Kamine, I love you.\I know anything I say now will seem forced,\but I love you. response:	I really love you, from the bottom of my heart.
context: I made things complicated.\No, I'm sorry, too.\By the way, about that date\I love you, Kamine.\Kamine, I love you.\I know anything I say now will seem forced,\but I love you.\I really love you, from the bottom of my heart. response:	I love you!
context: No, I'm sorry, too.\By the way, about that date\I love you, Kamine.\Kamine, I love you.\I know anything I say now will seem forced,\but I love you.\I really love you, from the bottom of my heart.\I love you! response:	Sorry.
context: By the way, about that date\I love you, Kamine.\Kamine, I love you.\I know anything I say now will seem forced,\but I love you.\I really love you, from the bottom of my heart.\I love you!\Sorry. response:	I should have said so sooner.
context: I love you, Kamine.\Kamine, I love you.\I know anything I say now will seem forced,\but I love you.\I really love you, from the bottom of my heart.\I love you!\Sorry.\I should have said so sooner. response:	I'm dense.
context: Kamine, I love you.\I know anything I say now will seem forced,\but I love you.\I really love you, from the bottom of my heart.\I love you!\Sorry.\I should have said so sooner.\I'm dense. response:	What's wrong?
context: I know anything I say now will seem forced,\but I love you.\I really love you, from the bottom of my heart.\I love you!\Sorry.\I should have said so sooner.\I'm dense.\What's wrong? response:	You're beet red.
context: but I love you.\I really love you, from the bottom of my heart.\I love you!\Sorry.\I should have said so sooner.\I'm dense.\What's wrong?\You're beet red. response:	Are you angry?
context: I really love you, from the bottom of my heart.\I love you!\Sorry.\I should have said so sooner.\I'm dense.\What's wrong?\You're beet red.\Are you angry? response:	You know those people who confess by text?
context: I love you!\Sorry.\I should have said so sooner.\I'm dense.\What's wrong?\You're beet red.\Are you angry?\You know those people who confess by text? response:	I think that's pretty shitty.
context: Sorry.\I should have said so sooner.\I'm dense.\What's wrong?\You're beet red.\Are you angry?\You know those people who confess by text?\I think that's pretty shitty. response:	I'm interested in you, Takase.
context: I should have said so sooner.\I'm dense.\What's wrong?\You're beet red.\Are you angry?\You know those people who confess by text?\I think that's pretty shitty.\I'm interested in you, Takase. response:	Sorry to tell you like this, but I like you.
context: I'm dense.\What's wrong?\You're beet red.\Are you angry?\You know those people who confess by text?\I think that's pretty shitty.\I'm interested in you, Takase.\Sorry to tell you like this, but I like you. response:	A text message blunder made things really awkward.
context: What's wrong?\You're beet red.\Are you angry?\You know those people who confess by text?\I think that's pretty shitty.\I'm interested in you, Takase.\Sorry to tell you like this, but I like you.\A text message blunder made things really awkward. response:	Advice
context: You're beet red.\Are you angry?\You know those people who confess by text?\I think that's pretty shitty.\I'm interested in you, Takase.\Sorry to tell you like this, but I like you.\A text message blunder made things really awkward.\Advice response:	Kanda.
context: Are you angry?\You know those people who confess by text?\I think that's pretty shitty.\I'm interested in you, Takase.\Sorry to tell you like this, but I like you.\A text message blunder made things really awkward.\Advice\Kanda. response:	Y-Yuki-chan!
context: You know those people who confess by text?\I think that's pretty shitty.\I'm interested in you, Takase.\Sorry to tell you like this, but I like you.\A text message blunder made things really awkward.\Advice\Kanda.\Y-Yuki-chan! response:	Did you do the English assignment?
context: I think that's pretty shitty.\I'm interested in you, Takase.\Sorry to tell you like this, but I like you.\A text message blunder made things really awkward.\Advice\Kanda.\Y-Yuki-chan!\Did you do the English assignment? response:	Huh?
context: I'm interested in you, Takase.\Sorry to tell you like this, but I like you.\A text message blunder made things really awkward.\Advice\Kanda.\Y-Yuki-chan!\Did you do the English assignment?\Huh? response:	There was an assignment?
