context: This can't be happening. response:	Takumi... why?
context: Go ahead and kill all of us until your hands are soaked with blood!\Kajika!\Let's go, Sahari.\Let them clean this up.\Okay.\Let's go home, Takumi-kun.\My father was a cowardly man.\Secret feuds surrounding the Headquarter's throne. response:	Which is why that night...
context: Kajika!\Let's go, Sahari.\Let them clean this up.\Okay.\Let's go home, Takumi-kun.\My father was a cowardly man.\Secret feuds surrounding the Headquarter's throne.\Which is why that night... response:	No, it wasn't me.
context: Let's go, Sahari.\Let them clean this up.\Okay.\Let's go home, Takumi-kun.\My father was a cowardly man.\Secret feuds surrounding the Headquarter's throne.\Which is why that night...\No, it wasn't me. response:	It was... fear that did this!
context: Let them clean this up.\Okay.\Let's go home, Takumi-kun.\My father was a cowardly man.\Secret feuds surrounding the Headquarter's throne.\Which is why that night...\No, it wasn't me.\It was... fear that did this! response:	After that...
context: Okay.\Let's go home, Takumi-kun.\My father was a cowardly man.\Secret feuds surrounding the Headquarter's throne.\Which is why that night...\No, it wasn't me.\It was... fear that did this!\After that... response:	I couldn't forgive my father.
context: Let's go home, Takumi-kun.\My father was a cowardly man.\Secret feuds surrounding the Headquarter's throne.\Which is why that night...\No, it wasn't me.\It was... fear that did this!\After that...\I couldn't forgive my father. response:	But you said...
context: My father was a cowardly man.\Secret feuds surrounding the Headquarter's throne.\Which is why that night...\No, it wasn't me.\It was... fear that did this!\After that...\I couldn't forgive my father.\But you said... response:	Your kindness...
context: Secret feuds surrounding the Headquarter's throne.\Which is why that night...\No, it wasn't me.\It was... fear that did this!\After that...\I couldn't forgive my father.\But you said...\Your kindness... response:	I will destroy that coward's fortress.
context: Which is why that night...\No, it wasn't me.\It was... fear that did this!\After that...\I couldn't forgive my father.\But you said...\Your kindness...\I will destroy that coward's fortress. response:	Your strong claws are...
context: No, it wasn't me.\It was... fear that did this!\After that...\I couldn't forgive my father.\But you said...\Your kindness...\I will destroy that coward's fortress.\Your strong claws are... response:	Soon.
context: It was... fear that did this!\After that...\I couldn't forgive my father.\But you said...\Your kindness...\I will destroy that coward's fortress.\Your strong claws are...\Soon. response:	Goodbye...
context: After that...\I couldn't forgive my father.\But you said...\Your kindness...\I will destroy that coward's fortress.\Your strong claws are...\Soon.\Goodbye... response:	Listen, people of Diamond Citadel!
context: I couldn't forgive my father.\But you said...\Your kindness...\I will destroy that coward's fortress.\Your strong claws are...\Soon.\Goodbye...\Listen, people of Diamond Citadel! response:	The Iwato's gate, a key defense for our capital, has been destroyed.
context: But you said...\Your kindness...\I will destroy that coward's fortress.\Your strong claws are...\Soon.\Goodbye...\Listen, people of Diamond Citadel!\The Iwato's gate, a key defense for our capital, has been destroyed. response:	And not by the Corpses...
context: Your kindness...\I will destroy that coward's fortress.\Your strong claws are...\Soon.\Goodbye...\Listen, people of Diamond Citadel!\The Iwato's gate, a key defense for our capital, has been destroyed.\And not by the Corpses... response:	Amatori Biba.
context: I will destroy that coward's fortress.\Your strong claws are...\Soon.\Goodbye...\Listen, people of Diamond Citadel!\The Iwato's gate, a key defense for our capital, has been destroyed.\And not by the Corpses...\Amatori Biba. response:	What?!
context: Your strong claws are...\Soon.\Goodbye...\Listen, people of Diamond Citadel!\The Iwato's gate, a key defense for our capital, has been destroyed.\And not by the Corpses...\Amatori Biba.\What?! response:	Insurrection?
context: Soon.\Goodbye...\Listen, people of Diamond Citadel!\The Iwato's gate, a key defense for our capital, has been destroyed.\And not by the Corpses...\Amatori Biba.\What?!\Insurrection? response:	So the hero has finally revealed his true self.
context: Goodbye...\Listen, people of Diamond Citadel!\The Iwato's gate, a key defense for our capital, has been destroyed.\And not by the Corpses...\Amatori Biba.\What?!\Insurrection?\So the hero has finally revealed his true self. response:	Could it be resentment against the Warlord?
context: Listen, people of Diamond Citadel!\The Iwato's gate, a key defense for our capital, has been destroyed.\And not by the Corpses...\Amatori Biba.\What?!\Insurrection?\So the hero has finally revealed his true self.\Could it be resentment against the Warlord? response:	But there is nothing to fear.
context: The Iwato's gate, a key defense for our capital, has been destroyed.\And not by the Corpses...\Amatori Biba.\What?!\Insurrection?\So the hero has finally revealed his true self.\Could it be resentment against the Warlord?\But there is nothing to fear. response:	Diamond Citadel is an impregnable fortress.
context: And not by the Corpses...\Amatori Biba.\What?!\Insurrection?\So the hero has finally revealed his true self.\Could it be resentment against the Warlord?\But there is nothing to fear.\Diamond Citadel is an impregnable fortress. response:	We are the soaring birds.
context: Amatori Biba.\What?!\Insurrection?\So the hero has finally revealed his true self.\Could it be resentment against the Warlord?\But there is nothing to fear.\Diamond Citadel is an impregnable fortress.\We are the soaring birds. response:	The divine bird cannot be broken!
context: What?!\Insurrection?\So the hero has finally revealed his true self.\Could it be resentment against the Warlord?\But there is nothing to fear.\Diamond Citadel is an impregnable fortress.\We are the soaring birds.\The divine bird cannot be broken! response:	The divine bird cannot be broken!
context: Insurrection?\So the hero has finally revealed his true self.\Could it be resentment against the Warlord?\But there is nothing to fear.\Diamond Citadel is an impregnable fortress.\We are the soaring birds.\The divine bird cannot be broken!\The divine bird cannot be broken! response:	The divine bird cannot be broken!
context: So the hero has finally revealed his true self.\Could it be resentment against the Warlord?\But there is nothing to fear.\Diamond Citadel is an impregnable fortress.\We are the soaring birds.\The divine bird cannot be broken!\The divine bird cannot be broken!\The divine bird cannot be broken! response:	Warlord.
context: Could it be resentment against the Warlord?\But there is nothing to fear.\Diamond Citadel is an impregnable fortress.\We are the soaring birds.\The divine bird cannot be broken!\The divine bird cannot be broken!\The divine bird cannot be broken!\Warlord. response:	Should we still not tell them... about the black smoke?
context: But there is nothing to fear.\Diamond Citadel is an impregnable fortress.\We are the soaring birds.\The divine bird cannot be broken!\The divine bird cannot be broken!\The divine bird cannot be broken!\Warlord.\Should we still not tell them... about the black smoke? response:	You mean, the monster that destroyed Iwato's gate?
context: Diamond Citadel is an impregnable fortress.\We are the soaring birds.\The divine bird cannot be broken!\The divine bird cannot be broken!\The divine bird cannot be broken!\Warlord.\Should we still not tell them... about the black smoke?\You mean, the monster that destroyed Iwato's gate? response:	Yes.
context: We are the soaring birds.\The divine bird cannot be broken!\The divine bird cannot be broken!\The divine bird cannot be broken!\Warlord.\Should we still not tell them... about the black smoke?\You mean, the monster that destroyed Iwato's gate?\Yes. response:	I think we should inform everyone.
context: The divine bird cannot be broken!\The divine bird cannot be broken!\The divine bird cannot be broken!\Warlord.\Should we still not tell them... about the black smoke?\You mean, the monster that destroyed Iwato's gate?\Yes.\I think we should inform everyone. response:	Are you the only communications operator who knows of this?
context: The divine bird cannot be broken!\The divine bird cannot be broken!\Warlord.\Should we still not tell them... about the black smoke?\You mean, the monster that destroyed Iwato's gate?\Yes.\I think we should inform everyone.\Are you the only communications operator who knows of this? response:	Yes.
context: The divine bird cannot be broken!\Warlord.\Should we still not tell them... about the black smoke?\You mean, the monster that destroyed Iwato's gate?\Yes.\I think we should inform everyone.\Are you the only communications operator who knows of this?\Yes. response:	W-War...lord...
context: Warlord.\Should we still not tell them... about the black smoke?\You mean, the monster that destroyed Iwato's gate?\Yes.\I think we should inform everyone.\Are you the only communications operator who knows of this?\Yes.\W-War...lord... response:	Excessive information creates needless fear.
context: Should we still not tell them... about the black smoke?\You mean, the monster that destroyed Iwato's gate?\Yes.\I think we should inform everyone.\Are you the only communications operator who knows of this?\Yes.\W-War...lord...\Excessive information creates needless fear. response:	Help.
context: You mean, the monster that destroyed Iwato's gate?\Yes.\I think we should inform everyone.\Are you the only communications operator who knows of this?\Yes.\W-War...lord...\Excessive information creates needless fear.\Help. response:	Help!
context: Yes.\I think we should inform everyone.\Are you the only communications operator who knows of this?\Yes.\W-War...lord...\Excessive information creates needless fear.\Help.\Help! response:	Nameless!
context: I think we should inform everyone.\Are you the only communications operator who knows of this?\Yes.\W-War...lord...\Excessive information creates needless fear.\Help.\Help!\Nameless! response:	It's my fault...
context: Are you the only communications operator who knows of this?\Yes.\W-War...lord...\Excessive information creates needless fear.\Help.\Help!\Nameless!\It's my fault... response:	I never should have let him fight with me.
context: Yes.\W-War...lord...\Excessive information creates needless fear.\Help.\Help!\Nameless!\It's my fault...\I never should have let him fight with me. response:	No.
context: W-War...lord...\Excessive information creates needless fear.\Help.\Help!\Nameless!\It's my fault...\I never should have let him fight with me.\No. response:	I never should have gotten involved in the first place.
context: Excessive information creates needless fear.\Help.\Help!\Nameless!\It's my fault...\I never should have let him fight with me.\No.\I never should have gotten involved in the first place. response:	Even Nameless, if she...
context: Help.\Help!\Nameless!\It's my fault...\I never should have let him fight with me.\No.\I never should have gotten involved in the first place.\Even Nameless, if she... response:	Even my promise to turn her human again...
context: Help!\Nameless!\It's my fault...\I never should have let him fight with me.\No.\I never should have gotten involved in the first place.\Even Nameless, if she...\Even my promise to turn her human again... response:	She doesn't... remember anymore.
context: Nameless!\It's my fault...\I never should have let him fight with me.\No.\I never should have gotten involved in the first place.\Even Nameless, if she...\Even my promise to turn her human again...\She doesn't... remember anymore. response:	A Corpse!
context: It's my fault...\I never should have let him fight with me.\No.\I never should have gotten involved in the first place.\Even Nameless, if she...\Even my promise to turn her human again...\She doesn't... remember anymore.\A Corpse! response:	I beg your pardon!
context: I never should have let him fight with me.\No.\I never should have gotten involved in the first place.\Even Nameless, if she...\Even my promise to turn her human again...\She doesn't... remember anymore.\A Corpse!\I beg your pardon! response:	The Iron Fortress has arrived at Platform 4!
context: No.\I never should have gotten involved in the first place.\Even Nameless, if she...\Even my promise to turn her human again...\She doesn't... remember anymore.\A Corpse!\I beg your pardon!\The Iron Fortress has arrived at Platform 4! response:	The Iron Fortress?
context: I never should have gotten involved in the first place.\Even Nameless, if she...\Even my promise to turn her human again...\She doesn't... remember anymore.\A Corpse!\I beg your pardon!\The Iron Fortress has arrived at Platform 4!\The Iron Fortress? response:	Don't you mean, the Master Fortress?
context: Even Nameless, if she...\Even my promise to turn her human again...\She doesn't... remember anymore.\A Corpse!\I beg your pardon!\The Iron Fortress has arrived at Platform 4!\The Iron Fortress?\Don't you mean, the Master Fortress? response:	No, sir.
context: Even my promise to turn her human again...\She doesn't... remember anymore.\A Corpse!\I beg your pardon!\The Iron Fortress has arrived at Platform 4!\The Iron Fortress?\Don't you mean, the Master Fortress?\No, sir. response:	They say they have captured the men who destroyed Iwato's gate.
context: She doesn't... remember anymore.\A Corpse!\I beg your pardon!\The Iron Fortress has arrived at Platform 4!\The Iron Fortress?\Don't you mean, the Master Fortress?\No, sir.\They say they have captured the men who destroyed Iwato's gate. response:	I am Ayame, heir to the Yomokawa family.
context: A Corpse!\I beg your pardon!\The Iron Fortress has arrived at Platform 4!\The Iron Fortress?\Don't you mean, the Master Fortress?\No, sir.\They say they have captured the men who destroyed Iwato's gate.\I am Ayame, heir to the Yomokawa family. response:	I have brought you my captive, Amatori Biba!
context: I beg your pardon!\The Iron Fortress has arrived at Platform 4!\The Iron Fortress?\Don't you mean, the Master Fortress?\No, sir.\They say they have captured the men who destroyed Iwato's gate.\I am Ayame, heir to the Yomokawa family.\I have brought you my captive, Amatori Biba! response:	Do not forget... that we have hostages.
context: The Iron Fortress has arrived at Platform 4!\The Iron Fortress?\Don't you mean, the Master Fortress?\No, sir.\They say they have captured the men who destroyed Iwato's gate.\I am Ayame, heir to the Yomokawa family.\I have brought you my captive, Amatori Biba!\Do not forget... that we have hostages. response:	I promise to follow your script.
context: The Iron Fortress?\Don't you mean, the Master Fortress?\No, sir.\They say they have captured the men who destroyed Iwato's gate.\I am Ayame, heir to the Yomokawa family.\I have brought you my captive, Amatori Biba!\Do not forget... that we have hostages.\I promise to follow your script. response:	Ayame-dono.
context: Don't you mean, the Master Fortress?\No, sir.\They say they have captured the men who destroyed Iwato's gate.\I am Ayame, heir to the Yomokawa family.\I have brought you my captive, Amatori Biba!\Do not forget... that we have hostages.\I promise to follow your script.\Ayame-dono. response:	Uncle!
context: No, sir.\They say they have captured the men who destroyed Iwato's gate.\I am Ayame, heir to the Yomokawa family.\I have brought you my captive, Amatori Biba!\Do not forget... that we have hostages.\I promise to follow your script.\Ayame-dono.\Uncle! response:	It has been a long time.
context: They say they have captured the men who destroyed Iwato's gate.\I am Ayame, heir to the Yomokawa family.\I have brought you my captive, Amatori Biba!\Do not forget... that we have hostages.\I promise to follow your script.\Ayame-dono.\Uncle!\It has been a long time. response:	How you have grown.
context: I am Ayame, heir to the Yomokawa family.\I have brought you my captive, Amatori Biba!\Do not forget... that we have hostages.\I promise to follow your script.\Ayame-dono.\Uncle!\It has been a long time.\How you have grown. response:	And your father?
context: I have brought you my captive, Amatori Biba!\Do not forget... that we have hostages.\I promise to follow your script.\Ayame-dono.\Uncle!\It has been a long time.\How you have grown.\And your father? response:	The Corpses is...
context: Do not forget... that we have hostages.\I promise to follow your script.\Ayame-dono.\Uncle!\It has been a long time.\How you have grown.\And your father?\The Corpses is... response:	I see...
context: I promise to follow your script.\Ayame-dono.\Uncle!\It has been a long time.\How you have grown.\And your father?\The Corpses is...\I see... response:	That is truly unfortunate.
context: Ayame-dono.\Uncle!\It has been a long time.\How you have grown.\And your father?\The Corpses is...\I see...\That is truly unfortunate. response:	That should be sufficient greetings.
context: Uncle!\It has been a long time.\How you have grown.\And your father?\The Corpses is...\I see...\That is truly unfortunate.\That should be sufficient greetings. response:	So you claim to have captured Biba?
context: It has been a long time.\How you have grown.\And your father?\The Corpses is...\I see...\That is truly unfortunate.\That should be sufficient greetings.\So you claim to have captured Biba? response:	Everyone on the Iron Fortress worked together...
context: How you have grown.\And your father?\The Corpses is...\I see...\That is truly unfortunate.\That should be sufficient greetings.\So you claim to have captured Biba?\Everyone on the Iron Fortress worked together... response:	Everyone is tired from the long journey after losing their homes.
context: And your father?\The Corpses is...\I see...\That is truly unfortunate.\That should be sufficient greetings.\So you claim to have captured Biba?\Everyone on the Iron Fortress worked together...\Everyone is tired from the long journey after losing their homes. response:	I beg that Diamond Citadel take them in.
context: The Corpses is...\I see...\That is truly unfortunate.\That should be sufficient greetings.\So you claim to have captured Biba?\Everyone on the Iron Fortress worked together...\Everyone is tired from the long journey after losing their homes.\I beg that Diamond Citadel take them in. response:	Diamond Citadel's inspection requires everyone to be jailed for three days,
context: I see...\That is truly unfortunate.\That should be sufficient greetings.\So you claim to have captured Biba?\Everyone on the Iron Fortress worked together...\Everyone is tired from the long journey after losing their homes.\I beg that Diamond Citadel take them in.\Diamond Citadel's inspection requires everyone to be jailed for three days, response:	regardless of the existence of bite marks.
context: That is truly unfortunate.\That should be sufficient greetings.\So you claim to have captured Biba?\Everyone on the Iron Fortress worked together...\Everyone is tired from the long journey after losing their homes.\I beg that Diamond Citadel take them in.\Diamond Citadel's inspection requires everyone to be jailed for three days,\regardless of the existence of bite marks. response:	So I was told.
context: That should be sufficient greetings.\So you claim to have captured Biba?\Everyone on the Iron Fortress worked together...\Everyone is tired from the long journey after losing their homes.\I beg that Diamond Citadel take them in.\Diamond Citadel's inspection requires everyone to be jailed for three days,\regardless of the existence of bite marks.\So I was told. response:	You two will come to meet the Warlord.
context: So you claim to have captured Biba?\Everyone on the Iron Fortress worked together...\Everyone is tired from the long journey after losing their homes.\I beg that Diamond Citadel take them in.\Diamond Citadel's inspection requires everyone to be jailed for three days,\regardless of the existence of bite marks.\So I was told.\You two will come to meet the Warlord. response:	Ikoma?
context: Everyone on the Iron Fortress worked together...\Everyone is tired from the long journey after losing their homes.\I beg that Diamond Citadel take them in.\Diamond Citadel's inspection requires everyone to be jailed for three days,\regardless of the existence of bite marks.\So I was told.\You two will come to meet the Warlord.\Ikoma? response:	Kurusu?
context: Everyone is tired from the long journey after losing their homes.\I beg that Diamond Citadel take them in.\Diamond Citadel's inspection requires everyone to be jailed for three days,\regardless of the existence of bite marks.\So I was told.\You two will come to meet the Warlord.\Ikoma?\Kurusu? response:	What are you doing here?
context: I beg that Diamond Citadel take them in.\Diamond Citadel's inspection requires everyone to be jailed for three days,\regardless of the existence of bite marks.\So I was told.\You two will come to meet the Warlord.\Ikoma?\Kurusu?\What are you doing here? response:	Where's Ayame-sama?
context: Diamond Citadel's inspection requires everyone to be jailed for three days,\regardless of the existence of bite marks.\So I was told.\You two will come to meet the Warlord.\Ikoma?\Kurusu?\What are you doing here?\Where's Ayame-sama? response:	Where's everyone else?
context: regardless of the existence of bite marks.\So I was told.\You two will come to meet the Warlord.\Ikoma?\Kurusu?\What are you doing here?\Where's Ayame-sama?\Where's everyone else? response:	They have been captured... by Biba.
context: So I was told.\You two will come to meet the Warlord.\Ikoma?\Kurusu?\What are you doing here?\Where's Ayame-sama?\Where's everyone else?\They have been captured... by Biba. response:	What?!
context: You two will come to meet the Warlord.\Ikoma?\Kurusu?\What are you doing here?\Where's Ayame-sama?\Where's everyone else?\They have been captured... by Biba.\What?! response:	Takumi's been killed.
context: Ikoma?\Kurusu?\What are you doing here?\Where's Ayame-sama?\Where's everyone else?\They have been captured... by Biba.\What?!\Takumi's been killed. response:	Nameless's been turned into an enemy and attacked me.
context: Kurusu?\What are you doing here?\Where's Ayame-sama?\Where's everyone else?\They have been captured... by Biba.\What?!\Takumi's been killed.\Nameless's been turned into an enemy and attacked me. response:	And so you ran away with your tail tucked between your legs?!
context: What are you doing here?\Where's Ayame-sama?\Where's everyone else?\They have been captured... by Biba.\What?!\Takumi's been killed.\Nameless's been turned into an enemy and attacked me.\And so you ran away with your tail tucked between your legs?! response:	I couldn't do anything!
context: Where's Ayame-sama?\Where's everyone else?\They have been captured... by Biba.\What?!\Takumi's been killed.\Nameless's been turned into an enemy and attacked me.\And so you ran away with your tail tucked between your legs?!\I couldn't do anything! response:	There was nothing I could do!
context: Where's everyone else?\They have been captured... by Biba.\What?!\Takumi's been killed.\Nameless's been turned into an enemy and attacked me.\And so you ran away with your tail tucked between your legs?!\I couldn't do anything!\There was nothing I could do! response:	Don't give me that!
context: They have been captured... by Biba.\What?!\Takumi's been killed.\Nameless's been turned into an enemy and attacked me.\And so you ran away with your tail tucked between your legs?!\I couldn't do anything!\There was nothing I could do!\Don't give me that! response:	Are you quite finished?
context: What?!\Takumi's been killed.\Nameless's been turned into an enemy and attacked me.\And so you ran away with your tail tucked between your legs?!\I couldn't do anything!\There was nothing I could do!\Don't give me that!\Are you quite finished? response:	So you're alive, Wild Corpseless.
context: Takumi's been killed.\Nameless's been turned into an enemy and attacked me.\And so you ran away with your tail tucked between your legs?!\I couldn't do anything!\There was nothing I could do!\Don't give me that!\Are you quite finished?\So you're alive, Wild Corpseless. response:	I see a sword mark next to your heart.
context: Nameless's been turned into an enemy and attacked me.\And so you ran away with your tail tucked between your legs?!\I couldn't do anything!\There was nothing I could do!\Don't give me that!\Are you quite finished?\So you're alive, Wild Corpseless.\I see a sword mark next to your heart. response:	Did Nameless do this?
context: And so you ran away with your tail tucked between your legs?!\I couldn't do anything!\There was nothing I could do!\Don't give me that!\Are you quite finished?\So you're alive, Wild Corpseless.\I see a sword mark next to your heart.\Did Nameless do this? response:	Get up, Ikoma.
context: I couldn't do anything!\There was nothing I could do!\Don't give me that!\Are you quite finished?\So you're alive, Wild Corpseless.\I see a sword mark next to your heart.\Did Nameless do this?\Get up, Ikoma. response:	We're going after the Iron Fortress.
context: There was nothing I could do!\Don't give me that!\Are you quite finished?\So you're alive, Wild Corpseless.\I see a sword mark next to your heart.\Did Nameless do this?\Get up, Ikoma.\We're going after the Iron Fortress. response:	No... I can't.
context: Don't give me that!\Are you quite finished?\So you're alive, Wild Corpseless.\I see a sword mark next to your heart.\Did Nameless do this?\Get up, Ikoma.\We're going after the Iron Fortress.\No... I can't. response:	I'm better off dead.
context: Are you quite finished?\So you're alive, Wild Corpseless.\I see a sword mark next to your heart.\Did Nameless do this?\Get up, Ikoma.\We're going after the Iron Fortress.\No... I can't.\I'm better off dead. response:	Fine.
context: So you're alive, Wild Corpseless.\I see a sword mark next to your heart.\Did Nameless do this?\Get up, Ikoma.\We're going after the Iron Fortress.\No... I can't.\I'm better off dead.\Fine. response:	You can go ahead and die, then.
context: I see a sword mark next to your heart.\Did Nameless do this?\Get up, Ikoma.\We're going after the Iron Fortress.\No... I can't.\I'm better off dead.\Fine.\You can go ahead and die, then. response:	It seems that I was wrong about you.
context: Did Nameless do this?\Get up, Ikoma.\We're going after the Iron Fortress.\No... I can't.\I'm better off dead.\Fine.\You can go ahead and die, then.\It seems that I was wrong about you. response:	It's been a long time, Biba.
context: Get up, Ikoma.\We're going after the Iron Fortress.\No... I can't.\I'm better off dead.\Fine.\You can go ahead and die, then.\It seems that I was wrong about you.\It's been a long time, Biba. response:	Yes... father.
context: We're going after the Iron Fortress.\No... I can't.\I'm better off dead.\Fine.\You can go ahead and die, then.\It seems that I was wrong about you.\It's been a long time, Biba.\Yes... father. response:	You can drop the act.
context: No... I can't.\I'm better off dead.\Fine.\You can go ahead and die, then.\It seems that I was wrong about you.\It's been a long time, Biba.\Yes... father.\You can drop the act. response:	I know that you're up to something.
context: I'm better off dead.\Fine.\You can go ahead and die, then.\It seems that I was wrong about you.\It's been a long time, Biba.\Yes... father.\You can drop the act.\I know that you're up to something. response:	Bring it here.
context: Fine.\You can go ahead and die, then.\It seems that I was wrong about you.\It's been a long time, Biba.\Yes... father.\You can drop the act.\I know that you're up to something.\Bring it here. response:	Yes, sir.
context: You can go ahead and die, then.\It seems that I was wrong about you.\It's been a long time, Biba.\Yes... father.\You can drop the act.\I know that you're up to something.\Bring it here.\Yes, sir. response:	I found something very nostalgic amongst your belongings.
context: It seems that I was wrong about you.\It's been a long time, Biba.\Yes... father.\You can drop the act.\I know that you're up to something.\Bring it here.\Yes, sir.\I found something very nostalgic amongst your belongings. response:	It is the only thing...
context: It's been a long time, Biba.\Yes... father.\You can drop the act.\I know that you're up to something.\Bring it here.\Yes, sir.\I found something very nostalgic amongst your belongings.\It is the only thing... response:	I thought I would return it to you.
context: Yes... father.\You can drop the act.\I know that you're up to something.\Bring it here.\Yes, sir.\I found something very nostalgic amongst your belongings.\It is the only thing...\I thought I would return it to you. response:	Father...
context: You can drop the act.\I know that you're up to something.\Bring it here.\Yes, sir.\I found something very nostalgic amongst your belongings.\It is the only thing...\I thought I would return it to you.\Father... response:	Very well.
context: I know that you're up to something.\Bring it here.\Yes, sir.\I found something very nostalgic amongst your belongings.\It is the only thing...\I thought I would return it to you.\Father...\Very well. response:	Father...
context: Bring it here.\Yes, sir.\I found something very nostalgic amongst your belongings.\It is the only thing...\I thought I would return it to you.\Father...\Very well.\Father... response:	I would like to tell you...
context: Yes, sir.\I found something very nostalgic amongst your belongings.\It is the only thing...\I thought I would return it to you.\Father...\Very well.\Father...\I would like to tell you... response:	The biggest threat from the Corpses is their ability to hide amongst people.
context: I found something very nostalgic amongst your belongings.\It is the only thing...\I thought I would return it to you.\Father...\Very well.\Father...\I would like to tell you...\The biggest threat from the Corpses is their ability to hide amongst people. response:	Even at this moment, they are increasing in numbers.
context: It is the only thing...\I thought I would return it to you.\Father...\Very well.\Father...\I would like to tell you...\The biggest threat from the Corpses is their ability to hide amongst people.\Even at this moment, they are increasing in numbers. response:	And I am able to tell them apart.
context: I thought I would return it to you.\Father...\Very well.\Father...\I would like to tell you...\The biggest threat from the Corpses is their ability to hide amongst people.\Even at this moment, they are increasing in numbers.\And I am able to tell them apart. response:	That's how I was able to survive.
context: Father...\Very well.\Father...\I would like to tell you...\The biggest threat from the Corpses is their ability to hide amongst people.\Even at this moment, they are increasing in numbers.\And I am able to tell them apart.\That's how I was able to survive. response:	Do you mean, the bite marks?
context: Very well.\Father...\I would like to tell you...\The biggest threat from the Corpses is their ability to hide amongst people.\Even at this moment, they are increasing in numbers.\And I am able to tell them apart.\That's how I was able to survive.\Do you mean, the bite marks? response:	That's why we perform the inspections!
context: Father...\I would like to tell you...\The biggest threat from the Corpses is their ability to hide amongst people.\Even at this moment, they are increasing in numbers.\And I am able to tell them apart.\That's how I was able to survive.\Do you mean, the bite marks?\That's why we perform the inspections! response:	You can't find the Corpses with your inspections!
context: I would like to tell you...\The biggest threat from the Corpses is their ability to hide amongst people.\Even at this moment, they are increasing in numbers.\And I am able to tell them apart.\That's how I was able to survive.\Do you mean, the bite marks?\That's why we perform the inspections!\You can't find the Corpses with your inspections! response:	As proof of that, they are amongst you here and now.
context: The biggest threat from the Corpses is their ability to hide amongst people.\Even at this moment, they are increasing in numbers.\And I am able to tell them apart.\That's how I was able to survive.\Do you mean, the bite marks?\That's why we perform the inspections!\You can't find the Corpses with your inspections!\As proof of that, they are amongst you here and now. response:	Take a good look!
context: Even at this moment, they are increasing in numbers.\And I am able to tell them apart.\That's how I was able to survive.\Do you mean, the bite marks?\That's why we perform the inspections!\You can't find the Corpses with your inspections!\As proof of that, they are amongst you here and now.\Take a good look! response:	If you find one, kill it before it kills you!
context: And I am able to tell them apart.\That's how I was able to survive.\Do you mean, the bite marks?\That's why we perform the inspections!\You can't find the Corpses with your inspections!\As proof of that, they are amongst you here and now.\Take a good look!\If you find one, kill it before it kills you! response:	Or else...
context: That's how I was able to survive.\Do you mean, the bite marks?\That's why we perform the inspections!\You can't find the Corpses with your inspections!\As proof of that, they are amongst you here and now.\Take a good look!\If you find one, kill it before it kills you!\Or else... response:	Bastard, how dare you aim your gun at me!
context: Do you mean, the bite marks?\That's why we perform the inspections!\You can't find the Corpses with your inspections!\As proof of that, they are amongst you here and now.\Take a good look!\If you find one, kill it before it kills you!\Or else...\Bastard, how dare you aim your gun at me! response:	Look!
