context: Mizusawa High School from Tokyo! response:	Congratulations.
context: Like a boatsman adrift...\Chihaya Furu\Episode 20\The fall paddy shacks\Everybody have everything?\We're good.\I'll have the trophy and other awards sent back to the school,\so place everything here. response:	Oh, I need to write out an invoice.
context: Chihaya Furu\Episode 20\The fall paddy shacks\Everybody have everything?\We're good.\I'll have the trophy and other awards sent back to the school,\so place everything here.\Oh, I need to write out an invoice. response:	How many are there in all?
context: Episode 20\The fall paddy shacks\Everybody have everything?\We're good.\I'll have the trophy and other awards sent back to the school,\so place everything here.\Oh, I need to write out an invoice.\How many are there in all? response:	Ms. Miyauchi?
context: The fall paddy shacks\Everybody have everything?\We're good.\I'll have the trophy and other awards sent back to the school,\so place everything here.\Oh, I need to write out an invoice.\How many are there in all?\Ms. Miyauchi? response:	What is it, Ayase-san?
context: Everybody have everything?\We're good.\I'll have the trophy and other awards sent back to the school,\so place everything here.\Oh, I need to write out an invoice.\How many are there in all?\Ms. Miyauchi?\What is it, Ayase-san? response:	Um, is there a hospital still open nearby?
context: We're good.\I'll have the trophy and other awards sent back to the school,\so place everything here.\Oh, I need to write out an invoice.\How many are there in all?\Ms. Miyauchi?\What is it, Ayase-san?\Um, is there a hospital still open nearby? response:	Huh?
context: I'll have the trophy and other awards sent back to the school,\so place everything here.\Oh, I need to write out an invoice.\How many are there in all?\Ms. Miyauchi?\What is it, Ayase-san?\Um, is there a hospital still open nearby?\Huh? response:	Wait, it's swollen!
context: so place everything here.\Oh, I need to write out an invoice.\How many are there in all?\Ms. Miyauchi?\What is it, Ayase-san?\Um, is there a hospital still open nearby?\Huh?\Wait, it's swollen! response:	Why didn't you say something sooner?
context: Oh, I need to write out an invoice.\How many are there in all?\Ms. Miyauchi?\What is it, Ayase-san?\Um, is there a hospital still open nearby?\Huh?\Wait, it's swollen!\Why didn't you say something sooner? response:	I know of an emergency clinic.
context: How many are there in all?\Ms. Miyauchi?\What is it, Ayase-san?\Um, is there a hospital still open nearby?\Huh?\Wait, it's swollen!\Why didn't you say something sooner?\I know of an emergency clinic. response:	We went there last year.
context: Ms. Miyauchi?\What is it, Ayase-san?\Um, is there a hospital still open nearby?\Huh?\Wait, it's swollen!\Why didn't you say something sooner?\I know of an emergency clinic.\We went there last year. response:	Oh, yeah...
context: What is it, Ayase-san?\Um, is there a hospital still open nearby?\Huh?\Wait, it's swollen!\Why didn't you say something sooner?\I know of an emergency clinic.\We went there last year.\Oh, yeah... response:	Oe-san, should we get you looked at too, just in case?
context: Um, is there a hospital still open nearby?\Huh?\Wait, it's swollen!\Why didn't you say something sooner?\I know of an emergency clinic.\We went there last year.\Oh, yeah...\Oe-san, should we get you looked at too, just in case? response:	The swelling's gone down.
context: Huh?\Wait, it's swollen!\Why didn't you say something sooner?\I know of an emergency clinic.\We went there last year.\Oh, yeah...\Oe-san, should we get you looked at too, just in case?\The swelling's gone down. response:	You're okay, then?
context: Wait, it's swollen!\Why didn't you say something sooner?\I know of an emergency clinic.\We went there last year.\Oh, yeah...\Oe-san, should we get you looked at too, just in case?\The swelling's gone down.\You're okay, then? response:	Mashima-kun, can you take over here?
context: Why didn't you say something sooner?\I know of an emergency clinic.\We went there last year.\Oh, yeah...\Oe-san, should we get you looked at too, just in case?\The swelling's gone down.\You're okay, then?\Mashima-kun, can you take over here? response:	Let's get going.
context: I know of an emergency clinic.\We went there last year.\Oh, yeah...\Oe-san, should we get you looked at too, just in case?\The swelling's gone down.\You're okay, then?\Mashima-kun, can you take over here?\Let's get going. response:	Will Chihaya-chan be okay?
context: We went there last year.\Oh, yeah...\Oe-san, should we get you looked at too, just in case?\The swelling's gone down.\You're okay, then?\Mashima-kun, can you take over here?\Let's get going.\Will Chihaya-chan be okay? response:	The individual tournament is tomorrow.
context: Oh, yeah...\Oe-san, should we get you looked at too, just in case?\The swelling's gone down.\You're okay, then?\Mashima-kun, can you take over here?\Let's get going.\Will Chihaya-chan be okay?\The individual tournament is tomorrow. response:	Well, let's start packing the awards.
context: Oe-san, should we get you looked at too, just in case?\The swelling's gone down.\You're okay, then?\Mashima-kun, can you take over here?\Let's get going.\Will Chihaya-chan be okay?\The individual tournament is tomorrow.\Well, let's start packing the awards. response:	Should we put the medals inside, too?
context: The swelling's gone down.\You're okay, then?\Mashima-kun, can you take over here?\Let's get going.\Will Chihaya-chan be okay?\The individual tournament is tomorrow.\Well, let's start packing the awards.\Should we put the medals inside, too? response:	Probably.
context: You're okay, then?\Mashima-kun, can you take over here?\Let's get going.\Will Chihaya-chan be okay?\The individual tournament is tomorrow.\Well, let's start packing the awards.\Should we put the medals inside, too?\Probably. response:	We'll need something to serve as a cushion.
context: Mashima-kun, can you take over here?\Let's get going.\Will Chihaya-chan be okay?\The individual tournament is tomorrow.\Well, let's start packing the awards.\Should we put the medals inside, too?\Probably.\We'll need something to serve as a cushion. response:	How about a towel?
context: Let's get going.\Will Chihaya-chan be okay?\The individual tournament is tomorrow.\Well, let's start packing the awards.\Should we put the medals inside, too?\Probably.\We'll need something to serve as a cushion.\How about a towel? response:	Taichi.
context: Will Chihaya-chan be okay?\The individual tournament is tomorrow.\Well, let's start packing the awards.\Should we put the medals inside, too?\Probably.\We'll need something to serve as a cushion.\How about a towel?\Taichi. response:	I forgot.
context: The individual tournament is tomorrow.\Well, let's start packing the awards.\Should we put the medals inside, too?\Probably.\We'll need something to serve as a cushion.\How about a towel?\Taichi.\I forgot. response:	Here's a gift.
context: Well, let's start packing the awards.\Should we put the medals inside, too?\Probably.\We'll need something to serve as a cushion.\How about a towel?\Taichi.\I forgot.\Here's a gift. response:	Famous Sake Manju
context: Should we put the medals inside, too?\Probably.\We'll need something to serve as a cushion.\How about a towel?\Taichi.\I forgot.\Here's a gift.\Famous Sake Manju response:	Fukui's famous sake manju...
context: Probably.\We'll need something to serve as a cushion.\How about a towel?\Taichi.\I forgot.\Here's a gift.\Famous Sake Manju\Fukui's famous sake manju... response:	What happened to Chihaya?
context: We'll need something to serve as a cushion.\How about a towel?\Taichi.\I forgot.\Here's a gift.\Famous Sake Manju\Fukui's famous sake manju...\What happened to Chihaya? response:	Arata, are you walking to the station, too?
context: How about a towel?\Taichi.\I forgot.\Here's a gift.\Famous Sake Manju\Fukui's famous sake manju...\What happened to Chihaya?\Arata, are you walking to the station, too? response:	No, my uncle's coming in his car to pick me up.
context: Taichi.\I forgot.\Here's a gift.\Famous Sake Manju\Fukui's famous sake manju...\What happened to Chihaya?\Arata, are you walking to the station, too?\No, my uncle's coming in his car to pick me up. response:	Oh.
context: I forgot.\Here's a gift.\Famous Sake Manju\Fukui's famous sake manju...\What happened to Chihaya?\Arata, are you walking to the station, too?\No, my uncle's coming in his car to pick me up.\Oh. response:	Hokuo!
context: Here's a gift.\Famous Sake Manju\Fukui's famous sake manju...\What happened to Chihaya?\Arata, are you walking to the station, too?\No, my uncle's coming in his car to pick me up.\Oh.\Hokuo! response:	Fight! Fight!
context: Famous Sake Manju\Fukui's famous sake manju...\What happened to Chihaya?\Arata, are you walking to the station, too?\No, my uncle's coming in his car to pick me up.\Oh.\Hokuo!\Fight! Fight! response:	Third Place Tokyo Hokuo Academy
context: Fukui's famous sake manju...\What happened to Chihaya?\Arata, are you walking to the station, too?\No, my uncle's coming in his car to pick me up.\Oh.\Hokuo!\Fight! Fight!\Third Place Tokyo Hokuo Academy response:	We're sprinting to the station, wimps!
context: What happened to Chihaya?\Arata, are you walking to the station, too?\No, my uncle's coming in his car to pick me up.\Oh.\Hokuo!\Fight! Fight!\Third Place Tokyo Hokuo Academy\We're sprinting to the station, wimps! response:	Boys' schools are full of idiots.
context: Arata, are you walking to the station, too?\No, my uncle's coming in his car to pick me up.\Oh.\Hokuo!\Fight! Fight!\Third Place Tokyo Hokuo Academy\We're sprinting to the station, wimps!\Boys' schools are full of idiots. response:	Fourth Place Hyogo Prefecture First Akashi Girls' High School
context: No, my uncle's coming in his car to pick me up.\Oh.\Hokuo!\Fight! Fight!\Third Place Tokyo Hokuo Academy\We're sprinting to the station, wimps!\Boys' schools are full of idiots.\Fourth Place Hyogo Prefecture First Akashi Girls' High School response:	I'm dying for a bath.
context: Oh.\Hokuo!\Fight! Fight!\Third Place Tokyo Hokuo Academy\We're sprinting to the station, wimps!\Boys' schools are full of idiots.\Fourth Place Hyogo Prefecture First Akashi Girls' High School\I'm dying for a bath. response:	Did you call for a taxi, Coach?
context: Hokuo!\Fight! Fight!\Third Place Tokyo Hokuo Academy\We're sprinting to the station, wimps!\Boys' schools are full of idiots.\Fourth Place Hyogo Prefecture First Akashi Girls' High School\I'm dying for a bath.\Did you call for a taxi, Coach? response:	I'm starving.
context: Fight! Fight!\Third Place Tokyo Hokuo Academy\We're sprinting to the station, wimps!\Boys' schools are full of idiots.\Fourth Place Hyogo Prefecture First Akashi Girls' High School\I'm dying for a bath.\Did you call for a taxi, Coach?\I'm starving. response:	We need to save our energy for the individual tournament tomorrow.
context: Third Place Tokyo Hokuo Academy\We're sprinting to the station, wimps!\Boys' schools are full of idiots.\Fourth Place Hyogo Prefecture First Akashi Girls' High School\I'm dying for a bath.\Did you call for a taxi, Coach?\I'm starving.\We need to save our energy for the individual tournament tomorrow. response:	What?!
context: We're sprinting to the station, wimps!\Boys' schools are full of idiots.\Fourth Place Hyogo Prefecture First Akashi Girls' High School\I'm dying for a bath.\Did you call for a taxi, Coach?\I'm starving.\We need to save our energy for the individual tournament tomorrow.\What?! response:	Wataya-san, Mashima-senpai, and Ayase-senpai are childhood friends?!
context: Boys' schools are full of idiots.\Fourth Place Hyogo Prefecture First Akashi Girls' High School\I'm dying for a bath.\Did you call for a taxi, Coach?\I'm starving.\We need to save our energy for the individual tournament tomorrow.\What?!\Wataya-san, Mashima-senpai, and Ayase-senpai are childhood friends?! response:	Well... Yeah.
context: Fourth Place Hyogo Prefecture First Akashi Girls' High School\I'm dying for a bath.\Did you call for a taxi, Coach?\I'm starving.\We need to save our energy for the individual tournament tomorrow.\What?!\Wataya-san, Mashima-senpai, and Ayase-senpai are childhood friends?!\Well... Yeah. response:	When you put it that way,
context: I'm dying for a bath.\Did you call for a taxi, Coach?\I'm starving.\We need to save our energy for the individual tournament tomorrow.\What?!\Wataya-san, Mashima-senpai, and Ayase-senpai are childhood friends?!\Well... Yeah.\When you put it that way, response:	No way! What kind of balance is that?!
context: Did you call for a taxi, Coach?\I'm starving.\We need to save our energy for the individual tournament tomorrow.\What?!\Wataya-san, Mashima-senpai, and Ayase-senpai are childhood friends?!\Well... Yeah.\When you put it that way,\No way! What kind of balance is that?! response:	I'm childhood friends with Retro from Hokuo...
context: I'm starving.\We need to save our energy for the individual tournament tomorrow.\What?!\Wataya-san, Mashima-senpai, and Ayase-senpai are childhood friends?!\Well... Yeah.\When you put it that way,\No way! What kind of balance is that?!\I'm childhood friends with Retro from Hokuo... response:	I smell a love triangle in the air!
context: We need to save our energy for the individual tournament tomorrow.\What?!\Wataya-san, Mashima-senpai, and Ayase-senpai are childhood friends?!\Well... Yeah.\When you put it that way,\No way! What kind of balance is that?!\I'm childhood friends with Retro from Hokuo...\I smell a love triangle in the air! response:	Childhood
context: What?!\Wataya-san, Mashima-senpai, and Ayase-senpai are childhood friends?!\Well... Yeah.\When you put it that way,\No way! What kind of balance is that?!\I'm childhood friends with Retro from Hokuo...\I smell a love triangle in the air!\Childhood response:	Friends
context: Wataya-san, Mashima-senpai, and Ayase-senpai are childhood friends?!\Well... Yeah.\When you put it that way,\No way! What kind of balance is that?!\I'm childhood friends with Retro from Hokuo...\I smell a love triangle in the air!\Childhood\Friends response:	She's not listening.
context: Well... Yeah.\When you put it that way,\No way! What kind of balance is that?!\I'm childhood friends with Retro from Hokuo...\I smell a love triangle in the air!\Childhood\Friends\She's not listening. response:	Is your school co-ed, Wataya-san?!
context: When you put it that way,\No way! What kind of balance is that?!\I'm childhood friends with Retro from Hokuo...\I smell a love triangle in the air!\Childhood\Friends\She's not listening.\Is your school co-ed, Wataya-san?! response:	What's your type?!
context: No way! What kind of balance is that?!\I'm childhood friends with Retro from Hokuo...\I smell a love triangle in the air!\Childhood\Friends\She's not listening.\Is your school co-ed, Wataya-san?!\What's your type?! response:	Do you have a girlfriend?!
context: I'm childhood friends with Retro from Hokuo...\I smell a love triangle in the air!\Childhood\Friends\She's not listening.\Is your school co-ed, Wataya-san?!\What's your type?!\Do you have a girlfriend?! response:	But! But! This is very important!
context: I smell a love triangle in the air!\Childhood\Friends\She's not listening.\Is your school co-ed, Wataya-san?!\What's your type?!\Do you have a girlfriend?!\But! But! This is very important! response:	Show some restraint!
context: Childhood\Friends\She's not listening.\Is your school co-ed, Wataya-san?!\What's your type?!\Do you have a girlfriend?!\But! But! This is very important!\Show some restraint! response:	But! But! But!
context: Friends\She's not listening.\Is your school co-ed, Wataya-san?!\What's your type?!\Do you have a girlfriend?!\But! But! This is very important!\Show some restraint!\But! But! But! response:	We're going on ahead.
context: She's not listening.\Is your school co-ed, Wataya-san?!\What's your type?!\Do you have a girlfriend?!\But! But! This is very important!\Show some restraint!\But! But! But!\We're going on ahead. response:	I understand how you feel! I do!
context: Is your school co-ed, Wataya-san?!\What's your type?!\Do you have a girlfriend?!\But! But! This is very important!\Show some restraint!\But! But! But!\We're going on ahead.\I understand how you feel! I do! response:	I'm hungry.
context: What's your type?!\Do you have a girlfriend?!\But! But! This is very important!\Show some restraint!\But! But! But!\We're going on ahead.\I understand how you feel! I do!\I'm hungry. response:	What's for dinner?
context: Do you have a girlfriend?!\But! But! This is very important!\Show some restraint!\But! But! But!\We're going on ahead.\I understand how you feel! I do!\I'm hungry.\What's for dinner? response:	I wanna know! I wanna know!
context: But! But! This is very important!\Show some restraint!\But! But! But!\We're going on ahead.\I understand how you feel! I do!\I'm hungry.\What's for dinner?\I wanna know! I wanna know! response:	That's amazing, Taichi.
context: Show some restraint!\But! But! But!\We're going on ahead.\I understand how you feel! I do!\I'm hungry.\What's for dinner?\I wanna know! I wanna know!\That's amazing, Taichi. response:	That girl also plays karuta?
context: But! But! But!\We're going on ahead.\I understand how you feel! I do!\I'm hungry.\What's for dinner?\I wanna know! I wanna know!\That's amazing, Taichi.\That girl also plays karuta? response:	She's a beginner.
context: We're going on ahead.\I understand how you feel! I do!\I'm hungry.\What's for dinner?\I wanna know! I wanna know!\That's amazing, Taichi.\That girl also plays karuta?\She's a beginner. response:	Chihaya worked hard to recruit them.
context: I understand how you feel! I do!\I'm hungry.\What's for dinner?\I wanna know! I wanna know!\That's amazing, Taichi.\That girl also plays karuta?\She's a beginner.\Chihaya worked hard to recruit them. response:	Really...
context: I'm hungry.\What's for dinner?\I wanna know! I wanna know!\That's amazing, Taichi.\That girl also plays karuta?\She's a beginner.\Chihaya worked hard to recruit them.\Really... response:	Team...
context: What's for dinner?\I wanna know! I wanna know!\That's amazing, Taichi.\That girl also plays karuta?\She's a beginner.\Chihaya worked hard to recruit them.\Really...\Team... response:	Taichi, in my mind,
context: I wanna know! I wanna know!\That's amazing, Taichi.\That girl also plays karuta?\She's a beginner.\Chihaya worked hard to recruit them.\Really...\Team...\Taichi, in my mind, response:	the only team for me is the one I had with you and Chihaya.
context: That's amazing, Taichi.\That girl also plays karuta?\She's a beginner.\Chihaya worked hard to recruit them.\Really...\Team...\Taichi, in my mind,\the only team for me is the one I had with you and Chihaya. response:	I sound pretty creepy.
context: That girl also plays karuta?\She's a beginner.\Chihaya worked hard to recruit them.\Really...\Team...\Taichi, in my mind,\the only team for me is the one I had with you and Chihaya.\I sound pretty creepy. response:	Especially since I was looking up at the moon.
context: She's a beginner.\Chihaya worked hard to recruit them.\Really...\Team...\Taichi, in my mind,\the only team for me is the one I had with you and Chihaya.\I sound pretty creepy.\Especially since I was looking up at the moon. response:	Oh, never mind.
context: Chihaya worked hard to recruit them.\Really...\Team...\Taichi, in my mind,\the only team for me is the one I had with you and Chihaya.\I sound pretty creepy.\Especially since I was looking up at the moon.\Oh, never mind. response:	On a different subject,
context: Really...\Team...\Taichi, in my mind,\the only team for me is the one I had with you and Chihaya.\I sound pretty creepy.\Especially since I was looking up at the moon.\Oh, never mind.\On a different subject, response:	Tokyo
context: Team...\Taichi, in my mind,\the only team for me is the one I had with you and Chihaya.\I sound pretty creepy.\Especially since I was looking up at the moon.\Oh, never mind.\On a different subject,\Tokyo response:	I'm planning on going to college in Tokyo.
context: Taichi, in my mind,\the only team for me is the one I had with you and Chihaya.\I sound pretty creepy.\Especially since I was looking up at the moon.\Oh, never mind.\On a different subject,\Tokyo\I'm planning on going to college in Tokyo. response:	What?
context: the only team for me is the one I had with you and Chihaya.\I sound pretty creepy.\Especially since I was looking up at the moon.\Oh, never mind.\On a different subject,\Tokyo\I'm planning on going to college in Tokyo.\What? response:	Wh-Which college?
context: I sound pretty creepy.\Especially since I was looking up at the moon.\Oh, never mind.\On a different subject,\Tokyo\I'm planning on going to college in Tokyo.\What?\Wh-Which college? response:	Any place I can get a scholarship.
context: Especially since I was looking up at the moon.\Oh, never mind.\On a different subject,\Tokyo\I'm planning on going to college in Tokyo.\What?\Wh-Which college?\Any place I can get a scholarship. response:	I'll win the individual tournament tomorrow
context: Oh, never mind.\On a different subject,\Tokyo\I'm planning on going to college in Tokyo.\What?\Wh-Which college?\Any place I can get a scholarship.\I'll win the individual tournament tomorrow response:	and go to Tokyo.
context: On a different subject,\Tokyo\I'm planning on going to college in Tokyo.\What?\Wh-Which college?\Any place I can get a scholarship.\I'll win the individual tournament tomorrow\and go to Tokyo. response:	Tokyo...
context: Tokyo\I'm planning on going to college in Tokyo.\What?\Wh-Which college?\Any place I can get a scholarship.\I'll win the individual tournament tomorrow\and go to Tokyo.\Tokyo... response:	Arata's...
context: I'm planning on going to college in Tokyo.\What?\Wh-Which college?\Any place I can get a scholarship.\I'll win the individual tournament tomorrow\and go to Tokyo.\Tokyo...\Arata's... response:	coming to Tokyo.
context: What?\Wh-Which college?\Any place I can get a scholarship.\I'll win the individual tournament tomorrow\and go to Tokyo.\Tokyo...\Arata's...\coming to Tokyo. response:	Oh, that's my uncle's car.
context: Wh-Which college?\Any place I can get a scholarship.\I'll win the individual tournament tomorrow\and go to Tokyo.\Tokyo...\Arata's...\coming to Tokyo.\Oh, that's my uncle's car. response:	Bye, Taichi.
context: Any place I can get a scholarship.\I'll win the individual tournament tomorrow\and go to Tokyo.\Tokyo...\Arata's...\coming to Tokyo.\Oh, that's my uncle's car.\Bye, Taichi. response:	See you tomorrow.
context: I'll win the individual tournament tomorrow\and go to Tokyo.\Tokyo...\Arata's...\coming to Tokyo.\Oh, that's my uncle's car.\Bye, Taichi.\See you tomorrow. response:	Arata...
context: and go to Tokyo.\Tokyo...\Arata's...\coming to Tokyo.\Oh, that's my uncle's car.\Bye, Taichi.\See you tomorrow.\Arata... response:	Chihaya wants to be on a team with you again,
context: Tokyo...\Arata's...\coming to Tokyo.\Oh, that's my uncle's car.\Bye, Taichi.\See you tomorrow.\Arata...\Chihaya wants to be on a team with you again, response:	but I don't.
context: Arata's...\coming to Tokyo.\Oh, that's my uncle's car.\Bye, Taichi.\See you tomorrow.\Arata...\Chihaya wants to be on a team with you again,\but I don't. response:	You're my enemy.
context: coming to Tokyo.\Oh, that's my uncle's car.\Bye, Taichi.\See you tomorrow.\Arata...\Chihaya wants to be on a team with you again,\but I don't.\You're my enemy. response:	Did you say something?
context: Oh, that's my uncle's car.\Bye, Taichi.\See you tomorrow.\Arata...\Chihaya wants to be on a team with you again,\but I don't.\You're my enemy.\Did you say something? response:	No.
context: Bye, Taichi.\See you tomorrow.\Arata...\Chihaya wants to be on a team with you again,\but I don't.\You're my enemy.\Did you say something?\No. response:	See you tomorrow.
context: See you tomorrow.\Arata...\Chihaya wants to be on a team with you again,\but I don't.\You're my enemy.\Did you say something?\No.\See you tomorrow. response:	What is this?
context: Arata...\Chihaya wants to be on a team with you again,\but I don't.\You're my enemy.\Did you say something?\No.\See you tomorrow.\What is this? response:	Huh?! What do you mean, Doctor?!
context: Chihaya wants to be on a team with you again,\but I don't.\You're my enemy.\Did you say something?\No.\See you tomorrow.\What is this?\Huh?! What do you mean, Doctor?! response:	It doesn't look like any bones were broken,
context: but I don't.\You're my enemy.\Did you say something?\No.\See you tomorrow.\What is this?\Huh?! What do you mean, Doctor?!\It doesn't look like any bones were broken, response:	but there appears to be a chip fracture.
context: You're my enemy.\Did you say something?\No.\See you tomorrow.\What is this?\Huh?! What do you mean, Doctor?!\It doesn't look like any bones were broken,\but there appears to be a chip fracture. response:	Chip fracture?!
context: Did you say something?\No.\See you tomorrow.\What is this?\Huh?! What do you mean, Doctor?!\It doesn't look like any bones were broken,\but there appears to be a chip fracture.\Chip fracture?! response:	But a fracture would hurt more,
context: No.\See you tomorrow.\What is this?\Huh?! What do you mean, Doctor?!\It doesn't look like any bones were broken,\but there appears to be a chip fracture.\Chip fracture?!\But a fracture would hurt more, response:	and the swelling isn't that bad.
context: See you tomorrow.\What is this?\Huh?! What do you mean, Doctor?!\It doesn't look like any bones were broken,\but there appears to be a chip fracture.\Chip fracture?!\But a fracture would hurt more,\and the swelling isn't that bad. response:	I'll write up a referral,
context: What is this?\Huh?! What do you mean, Doctor?!\It doesn't look like any bones were broken,\but there appears to be a chip fracture.\Chip fracture?!\But a fracture would hurt more,\and the swelling isn't that bad.\I'll write up a referral, response:	so you should go to a bigger hospital for a second opinion.
context: Huh?! What do you mean, Doctor?!\It doesn't look like any bones were broken,\but there appears to be a chip fracture.\Chip fracture?!\But a fracture would hurt more,\and the swelling isn't that bad.\I'll write up a referral,\so you should go to a bigger hospital for a second opinion. response:	What?!
context: It doesn't look like any bones were broken,\but there appears to be a chip fracture.\Chip fracture?!\But a fracture would hurt more,\and the swelling isn't that bad.\I'll write up a referral,\so you should go to a bigger hospital for a second opinion.\What?! response:	She has a competitive karuta tournament tomorrow.
context: but there appears to be a chip fracture.\Chip fracture?!\But a fracture would hurt more,\and the swelling isn't that bad.\I'll write up a referral,\so you should go to a bigger hospital for a second opinion.\What?!\She has a competitive karuta tournament tomorrow. response:	Can she participate?
context: Chip fracture?!\But a fracture would hurt more,\and the swelling isn't that bad.\I'll write up a referral,\so you should go to a bigger hospital for a second opinion.\What?!\She has a competitive karuta tournament tomorrow.\Can she participate? response:	Karuta?
context: But a fracture would hurt more,\and the swelling isn't that bad.\I'll write up a referral,\so you should go to a bigger hospital for a second opinion.\What?!\She has a competitive karuta tournament tomorrow.\Can she participate?\Karuta? response:	Wow, you're good
context: and the swelling isn't that bad.\I'll write up a referral,\so you should go to a bigger hospital for a second opinion.\What?!\She has a competitive karuta tournament tomorrow.\Can she participate?\Karuta?\Wow, you're good response:	Got it
context: I'll write up a referral,\so you should go to a bigger hospital for a second opinion.\What?!\She has a competitive karuta tournament tomorrow.\Can she participate?\Karuta?\Wow, you're good\Got it response:	If you mean this, it should be okay.
context: so you should go to a bigger hospital for a second opinion.\What?!\She has a competitive karuta tournament tomorrow.\Can she participate?\Karuta?\Wow, you're good\Got it\If you mean this, it should be okay. response:	It's a little more intense.
context: What?!\She has a competitive karuta tournament tomorrow.\Can she participate?\Karuta?\Wow, you're good\Got it\If you mean this, it should be okay.\It's a little more intense. response:	She should refrain from any intense activity.
context: She has a competitive karuta tournament tomorrow.\Can she participate?\Karuta?\Wow, you're good\Got it\If you mean this, it should be okay.\It's a little more intense.\She should refrain from any intense activity. response:	The bone has been weakened.
context: Can she participate?\Karuta?\Wow, you're good\Got it\If you mean this, it should be okay.\It's a little more intense.\She should refrain from any intense activity.\The bone has been weakened. response:	And it'll be painful if you hit it.
