context: You were late today, Ebata. response:	I apologize.
context: the worst luck.\Uesugi-san and Raiha-chan!\Why are you always around?\Why don't you stop by our place?\Nah, we'll pass.\I'll go!\Nakano\I love you, too. response:	They kissed...
context: Uesugi-san and Raiha-chan!\Why are you always around?\Why don't you stop by our place?\Nah, we'll pass.\I'll go!\Nakano\I love you, too.\They kissed... response:	It's so romantic.
context: Why are you always around?\Why don't you stop by our place?\Nah, we'll pass.\I'll go!\Nakano\I love you, too.\They kissed...\It's so romantic. response:	Why did you even invite us over?
context: Why don't you stop by our place?\Nah, we'll pass.\I'll go!\Nakano\I love you, too.\They kissed...\It's so romantic.\Why did you even invite us over? response:	Come on, it's the new year. Let's relax.
context: Nah, we'll pass.\I'll go!\Nakano\I love you, too.\They kissed...\It's so romantic.\Why did you even invite us over?\Come on, it's the new year. Let's relax. response:	Happy New Year, Futaro.
context: I'll go!\Nakano\I love you, too.\They kissed...\It's so romantic.\Why did you even invite us over?\Come on, it's the new year. Let's relax.\Happy New Year, Futaro. response:	I made a New Year's meal.
context: Nakano\I love you, too.\They kissed...\It's so romantic.\Why did you even invite us over?\Come on, it's the new year. Let's relax.\Happy New Year, Futaro.\I made a New Year's meal. response:	Want some?
context: I love you, too.\They kissed...\It's so romantic.\Why did you even invite us over?\Come on, it's the new year. Let's relax.\Happy New Year, Futaro.\I made a New Year's meal.\Want some? response:	Huh?
context: They kissed...\It's so romantic.\Why did you even invite us over?\Come on, it's the new year. Let's relax.\Happy New Year, Futaro.\I made a New Year's meal.\Want some?\Huh? response:	What's wrong, Raiha-chan?
context: It's so romantic.\Why did you even invite us over?\Come on, it's the new year. Let's relax.\Happy New Year, Futaro.\I made a New Year's meal.\Want some?\Huh?\What's wrong, Raiha-chan? response:	Um...
context: Why did you even invite us over?\Come on, it's the new year. Let's relax.\Happy New Year, Futaro.\I made a New Year's meal.\Want some?\Huh?\What's wrong, Raiha-chan?\Um... response:	I think I had the wrong idea about you all.
context: Come on, it's the new year. Let's relax.\Happy New Year, Futaro.\I made a New Year's meal.\Want some?\Huh?\What's wrong, Raiha-chan?\Um...\I think I had the wrong idea about you all. response:	I'd heard your family was really rich.
context: Happy New Year, Futaro.\I made a New Year's meal.\Want some?\Huh?\What's wrong, Raiha-chan?\Um...\I think I had the wrong idea about you all.\I'd heard your family was really rich. response:	O-Oh, well, things happened.
context: I made a New Year's meal.\Want some?\Huh?\What's wrong, Raiha-chan?\Um...\I think I had the wrong idea about you all.\I'd heard your family was really rich.\O-Oh, well, things happened. response:	Sorry we don't really have much.
context: Want some?\Huh?\What's wrong, Raiha-chan?\Um...\I think I had the wrong idea about you all.\I'd heard your family was really rich.\O-Oh, well, things happened.\Sorry we don't really have much. response:	We have to return the kimonos to our landlord, too.
context: Huh?\What's wrong, Raiha-chan?\Um...\I think I had the wrong idea about you all.\I'd heard your family was really rich.\O-Oh, well, things happened.\Sorry we don't really have much.\We have to return the kimonos to our landlord, too. response:	Anyway, you can make yourself at home.
context: What's wrong, Raiha-chan?\Um...\I think I had the wrong idea about you all.\I'd heard your family was really rich.\O-Oh, well, things happened.\Sorry we don't really have much.\We have to return the kimonos to our landlord, too.\Anyway, you can make yourself at home. response:	Okay.
context: Um...\I think I had the wrong idea about you all.\I'd heard your family was really rich.\O-Oh, well, things happened.\Sorry we don't really have much.\We have to return the kimonos to our landlord, too.\Anyway, you can make yourself at home.\Okay. response:	Are you guys sure you're all right?
context: I think I had the wrong idea about you all.\I'd heard your family was really rich.\O-Oh, well, things happened.\Sorry we don't really have much.\We have to return the kimonos to our landlord, too.\Anyway, you can make yourself at home.\Okay.\Are you guys sure you're all right? response:	Hey.
context: I'd heard your family was really rich.\O-Oh, well, things happened.\Sorry we don't really have much.\We have to return the kimonos to our landlord, too.\Anyway, you can make yourself at home.\Okay.\Are you guys sure you're all right?\Hey. response:	Why are you sitting over there?
context: O-Oh, well, things happened.\Sorry we don't really have much.\We have to return the kimonos to our landlord, too.\Anyway, you can make yourself at home.\Okay.\Are you guys sure you're all right?\Hey.\Why are you sitting over there? response:	Isn't it cold?
context: Sorry we don't really have much.\We have to return the kimonos to our landlord, too.\Anyway, you can make yourself at home.\Okay.\Are you guys sure you're all right?\Hey.\Why are you sitting over there?\Isn't it cold? response:	Get in the kotatsu.
context: We have to return the kimonos to our landlord, too.\Anyway, you can make yourself at home.\Okay.\Are you guys sure you're all right?\Hey.\Why are you sitting over there?\Isn't it cold?\Get in the kotatsu. response:	Okay, Raiha, go.
context: Anyway, you can make yourself at home.\Okay.\Are you guys sure you're all right?\Hey.\Why are you sitting over there?\Isn't it cold?\Get in the kotatsu.\Okay, Raiha, go. response:	Come on, don't be shy.
context: Okay.\Are you guys sure you're all right?\Hey.\Why are you sitting over there?\Isn't it cold?\Get in the kotatsu.\Okay, Raiha, go.\Come on, don't be shy. response:	I'll give you a massage.
context: Are you guys sure you're all right?\Hey.\Why are you sitting over there?\Isn't it cold?\Get in the kotatsu.\Okay, Raiha, go.\Come on, don't be shy.\I'll give you a massage. response:	You must be tired.
context: Hey.\Why are you sitting over there?\Isn't it cold?\Get in the kotatsu.\Okay, Raiha, go.\Come on, don't be shy.\I'll give you a massage.\You must be tired. response:	No, I'm not really tired.
context: Why are you sitting over there?\Isn't it cold?\Get in the kotatsu.\Okay, Raiha, go.\Come on, don't be shy.\I'll give you a massage.\You must be tired.\No, I'm not really tired. response:	No fair, Ichika.
context: Isn't it cold?\Get in the kotatsu.\Okay, Raiha, go.\Come on, don't be shy.\I'll give you a massage.\You must be tired.\No, I'm not really tired.\No fair, Ichika. response:	First come, first served.
context: Get in the kotatsu.\Okay, Raiha, go.\Come on, don't be shy.\I'll give you a massage.\You must be tired.\No, I'm not really tired.\No fair, Ichika.\First come, first served. response:	I get his arms, then!
context: Okay, Raiha, go.\Come on, don't be shy.\I'll give you a massage.\You must be tired.\No, I'm not really tired.\No fair, Ichika.\First come, first served.\I get his arms, then! response:	Oh, fine.
context: Come on, don't be shy.\I'll give you a massage.\You must be tired.\No, I'm not really tired.\No fair, Ichika.\First come, first served.\I get his arms, then!\Oh, fine. response:	I'd like to massage his legs, then.
context: I'll give you a massage.\You must be tired.\No, I'm not really tired.\No fair, Ichika.\First come, first served.\I get his arms, then!\Oh, fine.\I'd like to massage his legs, then. response:	Onii-chan's popular all of a sudden!
context: You must be tired.\No, I'm not really tired.\No fair, Ichika.\First come, first served.\I get his arms, then!\Oh, fine.\I'd like to massage his legs, then.\Onii-chan's popular all of a sudden! response:	Mom, spring has come early for Onii-chan.
context: No, I'm not really tired.\No fair, Ichika.\First come, first served.\I get his arms, then!\Oh, fine.\I'd like to massage his legs, then.\Onii-chan's popular all of a sudden!\Mom, spring has come early for Onii-chan. response:	What are you guys plotting?
context: No fair, Ichika.\First come, first served.\I get his arms, then!\Oh, fine.\I'd like to massage his legs, then.\Onii-chan's popular all of a sudden!\Mom, spring has come early for Onii-chan.\What are you guys plotting? response:	Urp.
context: First come, first served.\I get his arms, then!\Oh, fine.\I'd like to massage his legs, then.\Onii-chan's popular all of a sudden!\Mom, spring has come early for Onii-chan.\What are you guys plotting?\Urp. response:	I-It's nothing.
context: I get his arms, then!\Oh, fine.\I'd like to massage his legs, then.\Onii-chan's popular all of a sudden!\Mom, spring has come early for Onii-chan.\What are you guys plotting?\Urp.\I-It's nothing. response:	We're just thanking you for everything.
context: Oh, fine.\I'd like to massage his legs, then.\Onii-chan's popular all of a sudden!\Mom, spring has come early for Onii-chan.\What are you guys plotting?\Urp.\I-It's nothing.\We're just thanking you for everything. response:	Liar!
context: I'd like to massage his legs, then.\Onii-chan's popular all of a sudden!\Mom, spring has come early for Onii-chan.\What are you guys plotting?\Urp.\I-It's nothing.\We're just thanking you for everything.\Liar! response:	You always work so hard.
context: Onii-chan's popular all of a sudden!\Mom, spring has come early for Onii-chan.\What are you guys plotting?\Urp.\I-It's nothing.\We're just thanking you for everything.\Liar!\You always work so hard. response:	Something's really fishy.
context: Mom, spring has come early for Onii-chan.\What are you guys plotting?\Urp.\I-It's nothing.\We're just thanking you for everything.\Liar!\You always work so hard.\Something's really fishy. response:	Please have some of my food, if you'd like.
context: What are you guys plotting?\Urp.\I-It's nothing.\We're just thanking you for everything.\Liar!\You always work so hard.\Something's really fishy.\Please have some of my food, if you'd like. response:	Way too fishy.
context: Urp.\I-It's nothing.\We're just thanking you for everything.\Liar!\You always work so hard.\Something's really fishy.\Please have some of my food, if you'd like.\Way too fishy. response:	Why don't we play fukuwarai to get into the New Year's spirit?
context: I-It's nothing.\We're just thanking you for everything.\Liar!\You always work so hard.\Something's really fishy.\Please have some of my food, if you'd like.\Way too fishy.\Why don't we play fukuwarai to get into the New Year's spirit? response:	We made a quintuplets version!
context: We're just thanking you for everything.\Liar!\You always work so hard.\Something's really fishy.\Please have some of my food, if you'd like.\Way too fishy.\Why don't we play fukuwarai to get into the New Year's spirit?\We made a quintuplets version! response:	That's way too hard!
context: Liar!\You always work so hard.\Something's really fishy.\Please have some of my food, if you'd like.\Way too fishy.\Why don't we play fukuwarai to get into the New Year's spirit?\We made a quintuplets version!\That's way too hard! response:	Um...
context: You always work so hard.\Something's really fishy.\Please have some of my food, if you'd like.\Way too fishy.\Why don't we play fukuwarai to get into the New Year's spirit?\We made a quintuplets version!\That's way too hard!\Um... response:	There's something we'd like to discuss with you.
context: Something's really fishy.\Please have some of my food, if you'd like.\Way too fishy.\Why don't we play fukuwarai to get into the New Year's spirit?\We made a quintuplets version!\That's way too hard!\Um...\There's something we'd like to discuss with you. response:	It's too early for that!
context: Please have some of my food, if you'd like.\Way too fishy.\Why don't we play fukuwarai to get into the New Year's spirit?\We made a quintuplets version!\That's way too hard!\Um...\There's something we'd like to discuss with you.\It's too early for that! response:	Why don't we all go to the other room?
context: Way too fishy.\Why don't we play fukuwarai to get into the New Year's spirit?\We made a quintuplets version!\That's way too hard!\Um...\There's something we'd like to discuss with you.\It's too early for that!\Why don't we all go to the other room? response:	What are they scheming?
context: Why don't we play fukuwarai to get into the New Year's spirit?\We made a quintuplets version!\That's way too hard!\Um...\There's something we'd like to discuss with you.\It's too early for that!\Why don't we all go to the other room?\What are they scheming? response:	What should we do?
context: We made a quintuplets version!\That's way too hard!\Um...\There's something we'd like to discuss with you.\It's too early for that!\Why don't we all go to the other room?\What are they scheming?\What should we do? response:	I don't think it bothers him at all.
context: That's way too hard!\Um...\There's something we'd like to discuss with you.\It's too early for that!\Why don't we all go to the other room?\What are they scheming?\What should we do?\I don't think it bothers him at all. response:	I'd feel bad, though.
context: Um...\There's something we'd like to discuss with you.\It's too early for that!\Why don't we all go to the other room?\What are they scheming?\What should we do?\I don't think it bothers him at all.\I'd feel bad, though. response:	We're asking him to continue teaching us without pay.
context: There's something we'd like to discuss with you.\It's too early for that!\Why don't we all go to the other room?\What are they scheming?\What should we do?\I don't think it bothers him at all.\I'd feel bad, though.\We're asking him to continue teaching us without pay. response:	I want to do something for him.
context: It's too early for that!\Why don't we all go to the other room?\What are they scheming?\What should we do?\I don't think it bothers him at all.\I'd feel bad, though.\We're asking him to continue teaching us without pay.\I want to do something for him. response:	And I don't want to depend on Father, if we can avoid it.
context: Why don't we all go to the other room?\What are they scheming?\What should we do?\I don't think it bothers him at all.\I'd feel bad, though.\We're asking him to continue teaching us without pay.\I want to do something for him.\And I don't want to depend on Father, if we can avoid it. response:	But what is there that we could do for him?
context: What are they scheming?\What should we do?\I don't think it bothers him at all.\I'd feel bad, though.\We're asking him to continue teaching us without pay.\I want to do something for him.\And I don't want to depend on Father, if we can avoid it.\But what is there that we could do for him? response:	Th-That's inappropriate!
context: What should we do?\I don't think it bothers him at all.\I'd feel bad, though.\We're asking him to continue teaching us without pay.\I want to do something for him.\And I don't want to depend on Father, if we can avoid it.\But what is there that we could do for him?\Th-That's inappropriate! response:	You were thinking the same thing, weren't you?
context: I don't think it bothers him at all.\I'd feel bad, though.\We're asking him to continue teaching us without pay.\I want to do something for him.\And I don't want to depend on Father, if we can avoid it.\But what is there that we could do for him?\Th-That's inappropriate!\You were thinking the same thing, weren't you? response:	I can't imagine that'd make Futaro-kun happy.
context: I'd feel bad, though.\We're asking him to continue teaching us without pay.\I want to do something for him.\And I don't want to depend on Father, if we can avoid it.\But what is there that we could do for him?\Th-That's inappropriate!\You were thinking the same thing, weren't you?\I can't imagine that'd make Futaro-kun happy. response:	Who knows? He's a guy, after all.
context: We're asking him to continue teaching us without pay.\I want to do something for him.\And I don't want to depend on Father, if we can avoid it.\But what is there that we could do for him?\Th-That's inappropriate!\You were thinking the same thing, weren't you?\I can't imagine that'd make Futaro-kun happy.\Who knows? He's a guy, after all. response:	You're an actress, aren't you? You could give him a peck on the cheek.
context: I want to do something for him.\And I don't want to depend on Father, if we can avoid it.\But what is there that we could do for him?\Th-That's inappropriate!\You were thinking the same thing, weren't you?\I can't imagine that'd make Futaro-kun happy.\Who knows? He's a guy, after all.\You're an actress, aren't you? You could give him a peck on the cheek. response:	Wh-What exactly do you think actresses do?
context: And I don't want to depend on Father, if we can avoid it.\But what is there that we could do for him?\Th-That's inappropriate!\You were thinking the same thing, weren't you?\I can't imagine that'd make Futaro-kun happy.\Who knows? He's a guy, after all.\You're an actress, aren't you? You could give him a peck on the cheek.\Wh-What exactly do you think actresses do? response:	B-But I mean, in that case...
context: But what is there that we could do for him?\Th-That's inappropriate!\You were thinking the same thing, weren't you?\I can't imagine that'd make Futaro-kun happy.\Who knows? He's a guy, after all.\You're an actress, aren't you? You could give him a peck on the cheek.\Wh-What exactly do you think actresses do?\B-But I mean, in that case... response:	What about you, Miku?
context: Th-That's inappropriate!\You were thinking the same thing, weren't you?\I can't imagine that'd make Futaro-kun happy.\Who knows? He's a guy, after all.\You're an actress, aren't you? You could give him a peck on the cheek.\Wh-What exactly do you think actresses do?\B-But I mean, in that case...\What about you, Miku? response:	Me?
context: You were thinking the same thing, weren't you?\I can't imagine that'd make Futaro-kun happy.\Who knows? He's a guy, after all.\You're an actress, aren't you? You could give him a peck on the cheek.\Wh-What exactly do you think actresses do?\B-But I mean, in that case...\What about you, Miku?\Me? response:	And Futaro...
context: I can't imagine that'd make Futaro-kun happy.\Who knows? He's a guy, after all.\You're an actress, aren't you? You could give him a peck on the cheek.\Wh-What exactly do you think actresses do?\B-But I mean, in that case...\What about you, Miku?\Me?\And Futaro... response:	Futaro.
context: Who knows? He's a guy, after all.\You're an actress, aren't you? You could give him a peck on the cheek.\Wh-What exactly do you think actresses do?\B-But I mean, in that case...\What about you, Miku?\Me?\And Futaro...\Futaro. response:	Smooch.
context: You're an actress, aren't you? You could give him a peck on the cheek.\Wh-What exactly do you think actresses do?\B-But I mean, in that case...\What about you, Miku?\Me?\And Futaro...\Futaro.\Smooch. response:	Miku!
context: Wh-What exactly do you think actresses do?\B-But I mean, in that case...\What about you, Miku?\Me?\And Futaro...\Futaro.\Smooch.\Miku! response:	You've really led me on.
context: B-But I mean, in that case...\What about you, Miku?\Me?\And Futaro...\Futaro.\Smooch.\Miku!\You've really led me on. response:	You can't stop me now.
context: What about you, Miku?\Me?\And Futaro...\Futaro.\Smooch.\Miku!\You've really led me on.\You can't stop me now. response:	N-No, Futaro.
context: Me?\And Futaro...\Futaro.\Smooch.\Miku!\You've really led me on.\You can't stop me now.\N-No, Futaro. response:	Stop.
context: And Futaro...\Futaro.\Smooch.\Miku!\You've really led me on.\You can't stop me now.\N-No, Futaro.\Stop. response:	Wait, don't stop.
context: Futaro.\Smooch.\Miku!\You've really led me on.\You can't stop me now.\N-No, Futaro.\Stop.\Wait, don't stop. response:	You stop!
context: Smooch.\Miku!\You've really led me on.\You can't stop me now.\N-No, Futaro.\Stop.\Wait, don't stop.\You stop! response:	Uh...
context: Miku!\You've really led me on.\You can't stop me now.\N-No, Futaro.\Stop.\Wait, don't stop.\You stop!\Uh... response:	What are you all talking about?
context: You've really led me on.\You can't stop me now.\N-No, Futaro.\Stop.\Wait, don't stop.\You stop!\Uh...\What are you all talking about? response:	Why not just do something normal and cook for him?
context: You can't stop me now.\N-No, Futaro.\Stop.\Wait, don't stop.\You stop!\Uh...\What are you all talking about?\Why not just do something normal and cook for him? response:	You're good at cooking, Nino.
context: N-No, Futaro.\Stop.\Wait, don't stop.\You stop!\Uh...\What are you all talking about?\Why not just do something normal and cook for him?\You're good at cooking, Nino. response:	Make him some snacks or something.
context: Stop.\Wait, don't stop.\You stop!\Uh...\What are you all talking about?\Why not just do something normal and cook for him?\You're good at cooking, Nino.\Make him some snacks or something. response:	I can't.
context: Wait, don't stop.\You stop!\Uh...\What are you all talking about?\Why not just do something normal and cook for him?\You're good at cooking, Nino.\Make him some snacks or something.\I can't. response:	I was finally getting over it.
context: You stop!\Uh...\What are you all talking about?\Why not just do something normal and cook for him?\You're good at cooking, Nino.\Make him some snacks or something.\I can't.\I was finally getting over it. response:	Why don't we just go tell him what's going on?
context: Uh...\What are you all talking about?\Why not just do something normal and cook for him?\You're good at cooking, Nino.\Make him some snacks or something.\I can't.\I was finally getting over it.\Why don't we just go tell him what's going on? response:	Ichika.
context: What are you all talking about?\Why not just do something normal and cook for him?\You're good at cooking, Nino.\Make him some snacks or something.\I can't.\I was finally getting over it.\Why don't we just go tell him what's going on?\Ichika. response:	Don't move.
context: Why not just do something normal and cook for him?\You're good at cooking, Nino.\Make him some snacks or something.\I can't.\I was finally getting over it.\Why don't we just go tell him what's going on?\Ichika.\Don't move. response:	Wh-What?
context: You're good at cooking, Nino.\Make him some snacks or something.\I can't.\I was finally getting over it.\Why don't we just go tell him what's going on?\Ichika.\Don't move.\Wh-What? response:	No!
context: Make him some snacks or something.\I can't.\I was finally getting over it.\Why don't we just go tell him what's going on?\Ichika.\Don't move.\Wh-What?\No! response:	I knew it!
context: I can't.\I was finally getting over it.\Why don't we just go tell him what's going on?\Ichika.\Don't move.\Wh-What?\No!\I knew it! response:	This is Ichika's mouth.
context: I was finally getting over it.\Why don't we just go tell him what's going on?\Ichika.\Don't move.\Wh-What?\No!\I knew it!\This is Ichika's mouth. response:	No doubt.
context: Why don't we just go tell him what's going on?\Ichika.\Don't move.\Wh-What?\No!\I knew it!\This is Ichika's mouth.\No doubt. response:	I'm pretty sure it's this one.
context: Ichika.\Don't move.\Wh-What?\No!\I knew it!\This is Ichika's mouth.\No doubt.\I'm pretty sure it's this one. response:	You guys are playing!
context: Don't move.\Wh-What?\No!\I knew it!\This is Ichika's mouth.\No doubt.\I'm pretty sure it's this one.\You guys are playing! response:	We changed the rules, though.
