context: Rations, four. response:	Medical supplies, one.
context: Yes, ma'am.\Ange, sup.\You were awesome out there again.\Dammit, she keeps making all the money.\Why did she come back?\Who's the cockroach again?\I'll bust a screw hole in her head.\Don't, you'll get in trouble from command. response:	Not if she doesn't get caught.
context: Ange, sup.\You were awesome out there again.\Dammit, she keeps making all the money.\Why did she come back?\Who's the cockroach again?\I'll bust a screw hole in her head.\Don't, you'll get in trouble from command.\Not if she doesn't get caught. response:	Right?
context: You were awesome out there again.\Dammit, she keeps making all the money.\Why did she come back?\Who's the cockroach again?\I'll bust a screw hole in her head.\Don't, you'll get in trouble from command.\Not if she doesn't get caught.\Right? response:	Take this, you parasite!
context: Dammit, she keeps making all the money.\Why did she come back?\Who's the cockroach again?\I'll bust a screw hole in her head.\Don't, you'll get in trouble from command.\Not if she doesn't get caught.\Right?\Take this, you parasite! response:	No, no! I haven't done anything!
context: Why did she come back?\Who's the cockroach again?\I'll bust a screw hole in her head.\Don't, you'll get in trouble from command.\Not if she doesn't get caught.\Right?\Take this, you parasite!\No, no! I haven't done anything! response:	Attention, all units.
context: Who's the cockroach again?\I'll bust a screw hole in her head.\Don't, you'll get in trouble from command.\Not if she doesn't get caught.\Right?\Take this, you parasite!\No, no! I haven't done anything!\Attention, all units. response:	There is an intruder in Arzenal.
context: I'll bust a screw hole in her head.\Don't, you'll get in trouble from command.\Not if she doesn't get caught.\Right?\Take this, you parasite!\No, no! I haven't done anything!\Attention, all units.\There is an intruder in Arzenal. response:	Target has escaped onto upper deck.
context: Don't, you'll get in trouble from command.\Not if she doesn't get caught.\Right?\Take this, you parasite!\No, no! I haven't done anything!\Attention, all units.\There is an intruder in Arzenal.\Target has escaped onto upper deck. response:	All units in the vicinity, provide assistance immediately.
context: Not if she doesn't get caught.\Right?\Take this, you parasite!\No, no! I haven't done anything!\Attention, all units.\There is an intruder in Arzenal.\Target has escaped onto upper deck.\All units in the vicinity, provide assistance immediately. response:	I repeat.
context: Right?\Take this, you parasite!\No, no! I haven't done anything!\Attention, all units.\There is an intruder in Arzenal.\Target has escaped onto upper deck.\All units in the vicinity, provide assistance immediately.\I repeat. response:	An intruder?
context: Take this, you parasite!\No, no! I haven't done anything!\Attention, all units.\There is an intruder in Arzenal.\Target has escaped onto upper deck.\All units in the vicinity, provide assistance immediately.\I repeat.\An intruder? response:	She's over there.
context: No, no! I haven't done anything!\Attention, all units.\There is an intruder in Arzenal.\Target has escaped onto upper deck.\All units in the vicinity, provide assistance immediately.\I repeat.\An intruder?\She's over there. response:	Get her.
context: Attention, all units.\There is an intruder in Arzenal.\Target has escaped onto upper deck.\All units in the vicinity, provide assistance immediately.\I repeat.\An intruder?\She's over there.\Get her. response:	You
context: There is an intruder in Arzenal.\Target has escaped onto upper deck.\All units in the vicinity, provide assistance immediately.\I repeat.\An intruder?\She's over there.\Get her.\You response:	The Light of Mana...
context: Target has escaped onto upper deck.\All units in the vicinity, provide assistance immediately.\I repeat.\An intruder?\She's over there.\Get her.\You\The Light of Mana... response:	Please, stop.
context: All units in the vicinity, provide assistance immediately.\I repeat.\An intruder?\She's over there.\Get her.\You\The Light of Mana...\Please, stop. response:	I'm...
context: I repeat.\An intruder?\She's over there.\Get her.\You\The Light of Mana...\Please, stop.\I'm... response:	I'm just here to see Angelise-sama.
context: An intruder?\She's over there.\Get her.\You\The Light of Mana...\Please, stop.\I'm...\I'm just here to see Angelise-sama. response:	Momoka?
context: She's over there.\Get her.\You\The Light of Mana...\Please, stop.\I'm...\I'm just here to see Angelise-sama.\Momoka? response:	Is it you?
context: Get her.\You\The Light of Mana...\Please, stop.\I'm...\I'm just here to see Angelise-sama.\Momoka?\Is it you? response:	Angelise-sama...?
context: You\The Light of Mana...\Please, stop.\I'm...\I'm just here to see Angelise-sama.\Momoka?\Is it you?\Angelise-sama...? response:	Angelise-sama!
context: The Light of Mana...\Please, stop.\I'm...\I'm just here to see Angelise-sama.\Momoka?\Is it you?\Angelise-sama...?\Angelise-sama! response:	Momoka's Here!
context: Please, stop.\I'm...\I'm just here to see Angelise-sama.\Momoka?\Is it you?\Angelise-sama...?\Angelise-sama!\Momoka's Here! response:	Momoka Oginome.
context: I'm...\I'm just here to see Angelise-sama.\Momoka?\Is it you?\Angelise-sama...?\Angelise-sama!\Momoka's Here!\Momoka Oginome. response:	Top maid to Princess Angelise.
context: I'm just here to see Angelise-sama.\Momoka?\Is it you?\Angelise-sama...?\Angelise-sama!\Momoka's Here!\Momoka Oginome.\Top maid to Princess Angelise. response:	She took care of the Princess.
context: Momoka?\Is it you?\Angelise-sama...?\Angelise-sama!\Momoka's Here!\Momoka Oginome.\Top maid to Princess Angelise.\She took care of the Princess. response:	Yes.
context: Is it you?\Angelise-sama...?\Angelise-sama!\Momoka's Here!\Momoka Oginome.\Top maid to Princess Angelise.\She took care of the Princess.\Yes. response:	Yes.
context: Angelise-sama...?\Angelise-sama!\Momoka's Here!\Momoka Oginome.\Top maid to Princess Angelise.\She took care of the Princess.\Yes.\Yes. response:	Understood.
context: Angelise-sama!\Momoka's Here!\Momoka Oginome.\Top maid to Princess Angelise.\She took care of the Princess.\Yes.\Yes.\Understood. response:	What did the committee want?
context: Momoka's Here!\Momoka Oginome.\Top maid to Princess Angelise.\She took care of the Princess.\Yes.\Yes.\Understood.\What did the committee want? response:	As expected, huh?
context: Momoka Oginome.\Top maid to Princess Angelise.\She took care of the Princess.\Yes.\Yes.\Understood.\What did the committee want?\As expected, huh? response:	If we let her return to her country,
context: Top maid to Princess Angelise.\She took care of the Princess.\Yes.\Yes.\Understood.\What did the committee want?\As expected, huh?\If we let her return to her country, response:	we risk exposing the truth about the DRAGON,
context: She took care of the Princess.\Yes.\Yes.\Understood.\What did the committee want?\As expected, huh?\If we let her return to her country,\we risk exposing the truth about the DRAGON, response:	and the Norma who fight them.
context: Yes.\Yes.\Understood.\What did the committee want?\As expected, huh?\If we let her return to her country,\we risk exposing the truth about the DRAGON,\and the Norma who fight them. response:	Isn't there anything we can do?
context: Yes.\Understood.\What did the committee want?\As expected, huh?\If we let her return to her country,\we risk exposing the truth about the DRAGON,\and the Norma who fight them.\Isn't there anything we can do? response:	She just came to visit.
context: Understood.\What did the committee want?\As expected, huh?\If we let her return to her country,\we risk exposing the truth about the DRAGON,\and the Norma who fight them.\Isn't there anything we can do?\She just came to visit. response:	Just came to visit, huh?
context: What did the committee want?\As expected, huh?\If we let her return to her country,\we risk exposing the truth about the DRAGON,\and the Norma who fight them.\Isn't there anything we can do?\She just came to visit.\Just came to visit, huh? response:	Well, there's no way a Norma like me could change rules made by humans.
context: As expected, huh?\If we let her return to her country,\we risk exposing the truth about the DRAGON,\and the Norma who fight them.\Isn't there anything we can do?\She just came to visit.\Just came to visit, huh?\Well, there's no way a Norma like me could change rules made by humans. response:	Let's at least let them be together.
context: If we let her return to her country,\we risk exposing the truth about the DRAGON,\and the Norma who fight them.\Isn't there anything we can do?\She just came to visit.\Just came to visit, huh?\Well, there's no way a Norma like me could change rules made by humans.\Let's at least let them be together. response:	For now.
context: we risk exposing the truth about the DRAGON,\and the Norma who fight them.\Isn't there anything we can do?\She just came to visit.\Just came to visit, huh?\Well, there's no way a Norma like me could change rules made by humans.\Let's at least let them be together.\For now. response:	Um
context: and the Norma who fight them.\Isn't there anything we can do?\She just came to visit.\Just came to visit, huh?\Well, there's no way a Norma like me could change rules made by humans.\Let's at least let them be together.\For now.\Um response:	Y-You cut your hair.
context: Isn't there anything we can do?\She just came to visit.\Just came to visit, huh?\Well, there's no way a Norma like me could change rules made by humans.\Let's at least let them be together.\For now.\Um\Y-You cut your hair. response:	I think it's good.
context: She just came to visit.\Just came to visit, huh?\Well, there's no way a Norma like me could change rules made by humans.\Let's at least let them be together.\For now.\Um\Y-You cut your hair.\I think it's good. response:	You look more mature.
context: Just came to visit, huh?\Well, there's no way a Norma like me could change rules made by humans.\Let's at least let them be together.\For now.\Um\Y-You cut your hair.\I think it's good.\You look more mature. response:	Like you've grown out of how you were before.
context: Well, there's no way a Norma like me could change rules made by humans.\Let's at least let them be together.\For now.\Um\Y-You cut your hair.\I think it's good.\You look more mature.\Like you've grown out of how you were before. response:	That's what I think.
context: Let's at least let them be together.\For now.\Um\Y-You cut your hair.\I think it's good.\You look more mature.\Like you've grown out of how you were before.\That's what I think. response:	This is a Norma rehabilitation facility?
context: For now.\Um\Y-You cut your hair.\I think it's good.\You look more mature.\Like you've grown out of how you were before.\That's what I think.\This is a Norma rehabilitation facility? response:	I keep smelling metal.
context: Um\Y-You cut your hair.\I think it's good.\You look more mature.\Like you've grown out of how you were before.\That's what I think.\This is a Norma rehabilitation facility?\I keep smelling metal. response:	Go in.
context: Y-You cut your hair.\I think it's good.\You look more mature.\Like you've grown out of how you were before.\That's what I think.\This is a Norma rehabilitation facility?\I keep smelling metal.\Go in. response:	Yes, ma'am.
context: I think it's good.\You look more mature.\Like you've grown out of how you were before.\That's what I think.\This is a Norma rehabilitation facility?\I keep smelling metal.\Go in.\Yes, ma'am. response:	What is...
context: You look more mature.\Like you've grown out of how you were before.\That's what I think.\This is a Norma rehabilitation facility?\I keep smelling metal.\Go in.\Yes, ma'am.\What is... response:	No...
context: Like you've grown out of how you were before.\That's what I think.\This is a Norma rehabilitation facility?\I keep smelling metal.\Go in.\Yes, ma'am.\What is...\No... response:	Is this your room, Angelise-sama?
context: That's what I think.\This is a Norma rehabilitation facility?\I keep smelling metal.\Go in.\Yes, ma'am.\What is...\No...\Is this your room, Angelise-sama? response:	It's too small here.
context: This is a Norma rehabilitation facility?\I keep smelling metal.\Go in.\Yes, ma'am.\What is...\No...\Is this your room, Angelise-sama?\It's too small here. response:	You're getting changed.
context: I keep smelling metal.\Go in.\Yes, ma'am.\What is...\No...\Is this your room, Angelise-sama?\It's too small here.\You're getting changed. response:	Allow me to
context: Go in.\Yes, ma'am.\What is...\No...\Is this your room, Angelise-sama?\It's too small here.\You're getting changed.\Allow me to response:	I-I'll fold it.
context: Yes, ma'am.\What is...\No...\Is this your room, Angelise-sama?\It's too small here.\You're getting changed.\Allow me to\I-I'll fold it. response:	Light of Mana.
context: What is...\No...\Is this your room, Angelise-sama?\It's too small here.\You're getting changed.\Allow me to\I-I'll fold it.\Light of Mana. response:	That's what you use Mana for?
context: No...\Is this your room, Angelise-sama?\It's too small here.\You're getting changed.\Allow me to\I-I'll fold it.\Light of Mana.\That's what you use Mana for? response:	S-Sorry.
context: Is this your room, Angelise-sama?\It's too small here.\You're getting changed.\Allow me to\I-I'll fold it.\Light of Mana.\That's what you use Mana for?\S-Sorry. response:	So...
context: It's too small here.\You're getting changed.\Allow me to\I-I'll fold it.\Light of Mana.\That's what you use Mana for?\S-Sorry.\So... response:	Why are you here?
context: You're getting changed.\Allow me to\I-I'll fold it.\Light of Mana.\That's what you use Mana for?\S-Sorry.\So...\Why are you here? response:	To assist you, Angelise-sama.
context: Allow me to\I-I'll fold it.\Light of Mana.\That's what you use Mana for?\S-Sorry.\So...\Why are you here?\To assist you, Angelise-sama. response:	Who's?
context: I-I'll fold it.\Light of Mana.\That's what you use Mana for?\S-Sorry.\So...\Why are you here?\To assist you, Angelise-sama.\Who's? response:	I'm Ange.
context: Light of Mana.\That's what you use Mana for?\S-Sorry.\So...\Why are you here?\To assist you, Angelise-sama.\Who's?\I'm Ange. response:	Ange the Norma.
context: That's what you use Mana for?\S-Sorry.\So...\Why are you here?\To assist you, Angelise-sama.\Who's?\I'm Ange.\Ange the Norma. response:	I've been ordered to
context: S-Sorry.\So...\Why are you here?\To assist you, Angelise-sama.\Who's?\I'm Ange.\Ange the Norma.\I've been ordered to response:	take care of you for the next few days, so I will.
context: So...\Why are you here?\To assist you, Angelise-sama.\Who's?\I'm Ange.\Ange the Norma.\I've been ordered to\take care of you for the next few days, so I will. response:	Please don't bother me.
context: Why are you here?\To assist you, Angelise-sama.\Who's?\I'm Ange.\Ange the Norma.\I've been ordered to\take care of you for the next few days, so I will.\Please don't bother me. response:	Stop, please.
context: To assist you, Angelise-sama.\Who's?\I'm Ange.\Ange the Norma.\I've been ordered to\take care of you for the next few days, so I will.\Please don't bother me.\Stop, please. response:	You're Angelise-sama.
context: Who's?\I'm Ange.\Ange the Norma.\I've been ordered to\take care of you for the next few days, so I will.\Please don't bother me.\Stop, please.\You're Angelise-sama. response:	I'm not going home.
context: I'm Ange.\Ange the Norma.\I've been ordered to\take care of you for the next few days, so I will.\Please don't bother me.\Stop, please.\You're Angelise-sama.\I'm not going home. response:	I won't go away.
context: Ange the Norma.\I've been ordered to\take care of you for the next few days, so I will.\Please don't bother me.\Stop, please.\You're Angelise-sama.\I'm not going home.\I won't go away. response:	I will take care of you from now on.
context: I've been ordered to\take care of you for the next few days, so I will.\Please don't bother me.\Stop, please.\You're Angelise-sama.\I'm not going home.\I won't go away.\I will take care of you from now on. response:	You have nowhere to go, do you?
context: take care of you for the next few days, so I will.\Please don't bother me.\Stop, please.\You're Angelise-sama.\I'm not going home.\I won't go away.\I will take care of you from now on.\You have nowhere to go, do you? response:	I heard.
context: Please don't bother me.\Stop, please.\You're Angelise-sama.\I'm not going home.\I won't go away.\I will take care of you from now on.\You have nowhere to go, do you?\I heard. response:	There's no Empire of Misurugi anymore, is there?
context: Stop, please.\You're Angelise-sama.\I'm not going home.\I won't go away.\I will take care of you from now on.\You have nowhere to go, do you?\I heard.\There's no Empire of Misurugi anymore, is there? response:	I ruined it.
context: You're Angelise-sama.\I'm not going home.\I won't go away.\I will take care of you from now on.\You have nowhere to go, do you?\I heard.\There's no Empire of Misurugi anymore, is there?\I ruined it. response:	Because I'm a Norma,
context: I'm not going home.\I won't go away.\I will take care of you from now on.\You have nowhere to go, do you?\I heard.\There's no Empire of Misurugi anymore, is there?\I ruined it.\Because I'm a Norma, response:	Mother died, and the nation fell.
context: I won't go away.\I will take care of you from now on.\You have nowhere to go, do you?\I heard.\There's no Empire of Misurugi anymore, is there?\I ruined it.\Because I'm a Norma,\Mother died, and the nation fell. response:	That's not true.
context: I will take care of you from now on.\You have nowhere to go, do you?\I heard.\There's no Empire of Misurugi anymore, is there?\I ruined it.\Because I'm a Norma,\Mother died, and the nation fell.\That's not true. response:	That's
context: You have nowhere to go, do you?\I heard.\There's no Empire of Misurugi anymore, is there?\I ruined it.\Because I'm a Norma,\Mother died, and the nation fell.\That's not true.\That's response:	How long?
context: I heard.\There's no Empire of Misurugi anymore, is there?\I ruined it.\Because I'm a Norma,\Mother died, and the nation fell.\That's not true.\That's\How long? response:	How long did you know I was a Norma?
context: There's no Empire of Misurugi anymore, is there?\I ruined it.\Because I'm a Norma,\Mother died, and the nation fell.\That's not true.\That's\How long?\How long did you know I was a Norma? response:	From the beginning, of course.
context: I ruined it.\Because I'm a Norma,\Mother died, and the nation fell.\That's not true.\That's\How long?\How long did you know I was a Norma?\From the beginning, of course. response:	Father brought you so that I wouldn't have to use Mana.
context: Because I'm a Norma,\Mother died, and the nation fell.\That's not true.\That's\How long?\How long did you know I was a Norma?\From the beginning, of course.\Father brought you so that I wouldn't have to use Mana. response:	Correct?
context: Mother died, and the nation fell.\That's not true.\That's\How long?\How long did you know I was a Norma?\From the beginning, of course.\Father brought you so that I wouldn't have to use Mana.\Correct? response:	Well, who cares.
context: That's not true.\That's\How long?\How long did you know I was a Norma?\From the beginning, of course.\Father brought you so that I wouldn't have to use Mana.\Correct?\Well, who cares. response:	Not anymore.
context: That's\How long?\How long did you know I was a Norma?\From the beginning, of course.\Father brought you so that I wouldn't have to use Mana.\Correct?\Well, who cares.\Not anymore. response:	I'm going to sleep.
context: How long?\How long did you know I was a Norma?\From the beginning, of course.\Father brought you so that I wouldn't have to use Mana.\Correct?\Well, who cares.\Not anymore.\I'm going to sleep. response:	You can use that bed over there.
context: How long did you know I was a Norma?\From the beginning, of course.\Father brought you so that I wouldn't have to use Mana.\Correct?\Well, who cares.\Not anymore.\I'm going to sleep.\You can use that bed over there. response:	My place is beside you.
context: From the beginning, of course.\Father brought you so that I wouldn't have to use Mana.\Correct?\Well, who cares.\Not anymore.\I'm going to sleep.\You can use that bed over there.\My place is beside you. response:	I chased you and chased you,
context: Father brought you so that I wouldn't have to use Mana.\Correct?\Well, who cares.\Not anymore.\I'm going to sleep.\You can use that bed over there.\My place is beside you.\I chased you and chased you, response:	and I finally found you.
context: Correct?\Well, who cares.\Not anymore.\I'm going to sleep.\You can use that bed over there.\My place is beside you.\I chased you and chased you,\and I finally found you. response:	Please let me stay here.
context: Well, who cares.\Not anymore.\I'm going to sleep.\You can use that bed over there.\My place is beside you.\I chased you and chased you,\and I finally found you.\Please let me stay here. response:	This isn't a place for humans.
context: Not anymore.\I'm going to sleep.\You can use that bed over there.\My place is beside you.\I chased you and chased you,\and I finally found you.\Please let me stay here.\This isn't a place for humans. response:	What an unsanitary environment.
context: I'm going to sleep.\You can use that bed over there.\My place is beside you.\I chased you and chased you,\and I finally found you.\Please let me stay here.\This isn't a place for humans.\What an unsanitary environment. response:	What a meager meal.
context: You can use that bed over there.\My place is beside you.\I chased you and chased you,\and I finally found you.\Please let me stay here.\This isn't a place for humans.\What an unsanitary environment.\What a meager meal. response:	Has Angelise-sama always been here?
context: My place is beside you.\I chased you and chased you,\and I finally found you.\Please let me stay here.\This isn't a place for humans.\What an unsanitary environment.\What a meager meal.\Has Angelise-sama always been here? response:	She really is from a different world, isn't she?
context: I chased you and chased you,\and I finally found you.\Please let me stay here.\This isn't a place for humans.\What an unsanitary environment.\What a meager meal.\Has Angelise-sama always been here?\She really is from a different world, isn't she? response:	What's a maid?
context: and I finally found you.\Please let me stay here.\This isn't a place for humans.\What an unsanitary environment.\What a meager meal.\Has Angelise-sama always been here?\She really is from a different world, isn't she?\What's a maid? response:	It's a person that takes care of royalty.
context: Please let me stay here.\This isn't a place for humans.\What an unsanitary environment.\What a meager meal.\Has Angelise-sama always been here?\She really is from a different world, isn't she?\What's a maid?\It's a person that takes care of royalty. response:	Wow, she's amazing.
context: This isn't a place for humans.\What an unsanitary environment.\What a meager meal.\Has Angelise-sama always been here?\She really is from a different world, isn't she?\What's a maid?\It's a person that takes care of royalty.\Wow, she's amazing. response:	You have ketchup on your face. Jeez.
context: What an unsanitary environment.\What a meager meal.\Has Angelise-sama always been here?\She really is from a different world, isn't she?\What's a maid?\It's a person that takes care of royalty.\Wow, she's amazing.\You have ketchup on your face. Jeez. response:	Then Ersha, Salia, you're my maids, right?
context: What a meager meal.\Has Angelise-sama always been here?\She really is from a different world, isn't she?\What's a maid?\It's a person that takes care of royalty.\Wow, she's amazing.\You have ketchup on your face. Jeez.\Then Ersha, Salia, you're my maids, right? response:	No!
context: Has Angelise-sama always been here?\She really is from a different world, isn't she?\What's a maid?\It's a person that takes care of royalty.\Wow, she's amazing.\You have ketchup on your face. Jeez.\Then Ersha, Salia, you're my maids, right?\No! response:	You aren't a Norma, are you?
context: She really is from a different world, isn't she?\What's a maid?\It's a person that takes care of royalty.\Wow, she's amazing.\You have ketchup on your face. Jeez.\Then Ersha, Salia, you're my maids, right?\No!\You aren't a Norma, are you? response:	I don't have anything for you.
context: What's a maid?\It's a person that takes care of royalty.\Wow, she's amazing.\You have ketchup on your face. Jeez.\Then Ersha, Salia, you're my maids, right?\No!\You aren't a Norma, are you?\I don't have anything for you. response:	If you want to eat, you'll have to pay.
context: It's a person that takes care of royalty.\Wow, she's amazing.\You have ketchup on your face. Jeez.\Then Ersha, Salia, you're my maids, right?\No!\You aren't a Norma, are you?\I don't have anything for you.\If you want to eat, you'll have to pay. response:	P-Pay?
context: Wow, she's amazing.\You have ketchup on your face. Jeez.\Then Ersha, Salia, you're my maids, right?\No!\You aren't a Norma, are you?\I don't have anything for you.\If you want to eat, you'll have to pay.\P-Pay? response:	Buy what you want.
context: You have ketchup on your face. Jeez.\Then Ersha, Salia, you're my maids, right?\No!\You aren't a Norma, are you?\I don't have anything for you.\If you want to eat, you'll have to pay.\P-Pay?\Buy what you want. response:	Make money if you have to.
context: Then Ersha, Salia, you're my maids, right?\No!\You aren't a Norma, are you?\I don't have anything for you.\If you want to eat, you'll have to pay.\P-Pay?\Buy what you want.\Make money if you have to. response:	That's how it works here.
context: No!\You aren't a Norma, are you?\I don't have anything for you.\If you want to eat, you'll have to pay.\P-Pay?\Buy what you want.\Make money if you have to.\That's how it works here. response:	How dare you!
context: You aren't a Norma, are you?\I don't have anything for you.\If you want to eat, you'll have to pay.\P-Pay?\Buy what you want.\Make money if you have to.\That's how it works here.\How dare you! response:	Don't make Angelise-sama wait!
context: I don't have anything for you.\If you want to eat, you'll have to pay.\P-Pay?\Buy what you want.\Make money if you have to.\That's how it works here.\How dare you!\Don't make Angelise-sama wait! response:	Give up your seat.
context: If you want to eat, you'll have to pay.\P-Pay?\Buy what you want.\Make money if you have to.\That's how it works here.\How dare you!\Don't make Angelise-sama wait!\Give up your seat. response:	It's Angelise-sama.
context: P-Pay?\Buy what you want.\Make money if you have to.\That's how it works here.\How dare you!\Don't make Angelise-sama wait!\Give up your seat.\It's Angelise-sama. response:	It's none of your business.
context: Buy what you want.\Make money if you have to.\That's how it works here.\How dare you!\Don't make Angelise-sama wait!\Give up your seat.\It's Angelise-sama.\It's none of your business. response:	Give up our seats?
context: Make money if you have to.\That's how it works here.\How dare you!\Don't make Angelise-sama wait!\Give up your seat.\It's Angelise-sama.\It's none of your business.\Give up our seats? response:	You're quite high and mighty, you dumpster queen.
context: That's how it works here.\How dare you!\Don't make Angelise-sama wait!\Give up your seat.\It's Angelise-sama.\It's none of your business.\Give up our seats?\You're quite high and mighty, you dumpster queen. response:	Get off your high horse.
context: How dare you!\Don't make Angelise-sama wait!\Give up your seat.\It's Angelise-sama.\It's none of your business.\Give up our seats?\You're quite high and mighty, you dumpster queen.\Get off your high horse. response:	What an eyesore.
context: Don't make Angelise-sama wait!\Give up your seat.\It's Angelise-sama.\It's none of your business.\Give up our seats?\You're quite high and mighty, you dumpster queen.\Get off your high horse.\What an eyesore. response:	What did you just say?
context: Give up your seat.\It's Angelise-sama.\It's none of your business.\Give up our seats?\You're quite high and mighty, you dumpster queen.\Get off your high horse.\What an eyesore.\What did you just say? response:	How dare you disrespect Angelise-sama.
context: It's Angelise-sama.\It's none of your business.\Give up our seats?\You're quite high and mighty, you dumpster queen.\Get off your high horse.\What an eyesore.\What did you just say?\How dare you disrespect Angelise-sama. response:	Even for a barbaric and uncultured Norma, such words are
context: It's none of your business.\Give up our seats?\You're quite high and mighty, you dumpster queen.\Get off your high horse.\What an eyesore.\What did you just say?\How dare you disrespect Angelise-sama.\Even for a barbaric and uncultured Norma, such words are response:	She's a Norma, by the way.
context: Give up our seats?\You're quite high and mighty, you dumpster queen.\Get off your high horse.\What an eyesore.\What did you just say?\How dare you disrespect Angelise-sama.\Even for a barbaric and uncultured Norma, such words are\She's a Norma, by the way. response:	Sh-She is not.
context: You're quite high and mighty, you dumpster queen.\Get off your high horse.\What an eyesore.\What did you just say?\How dare you disrespect Angelise-sama.\Even for a barbaric and uncultured Norma, such words are\She's a Norma, by the way.\Sh-She is not. response:	Angelise-sama is Angelise-sama.
context: Get off your high horse.\What an eyesore.\What did you just say?\How dare you disrespect Angelise-sama.\Even for a barbaric and uncultured Norma, such words are\She's a Norma, by the way.\Sh-She is not.\Angelise-sama is Angelise-sama. response:	She's just like Ange when she first came here.
context: What an eyesore.\What did you just say?\How dare you disrespect Angelise-sama.\Even for a barbaric and uncultured Norma, such words are\She's a Norma, by the way.\Sh-She is not.\Angelise-sama is Angelise-sama.\She's just like Ange when she first came here. response:	The cringeworthy princess and her cringeworthy maid.
context: What did you just say?\How dare you disrespect Angelise-sama.\Even for a barbaric and uncultured Norma, such words are\She's a Norma, by the way.\Sh-She is not.\Angelise-sama is Angelise-sama.\She's just like Ange when she first came here.\The cringeworthy princess and her cringeworthy maid. response:	It's perfect.
context: How dare you disrespect Angelise-sama.\Even for a barbaric and uncultured Norma, such words are\She's a Norma, by the way.\Sh-She is not.\Angelise-sama is Angelise-sama.\She's just like Ange when she first came here.\The cringeworthy princess and her cringeworthy maid.\It's perfect. response:	Good for you. You won't have to spend your nights alone anymore.
context: Even for a barbaric and uncultured Norma, such words are\She's a Norma, by the way.\Sh-She is not.\Angelise-sama is Angelise-sama.\She's just like Ange when she first came here.\The cringeworthy princess and her cringeworthy maid.\It's perfect.\Good for you. You won't have to spend your nights alone anymore. response:	As crass as always.
context: She's a Norma, by the way.\Sh-She is not.\Angelise-sama is Angelise-sama.\She's just like Ange when she first came here.\The cringeworthy princess and her cringeworthy maid.\It's perfect.\Good for you. You won't have to spend your nights alone anymore.\As crass as always. response:	We're Norma, after all.
context: Sh-She is not.\Angelise-sama is Angelise-sama.\She's just like Ange when she first came here.\The cringeworthy princess and her cringeworthy maid.\It's perfect.\Good for you. You won't have to spend your nights alone anymore.\As crass as always.\We're Norma, after all. response:	I won't allow any more disrespect.
