context: Ridget... response:	Yes, Fleet Commander...
context: I can't...\You've made me proud...\When I see your father... I can hold my head high and give a glowing report.\Fleet Commander!\No...\Fleet Commander...\Confirming: Earth's coordinates.\Confirming: Galactic Alliance standard coordinates from current position. response:	Seriously?! It's possible that we can go home?!
context: You've made me proud...\When I see your father... I can hold my head high and give a glowing report.\Fleet Commander!\No...\Fleet Commander...\Confirming: Earth's coordinates.\Confirming: Galactic Alliance standard coordinates from current position.\Seriously?! It's possible that we can go home?! response:	To go home, a subspace navigation method is necessary.
context: When I see your father... I can hold my head high and give a glowing report.\Fleet Commander!\No...\Fleet Commander...\Confirming: Earth's coordinates.\Confirming: Galactic Alliance standard coordinates from current position.\Seriously?! It's possible that we can go home?!\To go home, a subspace navigation method is necessary. response:	Therefore, it is impossible for me alone.
context: Fleet Commander!\No...\Fleet Commander...\Confirming: Earth's coordinates.\Confirming: Galactic Alliance standard coordinates from current position.\Seriously?! It's possible that we can go home?!\To go home, a subspace navigation method is necessary.\Therefore, it is impossible for me alone. response:	What? What about the SOS?
context: No...\Fleet Commander...\Confirming: Earth's coordinates.\Confirming: Galactic Alliance standard coordinates from current position.\Seriously?! It's possible that we can go home?!\To go home, a subspace navigation method is necessary.\Therefore, it is impossible for me alone.\What? What about the SOS? response:	First signal sent since emergency landing on Earth
context: Fleet Commander...\Confirming: Earth's coordinates.\Confirming: Galactic Alliance standard coordinates from current position.\Seriously?! It's possible that we can go home?!\To go home, a subspace navigation method is necessary.\Therefore, it is impossible for me alone.\What? What about the SOS?\First signal sent since emergency landing on Earth response:	estimated to arrive in approximately 6,582 years, 16 hours and 20 minutes.
context: Confirming: Earth's coordinates.\Confirming: Galactic Alliance standard coordinates from current position.\Seriously?! It's possible that we can go home?!\To go home, a subspace navigation method is necessary.\Therefore, it is impossible for me alone.\What? What about the SOS?\First signal sent since emergency landing on Earth\estimated to arrive in approximately 6,582 years, 16 hours and 20 minutes. response:	No... I don't believe it...
context: Confirming: Galactic Alliance standard coordinates from current position.\Seriously?! It's possible that we can go home?!\To go home, a subspace navigation method is necessary.\Therefore, it is impossible for me alone.\What? What about the SOS?\First signal sent since emergency landing on Earth\estimated to arrive in approximately 6,582 years, 16 hours and 20 minutes.\No... I don't believe it... response:	Conclusion: Returning to the main force is effectively impossible.
context: Seriously?! It's possible that we can go home?!\To go home, a subspace navigation method is necessary.\Therefore, it is impossible for me alone.\What? What about the SOS?\First signal sent since emergency landing on Earth\estimated to arrive in approximately 6,582 years, 16 hours and 20 minutes.\No... I don't believe it...\Conclusion: Returning to the main force is effectively impossible. response:	I can't go home...
context: To go home, a subspace navigation method is necessary.\Therefore, it is impossible for me alone.\What? What about the SOS?\First signal sent since emergency landing on Earth\estimated to arrive in approximately 6,582 years, 16 hours and 20 minutes.\No... I don't believe it...\Conclusion: Returning to the main force is effectively impossible.\I can't go home... response:	Separation
context: Therefore, it is impossible for me alone.\What? What about the SOS?\First signal sent since emergency landing on Earth\estimated to arrive in approximately 6,582 years, 16 hours and 20 minutes.\No... I don't believe it...\Conclusion: Returning to the main force is effectively impossible.\I can't go home...\Separation response:	Ridget?
context: What? What about the SOS?\First signal sent since emergency landing on Earth\estimated to arrive in approximately 6,582 years, 16 hours and 20 minutes.\No... I don't believe it...\Conclusion: Returning to the main force is effectively impossible.\I can't go home...\Separation\Ridget? response:	Are you serious?!
context: First signal sent since emergency landing on Earth\estimated to arrive in approximately 6,582 years, 16 hours and 20 minutes.\No... I don't believe it...\Conclusion: Returning to the main force is effectively impossible.\I can't go home...\Separation\Ridget?\Are you serious?! response:	That little girl?!
context: estimated to arrive in approximately 6,582 years, 16 hours and 20 minutes.\No... I don't believe it...\Conclusion: Returning to the main force is effectively impossible.\I can't go home...\Separation\Ridget?\Are you serious?!\That little girl?! response:	They say the Fleet Commander appointed her himself.
context: No... I don't believe it...\Conclusion: Returning to the main force is effectively impossible.\I can't go home...\Separation\Ridget?\Are you serious?!\That little girl?!\They say the Fleet Commander appointed her himself. response:	Maybe my ship will go along with Flange, too.
context: Conclusion: Returning to the main force is effectively impossible.\I can't go home...\Separation\Ridget?\Are you serious?!\That little girl?!\They say the Fleet Commander appointed her himself.\Maybe my ship will go along with Flange, too. response:	Shipmasters!
context: I can't go home...\Separation\Ridget?\Are you serious?!\That little girl?!\They say the Fleet Commander appointed her himself.\Maybe my ship will go along with Flange, too.\Shipmasters! response:	I'm glad I caught you all together.
context: Separation\Ridget?\Are you serious?!\That little girl?!\They say the Fleet Commander appointed her himself.\Maybe my ship will go along with Flange, too.\Shipmasters!\I'm glad I caught you all together. response:	I wish to consult with you on the matter of Flange's departure.
context: Ridget?\Are you serious?!\That little girl?!\They say the Fleet Commander appointed her himself.\Maybe my ship will go along with Flange, too.\Shipmasters!\I'm glad I caught you all together.\I wish to consult with you on the matter of Flange's departure. response:	Oh, come on.
context: Are you serious?!\That little girl?!\They say the Fleet Commander appointed her himself.\Maybe my ship will go along with Flange, too.\Shipmasters!\I'm glad I caught you all together.\I wish to consult with you on the matter of Flange's departure.\Oh, come on. response:	Now is the time to talk about that?!
context: That little girl?!\They say the Fleet Commander appointed her himself.\Maybe my ship will go along with Flange, too.\Shipmasters!\I'm glad I caught you all together.\I wish to consult with you on the matter of Flange's departure.\Oh, come on.\Now is the time to talk about that?! response:	Today is Fleet Commander Fairlock's funeral...
context: They say the Fleet Commander appointed her himself.\Maybe my ship will go along with Flange, too.\Shipmasters!\I'm glad I caught you all together.\I wish to consult with you on the matter of Flange's departure.\Oh, come on.\Now is the time to talk about that?!\Today is Fleet Commander Fairlock's funeral... response:	No, I know that, but...
context: Maybe my ship will go along with Flange, too.\Shipmasters!\I'm glad I caught you all together.\I wish to consult with you on the matter of Flange's departure.\Oh, come on.\Now is the time to talk about that?!\Today is Fleet Commander Fairlock's funeral...\No, I know that, but... response:	You were like a daughter to him,
context: Shipmasters!\I'm glad I caught you all together.\I wish to consult with you on the matter of Flange's departure.\Oh, come on.\Now is the time to talk about that?!\Today is Fleet Commander Fairlock's funeral...\No, I know that, but...\You were like a daughter to him, response:	and you're not tending to his funeral?
context: I'm glad I caught you all together.\I wish to consult with you on the matter of Flange's departure.\Oh, come on.\Now is the time to talk about that?!\Today is Fleet Commander Fairlock's funeral...\No, I know that, but...\You were like a daughter to him,\and you're not tending to his funeral? response:	Fairlock's the one who raised you after Chevron died.
context: I wish to consult with you on the matter of Flange's departure.\Oh, come on.\Now is the time to talk about that?!\Today is Fleet Commander Fairlock's funeral...\No, I know that, but...\You were like a daughter to him,\and you're not tending to his funeral?\Fairlock's the one who raised you after Chevron died. response:	What are you doing?
context: Oh, come on.\Now is the time to talk about that?!\Today is Fleet Commander Fairlock's funeral...\No, I know that, but...\You were like a daughter to him,\and you're not tending to his funeral?\Fairlock's the one who raised you after Chevron died.\What are you doing? response:	You're supposed to assemble at the bow.
context: Now is the time to talk about that?!\Today is Fleet Commander Fairlock's funeral...\No, I know that, but...\You were like a daughter to him,\and you're not tending to his funeral?\Fairlock's the one who raised you after Chevron died.\What are you doing?\You're supposed to assemble at the bow. response:	Sorry, we're on our way.
context: Today is Fleet Commander Fairlock's funeral...\No, I know that, but...\You were like a daughter to him,\and you're not tending to his funeral?\Fairlock's the one who raised you after Chevron died.\What are you doing?\You're supposed to assemble at the bow.\Sorry, we're on our way. response:	Let's go.
context: No, I know that, but...\You were like a daughter to him,\and you're not tending to his funeral?\Fairlock's the one who raised you after Chevron died.\What are you doing?\You're supposed to assemble at the bow.\Sorry, we're on our way.\Let's go. response:	There is some resistance.
context: You were like a daughter to him,\and you're not tending to his funeral?\Fairlock's the one who raised you after Chevron died.\What are you doing?\You're supposed to assemble at the bow.\Sorry, we're on our way.\Let's go.\There is some resistance. response:	Yes. I'll be fine.
context: and you're not tending to his funeral?\Fairlock's the one who raised you after Chevron died.\What are you doing?\You're supposed to assemble at the bow.\Sorry, we're on our way.\Let's go.\There is some resistance.\Yes. I'll be fine. response:	You can't go home?
context: Fairlock's the one who raised you after Chevron died.\What are you doing?\You're supposed to assemble at the bow.\Sorry, we're on our way.\Let's go.\There is some resistance.\Yes. I'll be fine.\You can't go home? response:	Yeah.
context: What are you doing?\You're supposed to assemble at the bow.\Sorry, we're on our way.\Let's go.\There is some resistance.\Yes. I'll be fine.\You can't go home?\Yeah. response:	Well... I'm sorry to hear that.
context: You're supposed to assemble at the bow.\Sorry, we're on our way.\Let's go.\There is some resistance.\Yes. I'll be fine.\You can't go home?\Yeah.\Well... I'm sorry to hear that. response:	But if you can't get back home, you gotta accept it.
context: Sorry, we're on our way.\Let's go.\There is some resistance.\Yes. I'll be fine.\You can't go home?\Yeah.\Well... I'm sorry to hear that.\But if you can't get back home, you gotta accept it. response:	You wanna kill some whalesquid, right?
context: Let's go.\There is some resistance.\Yes. I'll be fine.\You can't go home?\Yeah.\Well... I'm sorry to hear that.\But if you can't get back home, you gotta accept it.\You wanna kill some whalesquid, right? response:	Killing them is my mission.
context: There is some resistance.\Yes. I'll be fine.\You can't go home?\Yeah.\Well... I'm sorry to hear that.\But if you can't get back home, you gotta accept it.\You wanna kill some whalesquid, right?\Killing them is my mission. response:	Then don't you wanna know where their nest is?
context: Yes. I'll be fine.\You can't go home?\Yeah.\Well... I'm sorry to hear that.\But if you can't get back home, you gotta accept it.\You wanna kill some whalesquid, right?\Killing them is my mission.\Then don't you wanna know where their nest is? response:	They have such place?!
context: You can't go home?\Yeah.\Well... I'm sorry to hear that.\But if you can't get back home, you gotta accept it.\You wanna kill some whalesquid, right?\Killing them is my mission.\Then don't you wanna know where their nest is?\They have such place?! response:	Okay, calm down.
context: Yeah.\Well... I'm sorry to hear that.\But if you can't get back home, you gotta accept it.\You wanna kill some whalesquid, right?\Killing them is my mission.\Then don't you wanna know where their nest is?\They have such place?!\Okay, calm down. response:	There's treasure deep inside of a whalesquid nest. And that means money.
context: Well... I'm sorry to hear that.\But if you can't get back home, you gotta accept it.\You wanna kill some whalesquid, right?\Killing them is my mission.\Then don't you wanna know where their nest is?\They have such place?!\Okay, calm down.\There's treasure deep inside of a whalesquid nest. And that means money. response:	I am not interested in money.
context: But if you can't get back home, you gotta accept it.\You wanna kill some whalesquid, right?\Killing them is my mission.\Then don't you wanna know where their nest is?\They have such place?!\Okay, calm down.\There's treasure deep inside of a whalesquid nest. And that means money.\I am not interested in money. response:	You kill the whalesquid. I get the treasure.
context: You wanna kill some whalesquid, right?\Killing them is my mission.\Then don't you wanna know where their nest is?\They have such place?!\Okay, calm down.\There's treasure deep inside of a whalesquid nest. And that means money.\I am not interested in money.\You kill the whalesquid. I get the treasure. response:	How's that sound?
context: Killing them is my mission.\Then don't you wanna know where their nest is?\They have such place?!\Okay, calm down.\There's treasure deep inside of a whalesquid nest. And that means money.\I am not interested in money.\You kill the whalesquid. I get the treasure.\How's that sound? response:	As long as I can kill them.
context: Then don't you wanna know where their nest is?\They have such place?!\Okay, calm down.\There's treasure deep inside of a whalesquid nest. And that means money.\I am not interested in money.\You kill the whalesquid. I get the treasure.\How's that sound?\As long as I can kill them. response:	Then it sounds like we have a deal.
context: They have such place?!\Okay, calm down.\There's treasure deep inside of a whalesquid nest. And that means money.\I am not interested in money.\You kill the whalesquid. I get the treasure.\How's that sound?\As long as I can kill them.\Then it sounds like we have a deal. response:	To release all of the ships that wanna leave, 30 interlocks have to be unfastened.
context: Okay, calm down.\There's treasure deep inside of a whalesquid nest. And that means money.\I am not interested in money.\You kill the whalesquid. I get the treasure.\How's that sound?\As long as I can kill them.\Then it sounds like we have a deal.\To release all of the ships that wanna leave, 30 interlocks have to be unfastened. response:	It's a big job, so put your backs into it!
context: There's treasure deep inside of a whalesquid nest. And that means money.\I am not interested in money.\You kill the whalesquid. I get the treasure.\How's that sound?\As long as I can kill them.\Then it sounds like we have a deal.\To release all of the ships that wanna leave, 30 interlocks have to be unfastened.\It's a big job, so put your backs into it! response:	Flange, won't you reconsider?
context: I am not interested in money.\You kill the whalesquid. I get the treasure.\How's that sound?\As long as I can kill them.\Then it sounds like we have a deal.\To release all of the ships that wanna leave, 30 interlocks have to be unfastened.\It's a big job, so put your backs into it!\Flange, won't you reconsider? response:	My mind is made up.
context: You kill the whalesquid. I get the treasure.\How's that sound?\As long as I can kill them.\Then it sounds like we have a deal.\To release all of the ships that wanna leave, 30 interlocks have to be unfastened.\It's a big job, so put your backs into it!\Flange, won't you reconsider?\My mind is made up. response:	A fleet commander with lax regulations is a ripe target for pirates.
context: How's that sound?\As long as I can kill them.\Then it sounds like we have a deal.\To release all of the ships that wanna leave, 30 interlocks have to be unfastened.\It's a big job, so put your backs into it!\Flange, won't you reconsider?\My mind is made up.\A fleet commander with lax regulations is a ripe target for pirates. response:	But...
context: As long as I can kill them.\Then it sounds like we have a deal.\To release all of the ships that wanna leave, 30 interlocks have to be unfastened.\It's a big job, so put your backs into it!\Flange, won't you reconsider?\My mind is made up.\A fleet commander with lax regulations is a ripe target for pirates.\But... response:	The legacy from the past that Pinion speaks of
context: Then it sounds like we have a deal.\To release all of the ships that wanna leave, 30 interlocks have to be unfastened.\It's a big job, so put your backs into it!\Flange, won't you reconsider?\My mind is made up.\A fleet commander with lax regulations is a ripe target for pirates.\But...\The legacy from the past that Pinion speaks of response:	has the potential of supporting our future.
context: To release all of the ships that wanna leave, 30 interlocks have to be unfastened.\It's a big job, so put your backs into it!\Flange, won't you reconsider?\My mind is made up.\A fleet commander with lax regulations is a ripe target for pirates.\But...\The legacy from the past that Pinion speaks of\has the potential of supporting our future. response:	On top of that, many people wish to leave with me and my ship.
context: It's a big job, so put your backs into it!\Flange, won't you reconsider?\My mind is made up.\A fleet commander with lax regulations is a ripe target for pirates.\But...\The legacy from the past that Pinion speaks of\has the potential of supporting our future.\On top of that, many people wish to leave with me and my ship. response:	I have a duty to protect the citizens living on my ship.
context: Flange, won't you reconsider?\My mind is made up.\A fleet commander with lax regulations is a ripe target for pirates.\But...\The legacy from the past that Pinion speaks of\has the potential of supporting our future.\On top of that, many people wish to leave with me and my ship.\I have a duty to protect the citizens living on my ship. response:	Thanks!
context: My mind is made up.\A fleet commander with lax regulations is a ripe target for pirates.\But...\The legacy from the past that Pinion speaks of\has the potential of supporting our future.\On top of that, many people wish to leave with me and my ship.\I have a duty to protect the citizens living on my ship.\Thanks! response:	Thank you!
context: A fleet commander with lax regulations is a ripe target for pirates.\But...\The legacy from the past that Pinion speaks of\has the potential of supporting our future.\On top of that, many people wish to leave with me and my ship.\I have a duty to protect the citizens living on my ship.\Thanks!\Thank you! response:	Melty!
context: But...\The legacy from the past that Pinion speaks of\has the potential of supporting our future.\On top of that, many people wish to leave with me and my ship.\I have a duty to protect the citizens living on my ship.\Thanks!\Thank you!\Melty! response:	Amy... Saaya...
context: The legacy from the past that Pinion speaks of\has the potential of supporting our future.\On top of that, many people wish to leave with me and my ship.\I have a duty to protect the citizens living on my ship.\Thanks!\Thank you!\Melty!\Amy... Saaya... response:	Melty, are you really going?
context: has the potential of supporting our future.\On top of that, many people wish to leave with me and my ship.\I have a duty to protect the citizens living on my ship.\Thanks!\Thank you!\Melty!\Amy... Saaya...\Melty, are you really going? response:	Yeah.
context: On top of that, many people wish to leave with me and my ship.\I have a duty to protect the citizens living on my ship.\Thanks!\Thank you!\Melty!\Amy... Saaya...\Melty, are you really going?\Yeah. response:	Can't you stay behind when Flange's ship leaves?
context: I have a duty to protect the citizens living on my ship.\Thanks!\Thank you!\Melty!\Amy... Saaya...\Melty, are you really going?\Yeah.\Can't you stay behind when Flange's ship leaves? response:	I need to take care of Grandpa.
context: Thanks!\Thank you!\Melty!\Amy... Saaya...\Melty, are you really going?\Yeah.\Can't you stay behind when Flange's ship leaves?\I need to take care of Grandpa. response:	I see...
context: Thank you!\Melty!\Amy... Saaya...\Melty, are you really going?\Yeah.\Can't you stay behind when Flange's ship leaves?\I need to take care of Grandpa.\I see... response:	I never imagined our ship would leave Gargantia!
context: Melty!\Amy... Saaya...\Melty, are you really going?\Yeah.\Can't you stay behind when Flange's ship leaves?\I need to take care of Grandpa.\I see...\I never imagined our ship would leave Gargantia! response:	I'm just as surprised as you are!
context: Amy... Saaya...\Melty, are you really going?\Yeah.\Can't you stay behind when Flange's ship leaves?\I need to take care of Grandpa.\I see...\I never imagined our ship would leave Gargantia!\I'm just as surprised as you are! response:	But, I am kind of looking forward to it.
context: Melty, are you really going?\Yeah.\Can't you stay behind when Flange's ship leaves?\I need to take care of Grandpa.\I see...\I never imagined our ship would leave Gargantia!\I'm just as surprised as you are!\But, I am kind of looking forward to it. response:	For one thing, I may meet a boy I've never laid eyes on before!
context: Yeah.\Can't you stay behind when Flange's ship leaves?\I need to take care of Grandpa.\I see...\I never imagined our ship would leave Gargantia!\I'm just as surprised as you are!\But, I am kind of looking forward to it.\For one thing, I may meet a boy I've never laid eyes on before! response:	You want to marry into money?
context: Can't you stay behind when Flange's ship leaves?\I need to take care of Grandpa.\I see...\I never imagined our ship would leave Gargantia!\I'm just as surprised as you are!\But, I am kind of looking forward to it.\For one thing, I may meet a boy I've never laid eyes on before!\You want to marry into money? response:	Yeah, that's it! And I heard the hottie is coming along, too!
context: I need to take care of Grandpa.\I see...\I never imagined our ship would leave Gargantia!\I'm just as surprised as you are!\But, I am kind of looking forward to it.\For one thing, I may meet a boy I've never laid eyes on before!\You want to marry into money?\Yeah, that's it! And I heard the hottie is coming along, too! response:	Ledo?
context: I see...\I never imagined our ship would leave Gargantia!\I'm just as surprised as you are!\But, I am kind of looking forward to it.\For one thing, I may meet a boy I've never laid eyes on before!\You want to marry into money?\Yeah, that's it! And I heard the hottie is coming along, too!\Ledo? response:	Pinion's spreading the word
context: I never imagined our ship would leave Gargantia!\I'm just as surprised as you are!\But, I am kind of looking forward to it.\For one thing, I may meet a boy I've never laid eyes on before!\You want to marry into money?\Yeah, that's it! And I heard the hottie is coming along, too!\Ledo?\Pinion's spreading the word response:	that there's no need to fear the whalesquid with that flying Yunboro around.
context: I'm just as surprised as you are!\But, I am kind of looking forward to it.\For one thing, I may meet a boy I've never laid eyes on before!\You want to marry into money?\Yeah, that's it! And I heard the hottie is coming along, too!\Ledo?\Pinion's spreading the word\that there's no need to fear the whalesquid with that flying Yunboro around. response:	I see...
context: But, I am kind of looking forward to it.\For one thing, I may meet a boy I've never laid eyes on before!\You want to marry into money?\Yeah, that's it! And I heard the hottie is coming along, too!\Ledo?\Pinion's spreading the word\that there's no need to fear the whalesquid with that flying Yunboro around.\I see... response:	I wanted you to be the next Fleet Commander, Crown.
context: For one thing, I may meet a boy I've never laid eyes on before!\You want to marry into money?\Yeah, that's it! And I heard the hottie is coming along, too!\Ledo?\Pinion's spreading the word\that there's no need to fear the whalesquid with that flying Yunboro around.\I see...\I wanted you to be the next Fleet Commander, Crown. response:	I'm not long for this world. While I'm alive, I need to guide the next generation.
context: You want to marry into money?\Yeah, that's it! And I heard the hottie is coming along, too!\Ledo?\Pinion's spreading the word\that there's no need to fear the whalesquid with that flying Yunboro around.\I see...\I wanted you to be the next Fleet Commander, Crown.\I'm not long for this world. While I'm alive, I need to guide the next generation. response:	Train her as much as you possibly can.
context: Yeah, that's it! And I heard the hottie is coming along, too!\Ledo?\Pinion's spreading the word\that there's no need to fear the whalesquid with that flying Yunboro around.\I see...\I wanted you to be the next Fleet Commander, Crown.\I'm not long for this world. While I'm alive, I need to guide the next generation.\Train her as much as you possibly can. response:	Fleet Commander Fairlock... I'm grateful that we made this pleasant journey together.
context: Ledo?\Pinion's spreading the word\that there's no need to fear the whalesquid with that flying Yunboro around.\I see...\I wanted you to be the next Fleet Commander, Crown.\I'm not long for this world. While I'm alive, I need to guide the next generation.\Train her as much as you possibly can.\Fleet Commander Fairlock... I'm grateful that we made this pleasant journey together. response:	May the blessing of the verdurous waves be with you.
context: Pinion's spreading the word\that there's no need to fear the whalesquid with that flying Yunboro around.\I see...\I wanted you to be the next Fleet Commander, Crown.\I'm not long for this world. While I'm alive, I need to guide the next generation.\Train her as much as you possibly can.\Fleet Commander Fairlock... I'm grateful that we made this pleasant journey together.\May the blessing of the verdurous waves be with you. response:	Aren't you gonna change into your mourning clothes?
context: that there's no need to fear the whalesquid with that flying Yunboro around.\I see...\I wanted you to be the next Fleet Commander, Crown.\I'm not long for this world. While I'm alive, I need to guide the next generation.\Train her as much as you possibly can.\Fleet Commander Fairlock... I'm grateful that we made this pleasant journey together.\May the blessing of the verdurous waves be with you.\Aren't you gonna change into your mourning clothes? response:	Pinion!
context: I see...\I wanted you to be the next Fleet Commander, Crown.\I'm not long for this world. While I'm alive, I need to guide the next generation.\Train her as much as you possibly can.\Fleet Commander Fairlock... I'm grateful that we made this pleasant journey together.\May the blessing of the verdurous waves be with you.\Aren't you gonna change into your mourning clothes?\Pinion! response:	Sign the departing ship notification.
context: I wanted you to be the next Fleet Commander, Crown.\I'm not long for this world. While I'm alive, I need to guide the next generation.\Train her as much as you possibly can.\Fleet Commander Fairlock... I'm grateful that we made this pleasant journey together.\May the blessing of the verdurous waves be with you.\Aren't you gonna change into your mourning clothes?\Pinion!\Sign the departing ship notification. response:	Stop making me repeat myself.
context: I'm not long for this world. While I'm alive, I need to guide the next generation.\Train her as much as you possibly can.\Fleet Commander Fairlock... I'm grateful that we made this pleasant journey together.\May the blessing of the verdurous waves be with you.\Aren't you gonna change into your mourning clothes?\Pinion!\Sign the departing ship notification.\Stop making me repeat myself. response:	Then can you prove that it'd be more profitable to stay here?
context: Train her as much as you possibly can.\Fleet Commander Fairlock... I'm grateful that we made this pleasant journey together.\May the blessing of the verdurous waves be with you.\Aren't you gonna change into your mourning clothes?\Pinion!\Sign the departing ship notification.\Stop making me repeat myself.\Then can you prove that it'd be more profitable to stay here? response:	You got no business tryin' to stop people
context: Fleet Commander Fairlock... I'm grateful that we made this pleasant journey together.\May the blessing of the verdurous waves be with you.\Aren't you gonna change into your mourning clothes?\Pinion!\Sign the departing ship notification.\Stop making me repeat myself.\Then can you prove that it'd be more profitable to stay here?\You got no business tryin' to stop people response:	when you don't even have confidence that you can protect'em.
context: May the blessing of the verdurous waves be with you.\Aren't you gonna change into your mourning clothes?\Pinion!\Sign the departing ship notification.\Stop making me repeat myself.\Then can you prove that it'd be more profitable to stay here?\You got no business tryin' to stop people\when you don't even have confidence that you can protect'em. response:	See you around.
context: Aren't you gonna change into your mourning clothes?\Pinion!\Sign the departing ship notification.\Stop making me repeat myself.\Then can you prove that it'd be more profitable to stay here?\You got no business tryin' to stop people\when you don't even have confidence that you can protect'em.\See you around. response:	What's wrong?
context: Pinion!\Sign the departing ship notification.\Stop making me repeat myself.\Then can you prove that it'd be more profitable to stay here?\You got no business tryin' to stop people\when you don't even have confidence that you can protect'em.\See you around.\What's wrong? response:	Saaya!
context: Sign the departing ship notification.\Stop making me repeat myself.\Then can you prove that it'd be more profitable to stay here?\You got no business tryin' to stop people\when you don't even have confidence that you can protect'em.\See you around.\What's wrong?\Saaya! response:	Nothing...
context: Stop making me repeat myself.\Then can you prove that it'd be more profitable to stay here?\You got no business tryin' to stop people\when you don't even have confidence that you can protect'em.\See you around.\What's wrong?\Saaya!\Nothing... response:	You're thinking about Ledo, aren't you?
context: Then can you prove that it'd be more profitable to stay here?\You got no business tryin' to stop people\when you don't even have confidence that you can protect'em.\See you around.\What's wrong?\Saaya!\Nothing...\You're thinking about Ledo, aren't you? response:	No, I'm not!
context: You got no business tryin' to stop people\when you don't even have confidence that you can protect'em.\See you around.\What's wrong?\Saaya!\Nothing...\You're thinking about Ledo, aren't you?\No, I'm not! response:	Listen, why don't you go with him?
context: when you don't even have confidence that you can protect'em.\See you around.\What's wrong?\Saaya!\Nothing...\You're thinking about Ledo, aren't you?\No, I'm not!\Listen, why don't you go with him? response:	Go with Melty on Flange's ship.
context: See you around.\What's wrong?\Saaya!\Nothing...\You're thinking about Ledo, aren't you?\No, I'm not!\Listen, why don't you go with him?\Go with Melty on Flange's ship. response:	With Melty?
context: What's wrong?\Saaya!\Nothing...\You're thinking about Ledo, aren't you?\No, I'm not!\Listen, why don't you go with him?\Go with Melty on Flange's ship.\With Melty? response:	Of course I'll miss you, but better that than seeing you like this.
context: Saaya!\Nothing...\You're thinking about Ledo, aren't you?\No, I'm not!\Listen, why don't you go with him?\Go with Melty on Flange's ship.\With Melty?\Of course I'll miss you, but better that than seeing you like this. response:	By the look on your face, I'd think it was the end of the world.
context: Nothing...\You're thinking about Ledo, aren't you?\No, I'm not!\Listen, why don't you go with him?\Go with Melty on Flange's ship.\With Melty?\Of course I'll miss you, but better that than seeing you like this.\By the look on your face, I'd think it was the end of the world. response:	Although maybe that's what it is to you...
context: You're thinking about Ledo, aren't you?\No, I'm not!\Listen, why don't you go with him?\Go with Melty on Flange's ship.\With Melty?\Of course I'll miss you, but better that than seeing you like this.\By the look on your face, I'd think it was the end of the world.\Although maybe that's what it is to you... response:	Nothing's even started yet...
context: No, I'm not!\Listen, why don't you go with him?\Go with Melty on Flange's ship.\With Melty?\Of course I'll miss you, but better that than seeing you like this.\By the look on your face, I'd think it was the end of the world.\Although maybe that's what it is to you...\Nothing's even started yet... response:	Then...
context: Listen, why don't you go with him?\Go with Melty on Flange's ship.\With Melty?\Of course I'll miss you, but better that than seeing you like this.\By the look on your face, I'd think it was the end of the world.\Although maybe that's what it is to you...\Nothing's even started yet...\Then... response:	I can't! I have to stay here.
context: Go with Melty on Flange's ship.\With Melty?\Of course I'll miss you, but better that than seeing you like this.\By the look on your face, I'd think it was the end of the world.\Although maybe that's what it is to you...\Nothing's even started yet...\Then...\I can't! I have to stay here. response:	Are you sure?
