context: So, Sir Trillram. response:	My Landing Castle is about to take its meal,
context: Orders from HQ, sir.\As soon as the citizens are evacuated, we're to abandon this base and pull out.\We have someone still fighting out there!\You're the only one left.\Lt. Koichiro Marito.\And you are?\Darzana Magbaredge.\Captain of the amphibious assault ship Wadatsumi, 4th Fleet Escort Force. response:	This is Kaoru Mizusaki, my XO.
context: As soon as the citizens are evacuated, we're to abandon this base and pull out.\We have someone still fighting out there!\You're the only one left.\Lt. Koichiro Marito.\And you are?\Darzana Magbaredge.\Captain of the amphibious assault ship Wadatsumi, 4th Fleet Escort Force.\This is Kaoru Mizusaki, my XO. response:	One of our people is still fighting in the northern district!
context: We have someone still fighting out there!\You're the only one left.\Lt. Koichiro Marito.\And you are?\Darzana Magbaredge.\Captain of the amphibious assault ship Wadatsumi, 4th Fleet Escort Force.\This is Kaoru Mizusaki, my XO.\One of our people is still fighting in the northern district! response:	The only reason we're still secure here is because she's holding them off!
context: You're the only one left.\Lt. Koichiro Marito.\And you are?\Darzana Magbaredge.\Captain of the amphibious assault ship Wadatsumi, 4th Fleet Escort Force.\This is Kaoru Mizusaki, my XO.\One of our people is still fighting in the northern district!\The only reason we're still secure here is because she's holding them off! response:	She?
context: Lt. Koichiro Marito.\And you are?\Darzana Magbaredge.\Captain of the amphibious assault ship Wadatsumi, 4th Fleet Escort Force.\This is Kaoru Mizusaki, my XO.\One of our people is still fighting in the northern district!\The only reason we're still secure here is because she's holding them off!\She? response:	Warrant Officer Yuki Kaizuka.
context: And you are?\Darzana Magbaredge.\Captain of the amphibious assault ship Wadatsumi, 4th Fleet Escort Force.\This is Kaoru Mizusaki, my XO.\One of our people is still fighting in the northern district!\The only reason we're still secure here is because she's holding them off!\She?\Warrant Officer Yuki Kaizuka. response:	A radio jamming field is covering the entire Shinawara area.
context: Darzana Magbaredge.\Captain of the amphibious assault ship Wadatsumi, 4th Fleet Escort Force.\This is Kaoru Mizusaki, my XO.\One of our people is still fighting in the northern district!\The only reason we're still secure here is because she's holding them off!\She?\Warrant Officer Yuki Kaizuka.\A radio jamming field is covering the entire Shinawara area. response:	GPS is down, too.
context: Captain of the amphibious assault ship Wadatsumi, 4th Fleet Escort Force.\This is Kaoru Mizusaki, my XO.\One of our people is still fighting in the northern district!\The only reason we're still secure here is because she's holding them off!\She?\Warrant Officer Yuki Kaizuka.\A radio jamming field is covering the entire Shinawara area.\GPS is down, too. response:	Even if we went out to rescue her, we wouldn't be able to pinpoint her location data.
context: This is Kaoru Mizusaki, my XO.\One of our people is still fighting in the northern district!\The only reason we're still secure here is because she's holding them off!\She?\Warrant Officer Yuki Kaizuka.\A radio jamming field is covering the entire Shinawara area.\GPS is down, too.\Even if we went out to rescue her, we wouldn't be able to pinpoint her location data. response:	But, ma'am!
context: One of our people is still fighting in the northern district!\The only reason we're still secure here is because she's holding them off!\She?\Warrant Officer Yuki Kaizuka.\A radio jamming field is covering the entire Shinawara area.\GPS is down, too.\Even if we went out to rescue her, we wouldn't be able to pinpoint her location data.\But, ma'am! response:	Our responsibility is to escort and protect the ferries that are carrying refugees.
context: The only reason we're still secure here is because she's holding them off!\She?\Warrant Officer Yuki Kaizuka.\A radio jamming field is covering the entire Shinawara area.\GPS is down, too.\Even if we went out to rescue her, we wouldn't be able to pinpoint her location data.\But, ma'am!\Our responsibility is to escort and protect the ferries that are carrying refugees. response:	There are still people who haven't made it out!
context: She?\Warrant Officer Yuki Kaizuka.\A radio jamming field is covering the entire Shinawara area.\GPS is down, too.\Even if we went out to rescue her, we wouldn't be able to pinpoint her location data.\But, ma'am!\Our responsibility is to escort and protect the ferries that are carrying refugees.\There are still people who haven't made it out! response:	My kids' names weren't on the passenger manifest!
context: Warrant Officer Yuki Kaizuka.\A radio jamming field is covering the entire Shinawara area.\GPS is down, too.\Even if we went out to rescue her, we wouldn't be able to pinpoint her location data.\But, ma'am!\Our responsibility is to escort and protect the ferries that are carrying refugees.\There are still people who haven't made it out!\My kids' names weren't on the passenger manifest! response:	My students.
context: A radio jamming field is covering the entire Shinawara area.\GPS is down, too.\Even if we went out to rescue her, we wouldn't be able to pinpoint her location data.\But, ma'am!\Our responsibility is to escort and protect the ferries that are carrying refugees.\There are still people who haven't made it out!\My kids' names weren't on the passenger manifest!\My students. response:	All right. I'll put in a request to HQ to form a rescue party.
context: GPS is down, too.\Even if we went out to rescue her, we wouldn't be able to pinpoint her location data.\But, ma'am!\Our responsibility is to escort and protect the ferries that are carrying refugees.\There are still people who haven't made it out!\My kids' names weren't on the passenger manifest!\My students.\All right. I'll put in a request to HQ to form a rescue party. response:	I'll leave you one landing craft.
context: Even if we went out to rescue her, we wouldn't be able to pinpoint her location data.\But, ma'am!\Our responsibility is to escort and protect the ferries that are carrying refugees.\There are still people who haven't made it out!\My kids' names weren't on the passenger manifest!\My students.\All right. I'll put in a request to HQ to form a rescue party.\I'll leave you one landing craft. response:	However, if you can't put together enough people to crew her,
context: But, ma'am!\Our responsibility is to escort and protect the ferries that are carrying refugees.\There are still people who haven't made it out!\My kids' names weren't on the passenger manifest!\My students.\All right. I'll put in a request to HQ to form a rescue party.\I'll leave you one landing craft.\However, if you can't put together enough people to crew her, response:	then I expect you to let this go.
context: Our responsibility is to escort and protect the ferries that are carrying refugees.\There are still people who haven't made it out!\My kids' names weren't on the passenger manifest!\My students.\All right. I'll put in a request to HQ to form a rescue party.\I'll leave you one landing craft.\However, if you can't put together enough people to crew her,\then I expect you to let this go. response:	Nao? You're here, right?
context: There are still people who haven't made it out!\My kids' names weren't on the passenger manifest!\My students.\All right. I'll put in a request to HQ to form a rescue party.\I'll leave you one landing craft.\However, if you can't put together enough people to crew her,\then I expect you to let this go.\Nao? You're here, right? response:	Nao!
context: My kids' names weren't on the passenger manifest!\My students.\All right. I'll put in a request to HQ to form a rescue party.\I'll leave you one landing craft.\However, if you can't put together enough people to crew her,\then I expect you to let this go.\Nao? You're here, right?\Nao! response:	I'm in here.
context: My students.\All right. I'll put in a request to HQ to form a rescue party.\I'll leave you one landing craft.\However, if you can't put together enough people to crew her,\then I expect you to let this go.\Nao? You're here, right?\Nao!\I'm in here. response:	I know that, that's why I'm here.
context: All right. I'll put in a request to HQ to form a rescue party.\I'll leave you one landing craft.\However, if you can't put together enough people to crew her,\then I expect you to let this go.\Nao? You're here, right?\Nao!\I'm in here.\I know that, that's why I'm here. response:	Do you have any idea what you kids are getting yourselves into?
context: I'll leave you one landing craft.\However, if you can't put together enough people to crew her,\then I expect you to let this go.\Nao? You're here, right?\Nao!\I'm in here.\I know that, that's why I'm here.\Do you have any idea what you kids are getting yourselves into? response:	I'm perfectly aware that it's crazy.
context: However, if you can't put together enough people to crew her,\then I expect you to let this go.\Nao? You're here, right?\Nao!\I'm in here.\I know that, that's why I'm here.\Do you have any idea what you kids are getting yourselves into?\I'm perfectly aware that it's crazy. response:	Then why are you...
context: then I expect you to let this go.\Nao? You're here, right?\Nao!\I'm in here.\I know that, that's why I'm here.\Do you have any idea what you kids are getting yourselves into?\I'm perfectly aware that it's crazy.\Then why are you... response:	For some reason, that Martian is obsessed with trying to kill us.
context: Nao? You're here, right?\Nao!\I'm in here.\I know that, that's why I'm here.\Do you have any idea what you kids are getting yourselves into?\I'm perfectly aware that it's crazy.\Then why are you...\For some reason, that Martian is obsessed with trying to kill us. response:	In other words, as long as we stick to the school,
context: Nao!\I'm in here.\I know that, that's why I'm here.\Do you have any idea what you kids are getting yourselves into?\I'm perfectly aware that it's crazy.\Then why are you...\For some reason, that Martian is obsessed with trying to kill us.\In other words, as long as we stick to the school, response:	his attacks won't spread to the city proper or the harbor.
context: I'm in here.\I know that, that's why I'm here.\Do you have any idea what you kids are getting yourselves into?\I'm perfectly aware that it's crazy.\Then why are you...\For some reason, that Martian is obsessed with trying to kill us.\In other words, as long as we stick to the school,\his attacks won't spread to the city proper or the harbor. response:	Luckily, everyone who lives around here has been evacuated.
context: I know that, that's why I'm here.\Do you have any idea what you kids are getting yourselves into?\I'm perfectly aware that it's crazy.\Then why are you...\For some reason, that Martian is obsessed with trying to kill us.\In other words, as long as we stick to the school,\his attacks won't spread to the city proper or the harbor.\Luckily, everyone who lives around here has been evacuated. response:	Even so, that doesn't mean...
context: Do you have any idea what you kids are getting yourselves into?\I'm perfectly aware that it's crazy.\Then why are you...\For some reason, that Martian is obsessed with trying to kill us.\In other words, as long as we stick to the school,\his attacks won't spread to the city proper or the harbor.\Luckily, everyone who lives around here has been evacuated.\Even so, that doesn't mean... response:	Okisuke is dead.
context: I'm perfectly aware that it's crazy.\Then why are you...\For some reason, that Martian is obsessed with trying to kill us.\In other words, as long as we stick to the school,\his attacks won't spread to the city proper or the harbor.\Luckily, everyone who lives around here has been evacuated.\Even so, that doesn't mean...\Okisuke is dead. response:	Make decisions as circumstances dictate. If you have to, trust your gut and make the call.
context: Then why are you...\For some reason, that Martian is obsessed with trying to kill us.\In other words, as long as we stick to the school,\his attacks won't spread to the city proper or the harbor.\Luckily, everyone who lives around here has been evacuated.\Even so, that doesn't mean...\Okisuke is dead.\Make decisions as circumstances dictate. If you have to, trust your gut and make the call. response:	Isn't that what you always tell me, Yuki?
context: For some reason, that Martian is obsessed with trying to kill us.\In other words, as long as we stick to the school,\his attacks won't spread to the city proper or the harbor.\Luckily, everyone who lives around here has been evacuated.\Even so, that doesn't mean...\Okisuke is dead.\Make decisions as circumstances dictate. If you have to, trust your gut and make the call.\Isn't that what you always tell me, Yuki? response:	I'm pretty sure that this is one of those times.
context: In other words, as long as we stick to the school,\his attacks won't spread to the city proper or the harbor.\Luckily, everyone who lives around here has been evacuated.\Even so, that doesn't mean...\Okisuke is dead.\Make decisions as circumstances dictate. If you have to, trust your gut and make the call.\Isn't that what you always tell me, Yuki?\I'm pretty sure that this is one of those times. response:	I'll do it.
context: his attacks won't spread to the city proper or the harbor.\Luckily, everyone who lives around here has been evacuated.\Even so, that doesn't mean...\Okisuke is dead.\Make decisions as circumstances dictate. If you have to, trust your gut and make the call.\Isn't that what you always tell me, Yuki?\I'm pretty sure that this is one of those times.\I'll do it. response:	I can't let an injured person do this.
context: Luckily, everyone who lives around here has been evacuated.\Even so, that doesn't mean...\Okisuke is dead.\Make decisions as circumstances dictate. If you have to, trust your gut and make the call.\Isn't that what you always tell me, Yuki?\I'm pretty sure that this is one of those times.\I'll do it.\I can't let an injured person do this. response:	Nao!
context: Even so, that doesn't mean...\Okisuke is dead.\Make decisions as circumstances dictate. If you have to, trust your gut and make the call.\Isn't that what you always tell me, Yuki?\I'm pretty sure that this is one of those times.\I'll do it.\I can't let an injured person do this.\Nao! response:	Everyone is on edge.
context: Okisuke is dead.\Make decisions as circumstances dictate. If you have to, trust your gut and make the call.\Isn't that what you always tell me, Yuki?\I'm pretty sure that this is one of those times.\I'll do it.\I can't let an injured person do this.\Nao!\Everyone is on edge. response:	That's why I want you to keep them safe.
context: Make decisions as circumstances dictate. If you have to, trust your gut and make the call.\Isn't that what you always tell me, Yuki?\I'm pretty sure that this is one of those times.\I'll do it.\I can't let an injured person do this.\Nao!\Everyone is on edge.\That's why I want you to keep them safe. response:	I want you to cheer up and reassure the people who are scared.
context: Isn't that what you always tell me, Yuki?\I'm pretty sure that this is one of those times.\I'll do it.\I can't let an injured person do this.\Nao!\Everyone is on edge.\That's why I want you to keep them safe.\I want you to cheer up and reassure the people who are scared. response:	That's something that we just can't do.
context: I'm pretty sure that this is one of those times.\I'll do it.\I can't let an injured person do this.\Nao!\Everyone is on edge.\That's why I want you to keep them safe.\I want you to cheer up and reassure the people who are scared.\That's something that we just can't do. response:	Princess... You wished for peace more than anyone, and yet...
context: I'll do it.\I can't let an injured person do this.\Nao!\Everyone is on edge.\That's why I want you to keep them safe.\I want you to cheer up and reassure the people who are scared.\That's something that we just can't do.\Princess... You wished for peace more than anyone, and yet... response:	Who would do such a thing?
context: I can't let an injured person do this.\Nao!\Everyone is on edge.\That's why I want you to keep them safe.\I want you to cheer up and reassure the people who are scared.\That's something that we just can't do.\Princess... You wished for peace more than anyone, and yet...\Who would do such a thing? response:	So what you are saying is that not only did you fail to kill the rat,
context: Nao!\Everyone is on edge.\That's why I want you to keep them safe.\I want you to cheer up and reassure the people who are scared.\That's something that we just can't do.\Princess... You wished for peace more than anyone, and yet...\Who would do such a thing?\So what you are saying is that not only did you fail to kill the rat, response:	you have even lost track of where it may have gone to hide.
context: Everyone is on edge.\That's why I want you to keep them safe.\I want you to cheer up and reassure the people who are scared.\That's something that we just can't do.\Princess... You wished for peace more than anyone, and yet...\Who would do such a thing?\So what you are saying is that not only did you fail to kill the rat,\you have even lost track of where it may have gone to hide. response:	With all due respect, Milord Saazbaum.
context: That's why I want you to keep them safe.\I want you to cheer up and reassure the people who are scared.\That's something that we just can't do.\Princess... You wished for peace more than anyone, and yet...\Who would do such a thing?\So what you are saying is that not only did you fail to kill the rat,\you have even lost track of where it may have gone to hide.\With all due respect, Milord Saazbaum. response:	She has not eluded me just yet.
context: I want you to cheer up and reassure the people who are scared.\That's something that we just can't do.\Princess... You wished for peace more than anyone, and yet...\Who would do such a thing?\So what you are saying is that not only did you fail to kill the rat,\you have even lost track of where it may have gone to hide.\With all due respect, Milord Saazbaum.\She has not eluded me just yet. response:	From that tunnel she fled into, she could only go to one area.
context: That's something that we just can't do.\Princess... You wished for peace more than anyone, and yet...\Who would do such a thing?\So what you are saying is that not only did you fail to kill the rat,\you have even lost track of where it may have gone to hide.\With all due respect, Milord Saazbaum.\She has not eluded me just yet.\From that tunnel she fled into, she could only go to one area. response:	Namely, Shinawara's northern district.
context: Princess... You wished for peace more than anyone, and yet...\Who would do such a thing?\So what you are saying is that not only did you fail to kill the rat,\you have even lost track of where it may have gone to hide.\With all due respect, Milord Saazbaum.\She has not eluded me just yet.\From that tunnel she fled into, she could only go to one area.\Namely, Shinawara's northern district. response:	When she grows impatient and pokes her head out of her hidey-hole,
context: Who would do such a thing?\So what you are saying is that not only did you fail to kill the rat,\you have even lost track of where it may have gone to hide.\With all due respect, Milord Saazbaum.\She has not eluded me just yet.\From that tunnel she fled into, she could only go to one area.\Namely, Shinawara's northern district.\When she grows impatient and pokes her head out of her hidey-hole, response:	my Nilokeras' vaunted eagle eyes will immediately spot him, and-
context: So what you are saying is that not only did you fail to kill the rat,\you have even lost track of where it may have gone to hide.\With all due respect, Milord Saazbaum.\She has not eluded me just yet.\From that tunnel she fled into, she could only go to one area.\Namely, Shinawara's northern district.\When she grows impatient and pokes her head out of her hidey-hole,\my Nilokeras' vaunted eagle eyes will immediately spot him, and- response:	Fool.
context: you have even lost track of where it may have gone to hide.\With all due respect, Milord Saazbaum.\She has not eluded me just yet.\From that tunnel she fled into, she could only go to one area.\Namely, Shinawara's northern district.\When she grows impatient and pokes her head out of her hidey-hole,\my Nilokeras' vaunted eagle eyes will immediately spot him, and-\Fool. response:	Do you think we have the luxury of playing the waiting game?
context: With all due respect, Milord Saazbaum.\She has not eluded me just yet.\From that tunnel she fled into, she could only go to one area.\Namely, Shinawara's northern district.\When she grows impatient and pokes her head out of her hidey-hole,\my Nilokeras' vaunted eagle eyes will immediately spot him, and-\Fool.\Do you think we have the luxury of playing the waiting game? response:	If we do not have the rat's exact location, so be it.
context: She has not eluded me just yet.\From that tunnel she fled into, she could only go to one area.\Namely, Shinawara's northern district.\When she grows impatient and pokes her head out of her hidey-hole,\my Nilokeras' vaunted eagle eyes will immediately spot him, and-\Fool.\Do you think we have the luxury of playing the waiting game?\If we do not have the rat's exact location, so be it. response:	We shall simply blow the entire city to kingdom come.
context: From that tunnel she fled into, she could only go to one area.\Namely, Shinawara's northern district.\When she grows impatient and pokes her head out of her hidey-hole,\my Nilokeras' vaunted eagle eyes will immediately spot him, and-\Fool.\Do you think we have the luxury of playing the waiting game?\If we do not have the rat's exact location, so be it.\We shall simply blow the entire city to kingdom come. response:	We shall conduct a meteor bombardment.
context: Namely, Shinawara's northern district.\When she grows impatient and pokes her head out of her hidey-hole,\my Nilokeras' vaunted eagle eyes will immediately spot him, and-\Fool.\Do you think we have the luxury of playing the waiting game?\If we do not have the rat's exact location, so be it.\We shall simply blow the entire city to kingdom come.\We shall conduct a meteor bombardment. response:	M-Milord Saazbaum! Count Cruhteo's Landing Castle is too close!
context: When she grows impatient and pokes her head out of her hidey-hole,\my Nilokeras' vaunted eagle eyes will immediately spot him, and-\Fool.\Do you think we have the luxury of playing the waiting game?\If we do not have the rat's exact location, so be it.\We shall simply blow the entire city to kingdom come.\We shall conduct a meteor bombardment.\M-Milord Saazbaum! Count Cruhteo's Landing Castle is too close! response:	Would he not view that as an attack against him?
context: my Nilokeras' vaunted eagle eyes will immediately spot him, and-\Fool.\Do you think we have the luxury of playing the waiting game?\If we do not have the rat's exact location, so be it.\We shall simply blow the entire city to kingdom come.\We shall conduct a meteor bombardment.\M-Milord Saazbaum! Count Cruhteo's Landing Castle is too close!\Would he not view that as an attack against him? response:	There are times when sacrifices must be made.
context: Fool.\Do you think we have the luxury of playing the waiting game?\If we do not have the rat's exact location, so be it.\We shall simply blow the entire city to kingdom come.\We shall conduct a meteor bombardment.\M-Milord Saazbaum! Count Cruhteo's Landing Castle is too close!\Would he not view that as an attack against him?\There are times when sacrifices must be made. response:	Orbital corrections will take several hours.
context: Do you think we have the luxury of playing the waiting game?\If we do not have the rat's exact location, so be it.\We shall simply blow the entire city to kingdom come.\We shall conduct a meteor bombardment.\M-Milord Saazbaum! Count Cruhteo's Landing Castle is too close!\Would he not view that as an attack against him?\There are times when sacrifices must be made.\Orbital corrections will take several hours. response:	To ensure that the rat does not flee elsewhere in the meantime,
context: If we do not have the rat's exact location, so be it.\We shall simply blow the entire city to kingdom come.\We shall conduct a meteor bombardment.\M-Milord Saazbaum! Count Cruhteo's Landing Castle is too close!\Would he not view that as an attack against him?\There are times when sacrifices must be made.\Orbital corrections will take several hours.\To ensure that the rat does not flee elsewhere in the meantime, response:	maintain a close watch.
context: We shall simply blow the entire city to kingdom come.\We shall conduct a meteor bombardment.\M-Milord Saazbaum! Count Cruhteo's Landing Castle is too close!\Would he not view that as an attack against him?\There are times when sacrifices must be made.\Orbital corrections will take several hours.\To ensure that the rat does not flee elsewhere in the meantime,\maintain a close watch. response:	Yes, Milord!
context: We shall conduct a meteor bombardment.\M-Milord Saazbaum! Count Cruhteo's Landing Castle is too close!\Would he not view that as an attack against him?\There are times when sacrifices must be made.\Orbital corrections will take several hours.\To ensure that the rat does not flee elsewhere in the meantime,\maintain a close watch.\Yes, Milord! response:	What's that?
context: M-Milord Saazbaum! Count Cruhteo's Landing Castle is too close!\Would he not view that as an attack against him?\There are times when sacrifices must be made.\Orbital corrections will take several hours.\To ensure that the rat does not flee elsewhere in the meantime,\maintain a close watch.\Yes, Milord!\What's that? response:	I've been collecting all we know about that Martian Kataphrakt.
context: Would he not view that as an attack against him?\There are times when sacrifices must be made.\Orbital corrections will take several hours.\To ensure that the rat does not flee elsewhere in the meantime,\maintain a close watch.\Yes, Milord!\What's that?\I've been collecting all we know about that Martian Kataphrakt. response:	The bullets you fired at it didn't bounce off, they were all absorbed, weren't they?
context: There are times when sacrifices must be made.\Orbital corrections will take several hours.\To ensure that the rat does not flee elsewhere in the meantime,\maintain a close watch.\Yes, Milord!\What's that?\I've been collecting all we know about that Martian Kataphrakt.\The bullets you fired at it didn't bounce off, they were all absorbed, weren't they? response:	How's the signal?
context: Orbital corrections will take several hours.\To ensure that the rat does not flee elsewhere in the meantime,\maintain a close watch.\Yes, Milord!\What's that?\I've been collecting all we know about that Martian Kataphrakt.\The bullets you fired at it didn't bounce off, they were all absorbed, weren't they?\How's the signal? response:	Borderline.
context: To ensure that the rat does not flee elsewhere in the meantime,\maintain a close watch.\Yes, Milord!\What's that?\I've been collecting all we know about that Martian Kataphrakt.\The bullets you fired at it didn't bounce off, they were all absorbed, weren't they?\How's the signal?\Borderline. response:	Such impudence!
context: maintain a close watch.\Yes, Milord!\What's that?\I've been collecting all we know about that Martian Kataphrakt.\The bullets you fired at it didn't bounce off, they were all absorbed, weren't they?\How's the signal?\Borderline.\Such impudence! response:	Here goes...
context: Yes, Milord!\What's that?\I've been collecting all we know about that Martian Kataphrakt.\The bullets you fired at it didn't bounce off, they were all absorbed, weren't they?\How's the signal?\Borderline.\Such impudence!\Here goes... response:	It's not just bullets. When active sensor pings hit it, they don't come back.
context: What's that?\I've been collecting all we know about that Martian Kataphrakt.\The bullets you fired at it didn't bounce off, they were all absorbed, weren't they?\How's the signal?\Borderline.\Such impudence!\Here goes...\It's not just bullets. When active sensor pings hit it, they don't come back. response:	Meaning what, exactly?
context: I've been collecting all we know about that Martian Kataphrakt.\The bullets you fired at it didn't bounce off, they were all absorbed, weren't they?\How's the signal?\Borderline.\Such impudence!\Here goes...\It's not just bullets. When active sensor pings hit it, they don't come back.\Meaning what, exactly? response:	Infrared, acoustic detection, lasers, they're all useless.
context: The bullets you fired at it didn't bounce off, they were all absorbed, weren't they?\How's the signal?\Borderline.\Such impudence!\Here goes...\It's not just bullets. When active sensor pings hit it, they don't come back.\Meaning what, exactly?\Infrared, acoustic detection, lasers, they're all useless. response:	There was no echo return.
context: How's the signal?\Borderline.\Such impudence!\Here goes...\It's not just bullets. When active sensor pings hit it, they don't come back.\Meaning what, exactly?\Infrared, acoustic detection, lasers, they're all useless.\There was no echo return. response:	It doesn't just absorb kinetic energy, but also radio waves and lasers.
context: Borderline.\Such impudence!\Here goes...\It's not just bullets. When active sensor pings hit it, they don't come back.\Meaning what, exactly?\Infrared, acoustic detection, lasers, they're all useless.\There was no echo return.\It doesn't just absorb kinetic energy, but also radio waves and lasers. response:	I think that's the special characteristic of that wall.
context: Such impudence!\Here goes...\It's not just bullets. When active sensor pings hit it, they don't come back.\Meaning what, exactly?\Infrared, acoustic detection, lasers, they're all useless.\There was no echo return.\It doesn't just absorb kinetic energy, but also radio waves and lasers.\I think that's the special characteristic of that wall. response:	Wall?
context: Here goes...\It's not just bullets. When active sensor pings hit it, they don't come back.\Meaning what, exactly?\Infrared, acoustic detection, lasers, they're all useless.\There was no echo return.\It doesn't just absorb kinetic energy, but also radio waves and lasers.\I think that's the special characteristic of that wall.\Wall? response:	The energy field that covers its surface.
context: It's not just bullets. When active sensor pings hit it, they don't come back.\Meaning what, exactly?\Infrared, acoustic detection, lasers, they're all useless.\There was no echo return.\It doesn't just absorb kinetic energy, but also radio waves and lasers.\I think that's the special characteristic of that wall.\Wall?\The energy field that covers its surface. response:	Call it a barrier, I guess.
context: Meaning what, exactly?\Infrared, acoustic detection, lasers, they're all useless.\There was no echo return.\It doesn't just absorb kinetic energy, but also radio waves and lasers.\I think that's the special characteristic of that wall.\Wall?\The energy field that covers its surface.\Call it a barrier, I guess. response:	A barrier...
