context: *Episode 2 seating change response:	*Take me
context: Did you hear?\Sadako from Class B...\That girl who has a psychic aura or whatever?\Yeah.\Before the summer break, she made a public announcement that she got rejected.\Seriously?\By who?\Ka-ze-ha-ya. response:	Kazehaya?!
context: Sadako from Class B...\That girl who has a psychic aura or whatever?\Yeah.\Before the summer break, she made a public announcement that she got rejected.\Seriously?\By who?\Ka-ze-ha-ya.\Kazehaya?! response:	She wouldn't have a chance with him.
context: That girl who has a psychic aura or whatever?\Yeah.\Before the summer break, she made a public announcement that she got rejected.\Seriously?\By who?\Ka-ze-ha-ya.\Kazehaya?!\She wouldn't have a chance with him. response:	Morning.
context: Yeah.\Before the summer break, she made a public announcement that she got rejected.\Seriously?\By who?\Ka-ze-ha-ya.\Kazehaya?!\She wouldn't have a chance with him.\Morning. response:	Oh yeah, it's because I approached them out of nowhere.
context: Before the summer break, she made a public announcement that she got rejected.\Seriously?\By who?\Ka-ze-ha-ya.\Kazehaya?!\She wouldn't have a chance with him.\Morning.\Oh yeah, it's because I approached them out of nowhere. response:	Sorry to scare you.
context: Seriously?\By who?\Ka-ze-ha-ya.\Kazehaya?!\She wouldn't have a chance with him.\Morning.\Oh yeah, it's because I approached them out of nowhere.\Sorry to scare you. response:	She's praying.
context: By who?\Ka-ze-ha-ya.\Kazehaya?!\She wouldn't have a chance with him.\Morning.\Oh yeah, it's because I approached them out of nowhere.\Sorry to scare you.\She's praying. response:	Is there something there?
context: Ka-ze-ha-ya.\Kazehaya?!\She wouldn't have a chance with him.\Morning.\Oh yeah, it's because I approached them out of nowhere.\Sorry to scare you.\She's praying.\Is there something there? response:	I wonder if that puppy is okay.
context: Kazehaya?!\She wouldn't have a chance with him.\Morning.\Oh yeah, it's because I approached them out of nowhere.\Sorry to scare you.\She's praying.\Is there something there?\I wonder if that puppy is okay. response:	Why is she staring into the void?
context: She wouldn't have a chance with him.\Morning.\Oh yeah, it's because I approached them out of nowhere.\Sorry to scare you.\She's praying.\Is there something there?\I wonder if that puppy is okay.\Why is she staring into the void? response:	And why is she soaked?
context: Morning.\Oh yeah, it's because I approached them out of nowhere.\Sorry to scare you.\She's praying.\Is there something there?\I wonder if that puppy is okay.\Why is she staring into the void?\And why is she soaked? response:	It's hard to approach people,
context: Oh yeah, it's because I approached them out of nowhere.\Sorry to scare you.\She's praying.\Is there something there?\I wonder if that puppy is okay.\Why is she staring into the void?\And why is she soaked?\It's hard to approach people, response:	and I have a hard time talking to them.
context: Sorry to scare you.\She's praying.\Is there something there?\I wonder if that puppy is okay.\Why is she staring into the void?\And why is she soaked?\It's hard to approach people,\and I have a hard time talking to them. response:	But I still hope I can break down that wall.
context: She's praying.\Is there something there?\I wonder if that puppy is okay.\Why is she staring into the void?\And why is she soaked?\It's hard to approach people,\and I have a hard time talking to them.\But I still hope I can break down that wall. response:	Morning.
context: Is there something there?\I wonder if that puppy is okay.\Why is she staring into the void?\And why is she soaked?\It's hard to approach people,\and I have a hard time talking to them.\But I still hope I can break down that wall.\Morning. response:	You're soaked, Kazehaya.
context: I wonder if that puppy is okay.\Why is she staring into the void?\And why is she soaked?\It's hard to approach people,\and I have a hard time talking to them.\But I still hope I can break down that wall.\Morning.\You're soaked, Kazehaya. response:	I got caught in the rain.
context: Why is she staring into the void?\And why is she soaked?\It's hard to approach people,\and I have a hard time talking to them.\But I still hope I can break down that wall.\Morning.\You're soaked, Kazehaya.\I got caught in the rain. response:	Wow, all those people are crowding around him.
context: And why is she soaked?\It's hard to approach people,\and I have a hard time talking to them.\But I still hope I can break down that wall.\Morning.\You're soaked, Kazehaya.\I got caught in the rain.\Wow, all those people are crowding around him. response:	That's Kazehaya-kun for you.
context: It's hard to approach people,\and I have a hard time talking to them.\But I still hope I can break down that wall.\Morning.\You're soaked, Kazehaya.\I got caught in the rain.\Wow, all those people are crowding around him.\That's Kazehaya-kun for you. response:	He's cool even when he's drenched.
context: and I have a hard time talking to them.\But I still hope I can break down that wall.\Morning.\You're soaked, Kazehaya.\I got caught in the rain.\Wow, all those people are crowding around him.\That's Kazehaya-kun for you.\He's cool even when he's drenched. response:	Morning.
context: But I still hope I can break down that wall.\Morning.\You're soaked, Kazehaya.\I got caught in the rain.\Wow, all those people are crowding around him.\That's Kazehaya-kun for you.\He's cool even when he's drenched.\Morning. response:	M-Morning.
context: Morning.\You're soaked, Kazehaya.\I got caught in the rain.\Wow, all those people are crowding around him.\That's Kazehaya-kun for you.\He's cool even when he's drenched.\Morning.\M-Morning. response:	He still talks to me like normal,
context: You're soaked, Kazehaya.\I got caught in the rain.\Wow, all those people are crowding around him.\That's Kazehaya-kun for you.\He's cool even when he's drenched.\Morning.\M-Morning.\He still talks to me like normal, response:	after all the trouble I've caused him.
context: I got caught in the rain.\Wow, all those people are crowding around him.\That's Kazehaya-kun for you.\He's cool even when he's drenched.\Morning.\M-Morning.\He still talks to me like normal,\after all the trouble I've caused him. response:	He's so nice!
context: Wow, all those people are crowding around him.\That's Kazehaya-kun for you.\He's cool even when he's drenched.\Morning.\M-Morning.\He still talks to me like normal,\after all the trouble I've caused him.\He's so nice! response:	Did you get caught in the rain too?
context: That's Kazehaya-kun for you.\He's cool even when he's drenched.\Morning.\M-Morning.\He still talks to me like normal,\after all the trouble I've caused him.\He's so nice!\Did you get caught in the rain too? response:	You're soaked.
context: He's cool even when he's drenched.\Morning.\M-Morning.\He still talks to me like normal,\after all the trouble I've caused him.\He's so nice!\Did you get caught in the rain too?\You're soaked. response:	Do you have any spare clothes?
context: Morning.\M-Morning.\He still talks to me like normal,\after all the trouble I've caused him.\He's so nice!\Did you get caught in the rain too?\You're soaked.\Do you have any spare clothes? response:	Kazehaya's sure being nice to her.
context: M-Morning.\He still talks to me like normal,\after all the trouble I've caused him.\He's so nice!\Did you get caught in the rain too?\You're soaked.\Do you have any spare clothes?\Kazehaya's sure being nice to her. response:	Spare clothes?
context: He still talks to me like normal,\after all the trouble I've caused him.\He's so nice!\Did you get caught in the rain too?\You're soaked.\Do you have any spare clothes?\Kazehaya's sure being nice to her.\Spare clothes? response:	Oh yeah, I could have worn a jersey if I had one.
context: after all the trouble I've caused him.\He's so nice!\Did you get caught in the rain too?\You're soaked.\Do you have any spare clothes?\Kazehaya's sure being nice to her.\Spare clothes?\Oh yeah, I could have worn a jersey if I had one. response:	You don't have any?
context: He's so nice!\Did you get caught in the rain too?\You're soaked.\Do you have any spare clothes?\Kazehaya's sure being nice to her.\Spare clothes?\Oh yeah, I could have worn a jersey if I had one.\You don't have any? response:	And that ramen
context: Did you get caught in the rain too?\You're soaked.\Do you have any spare clothes?\Kazehaya's sure being nice to her.\Spare clothes?\Oh yeah, I could have worn a jersey if I had one.\You don't have any?\And that ramen response:	Yoshida, don't you have a spare jersey?
context: You're soaked.\Do you have any spare clothes?\Kazehaya's sure being nice to her.\Spare clothes?\Oh yeah, I could have worn a jersey if I had one.\You don't have any?\And that ramen\Yoshida, don't you have a spare jersey? response:	Yeah, I do.
context: Do you have any spare clothes?\Kazehaya's sure being nice to her.\Spare clothes?\Oh yeah, I could have worn a jersey if I had one.\You don't have any?\And that ramen\Yoshida, don't you have a spare jersey?\Yeah, I do. response:	What the hell?
context: Kazehaya's sure being nice to her.\Spare clothes?\Oh yeah, I could have worn a jersey if I had one.\You don't have any?\And that ramen\Yoshida, don't you have a spare jersey?\Yeah, I do.\What the hell? response:	You don't have any spare clothes, Sadako?
context: Spare clothes?\Oh yeah, I could have worn a jersey if I had one.\You don't have any?\And that ramen\Yoshida, don't you have a spare jersey?\Yeah, I do.\What the hell?\You don't have any spare clothes, Sadako? response:	Fine, whatever.
context: Oh yeah, I could have worn a jersey if I had one.\You don't have any?\And that ramen\Yoshida, don't you have a spare jersey?\Yeah, I do.\What the hell?\You don't have any spare clothes, Sadako?\Fine, whatever. response:	There it is.
context: You don't have any?\And that ramen\Yoshida, don't you have a spare jersey?\Yeah, I do.\What the hell?\You don't have any spare clothes, Sadako?\Fine, whatever.\There it is. response:	Tada!
context: And that ramen\Yoshida, don't you have a spare jersey?\Yeah, I do.\What the hell?\You don't have any spare clothes, Sadako?\Fine, whatever.\There it is.\Tada! response:	It smells moldy. Seriously.
context: Yoshida, don't you have a spare jersey?\Yeah, I do.\What the hell?\You don't have any spare clothes, Sadako?\Fine, whatever.\There it is.\Tada!\It smells moldy. Seriously. response:	Oh yeah, could you wash it for me while you're at it?
context: Yeah, I do.\What the hell?\You don't have any spare clothes, Sadako?\Fine, whatever.\There it is.\Tada!\It smells moldy. Seriously.\Oh yeah, could you wash it for me while you're at it? response:	Thanks.
context: What the hell?\You don't have any spare clothes, Sadako?\Fine, whatever.\There it is.\Tada!\It smells moldy. Seriously.\Oh yeah, could you wash it for me while you're at it?\Thanks. response:	You're going to need more than a hanky, aren't you?
context: You don't have any spare clothes, Sadako?\Fine, whatever.\There it is.\Tada!\It smells moldy. Seriously.\Oh yeah, could you wash it for me while you're at it?\Thanks.\You're going to need more than a hanky, aren't you? response:	I used it too, so it's a bit wet.
context: Fine, whatever.\There it is.\Tada!\It smells moldy. Seriously.\Oh yeah, could you wash it for me while you're at it?\Thanks.\You're going to need more than a hanky, aren't you?\I used it too, so it's a bit wet. response:	Tha Thanks.
context: There it is.\Tada!\It smells moldy. Seriously.\Oh yeah, could you wash it for me while you're at it?\Thanks.\You're going to need more than a hanky, aren't you?\I used it too, so it's a bit wet.\Tha Thanks. response:	It's hard interacting with people,
context: Tada!\It smells moldy. Seriously.\Oh yeah, could you wash it for me while you're at it?\Thanks.\You're going to need more than a hanky, aren't you?\I used it too, so it's a bit wet.\Tha Thanks.\It's hard interacting with people, response:	but these days I think there are a lot of really nice people.
context: It smells moldy. Seriously.\Oh yeah, could you wash it for me while you're at it?\Thanks.\You're going to need more than a hanky, aren't you?\I used it too, so it's a bit wet.\Tha Thanks.\It's hard interacting with people,\but these days I think there are a lot of really nice people. response:	I'm so happy.
context: Oh yeah, could you wash it for me while you're at it?\Thanks.\You're going to need more than a hanky, aren't you?\I used it too, so it's a bit wet.\Tha Thanks.\It's hard interacting with people,\but these days I think there are a lot of really nice people.\I'm so happy. response:	My classmates lent me stuff!
context: Thanks.\You're going to need more than a hanky, aren't you?\I used it too, so it's a bit wet.\Tha Thanks.\It's hard interacting with people,\but these days I think there are a lot of really nice people.\I'm so happy.\My classmates lent me stuff! response:	I want to thank them if I can...
context: You're going to need more than a hanky, aren't you?\I used it too, so it's a bit wet.\Tha Thanks.\It's hard interacting with people,\but these days I think there are a lot of really nice people.\I'm so happy.\My classmates lent me stuff!\I want to thank them if I can... response:	Was that a Buddha statue?
context: I used it too, so it's a bit wet.\Tha Thanks.\It's hard interacting with people,\but these days I think there are a lot of really nice people.\I'm so happy.\My classmates lent me stuff!\I want to thank them if I can...\Was that a Buddha statue? response:	Come to think of it, it was Kazehaya-kun that gave me a chance to befriend Yano-san and Yoshida-san.
context: Tha Thanks.\It's hard interacting with people,\but these days I think there are a lot of really nice people.\I'm so happy.\My classmates lent me stuff!\I want to thank them if I can...\Was that a Buddha statue?\Come to think of it, it was Kazehaya-kun that gave me a chance to befriend Yano-san and Yoshida-san. response:	Kazehaya-kun is still my idol.
context: It's hard interacting with people,\but these days I think there are a lot of really nice people.\I'm so happy.\My classmates lent me stuff!\I want to thank them if I can...\Was that a Buddha statue?\Come to think of it, it was Kazehaya-kun that gave me a chance to befriend Yano-san and Yoshida-san.\Kazehaya-kun is still my idol. response:	I admire him.
context: but these days I think there are a lot of really nice people.\I'm so happy.\My classmates lent me stuff!\I want to thank them if I can...\Was that a Buddha statue?\Come to think of it, it was Kazehaya-kun that gave me a chance to befriend Yano-san and Yoshida-san.\Kazehaya-kun is still my idol.\I admire him. response:	You're worrying too much about her, Kazehaya.
context: I'm so happy.\My classmates lent me stuff!\I want to thank them if I can...\Was that a Buddha statue?\Come to think of it, it was Kazehaya-kun that gave me a chance to befriend Yano-san and Yoshida-san.\Kazehaya-kun is still my idol.\I admire him.\You're worrying too much about her, Kazehaya. response:	Sadako this, Sadako that.
context: My classmates lent me stuff!\I want to thank them if I can...\Was that a Buddha statue?\Come to think of it, it was Kazehaya-kun that gave me a chance to befriend Yano-san and Yoshida-san.\Kazehaya-kun is still my idol.\I admire him.\You're worrying too much about her, Kazehaya.\Sadako this, Sadako that. response:	I know you feel bad about rejecting her, but...
context: I want to thank them if I can...\Was that a Buddha statue?\Come to think of it, it was Kazehaya-kun that gave me a chance to befriend Yano-san and Yoshida-san.\Kazehaya-kun is still my idol.\I admire him.\You're worrying too much about her, Kazehaya.\Sadako this, Sadako that.\I know you feel bad about rejecting her, but... response:	I didn't reject her.
context: Was that a Buddha statue?\Come to think of it, it was Kazehaya-kun that gave me a chance to befriend Yano-san and Yoshida-san.\Kazehaya-kun is still my idol.\I admire him.\You're worrying too much about her, Kazehaya.\Sadako this, Sadako that.\I know you feel bad about rejecting her, but...\I didn't reject her. response:	You didn't accept, did you?
context: Come to think of it, it was Kazehaya-kun that gave me a chance to befriend Yano-san and Yoshida-san.\Kazehaya-kun is still my idol.\I admire him.\You're worrying too much about her, Kazehaya.\Sadako this, Sadako that.\I know you feel bad about rejecting her, but...\I didn't reject her.\You didn't accept, did you? response:	That's not how it is.
context: Kazehaya-kun is still my idol.\I admire him.\You're worrying too much about her, Kazehaya.\Sadako this, Sadako that.\I know you feel bad about rejecting her, but...\I didn't reject her.\You didn't accept, did you?\That's not how it is. response:	I can expect to see you over the summer, right?
context: I admire him.\You're worrying too much about her, Kazehaya.\Sadako this, Sadako that.\I know you feel bad about rejecting her, but...\I didn't reject her.\You didn't accept, did you?\That's not how it is.\I can expect to see you over the summer, right? response:	I can see you during the summer sessions?
context: You're worrying too much about her, Kazehaya.\Sadako this, Sadako that.\I know you feel bad about rejecting her, but...\I didn't reject her.\You didn't accept, did you?\That's not how it is.\I can expect to see you over the summer, right?\I can see you during the summer sessions? response:	So you're not going to avoid me during the sessions?
context: Sadako this, Sadako that.\I know you feel bad about rejecting her, but...\I didn't reject her.\You didn't accept, did you?\That's not how it is.\I can expect to see you over the summer, right?\I can see you during the summer sessions?\So you're not going to avoid me during the sessions? response:	Kuronuma?
context: I know you feel bad about rejecting her, but...\I didn't reject her.\You didn't accept, did you?\That's not how it is.\I can expect to see you over the summer, right?\I can see you during the summer sessions?\So you're not going to avoid me during the sessions?\Kuronuma? response:	I've always wanted to be like you.
context: I didn't reject her.\You didn't accept, did you?\That's not how it is.\I can expect to see you over the summer, right?\I can see you during the summer sessions?\So you're not going to avoid me during the sessions?\Kuronuma?\I've always wanted to be like you. response:	I've always admired you.
context: You didn't accept, did you?\That's not how it is.\I can expect to see you over the summer, right?\I can see you during the summer sessions?\So you're not going to avoid me during the sessions?\Kuronuma?\I've always wanted to be like you.\I've always admired you. response:	I really think highly of you right now.
context: That's not how it is.\I can expect to see you over the summer, right?\I can see you during the summer sessions?\So you're not going to avoid me during the sessions?\Kuronuma?\I've always wanted to be like you.\I've always admired you.\I really think highly of you right now. response:	I don't think I'll ever stop feeling this way.
context: I can expect to see you over the summer, right?\I can see you during the summer sessions?\So you're not going to avoid me during the sessions?\Kuronuma?\I've always wanted to be like you.\I've always admired you.\I really think highly of you right now.\I don't think I'll ever stop feeling this way. response:	Attracted”... she meant that she admires me?
context: I can see you during the summer sessions?\So you're not going to avoid me during the sessions?\Kuronuma?\I've always wanted to be like you.\I've always admired you.\I really think highly of you right now.\I don't think I'll ever stop feeling this way.\Attracted”... she meant that she admires me? response:	I got so cocky.
context: So you're not going to avoid me during the sessions?\Kuronuma?\I've always wanted to be like you.\I've always admired you.\I really think highly of you right now.\I don't think I'll ever stop feeling this way.\Attracted”... she meant that she admires me?\I got so cocky. response:	Thanks, Kazehaya-kun.
context: Kuronuma?\I've always wanted to be like you.\I've always admired you.\I really think highly of you right now.\I don't think I'll ever stop feeling this way.\Attracted”... she meant that she admires me?\I got so cocky.\Thanks, Kazehaya-kun. response:	Kazehaya?
context: I've always wanted to be like you.\I've always admired you.\I really think highly of you right now.\I don't think I'll ever stop feeling this way.\Attracted”... she meant that she admires me?\I got so cocky.\Thanks, Kazehaya-kun.\Kazehaya? response:	It wasn't about rejecting her...
context: I've always admired you.\I really think highly of you right now.\I don't think I'll ever stop feeling this way.\Attracted”... she meant that she admires me?\I got so cocky.\Thanks, Kazehaya-kun.\Kazehaya?\It wasn't about rejecting her... response:	or anything like that.
context: I really think highly of you right now.\I don't think I'll ever stop feeling this way.\Attracted”... she meant that she admires me?\I got so cocky.\Thanks, Kazehaya-kun.\Kazehaya?\It wasn't about rejecting her...\or anything like that. response:	What? I don't get it.
context: I don't think I'll ever stop feeling this way.\Attracted”... she meant that she admires me?\I got so cocky.\Thanks, Kazehaya-kun.\Kazehaya?\It wasn't about rejecting her...\or anything like that.\What? I don't get it. response:	It's me. I was the one who didn't get it.
context: Attracted”... she meant that she admires me?\I got so cocky.\Thanks, Kazehaya-kun.\Kazehaya?\It wasn't about rejecting her...\or anything like that.\What? I don't get it.\It's me. I was the one who didn't get it. response:	No, I really don't get it.
context: I got so cocky.\Thanks, Kazehaya-kun.\Kazehaya?\It wasn't about rejecting her...\or anything like that.\What? I don't get it.\It's me. I was the one who didn't get it.\No, I really don't get it. response:	All I ever thought was that I was being a bother.
context: Thanks, Kazehaya-kun.\Kazehaya?\It wasn't about rejecting her...\or anything like that.\What? I don't get it.\It's me. I was the one who didn't get it.\No, I really don't get it.\All I ever thought was that I was being a bother. response:	But Kazehaya-kun gently let me know otherwise, without faking it.
context: Kazehaya?\It wasn't about rejecting her...\or anything like that.\What? I don't get it.\It's me. I was the one who didn't get it.\No, I really don't get it.\All I ever thought was that I was being a bother.\But Kazehaya-kun gently let me know otherwise, without faking it. response:	What's this?
context: It wasn't about rejecting her...\or anything like that.\What? I don't get it.\It's me. I was the one who didn't get it.\No, I really don't get it.\All I ever thought was that I was being a bother.\But Kazehaya-kun gently let me know otherwise, without faking it.\What's this? response:	There's one on my desk as well.
context: or anything like that.\What? I don't get it.\It's me. I was the one who didn't get it.\No, I really don't get it.\All I ever thought was that I was being a bother.\But Kazehaya-kun gently let me know otherwise, without faking it.\What's this?\There's one on my desk as well. response:	Sadako left those there.
context: What? I don't get it.\It's me. I was the one who didn't get it.\No, I really don't get it.\All I ever thought was that I was being a bother.\But Kazehaya-kun gently let me know otherwise, without faking it.\What's this?\There's one on my desk as well.\Sadako left those there. response:	Why me?
context: It's me. I was the one who didn't get it.\No, I really don't get it.\All I ever thought was that I was being a bother.\But Kazehaya-kun gently let me know otherwise, without faking it.\What's this?\There's one on my desk as well.\Sadako left those there.\Why me? response:	She's repaying me.
context: No, I really don't get it.\All I ever thought was that I was being a bother.\But Kazehaya-kun gently let me know otherwise, without faking it.\What's this?\There's one on my desk as well.\Sadako left those there.\Why me?\She's repaying me. response:	You're too materialistic.
context: All I ever thought was that I was being a bother.\But Kazehaya-kun gently let me know otherwise, without faking it.\What's this?\There's one on my desk as well.\Sadako left those there.\Why me?\She's repaying me.\You're too materialistic. response:	I never knew happiness could bring tears.
context: But Kazehaya-kun gently let me know otherwise, without faking it.\What's this?\There's one on my desk as well.\Sadako left those there.\Why me?\She's repaying me.\You're too materialistic.\I never knew happiness could bring tears. response:	Kuronuma!
context: What's this?\There's one on my desk as well.\Sadako left those there.\Why me?\She's repaying me.\You're too materialistic.\I never knew happiness could bring tears.\Kuronuma! response:	Did you give this to me?
context: There's one on my desk as well.\Sadako left those there.\Why me?\She's repaying me.\You're too materialistic.\I never knew happiness could bring tears.\Kuronuma!\Did you give this to me? response:	F-For the towel.
context: Sadako left those there.\Why me?\She's repaying me.\You're too materialistic.\I never knew happiness could bring tears.\Kuronuma!\Did you give this to me?\F-For the towel. response:	Well, you could have just told me
context: Why me?\She's repaying me.\You're too materialistic.\I never knew happiness could bring tears.\Kuronuma!\Did you give this to me?\F-For the towel.\Well, you could have just told me response:	or I would've never found out.
context: She's repaying me.\You're too materialistic.\I never knew happiness could bring tears.\Kuronuma!\Did you give this to me?\F-For the towel.\Well, you could have just told me\or I would've never found out. response:	S-Sorry.
context: You're too materialistic.\I never knew happiness could bring tears.\Kuronuma!\Did you give this to me?\F-For the towel.\Well, you could have just told me\or I would've never found out.\S-Sorry. response:	Thank god it was you.
context: I never knew happiness could bring tears.\Kuronuma!\Did you give this to me?\F-For the towel.\Well, you could have just told me\or I would've never found out.\S-Sorry.\Thank god it was you. response:	I wouldn't know what to do if it wasn't.
context: Kuronuma!\Did you give this to me?\F-For the towel.\Well, you could have just told me\or I would've never found out.\S-Sorry.\Thank god it was you.\I wouldn't know what to do if it wasn't. response:	I tend to be pretty mindless sometimes.
context: Did you give this to me?\F-For the towel.\Well, you could have just told me\or I would've never found out.\S-Sorry.\Thank god it was you.\I wouldn't know what to do if it wasn't.\I tend to be pretty mindless sometimes. response:	I thought maybe the towel was too much.
context: F-For the towel.\Well, you could have just told me\or I would've never found out.\S-Sorry.\Thank god it was you.\I wouldn't know what to do if it wasn't.\I tend to be pretty mindless sometimes.\I thought maybe the towel was too much. response:	Honestly I'm still a bit nervous.
context: Well, you could have just told me\or I would've never found out.\S-Sorry.\Thank god it was you.\I wouldn't know what to do if it wasn't.\I tend to be pretty mindless sometimes.\I thought maybe the towel was too much.\Honestly I'm still a bit nervous. response:	Just a bit.
context: or I would've never found out.\S-Sorry.\Thank god it was you.\I wouldn't know what to do if it wasn't.\I tend to be pretty mindless sometimes.\I thought maybe the towel was too much.\Honestly I'm still a bit nervous.\Just a bit. response:	Hey, didn't Sadako get rejected?
context: S-Sorry.\Thank god it was you.\I wouldn't know what to do if it wasn't.\I tend to be pretty mindless sometimes.\I thought maybe the towel was too much.\Honestly I'm still a bit nervous.\Just a bit.\Hey, didn't Sadako get rejected? response:	Are you having milk?
context: Thank god it was you.\I wouldn't know what to do if it wasn't.\I tend to be pretty mindless sometimes.\I thought maybe the towel was too much.\Honestly I'm still a bit nervous.\Just a bit.\Hey, didn't Sadako get rejected?\Are you having milk? response:	Oh, this is for a dog.
context: I wouldn't know what to do if it wasn't.\I tend to be pretty mindless sometimes.\I thought maybe the towel was too much.\Honestly I'm still a bit nervous.\Just a bit.\Hey, didn't Sadako get rejected?\Are you having milk?\Oh, this is for a dog. response:	You like dogs?
context: I tend to be pretty mindless sometimes.\I thought maybe the towel was too much.\Honestly I'm still a bit nervous.\Just a bit.\Hey, didn't Sadako get rejected?\Are you having milk?\Oh, this is for a dog.\You like dogs? response:	I saw a dog today, an abandoned one.
context: I thought maybe the towel was too much.\Honestly I'm still a bit nervous.\Just a bit.\Hey, didn't Sadako get rejected?\Are you having milk?\Oh, this is for a dog.\You like dogs?\I saw a dog today, an abandoned one. response:	Abandoned dog?
context: Honestly I'm still a bit nervous.\Just a bit.\Hey, didn't Sadako get rejected?\Are you having milk?\Oh, this is for a dog.\You like dogs?\I saw a dog today, an abandoned one.\Abandoned dog? response:	I got my clothes wet playing with it.
context: Just a bit.\Hey, didn't Sadako get rejected?\Are you having milk?\Oh, this is for a dog.\You like dogs?\I saw a dog today, an abandoned one.\Abandoned dog?\I got my clothes wet playing with it. response:	B-By the riverbed?
context: Hey, didn't Sadako get rejected?\Are you having milk?\Oh, this is for a dog.\You like dogs?\I saw a dog today, an abandoned one.\Abandoned dog?\I got my clothes wet playing with it.\B-By the riverbed? response:	Over here!
context: Are you having milk?\Oh, this is for a dog.\You like dogs?\I saw a dog today, an abandoned one.\Abandoned dog?\I got my clothes wet playing with it.\B-By the riverbed?\Over here! response:	So this was your umbrella.
context: Oh, this is for a dog.\You like dogs?\I saw a dog today, an abandoned one.\Abandoned dog?\I got my clothes wet playing with it.\B-By the riverbed?\Over here!\So this was your umbrella. response:	That's why you were drenched.
context: You like dogs?\I saw a dog today, an abandoned one.\Abandoned dog?\I got my clothes wet playing with it.\B-By the riverbed?\Over here!\So this was your umbrella.\That's why you were drenched. response:	I'm so embarrassed.
context: I saw a dog today, an abandoned one.\Abandoned dog?\I got my clothes wet playing with it.\B-By the riverbed?\Over here!\So this was your umbrella.\That's why you were drenched.\I'm so embarrassed. response:	Oh yeah. It has your name on it.
