context: Pre! Preparation! response:	I'm not strong
context: P-re-prepare, p-re-prepare, p-re-prepare, cracking apart\P-re-prepare, p-re-prepare, p-re-prepare\If you're not paying attention, be prepared for a poking attack from my fingers\I'm little, but I'll squish you; you're as tiny as a flea to me\What I want is a plastic heart (plus, plus, but it's a minus)\But that's boring; when I'd notice it, I'd have won against you\Love is something that's bittersweet\Simple and clear yet complex and strange stuff response:	I'm only worrying about things that don't matter
context: P-re-prepare, p-re-prepare, p-re-prepare\If you're not paying attention, be prepared for a poking attack from my fingers\I'm little, but I'll squish you; you're as tiny as a flea to me\What I want is a plastic heart (plus, plus, but it's a minus)\But that's boring; when I'd notice it, I'd have won against you\Love is something that's bittersweet\Simple and clear yet complex and strange stuff\I'm only worrying about things that don't matter response:	How does it feel? It feels like that
context: If you're not paying attention, be prepared for a poking attack from my fingers\I'm little, but I'll squish you; you're as tiny as a flea to me\What I want is a plastic heart (plus, plus, but it's a minus)\But that's boring; when I'd notice it, I'd have won against you\Love is something that's bittersweet\Simple and clear yet complex and strange stuff\I'm only worrying about things that don't matter\How does it feel? It feels like that response:	You're gentle and sincere yet eccentric
context: I'm little, but I'll squish you; you're as tiny as a flea to me\What I want is a plastic heart (plus, plus, but it's a minus)\But that's boring; when I'd notice it, I'd have won against you\Love is something that's bittersweet\Simple and clear yet complex and strange stuff\I'm only worrying about things that don't matter\How does it feel? It feels like that\You're gentle and sincere yet eccentric response:	I pretend to be strong all over and compete against you
context: What I want is a plastic heart (plus, plus, but it's a minus)\But that's boring; when I'd notice it, I'd have won against you\Love is something that's bittersweet\Simple and clear yet complex and strange stuff\I'm only worrying about things that don't matter\How does it feel? It feels like that\You're gentle and sincere yet eccentric\I pretend to be strong all over and compete against you response:	Just by being honest, it's so stimulating and I feel dizzy
context: But that's boring; when I'd notice it, I'd have won against you\Love is something that's bittersweet\Simple and clear yet complex and strange stuff\I'm only worrying about things that don't matter\How does it feel? It feels like that\You're gentle and sincere yet eccentric\I pretend to be strong all over and compete against you\Just by being honest, it's so stimulating and I feel dizzy response:	I get hurt, I hurt you, in a preparation of pure feelings
context: Love is something that's bittersweet\Simple and clear yet complex and strange stuff\I'm only worrying about things that don't matter\How does it feel? It feels like that\You're gentle and sincere yet eccentric\I pretend to be strong all over and compete against you\Just by being honest, it's so stimulating and I feel dizzy\I get hurt, I hurt you, in a preparation of pure feelings response:	In my head, there's always a pre-parade of pure feelings all by myself
context: Simple and clear yet complex and strange stuff\I'm only worrying about things that don't matter\How does it feel? It feels like that\You're gentle and sincere yet eccentric\I pretend to be strong all over and compete against you\Just by being honest, it's so stimulating and I feel dizzy\I get hurt, I hurt you, in a preparation of pure feelings\In my head, there's always a pre-parade of pure feelings all by myself response:	ba ni ra
context: I'm only worrying about things that don't matter\How does it feel? It feels like that\You're gentle and sincere yet eccentric\I pretend to be strong all over and compete against you\Just by being honest, it's so stimulating and I feel dizzy\I get hurt, I hurt you, in a preparation of pure feelings\In my head, there's always a pre-parade of pure feelings all by myself\ba ni ra response:	With vanilla salt
context: How does it feel? It feels like that\You're gentle and sincere yet eccentric\I pretend to be strong all over and compete against you\Just by being honest, it's so stimulating and I feel dizzy\I get hurt, I hurt you, in a preparation of pure feelings\In my head, there's always a pre-parade of pure feelings all by myself\ba ni ra\With vanilla salt response:	vanilla
context: You're gentle and sincere yet eccentric\I pretend to be strong all over and compete against you\Just by being honest, it's so stimulating and I feel dizzy\I get hurt, I hurt you, in a preparation of pure feelings\In my head, there's always a pre-parade of pure feelings all by myself\ba ni ra\With vanilla salt\vanilla response:	If it's just sweet
context: I pretend to be strong all over and compete against you\Just by being honest, it's so stimulating and I feel dizzy\I get hurt, I hurt you, in a preparation of pure feelings\In my head, there's always a pre-parade of pure feelings all by myself\ba ni ra\With vanilla salt\vanilla\If it's just sweet response:	Then let's put salt on
context: Just by being honest, it's so stimulating and I feel dizzy\I get hurt, I hurt you, in a preparation of pure feelings\In my head, there's always a pre-parade of pure feelings all by myself\ba ni ra\With vanilla salt\vanilla\If it's just sweet\Then let's put salt on response:	Because I want you to know more about me
context: I get hurt, I hurt you, in a preparation of pure feelings\In my head, there's always a pre-parade of pure feelings all by myself\ba ni ra\With vanilla salt\vanilla\If it's just sweet\Then let's put salt on\Because I want you to know more about me response:	More than anyone else, I want to bare my self
context: In my head, there's always a pre-parade of pure feelings all by myself\ba ni ra\With vanilla salt\vanilla\If it's just sweet\Then let's put salt on\Because I want you to know more about me\More than anyone else, I want to bare my self response:	But I can't do it, I've got nothing for experience
context: ba ni ra\With vanilla salt\vanilla\If it's just sweet\Then let's put salt on\Because I want you to know more about me\More than anyone else, I want to bare my self\But I can't do it, I've got nothing for experience response:	It's too frustrating
context: With vanilla salt\vanilla\If it's just sweet\Then let's put salt on\Because I want you to know more about me\More than anyone else, I want to bare my self\But I can't do it, I've got nothing for experience\It's too frustrating response:	But a love that's just sweet
context: vanilla\If it's just sweet\Then let's put salt on\Because I want you to know more about me\More than anyone else, I want to bare my self\But I can't do it, I've got nothing for experience\It's too frustrating\But a love that's just sweet response:	Is slightly different from what I'm seeking
context: If it's just sweet\Then let's put salt on\Because I want you to know more about me\More than anyone else, I want to bare my self\But I can't do it, I've got nothing for experience\It's too frustrating\But a love that's just sweet\Is slightly different from what I'm seeking response:	If I'm told it's white
context: Then let's put salt on\Because I want you to know more about me\More than anyone else, I want to bare my self\But I can't do it, I've got nothing for experience\It's too frustrating\But a love that's just sweet\Is slightly different from what I'm seeking\If I'm told it's white response:	I'd say it's black
context: Because I want you to know more about me\More than anyone else, I want to bare my self\But I can't do it, I've got nothing for experience\It's too frustrating\But a love that's just sweet\Is slightly different from what I'm seeking\If I'm told it's white\I'd say it's black response:	I can't be honest
context: More than anyone else, I want to bare my self\But I can't do it, I've got nothing for experience\It's too frustrating\But a love that's just sweet\Is slightly different from what I'm seeking\If I'm told it's white\I'd say it's black\I can't be honest response:	I say one thing but do another
context: But I can't do it, I've got nothing for experience\It's too frustrating\But a love that's just sweet\Is slightly different from what I'm seeking\If I'm told it's white\I'd say it's black\I can't be honest\I say one thing but do another response:	If I'm told, I love you
context: It's too frustrating\But a love that's just sweet\Is slightly different from what I'm seeking\If I'm told it's white\I'd say it's black\I can't be honest\I say one thing but do another\If I'm told, I love you response:	I'd say, I hate you
context: But a love that's just sweet\Is slightly different from what I'm seeking\If I'm told it's white\I'd say it's black\I can't be honest\I say one thing but do another\If I'm told, I love you\I'd say, I hate you response:	I'm happy, but what am I saying?
context: Is slightly different from what I'm seeking\If I'm told it's white\I'd say it's black\I can't be honest\I say one thing but do another\If I'm told, I love you\I'd say, I hate you\I'm happy, but what am I saying? response:	Like putting salt
context: If I'm told it's white\I'd say it's black\I can't be honest\I say one thing but do another\If I'm told, I love you\I'd say, I hate you\I'm happy, but what am I saying?\Like putting salt response:	Into sweet vanilla...
context: I'd say it's black\I can't be honest\I say one thing but do another\If I'm told, I love you\I'd say, I hate you\I'm happy, but what am I saying?\Like putting salt\Into sweet vanilla... response:	One Step Forward
context: I can't be honest\I say one thing but do another\If I'm told, I love you\I'd say, I hate you\I'm happy, but what am I saying?\Like putting salt\Into sweet vanilla...\One Step Forward response:	Magical Contract
context: I say one thing but do another\If I'm told, I love you\I'd say, I hate you\I'm happy, but what am I saying?\Like putting salt\Into sweet vanilla...\One Step Forward\Magical Contract response:	Magical Contract
context: If I'm told, I love you\I'd say, I hate you\I'm happy, but what am I saying?\Like putting salt\Into sweet vanilla...\One Step Forward\Magical Contract\Magical Contract response:	Aisaka Taiga's Plan
context: I'd say, I hate you\I'm happy, but what am I saying?\Like putting salt\Into sweet vanilla...\One Step Forward\Magical Contract\Magical Contract\Aisaka Taiga's Plan response:	Aisaka Taiga's Plan
context: I'm happy, but what am I saying?\Like putting salt\Into sweet vanilla...\One Step Forward\Magical Contract\Magical Contract\Aisaka Taiga's Plan\Aisaka Taiga's Plan response:	for School Domination
context: Like putting salt\Into sweet vanilla...\One Step Forward\Magical Contract\Magical Contract\Aisaka Taiga's Plan\Aisaka Taiga's Plan\for School Domination response:	for School Domination
context: Into sweet vanilla...\One Step Forward\Magical Contract\Magical Contract\Aisaka Taiga's Plan\Aisaka Taiga's Plan\for School Domination\for School Domination response:	Text: Write an apology letter
context: One Step Forward\Magical Contract\Magical Contract\Aisaka Taiga's Plan\Aisaka Taiga's Plan\for School Domination\for School Domination\Text: Write an apology letter response:	Idiot.
context: Magical Contract\Magical Contract\Aisaka Taiga's Plan\Aisaka Taiga's Plan\for School Domination\for School Domination\Text: Write an apology letter\Idiot. response:	Next Episode Preview
context: Magical Contract\Aisaka Taiga's Plan\Aisaka Taiga's Plan\for School Domination\for School Domination\Text: Write an apology letter\Idiot.\Next Episode Preview response:	Mercury Retrogrades at Christmas
context: Aisaka Taiga's Plan\Aisaka Taiga's Plan\for School Domination\for School Domination\Text: Write an apology letter\Idiot.\Next Episode Preview\Mercury Retrogrades at Christmas response:	I'll announce it right now.
context: Aisaka Taiga's Plan\for School Domination\for School Domination\Text: Write an apology letter\Idiot.\Next Episode Preview\Mercury Retrogrades at Christmas\I'll announce it right now. response:	When I, Aisaka Taiga, am elected as student council president,
context: for School Domination\for School Domination\Text: Write an apology letter\Idiot.\Next Episode Preview\Mercury Retrogrades at Christmas\I'll announce it right now.\When I, Aisaka Taiga, am elected as student council president, response:	I'll make this school mine and bury your high school life, along with your bloody memories,
context: for School Domination\Text: Write an apology letter\Idiot.\Next Episode Preview\Mercury Retrogrades at Christmas\I'll announce it right now.\When I, Aisaka Taiga, am elected as student council president,\I'll make this school mine and bury your high school life, along with your bloody memories, response:	in a m-morgue!
context: Text: Write an apology letter\Idiot.\Next Episode Preview\Mercury Retrogrades at Christmas\I'll announce it right now.\When I, Aisaka Taiga, am elected as student council president,\I'll make this school mine and bury your high school life, along with your bloody memories,\in a m-morgue! response:	The Palmtop Tiger is going to become student council president?!
context: Idiot.\Next Episode Preview\Mercury Retrogrades at Christmas\I'll announce it right now.\When I, Aisaka Taiga, am elected as student council president,\I'll make this school mine and bury your high school life, along with your bloody memories,\in a m-morgue!\The Palmtop Tiger is going to become student council president?! response:	You're kidding me! Cut it out already!
context: Next Episode Preview\Mercury Retrogrades at Christmas\I'll announce it right now.\When I, Aisaka Taiga, am elected as student council president,\I'll make this school mine and bury your high school life, along with your bloody memories,\in a m-morgue!\The Palmtop Tiger is going to become student council president?!\You're kidding me! Cut it out already! response:	I'm her campaign manager.
context: Mercury Retrogrades at Christmas\I'll announce it right now.\When I, Aisaka Taiga, am elected as student council president,\I'll make this school mine and bury your high school life, along with your bloody memories,\in a m-morgue!\The Palmtop Tiger is going to become student council president?!\You're kidding me! Cut it out already!\I'm her campaign manager. response:	If you have any problems, I'll deal with them!
context: I'll announce it right now.\When I, Aisaka Taiga, am elected as student council president,\I'll make this school mine and bury your high school life, along with your bloody memories,\in a m-morgue!\The Palmtop Tiger is going to become student council president?!\You're kidding me! Cut it out already!\I'm her campaign manager.\If you have any problems, I'll deal with them! response:	It's Kitamura.
context: When I, Aisaka Taiga, am elected as student council president,\I'll make this school mine and bury your high school life, along with your bloody memories,\in a m-morgue!\The Palmtop Tiger is going to become student council president?!\You're kidding me! Cut it out already!\I'm her campaign manager.\If you have any problems, I'll deal with them!\It's Kitamura. response:	He said he's quitting the student council and won't participate in the election.
context: I'll make this school mine and bury your high school life, along with your bloody memories,\in a m-morgue!\The Palmtop Tiger is going to become student council president?!\You're kidding me! Cut it out already!\I'm her campaign manager.\If you have any problems, I'll deal with them!\It's Kitamura.\He said he's quitting the student council and won't participate in the election. response:	So that's why the Palmtop Tiger is running for it.
context: in a m-morgue!\The Palmtop Tiger is going to become student council president?!\You're kidding me! Cut it out already!\I'm her campaign manager.\If you have any problems, I'll deal with them!\It's Kitamura.\He said he's quitting the student council and won't participate in the election.\So that's why the Palmtop Tiger is running for it. response:	If any of you try to get in my way, I won't show you any mercy!
context: The Palmtop Tiger is going to become student council president?!\You're kidding me! Cut it out already!\I'm her campaign manager.\If you have any problems, I'll deal with them!\It's Kitamura.\He said he's quitting the student council and won't participate in the election.\So that's why the Palmtop Tiger is running for it.\If any of you try to get in my way, I won't show you any mercy! response:	No way!
context: You're kidding me! Cut it out already!\I'm her campaign manager.\If you have any problems, I'll deal with them!\It's Kitamura.\He said he's quitting the student council and won't participate in the election.\So that's why the Palmtop Tiger is running for it.\If any of you try to get in my way, I won't show you any mercy!\No way! response:	If the Palmtop Tiger becomes student council president, our school life will be ruined!
context: I'm her campaign manager.\If you have any problems, I'll deal with them!\It's Kitamura.\He said he's quitting the student council and won't participate in the election.\So that's why the Palmtop Tiger is running for it.\If any of you try to get in my way, I won't show you any mercy!\No way!\If the Palmtop Tiger becomes student council president, our school life will be ruined! response:	Someone help!
context: If you have any problems, I'll deal with them!\It's Kitamura.\He said he's quitting the student council and won't participate in the election.\So that's why the Palmtop Tiger is running for it.\If any of you try to get in my way, I won't show you any mercy!\No way!\If the Palmtop Tiger becomes student council president, our school life will be ruined!\Someone help! response:	Isn't there a brave soul who'll help us?!
context: It's Kitamura.\He said he's quitting the student council and won't participate in the election.\So that's why the Palmtop Tiger is running for it.\If any of you try to get in my way, I won't show you any mercy!\No way!\If the Palmtop Tiger becomes student council president, our school life will be ruined!\Someone help!\Isn't there a brave soul who'll help us?! response:	Oh, right!
context: He said he's quitting the student council and won't participate in the election.\So that's why the Palmtop Tiger is running for it.\If any of you try to get in my way, I won't show you any mercy!\No way!\If the Palmtop Tiger becomes student council president, our school life will be ruined!\Someone help!\Isn't there a brave soul who'll help us?!\Oh, right! response:	If Kitamura runs for it...
context: So that's why the Palmtop Tiger is running for it.\If any of you try to get in my way, I won't show you any mercy!\No way!\If the Palmtop Tiger becomes student council president, our school life will be ruined!\Someone help!\Isn't there a brave soul who'll help us?!\Oh, right!\If Kitamura runs for it... response:	Exactly.
context: If any of you try to get in my way, I won't show you any mercy!\No way!\If the Palmtop Tiger becomes student council president, our school life will be ruined!\Someone help!\Isn't there a brave soul who'll help us?!\Oh, right!\If Kitamura runs for it...\Exactly. response:	Why isn't he running?
context: No way!\If the Palmtop Tiger becomes student council president, our school life will be ruined!\Someone help!\Isn't there a brave soul who'll help us?!\Oh, right!\If Kitamura runs for it...\Exactly.\Why isn't he running? response:	We're begging you, help us!
context: If the Palmtop Tiger becomes student council president, our school life will be ruined!\Someone help!\Isn't there a brave soul who'll help us?!\Oh, right!\If Kitamura runs for it...\Exactly.\Why isn't he running?\We're begging you, help us! response:	At this rate, our high school life will really be ruined!
context: Someone help!\Isn't there a brave soul who'll help us?!\Oh, right!\If Kitamura runs for it...\Exactly.\Why isn't he running?\We're begging you, help us!\At this rate, our high school life will really be ruined! response:	Hey, what the heck are you guys do -
context: Isn't there a brave soul who'll help us?!\Oh, right!\If Kitamura runs for it...\Exactly.\Why isn't he running?\We're begging you, help us!\At this rate, our high school life will really be ruined!\Hey, what the heck are you guys do - response:	A plan to get Kitamura back?
context: Oh, right!\If Kitamura runs for it...\Exactly.\Why isn't he running?\We're begging you, help us!\At this rate, our high school life will really be ruined!\Hey, what the heck are you guys do -\A plan to get Kitamura back? response:	Yes.
context: If Kitamura runs for it...\Exactly.\Why isn't he running?\We're begging you, help us!\At this rate, our high school life will really be ruined!\Hey, what the heck are you guys do -\A plan to get Kitamura back?\Yes. response:	Since everyone will be troubled by Taiga,
context: Exactly.\Why isn't he running?\We're begging you, help us!\At this rate, our high school life will really be ruined!\Hey, what the heck are you guys do -\A plan to get Kitamura back?\Yes.\Since everyone will be troubled by Taiga, response:	there's no choice for him other than to run.
context: Why isn't he running?\We're begging you, help us!\At this rate, our high school life will really be ruined!\Hey, what the heck are you guys do -\A plan to get Kitamura back?\Yes.\Since everyone will be troubled by Taiga,\there's no choice for him other than to run. response:	In other words, you think that if Kitamura-kun gets elected,
context: We're begging you, help us!\At this rate, our high school life will really be ruined!\Hey, what the heck are you guys do -\A plan to get Kitamura back?\Yes.\Since everyone will be troubled by Taiga,\there's no choice for him other than to run.\In other words, you think that if Kitamura-kun gets elected, response:	he'll revert back to his old self?
context: At this rate, our high school life will really be ruined!\Hey, what the heck are you guys do -\A plan to get Kitamura back?\Yes.\Since everyone will be troubled by Taiga,\there's no choice for him other than to run.\In other words, you think that if Kitamura-kun gets elected,\he'll revert back to his old self? response:	We're not the only ones who think that.
context: Hey, what the heck are you guys do -\A plan to get Kitamura back?\Yes.\Since everyone will be troubled by Taiga,\there's no choice for him other than to run.\In other words, you think that if Kitamura-kun gets elected,\he'll revert back to his old self?\We're not the only ones who think that. response:	I talked to everyone in the class on the phone last night.
context: A plan to get Kitamura back?\Yes.\Since everyone will be troubled by Taiga,\there's no choice for him other than to run.\In other words, you think that if Kitamura-kun gets elected,\he'll revert back to his old self?\We're not the only ones who think that.\I talked to everyone in the class on the phone last night. response:	They said they'll help out.
context: Yes.\Since everyone will be troubled by Taiga,\there's no choice for him other than to run.\In other words, you think that if Kitamura-kun gets elected,\he'll revert back to his old self?\We're not the only ones who think that.\I talked to everyone in the class on the phone last night.\They said they'll help out. response:	So that's what that drama was about.
context: Since everyone will be troubled by Taiga,\there's no choice for him other than to run.\In other words, you think that if Kitamura-kun gets elected,\he'll revert back to his old self?\We're not the only ones who think that.\I talked to everyone in the class on the phone last night.\They said they'll help out.\So that's what that drama was about. response:	What will happen if Kitamura-kun just refuses?
context: there's no choice for him other than to run.\In other words, you think that if Kitamura-kun gets elected,\he'll revert back to his old self?\We're not the only ones who think that.\I talked to everyone in the class on the phone last night.\They said they'll help out.\So that's what that drama was about.\What will happen if Kitamura-kun just refuses? response:	If no one else enters by this Friday,
context: In other words, you think that if Kitamura-kun gets elected,\he'll revert back to his old self?\We're not the only ones who think that.\I talked to everyone in the class on the phone last night.\They said they'll help out.\So that's what that drama was about.\What will happen if Kitamura-kun just refuses?\If no one else enters by this Friday, response:	Aisaka-san will truly become the student council president.
context: he'll revert back to his old self?\We're not the only ones who think that.\I talked to everyone in the class on the phone last night.\They said they'll help out.\So that's what that drama was about.\What will happen if Kitamura-kun just refuses?\If no one else enters by this Friday,\Aisaka-san will truly become the student council president. response:	Kitamura-kun is definitely not the type of person to sit back and watch.
context: We're not the only ones who think that.\I talked to everyone in the class on the phone last night.\They said they'll help out.\So that's what that drama was about.\What will happen if Kitamura-kun just refuses?\If no one else enters by this Friday,\Aisaka-san will truly become the student council president.\Kitamura-kun is definitely not the type of person to sit back and watch. response:	All right.
context: I talked to everyone in the class on the phone last night.\They said they'll help out.\So that's what that drama was about.\What will happen if Kitamura-kun just refuses?\If no one else enters by this Friday,\Aisaka-san will truly become the student council president.\Kitamura-kun is definitely not the type of person to sit back and watch.\All right. response:	Come to the office later.
context: They said they'll help out.\So that's what that drama was about.\What will happen if Kitamura-kun just refuses?\If no one else enters by this Friday,\Aisaka-san will truly become the student council president.\Kitamura-kun is definitely not the type of person to sit back and watch.\All right.\Come to the office later. response:	I'll teach you how to use the printer.
context: So that's what that drama was about.\What will happen if Kitamura-kun just refuses?\If no one else enters by this Friday,\Aisaka-san will truly become the student council president.\Kitamura-kun is definitely not the type of person to sit back and watch.\All right.\Come to the office later.\I'll teach you how to use the printer. response:	You need to make posters and flyers, right?
context: What will happen if Kitamura-kun just refuses?\If no one else enters by this Friday,\Aisaka-san will truly become the student council president.\Kitamura-kun is definitely not the type of person to sit back and watch.\All right.\Come to the office later.\I'll teach you how to use the printer.\You need to make posters and flyers, right? response:	Geez, Kitamura sure is a stubborn guy.
context: If no one else enters by this Friday,\Aisaka-san will truly become the student council president.\Kitamura-kun is definitely not the type of person to sit back and watch.\All right.\Come to the office later.\I'll teach you how to use the printer.\You need to make posters and flyers, right?\Geez, Kitamura sure is a stubborn guy. response:	I really thought it would work, after all that effort.
context: Aisaka-san will truly become the student council president.\Kitamura-kun is definitely not the type of person to sit back and watch.\All right.\Come to the office later.\I'll teach you how to use the printer.\You need to make posters and flyers, right?\Geez, Kitamura sure is a stubborn guy.\I really thought it would work, after all that effort. response:	There's only one day left.
context: Kitamura-kun is definitely not the type of person to sit back and watch.\All right.\Come to the office later.\I'll teach you how to use the printer.\You need to make posters and flyers, right?\Geez, Kitamura sure is a stubborn guy.\I really thought it would work, after all that effort.\There's only one day left. response:	Can't we come up with another plan?
context: All right.\Come to the office later.\I'll teach you how to use the printer.\You need to make posters and flyers, right?\Geez, Kitamura sure is a stubborn guy.\I really thought it would work, after all that effort.\There's only one day left.\Can't we come up with another plan? response:	I don't know.
context: Come to the office later.\I'll teach you how to use the printer.\You need to make posters and flyers, right?\Geez, Kitamura sure is a stubborn guy.\I really thought it would work, after all that effort.\There's only one day left.\Can't we come up with another plan?\I don't know. response:	I have no idea what's going on.
context: I'll teach you how to use the printer.\You need to make posters and flyers, right?\Geez, Kitamura sure is a stubborn guy.\I really thought it would work, after all that effort.\There's only one day left.\Can't we come up with another plan?\I don't know.\I have no idea what's going on. response:	Hello?
context: You need to make posters and flyers, right?\Geez, Kitamura sure is a stubborn guy.\I really thought it would work, after all that effort.\There's only one day left.\Can't we come up with another plan?\I don't know.\I have no idea what's going on.\Hello? response:	Um, is this Takasu-kun?
context: Geez, Kitamura sure is a stubborn guy.\I really thought it would work, after all that effort.\There's only one day left.\Can't we come up with another plan?\I don't know.\I have no idea what's going on.\Hello?\Um, is this Takasu-kun? response:	Yes.
context: I really thought it would work, after all that effort.\There's only one day left.\Can't we come up with another plan?\I don't know.\I have no idea what's going on.\Hello?\Um, is this Takasu-kun?\Yes. response:	I'm sorry.
context: There's only one day left.\Can't we come up with another plan?\I don't know.\I have no idea what's going on.\Hello?\Um, is this Takasu-kun?\Yes.\I'm sorry. response:	I've never talked to you before.
context: Can't we come up with another plan?\I don't know.\I have no idea what's going on.\Hello?\Um, is this Takasu-kun?\Yes.\I'm sorry.\I've never talked to you before. response:	I'm Murase from the student council.
context: I don't know.\I have no idea what's going on.\Hello?\Um, is this Takasu-kun?\Yes.\I'm sorry.\I've never talked to you before.\I'm Murase from the student council. response:	You're from the student council?
context: I have no idea what's going on.\Hello?\Um, is this Takasu-kun?\Yes.\I'm sorry.\I've never talked to you before.\I'm Murase from the student council.\You're from the student council? response:	Oh, I see.
context: Hello?\Um, is this Takasu-kun?\Yes.\I'm sorry.\I've never talked to you before.\I'm Murase from the student council.\You're from the student council?\Oh, I see. response:	Thank you for telling me.
context: Um, is this Takasu-kun?\Yes.\I'm sorry.\I've never talked to you before.\I'm Murase from the student council.\You're from the student council?\Oh, I see.\Thank you for telling me. response:	Ryuuji, who was that?
context: Yes.\I'm sorry.\I've never talked to you before.\I'm Murase from the student council.\You're from the student council?\Oh, I see.\Thank you for telling me.\Ryuuji, who was that? response:	Ryuuji, where are you going?!
context: I'm sorry.\I've never talked to you before.\I'm Murase from the student council.\You're from the student council?\Oh, I see.\Thank you for telling me.\Ryuuji, who was that?\Ryuuji, where are you going?! response:	I'm going to beat the shit out of Kitamura!
context: I've never talked to you before.\I'm Murase from the student council.\You're from the student council?\Oh, I see.\Thank you for telling me.\Ryuuji, who was that?\Ryuuji, where are you going?!\I'm going to beat the shit out of Kitamura! response:	Wai -
context: I'm Murase from the student council.\You're from the student council?\Oh, I see.\Thank you for telling me.\Ryuuji, who was that?\Ryuuji, where are you going?!\I'm going to beat the shit out of Kitamura!\Wai - response:	Kanou, the current president, will be leaving next week to study abroad.
context: You're from the student council?\Oh, I see.\Thank you for telling me.\Ryuuji, who was that?\Ryuuji, where are you going?!\I'm going to beat the shit out of Kitamura!\Wai -\Kanou, the current president, will be leaving next week to study abroad. response:	It's probably because of the president that Kitamura is...
context: Oh, I see.\Thank you for telling me.\Ryuuji, who was that?\Ryuuji, where are you going?!\I'm going to beat the shit out of Kitamura!\Wai -\Kanou, the current president, will be leaving next week to study abroad.\It's probably because of the president that Kitamura is... response:	That dumbass!
context: Thank you for telling me.\Ryuuji, who was that?\Ryuuji, where are you going?!\I'm going to beat the shit out of Kitamura!\Wai -\Kanou, the current president, will be leaving next week to study abroad.\It's probably because of the president that Kitamura is...\That dumbass! response:	Takasu?
context: Ryuuji, who was that?\Ryuuji, where are you going?!\I'm going to beat the shit out of Kitamura!\Wai -\Kanou, the current president, will be leaving next week to study abroad.\It's probably because of the president that Kitamura is...\That dumbass!\Takasu? response:	I'm sorry I didn't tell you guys about it.
context: Ryuuji, where are you going?!\I'm going to beat the shit out of Kitamura!\Wai -\Kanou, the current president, will be leaving next week to study abroad.\It's probably because of the president that Kitamura is...\That dumbass!\Takasu?\I'm sorry I didn't tell you guys about it. response:	You hold back too much, Kitamura.
context: I'm going to beat the shit out of Kitamura!\Wai -\Kanou, the current president, will be leaving next week to study abroad.\It's probably because of the president that Kitamura is...\That dumbass!\Takasu?\I'm sorry I didn't tell you guys about it.\You hold back too much, Kitamura. response:	I didn't tell anyone because I thought it was pretty lame.
context: Wai -\Kanou, the current president, will be leaving next week to study abroad.\It's probably because of the president that Kitamura is...\That dumbass!\Takasu?\I'm sorry I didn't tell you guys about it.\You hold back too much, Kitamura.\I didn't tell anyone because I thought it was pretty lame. response:	I mean, I'm in love with the president.
