context: Okay, for today's homeroom period, response:	Let's talk about
context: Kero-chan! You just wanna go to the fest, don't you?\That is so true!\So it is.\'I have this sword and courage in me!'\'I promise'\'I will break the curse for the Princess!'\This is so hard!\I wonder if I can do this right' response:	'O' Oh my! I' I wonder what' this is'
context: That is so true!\So it is.\'I have this sword and courage in me!'\'I promise'\'I will break the curse for the Princess!'\This is so hard!\I wonder if I can do this right'\'O' Oh my! I' I wonder what' this is' response:	Li, you're practicing too?
context: So it is.\'I have this sword and courage in me!'\'I promise'\'I will break the curse for the Princess!'\This is so hard!\I wonder if I can do this right'\'O' Oh my! I' I wonder what' this is'\Li, you're practicing too? response:	Are you okay?
context: 'I have this sword and courage in me!'\'I promise'\'I will break the curse for the Princess!'\This is so hard!\I wonder if I can do this right'\'O' Oh my! I' I wonder what' this is'\Li, you're practicing too?\Are you okay? response:	You're practicing over here.
context: 'I promise'\'I will break the curse for the Princess!'\This is so hard!\I wonder if I can do this right'\'O' Oh my! I' I wonder what' this is'\Li, you're practicing too?\Are you okay?\You're practicing over here. response:	Me too!
context: 'I will break the curse for the Princess!'\This is so hard!\I wonder if I can do this right'\'O' Oh my! I' I wonder what' this is'\Li, you're practicing too?\Are you okay?\You're practicing over here.\Me too! response:	I've never played a princess or a prince,
context: This is so hard!\I wonder if I can do this right'\'O' Oh my! I' I wonder what' this is'\Li, you're practicing too?\Are you okay?\You're practicing over here.\Me too!\I've never played a princess or a prince, response:	So I'm nervous.
context: I wonder if I can do this right'\'O' Oh my! I' I wonder what' this is'\Li, you're practicing too?\Are you okay?\You're practicing over here.\Me too!\I've never played a princess or a prince,\So I'm nervous. response:	Me too.
context: 'O' Oh my! I' I wonder what' this is'\Li, you're practicing too?\Are you okay?\You're practicing over here.\Me too!\I've never played a princess or a prince,\So I'm nervous.\Me too. response:	So, have you done anything in Literary Fest in your school in Hong Kong before?
context: Li, you're practicing too?\Are you okay?\You're practicing over here.\Me too!\I've never played a princess or a prince,\So I'm nervous.\Me too.\So, have you done anything in Literary Fest in your school in Hong Kong before? response:	Like twice'
context: Are you okay?\You're practicing over here.\Me too!\I've never played a princess or a prince,\So I'm nervous.\Me too.\So, have you done anything in Literary Fest in your school in Hong Kong before?\Like twice' response:	What did you play?
context: You're practicing over here.\Me too!\I've never played a princess or a prince,\So I'm nervous.\Me too.\So, have you done anything in Literary Fest in your school in Hong Kong before?\Like twice'\What did you play? response:	I sang'
context: Me too!\I've never played a princess or a prince,\So I'm nervous.\Me too.\So, have you done anything in Literary Fest in your school in Hong Kong before?\Like twice'\What did you play?\I sang' response:	What song did you sing?
context: I've never played a princess or a prince,\So I'm nervous.\Me too.\So, have you done anything in Literary Fest in your school in Hong Kong before?\Like twice'\What did you play?\I sang'\What song did you sing? response:	Sing it!
context: So I'm nervous.\Me too.\So, have you done anything in Literary Fest in your school in Hong Kong before?\Like twice'\What did you play?\I sang'\What song did you sing?\Sing it! response:	I don't like singing
context: Me too.\So, have you done anything in Literary Fest in your school in Hong Kong before?\Like twice'\What did you play?\I sang'\What song did you sing?\Sing it!\I don't like singing response:	in front of people.
context: So, have you done anything in Literary Fest in your school in Hong Kong before?\Like twice'\What did you play?\I sang'\What song did you sing?\Sing it!\I don't like singing\in front of people. response:	I see'
context: Like twice'\What did you play?\I sang'\What song did you sing?\Sing it!\I don't like singing\in front of people.\I see' response:	Sing it one of these days, okay?
context: What did you play?\I sang'\What song did you sing?\Sing it!\I don't like singing\in front of people.\I see'\Sing it one of these days, okay? response:	Hello!
context: I sang'\What song did you sing?\Sing it!\I don't like singing\in front of people.\I see'\Sing it one of these days, okay?\Hello! response:	Yukito-san!
context: What song did you sing?\Sing it!\I don't like singing\in front of people.\I see'\Sing it one of these days, okay?\Hello!\Yukito-san! response:	You guys having lunch break?
context: Sing it!\I don't like singing\in front of people.\I see'\Sing it one of these days, okay?\Hello!\Yukito-san!\You guys having lunch break? response:	Yes!
context: I don't like singing\in front of people.\I see'\Sing it one of these days, okay?\Hello!\Yukito-san!\You guys having lunch break?\Yes! response:	Our teacher is absent today,
context: in front of people.\I see'\Sing it one of these days, okay?\Hello!\Yukito-san!\You guys having lunch break?\Yes!\Our teacher is absent today, response:	so we have a self-study period.
context: I see'\Sing it one of these days, okay?\Hello!\Yukito-san!\You guys having lunch break?\Yes!\Our teacher is absent today,\so we have a self-study period. response:	I was thinking of eating a little'
context: Sing it one of these days, okay?\Hello!\Yukito-san!\You guys having lunch break?\Yes!\Our teacher is absent today,\so we have a self-study period.\I was thinking of eating a little' response:	Why don't we eat together?
context: Hello!\Yukito-san!\You guys having lunch break?\Yes!\Our teacher is absent today,\so we have a self-study period.\I was thinking of eating a little'\Why don't we eat together? response:	Sure!
context: Yukito-san!\You guys having lunch break?\Yes!\Our teacher is absent today,\so we have a self-study period.\I was thinking of eating a little'\Why don't we eat together?\Sure! response:	Okay, let's eat!
context: You guys having lunch break?\Yes!\Our teacher is absent today,\so we have a self-study period.\I was thinking of eating a little'\Why don't we eat together?\Sure!\Okay, let's eat! response:	Th' This'
context: Yes!\Our teacher is absent today,\so we have a self-study period.\I was thinking of eating a little'\Why don't we eat together?\Sure!\Okay, let's eat!\Th' This' response:	All of these'
context: Our teacher is absent today,\so we have a self-study period.\I was thinking of eating a little'\Why don't we eat together?\Sure!\Okay, let's eat!\Th' This'\All of these' response:	I hope it's enough for three people'
context: so we have a self-study period.\I was thinking of eating a little'\Why don't we eat together?\Sure!\Okay, let's eat!\Th' This'\All of these'\I hope it's enough for three people' response:	May be not enough.
context: I was thinking of eating a little'\Why don't we eat together?\Sure!\Okay, let's eat!\Th' This'\All of these'\I hope it's enough for three people'\May be not enough. response:	Come to think of it, isn't it the time for your school's Literary Fest?
context: Why don't we eat together?\Sure!\Okay, let's eat!\Th' This'\All of these'\I hope it's enough for three people'\May be not enough.\Come to think of it, isn't it the time for your school's Literary Fest? response:	Th' That's right.
context: Sure!\Okay, let's eat!\Th' This'\All of these'\I hope it's enough for three people'\May be not enough.\Come to think of it, isn't it the time for your school's Literary Fest?\Th' That's right. response:	What is your class doing?
context: Okay, let's eat!\Th' This'\All of these'\I hope it's enough for three people'\May be not enough.\Come to think of it, isn't it the time for your school's Literary Fest?\Th' That's right.\What is your class doing? response:	A' A play.
context: Th' This'\All of these'\I hope it's enough for three people'\May be not enough.\Come to think of it, isn't it the time for your school's Literary Fest?\Th' That's right.\What is your class doing?\A' A play. response:	Which play?
context: All of these'\I hope it's enough for three people'\May be not enough.\Come to think of it, isn't it the time for your school's Literary Fest?\Th' That's right.\What is your class doing?\A' A play.\Which play? response:	Sle' Sleeping Beauty.
context: I hope it's enough for three people'\May be not enough.\Come to think of it, isn't it the time for your school's Literary Fest?\Th' That's right.\What is your class doing?\A' A play.\Which play?\Sle' Sleeping Beauty. response:	Both of you are going to be in it, right?
context: May be not enough.\Come to think of it, isn't it the time for your school's Literary Fest?\Th' That's right.\What is your class doing?\A' A play.\Which play?\Sle' Sleeping Beauty.\Both of you are going to be in it, right? response:	What roles do you play?
context: Come to think of it, isn't it the time for your school's Literary Fest?\Th' That's right.\What is your class doing?\A' A play.\Which play?\Sle' Sleeping Beauty.\Both of you are going to be in it, right?\What roles do you play? response:	Whatever roles you play,
context: Th' That's right.\What is your class doing?\A' A play.\Which play?\Sle' Sleeping Beauty.\Both of you are going to be in it, right?\What roles do you play?\Whatever roles you play, response:	I'll make sure I won't miss it.
context: What is your class doing?\A' A play.\Which play?\Sle' Sleeping Beauty.\Both of you are going to be in it, right?\What roles do you play?\Whatever roles you play,\I'll make sure I won't miss it. response:	Umm'
context: A' A play.\Which play?\Sle' Sleeping Beauty.\Both of you are going to be in it, right?\What roles do you play?\Whatever roles you play,\I'll make sure I won't miss it.\Umm' response:	You coming'
