context: Don't try to remember. response:	He doesn't
context: We're not going to make Ichika do all the work, of course.\I'm going to get a job, too.\I'm not going to pretend we've become independent or anything.\I know we're not doing the right thing, either.\But I have a feeling that living like that will change us.\I feel like we've made some progress.\I fail to understand.\Abstract ideas like progress couldn't be less convincing. response:	I've seen your so-called new home.
context: I'm going to get a job, too.\I'm not going to pretend we've become independent or anything.\I know we're not doing the right thing, either.\But I have a feeling that living like that will change us.\I feel like we've made some progress.\I fail to understand.\Abstract ideas like progress couldn't be less convincing.\I've seen your so-called new home. response:	To me, it looks like you've gone backwards.
context: I'm not going to pretend we've become independent or anything.\I know we're not doing the right thing, either.\But I have a feeling that living like that will change us.\I feel like we've made some progress.\I fail to understand.\Abstract ideas like progress couldn't be less convincing.\I've seen your so-called new home.\To me, it looks like you've gone backwards. response:	You mustn't have forgotten in just five years.
context: I know we're not doing the right thing, either.\But I have a feeling that living like that will change us.\I feel like we've made some progress.\I fail to understand.\Abstract ideas like progress couldn't be less convincing.\I've seen your so-called new home.\To me, it looks like you've gone backwards.\You mustn't have forgotten in just five years. response:	You don't want to live like that anymore, do you?
context: But I have a feeling that living like that will change us.\I feel like we've made some progress.\I fail to understand.\Abstract ideas like progress couldn't be less convincing.\I've seen your so-called new home.\To me, it looks like you've gone backwards.\You mustn't have forgotten in just five years.\You don't want to live like that anymore, do you? response:	Stop being selfish and...
context: I feel like we've made some progress.\I fail to understand.\Abstract ideas like progress couldn't be less convincing.\I've seen your so-called new home.\To me, it looks like you've gone backwards.\You mustn't have forgotten in just five years.\You don't want to live like that anymore, do you?\Stop being selfish and... response:	What?
context: I fail to understand.\Abstract ideas like progress couldn't be less convincing.\I've seen your so-called new home.\To me, it looks like you've gone backwards.\You mustn't have forgotten in just five years.\You don't want to live like that anymore, do you?\Stop being selfish and...\What? response:	There you are, Nino.
context: Abstract ideas like progress couldn't be less convincing.\I've seen your so-called new home.\To me, it looks like you've gone backwards.\You mustn't have forgotten in just five years.\You don't want to live like that anymore, do you?\Stop being selfish and...\What?\There you are, Nino. response:	We're going back.
context: I've seen your so-called new home.\To me, it looks like you've gone backwards.\You mustn't have forgotten in just five years.\You don't want to live like that anymore, do you?\Stop being selfish and...\What?\There you are, Nino.\We're going back. response:	Wh-What is that?!
context: To me, it looks like you've gone backwards.\You mustn't have forgotten in just five years.\You don't want to live like that anymore, do you?\Stop being selfish and...\What?\There you are, Nino.\We're going back.\Wh-What is that?! response:	Hurry up and get on.
context: You mustn't have forgotten in just five years.\You don't want to live like that anymore, do you?\Stop being selfish and...\What?\There you are, Nino.\We're going back.\Wh-What is that?!\Hurry up and get on. response:	We need to get back before work.
context: You don't want to live like that anymore, do you?\Stop being selfish and...\What?\There you are, Nino.\We're going back.\Wh-What is that?!\Hurry up and get on.\We need to get back before work. response:	Nino.
context: Stop being selfish and...\What?\There you are, Nino.\We're going back.\Wh-What is that?!\Hurry up and get on.\We need to get back before work.\Nino. response:	The path you're about to walk is a thorny one.
context: What?\There you are, Nino.\We're going back.\Wh-What is that?!\Hurry up and get on.\We need to get back before work.\Nino.\The path you're about to walk is a thorny one. response:	It won't end well.
context: There you are, Nino.\We're going back.\Wh-What is that?!\Hurry up and get on.\We need to get back before work.\Nino.\The path you're about to walk is a thorny one.\It won't end well. response:	You'll certainly going to regret it.
context: We're going back.\Wh-What is that?!\Hurry up and get on.\We need to get back before work.\Nino.\The path you're about to walk is a thorny one.\It won't end well.\You'll certainly going to regret it. response:	Come with me.
context: Wh-What is that?!\Hurry up and get on.\We need to get back before work.\Nino.\The path you're about to walk is a thorny one.\It won't end well.\You'll certainly going to regret it.\Come with me. response:	Dad, just watch us.
context: Hurry up and get on.\We need to get back before work.\Nino.\The path you're about to walk is a thorny one.\It won't end well.\You'll certainly going to regret it.\Come with me.\Dad, just watch us. response:	Go.
context: We need to get back before work.\Nino.\The path you're about to walk is a thorny one.\It won't end well.\You'll certainly going to regret it.\Come with me.\Dad, just watch us.\Go. response:	Erm...
context: Nino.\The path you're about to walk is a thorny one.\It won't end well.\You'll certainly going to regret it.\Come with me.\Dad, just watch us.\Go.\Erm... response:	U-Uh...
context: The path you're about to walk is a thorny one.\It won't end well.\You'll certainly going to regret it.\Come with me.\Dad, just watch us.\Go.\Erm...\U-Uh... response:	I'll be taking your daughter, sir.
context: It won't end well.\You'll certainly going to regret it.\Come with me.\Dad, just watch us.\Go.\Erm...\U-Uh...\I'll be taking your daughter, sir. response:	Ebata.
context: You'll certainly going to regret it.\Come with me.\Dad, just watch us.\Go.\Erm...\U-Uh...\I'll be taking your daughter, sir.\Ebata. response:	It seems, happily, that my daughters have all passed the exams.
context: Come with me.\Dad, just watch us.\Go.\Erm...\U-Uh...\I'll be taking your daughter, sir.\Ebata.\It seems, happily, that my daughters have all passed the exams. response:	Am I smiling like I should?
context: Dad, just watch us.\Go.\Erm...\U-Uh...\I'll be taking your daughter, sir.\Ebata.\It seems, happily, that my daughters have all passed the exams.\Am I smiling like I should? response:	Of course, sir.
context: Go.\Erm...\U-Uh...\I'll be taking your daughter, sir.\Ebata.\It seems, happily, that my daughters have all passed the exams.\Am I smiling like I should?\Of course, sir. response:	I see.
context: Erm...\U-Uh...\I'll be taking your daughter, sir.\Ebata.\It seems, happily, that my daughters have all passed the exams.\Am I smiling like I should?\Of course, sir.\I see. response:	Of course I am. I am their father, after all.
context: U-Uh...\I'll be taking your daughter, sir.\Ebata.\It seems, happily, that my daughters have all passed the exams.\Am I smiling like I should?\Of course, sir.\I see.\Of course I am. I am their father, after all. response:	I thought I told you I was done with you.
context: I'll be taking your daughter, sir.\Ebata.\It seems, happily, that my daughters have all passed the exams.\Am I smiling like I should?\Of course, sir.\I see.\Of course I am. I am their father, after all.\I thought I told you I was done with you. response:	It seems that relationships require mutual input, unfortunately.
context: Ebata.\It seems, happily, that my daughters have all passed the exams.\Am I smiling like I should?\Of course, sir.\I see.\Of course I am. I am their father, after all.\I thought I told you I was done with you.\It seems that relationships require mutual input, unfortunately. response:	Huh? What?
context: It seems, happily, that my daughters have all passed the exams.\Am I smiling like I should?\Of course, sir.\I see.\Of course I am. I am their father, after all.\I thought I told you I was done with you.\It seems that relationships require mutual input, unfortunately.\Huh? What? response:	And where did you get this bike?
context: Am I smiling like I should?\Of course, sir.\I see.\Of course I am. I am their father, after all.\I thought I told you I was done with you.\It seems that relationships require mutual input, unfortunately.\Huh? What?\And where did you get this bike? response:	I borrowed it from my boss.
context: Of course, sir.\I see.\Of course I am. I am their father, after all.\I thought I told you I was done with you.\It seems that relationships require mutual input, unfortunately.\Huh? What?\And where did you get this bike?\I borrowed it from my boss. response:	I told you, I used to do deliveries.
context: I see.\Of course I am. I am their father, after all.\I thought I told you I was done with you.\It seems that relationships require mutual input, unfortunately.\Huh? What?\And where did you get this bike?\I borrowed it from my boss.\I told you, I used to do deliveries. response:	That's when I got my license.
context: Of course I am. I am their father, after all.\I thought I told you I was done with you.\It seems that relationships require mutual input, unfortunately.\Huh? What?\And where did you get this bike?\I borrowed it from my boss.\I told you, I used to do deliveries.\That's when I got my license. response:	I see.
context: I thought I told you I was done with you.\It seems that relationships require mutual input, unfortunately.\Huh? What?\And where did you get this bike?\I borrowed it from my boss.\I told you, I used to do deliveries.\That's when I got my license.\I see. response:	You look shockingly tacky with it.
context: It seems that relationships require mutual input, unfortunately.\Huh? What?\And where did you get this bike?\I borrowed it from my boss.\I told you, I used to do deliveries.\That's when I got my license.\I see.\You look shockingly tacky with it. response:	Aren't these your exam results?
context: Huh? What?\And where did you get this bike?\I borrowed it from my boss.\I told you, I used to do deliveries.\That's when I got my license.\I see.\You look shockingly tacky with it.\Aren't these your exam results? response:	No! Don't look at that!
context: And where did you get this bike?\I borrowed it from my boss.\I told you, I used to do deliveries.\That's when I got my license.\I see.\You look shockingly tacky with it.\Aren't these your exam results?\No! Don't look at that! response:	I bet it turns out that you got 100 in all subjects.
context: I borrowed it from my boss.\I told you, I used to do deliveries.\That's when I got my license.\I see.\You look shockingly tacky with it.\Aren't these your exam results?\No! Don't look at that!\I bet it turns out that you got 100 in all subjects. response:	Uesugi Futaro Japanese Math Science Socials English Total hhhhh89 97 94 91 88 459
context: I told you, I used to do deliveries.\That's when I got my license.\I see.\You look shockingly tacky with it.\Aren't these your exam results?\No! Don't look at that!\I bet it turns out that you got 100 in all subjects.\Uesugi Futaro Japanese Math Science Socials English Total hhhhh89 97 94 91 88 459 response:	You...
context: That's when I got my license.\I see.\You look shockingly tacky with it.\Aren't these your exam results?\No! Don't look at that!\I bet it turns out that you got 100 in all subjects.\Uesugi Futaro Japanese Math Science Socials English Total hhhhh89 97 94 91 88 459\You... response:	Biggest failure of my life.
context: I see.\You look shockingly tacky with it.\Aren't these your exam results?\No! Don't look at that!\I bet it turns out that you got 100 in all subjects.\Uesugi Futaro Japanese Math Science Socials English Total hhhhh89 97 94 91 88 459\You...\Biggest failure of my life. response:	I'm seriously embarrassed.
context: You look shockingly tacky with it.\Aren't these your exam results?\No! Don't look at that!\I bet it turns out that you got 100 in all subjects.\Uesugi Futaro Japanese Math Science Socials English Total hhhhh89 97 94 91 88 459\You...\Biggest failure of my life.\I'm seriously embarrassed. response:	Is this our fault?
context: Aren't these your exam results?\No! Don't look at that!\I bet it turns out that you got 100 in all subjects.\Uesugi Futaro Japanese Math Science Socials English Total hhhhh89 97 94 91 88 459\You...\Biggest failure of my life.\I'm seriously embarrassed.\Is this our fault? response:	It isn't.
context: No! Don't look at that!\I bet it turns out that you got 100 in all subjects.\Uesugi Futaro Japanese Math Science Socials English Total hhhhh89 97 94 91 88 459\You...\Biggest failure of my life.\I'm seriously embarrassed.\Is this our fault?\It isn't. response:	Never mind that. I'm going to floor it.
context: I bet it turns out that you got 100 in all subjects.\Uesugi Futaro Japanese Math Science Socials English Total hhhhh89 97 94 91 88 459\You...\Biggest failure of my life.\I'm seriously embarrassed.\Is this our fault?\It isn't.\Never mind that. I'm going to floor it. response:	Hang on tight.
context: Uesugi Futaro Japanese Math Science Socials English Total hhhhh89 97 94 91 88 459\You...\Biggest failure of my life.\I'm seriously embarrassed.\Is this our fault?\It isn't.\Never mind that. I'm going to floor it.\Hang on tight. response:	My long job as a tutor has come to a close today.
context: You...\Biggest failure of my life.\I'm seriously embarrassed.\Is this our fault?\It isn't.\Never mind that. I'm going to floor it.\Hang on tight.\My long job as a tutor has come to a close today. response:	Nino's right. I'm not needed anymore.
context: Biggest failure of my life.\I'm seriously embarrassed.\Is this our fault?\It isn't.\Never mind that. I'm going to floor it.\Hang on tight.\My long job as a tutor has come to a close today.\Nino's right. I'm not needed anymore. response:	This is the end of our relationship, too.
context: I'm seriously embarrassed.\Is this our fault?\It isn't.\Never mind that. I'm going to floor it.\Hang on tight.\My long job as a tutor has come to a close today.\Nino's right. I'm not needed anymore.\This is the end of our relationship, too. response:	I'll miss it. Won't you?
context: Is this our fault?\It isn't.\Never mind that. I'm going to floor it.\Hang on tight.\My long job as a tutor has come to a close today.\Nino's right. I'm not needed anymore.\This is the end of our relationship, too.\I'll miss it. Won't you? response:	You're going so slow!
context: It isn't.\Never mind that. I'm going to floor it.\Hang on tight.\My long job as a tutor has come to a close today.\Nino's right. I'm not needed anymore.\This is the end of our relationship, too.\I'll miss it. Won't you?\You're going so slow! response:	I thought you were going to floor it.
context: Never mind that. I'm going to floor it.\Hang on tight.\My long job as a tutor has come to a close today.\Nino's right. I'm not needed anymore.\This is the end of our relationship, too.\I'll miss it. Won't you?\You're going so slow!\I thought you were going to floor it. response:	What do you expect?
context: Hang on tight.\My long job as a tutor has come to a close today.\Nino's right. I'm not needed anymore.\This is the end of our relationship, too.\I'll miss it. Won't you?\You're going so slow!\I thought you were going to floor it.\What do you expect? response:	I'm carrying a lot of weight.
context: My long job as a tutor has come to a close today.\Nino's right. I'm not needed anymore.\This is the end of our relationship, too.\I'll miss it. Won't you?\You're going so slow!\I thought you were going to floor it.\What do you expect?\I'm carrying a lot of weight. response:	Huh? Who are you calling heavy?!
context: Nino's right. I'm not needed anymore.\This is the end of our relationship, too.\I'll miss it. Won't you?\You're going so slow!\I thought you were going to floor it.\What do you expect?\I'm carrying a lot of weight.\Huh? Who are you calling heavy?! response:	Jeez, you drive me crazy.
context: This is the end of our relationship, too.\I'll miss it. Won't you?\You're going so slow!\I thought you were going to floor it.\What do you expect?\I'm carrying a lot of weight.\Huh? Who are you calling heavy?!\Jeez, you drive me crazy. response:	You've always been like this.
context: I'll miss it. Won't you?\You're going so slow!\I thought you were going to floor it.\What do you expect?\I'm carrying a lot of weight.\Huh? Who are you calling heavy?!\Jeez, you drive me crazy.\You've always been like this. response:	A jerk of the highest order.
context: You're going so slow!\I thought you were going to floor it.\What do you expect?\I'm carrying a lot of weight.\Huh? Who are you calling heavy?!\Jeez, you drive me crazy.\You've always been like this.\A jerk of the highest order. response:	And, also...
context: I thought you were going to floor it.\What do you expect?\I'm carrying a lot of weight.\Huh? Who are you calling heavy?!\Jeez, you drive me crazy.\You've always been like this.\A jerk of the highest order.\And, also... response:	I love you.
context: What do you expect?\I'm carrying a lot of weight.\Huh? Who are you calling heavy?!\Jeez, you drive me crazy.\You've always been like this.\A jerk of the highest order.\And, also...\I love you. response:	Begin the Offensive
context: I'm carrying a lot of weight.\Huh? Who are you calling heavy?!\Jeez, you drive me crazy.\You've always been like this.\A jerk of the highest order.\And, also...\I love you.\Begin the Offensive response:	Uesugi-san!
context: Huh? Who are you calling heavy?!\Jeez, you drive me crazy.\You've always been like this.\A jerk of the highest order.\And, also...\I love you.\Begin the Offensive\Uesugi-san! response:	You brought Nino back?
context: Jeez, you drive me crazy.\You've always been like this.\A jerk of the highest order.\And, also...\I love you.\Begin the Offensive\Uesugi-san!\You brought Nino back? response:	We're over here.
context: You've always been like this.\A jerk of the highest order.\And, also...\I love you.\Begin the Offensive\Uesugi-san!\You brought Nino back?\We're over here. response:	Okay.
context: A jerk of the highest order.\And, also...\I love you.\Begin the Offensive\Uesugi-san!\You brought Nino back?\We're over here.\Okay. response:	I said it!
context: And, also...\I love you.\Begin the Offensive\Uesugi-san!\You brought Nino back?\We're over here.\Okay.\I said it! response:	I went said it!
context: I love you.\Begin the Offensive\Uesugi-san!\You brought Nino back?\We're over here.\Okay.\I said it!\I went said it! response:	What's gotten into me? Liking someone like him?!
context: Begin the Offensive\Uesugi-san!\You brought Nino back?\We're over here.\Okay.\I said it!\I went said it!\What's gotten into me? Liking someone like him?! response:	That was my first confession!
context: Uesugi-san!\You brought Nino back?\We're over here.\Okay.\I said it!\I went said it!\What's gotten into me? Liking someone like him?!\That was my first confession! response:	Why did I do it?
context: You brought Nino back?\We're over here.\Okay.\I said it!\I went said it!\What's gotten into me? Liking someone like him?!\That was my first confession!\Why did I do it? response:	What do I do?
context: We're over here.\Okay.\I said it!\I went said it!\What's gotten into me? Liking someone like him?!\That was my first confession!\Why did I do it?\What do I do? response:	And why isn't he reacting at all?
context: Okay.\I said it!\I went said it!\What's gotten into me? Liking someone like him?!\That was my first confession!\Why did I do it?\What do I do?\And why isn't he reacting at all? response:	Cheers!
context: I said it!\I went said it!\What's gotten into me? Liking someone like him?!\That was my first confession!\Why did I do it?\What do I do?\And why isn't he reacting at all?\Cheers! response:	Congratulations on making it through the finals.
context: I went said it!\What's gotten into me? Liking someone like him?!\That was my first confession!\Why did I do it?\What do I do?\And why isn't he reacting at all?\Cheers!\Congratulations on making it through the finals. response:	I can't believe we pulled it off.
context: What's gotten into me? Liking someone like him?!\That was my first confession!\Why did I do it?\What do I do?\And why isn't he reacting at all?\Cheers!\Congratulations on making it through the finals.\I can't believe we pulled it off. response:	I know.
context: That was my first confession!\Why did I do it?\What do I do?\And why isn't he reacting at all?\Cheers!\Congratulations on making it through the finals.\I can't believe we pulled it off.\I know. response:	I want to frame our exam papers.
context: Why did I do it?\What do I do?\And why isn't he reacting at all?\Cheers!\Congratulations on making it through the finals.\I can't believe we pulled it off.\I know.\I want to frame our exam papers. response:	Why don't we do that when get slightly better grades?
context: What do I do?\And why isn't he reacting at all?\Cheers!\Congratulations on making it through the finals.\I can't believe we pulled it off.\I know.\I want to frame our exam papers.\Why don't we do that when get slightly better grades? response:	I know we're celebrating, but can we really afford all this?
context: And why isn't he reacting at all?\Cheers!\Congratulations on making it through the finals.\I can't believe we pulled it off.\I know.\I want to frame our exam papers.\Why don't we do that when get slightly better grades?\I know we're celebrating, but can we really afford all this? response:	The owner is treating us to celebrate.
context: Cheers!\Congratulations on making it through the finals.\I can't believe we pulled it off.\I know.\I want to frame our exam papers.\Why don't we do that when get slightly better grades?\I know we're celebrating, but can we really afford all this?\The owner is treating us to celebrate. response:	Remember to give us five stars.
context: Congratulations on making it through the finals.\I can't believe we pulled it off.\I know.\I want to frame our exam papers.\Why don't we do that when get slightly better grades?\I know we're celebrating, but can we really afford all this?\The owner is treating us to celebrate.\Remember to give us five stars. response:	Our orders are all over the place, aren't they?
context: I can't believe we pulled it off.\I know.\I want to frame our exam papers.\Why don't we do that when get slightly better grades?\I know we're celebrating, but can we really afford all this?\The owner is treating us to celebrate.\Remember to give us five stars.\Our orders are all over the place, aren't they? response:	I guess this is business as usual for us.
context: I know.\I want to frame our exam papers.\Why don't we do that when get slightly better grades?\I know we're celebrating, but can we really afford all this?\The owner is treating us to celebrate.\Remember to give us five stars.\Our orders are all over the place, aren't they?\I guess this is business as usual for us. response:	Here, Yotsuba.
context: I want to frame our exam papers.\Why don't we do that when get slightly better grades?\I know we're celebrating, but can we really afford all this?\The owner is treating us to celebrate.\Remember to give us five stars.\Our orders are all over the place, aren't they?\I guess this is business as usual for us.\Here, Yotsuba. response:	Huh?
context: Why don't we do that when get slightly better grades?\I know we're celebrating, but can we really afford all this?\The owner is treating us to celebrate.\Remember to give us five stars.\Our orders are all over the place, aren't they?\I guess this is business as usual for us.\Here, Yotsuba.\Huh? response:	What's this for?
context: I know we're celebrating, but can we really afford all this?\The owner is treating us to celebrate.\Remember to give us five stars.\Our orders are all over the place, aren't they?\I guess this is business as usual for us.\Here, Yotsuba.\Huh?\What's this for? response:	Your predictions on the contemporary literature questions were spot on.
context: The owner is treating us to celebrate.\Remember to give us five stars.\Our orders are all over the place, aren't they?\I guess this is business as usual for us.\Here, Yotsuba.\Huh?\What's this for?\Your predictions on the contemporary literature questions were spot on. response:	They were.
context: Remember to give us five stars.\Our orders are all over the place, aren't they?\I guess this is business as usual for us.\Here, Yotsuba.\Huh?\What's this for?\Your predictions on the contemporary literature questions were spot on.\They were. response:	That really helped.
context: Our orders are all over the place, aren't they?\I guess this is business as usual for us.\Here, Yotsuba.\Huh?\What's this for?\Your predictions on the contemporary literature questions were spot on.\They were.\That really helped. response:	Me too, then.
context: I guess this is business as usual for us.\Here, Yotsuba.\Huh?\What's this for?\Your predictions on the contemporary literature questions were spot on.\They were.\That really helped.\Me too, then. response:	Me too.
context: Here, Yotsuba.\Huh?\What's this for?\Your predictions on the contemporary literature questions were spot on.\They were.\That really helped.\Me too, then.\Me too. response:	Me too.
context: Huh?\What's this for?\Your predictions on the contemporary literature questions were spot on.\They were.\That really helped.\Me too, then.\Me too.\Me too. response:	Okay, then...
context: What's this for?\Your predictions on the contemporary literature questions were spot on.\They were.\That really helped.\Me too, then.\Me too.\Me too.\Okay, then... response:	It's so good.
context: Your predictions on the contemporary literature questions were spot on.\They were.\That really helped.\Me too, then.\Me too.\Me too.\Okay, then...\It's so good. response:	You all helped me out, too, though. I have to return the favor.
context: They were.\That really helped.\Me too, then.\Me too.\Me too.\Okay, then...\It's so good.\You all helped me out, too, though. I have to return the favor. response:	We do, too, actually.
context: That really helped.\Me too, then.\Me too.\Me too.\Okay, then...\It's so good.\You all helped me out, too, though. I have to return the favor.\We do, too, actually. response:	Why don't we all share a little, then?
context: Me too, then.\Me too.\Me too.\Okay, then...\It's so good.\You all helped me out, too, though. I have to return the favor.\We do, too, actually.\Why don't we all share a little, then? response:	That's how we made it through the exams, after all.
context: Me too.\Me too.\Okay, then...\It's so good.\You all helped me out, too, though. I have to return the favor.\We do, too, actually.\Why don't we all share a little, then?\That's how we made it through the exams, after all. response:	Plus, this way, we can enjoy all the different flavors.
context: Me too.\Okay, then...\It's so good.\You all helped me out, too, though. I have to return the favor.\We do, too, actually.\Why don't we all share a little, then?\That's how we made it through the exams, after all.\Plus, this way, we can enjoy all the different flavors. response:	That's your real motivation, isn't it?
context: Okay, then...\It's so good.\You all helped me out, too, though. I have to return the favor.\We do, too, actually.\Why don't we all share a little, then?\That's how we made it through the exams, after all.\Plus, this way, we can enjoy all the different flavors.\That's your real motivation, isn't it? response:	Here, Ichika.
context: It's so good.\You all helped me out, too, though. I have to return the favor.\We do, too, actually.\Why don't we all share a little, then?\That's how we made it through the exams, after all.\Plus, this way, we can enjoy all the different flavors.\That's your real motivation, isn't it?\Here, Ichika. response:	Thanks.
context: You all helped me out, too, though. I have to return the favor.\We do, too, actually.\Why don't we all share a little, then?\That's how we made it through the exams, after all.\Plus, this way, we can enjoy all the different flavors.\That's your real motivation, isn't it?\Here, Ichika.\Thanks. response:	And congratulations.
context: We do, too, actually.\Why don't we all share a little, then?\That's how we made it through the exams, after all.\Plus, this way, we can enjoy all the different flavors.\That's your real motivation, isn't it?\Here, Ichika.\Thanks.\And congratulations. response:	I never would have thought you'd do the best, Ichika.
context: Why don't we all share a little, then?\That's how we made it through the exams, after all.\Plus, this way, we can enjoy all the different flavors.\That's your real motivation, isn't it?\Here, Ichika.\Thanks.\And congratulations.\I never would have thought you'd do the best, Ichika. response:	I got lucky. That's all.
context: That's how we made it through the exams, after all.\Plus, this way, we can enjoy all the different flavors.\That's your real motivation, isn't it?\Here, Ichika.\Thanks.\And congratulations.\I never would have thought you'd do the best, Ichika.\I got lucky. That's all. response:	I'm beating you next time.
context: Plus, this way, we can enjoy all the different flavors.\That's your real motivation, isn't it?\Here, Ichika.\Thanks.\And congratulations.\I never would have thought you'd do the best, Ichika.\I got lucky. That's all.\I'm beating you next time. response:	Yeah.
context: That's your real motivation, isn't it?\Here, Ichika.\Thanks.\And congratulations.\I never would have thought you'd do the best, Ichika.\I got lucky. That's all.\I'm beating you next time.\Yeah. response:	I'm going to take a short break.
context: Here, Ichika.\Thanks.\And congratulations.\I never would have thought you'd do the best, Ichika.\I got lucky. That's all.\I'm beating you next time.\Yeah.\I'm going to take a short break. response:	You can handle it from here.
context: Thanks.\And congratulations.\I never would have thought you'd do the best, Ichika.\I got lucky. That's all.\I'm beating you next time.\Yeah.\I'm going to take a short break.\You can handle it from here. response:	Oh, boss, is it all right if I set aside some pudding?
context: And congratulations.\I never would have thought you'd do the best, Ichika.\I got lucky. That's all.\I'm beating you next time.\Yeah.\I'm going to take a short break.\You can handle it from here.\Oh, boss, is it all right if I set aside some pudding? response:	Sure, but did you ever like pudding?
