context: Thanks for the meal, I'm leaving now! response:	Hey.
context: It's strange for a boy and a girl to eat together!\Why is it strange?\You see,\Because we're not dating...We haven't start going out together yet...\What I'm saying is, you should eat together with your friends!\By the way...\Eh?\Did you hear anything from your brother? response:	About what?
context: Why is it strange?\You see,\Because we're not dating...We haven't start going out together yet...\What I'm saying is, you should eat together with your friends!\By the way...\Eh?\Did you hear anything from your brother?\About what? response:	Oh, nothing really.
context: You see,\Because we're not dating...We haven't start going out together yet...\What I'm saying is, you should eat together with your friends!\By the way...\Eh?\Did you hear anything from your brother?\About what?\Oh, nothing really. response:	After school...
context: Because we're not dating...We haven't start going out together yet...\What I'm saying is, you should eat together with your friends!\By the way...\Eh?\Did you hear anything from your brother?\About what?\Oh, nothing really.\After school... response:	Eh?
context: What I'm saying is, you should eat together with your friends!\By the way...\Eh?\Did you hear anything from your brother?\About what?\Oh, nothing really.\After school...\Eh? response:	Why don't we go home together?
context: By the way...\Eh?\Did you hear anything from your brother?\About what?\Oh, nothing really.\After school...\Eh?\Why don't we go home together? response:	I can't! I have dance practice today!
context: Eh?\Did you hear anything from your brother?\About what?\Oh, nothing really.\After school...\Eh?\Why don't we go home together?\I can't! I have dance practice today! response:	For the Mugiha festival?
context: Did you hear anything from your brother?\About what?\Oh, nothing really.\After school...\Eh?\Why don't we go home together?\I can't! I have dance practice today!\For the Mugiha festival? response:	Y- Yeah...
context: About what?\Oh, nothing really.\After school...\Eh?\Why don't we go home together?\I can't! I have dance practice today!\For the Mugiha festival?\Y- Yeah... response:	Awesome! You're a dancer?!
context: Oh, nothing really.\After school...\Eh?\Why don't we go home together?\I can't! I have dance practice today!\For the Mugiha festival?\Y- Yeah...\Awesome! You're a dancer?! response:	Dancer...
context: After school...\Eh?\Why don't we go home together?\I can't! I have dance practice today!\For the Mugiha festival?\Y- Yeah...\Awesome! You're a dancer?!\Dancer... response:	Something lovely like that! Why'd you keep it a secret from me?
context: Eh?\Why don't we go home together?\I can't! I have dance practice today!\For the Mugiha festival?\Y- Yeah...\Awesome! You're a dancer?!\Dancer...\Something lovely like that! Why'd you keep it a secret from me? response:	Not like I was actually hiding it...
context: Why don't we go home together?\I can't! I have dance practice today!\For the Mugiha festival?\Y- Yeah...\Awesome! You're a dancer?!\Dancer...\Something lovely like that! Why'd you keep it a secret from me?\Not like I was actually hiding it... response:	Besides, I am not dancing because I like it.
context: I can't! I have dance practice today!\For the Mugiha festival?\Y- Yeah...\Awesome! You're a dancer?!\Dancer...\Something lovely like that! Why'd you keep it a secret from me?\Not like I was actually hiding it...\Besides, I am not dancing because I like it. response:	Tomoyo, you're late.
context: For the Mugiha festival?\Y- Yeah...\Awesome! You're a dancer?!\Dancer...\Something lovely like that! Why'd you keep it a secret from me?\Not like I was actually hiding it...\Besides, I am not dancing because I like it.\Tomoyo, you're late. response:	Here.
context: Y- Yeah...\Awesome! You're a dancer?!\Dancer...\Something lovely like that! Why'd you keep it a secret from me?\Not like I was actually hiding it...\Besides, I am not dancing because I like it.\Tomoyo, you're late.\Here. response:	Friends always exchange their side dishes with each other.
context: Awesome! You're a dancer?!\Dancer...\Something lovely like that! Why'd you keep it a secret from me?\Not like I was actually hiding it...\Besides, I am not dancing because I like it.\Tomoyo, you're late.\Here.\Friends always exchange their side dishes with each other. response:	Sorry I'm late! There were lots of people at the snack bar!
context: Dancer...\Something lovely like that! Why'd you keep it a secret from me?\Not like I was actually hiding it...\Besides, I am not dancing because I like it.\Tomoyo, you're late.\Here.\Friends always exchange their side dishes with each other.\Sorry I'm late! There were lots of people at the snack bar! response:	Err, Isurugi Noe-san, this is Kurobe Tomoyo.
context: Something lovely like that! Why'd you keep it a secret from me?\Not like I was actually hiding it...\Besides, I am not dancing because I like it.\Tomoyo, you're late.\Here.\Friends always exchange their side dishes with each other.\Sorry I'm late! There were lots of people at the snack bar!\Err, Isurugi Noe-san, this is Kurobe Tomoyo. response:	Are you going home?
context: Not like I was actually hiding it...\Besides, I am not dancing because I like it.\Tomoyo, you're late.\Here.\Friends always exchange their side dishes with each other.\Sorry I'm late! There were lots of people at the snack bar!\Err, Isurugi Noe-san, this is Kurobe Tomoyo.\Are you going home? response:	We don't have club activities today.
context: Besides, I am not dancing because I like it.\Tomoyo, you're late.\Here.\Friends always exchange their side dishes with each other.\Sorry I'm late! There were lots of people at the snack bar!\Err, Isurugi Noe-san, this is Kurobe Tomoyo.\Are you going home?\We don't have club activities today. response:	I see...
context: Tomoyo, you're late.\Here.\Friends always exchange their side dishes with each other.\Sorry I'm late! There were lots of people at the snack bar!\Err, Isurugi Noe-san, this is Kurobe Tomoyo.\Are you going home?\We don't have club activities today.\I see... response:	Then...
context: Here.\Friends always exchange their side dishes with each other.\Sorry I'm late! There were lots of people at the snack bar!\Err, Isurugi Noe-san, this is Kurobe Tomoyo.\Are you going home?\We don't have club activities today.\I see...\Then... response:	Even though he told me he has practice...
context: Friends always exchange their side dishes with each other.\Sorry I'm late! There were lots of people at the snack bar!\Err, Isurugi Noe-san, this is Kurobe Tomoyo.\Are you going home?\We don't have club activities today.\I see...\Then...\Even though he told me he has practice... response:	Shin-!
context: Sorry I'm late! There were lots of people at the snack bar!\Err, Isurugi Noe-san, this is Kurobe Tomoyo.\Are you going home?\We don't have club activities today.\I see...\Then...\Even though he told me he has practice...\Shin-! response:	It's going pretty well for him, I must say.
context: Err, Isurugi Noe-san, this is Kurobe Tomoyo.\Are you going home?\We don't have club activities today.\I see...\Then...\Even though he told me he has practice...\Shin-!\It's going pretty well for him, I must say. response:	If it goes well, maybe the four of us could go out together next time.
context: Are you going home?\We don't have club activities today.\I see...\Then...\Even though he told me he has practice...\Shin-!\It's going pretty well for him, I must say.\If it goes well, maybe the four of us could go out together next time. response:	Kind of like a group date...
context: We don't have club activities today.\I see...\Then...\Even though he told me he has practice...\Shin-!\It's going pretty well for him, I must say.\If it goes well, maybe the four of us could go out together next time.\Kind of like a group date... response:	Hey, where should we go?
context: I see...\Then...\Even though he told me he has practice...\Shin-!\It's going pretty well for him, I must say.\If it goes well, maybe the four of us could go out together next time.\Kind of like a group date...\Hey, where should we go? response:	Anywhere's fine.
context: Then...\Even though he told me he has practice...\Shin-!\It's going pretty well for him, I must say.\If it goes well, maybe the four of us could go out together next time.\Kind of like a group date...\Hey, where should we go?\Anywhere's fine. response:	What's with that?
context: Even though he told me he has practice...\Shin-!\It's going pretty well for him, I must say.\If it goes well, maybe the four of us could go out together next time.\Kind of like a group date...\Hey, where should we go?\Anywhere's fine.\What's with that? response:	Hey, isn't that a new sweater?
context: Shin-!\It's going pretty well for him, I must say.\If it goes well, maybe the four of us could go out together next time.\Kind of like a group date...\Hey, where should we go?\Anywhere's fine.\What's with that?\Hey, isn't that a new sweater? response:	Yup, how observant of you.
context: It's going pretty well for him, I must say.\If it goes well, maybe the four of us could go out together next time.\Kind of like a group date...\Hey, where should we go?\Anywhere's fine.\What's with that?\Hey, isn't that a new sweater?\Yup, how observant of you. response:	Told you to leave it to me!
context: If it goes well, maybe the four of us could go out together next time.\Kind of like a group date...\Hey, where should we go?\Anywhere's fine.\What's with that?\Hey, isn't that a new sweater?\Yup, how observant of you.\Told you to leave it to me! response:	I know everything about Aiko, you see!
context: Kind of like a group date...\Hey, where should we go?\Anywhere's fine.\What's with that?\Hey, isn't that a new sweater?\Yup, how observant of you.\Told you to leave it to me!\I know everything about Aiko, you see! response:	But... isn't that one just a bit plain?
context: Hey, where should we go?\Anywhere's fine.\What's with that?\Hey, isn't that a new sweater?\Yup, how observant of you.\Told you to leave it to me!\I know everything about Aiko, you see!\But... isn't that one just a bit plain? response:	Doesn't seem like Ai-chan's taste...
context: Anywhere's fine.\What's with that?\Hey, isn't that a new sweater?\Yup, how observant of you.\Told you to leave it to me!\I know everything about Aiko, you see!\But... isn't that one just a bit plain?\Doesn't seem like Ai-chan's taste... response:	A change is nice, occasionally.
context: What's with that?\Hey, isn't that a new sweater?\Yup, how observant of you.\Told you to leave it to me!\I know everything about Aiko, you see!\But... isn't that one just a bit plain?\Doesn't seem like Ai-chan's taste...\A change is nice, occasionally. response:	You could have told me, I would've gone shopping with you.
context: Hey, isn't that a new sweater?\Yup, how observant of you.\Told you to leave it to me!\I know everything about Aiko, you see!\But... isn't that one just a bit plain?\Doesn't seem like Ai-chan's taste...\A change is nice, occasionally.\You could have told me, I would've gone shopping with you. response:	Didn't you buy that one over at that store?
context: Yup, how observant of you.\Told you to leave it to me!\I know everything about Aiko, you see!\But... isn't that one just a bit plain?\Doesn't seem like Ai-chan's taste...\A change is nice, occasionally.\You could have told me, I would've gone shopping with you.\Didn't you buy that one over at that store? response:	What was that store that Ai-chan likes to go again?
context: Told you to leave it to me!\I know everything about Aiko, you see!\But... isn't that one just a bit plain?\Doesn't seem like Ai-chan's taste...\A change is nice, occasionally.\You could have told me, I would've gone shopping with you.\Didn't you buy that one over at that store?\What was that store that Ai-chan likes to go again? response:	Oh yeah, why don't you also buy yourself a sweater?
context: I know everything about Aiko, you see!\But... isn't that one just a bit plain?\Doesn't seem like Ai-chan's taste...\A change is nice, occasionally.\You could have told me, I would've gone shopping with you.\Didn't you buy that one over at that store?\What was that store that Ai-chan likes to go again?\Oh yeah, why don't you also buy yourself a sweater? response:	Since all you've been wearing is that one.
context: But... isn't that one just a bit plain?\Doesn't seem like Ai-chan's taste...\A change is nice, occasionally.\You could have told me, I would've gone shopping with you.\Didn't you buy that one over at that store?\What was that store that Ai-chan likes to go again?\Oh yeah, why don't you also buy yourself a sweater?\Since all you've been wearing is that one. response:	Sweater, huh?
context: Doesn't seem like Ai-chan's taste...\A change is nice, occasionally.\You could have told me, I would've gone shopping with you.\Didn't you buy that one over at that store?\What was that store that Ai-chan likes to go again?\Oh yeah, why don't you also buy yourself a sweater?\Since all you've been wearing is that one.\Sweater, huh? response:	If I'm to get another one, it'd sure be nice if it was one that Ai-chan made...
context: A change is nice, occasionally.\You could have told me, I would've gone shopping with you.\Didn't you buy that one over at that store?\What was that store that Ai-chan likes to go again?\Oh yeah, why don't you also buy yourself a sweater?\Since all you've been wearing is that one.\Sweater, huh?\If I'm to get another one, it'd sure be nice if it was one that Ai-chan made... response:	Or, that's what I want to say.
context: You could have told me, I would've gone shopping with you.\Didn't you buy that one over at that store?\What was that store that Ai-chan likes to go again?\Oh yeah, why don't you also buy yourself a sweater?\Since all you've been wearing is that one.\Sweater, huh?\If I'm to get another one, it'd sure be nice if it was one that Ai-chan made...\Or, that's what I want to say. response:	Sure.
context: Didn't you buy that one over at that store?\What was that store that Ai-chan likes to go again?\Oh yeah, why don't you also buy yourself a sweater?\Since all you've been wearing is that one.\Sweater, huh?\If I'm to get another one, it'd sure be nice if it was one that Ai-chan made...\Or, that's what I want to say.\Sure. response:	Eh? Really?!
context: What was that store that Ai-chan likes to go again?\Oh yeah, why don't you also buy yourself a sweater?\Since all you've been wearing is that one.\Sweater, huh?\If I'm to get another one, it'd sure be nice if it was one that Ai-chan made...\Or, that's what I want to say.\Sure.\Eh? Really?! response:	YES!!
context: Oh yeah, why don't you also buy yourself a sweater?\Since all you've been wearing is that one.\Sweater, huh?\If I'm to get another one, it'd sure be nice if it was one that Ai-chan made...\Or, that's what I want to say.\Sure.\Eh? Really?!\YES!! response:	Good day, bocchan!
context: Since all you've been wearing is that one.\Sweater, huh?\If I'm to get another one, it'd sure be nice if it was one that Ai-chan made...\Or, that's what I want to say.\Sure.\Eh? Really?!\YES!!\Good day, bocchan! response:	I see things are getting pretty hot between you two!
context: Sweater, huh?\If I'm to get another one, it'd sure be nice if it was one that Ai-chan made...\Or, that's what I want to say.\Sure.\Eh? Really?!\YES!!\Good day, bocchan!\I see things are getting pretty hot between you two! response:	Whoa! be careful!
context: If I'm to get another one, it'd sure be nice if it was one that Ai-chan made...\Or, that's what I want to say.\Sure.\Eh? Really?!\YES!!\Good day, bocchan!\I see things are getting pretty hot between you two!\Whoa! be careful! response:	Let's go to the seashore.
context: Or, that's what I want to say.\Sure.\Eh? Really?!\YES!!\Good day, bocchan!\I see things are getting pretty hot between you two!\Whoa! be careful!\Let's go to the seashore. response:	It's cold...
context: Sure.\Eh? Really?!\YES!!\Good day, bocchan!\I see things are getting pretty hot between you two!\Whoa! be careful!\Let's go to the seashore.\It's cold... response:	Here.
context: Eh? Really?!\YES!!\Good day, bocchan!\I see things are getting pretty hot between you two!\Whoa! be careful!\Let's go to the seashore.\It's cold...\Here. response:	You're cold, right?
context: YES!!\Good day, bocchan!\I see things are getting pretty hot between you two!\Whoa! be careful!\Let's go to the seashore.\It's cold...\Here.\You're cold, right? response:	What about you?
context: Good day, bocchan!\I see things are getting pretty hot between you two!\Whoa! be careful!\Let's go to the seashore.\It's cold...\Here.\You're cold, right?\What about you? response:	I bet Shinichirou-kun's colder than me.
context: I see things are getting pretty hot between you two!\Whoa! be careful!\Let's go to the seashore.\It's cold...\Here.\You're cold, right?\What about you?\I bet Shinichirou-kun's colder than me. response:	What do you mean by that?
context: Whoa! be careful!\Let's go to the seashore.\It's cold...\Here.\You're cold, right?\What about you?\I bet Shinichirou-kun's colder than me.\What do you mean by that? response:	Besides, it's usually guys who do this.
context: Let's go to the seashore.\It's cold...\Here.\You're cold, right?\What about you?\I bet Shinichirou-kun's colder than me.\What do you mean by that?\Besides, it's usually guys who do this. response:	It's fine.
context: It's cold...\Here.\You're cold, right?\What about you?\I bet Shinichirou-kun's colder than me.\What do you mean by that?\Besides, it's usually guys who do this.\It's fine. response:	It's the second time already...
context: Here.\You're cold, right?\What about you?\I bet Shinichirou-kun's colder than me.\What do you mean by that?\Besides, it's usually guys who do this.\It's fine.\It's the second time already... response:	Well, I'm fine with it, anyways.
context: You're cold, right?\What about you?\I bet Shinichirou-kun's colder than me.\What do you mean by that?\Besides, it's usually guys who do this.\It's fine.\It's the second time already...\Well, I'm fine with it, anyways. response:	Nah, it's nothing.
context: What about you?\I bet Shinichirou-kun's colder than me.\What do you mean by that?\Besides, it's usually guys who do this.\It's fine.\It's the second time already...\Well, I'm fine with it, anyways.\Nah, it's nothing. response:	You don't have dance practice today?
context: I bet Shinichirou-kun's colder than me.\What do you mean by that?\Besides, it's usually guys who do this.\It's fine.\It's the second time already...\Well, I'm fine with it, anyways.\Nah, it's nothing.\You don't have dance practice today? response:	That's right.
context: What do you mean by that?\Besides, it's usually guys who do this.\It's fine.\It's the second time already...\Well, I'm fine with it, anyways.\Nah, it's nothing.\You don't have dance practice today?\That's right. response:	Shinichirou-kun is the main lead, huh?
context: Besides, it's usually guys who do this.\It's fine.\It's the second time already...\Well, I'm fine with it, anyways.\Nah, it's nothing.\You don't have dance practice today?\That's right.\Shinichirou-kun is the main lead, huh? response:	You know, if you'd like, next time...
context: It's fine.\It's the second time already...\Well, I'm fine with it, anyways.\Nah, it's nothing.\You don't have dance practice today?\That's right.\Shinichirou-kun is the main lead, huh?\You know, if you'd like, next time... response:	Today...
context: It's the second time already...\Well, I'm fine with it, anyways.\Nah, it's nothing.\You don't have dance practice today?\That's right.\Shinichirou-kun is the main lead, huh?\You know, if you'd like, next time...\Today... response:	At lunch, Isurugi Noe came to the bleachers at the field.
context: Well, I'm fine with it, anyways.\Nah, it's nothing.\You don't have dance practice today?\That's right.\Shinichirou-kun is the main lead, huh?\You know, if you'd like, next time...\Today...\At lunch, Isurugi Noe came to the bleachers at the field. response:	Oh, you mean where you eat?
context: Nah, it's nothing.\You don't have dance practice today?\That's right.\Shinichirou-kun is the main lead, huh?\You know, if you'd like, next time...\Today...\At lunch, Isurugi Noe came to the bleachers at the field.\Oh, you mean where you eat? response:	She told me Friends always exchange their side dishes with each other.
context: You don't have dance practice today?\That's right.\Shinichirou-kun is the main lead, huh?\You know, if you'd like, next time...\Today...\At lunch, Isurugi Noe came to the bleachers at the field.\Oh, you mean where you eat?\She told me Friends always exchange their side dishes with each other. response:	Huh? Did she give you any trouble?
context: That's right.\Shinichirou-kun is the main lead, huh?\You know, if you'd like, next time...\Today...\At lunch, Isurugi Noe came to the bleachers at the field.\Oh, you mean where you eat?\She told me Friends always exchange their side dishes with each other.\Huh? Did she give you any trouble? response:	Nope. Besides, it was me who asked Shinichirou-kun to introduce Isurugi Noe to me.
context: Shinichirou-kun is the main lead, huh?\You know, if you'd like, next time...\Today...\At lunch, Isurugi Noe came to the bleachers at the field.\Oh, you mean where you eat?\She told me Friends always exchange their side dishes with each other.\Huh? Did she give you any trouble?\Nope. Besides, it was me who asked Shinichirou-kun to introduce Isurugi Noe to me. response:	Let's go home.
context: You know, if you'd like, next time...\Today...\At lunch, Isurugi Noe came to the bleachers at the field.\Oh, you mean where you eat?\She told me Friends always exchange their side dishes with each other.\Huh? Did she give you any trouble?\Nope. Besides, it was me who asked Shinichirou-kun to introduce Isurugi Noe to me.\Let's go home. response:	Speaking of Isurugi Noe...
context: Today...\At lunch, Isurugi Noe came to the bleachers at the field.\Oh, you mean where you eat?\She told me Friends always exchange their side dishes with each other.\Huh? Did she give you any trouble?\Nope. Besides, it was me who asked Shinichirou-kun to introduce Isurugi Noe to me.\Let's go home.\Speaking of Isurugi Noe... response:	What?
context: At lunch, Isurugi Noe came to the bleachers at the field.\Oh, you mean where you eat?\She told me Friends always exchange their side dishes with each other.\Huh? Did she give you any trouble?\Nope. Besides, it was me who asked Shinichirou-kun to introduce Isurugi Noe to me.\Let's go home.\Speaking of Isurugi Noe...\What? response:	Well, don't you think she's a strange girl?
context: Oh, you mean where you eat?\She told me Friends always exchange their side dishes with each other.\Huh? Did she give you any trouble?\Nope. Besides, it was me who asked Shinichirou-kun to introduce Isurugi Noe to me.\Let's go home.\Speaking of Isurugi Noe...\What?\Well, don't you think she's a strange girl? response:	Well, she's not a bad person, though.
context: She told me Friends always exchange their side dishes with each other.\Huh? Did she give you any trouble?\Nope. Besides, it was me who asked Shinichirou-kun to introduce Isurugi Noe to me.\Let's go home.\Speaking of Isurugi Noe...\What?\Well, don't you think she's a strange girl?\Well, she's not a bad person, though. response:	Hmm?
context: Huh? Did she give you any trouble?\Nope. Besides, it was me who asked Shinichirou-kun to introduce Isurugi Noe to me.\Let's go home.\Speaking of Isurugi Noe...\What?\Well, don't you think she's a strange girl?\Well, she's not a bad person, though.\Hmm? response:	Y- Yeah. That's right.
context: Nope. Besides, it was me who asked Shinichirou-kun to introduce Isurugi Noe to me.\Let's go home.\Speaking of Isurugi Noe...\What?\Well, don't you think she's a strange girl?\Well, she's not a bad person, though.\Hmm?\Y- Yeah. That's right. response:	I didn't say it clearly, but...
context: Let's go home.\Speaking of Isurugi Noe...\What?\Well, don't you think she's a strange girl?\Well, she's not a bad person, though.\Hmm?\Y- Yeah. That's right.\I didn't say it clearly, but... response:	I would like the two of you to stop walking around together outside.
context: Speaking of Isurugi Noe...\What?\Well, don't you think she's a strange girl?\Well, she's not a bad person, though.\Hmm?\Y- Yeah. That's right.\I didn't say it clearly, but...\I would like the two of you to stop walking around together outside. response:	But why?
context: What?\Well, don't you think she's a strange girl?\Well, she's not a bad person, though.\Hmm?\Y- Yeah. That's right.\I didn't say it clearly, but...\I would like the two of you to stop walking around together outside.\But why? response:	Maybe you don't understand this,
context: Well, don't you think she's a strange girl?\Well, she's not a bad person, though.\Hmm?\Y- Yeah. That's right.\I didn't say it clearly, but...\I would like the two of you to stop walking around together outside.\But why?\Maybe you don't understand this, response:	But to begin with... you already live under the same roof, a boy and a girl...
context: Well, she's not a bad person, though.\Hmm?\Y- Yeah. That's right.\I didn't say it clearly, but...\I would like the two of you to stop walking around together outside.\But why?\Maybe you don't understand this,\But to begin with... you already live under the same roof, a boy and a girl... response:	I understand.
context: Hmm?\Y- Yeah. That's right.\I didn't say it clearly, but...\I would like the two of you to stop walking around together outside.\But why?\Maybe you don't understand this,\But to begin with... you already live under the same roof, a boy and a girl...\I understand. response:	That's a lot.
context: Y- Yeah. That's right.\I didn't say it clearly, but...\I would like the two of you to stop walking around together outside.\But why?\Maybe you don't understand this,\But to begin with... you already live under the same roof, a boy and a girl...\I understand.\That's a lot. response:	Yup, but I can't eat with boys.
context: I didn't say it clearly, but...\I would like the two of you to stop walking around together outside.\But why?\Maybe you don't understand this,\But to begin with... you already live under the same roof, a boy and a girl...\I understand.\That's a lot.\Yup, but I can't eat with boys. response:	Oh, is that so...
context: I would like the two of you to stop walking around together outside.\But why?\Maybe you don't understand this,\But to begin with... you already live under the same roof, a boy and a girl...\I understand.\That's a lot.\Yup, but I can't eat with boys.\Oh, is that so... response:	They're all liars.
context: But why?\Maybe you don't understand this,\But to begin with... you already live under the same roof, a boy and a girl...\I understand.\That's a lot.\Yup, but I can't eat with boys.\Oh, is that so...\They're all liars. response:	It's not actually red.
context: Maybe you don't understand this,\But to begin with... you already live under the same roof, a boy and a girl...\I understand.\That's a lot.\Yup, but I can't eat with boys.\Oh, is that so...\They're all liars.\It's not actually red. response:	They probably added some dye.
context: But to begin with... you already live under the same roof, a boy and a girl...\I understand.\That's a lot.\Yup, but I can't eat with boys.\Oh, is that so...\They're all liars.\It's not actually red.\They probably added some dye. response:	Captain Takaoka...
context: I understand.\That's a lot.\Yup, but I can't eat with boys.\Oh, is that so...\They're all liars.\It's not actually red.\They probably added some dye.\Captain Takaoka... response:	Lunch practice?
context: That's a lot.\Yup, but I can't eat with boys.\Oh, is that so...\They're all liars.\It's not actually red.\They probably added some dye.\Captain Takaoka...\Lunch practice? response:	Yup.
context: Yup, but I can't eat with boys.\Oh, is that so...\They're all liars.\It's not actually red.\They probably added some dye.\Captain Takaoka...\Lunch practice?\Yup. response:	Just Hiromi?
context: Oh, is that so...\They're all liars.\It's not actually red.\They probably added some dye.\Captain Takaoka...\Lunch practice?\Yup.\Just Hiromi? response:	Yup...
context: They're all liars.\It's not actually red.\They probably added some dye.\Captain Takaoka...\Lunch practice?\Yup.\Just Hiromi?\Yup... response:	Don't you think that Hiromi's been pushing herself too hard recently?
context: It's not actually red.\They probably added some dye.\Captain Takaoka...\Lunch practice?\Yup.\Just Hiromi?\Yup...\Don't you think that Hiromi's been pushing herself too hard recently? response:	Yup, let's do this.
context: They probably added some dye.\Captain Takaoka...\Lunch practice?\Yup.\Just Hiromi?\Yup...\Don't you think that Hiromi's been pushing herself too hard recently?\Yup, let's do this. response:	Geez... How did you find out about this place?
context: Captain Takaoka...\Lunch practice?\Yup.\Just Hiromi?\Yup...\Don't you think that Hiromi's been pushing herself too hard recently?\Yup, let's do this.\Geez... How did you find out about this place? response:	You were just like Raigou-maru!
context: Lunch practice?\Yup.\Just Hiromi?\Yup...\Don't you think that Hiromi's been pushing herself too hard recently?\Yup, let's do this.\Geez... How did you find out about this place?\You were just like Raigou-maru! response:	Looking cool, courageous, shining bright!
context: Yup.\Just Hiromi?\Yup...\Don't you think that Hiromi's been pushing herself too hard recently?\Yup, let's do this.\Geez... How did you find out about this place?\You were just like Raigou-maru!\Looking cool, courageous, shining bright! response:	Is that so?
context: Just Hiromi?\Yup...\Don't you think that Hiromi's been pushing herself too hard recently?\Yup, let's do this.\Geez... How did you find out about this place?\You were just like Raigou-maru!\Looking cool, courageous, shining bright!\Is that so? response:	Later, bocchan!
context: Yup...\Don't you think that Hiromi's been pushing herself too hard recently?\Yup, let's do this.\Geez... How did you find out about this place?\You were just like Raigou-maru!\Looking cool, courageous, shining bright!\Is that so?\Later, bocchan! response:	Oh, thanks for coming!
context: Don't you think that Hiromi's been pushing herself too hard recently?\Yup, let's do this.\Geez... How did you find out about this place?\You were just like Raigou-maru!\Looking cool, courageous, shining bright!\Is that so?\Later, bocchan!\Oh, thanks for coming! response:	Come on, over here.
context: Yup, let's do this.\Geez... How did you find out about this place?\You were just like Raigou-maru!\Looking cool, courageous, shining bright!\Is that so?\Later, bocchan!\Oh, thanks for coming!\Come on, over here. response:	Hey, Shinichirou.
context: Geez... How did you find out about this place?\You were just like Raigou-maru!\Looking cool, courageous, shining bright!\Is that so?\Later, bocchan!\Oh, thanks for coming!\Come on, over here.\Hey, Shinichirou. response:	It's fine if I eat with guys once in a while, right?
context: You were just like Raigou-maru!\Looking cool, courageous, shining bright!\Is that so?\Later, bocchan!\Oh, thanks for coming!\Come on, over here.\Hey, Shinichirou.\It's fine if I eat with guys once in a while, right? response:	Oh, you can't eat that one.
context: Looking cool, courageous, shining bright!\Is that so?\Later, bocchan!\Oh, thanks for coming!\Come on, over here.\Hey, Shinichirou.\It's fine if I eat with guys once in a while, right?\Oh, you can't eat that one. response:	You will only lie more if you eat food that rips people off.
context: Is that so?\Later, bocchan!\Oh, thanks for coming!\Come on, over here.\Hey, Shinichirou.\It's fine if I eat with guys once in a while, right?\Oh, you can't eat that one.\You will only lie more if you eat food that rips people off. response:	Lie?
context: Later, bocchan!\Oh, thanks for coming!\Come on, over here.\Hey, Shinichirou.\It's fine if I eat with guys once in a while, right?\Oh, you can't eat that one.\You will only lie more if you eat food that rips people off.\Lie? response:	Sausages aren't actually red.
