context: Nao? response:	Good morning, Yuki.
context: Warrant Officer Kaizuka.\Yes?\Come to the captain's quarters later. You've been requested.\Me?\Yes, it has to do with the Deucalion.\It's on its way back, apparently. To Earth.\Port Aden has been chosen as our return point.\Calculate our reentry time and report. response:	Yes, ma'am.
context: Yes?\Come to the captain's quarters later. You've been requested.\Me?\Yes, it has to do with the Deucalion.\It's on its way back, apparently. To Earth.\Port Aden has been chosen as our return point.\Calculate our reentry time and report.\Yes, ma'am. response:	Always on the move... The top brass must be trying to wring every last drop out of us.
context: Come to the captain's quarters later. You've been requested.\Me?\Yes, it has to do with the Deucalion.\It's on its way back, apparently. To Earth.\Port Aden has been chosen as our return point.\Calculate our reentry time and report.\Yes, ma'am.\Always on the move... The top brass must be trying to wring every last drop out of us. response:	Are you sure it doesn't mean that they value the Deucalion's power really highly?
context: Me?\Yes, it has to do with the Deucalion.\It's on its way back, apparently. To Earth.\Port Aden has been chosen as our return point.\Calculate our reentry time and report.\Yes, ma'am.\Always on the move... The top brass must be trying to wring every last drop out of us.\Are you sure it doesn't mean that they value the Deucalion's power really highly? response:	If anything, the vibe I get is that they don't know what to do with us.
context: Yes, it has to do with the Deucalion.\It's on its way back, apparently. To Earth.\Port Aden has been chosen as our return point.\Calculate our reentry time and report.\Yes, ma'am.\Always on the move... The top brass must be trying to wring every last drop out of us.\Are you sure it doesn't mean that they value the Deucalion's power really highly?\If anything, the vibe I get is that they don't know what to do with us. response:	I need your final approval for the resupply list, ma'am.
context: It's on its way back, apparently. To Earth.\Port Aden has been chosen as our return point.\Calculate our reentry time and report.\Yes, ma'am.\Always on the move... The top brass must be trying to wring every last drop out of us.\Are you sure it doesn't mean that they value the Deucalion's power really highly?\If anything, the vibe I get is that they don't know what to do with us.\I need your final approval for the resupply list, ma'am. response:	I finished it a while ago. Go ahead and transmit it.
context: Port Aden has been chosen as our return point.\Calculate our reentry time and report.\Yes, ma'am.\Always on the move... The top brass must be trying to wring every last drop out of us.\Are you sure it doesn't mean that they value the Deucalion's power really highly?\If anything, the vibe I get is that they don't know what to do with us.\I need your final approval for the resupply list, ma'am.\I finished it a while ago. Go ahead and transmit it. response:	Yes, ma'am.
context: Calculate our reentry time and report.\Yes, ma'am.\Always on the move... The top brass must be trying to wring every last drop out of us.\Are you sure it doesn't mean that they value the Deucalion's power really highly?\If anything, the vibe I get is that they don't know what to do with us.\I need your final approval for the resupply list, ma'am.\I finished it a while ago. Go ahead and transmit it.\Yes, ma'am. response:	Attention, all hands.
context: Yes, ma'am.\Always on the move... The top brass must be trying to wring every last drop out of us.\Are you sure it doesn't mean that they value the Deucalion's power really highly?\If anything, the vibe I get is that they don't know what to do with us.\I need your final approval for the resupply list, ma'am.\I finished it a while ago. Go ahead and transmit it.\Yes, ma'am.\Attention, all hands. response:	At 1300 hours UTC, we will begin our Earth reentry sequence as ordered.
context: Always on the move... The top brass must be trying to wring every last drop out of us.\Are you sure it doesn't mean that they value the Deucalion's power really highly?\If anything, the vibe I get is that they don't know what to do with us.\I need your final approval for the resupply list, ma'am.\I finished it a while ago. Go ahead and transmit it.\Yes, ma'am.\Attention, all hands.\At 1300 hours UTC, we will begin our Earth reentry sequence as ordered. response:	That's Calvados.
context: Are you sure it doesn't mean that they value the Deucalion's power really highly?\If anything, the vibe I get is that they don't know what to do with us.\I need your final approval for the resupply list, ma'am.\I finished it a while ago. Go ahead and transmit it.\Yes, ma'am.\Attention, all hands.\At 1300 hours UTC, we will begin our Earth reentry sequence as ordered.\That's Calvados. response:	Thank you, but no.
context: If anything, the vibe I get is that they don't know what to do with us.\I need your final approval for the resupply list, ma'am.\I finished it a while ago. Go ahead and transmit it.\Yes, ma'am.\Attention, all hands.\At 1300 hours UTC, we will begin our Earth reentry sequence as ordered.\That's Calvados.\Thank you, but no. response:	I see.
context: I need your final approval for the resupply list, ma'am.\I finished it a while ago. Go ahead and transmit it.\Yes, ma'am.\Attention, all hands.\At 1300 hours UTC, we will begin our Earth reentry sequence as ordered.\That's Calvados.\Thank you, but no.\I see. response:	So, is it true that we'll be acting as the Deucalion's escort?
context: I finished it a while ago. Go ahead and transmit it.\Yes, ma'am.\Attention, all hands.\At 1300 hours UTC, we will begin our Earth reentry sequence as ordered.\That's Calvados.\Thank you, but no.\I see.\So, is it true that we'll be acting as the Deucalion's escort? response:	It's temporary. It's only while they take on supplies and make repairs.
context: Yes, ma'am.\Attention, all hands.\At 1300 hours UTC, we will begin our Earth reentry sequence as ordered.\That's Calvados.\Thank you, but no.\I see.\So, is it true that we'll be acting as the Deucalion's escort?\It's temporary. It's only while they take on supplies and make repairs. response:	Plus, the base they're assigned to isn't very far from here.
context: Attention, all hands.\At 1300 hours UTC, we will begin our Earth reentry sequence as ordered.\That's Calvados.\Thank you, but no.\I see.\So, is it true that we'll be acting as the Deucalion's escort?\It's temporary. It's only while they take on supplies and make repairs.\Plus, the base they're assigned to isn't very far from here. response:	It's not like you two don't have ties to that ship, right?
context: At 1300 hours UTC, we will begin our Earth reentry sequence as ordered.\That's Calvados.\Thank you, but no.\I see.\So, is it true that we'll be acting as the Deucalion's escort?\It's temporary. It's only while they take on supplies and make repairs.\Plus, the base they're assigned to isn't very far from here.\It's not like you two don't have ties to that ship, right? response:	Though I hear that you were supposed to serve aboard her, but turned it down.
context: That's Calvados.\Thank you, but no.\I see.\So, is it true that we'll be acting as the Deucalion's escort?\It's temporary. It's only while they take on supplies and make repairs.\Plus, the base they're assigned to isn't very far from here.\It's not like you two don't have ties to that ship, right?\Though I hear that you were supposed to serve aboard her, but turned it down. response:	Being on that ship only opens up old wounds.
context: Thank you, but no.\I see.\So, is it true that we'll be acting as the Deucalion's escort?\It's temporary. It's only while they take on supplies and make repairs.\Plus, the base they're assigned to isn't very far from here.\It's not like you two don't have ties to that ship, right?\Though I hear that you were supposed to serve aboard her, but turned it down.\Being on that ship only opens up old wounds. response:	I understand that your younger brother serves aboard her.
context: I see.\So, is it true that we'll be acting as the Deucalion's escort?\It's temporary. It's only while they take on supplies and make repairs.\Plus, the base they're assigned to isn't very far from here.\It's not like you two don't have ties to that ship, right?\Though I hear that you were supposed to serve aboard her, but turned it down.\Being on that ship only opens up old wounds.\I understand that your younger brother serves aboard her. response:	His exploits have been quite something, I hear.
context: So, is it true that we'll be acting as the Deucalion's escort?\It's temporary. It's only while they take on supplies and make repairs.\Plus, the base they're assigned to isn't very far from here.\It's not like you two don't have ties to that ship, right?\Though I hear that you were supposed to serve aboard her, but turned it down.\Being on that ship only opens up old wounds.\I understand that your younger brother serves aboard her.\His exploits have been quite something, I hear. response:	Yes, I suppose...
context: It's temporary. It's only while they take on supplies and make repairs.\Plus, the base they're assigned to isn't very far from here.\It's not like you two don't have ties to that ship, right?\Though I hear that you were supposed to serve aboard her, but turned it down.\Being on that ship only opens up old wounds.\I understand that your younger brother serves aboard her.\His exploits have been quite something, I hear.\Yes, I suppose... response:	May I?
context: Plus, the base they're assigned to isn't very far from here.\It's not like you two don't have ties to that ship, right?\Though I hear that you were supposed to serve aboard her, but turned it down.\Being on that ship only opens up old wounds.\I understand that your younger brother serves aboard her.\His exploits have been quite something, I hear.\Yes, I suppose...\May I? response:	Of course.
context: It's not like you two don't have ties to that ship, right?\Though I hear that you were supposed to serve aboard her, but turned it down.\Being on that ship only opens up old wounds.\I understand that your younger brother serves aboard her.\His exploits have been quite something, I hear.\Yes, I suppose...\May I?\Of course. response:	What did the other nobles do afterwards?
context: Though I hear that you were supposed to serve aboard her, but turned it down.\Being on that ship only opens up old wounds.\I understand that your younger brother serves aboard her.\His exploits have been quite something, I hear.\Yes, I suppose...\May I?\Of course.\What did the other nobles do afterwards? response:	I'm told that none of them are openly expressing opposition.
context: Being on that ship only opens up old wounds.\I understand that your younger brother serves aboard her.\His exploits have been quite something, I hear.\Yes, I suppose...\May I?\Of course.\What did the other nobles do afterwards?\I'm told that none of them are openly expressing opposition. response:	In Harklight's opinion.
context: I understand that your younger brother serves aboard her.\His exploits have been quite something, I hear.\Yes, I suppose...\May I?\Of course.\What did the other nobles do afterwards?\I'm told that none of them are openly expressing opposition.\In Harklight's opinion. response:	Do you also believe that, Slaine?
context: His exploits have been quite something, I hear.\Yes, I suppose...\May I?\Of course.\What did the other nobles do afterwards?\I'm told that none of them are openly expressing opposition.\In Harklight's opinion.\Do you also believe that, Slaine? response:	No.
context: Yes, I suppose...\May I?\Of course.\What did the other nobles do afterwards?\I'm told that none of them are openly expressing opposition.\In Harklight's opinion.\Do you also believe that, Slaine?\No. response:	They are only holding their tongues for the time being, thinking it distasteful
context: May I?\Of course.\What did the other nobles do afterwards?\I'm told that none of them are openly expressing opposition.\In Harklight's opinion.\Do you also believe that, Slaine?\No.\They are only holding their tongues for the time being, thinking it distasteful response:	to raise objections while the count is still being mourned.
context: Of course.\What did the other nobles do afterwards?\I'm told that none of them are openly expressing opposition.\In Harklight's opinion.\Do you also believe that, Slaine?\No.\They are only holding their tongues for the time being, thinking it distasteful\to raise objections while the count is still being mourned. response:	It is an undeniable fact that Count Saazbaum's death is a great loss to Vers.
context: What did the other nobles do afterwards?\I'm told that none of them are openly expressing opposition.\In Harklight's opinion.\Do you also believe that, Slaine?\No.\They are only holding their tongues for the time being, thinking it distasteful\to raise objections while the count is still being mourned.\It is an undeniable fact that Count Saazbaum's death is a great loss to Vers. response:	I am the result of an indiscretion committed on the Moon
context: I'm told that none of them are openly expressing opposition.\In Harklight's opinion.\Do you also believe that, Slaine?\No.\They are only holding their tongues for the time being, thinking it distasteful\to raise objections while the count is still being mourned.\It is an undeniable fact that Count Saazbaum's death is a great loss to Vers.\I am the result of an indiscretion committed on the Moon response:	by my father, Gillzeria, the second emperor.
context: In Harklight's opinion.\Do you also believe that, Slaine?\No.\They are only holding their tongues for the time being, thinking it distasteful\to raise objections while the count is still being mourned.\It is an undeniable fact that Count Saazbaum's death is a great loss to Vers.\I am the result of an indiscretion committed on the Moon\by my father, Gillzeria, the second emperor. response:	Father perished as a result of his second sin, Heaven's Fall,
context: Do you also believe that, Slaine?\No.\They are only holding their tongues for the time being, thinking it distasteful\to raise objections while the count is still being mourned.\It is an undeniable fact that Count Saazbaum's death is a great loss to Vers.\I am the result of an indiscretion committed on the Moon\by my father, Gillzeria, the second emperor.\Father perished as a result of his second sin, Heaven's Fall, response:	and the Moon we now stand on was shattered.
context: No.\They are only holding their tongues for the time being, thinking it distasteful\to raise objections while the count is still being mourned.\It is an undeniable fact that Count Saazbaum's death is a great loss to Vers.\I am the result of an indiscretion committed on the Moon\by my father, Gillzeria, the second emperor.\Father perished as a result of his second sin, Heaven's Fall,\and the Moon we now stand on was shattered. response:	Count Saazbaum found me and offered his allegiance when I had lost my family.
context: They are only holding their tongues for the time being, thinking it distasteful\to raise objections while the count is still being mourned.\It is an undeniable fact that Count Saazbaum's death is a great loss to Vers.\I am the result of an indiscretion committed on the Moon\by my father, Gillzeria, the second emperor.\Father perished as a result of his second sin, Heaven's Fall,\and the Moon we now stand on was shattered.\Count Saazbaum found me and offered his allegiance when I had lost my family. response:	Although I never truly knew what he was thinking deep down.
context: to raise objections while the count is still being mourned.\It is an undeniable fact that Count Saazbaum's death is a great loss to Vers.\I am the result of an indiscretion committed on the Moon\by my father, Gillzeria, the second emperor.\Father perished as a result of his second sin, Heaven's Fall,\and the Moon we now stand on was shattered.\Count Saazbaum found me and offered his allegiance when I had lost my family.\Although I never truly knew what he was thinking deep down. response:	But that is fine.
context: It is an undeniable fact that Count Saazbaum's death is a great loss to Vers.\I am the result of an indiscretion committed on the Moon\by my father, Gillzeria, the second emperor.\Father perished as a result of his second sin, Heaven's Fall,\and the Moon we now stand on was shattered.\Count Saazbaum found me and offered his allegiance when I had lost my family.\Although I never truly knew what he was thinking deep down.\But that is fine. response:	It is actually more difficult to trust those who have no talent for scheming.
context: I am the result of an indiscretion committed on the Moon\by my father, Gillzeria, the second emperor.\Father perished as a result of his second sin, Heaven's Fall,\and the Moon we now stand on was shattered.\Count Saazbaum found me and offered his allegiance when I had lost my family.\Although I never truly knew what he was thinking deep down.\But that is fine.\It is actually more difficult to trust those who have no talent for scheming. response:	Like it or not, you will have to bear the brunt of their jealousy and envy, Slaine.
context: by my father, Gillzeria, the second emperor.\Father perished as a result of his second sin, Heaven's Fall,\and the Moon we now stand on was shattered.\Count Saazbaum found me and offered his allegiance when I had lost my family.\Although I never truly knew what he was thinking deep down.\But that is fine.\It is actually more difficult to trust those who have no talent for scheming.\Like it or not, you will have to bear the brunt of their jealousy and envy, Slaine. response:	You have inherited all of Count Saazbaum's privileges...
context: Father perished as a result of his second sin, Heaven's Fall,\and the Moon we now stand on was shattered.\Count Saazbaum found me and offered his allegiance when I had lost my family.\Although I never truly knew what he was thinking deep down.\But that is fine.\It is actually more difficult to trust those who have no talent for scheming.\Like it or not, you will have to bear the brunt of their jealousy and envy, Slaine.\You have inherited all of Count Saazbaum's privileges... response:	As well as his status as Princess Asseylum's guardian.
context: and the Moon we now stand on was shattered.\Count Saazbaum found me and offered his allegiance when I had lost my family.\Although I never truly knew what he was thinking deep down.\But that is fine.\It is actually more difficult to trust those who have no talent for scheming.\Like it or not, you will have to bear the brunt of their jealousy and envy, Slaine.\You have inherited all of Count Saazbaum's privileges...\As well as his status as Princess Asseylum's guardian. response:	I am prepared.
context: Count Saazbaum found me and offered his allegiance when I had lost my family.\Although I never truly knew what he was thinking deep down.\But that is fine.\It is actually more difficult to trust those who have no talent for scheming.\Like it or not, you will have to bear the brunt of their jealousy and envy, Slaine.\You have inherited all of Count Saazbaum's privileges...\As well as his status as Princess Asseylum's guardian.\I am prepared. response:	But it is a grave responsibility that deserves to be envied.
context: Although I never truly knew what he was thinking deep down.\But that is fine.\It is actually more difficult to trust those who have no talent for scheming.\Like it or not, you will have to bear the brunt of their jealousy and envy, Slaine.\You have inherited all of Count Saazbaum's privileges...\As well as his status as Princess Asseylum's guardian.\I am prepared.\But it is a grave responsibility that deserves to be envied. response:	That outfit looks quite good on you.
context: But that is fine.\It is actually more difficult to trust those who have no talent for scheming.\Like it or not, you will have to bear the brunt of their jealousy and envy, Slaine.\You have inherited all of Count Saazbaum's privileges...\As well as his status as Princess Asseylum's guardian.\I am prepared.\But it is a grave responsibility that deserves to be envied.\That outfit looks quite good on you. response:	Do not forget.
context: It is actually more difficult to trust those who have no talent for scheming.\Like it or not, you will have to bear the brunt of their jealousy and envy, Slaine.\You have inherited all of Count Saazbaum's privileges...\As well as his status as Princess Asseylum's guardian.\I am prepared.\But it is a grave responsibility that deserves to be envied.\That outfit looks quite good on you.\Do not forget. response:	The princess that you must protect now is right before you.
context: Like it or not, you will have to bear the brunt of their jealousy and envy, Slaine.\You have inherited all of Count Saazbaum's privileges...\As well as his status as Princess Asseylum's guardian.\I am prepared.\But it is a grave responsibility that deserves to be envied.\That outfit looks quite good on you.\Do not forget.\The princess that you must protect now is right before you. response:	I am keenly aware of that.
context: You have inherited all of Count Saazbaum's privileges...\As well as his status as Princess Asseylum's guardian.\I am prepared.\But it is a grave responsibility that deserves to be envied.\That outfit looks quite good on you.\Do not forget.\The princess that you must protect now is right before you.\I am keenly aware of that. response:	To think that he named some nobody as his successor,
context: As well as his status as Princess Asseylum's guardian.\I am prepared.\But it is a grave responsibility that deserves to be envied.\That outfit looks quite good on you.\Do not forget.\The princess that you must protect now is right before you.\I am keenly aware of that.\To think that he named some nobody as his successor, response:	only to die an untimely death immediately afterward.
context: I am prepared.\But it is a grave responsibility that deserves to be envied.\That outfit looks quite good on you.\Do not forget.\The princess that you must protect now is right before you.\I am keenly aware of that.\To think that he named some nobody as his successor,\only to die an untimely death immediately afterward. response:	Count Saazbaum had terrible luck.
context: But it is a grave responsibility that deserves to be envied.\That outfit looks quite good on you.\Do not forget.\The princess that you must protect now is right before you.\I am keenly aware of that.\To think that he named some nobody as his successor,\only to die an untimely death immediately afterward.\Count Saazbaum had terrible luck. response:	Perhaps it was comeuppance for his folly.
context: That outfit looks quite good on you.\Do not forget.\The princess that you must protect now is right before you.\I am keenly aware of that.\To think that he named some nobody as his successor,\only to die an untimely death immediately afterward.\Count Saazbaum had terrible luck.\Perhaps it was comeuppance for his folly. response:	He may have been caught off guard and killed.
context: Do not forget.\The princess that you must protect now is right before you.\I am keenly aware of that.\To think that he named some nobody as his successor,\only to die an untimely death immediately afterward.\Count Saazbaum had terrible luck.\Perhaps it was comeuppance for his folly.\He may have been caught off guard and killed. response:	Are you suggesting that Count Saazbaum was betrayed?
context: The princess that you must protect now is right before you.\I am keenly aware of that.\To think that he named some nobody as his successor,\only to die an untimely death immediately afterward.\Count Saazbaum had terrible luck.\Perhaps it was comeuppance for his folly.\He may have been caught off guard and killed.\Are you suggesting that Count Saazbaum was betrayed? response:	Enough.
context: I am keenly aware of that.\To think that he named some nobody as his successor,\only to die an untimely death immediately afterward.\Count Saazbaum had terrible luck.\Perhaps it was comeuppance for his folly.\He may have been caught off guard and killed.\Are you suggesting that Count Saazbaum was betrayed?\Enough. response:	Without any hard evidence, it will sound like nothing more than idle gossip.
context: To think that he named some nobody as his successor,\only to die an untimely death immediately afterward.\Count Saazbaum had terrible luck.\Perhaps it was comeuppance for his folly.\He may have been caught off guard and killed.\Are you suggesting that Count Saazbaum was betrayed?\Enough.\Without any hard evidence, it will sound like nothing more than idle gossip. response:	Whatever the case, the dignity of all knights is at stake!
context: only to die an untimely death immediately afterward.\Count Saazbaum had terrible luck.\Perhaps it was comeuppance for his folly.\He may have been caught off guard and killed.\Are you suggesting that Count Saazbaum was betrayed?\Enough.\Without any hard evidence, it will sound like nothing more than idle gossip.\Whatever the case, the dignity of all knights is at stake! response:	We mustn't allow him to continue to do as he pleases.
context: Count Saazbaum had terrible luck.\Perhaps it was comeuppance for his folly.\He may have been caught off guard and killed.\Are you suggesting that Count Saazbaum was betrayed?\Enough.\Without any hard evidence, it will sound like nothing more than idle gossip.\Whatever the case, the dignity of all knights is at stake!\We mustn't allow him to continue to do as he pleases. response:	Count Mazuurek,
context: Perhaps it was comeuppance for his folly.\He may have been caught off guard and killed.\Are you suggesting that Count Saazbaum was betrayed?\Enough.\Without any hard evidence, it will sound like nothing more than idle gossip.\Whatever the case, the dignity of all knights is at stake!\We mustn't allow him to continue to do as he pleases.\Count Mazuurek, response:	I am aware that you go out of your way to avoid destructive acts of aggression
context: He may have been caught off guard and killed.\Are you suggesting that Count Saazbaum was betrayed?\Enough.\Without any hard evidence, it will sound like nothing more than idle gossip.\Whatever the case, the dignity of all knights is at stake!\We mustn't allow him to continue to do as he pleases.\Count Mazuurek,\I am aware that you go out of your way to avoid destructive acts of aggression response:	because your priority is on seizing Earth's resources.
context: Are you suggesting that Count Saazbaum was betrayed?\Enough.\Without any hard evidence, it will sound like nothing more than idle gossip.\Whatever the case, the dignity of all knights is at stake!\We mustn't allow him to continue to do as he pleases.\Count Mazuurek,\I am aware that you go out of your way to avoid destructive acts of aggression\because your priority is on seizing Earth's resources. response:	No, I am not criticizing you for taking such a position.
context: Enough.\Without any hard evidence, it will sound like nothing more than idle gossip.\Whatever the case, the dignity of all knights is at stake!\We mustn't allow him to continue to do as he pleases.\Count Mazuurek,\I am aware that you go out of your way to avoid destructive acts of aggression\because your priority is on seizing Earth's resources.\No, I am not criticizing you for taking such a position. response:	However, now is the time to press on with the invasion of Earth, by force if necessary!
context: Without any hard evidence, it will sound like nothing more than idle gossip.\Whatever the case, the dignity of all knights is at stake!\We mustn't allow him to continue to do as he pleases.\Count Mazuurek,\I am aware that you go out of your way to avoid destructive acts of aggression\because your priority is on seizing Earth's resources.\No, I am not criticizing you for taking such a position.\However, now is the time to press on with the invasion of Earth, by force if necessary! response:	If this continues, the authority of the knight order known as the 37 Clans will decline further.
context: Whatever the case, the dignity of all knights is at stake!\We mustn't allow him to continue to do as he pleases.\Count Mazuurek,\I am aware that you go out of your way to avoid destructive acts of aggression\because your priority is on seizing Earth's resources.\No, I am not criticizing you for taking such a position.\However, now is the time to press on with the invasion of Earth, by force if necessary!\If this continues, the authority of the knight order known as the 37 Clans will decline further. response:	This calls for a faction that will set aside their power struggles and work together.
context: We mustn't allow him to continue to do as he pleases.\Count Mazuurek,\I am aware that you go out of your way to avoid destructive acts of aggression\because your priority is on seizing Earth's resources.\No, I am not criticizing you for taking such a position.\However, now is the time to press on with the invasion of Earth, by force if necessary!\If this continues, the authority of the knight order known as the 37 Clans will decline further.\This calls for a faction that will set aside their power struggles and work together. response:	What are your thoughts, Count Mazuurek?
context: Count Mazuurek,\I am aware that you go out of your way to avoid destructive acts of aggression\because your priority is on seizing Earth's resources.\No, I am not criticizing you for taking such a position.\However, now is the time to press on with the invasion of Earth, by force if necessary!\If this continues, the authority of the knight order known as the 37 Clans will decline further.\This calls for a faction that will set aside their power struggles and work together.\What are your thoughts, Count Mazuurek? response:	It is a poor knight indeed who slays one who defies him.
context: I am aware that you go out of your way to avoid destructive acts of aggression\because your priority is on seizing Earth's resources.\No, I am not criticizing you for taking such a position.\However, now is the time to press on with the invasion of Earth, by force if necessary!\If this continues, the authority of the knight order known as the 37 Clans will decline further.\This calls for a faction that will set aside their power struggles and work together.\What are your thoughts, Count Mazuurek?\It is a poor knight indeed who slays one who defies him. response:	The key is to show yourself to be so superior that they will not defy you in the first place.
context: because your priority is on seizing Earth's resources.\No, I am not criticizing you for taking such a position.\However, now is the time to press on with the invasion of Earth, by force if necessary!\If this continues, the authority of the knight order known as the 37 Clans will decline further.\This calls for a faction that will set aside their power struggles and work together.\What are your thoughts, Count Mazuurek?\It is a poor knight indeed who slays one who defies him.\The key is to show yourself to be so superior that they will not defy you in the first place. response:	Wise words, Milord.
context: No, I am not criticizing you for taking such a position.\However, now is the time to press on with the invasion of Earth, by force if necessary!\If this continues, the authority of the knight order known as the 37 Clans will decline further.\This calls for a faction that will set aside their power struggles and work together.\What are your thoughts, Count Mazuurek?\It is a poor knight indeed who slays one who defies him.\The key is to show yourself to be so superior that they will not defy you in the first place.\Wise words, Milord. response:	Count Saazbaum spoke them.
context: However, now is the time to press on with the invasion of Earth, by force if necessary!\If this continues, the authority of the knight order known as the 37 Clans will decline further.\This calls for a faction that will set aside their power struggles and work together.\What are your thoughts, Count Mazuurek?\It is a poor knight indeed who slays one who defies him.\The key is to show yourself to be so superior that they will not defy you in the first place.\Wise words, Milord.\Count Saazbaum spoke them. response:	Which is why I must give them a reminder.
context: If this continues, the authority of the knight order known as the 37 Clans will decline further.\This calls for a faction that will set aside their power struggles and work together.\What are your thoughts, Count Mazuurek?\It is a poor knight indeed who slays one who defies him.\The key is to show yourself to be so superior that they will not defy you in the first place.\Wise words, Milord.\Count Saazbaum spoke them.\Which is why I must give them a reminder. response:	Condition, generally satisfactory.
context: This calls for a faction that will set aside their power struggles and work together.\What are your thoughts, Count Mazuurek?\It is a poor knight indeed who slays one who defies him.\The key is to show yourself to be so superior that they will not defy you in the first place.\Wise words, Milord.\Count Saazbaum spoke them.\Which is why I must give them a reminder.\Condition, generally satisfactory. response:	I'm not seeing anything in particular that concerns me.
context: What are your thoughts, Count Mazuurek?\It is a poor knight indeed who slays one who defies him.\The key is to show yourself to be so superior that they will not defy you in the first place.\Wise words, Milord.\Count Saazbaum spoke them.\Which is why I must give them a reminder.\Condition, generally satisfactory.\I'm not seeing anything in particular that concerns me. response:	That's what I've been saying. I wish you'd cut me loose already.
context: It is a poor knight indeed who slays one who defies him.\The key is to show yourself to be so superior that they will not defy you in the first place.\Wise words, Milord.\Count Saazbaum spoke them.\Which is why I must give them a reminder.\Condition, generally satisfactory.\I'm not seeing anything in particular that concerns me.\That's what I've been saying. I wish you'd cut me loose already. response:	Incidentally, what is happening with the war?
context: The key is to show yourself to be so superior that they will not defy you in the first place.\Wise words, Milord.\Count Saazbaum spoke them.\Which is why I must give them a reminder.\Condition, generally satisfactory.\I'm not seeing anything in particular that concerns me.\That's what I've been saying. I wish you'd cut me loose already.\Incidentally, what is happening with the war? response:	I would have thought that they would be coming at us relentlessly.
context: Wise words, Milord.\Count Saazbaum spoke them.\Which is why I must give them a reminder.\Condition, generally satisfactory.\I'm not seeing anything in particular that concerns me.\That's what I've been saying. I wish you'd cut me loose already.\Incidentally, what is happening with the war?\I would have thought that they would be coming at us relentlessly. response:	After all, the odds of reconciliation are effectively nil now.
context: Count Saazbaum spoke them.\Which is why I must give them a reminder.\Condition, generally satisfactory.\I'm not seeing anything in particular that concerns me.\That's what I've been saying. I wish you'd cut me loose already.\Incidentally, what is happening with the war?\I would have thought that they would be coming at us relentlessly.\After all, the odds of reconciliation are effectively nil now. response:	Mars isn't monolithic.
context: Which is why I must give them a reminder.\Condition, generally satisfactory.\I'm not seeing anything in particular that concerns me.\That's what I've been saying. I wish you'd cut me loose already.\Incidentally, what is happening with the war?\I would have thought that they would be coming at us relentlessly.\After all, the odds of reconciliation are effectively nil now.\Mars isn't monolithic. response:	Sure, some of them attacked purely out of hatred of Earth,
context: Condition, generally satisfactory.\I'm not seeing anything in particular that concerns me.\That's what I've been saying. I wish you'd cut me loose already.\Incidentally, what is happening with the war?\I would have thought that they would be coming at us relentlessly.\After all, the odds of reconciliation are effectively nil now.\Mars isn't monolithic.\Sure, some of them attacked purely out of hatred of Earth, response:	but some of them would rather seize it for our natural resources.
