context: And finally, I'll sprinkle on some herbs... response:	Yes, come in!
context: In other words, you snuck out when you were supposed to be doing deskwork?\Yeah, well.\I hadn't seen your face in a while, either.\I could finally see you, Shirayuki.\Prince Zen! Where are you?\You must've come here for a reason, right, Shirayuki?\Uh, yeah. You told me to tell you when I was going outside of town, right?\That's why- response:	-All right, let's go! Right now! -Huh?
context: Yeah, well.\I hadn't seen your face in a while, either.\I could finally see you, Shirayuki.\Prince Zen! Where are you?\You must've come here for a reason, right, Shirayuki?\Uh, yeah. You told me to tell you when I was going outside of town, right?\That's why-\-All right, let's go! Right now! -Huh? response:	Hey, you guys, make something up to tell Mitsuhide for me.
context: I hadn't seen your face in a while, either.\I could finally see you, Shirayuki.\Prince Zen! Where are you?\You must've come here for a reason, right, Shirayuki?\Uh, yeah. You told me to tell you when I was going outside of town, right?\That's why-\-All right, let's go! Right now! -Huh?\Hey, you guys, make something up to tell Mitsuhide for me. response:	Y-Yes, sir!
context: I could finally see you, Shirayuki.\Prince Zen! Where are you?\You must've come here for a reason, right, Shirayuki?\Uh, yeah. You told me to tell you when I was going outside of town, right?\That's why-\-All right, let's go! Right now! -Huh?\Hey, you guys, make something up to tell Mitsuhide for me.\Y-Yes, sir! response:	Oh, excuse me!
context: Prince Zen! Where are you?\You must've come here for a reason, right, Shirayuki?\Uh, yeah. You told me to tell you when I was going outside of town, right?\That's why-\-All right, let's go! Right now! -Huh?\Hey, you guys, make something up to tell Mitsuhide for me.\Y-Yes, sir!\Oh, excuse me! response:	Prince Zen! Where are-
context: You must've come here for a reason, right, Shirayuki?\Uh, yeah. You told me to tell you when I was going outside of town, right?\That's why-\-All right, let's go! Right now! -Huh?\Hey, you guys, make something up to tell Mitsuhide for me.\Y-Yes, sir!\Oh, excuse me!\Prince Zen! Where are- response:	Mount Koto?
context: Uh, yeah. You told me to tell you when I was going outside of town, right?\That's why-\-All right, let's go! Right now! -Huh?\Hey, you guys, make something up to tell Mitsuhide for me.\Y-Yes, sir!\Oh, excuse me!\Prince Zen! Where are-\Mount Koto? response:	Yeah.
context: That's why-\-All right, let's go! Right now! -Huh?\Hey, you guys, make something up to tell Mitsuhide for me.\Y-Yes, sir!\Oh, excuse me!\Prince Zen! Where are-\Mount Koto?\Yeah. response:	The mountain beyond the sea, huh?
context: -All right, let's go! Right now! -Huh?\Hey, you guys, make something up to tell Mitsuhide for me.\Y-Yes, sir!\Oh, excuse me!\Prince Zen! Where are-\Mount Koto?\Yeah.\The mountain beyond the sea, huh? response:	What are you going to a place like that for?
context: Hey, you guys, make something up to tell Mitsuhide for me.\Y-Yes, sir!\Oh, excuse me!\Prince Zen! Where are-\Mount Koto?\Yeah.\The mountain beyond the sea, huh?\What are you going to a place like that for? response:	I heard that a lot of medicinal herbs grow there.
context: Y-Yes, sir!\Oh, excuse me!\Prince Zen! Where are-\Mount Koto?\Yeah.\The mountain beyond the sea, huh?\What are you going to a place like that for?\I heard that a lot of medicinal herbs grow there. response:	I want to stock up and study more about medicine,
context: Oh, excuse me!\Prince Zen! Where are-\Mount Koto?\Yeah.\The mountain beyond the sea, huh?\What are you going to a place like that for?\I heard that a lot of medicinal herbs grow there.\I want to stock up and study more about medicine, response:	so the town pharmacist told me of a few promising places.
context: Prince Zen! Where are-\Mount Koto?\Yeah.\The mountain beyond the sea, huh?\What are you going to a place like that for?\I heard that a lot of medicinal herbs grow there.\I want to stock up and study more about medicine,\so the town pharmacist told me of a few promising places. response:	Oh, study? But aren't you already an herbalist?
context: Mount Koto?\Yeah.\The mountain beyond the sea, huh?\What are you going to a place like that for?\I heard that a lot of medicinal herbs grow there.\I want to stock up and study more about medicine,\so the town pharmacist told me of a few promising places.\Oh, study? But aren't you already an herbalist? response:	Yeah, but there's still a lot I don't know.
context: Yeah.\The mountain beyond the sea, huh?\What are you going to a place like that for?\I heard that a lot of medicinal herbs grow there.\I want to stock up and study more about medicine,\so the town pharmacist told me of a few promising places.\Oh, study? But aren't you already an herbalist?\Yeah, but there's still a lot I don't know. response:	I have to learn more and more!
context: The mountain beyond the sea, huh?\What are you going to a place like that for?\I heard that a lot of medicinal herbs grow there.\I want to stock up and study more about medicine,\so the town pharmacist told me of a few promising places.\Oh, study? But aren't you already an herbalist?\Yeah, but there's still a lot I don't know.\I have to learn more and more! response:	Then, I'll bring you to the forest here tomorrow.
context: What are you going to a place like that for?\I heard that a lot of medicinal herbs grow there.\I want to stock up and study more about medicine,\so the town pharmacist told me of a few promising places.\Oh, study? But aren't you already an herbalist?\Yeah, but there's still a lot I don't know.\I have to learn more and more!\Then, I'll bring you to the forest here tomorrow. response:	Really?
context: I heard that a lot of medicinal herbs grow there.\I want to stock up and study more about medicine,\so the town pharmacist told me of a few promising places.\Oh, study? But aren't you already an herbalist?\Yeah, but there's still a lot I don't know.\I have to learn more and more!\Then, I'll bring you to the forest here tomorrow.\Really? response:	Yeah.
context: I want to stock up and study more about medicine,\so the town pharmacist told me of a few promising places.\Oh, study? But aren't you already an herbalist?\Yeah, but there's still a lot I don't know.\I have to learn more and more!\Then, I'll bring you to the forest here tomorrow.\Really?\Yeah. response:	Thanks!
context: so the town pharmacist told me of a few promising places.\Oh, study? But aren't you already an herbalist?\Yeah, but there's still a lot I don't know.\I have to learn more and more!\Then, I'll bring you to the forest here tomorrow.\Really?\Yeah.\Thanks! response:	Clarines is a nice place.
context: Oh, study? But aren't you already an herbalist?\Yeah, but there's still a lot I don't know.\I have to learn more and more!\Then, I'll bring you to the forest here tomorrow.\Really?\Yeah.\Thanks!\Clarines is a nice place. response:	Huh?
context: Yeah, but there's still a lot I don't know.\I have to learn more and more!\Then, I'll bring you to the forest here tomorrow.\Really?\Yeah.\Thanks!\Clarines is a nice place.\Huh? response:	It's very charming.
context: I have to learn more and more!\Then, I'll bring you to the forest here tomorrow.\Really?\Yeah.\Thanks!\Clarines is a nice place.\Huh?\It's very charming. response:	It's bright red.
context: Then, I'll bring you to the forest here tomorrow.\Really?\Yeah.\Thanks!\Clarines is a nice place.\Huh?\It's very charming.\It's bright red. response:	Hey Mom, why's it so red?
context: Really?\Yeah.\Thanks!\Clarines is a nice place.\Huh?\It's very charming.\It's bright red.\Hey Mom, why's it so red? response:	That lady's hair is bright red!
context: Yeah.\Thanks!\Clarines is a nice place.\Huh?\It's very charming.\It's bright red.\Hey Mom, why's it so red?\That lady's hair is bright red! response:	Why? Why?
context: Thanks!\Clarines is a nice place.\Huh?\It's very charming.\It's bright red.\Hey Mom, why's it so red?\That lady's hair is bright red!\Why? Why? response:	Shh! Stop it. Eat your food quietly!
context: Clarines is a nice place.\Huh?\It's very charming.\It's bright red.\Hey Mom, why's it so red?\That lady's hair is bright red!\Why? Why?\Shh! Stop it. Eat your food quietly! response:	Jeez...
context: Huh?\It's very charming.\It's bright red.\Hey Mom, why's it so red?\That lady's hair is bright red!\Why? Why?\Shh! Stop it. Eat your food quietly!\Jeez... response:	It looks delicious, like an apple, doesn't it?
context: It's very charming.\It's bright red.\Hey Mom, why's it so red?\That lady's hair is bright red!\Why? Why?\Shh! Stop it. Eat your food quietly!\Jeez...\It looks delicious, like an apple, doesn't it? response:	Yeah!
context: It's bright red.\Hey Mom, why's it so red?\That lady's hair is bright red!\Why? Why?\Shh! Stop it. Eat your food quietly!\Jeez...\It looks delicious, like an apple, doesn't it?\Yeah! response:	I wanna eat it!
context: Hey Mom, why's it so red?\That lady's hair is bright red!\Why? Why?\Shh! Stop it. Eat your food quietly!\Jeez...\It looks delicious, like an apple, doesn't it?\Yeah!\I wanna eat it! response:	Hey Mom, I want to eat an apple now! Let's go eat one!
context: That lady's hair is bright red!\Why? Why?\Shh! Stop it. Eat your food quietly!\Jeez...\It looks delicious, like an apple, doesn't it?\Yeah!\I wanna eat it!\Hey Mom, I want to eat an apple now! Let's go eat one! response:	O-Okay...
context: Why? Why?\Shh! Stop it. Eat your food quietly!\Jeez...\It looks delicious, like an apple, doesn't it?\Yeah!\I wanna eat it!\Hey Mom, I want to eat an apple now! Let's go eat one!\O-Okay... response:	Yay! Apple, apple...!
context: Shh! Stop it. Eat your food quietly!\Jeez...\It looks delicious, like an apple, doesn't it?\Yeah!\I wanna eat it!\Hey Mom, I want to eat an apple now! Let's go eat one!\O-Okay...\Yay! Apple, apple...! response:	Wow, it's so busy!
context: Jeez...\It looks delicious, like an apple, doesn't it?\Yeah!\I wanna eat it!\Hey Mom, I want to eat an apple now! Let's go eat one!\O-Okay...\Yay! Apple, apple...!\Wow, it's so busy! response:	It's because people from different countries come and go here.
context: It looks delicious, like an apple, doesn't it?\Yeah!\I wanna eat it!\Hey Mom, I want to eat an apple now! Let's go eat one!\O-Okay...\Yay! Apple, apple...!\Wow, it's so busy!\It's because people from different countries come and go here. response:	All the different cultures are mixed together.
