context: Was it last year? response:	When we were having a competition with Hotarugawa,
context: Hey-\Ai-chan!\Hurry, hurry!\Hey, what about this one?\Ah, looks nice.\And this...?\Fits you.\And this one? response:	It might be nice!
context: Ai-chan!\Hurry, hurry!\Hey, what about this one?\Ah, looks nice.\And this...?\Fits you.\And this one?\It might be nice! response:	Couldn't you pay more attention?
context: Hurry, hurry!\Hey, what about this one?\Ah, looks nice.\And this...?\Fits you.\And this one?\It might be nice!\Couldn't you pay more attention? response:	As far as I'm concerned, anything will do.
context: Hey, what about this one?\Ah, looks nice.\And this...?\Fits you.\And this one?\It might be nice!\Couldn't you pay more attention?\As far as I'm concerned, anything will do. response:	Eh? Something that normal?
context: Ah, looks nice.\And this...?\Fits you.\And this one?\It might be nice!\Couldn't you pay more attention?\As far as I'm concerned, anything will do.\Eh? Something that normal? response:	Where are you going?
context: And this...?\Fits you.\And this one?\It might be nice!\Couldn't you pay more attention?\As far as I'm concerned, anything will do.\Eh? Something that normal?\Where are you going? response:	Toilet.
context: Fits you.\And this one?\It might be nice!\Couldn't you pay more attention?\As far as I'm concerned, anything will do.\Eh? Something that normal?\Where are you going?\Toilet. response:	Excuse me, I want this one!
context: And this one?\It might be nice!\Couldn't you pay more attention?\As far as I'm concerned, anything will do.\Eh? Something that normal?\Where are you going?\Toilet.\Excuse me, I want this one! response:	Tah-daah!
context: It might be nice!\Couldn't you pay more attention?\As far as I'm concerned, anything will do.\Eh? Something that normal?\Where are you going?\Toilet.\Excuse me, I want this one!\Tah-daah! response:	Come on, eat up! Eat up!
context: Couldn't you pay more attention?\As far as I'm concerned, anything will do.\Eh? Something that normal?\Where are you going?\Toilet.\Excuse me, I want this one!\Tah-daah!\Come on, eat up! Eat up! response:	Today, it's all-on-me!
context: As far as I'm concerned, anything will do.\Eh? Something that normal?\Where are you going?\Toilet.\Excuse me, I want this one!\Tah-daah!\Come on, eat up! Eat up!\Today, it's all-on-me! response:	Is it okay?
context: Eh? Something that normal?\Where are you going?\Toilet.\Excuse me, I want this one!\Tah-daah!\Come on, eat up! Eat up!\Today, it's all-on-me!\Is it okay? response:	Of course!
context: Where are you going?\Toilet.\Excuse me, I want this one!\Tah-daah!\Come on, eat up! Eat up!\Today, it's all-on-me!\Is it okay?\Of course! response:	Since, you know...
context: Toilet.\Excuse me, I want this one!\Tah-daah!\Come on, eat up! Eat up!\Today, it's all-on-me!\Is it okay?\Of course!\Since, you know... response:	I'm the one at fault.
context: Excuse me, I want this one!\Tah-daah!\Come on, eat up! Eat up!\Today, it's all-on-me!\Is it okay?\Of course!\Since, you know...\I'm the one at fault. response:	It was my own misunderstanding.
context: Tah-daah!\Come on, eat up! Eat up!\Today, it's all-on-me!\Is it okay?\Of course!\Since, you know...\I'm the one at fault.\It was my own misunderstanding. response:	Shinichirou...
context: Come on, eat up! Eat up!\Today, it's all-on-me!\Is it okay?\Of course!\Since, you know...\I'm the one at fault.\It was my own misunderstanding.\Shinichirou... response:	The reason she wanted to be friends with Noe...
context: Today, it's all-on-me!\Is it okay?\Of course!\Since, you know...\I'm the one at fault.\It was my own misunderstanding.\Shinichirou...\The reason she wanted to be friends with Noe... response:	is to get closer to a guy that knows Noe.
context: Is it okay?\Of course!\Since, you know...\I'm the one at fault.\It was my own misunderstanding.\Shinichirou...\The reason she wanted to be friends with Noe...\is to get closer to a guy that knows Noe. response:	A guy that's closer to Noe than me!
context: Of course!\Since, you know...\I'm the one at fault.\It was my own misunderstanding.\Shinichirou...\The reason she wanted to be friends with Noe...\is to get closer to a guy that knows Noe.\A guy that's closer to Noe than me! response:	I see...
context: Since, you know...\I'm the one at fault.\It was my own misunderstanding.\Shinichirou...\The reason she wanted to be friends with Noe...\is to get closer to a guy that knows Noe.\A guy that's closer to Noe than me!\I see... response:	Well, come on, think about it,
context: I'm the one at fault.\It was my own misunderstanding.\Shinichirou...\The reason she wanted to be friends with Noe...\is to get closer to a guy that knows Noe.\A guy that's closer to Noe than me!\I see...\Well, come on, think about it, response:	Not like you could actually get back on your feet right after realizing that,
context: It was my own misunderstanding.\Shinichirou...\The reason she wanted to be friends with Noe...\is to get closer to a guy that knows Noe.\A guy that's closer to Noe than me!\I see...\Well, come on, think about it,\Not like you could actually get back on your feet right after realizing that, response:	But that's what time is for!
context: Shinichirou...\The reason she wanted to be friends with Noe...\is to get closer to a guy that knows Noe.\A guy that's closer to Noe than me!\I see...\Well, come on, think about it,\Not like you could actually get back on your feet right after realizing that,\But that's what time is for! response:	Sometime, for sure...
context: The reason she wanted to be friends with Noe...\is to get closer to a guy that knows Noe.\A guy that's closer to Noe than me!\I see...\Well, come on, think about it,\Not like you could actually get back on your feet right after realizing that,\But that's what time is for!\Sometime, for sure... response:	Naturally...
context: is to get closer to a guy that knows Noe.\A guy that's closer to Noe than me!\I see...\Well, come on, think about it,\Not like you could actually get back on your feet right after realizing that,\But that's what time is for!\Sometime, for sure...\Naturally... response:	The time will come when you'll naturally forget about it.
context: A guy that's closer to Noe than me!\I see...\Well, come on, think about it,\Not like you could actually get back on your feet right after realizing that,\But that's what time is for!\Sometime, for sure...\Naturally...\The time will come when you'll naturally forget about it. response:	Cheer up!
context: I see...\Well, come on, think about it,\Not like you could actually get back on your feet right after realizing that,\But that's what time is for!\Sometime, for sure...\Naturally...\The time will come when you'll naturally forget about it.\Cheer up! response:	You're just like a little brother to me, you know,
context: Well, come on, think about it,\Not like you could actually get back on your feet right after realizing that,\But that's what time is for!\Sometime, for sure...\Naturally...\The time will come when you'll naturally forget about it.\Cheer up!\You're just like a little brother to me, you know, response:	With a face looking like that,
context: Not like you could actually get back on your feet right after realizing that,\But that's what time is for!\Sometime, for sure...\Naturally...\The time will come when you'll naturally forget about it.\Cheer up!\You're just like a little brother to me, you know,\With a face looking like that, response:	Onee-chan will get worried!
context: But that's what time is for!\Sometime, for sure...\Naturally...\The time will come when you'll naturally forget about it.\Cheer up!\You're just like a little brother to me, you know,\With a face looking like that,\Onee-chan will get worried! response:	You're so proud.
context: Sometime, for sure...\Naturally...\The time will come when you'll naturally forget about it.\Cheer up!\You're just like a little brother to me, you know,\With a face looking like that,\Onee-chan will get worried!\You're so proud. response:	Who was it that found Miyokichi for you?
context: Naturally...\The time will come when you'll naturally forget about it.\Cheer up!\You're just like a little brother to me, you know,\With a face looking like that,\Onee-chan will get worried!\You're so proud.\Who was it that found Miyokichi for you? response:	Nosy bastard!
context: The time will come when you'll naturally forget about it.\Cheer up!\You're just like a little brother to me, you know,\With a face looking like that,\Onee-chan will get worried!\You're so proud.\Who was it that found Miyokichi for you?\Nosy bastard! response:	I'll go buy some juice.
context: Cheer up!\You're just like a little brother to me, you know,\With a face looking like that,\Onee-chan will get worried!\You're so proud.\Who was it that found Miyokichi for you?\Nosy bastard!\I'll go buy some juice. response:	You really are nosy...
context: You're just like a little brother to me, you know,\With a face looking like that,\Onee-chan will get worried!\You're so proud.\Who was it that found Miyokichi for you?\Nosy bastard!\I'll go buy some juice.\You really are nosy... response:	I'm back.
context: With a face looking like that,\Onee-chan will get worried!\You're so proud.\Who was it that found Miyokichi for you?\Nosy bastard!\I'll go buy some juice.\You really are nosy...\I'm back. response:	Umm...
context: Onee-chan will get worried!\You're so proud.\Who was it that found Miyokichi for you?\Nosy bastard!\I'll go buy some juice.\You really are nosy...\I'm back.\Umm... response:	Umm... could it be...
context: You're so proud.\Who was it that found Miyokichi for you?\Nosy bastard!\I'll go buy some juice.\You really are nosy...\I'm back.\Umm...\Umm... could it be... response:	I'm sorry!
context: Who was it that found Miyokichi for you?\Nosy bastard!\I'll go buy some juice.\You really are nosy...\I'm back.\Umm...\Umm... could it be...\I'm sorry! response:	That I...
context: Nosy bastard!\I'll go buy some juice.\You really are nosy...\I'm back.\Umm...\Umm... could it be...\I'm sorry!\That I... response:	asked you for such a strange favor...
context: I'll go buy some juice.\You really are nosy...\I'm back.\Umm...\Umm... could it be...\I'm sorry!\That I...\asked you for such a strange favor... response:	I'm sorry.
context: You really are nosy...\I'm back.\Umm...\Umm... could it be...\I'm sorry!\That I...\asked you for such a strange favor...\I'm sorry. response:	Don't be.
context: I'm back.\Umm...\Umm... could it be...\I'm sorry!\That I...\asked you for such a strange favor...\I'm sorry.\Don't be. response:	I mustn't...
context: Umm...\Umm... could it be...\I'm sorry!\That I...\asked you for such a strange favor...\I'm sorry.\Don't be.\I mustn't... response:	No, it's okay!
context: Umm... could it be...\I'm sorry!\That I...\asked you for such a strange favor...\I'm sorry.\Don't be.\I mustn't...\No, it's okay! response:	I was just a bit surprised.
context: I'm sorry!\That I...\asked you for such a strange favor...\I'm sorry.\Don't be.\I mustn't...\No, it's okay!\I was just a bit surprised. response:	I mustn't say this...
context: That I...\asked you for such a strange favor...\I'm sorry.\Don't be.\I mustn't...\No, it's okay!\I was just a bit surprised.\I mustn't say this... response:	In order to get close to that No. 4...
context: asked you for such a strange favor...\I'm sorry.\Don't be.\I mustn't...\No, it's okay!\I was just a bit surprised.\I mustn't say this...\In order to get close to that No. 4... response:	You wanted to befriend his sister...
context: I'm sorry.\Don't be.\I mustn't...\No, it's okay!\I was just a bit surprised.\I mustn't say this...\In order to get close to that No. 4...\You wanted to befriend his sister... response:	I never could've figured that out.
context: Don't be.\I mustn't...\No, it's okay!\I was just a bit surprised.\I mustn't say this...\In order to get close to that No. 4...\You wanted to befriend his sister...\I never could've figured that out. response:	That wasn't the only reason- I...
context: I mustn't...\No, it's okay!\I was just a bit surprised.\I mustn't say this...\In order to get close to that No. 4...\You wanted to befriend his sister...\I never could've figured that out.\That wasn't the only reason- I... response:	No! don't worry about it!
context: No, it's okay!\I was just a bit surprised.\I mustn't say this...\In order to get close to that No. 4...\You wanted to befriend his sister...\I never could've figured that out.\That wasn't the only reason- I...\No! don't worry about it! response:	I guess I was just being stupid.
context: I was just a bit surprised.\I mustn't say this...\In order to get close to that No. 4...\You wanted to befriend his sister...\I never could've figured that out.\That wasn't the only reason- I...\No! don't worry about it!\I guess I was just being stupid. response:	How I feel about you...
context: I mustn't say this...\In order to get close to that No. 4...\You wanted to befriend his sister...\I never could've figured that out.\That wasn't the only reason- I...\No! don't worry about it!\I guess I was just being stupid.\How I feel about you... response:	But you know, you could have just told me from the beginning.
context: In order to get close to that No. 4...\You wanted to befriend his sister...\I never could've figured that out.\That wasn't the only reason- I...\No! don't worry about it!\I guess I was just being stupid.\How I feel about you...\But you know, you could have just told me from the beginning. response:	How I feel about you...
context: You wanted to befriend his sister...\I never could've figured that out.\That wasn't the only reason- I...\No! don't worry about it!\I guess I was just being stupid.\How I feel about you...\But you know, you could have just told me from the beginning.\How I feel about you... response:	It was a bit sly of you.
context: I never could've figured that out.\That wasn't the only reason- I...\No! don't worry about it!\I guess I was just being stupid.\How I feel about you...\But you know, you could have just told me from the beginning.\How I feel about you...\It was a bit sly of you. response:	Shin-chan?
context: That wasn't the only reason- I...\No! don't worry about it!\I guess I was just being stupid.\How I feel about you...\But you know, you could have just told me from the beginning.\How I feel about you...\It was a bit sly of you.\Shin-chan? response:	I need to talk to you. Do you have time?
context: No! don't worry about it!\I guess I was just being stupid.\How I feel about you...\But you know, you could have just told me from the beginning.\How I feel about you...\It was a bit sly of you.\Shin-chan?\I need to talk to you. Do you have time? response:	Shin-chan...
context: I guess I was just being stupid.\How I feel about you...\But you know, you could have just told me from the beginning.\How I feel about you...\It was a bit sly of you.\Shin-chan?\I need to talk to you. Do you have time?\Shin-chan... response:	Those eyes...
context: How I feel about you...\But you know, you could have just told me from the beginning.\How I feel about you...\It was a bit sly of you.\Shin-chan?\I need to talk to you. Do you have time?\Shin-chan...\Those eyes... response:	They look just like your mother's.
context: But you know, you could have just told me from the beginning.\How I feel about you...\It was a bit sly of you.\Shin-chan?\I need to talk to you. Do you have time?\Shin-chan...\Those eyes...\They look just like your mother's. response:	I'm the worst...
context: How I feel about you...\It was a bit sly of you.\Shin-chan?\I need to talk to you. Do you have time?\Shin-chan...\Those eyes...\They look just like your mother's.\I'm the worst... response:	Take a look, I switched to another gel. How is it? It's different from before.
context: It was a bit sly of you.\Shin-chan?\I need to talk to you. Do you have time?\Shin-chan...\Those eyes...\They look just like your mother's.\I'm the worst...\Take a look, I switched to another gel. How is it? It's different from before. response:	I have a date with Ai-chan after school!
context: Shin-chan?\I need to talk to you. Do you have time?\Shin-chan...\Those eyes...\They look just like your mother's.\I'm the worst...\Take a look, I switched to another gel. How is it? It's different from before.\I have a date with Ai-chan after school! response:	Ah, why won't they let us go home already?
context: I need to talk to you. Do you have time?\Shin-chan...\Those eyes...\They look just like your mother's.\I'm the worst...\Take a look, I switched to another gel. How is it? It's different from before.\I have a date with Ai-chan after school!\Ah, why won't they let us go home already? response:	It would've been great if you'd tagged along yesterday.
context: Shin-chan...\Those eyes...\They look just like your mother's.\I'm the worst...\Take a look, I switched to another gel. How is it? It's different from before.\I have a date with Ai-chan after school!\Ah, why won't they let us go home already?\It would've been great if you'd tagged along yesterday. response:	Not like you actually have anything important to do...
context: Those eyes...\They look just like your mother's.\I'm the worst...\Take a look, I switched to another gel. How is it? It's different from before.\I have a date with Ai-chan after school!\Ah, why won't they let us go home already?\It would've been great if you'd tagged along yesterday.\Not like you actually have anything important to do... response:	So, you could've come...
context: They look just like your mother's.\I'm the worst...\Take a look, I switched to another gel. How is it? It's different from before.\I have a date with Ai-chan after school!\Ah, why won't they let us go home already?\It would've been great if you'd tagged along yesterday.\Not like you actually have anything important to do...\So, you could've come... response:	Here!
context: I'm the worst...\Take a look, I switched to another gel. How is it? It's different from before.\I have a date with Ai-chan after school!\Ah, why won't they let us go home already?\It would've been great if you'd tagged along yesterday.\Not like you actually have anything important to do...\So, you could've come...\Here! response:	Today's share!
context: Take a look, I switched to another gel. How is it? It's different from before.\I have a date with Ai-chan after school!\Ah, why won't they let us go home already?\It would've been great if you'd tagged along yesterday.\Not like you actually have anything important to do...\So, you could've come...\Here!\Today's share! response:	This one's brother...
context: I have a date with Ai-chan after school!\Ah, why won't they let us go home already?\It would've been great if you'd tagged along yesterday.\Not like you actually have anything important to do...\So, you could've come...\Here!\Today's share!\This one's brother... response:	Is there something on my face?
context: Ah, why won't they let us go home already?\It would've been great if you'd tagged along yesterday.\Not like you actually have anything important to do...\So, you could've come...\Here!\Today's share!\This one's brother...\Is there something on my face? response:	No.
context: It would've been great if you'd tagged along yesterday.\Not like you actually have anything important to do...\So, you could've come...\Here!\Today's share!\This one's brother...\Is there something on my face?\No. response:	Wait!
context: Not like you actually have anything important to do...\So, you could've come...\Here!\Today's share!\This one's brother...\Is there something on my face?\No.\Wait! response:	Why?
context: So, you could've come...\Here!\Today's share!\This one's brother...\Is there something on my face?\No.\Wait!\Why? response:	What are you...?
context: Here!\Today's share!\This one's brother...\Is there something on my face?\No.\Wait!\Why?\What are you...? response:	My reflection is there...
context: Today's share!\This one's brother...\Is there something on my face?\No.\Wait!\Why?\What are you...?\My reflection is there... response:	My nose looks bigger.
context: This one's brother...\Is there something on my face?\No.\Wait!\Why?\What are you...?\My reflection is there...\My nose looks bigger. response:	You are collecting tears, right?
context: Is there something on my face?\No.\Wait!\Why?\What are you...?\My reflection is there...\My nose looks bigger.\You are collecting tears, right? response:	Eh?
context: No.\Wait!\Why?\What are you...?\My reflection is there...\My nose looks bigger.\You are collecting tears, right?\Eh? response:	Right now I could make them.
context: Wait!\Why?\What are you...?\My reflection is there...\My nose looks bigger.\You are collecting tears, right?\Eh?\Right now I could make them. response:	Tears.
context: Why?\What are you...?\My reflection is there...\My nose looks bigger.\You are collecting tears, right?\Eh?\Right now I could make them.\Tears. response:	Because I feel like I might cry.
context: What are you...?\My reflection is there...\My nose looks bigger.\You are collecting tears, right?\Eh?\Right now I could make them.\Tears.\Because I feel like I might cry. response:	Why do you feel like crying?
context: My reflection is there...\My nose looks bigger.\You are collecting tears, right?\Eh?\Right now I could make them.\Tears.\Because I feel like I might cry.\Why do you feel like crying? response:	I'm not telling.
context: My nose looks bigger.\You are collecting tears, right?\Eh?\Right now I could make them.\Tears.\Because I feel like I might cry.\Why do you feel like crying?\I'm not telling. response:	You're mean for leading me on.
context: You are collecting tears, right?\Eh?\Right now I could make them.\Tears.\Because I feel like I might cry.\Why do you feel like crying?\I'm not telling.\You're mean for leading me on. response:	Yeah... that's because I am mean.
context: Eh?\Right now I could make them.\Tears.\Because I feel like I might cry.\Why do you feel like crying?\I'm not telling.\You're mean for leading me on.\Yeah... that's because I am mean. response:	As you are now, your tears have no value.
context: Right now I could make them.\Tears.\Because I feel like I might cry.\Why do you feel like crying?\I'm not telling.\You're mean for leading me on.\Yeah... that's because I am mean.\As you are now, your tears have no value. response:	Weak tears!
context: Tears.\Because I feel like I might cry.\Why do you feel like crying?\I'm not telling.\You're mean for leading me on.\Yeah... that's because I am mean.\As you are now, your tears have no value.\Weak tears! response:	Gutter tears!
context: Because I feel like I might cry.\Why do you feel like crying?\I'm not telling.\You're mean for leading me on.\Yeah... that's because I am mean.\As you are now, your tears have no value.\Weak tears!\Gutter tears! response:	Slimy tears!
context: Why do you feel like crying?\I'm not telling.\You're mean for leading me on.\Yeah... that's because I am mean.\As you are now, your tears have no value.\Weak tears!\Gutter tears!\Slimy tears! response:	Puke tears!
context: I'm not telling.\You're mean for leading me on.\Yeah... that's because I am mean.\As you are now, your tears have no value.\Weak tears!\Gutter tears!\Slimy tears!\Puke tears! response:	Puke? You...!
context: You're mean for leading me on.\Yeah... that's because I am mean.\As you are now, your tears have no value.\Weak tears!\Gutter tears!\Slimy tears!\Puke tears!\Puke? You...! response:	I'll help you purify your tears!
context: Yeah... that's because I am mean.\As you are now, your tears have no value.\Weak tears!\Gutter tears!\Slimy tears!\Puke tears!\Puke? You...!\I'll help you purify your tears! response:	Eh?
context: As you are now, your tears have no value.\Weak tears!\Gutter tears!\Slimy tears!\Puke tears!\Puke? You...!\I'll help you purify your tears!\Eh? response:	Okay, let's do this quickly.
context: Weak tears!\Gutter tears!\Slimy tears!\Puke tears!\Puke? You...!\I'll help you purify your tears!\Eh?\Okay, let's do this quickly. response:	Just like when you learned how to swim at the pool.
context: Gutter tears!\Slimy tears!\Puke tears!\Puke? You...!\I'll help you purify your tears!\Eh?\Okay, let's do this quickly.\Just like when you learned how to swim at the pool. response:	Did you even consider that there might be viruses or germs in there?!
context: Slimy tears!\Puke tears!\Puke? You...!\I'll help you purify your tears!\Eh?\Okay, let's do this quickly.\Just like when you learned how to swim at the pool.\Did you even consider that there might be viruses or germs in there?! response:	There are more germs in Shinichirou.
